代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13426549.109999997541308
真實報酬,3426549.109999997541308

夏普值報酬,0.333954911000000
夏普值風險,0.099223405282580
夏普值,3.365686856331173

預期報酬,16354.320384611148256
風險,235304.492990163184004
趨勢值,0.069502796894298
找到最佳解世代,1965
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
BA[2](12),DD[7](15),GS[8](5),HD[9](2),TRV[22](7),UNH[23](20),V[25](1),
20121010,1407363.580000000074506,1368677.250000000000000,1622603.320000000065193,1503838.270000000018626,1531398.560000000288710,1502496.479999999981374,1530611.110000000102445,10466991.570000000298023
20121011,1417167.010000000009313,1375522.250000000000000,1648411.239999999990687,1485461.979999999981374,1526102.719999999972060,1516965.879999999888241,1548880.299999999813735,10518514.379999998956919
20121012,1437574.149999999906868,1368677.250000000000000,1624224.760000000242144,1499307.130000000121072,1516393.680000000167638,1501444.160000000149012,1549771.479999999981374,10497395.610000001266599
20121015,1445576.949999999953434,1380313.750000000000000,1682326.360000000102445,1526745.699999999953434,1540004.300000000279397,1512493.520000000251457,1558237.689999999944121,10645701.269999999552965
20121016,1470185.560000000055879,1457662.250000000232831,1665031.000000000000000,1532032.030000000027940,1555450.500000000000000,1496445.640000000130385,1572496.569999999832362,10749306.550000000745058
20121017,1473186.609999999869615,1473748.000000000000000,1688001.400000000139698,1545373.719999999972060,1575089.239999999990687,1473031.520000000251457,1588092.219999999972060,10816525.710000000894070
20121018,1485791.020000000018626,1473063.500000000000000,1691109.160000000149012,1555694.649999999906868,1631578.200000000186265,1473557.679999999934807,1580517.189999999944121,10891314.400000000372529
20121019,1480789.270000000018626,1455266.500000000000000,1670435.800000000279397,1557960.219999999972060,1622089.820000000298023,1464349.879999999888241,1559128.870000000111759,10810023.359999999403954
20121022,1474587.100000000093132,1449448.250000000000000,1658950.600000000093132,1561736.169999999925494,1632681.500000000000000,1487500.920000000158325,1548434.709999999962747,10813342.250000000000000
20121023,1456980.939999999711290,1391607.999999999767169,1608010.360000000102445,1554436.000000000000000,1619221.239999999990687,1478030.040000000037253,1522144.899999999906868,10630434.480000000447035
20121024,1454780.169999999925494,1456293.250000000000000,1618414.600000000093132,1542604.689999999944121,1614808.040000000270084,1471189.960000000195578,1520362.539999999804422,10678456.249999998137355
20121025,1431371.979999999981374,1445683.500000000000000,1617739.000000000000000,1522466.290000000037253,1591418.080000000307336,1478819.280000000027940,1532393.469999999972060,10619894.600000001490116
20121026,1422768.969999999972060,1441234.250000000000000,1613955.640000000130385,1511390.169999999925494,1579061.120000000111759,1467506.840000000083819,1540859.679999999934807,10576779.669999999925494
20121031,1409364.279999999795109,1428228.750000000000000,1653816.040000000037253,1545121.989999999990687,1565380.200000000186265,1473294.600000000093132,1545761.169999999925494,10620970.030000001192093
20121101,1416366.729999999981374,1467587.500000000000000,1687055.560000000055879,1567274.229999999981374,1549713.340000000316650,1498287.200000000186265,1602796.689999999944121,10789084.249999998137355
20121102,1401561.549999999813735,1450132.750000000000000,1665436.360000000102445,1561232.709999999962747,1536253.080000000307336,1474610.000000000000000,1597449.610000000102445,10686679.059999998658895
20121105,1408764.069999999832362,1465191.750000000000000,1676651.320000000065193,1570294.989999999990687,1524999.420000000158325,1454352.840000000083819,1576506.880000000121072,10676764.270000001415610
20121106,1440975.339999999850988,1487438.000000000000000,1705972.360000000102445,1576336.510000000009313,1548389.380000000121072,1483554.720000000204891,1602796.689999999944121,10845466.000000000000000
20121107,1402761.969999999972060,1476486.000000000000000,1594228.120000000111759,1560477.520000000018626,1516173.020000000018626,1427518.679999999934807,1588092.219999999972060,10565740.529999999329448
20121108,1420168.060000000055879,1440207.500000000000000,1557610.600000000093132,1532032.030000000027940,1522572.160000000149012,1405946.120000000111759,1582745.140000000130385,10461284.610000001266599
20121109,1465583.949999999953434,1430966.750000000000000,1569501.160000000149012,1534549.330000000074506,1522130.840000000316650,1391739.800000000046566,1592102.529999999795109,10506577.360000001266599
20121112,1474387.029999999795109,1403244.500000000000000,1584229.239999999990687,1539583.929999999934807,1509994.540000000270084,1373324.200000000186265,1595667.250000000000000,10480433.689999999478459
20121113,1467784.719999999972060,1405298.000000000000000,1573825.000000000000000,1595467.989999999990687,1505581.340000000316650,1373061.120000000111759,1586755.449999999953434,10507776.620000001043081
20121114,1426370.229999999981374,1378260.250000000000000,1543693.239999999990687,1547387.560000000055879,1502050.780000000027940,1348331.600000000093132,1559128.870000000111759,10305225.530000001192093
20121115,1421368.479999999981374,1359436.500000000000000,1559907.640000000130385,1541849.500000000000000,1507567.280000000027940,1348331.600000000093132,1559574.459999999962747,10298038.460000000894070
20121116,1415966.589999999850988,1351907.000000000000000,1565312.440000000176951,1563750.010000000009313,1514849.060000000288710,1365431.800000000046566,1589874.579999999841675,10367094.480000000447035
20121119,1439774.919999999925494,1402902.250000000000000,1598551.959999999962747,1594209.339999999850988,1534487.800000000279397,1392002.879999999888241,1622402.649999999906868,10584334.799999998882413
20121120,1451378.979999999981374,1403244.500000000000000,1595714.440000000176951,1606544.110000000102445,1536694.400000000139698,1398053.720000000204891,1630423.270000000018626,10622056.419999999925494
20121121,1463583.250000000000000,1404613.500000000000000,1590444.760000000242144,1613340.820000000065193,1549492.680000000167638,1408313.840000000083819,1633987.989999999990687,10663779.839999999850988
20121123,1475387.379999999888241,1431993.500000000232831,1625711.080000000074506,1631717.109999999869615,1572661.979999999981374,1418573.960000000195578,1650029.229999999981374,10806077.240000002086163
20121126,1485991.089999999850988,1441918.750000000000000,1634223.640000000130385,1627941.160000000149012,1563614.920000000158325,1408313.840000000083819,1640226.250000000000000,10802232.650000000372529
20121127,1490392.629999999888241,1448079.250000000000000,1600038.280000000027940,1615102.929999999934807,1562952.940000000176951,1383584.320000000298023,1635324.760000000009313,10735478.110000001266599
20121128,1482389.830000000074506,1455951.000000000000000,1612469.320000000065193,1631968.839999999850988,1565821.520000000018626,1387793.600000000093132,1640671.840000000083819,10777068.949999999254942
20121129,1482990.040000000037253,1462111.500000000000000,1604362.120000000111759,1617116.769999999785796,1570676.040000000270084,1430149.479999999981374,1650920.409999999916181,10818329.359999999403954
20121130,1486191.159999999916181,1471352.250000000000000,1591660.840000000083819,1638010.359999999869615,1562732.280000000027940,1430938.720000000204891,1667852.829999999841675,10848741.439999999478459
20121203,1480989.339999999850988,1428228.750000000000000,1599903.160000000149012,1635744.790000000037253,1565600.860000000102445,1417784.720000000204891,1655821.899999999906868,10784076.520000001415610
20121204,1481589.549999999813735,1427886.500000000000000,1575311.320000000065193,1617116.769999999785796,1556333.140000000130385,1408576.920000000158325,1644236.559999999823049,10711053.759999999776483
20121205,1477988.290000000037253,1437469.500000000000000,1582742.919999999925494,1611578.709999999962747,1632902.160000000149012,1416469.320000000298023,1649583.640000000130385,10808737.540000000968575
20121206,1480189.060000000055879,1444656.750000000000000,1583688.760000000242144,1619634.070000000065193,1614146.060000000288710,1411470.800000000046566,1654039.539999999804422,10807828.040000000968575
20121207,1493393.679999999934807,1476828.250000000000000,1575176.199999999953434,1622403.100000000093132,1619441.900000000139698,1417258.560000000055879,1654930.719999999972060,10859435.410000002011657
20121210,1511199.909999999916181,1491887.250000000232831,1581121.480000000214204,1586909.169999999925494,1618338.600000000325963,1425677.120000000111759,1656267.489999999990687,10871404.020000001415610
20121211,1517001.939999999711290,1513449.000000000000000,1606118.680000000167638,1583133.219999999972060,1620324.540000000270084,1440672.679999999934807,1658941.029999999795109,10939644.089999997988343
20121212,1509999.489999999990687,1518240.500000000000000,1595714.440000000176951,1584140.139999999897555,1617676.620000000111759,1453563.600000000093132,1647355.689999999944121,10926693.480000000447035
20121213,1486991.439999999711290,1512422.250000000000000,1601254.360000000102445,1571050.179999999934807,1615911.340000000316650,1430675.640000000130385,1639780.659999999916181,10858088.870000001043081
20121214,1480989.339999999850988,1531246.000000000000000,1612874.680000000167638,1562239.630000000121072,1619000.580000000307336,1421994.000000000000000,1635770.350000000093132,10864117.580000000074506
20121217,1493593.750000000000000,1550754.250000000000000,1668679.239999999990687,1593705.880000000121072,1637094.700000000186265,1430149.479999999981374,1661168.979999999981374,11035149.280000001192093
20121218,1510999.839999999850988,1598327.000000000000000,1726510.600000000093132,1585902.250000000000000,1640183.940000000176951,1445671.200000000186265,1678992.579999999841675,11186590.410000000149012
20121219,1510799.770000000018626,1580530.000000000000000,1719484.360000000102445,1554939.459999999962747,1620324.540000000270084,1433569.520000000251457,1661614.569999999832362,11081265.220000000670552
20121220,1524604.600000000093132,1583610.250000000000000,1752859.000000000000000,1559974.060000000055879,1628930.280000000027940,1459088.280000000027940,1698598.539999999804422,11207668.009999999776483
20121221,1524004.389999999897555,1559310.500000000000000,1735563.640000000130385,1543611.610000000102445,1606864.280000000027940,1447775.840000000083819,1679438.169999999925494,11096571.429999999701977
20121224,1520002.989999999990687,1568551.250000000000000,1723402.840000000083819,1549904.860000000102445,1596713.920000000158325,1443040.400000000139698,1684339.659999999916181,11085958.919999999925494
20121226,1521003.339999999850988,1580187.750000000000000,1718268.280000000027940,1539080.469999999972060,1594727.979999999981374,1426466.360000000102445,1668298.419999999925494,11048035.599999999627471
20121227,1517202.010000000009313,1565471.000000000000000,1711647.400000000139698,1537318.360000000102445,1584798.280000000027940,1432254.120000000111759,1664288.110000000102445,11012982.280000001192093
20121228,1494394.029999999795109,1541171.250000000000000,1696108.600000000093132,1526745.699999999953434,1572000.000000000000000,1416995.479999999981374,1655821.899999999906868,10903239.960000000894070
20121231,1507798.719999999972060,1575738.500000000000000,1723673.080000000074506,1556953.300000000046566,1584798.280000000027940,1426992.520000000251457,1688795.559999999823049,11064752.960000000894070
20130102,1542010.689999999711290,1610990.250000000000000,1779072.280000000027940,1597985.290000000037253,1607746.920000000158325,1434884.920000000158325,1731126.610000000102445,11303819.959999999031425
20130103,1550013.489999999990687,1615781.750000000000000,1769343.640000000130385,1593454.149999999906868,1620103.880000000121072,1367799.520000000251457,1732463.380000000121072,11248962.810000002384186
20130104,1554415.029999999795109,1639054.750000000000000,1817581.479999999981374,1590433.389999999897555,1634226.120000000111759,1370430.320000000298023,1746276.669999999925494,11352420.759999999776483
20130107,1523204.109999999869615,1637343.500000000232831,1814203.479999999981374,1581874.570000000065193,1612160.120000000111759,1370430.320000000298023,1758753.189999999944121,11297972.290000000968575
20130108,1483190.109999999869615,1613386.000000000000000,1797853.960000000195578,1591440.310000000055879,1615028.700000000186265,1352277.800000000046566,1775240.020000000018626,11228419.900000000372529
20130109,1535808.520000000018626,1632894.250000000000000,1815014.199999999953434,1590181.660000000149012,1631578.200000000186265,1377796.560000000055879,1802421.010000000009313,11385697.400000000372529
20130110,1542410.830000000074506,1649322.250000000000000,1856225.800000000279397,1601509.510000000009313,1642831.860000000102445,1397264.479999999981374,1788162.130000000121072,11477729.860000001266599
20130111,1503797.319999999832362,1650349.000000000000000,1852982.919999999925494,1603523.350000000093132,1651658.260000000009313,1389635.160000000149012,1795291.569999999832362,11447240.580000000074506
20130114,1531607.049999999813735,1670884.000000000000000,1839470.919999999925494,1597985.290000000037253,1653864.860000000102445,1403841.479999999981374,1789498.899999999906868,11487155.500000000000000
20130115,1539409.779999999795109,1661643.250000000000000,1832174.440000000176951,1609816.600000000093132,1667325.120000000111759,1410681.560000000055879,1787270.949999999953434,11508324.699999999254942
20130116,1487391.580000000074506,1640423.750000000000000,1906490.440000000176951,1607551.030000000027940,1667104.460000000195578,1411733.879999999888241,1784597.409999999916181,11505295.550000000745058
20130117,1505798.020000000018626,1647953.250000000000000,1905409.479999999981374,1637506.899999999906868,1674827.560000000288710,1431201.800000000046566,1781032.689999999944121,11583732.700000001117587
20130118,1501396.479999999981374,1647268.750000000000000,1951890.760000000009313,1648079.560000000055879,1683874.620000000111759,1435411.080000000074506,1763209.090000000083819,11631133.340000001713634
20130122,1483790.319999999832362,1654798.250000000000000,1972158.760000000009313,1655128.000000000000000,1720062.860000000102445,1473820.760000000242144,1771675.299999999813735,11731437.250000000000000
20130123,1486391.229999999981374,1660958.750000000000000,1966889.080000000074506,1673000.829999999841675,1713222.400000000139698,1470926.879999999888241,1771675.299999999813735,11743067.470000002533197
20130124,1506998.439999999711290,1678071.250000000000000,1958781.880000000121072,1695404.799999999813735,1723152.100000000325963,1479082.360000000102445,1777467.969999999972060,11818961.799999998882413
20130125,1501196.409999999916181,1685600.750000000000000,1952025.880000000121072,1707236.109999999869615,1728889.260000000009313,1474346.920000000158325,1780587.100000000093132,11829885.429999999701977
20130128,1480589.199999999953434,1677729.000000000000000,1947837.160000000149012,1701194.589999999850988,1706823.260000000009313,1468296.080000000074506,1741820.770000000018626,11724293.060000000521541
20130129,1473586.750000000000000,1692788.000000000000000,1987697.560000000055879,1691628.850000000093132,1716973.620000000111759,1480660.840000000083819,1745385.489999999990687,11788724.110000001266599
20130130,1492393.330000000074506,1686969.750000000000000,1988373.160000000149012,1692635.769999999785796,1711898.440000000176951,1475399.239999999990687,1726670.709999999962747,11774343.399999998509884
20130131,1477988.290000000037253,1569578.000000000000000,1997966.680000000400469,1684580.410000000149012,1731316.520000000018626,1452511.280000000027940,1759198.779999999795109,11673142.959999999031425
20130201,1497995.290000000037253,1588401.749999999767169,2025531.160000000149012,1694146.149999999906868,1762870.900000000139698,1467243.760000000242144,1766328.219999999972060,11802520.230000000447035
20130204,1504797.669999999925494,1566155.500000000000000,1993372.600000000325963,1670483.530000000027940,1721166.160000000149012,1466717.600000000093132,1744939.899999999906868,11667635.960000000894070
20130205,1518402.429999999934807,1574711.750000000000000,2032962.760000000009313,1671238.719999999972060,1735509.060000000288710,1519859.760000000242144,1777022.380000000121072,11829709.859999999403954
20130206,1526405.229999999981374,1585663.750000000000000,2042015.800000000279397,1678287.160000000149012,1742349.520000000018626,1509599.640000000130385,1791726.850000000093132,11876050.950000001117587
20130207,1549213.210000000195578,1569578.000000000000000,2030395.479999999981374,1669224.880000000121072,1745880.080000000307336,1500918.000000000000000,1749841.390000000130385,11815054.040000000968575
20130208,1531807.120000000111759,1580187.750000000000000,2048501.560000000055879,1686845.980000000214204,1740142.920000000158325,1519070.520000000251457,1757862.010000000009313,11864420.859999999403954
20130211,1518002.290000000037253,1582925.750000000000000,2057149.240000000223517,1670986.989999999990687,1747866.020000000018626,1502759.560000000055879,1741375.179999999934807,11821068.030000001192093
20130212,1520403.129999999888241,1596615.750000000000000,2082416.680000000400469,1694649.609999999869615,1763091.560000000288710,1499865.679999999934807,1746722.260000000009313,11903767.669999999925494
20130213,1496194.659999999916181,1608594.500000000000000,2087956.600000000325963,1697922.100000000093132,1765077.500000000000000,1505653.439999999944121,1723997.169999999925494,11885398.970000000670552
20130214,1499195.710000000195578,1583610.250000000000000,2107008.520000000484288,1695153.070000000065193,1772800.600000000325963,1500918.000000000000000,1737364.870000000111759,11896054.019999999552965
20130215,1501196.409999999916181,1567524.500000000000000,2094307.240000000223517,1699684.209999999962747,1773903.900000000139698,1508021.160000000149012,1760089.959999999962747,11904730.379999998956919
20130219,1493593.750000000000000,1569578.000000000000000,2143761.160000000149012,1700439.399999999906868,1778537.760000000009313,1490657.879999999888241,1755634.059999999823049,11932205.009999999776483
20130220,1496194.659999999916181,1542198.000000000000000,2096874.520000000251457,1672497.369999999878928,1767725.420000000158325,1452511.280000000027940,1731126.610000000102445,11759130.859999999403954
20130221,1520803.270000000018626,1503181.500000000000000,2038772.919999999925494,1620640.989999999990687,1773683.239999999990687,1453300.520000000251457,1753851.699999999953434,11664237.139999998733401
20130222,1533807.819999999832362,1529534.750000000000000,2082146.440000000176951,1650848.589999999850988,1787584.820000000298023,1433043.360000000102445,1776131.199999999953434,11793099.979999998584390
20130225,1501196.409999999916181,1493256.250000000000000,1995129.160000000149012,1609061.410000000149012,1748748.660000000149012,1402263.000000000000000,1736473.689999999944121,11486131.580000000074506
20130226,1513600.750000000000000,1505577.250000000000000,1999858.360000000102445,1700691.130000000121072,1766180.800000000279397,1395686.000000000000000,1758307.600000000093132,11639904.890000000596046
20130227,1547812.719999999972060,1550412.000000000000000,2049177.160000000149012,1713277.630000000121072,1782509.640000000130385,1417258.560000000055879,1781032.689999999944121,11841483.400000000372529
20130228,1538609.500000000000000,1545962.750000000000000,2023639.479999999981374,1724353.750000000000000,1774565.880000000121072,1406209.200000000186265,1767219.399999999906868,11780562.960000002756715
20130301,1546212.159999999916181,1550412.000000000000000,2034043.720000000204891,1737695.439999999944121,1780523.700000000186265,1408050.760000000242144,1760981.140000000130385,11817921.919999999925494
20130304,1542410.830000000074506,1555888.000000000000000,2056338.520000000251457,1769413.420000000158325,1776772.479999999981374,1402789.160000000149012,1777022.380000000121072,11880637.790000000968575
20130305,1573821.819999999832362,1569578.000000000000000,2066877.880000000121072,1773944.560000000055879,1797514.520000000018626,1407524.600000000093132,1785488.590000000083819,11974752.969999998807907
20130306,1582224.760000000009313,1594220.000000000000000,2082686.919999999925494,1774196.290000000037253,1788908.780000000027940,1410418.479999999981374,1794400.390000000130385,12027058.620000001043081
20130307,1621638.549999999813735,1583952.500000000000000,2116331.799999999813735,1768406.500000000000000,1791777.360000000102445,1415417.000000000000000,1788162.130000000121072,12085688.839999999850988
20130308,1625239.810000000055879,1597300.250000000000000,2067148.119999999878928,1796600.260000000009313,1801707.060000000288710,1415680.080000000074506,1789944.489999999990687,12093623.070000000298023
20130311,1659451.779999999795109,1607910.000000000000000,2071471.960000000195578,1795341.609999999869615,1803913.660000000149012,1426203.280000000027940,1795737.159999999916181,12160032.449999999254942
20130312,1683860.319999999832362,1620231.000000000232831,2051879.560000000055879,1780993.000000000000000,1803693.000000000000000,1442514.239999999990687,1780141.510000000009313,12163315.630000000819564
20130313,1695664.449999999953434,1618519.750000000000000,2052690.280000000027940,1781244.730000000214204,1812078.080000000307336,1433306.439999999944121,1775240.020000000018626,12168746.750000000000000
20130314,1693063.540000000037253,1641108.250000000000000,2081200.600000000325963,1768154.769999999785796,1817373.920000000158325,1439883.439999999944121,1789944.489999999990687,12230732.009999999776483
20130315,1729276.210000000195578,1647953.250000000000000,2092280.440000000176951,1738198.899999999906868,1815608.640000000130385,1439883.439999999944121,1766328.219999999972060,12229532.100000001490116
20130318,1704267.460000000195578,1621600.000000000000000,2053230.760000000009313,1745750.799999999813735,1821125.140000000130385,1446986.600000000093132,1760981.140000000130385,12153944.900000000372529
20130319,1710869.770000000018626,1617835.250000000000000,2011208.440000000176951,1731653.920000000158325,1835688.700000000186265,1451458.960000000195578,1737810.459999999962747,12096528.500000000000000
20130320,1708068.790000000037253,1629814.000000000000000,2028638.919999999925494,1733919.489999999990687,1850031.600000000325963,1443829.640000000130385,1774794.429999999934807,12169099.870000001043081
20130321,1687261.510000000009313,1582925.750000000000000,1964456.919999999925494,1735681.600000000093132,1848045.660000000149012,1448565.080000000074506,1757862.010000000009313,12024801.529999999329448
20130322,1697064.939999999711290,1597642.500000000000000,1980941.560000000055879,1751037.130000000121072,1846721.700000000186265,1432780.280000000027940,1783260.640000000130385,12089451.750000000000000
20130325,1697665.149999999906868,1573685.000000000000000,1974320.680000000400469,1748771.560000000055879,1839660.580000000307336,1443303.479999999981374,1826928.459999999962747,12104337.910000000149012
20130326,1733077.540000000037253,1559652.750000000000000,1980130.840000000083819,1763371.899999999906868,1839439.920000000158325,1464086.800000000046566,1865694.789999999804422,12205457.539999999105930
20130327,1724674.600000000093132,1549043.000000000000000,1997696.440000000176951,1753302.700000000186265,1839660.580000000307336,1489605.560000000055879,1879062.489999999990687,12233048.370000001043081
20130328,1717672.149999999906868,1551781.000000000232831,1988373.160000000149012,1756575.189999999944121,1857754.700000000186265,1505127.280000000027940,1891984.600000000093132,12269271.079999998211861
20130401,1705667.949999999953434,1528850.250000000000000,1973374.840000000083819,1753806.160000000149012,1852458.860000000102445,1551429.360000000102445,1864358.020000000018626,12229948.439999999478459
20130402,1682459.830000000074506,1508657.500000000000000,1982022.520000000251457,1787789.709999999962747,1862609.219999999972060,1624302.520000000251457,1871041.870000000111759,12318886.170000001788139
20130403,1687861.719999999972060,1511053.250000000000000,1937838.280000000027940,1771175.530000000027940,1847383.680000000167638,1622460.960000000195578,1835394.669999999925494,12213171.090000001713634
20130404,1699665.850000000093132,1531930.500000000000000,1932163.240000000223517,1779482.619999999878928,1861064.600000000325963,1631931.840000000083819,1854555.039999999804422,12290796.689999999478459
20130405,1724074.389999999897555,1505919.500000000000000,1941621.640000000130385,1763623.630000000121072,1862609.219999999972060,1633773.400000000139698,1839850.569999999832362,12271475.349999999627471
20130408,1735678.449999999953434,1495309.750000000000000,1943378.199999999953434,1792824.310000000055879,1869670.340000000316650,1628248.720000000204891,1852327.090000000083819,12317439.860000001266599
20130409,1744881.669999999925494,1532272.750000000000000,1979860.600000000325963,1792320.850000000093132,1881585.979999999981374,1635878.040000000037253,1835394.669999999925494,12402197.560000000521541
20130410,1757085.939999999711290,1551438.750000000000000,2019585.880000000121072,1804655.619999999878928,1871435.620000000111759,1641928.879999999888241,1860347.709999999962747,12506481.399999998509884
20130411,1771290.909999999916181,1552807.750000000000000,2014316.199999999953434,1809941.950000000186265,1899018.120000000111759,1656924.439999999944121,1867477.149999999906868,12571779.519999999552965
20130412,1778493.429999999934807,1547331.750000000000000,2014991.800000000279397,1853239.510000000009313,1903431.320000000298023,1658239.840000000083819,1846534.419999999925494,12602265.070000000298023
20130415,1736078.589999999850988,1471010.000000000000000,1979049.880000000121072,1818249.040000000037253,1869229.020000000018626,1620356.320000000298023,1796628.340000000083819,12290604.189999999478459
20130416,1738479.429999999934807,1475459.250000000000000,1947161.560000000055879,1824038.829999999841675,1909830.460000000195578,1652452.080000000074506,1834949.079999999841675,12382373.690000001341105
20130417,1734478.029999999795109,1476828.250000000000000,1899869.560000000055879,1832597.649999999906868,1877172.780000000027940,1631931.840000000083819,1807322.500000000000000,12260203.609999999403954
20130418,1723074.040000000037253,1471010.000000000000000,1872845.560000000055879,1824542.290000000037253,1855768.760000000009313,1570371.120000000111759,1797965.110000000102445,12115579.879999998956919
20130419,1759886.919999999925494,1489149.250000000000000,1874467.000000000000000,1862805.250000000000000,1871435.620000000111759,1579578.920000000158325,1826482.870000000111759,12263808.829999998211861
20130422,1739479.779999999795109,1510368.750000000000000,1885276.600000000325963,1859281.030000000027940,1866360.440000000176951,1558006.360000000102445,1821581.380000000121072,12240357.339999999850988
