代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11298724.340000001713634
真實報酬,1298724.340000001713634

夏普值報酬,0.121172434000000
夏普值風險,0.053325060667467
夏普值,2.272335605122455

預期報酬,5723.743746673821988
風險,281908.677410336385947
趨勢值,0.020303538717762
找到最佳解世代,2201
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CSCO[4](7),INTC[11](11),MRK[17](1),PFE[20](4),
20180419,2681749.640000000130385,2711878.479999999981374,2474261.660000000149012,2465578.060000000521541,10333467.839999999850988
20180420,2653464.100000000558794,2676046.090000000316650,2482278.520000000018626,2472327.460000000428408,10284116.170000001788139
20180423,2663093.220000000204891,2653715.760000000242144,2542194.000000000000000,2483801.439999999944121,10342804.419999999925494
20180424,2632400.400000000372529,2671891.610000000335276,2535442.959999999962747,2501349.880000000353903,10341084.850000001490116
20180425,2630594.940000000409782,2668256.440000000409782,2516033.720000000204891,2475702.160000000149012,10290587.260000001639128
20180426,2660685.940000000409782,2754981.209999999962747,2506751.040000000037253,2487176.140000000130385,10409594.330000000074506
20180427,2690776.940000000409782,2738363.290000000037253,2509282.680000000167638,2497300.240000000223517,10435723.150000000372529
20180430,2665500.500000000000000,2680719.879999999888241,2483966.279999999795109,2470977.580000000074506,10301164.240000000223517
20180501,2697998.780000000260770,2769521.890000000130385,2446413.619999999646097,2389309.840000000316650,10303244.129999998956919
20180502,2639622.240000000223517,2716552.270000000484288,2417721.699999999720603,2354887.900000000372529,10128784.110000001266599
20180503,2674527.800000000279397,2714994.340000000316650,2427426.319999999832362,2346113.680000000167638,10163062.140000000596046
20180504,2726284.319999999832362,2740959.840000000316650,2436709.000000000000000,2351513.200000000651926,10255466.360000001266599
20180507,2752162.580000000074506,2769521.890000000130385,2421097.220000000204891,2357587.660000000149012,10300369.350000001490116
20180508,2750958.940000000409782,2785101.190000000409782,2394936.939999999944121,2360962.359999999869615,10291959.429999999701977
20180509,2770819.000000000000000,2821972.200000000186265,2445147.800000000279397,2373786.220000000204891,10411725.220000000670552
20180510,2786466.319999999832362,2855208.040000000037253,2449789.140000000130385,2365012.000000000000000,10456475.500000000000000
20180511,2764198.979999999981374,2839109.430000000167638,2518565.359999999869615,2396059.240000000223517,10517933.009999999776483
20180514,2750357.120000000577420,2851053.560000000055879,2518143.419999999925494,2420357.080000000074506,10539911.179999999701977
20180515,2737117.080000000074506,2800161.180000000167638,2497890.300000000279397,2408883.100000000093132,10444051.660000000149012
20180516,2717858.839999999850988,2837551.500000000000000,2521097.000000000000000,2408208.160000000149012,10484715.500000000000000
20180517,2615549.440000000409782,2846379.770000000484288,2492405.080000000074506,2410232.980000000447035,10364567.270000001415610
20180518,2600503.940000000409782,2846379.770000000484288,2495358.660000000149012,2405508.400000000372529,10347750.770000001415610
20180521,2633002.220000000204891,2820933.580000000074506,2471308.080000000074506,2416307.439999999944121,10341551.320000000298023
20180522,2626984.020000000018626,2827684.610000000335276,2466244.800000000279397,2410907.919999999925494,10331821.350000001490116
20180523,2628789.479999999981374,2867152.170000000391155,2496624.479999999981374,2427781.419999999925494,10420347.550000000745058
20180524,2622169.460000000428408,2843263.910000000149012,2494936.720000000204891,2422381.900000000372529,10382751.990000002086163
20180525,2603513.040000000037253,2879096.299999999813735,2493248.959999999962747,2408208.160000000149012,10384066.460000000894070
20180529,2586060.260000000242144,2872864.580000000074506,2464135.100000000093132,2409558.040000000502914,10332617.980000000447035
20180530,2578838.420000000391155,2891559.740000000223517,2519831.180000000167638,2433180.939999999944121,10423410.279999999329448
20180531,2570412.940000000409782,2866632.860000000335276,2511814.319999999832362,2425081.660000000149012,10373941.780000001192093
20180601,2627585.839999999850988,2964263.140000000130385,2555274.140000000130385,2446679.740000000223517,10593802.860000001266599
20180604,2622771.280000000260770,2951280.390000000130385,2616877.380000000353903,2460178.540000000502914,10651107.590000001713634
20180605,2628187.660000000149012,2935701.090000000316650,2590295.160000000149012,2459503.600000000093132,10613687.509999999776483
20180606,2663695.040000000037253,2961666.590000000316650,2613079.919999999925494,2455453.960000000428408,10693895.510000001639128
20180607,2626984.020000000018626,2901945.940000000409782,2615611.560000000055879,2462878.300000000279397,10607419.820000002160668
20180608,2616753.080000000074506,2858843.209999999962747,2640506.020000000018626,2475027.220000000204891,10591129.530000001192093
20180611,2629391.300000000279397,2831319.780000000260770,2629957.520000000018626,2450054.439999999944121,10540723.039999999105930
20180612,2644436.800000000279397,2846899.080000000074506,2634598.859999999869615,2450054.439999999944121,10575989.179999999701977
20180613,2648649.540000000037253,2857804.590000000316650,2640927.959999999962747,2444654.919999999925494,10592037.010000001639128
20180614,2689573.300000000279397,2884289.399999999906868,2597468.140000000130385,2440605.279999999795109,10611936.119999999180436
20180615,2663093.220000000204891,2861959.070000000298023,2617299.319999999832362,2454104.080000000074506,10596455.690000001341105
20180618,2660685.940000000409782,2763809.479999999981374,2573417.560000000055879,2440605.279999999795109,10438518.259999999776483
20180619,2637214.960000000428408,2748749.490000000223517,2575105.319999999832362,2444654.919999999925494,10405724.690000001341105
20180620,2632400.400000000372529,2748749.490000000223517,2585653.819999999832362,2460853.480000000447035,10427657.190000001341105
20180621,2597494.839999999850988,2710320.549999999813735,2581434.419999999925494,2450054.439999999944121,10339304.250000000000000
20180622,2599902.120000000577420,2726419.160000000149012,2593670.680000000167638,2464228.180000000167638,10384220.140000000596046
20180625,2545136.500000000000000,2633462.670000000391155,2577215.020000000018626,2455453.960000000428408,10211268.150000000372529
20180626,2560783.819999999832362,2579454.430000000167638,2562025.180000000167638,2455453.960000000428408,10157717.390000000596046
20180627,2547543.780000000260770,2532197.220000000204891,2526582.220000000204891,2443979.980000000447035,10050303.200000001117587
20180628,2584254.800000000279397,2557643.410000000149012,2544303.699999999720603,2454104.080000000074506,10140305.990000000223517
20180629,2589671.180000000167638,2581531.670000000391155,2561181.300000000279397,2448704.560000000521541,10181088.710000000894070
20180702,2576431.140000000130385,2606977.860000000335276,2551054.740000000223517,2452079.260000000242144,10186543.000000000000000
20180703,2568005.660000000149012,2569068.229999999981374,2561603.240000000223517,2453429.140000000130385,10152106.270000001415610
20180705,2561385.640000000130385,2635539.910000000149012,2600843.660000000149012,2488526.020000000018626,10286295.230000000447035
20180706,2570412.940000000409782,2667737.129999999888241,2624472.300000000279397,2504724.580000000074506,10367346.950000001117587
20180709,2568005.660000000149012,2693183.320000000298023,2616877.380000000353903,2508099.279999999795109,10386165.640000000596046
20180710,2579440.240000000223517,2708762.620000000111759,2628691.699999999720603,2526322.660000000149012,10443217.220000000670552
20180711,2561987.460000000428408,2658908.860000000335276,2611814.100000000093132,2511473.980000000447035,10344184.400000000372529
20180712,2622771.280000000260770,2718629.510000000242144,2643881.540000000037253,2532397.120000000577420,10517679.450000001117587
20180713,2514443.680000000167638,2711878.479999999981374,2653586.160000000149012,2533072.060000000521541,10412980.380000000819564
20180716,2557774.720000000204891,2700972.970000000204891,2640927.959999999962747,2522947.960000000428408,10422623.610000001266599
20180717,2548145.600000000558794,2687470.910000000149012,2638396.319999999832362,2541171.340000000316650,10415184.169999999925494
20180718,2540321.940000000409782,2685912.979999999981374,2655695.859999999869615,2541846.279999999795109,10423777.059999998658895
20180719,2551756.520000000018626,2699415.040000000037253,2637552.439999999944121,2521598.080000000074506,10410322.080000000074506
20180720,2528285.540000000037253,2695779.870000000111759,2637974.380000000353903,2519573.260000000242144,10381613.050000000745058
20180723,2531294.640000000130385,2716552.270000000484288,2645147.359999999869615,2511473.980000000447035,10404468.250000000000000
20180724,2551154.700000000186265,2709801.240000000223517,2675948.979999999981374,2544546.040000000502914,10481450.960000000894070
20180725,2597494.839999999850988,2722783.990000000223517,2721096.559999999590218,2564119.300000000279397,10605494.689999999478459
20180726,2619762.180000000167638,2708762.620000000111759,2700843.440000000409782,2575593.279999999795109,10604961.520000001415610
20180727,2561987.460000000428408,2476111.740000000223517,2678902.560000000055879,2592466.779999999795109,10309468.540000000968575
20180730,2537914.660000000149012,2476631.049999999813735,2734598.640000000130385,2604615.700000000651926,10353760.050000000745058
20180731,2545136.500000000000000,2497922.760000000242144,2779324.280000000260770,2695057.660000000149012,10517441.199999999254942
20180801,2519258.240000000223517,2534793.770000000484288,2763290.559999999590218,2718005.620000000577420,10535348.190000001341105
20180802,2559580.180000000167638,2569587.540000000037253,2751898.180000000167638,2676159.340000000316650,10557225.240000000223517
20180803,2577634.780000000260770,2577377.190000000409782,2781855.920000000391155,2736229.000000000000000,10673096.890000000596046
20180806,2605920.319999999832362,2560239.959999999962747,2794092.180000000167638,2769976.000000000000000,10730228.459999999031425
20180807,2622771.280000000260770,2581012.360000000335276,2809282.020000000018626,2756477.200000000651926,10769542.860000001266599
20180808,2638418.600000000558794,2594514.420000000391155,2813923.359999999869615,2794948.779999999795109,10841805.160000000149012
20180809,2634807.680000000167638,2603862.000000000000000,2784809.500000000000000,2767276.240000000223517,10790755.419999999925494
20180810,2634807.680000000167638,2536871.010000000242144,2787763.079999999608845,2762551.660000000149012,10721993.429999999701977
20180813,2633002.220000000204891,2516098.610000000335276,2815189.180000000167638,2754452.380000000353903,10718742.390000000596046
20180814,2648047.720000000204891,2498961.379999999888241,2804218.739999999757856,2747702.980000000447035,10698930.820000000298023
20180815,2639622.240000000223517,2464686.920000000391155,2842615.280000000260770,2778075.279999999795109,10724999.720000000670552
20180816,2717858.839999999850988,2449626.930000000167638,2905062.399999999906868,2795623.720000000204891,10868171.890000000596046
20180817,2760588.060000000055879,2445991.760000000242144,2913923.140000000130385,2840844.700000000651926,10961347.660000002011657
20180820,2781651.760000000242144,2414833.160000000149012,2960758.479999999981374,2857043.260000000242144,11014286.660000000149012
20180821,2755171.680000000167638,2472995.879999999888241,2918564.479999999981374,2845569.279999999795109,10992301.320000000298023
20180822,2767809.900000000372529,2443395.209999999962747,2913079.260000000242144,2839494.820000000298023,10963779.190000001341105
20180823,2769615.360000000335276,2439760.040000000037253,2910125.680000000167638,2848269.040000000502914,10967770.120000001043081
20180824,2787669.960000000428408,2475073.120000000111759,2913079.260000000242144,2861767.840000000316650,11037590.179999999701977
20180827,2803919.100000000558794,2510905.510000000242144,2910969.559999999590218,2806422.760000000242144,11032216.930000001564622
20180828,2825584.620000000577420,2522330.330000000074506,2895779.719999999739230,2801023.240000000223517,11044717.910000000149012
20180829,2857481.080000000074506,2531677.910000000149012,2903374.640000000130385,2801023.240000000223517,11093556.870000001043081
20180830,2837621.020000000018626,2505193.100000000093132,2891982.260000000242144,2801023.240000000223517,11035819.620000001043081
20180831,2874933.860000000335276,2515059.990000000223517,2894091.959999999962747,2802373.120000000577420,11086458.930000001564622
20180904,2872526.580000000074506,2490652.420000000391155,2867087.800000000279397,2792249.020000000018626,11022515.820000000298023
20180905,2844842.860000000335276,2478188.979999999981374,2895357.780000000260770,2824646.140000000130385,11043035.759999999776483
20180906,2845444.680000000167638,2454300.720000000204891,2927425.219999999739230,2819921.560000000521541,11047092.179999999701977
20180907,2831602.819999999832362,2412236.610000000335276,2939661.479999999981374,2848269.040000000502914,11031769.950000001117587
20180910,2832806.460000000428408,2404446.959999999962747,2935020.140000000130385,2838819.880000000353903,11011093.440000001341105
20180911,2830399.180000000167638,2333301.490000000223517,2914767.020000000018626,2855693.380000000353903,10934161.070000000298023
20180912,2821973.700000000186265,2333301.490000000223517,2947678.339999999850988,2862442.779999999795109,10965396.310000000521541
20180913,2843037.400000000372529,2366537.330000000074506,2988606.520000000018626,2892140.140000000130385,11090321.390000000596046
20180914,2852666.520000000018626,2364979.399999999906868,2952741.620000000111759,2899564.480000000447035,11069952.019999999552965
20180917,2835213.740000000223517,2358747.680000000167638,2971306.979999999981374,2902939.180000000167638,11068207.580000000074506
20180918,2856277.440000000409782,2394060.760000000242144,2971306.979999999981374,2936686.180000000167638,11158331.360000001266599
20180919,2845444.680000000167638,2396657.310000000055879,2952741.620000000111759,2919812.680000000167638,11114656.290000000968575
20180920,2872526.580000000074506,2451184.860000000335276,2986496.819999999832362,2952884.740000000223517,11263093.000000000000000
20180921,2922477.640000000130385,2423142.120000000111759,2999998.899999999906868,2973807.880000000353903,11319426.540000000968575
20180924,2915255.800000000279397,2436124.870000000111759,2986496.819999999832362,2965033.660000000149012,11302911.150000000372529
20180925,2917061.260000000242144,2384193.870000000111759,2981011.600000000093132,2955584.500000000000000,11237851.230000000447035
20180926,2913450.339999999850988,2373288.360000000335276,2967509.520000000018626,2948160.160000000149012,11202408.380000000819564
20180927,2908635.780000000260770,2382635.940000000409782,2983965.180000000167638,2963008.840000000316650,11238245.740000000223517
20180928,2927894.020000000018626,2455858.649999999906868,2993247.859999999869615,2974482.820000000298023,11351483.349999999627471
20181001,2941134.060000000055879,2412236.610000000335276,3018142.319999999832362,2987981.620000000577420,11359494.610000001266599
20181002,2949559.540000000037253,2497922.760000000242144,3027425.000000000000000,2984606.919999999925494,11459514.220000000670552
20181003,2957383.200000000186265,2532197.220000000204891,3011391.280000000260770,3024428.380000000353903,11525400.080000000074506
20181004,2911644.880000000353903,2499480.690000000409782,3005062.180000000167638,3017004.040000000502914,11433191.790000000968575
20181005,2896599.380000000353903,2442356.590000000316650,2997045.319999999832362,3031177.779999999795109,11367179.070000000298023
20181008,2859888.360000000335276,2442356.590000000316650,3015188.739999999757856,3056150.560000000521541,11373584.250000001862645
20181009,2858082.900000000372529,2417429.709999999962747,3052319.459999999962747,3068974.419999999925494,11396806.490000000223517
20181010,2746144.380000000353903,2326550.459999999962747,2972572.800000000279397,3004180.180000000167638,11049447.820000000298023
20181011,2655269.560000000055879,2296949.790000000037253,2884809.280000000260770,2889440.380000000353903,10726469.009999999776483
20181012,2750958.940000000409782,2330704.940000000409782,2945568.640000000130385,2954909.560000000521541,10982142.080000001937151
20181015,2688369.660000000149012,2312529.090000000316650,2930800.739999999757856,2910363.520000000018626,10842063.009999999776483
20181016,2757578.960000000428408,2385751.799999999813735,3005062.180000000167638,2965033.660000000149012,11113426.599999999627471
20181017,2764800.800000000279397,2383155.250000000000000,3030378.579999999608845,3008229.820000000298023,11186564.450000001117587
20181018,2735913.440000000409782,2335378.729999999981374,3046834.239999999757856,2969758.240000000223517,11087884.650000000372529
20181019,2728691.600000000558794,2285005.660000000149012,3052741.399999999906868,3003505.240000000223517,11069943.900000000372529
20181022,2753968.040000000037253,2337455.970000000204891,3062024.079999999608845,2994731.020000000018626,11148179.109999999403954
20181023,2733506.160000000149012,2310971.160000000149012,3042192.899999999906868,2976507.640000000130385,11063177.860000001266599
20181024,2652260.460000000428408,2202954.680000000167638,2976370.260000000242144,2867167.359999999869615,10698752.759999999776483
20181025,2736515.260000000242144,2301104.270000000484288,2951897.739999999757856,2929936.779999999795109,10919454.050000000745058
20181026,2663093.220000000204891,2372769.049999999813735,2970463.100000000093132,2875266.640000000130385,10881592.009999999776483
20181029,2638418.600000000558794,2357709.060000000055879,3014766.800000000279397,2917787.859999999869615,10928682.320000000298023
20181030,2682953.280000000260770,2480266.220000000204891,3074682.280000000260770,2894839.900000000372529,11132741.679999999701977
20181031,2753366.220000000204891,2434566.940000000409782,3105905.839999999850988,2906313.880000000353903,11200152.880000000819564
20181101,2747348.020000000018626,2504154.479999999981374,3085230.780000000260770,2947485.220000000204891,11284218.500000000000000
20181102,2737117.080000000074506,2446511.070000000298023,3049365.879999999888241,2897539.660000000149012,11130533.690000001341105
20181105,2776837.200000000186265,2491171.729999999981374,3085230.780000000260770,2937361.120000000577420,11290600.830000000074506
20181106,2798502.720000000204891,2453781.410000000149012,3093247.640000000130385,2902939.180000000167638,11248470.950000001117587
20181107,2882757.520000000018626,2530119.979999999981374,3167931.020000000018626,2996755.840000000316650,11577564.359999999403954
20181108,2915255.800000000279397,2544141.350000000093132,3184808.620000000111759,2959634.140000000130385,11603839.910000000149012
20181109,2835213.740000000223517,2498442.070000000298023,3158648.339999999850988,2988656.560000000521541,11480960.710000000894070
20181112,2745542.560000000055879,2422622.810000000055879,3151475.359999999869615,2977182.580000000074506,11296823.310000000521541
20181113,2715451.560000000055879,2461051.750000000000000,3148099.839999999850988,2937361.120000000577420,11261964.270000001415610
20181114,2667907.780000000260770,2445472.450000000186265,3126158.959999999962747,2896189.779999999795109,11135728.970000000670552
20181115,2814751.860000000335276,2498442.070000000298023,3157804.459999999962747,2916437.980000000447035,11387436.370000001043081
20181116,2789475.420000000391155,2535832.390000000130385,3209281.140000000130385,2936686.180000000167638,11471275.130000000819564
20181119,2753366.220000000204891,2492729.660000000149012,3221517.399999999906868,2981907.160000000149012,11449520.440000001341105
20181120,2677536.900000000372529,2461051.750000000000000,3155272.819999999832362,2938036.060000000521541,11231897.530000001192093
20181121,2701609.700000000186265,2442356.590000000316650,3155694.760000000242144,2909013.640000000130385,11208674.690000001341105
20181123,2680546.000000000000000,2416910.399999999906868,3150631.479999999981374,2911713.400000000372529,11159801.280000001192093
20181126,2742533.460000000428408,2464167.610000000335276,3183120.859999999869615,2925212.200000000651926,11315034.130000000819564
20181127,2775633.560000000055879,2496364.830000000074506,3221095.459999999962747,2974482.820000000298023,11467576.670000001788139
20181128,2846046.500000000000000,2537390.320000000298023,3258648.120000000111759,3030502.840000000316650,11672587.780000001192093
20181129,2849055.600000000558794,2477150.360000000335276,3287340.040000000037253,3071674.180000000167638,11685220.179999999701977
20181130,2880952.060000000055879,2560759.270000000484288,3347677.459999999962747,3120269.859999999869615,11909658.649999998509884
20181203,2933310.400000000372529,2603342.690000000409782,3342614.180000000167638,3104071.300000000279397,11983338.570000002160668
20181204,2849657.420000000391155,2479746.910000000149012,3299998.239999999757856,3046701.400000000372529,11676103.970000000670552
20181206,2912246.700000000186265,2511944.129999999888241,3306749.280000000260770,3035902.359999999869615,11766842.469999998807907
20181207,2794891.800000000279397,2401331.100000000093132,3237129.180000000167638,2964358.720000000204891,11397710.800000000745058
20181210,2820168.240000000223517,2451704.170000000391155,3266664.979999999981374,2996755.840000000316650,11535293.230000000447035
20181211,2834010.100000000558794,2460532.440000000409782,3253584.839999999850988,2970433.180000000167638,11518560.560000000521541
20181212,2853870.160000000149012,2483901.390000000130385,3291559.440000000409782,2980557.279999999795109,11609888.270000001415610
20181213,2856879.260000000242144,2507789.649999999906868,3333753.440000000409782,3008229.820000000298023,11706652.170000001788139
20181214,2757578.960000000428408,2485459.320000000298023,3227002.620000000111759,2956259.439999999944121,11426300.340000001713634
20181217,2660084.120000000577420,2444953.140000000130385,3174260.120000000111759,2909688.580000000074506,11188985.960000000894070
20181218,2651658.640000000130385,2479227.600000000093132,3136285.520000000018626,2861767.840000000316650,11128939.599999999627471
20181219,2596291.200000000186265,2366537.330000000074506,3112656.879999999888241,2832745.419999999925494,10908230.830000000074506
20181220,2557172.900000000372529,2364979.399999999906868,3100842.559999999590218,2831395.540000000502914,10854390.400000000372529
20181221,2518656.420000000391155,2328627.700000000186265,3075948.100000000093132,2830045.660000000149012,10753277.880000000819564
20181224,2424170.680000000167638,2263713.950000000186265,3002108.600000000093132,2736903.939999999944121,10426897.169999999925494
20181226,2555969.260000000242144,2398734.549999999813735,3122361.500000000000000,2847594.100000000093132,10924659.410000000149012
20181227,2582449.339999999850988,2407562.820000000298023,3180589.219999999739230,2892140.140000000130385,11062741.519999999552965
20181228,2574023.860000000335276,2427815.910000000149012,3180167.280000000260770,2899564.480000000447035,11081571.530000001192093
20181231,2607725.780000000260770,2437163.490000000223517,3224049.040000000037253,2946135.340000000316650,11215073.650000000372529
20190102,2584856.620000000577420,2444953.140000000130385,3189449.959999999962747,2919137.740000000223517,11138397.460000000894070
20190103,2471714.460000000428408,2310451.850000000093132,3124049.260000000242144,2837470.000000000000000,10743685.570000000298023
20190104,2583051.160000000149012,2452223.479999999981374,3218141.879999999888241,2902264.240000000223517,11155680.760000001639128
20190107,2600503.940000000409782,2463648.299999999813735,3182698.920000000391155,2917787.859999999869615,11164639.019999999552965
20190108,2621567.640000000130385,2479227.600000000093132,3206327.559999999590218,2931286.660000000149012,11238409.460000000894070
20190109,2607123.960000000428408,2493248.970000000204891,3181855.040000000037253,2925212.200000000651926,11207440.170000001788139
20190110,2602309.400000000372529,2521811.020000000484288,3142614.620000000111759,2855693.380000000353903,11122428.420000001788139
20190111,2617354.900000000372529,2541025.490000000223517,3160336.100000000093132,2894164.960000000428408,11212881.450000001117587
20190114,2600503.940000000409782,2510905.510000000242144,3095779.280000000260770,2859743.020000000018626,11066931.750000001862645
20190115,2649251.360000000335276,2523888.260000000242144,3143458.500000000000000,2884040.859999999869615,11200638.980000000447035
20190116,2645640.440000000409782,2499480.690000000409782,3148099.839999999850988,2842194.580000000074506,11135415.550000000745058
20190117,2660685.940000000409782,2517137.229999999981374,3189871.899999999906868,2866492.419999999925494,11234187.490000000223517
20190118,2710035.180000000167638,2554527.549999999813735,3201264.280000000260770,2870542.060000000521541,11336369.070000002160668
20190122,2694989.680000000167638,2506751.030000000260770,3199576.520000000018626,2852993.620000000577420,11254310.850000001490116
20190123,2735913.440000000409782,2489613.799999999813735,3183120.859999999869615,2845569.279999999795109,11254217.379999998956919
20190124,2744940.740000000223517,2584128.220000000204891,3087340.479999999981374,2763901.540000000502914,11180310.980000002309680
20190125,2776235.380000000353903,2442875.899999999906868,3078057.800000000279397,2742978.400000000372529,11040147.480000000447035
