代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13681807.070000000298023
真實報酬,3681807.070000000298023

夏普值報酬,0.359480707000000
夏普值風險,0.100075242557842
夏普值,3.592104278860246

預期報酬,16047.610511431892519
風險,223898.929824424645631
趨勢值,0.071673457858937
找到最佳解世代,2008
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),DIS[6](5),HD[9](4),INTC[11](9),NKE[19](3),TRV[22](2),
20141022,2238513.849999999627471,1812995.449999999953434,1965957.020000000251457,2083814.040000000270084,2027706.000000000000000,1871906.320000000065193,12000896.679999999701977
20141023,2278506.250000000000000,1831520.800000000046566,1996707.540000000037253,2110935.120000000111759,2039439.800000000046566,1895211.280000000027940,12152324.789999999105930
20141024,2286982.900000000372529,1844426.100000000093132,2000709.320000000065193,2142576.379999999888241,2051173.600000000325963,1914011.920000000158325,12239884.220000000670552
20141027,2284592.049999999813735,1841095.700000000186265,2010819.080000000074506,2143867.860000000335276,2067871.700000000186265,1936337.680000000167638,12284588.070000000298023
20141028,2320020.099999999627471,1871901.900000000372529,2034408.520000000251457,2178737.820000000298023,2086375.000000000000000,1953179.920000000158325,12444627.259999999776483
20141029,2333061.099999999627471,1863575.900000000139698,2030827.980000000214204,2190361.140000000130385,2075092.500000000000000,1947108.880000000121072,12440031.500000001862645
20141030,2325236.500000000000000,1877938.250000000232831,2053996.180000000167638,2103831.979999999981374,2098560.100000000093132,1958467.600000000093132,12418034.609999999403954
20141031,2347406.200000000186265,1902083.650000000139698,2053996.180000000167638,2196172.799999999813735,2098108.800000000279397,1974134.800000000046566,12571906.430000003427267
20141103,2377835.200000000186265,1908952.600000000093132,2023877.520000000251457,2215545.000000000000000,2108940.000000000000000,1957488.400000000139698,12592642.720000000670552
20141104,2360447.200000000186265,1880644.199999999953434,2021139.459999999962747,2230397.020000000018626,2120222.500000000000000,1980597.520000000018626,12593451.900000000372529
20141105,2366098.299999999813735,1894173.950000000186265,2017348.300000000279397,2180029.299999999813735,2136469.300000000279397,1987647.760000000009313,12581770.910000002011657
20141106,2362620.700000000186265,1914988.950000000186265,2049151.920000000391155,2183903.740000000223517,2134664.100000000093132,1995873.040000000037253,12641206.449999999254942
20141107,2369358.549999999813735,1873358.950000000186265,2056734.240000000223517,2168405.979999999981374,2116160.800000000279397,2004881.680000000167638,12588904.200000001117587
20141110,2365446.250000000000000,1868779.650000000139698,2067475.860000000102445,2147742.299999999813735,2142787.500000000000000,2017023.760000000009313,12609259.320000000298023
20141111,2384355.700000000186265,1872942.650000000372529,2067054.620000000111759,2150971.000000000000000,2140982.299999999813735,2016044.560000000055879,12632354.830000000074506
20141112,2418044.950000000186265,1871277.450000000419095,2074426.320000000065193,2155491.180000000167638,2162193.399999999906868,2018394.640000000130385,12699831.940000001341105
20141113,2452168.899999999441206,1883558.300000000046566,2085167.940000000176951,2174863.379999999888241,2168962.900000000372529,2021723.920000000158325,12786449.339999999850988
20141114,2481728.500000000000000,1890010.950000000186265,2069160.820000000065193,2192298.360000000335276,2154972.600000000093132,2006056.720000000204891,12794231.950000001117587
20141117,2477598.849999999627471,1881893.100000000093132,2064737.800000000279397,2211024.820000000298023,2167609.000000000000000,2012323.600000000093132,12815191.169999999925494
20141118,2509766.650000000372529,1879187.150000000139698,2021560.700000000186265,2241374.600000000093132,2177086.300000000279397,2014282.000000000000000,12843261.400000002235174
20141119,2492378.650000000372529,1869612.250000000000000,2036725.340000000316650,2218127.959999999962747,2187917.500000000000000,2017807.120000000111759,12822572.820000000298023
20141120,2528024.049999999813735,1850462.450000000419095,2055049.280000000027940,2321446.360000000335276,2195589.600000000093132,2026228.239999999990687,12976803.980000000447035
20141121,2531501.650000000372529,1851711.350000000093132,2070003.300000000279397,2298199.720000000204891,2198297.399999999906868,2033082.640000000130385,12982800.060000002384186
20141124,2578449.250000000000000,1885431.650000000139698,2072530.740000000223517,2340818.560000000055879,2210482.500000000000000,2032690.960000000195578,13120407.660000002011657
20141125,2556062.200000000186265,1907703.700000000419095,2043254.560000000288710,2345338.740000000223517,2195589.600000000093132,2025640.720000000204891,13073593.520000001415610
20141126,2586491.200000000186265,1913323.750000000232831,2057787.340000000316650,2382791.660000000149012,2206872.100000000093132,2044049.680000000167638,13191319.730000000447035
20141128,2584969.750000000000000,1925604.600000000325963,2093592.740000000223517,2405392.560000000055879,2240719.600000000093132,2045616.400000000139698,13295899.650000000372529
20141201,2501072.649999999441206,1929559.450000000186265,2082640.500000000000000,2400226.640000000130385,2204615.600000000093132,2045420.560000000055879,13163539.400000000372529
20141202,2491509.250000000000000,1945587.000000000232831,2067475.860000000102445,2427993.459999999962747,2212287.700000000186265,2044637.200000000186265,13189494.469999998807907
20141203,2519764.750000000000000,1938093.600000000093132,2076532.520000000251457,2417015.879999999888241,2222667.600000000093132,2060108.560000000055879,13234186.910000000149012
20141204,2510201.349999999627471,1940591.400000000372529,2084114.840000000316650,2418953.100000000093132,2235304.000000000000000,2058346.000000000000000,13247514.689999999478459
20141205,2499551.200000000186265,1951623.350000000325963,2098647.620000000111759,2432513.640000000130385,2241622.200000000186265,2060304.400000000139698,13284266.410000002011657
20141208,2443040.200000000186265,1952455.950000000186265,2115286.600000000558794,2402163.860000000335276,2205066.899999999906868,2072838.160000000149012,13190855.670000001788139
20141209,2480424.400000000372529,1934555.050000000046566,2098647.620000000111759,2382145.919999999925494,2189722.700000000186265,2056779.280000000027940,13142278.970000000670552
20141210,2433259.450000000186265,1907287.400000000139698,2083904.220000000204891,2351796.140000000130385,2203713.000000000000000,2041895.440000000176951,13021859.650000000372529
20141211,2426086.900000000372529,1909785.200000000186265,2111916.679999999701977,2369876.860000000335276,2187466.200000000186265,2047966.479999999981374,13053102.320000000298023
20141212,2385007.750000000000000,1904373.300000000046566,2101596.299999999813735,2339527.080000000074506,2170316.800000000279397,2020353.040000000037253,12921178.269999999552965
