代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12821910.399999998509884
真實報酬,2821910.399999998509884

夏普值報酬,0.273491040000000
夏普值風險,0.064554502734048
夏普值,4.236591227830090

預期報酬,9980.217305538630171
風險,236881.513305841566762
趨勢值,0.042131685019476
找到最佳解世代,2424
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CSCO[4](4),INTC[11](14),MRK[17](5),MSFT[18](1),PFE[20](9),
20180111,2150133.200000000186265,1936217.709999999497086,2084311.049999999813735,2092905.509999999776483,2016547.100000000325963,10280114.569999998435378
20180112,2191419.830000000074506,1928635.199999999953434,2122667.149999999906868,2129022.229999999981374,2015443.960000000195578,10387188.370000001043081
20180116,2173725.559999999590218,1924174.899999999674037,2246058.000000000000000,2099320.979999999981374,2018753.380000000353903,10462032.820000000298023
20180117,2209114.100000000558794,1979928.649999999674037,2244610.599999999627471,2141853.169999999925494,2050744.440000000176951,10626250.959999999031425
20180118,2214476.000000000000000,1983942.919999999692664,2212044.100000000093132,2140902.729999999981374,2040264.610000000335276,10591630.359999999403954
20180119,2213939.809999999590218,1999107.939999999711290,2217471.849999999627471,2138526.629999999888241,2037506.760000000009313,10606552.989999998360872
20180122,2233778.839999999850988,2040588.729999999748543,2216386.299999999813735,2176781.839999999850988,2036955.190000000176951,10704490.899999998509884
20180123,2257371.200000000186265,2054415.659999999916181,2232669.549999999813735,2183672.529999999795109,2030887.920000000158325,10759016.859999999403954
20180124,2261124.530000000260770,2029884.009999999543652,2213853.349999999627471,2181771.649999999906868,2036955.190000000176951,10723588.729999998584390
20180125,2246647.400000000372529,2020517.379999999655411,2218195.549999999813735,2193889.759999999776483,2053502.290000000037253,10732752.379999998956919
20180126,2282035.940000000409782,2233719.719999999739230,2244972.449999999720603,2234996.290000000037253,2151681.750000000000000,11147406.149999998509884
20180129,2297585.450000000186265,2229259.419999999925494,2230136.600000000093132,2231669.750000000000000,2152233.320000000298023,11140884.540000000968575
20180130,2265414.049999999813735,2176181.849999999627471,2194675.299999999813735,2203631.769999999552965,2084941.780000000027940,10924844.749999998137355
20180131,2227344.559999999590218,2147189.899999999441206,2144016.299999999813735,2257569.240000000223517,2043022.460000000195578,10819142.460000000894070
20180201,2235923.600000000558794,2125334.429999999701977,2166089.149999999906868,2239748.490000000223517,2031439.489999999990687,10798535.160000000149012
20180202,2194636.969999999739230,2058429.929999999701977,2119048.649999999906868,2180821.209999999962747,2019304.950000000186265,10572241.709999997168779
20180205,2079356.120000000111759,1985727.039999999804422,2040889.049999999813735,2091004.629999999888241,1912300.370000000344589,10109277.210000000894070
20180206,2153886.530000000260770,2003122.209999999497086,2006875.149999999906868,2170128.759999999776483,1945946.140000000130385,10279958.789999999105930
20180207,2163001.759999999776483,2016057.079999999841675,2022072.849999999860302,2129259.839999999850988,1929399.040000000037253,10259790.570000000298023
20180208,2078819.930000000167638,1906779.729999999748543,1980460.099999999627471,2019959.239999999990687,1854937.090000000316650,9840956.089999999850988
20180209,2119570.370000000111759,1960303.329999999841675,1985525.999999999767169,2095281.610000000102445,1884170.300000000046566,10044851.610000001266599
20180212,2176942.700000000186265,1999553.969999999739230,2005789.599999999860302,2117854.559999999590218,1911748.800000000046566,10211889.629999998956919
20180213,2210722.669999999925494,1983050.859999999869615,1986611.549999999813735,2134487.259999999776483,1927192.760000000009313,10242065.099999999627471
20180214,2256835.009999999776483,2024085.619999999878928,1986611.549999999813735,2157773.040000000037253,1940982.010000000009313,10366287.229999998584390
20180215,2363536.820000000298023,2048171.239999999757856,2026053.199999999953434,2201730.889999999664724,1969663.650000000139698,10609155.800000000745058
20180216,2376941.570000000298023,2032114.159999999916181,2036908.699999999720603,2186048.629999999888241,2000000.000000000000000,10632013.059999998658895
20180220,2362464.440000000409782,2066012.439999999711290,1989506.349999999627471,2203156.549999999813735,1986210.750000000000000,10607350.529999999329448
20180221,2322250.190000000409782,2049063.299999999580905,1973946.799999999813735,2173930.519999999552965,1972421.500000000000000,10491612.309999998658895
20180222,2302411.160000000149012,2042818.879999999655411,1974670.499999999767169,2179633.160000000149012,1971318.360000000335276,10470852.059999998658895
20180223,2359247.299999999813735,2128902.669999999925494,1985525.999999999767169,2234996.290000000037253,2000000.000000000000000,10708672.259999999776483
20180226,2432169.139999999664724,2190454.809999999590218,2028586.149999999906868,2267311.250000000000000,2045780.310000000288710,10964301.660000000149012
20180227,2415011.059999999590218,2226137.209999999962747,1980098.249999999767169,2238322.830000000074506,2029784.780000000027940,10889354.129999998956919
20180228,2401070.120000000111759,2198483.349999999627471,1962005.749999999767169,2228105.599999999627471,2002757.850000000325963,10792422.669999999925494
20180301,2348523.500000000000000,2133809.000000000000000,1943189.549999999813735,2206245.479999999981374,1965251.090000000316650,10597018.619999999180436
20180302,2362464.440000000409782,2184656.419999999925494,1967071.649999999906868,2210997.679999999701977,1982901.330000000307336,10708091.519999999552965
20180305,2387129.180000000633299,2219000.729999999515712,1968519.049999999813735,2225016.669999999925494,1992278.020000000018626,10791943.649999998509884
20180306,2374796.809999999590218,2261819.609999999403954,1964900.549999999813735,2217413.149999999906868,1979040.340000000316650,10797970.459999999031425
20180307,2369971.100000000558794,2289027.439999999478459,1971051.999999999767169,2230244.089999999850988,1981798.190000000176951,10842092.819999998435378
20180308,2377477.759999999776483,2263157.700000000186265,1981545.649999999674037,2243787.859999999869615,2013237.680000000167638,10879206.649999998509884
20180309,2432705.330000000074506,2327832.049999999813735,1995295.949999999720603,2293923.569999999832362,2028130.070000000298023,11077886.970000000670552
20180312,2442356.750000000000000,2297948.040000000037253,2003256.649999999906868,2299388.599999999627471,2019304.950000000186265,11062254.989999998360872
20180313,2421445.339999999850988,2309544.819999999366701,2003618.499999999767169,2243312.639999999664724,2027026.930000000167638,11004948.229999998584390
20180314,2427879.620000000111759,2313113.059999999590218,1982993.049999999813735,2230006.479999999981374,2004964.130000000353903,10958956.339999999850988
20180315,2430560.570000000298023,2269402.120000000111759,1999276.299999999813735,2237847.609999999869615,2017650.239999999990687,10954736.839999999850988
20180316,2413402.490000000223517,2282336.990000000223517,2014473.999999999767169,2247827.229999999981374,2028681.640000000130385,10986722.350000001490116
20180319,2373724.430000000633299,2267171.969999999739230,1976841.599999999860302,2207195.919999999925494,2003860.989999999990687,10828794.910000000149012
20180320,2379086.330000000074506,2299286.129999999888241,1977203.449999999720603,2212898.559999999590218,2003860.989999999990687,10872335.459999999031425
20180321,2375869.190000000409782,2299732.160000000149012,1979012.699999999720603,2197453.910000000149012,2000551.570000000298023,10852619.530000001192093
20180322,2309381.629999999888241,2267171.969999999739230,1958387.249999999767169,2133536.819999999832362,1963596.380000000353903,10632074.050000000745058
20180323,2274529.280000000260770,2201605.559999999590218,1932695.899999999674037,2071520.610000000102445,1902372.110000000335276,10382723.460000000894070
20180326,2362464.440000000409782,2340766.919999999925494,1955492.449999999720603,2228343.209999999962747,1932708.460000000195578,10819775.480000000447035
20180327,2288470.219999999739230,2283229.049999999813735,1944998.799999999813735,2125933.299999999813735,1931053.750000000000000,10573685.119999999180436
20180328,2233778.839999999850988,2212310.280000000260770,1993486.699999999953434,2124032.419999999925494,1947049.280000000027940,10510657.519999999552965
20180329,2299730.209999999962747,2322925.719999999739230,1971051.999999999767169,2168703.099999999627471,1957529.110000000335276,10719940.140000000596046
20180402,2198926.490000000223517,2181980.240000000223517,1927630.000000000000000,2103360.349999999627471,1933260.030000000027940,10345157.109999999403954
20180403,2218765.520000000484288,2219000.729999999515712,1957301.699999999953434,2131635.939999999944121,1968008.940000000176951,10494712.830000000074506
20180404,2209114.100000000558794,2229705.450000000186265,1973584.949999999720603,2193889.759999999776483,1992829.590000000316650,10599123.849999999627471
20180405,2242357.879999999888241,2247100.620000000111759,1973223.099999999860302,2195077.809999999590218,1970766.790000000037253,10628526.199999999254942
20180406,2183913.169999999925494,2176181.849999999627471,1930886.649999999906868,2143991.660000000149012,1939878.870000000344589,10374852.200000001117587
20180409,2207505.530000000260770,2210080.129999999888241,2032204.649999999674037,2156822.599999999627471,1955874.400000000139698,10562487.310000000521541
20180410,2279354.990000000223517,2286797.290000000037253,2044145.699999999953434,2206958.309999999590218,1982901.330000000307336,10800157.619999999180436
20180411,2275065.469999999739230,2279214.780000000260770,2033652.049999999813735,2182722.089999999850988,1974076.210000000195578,10744730.600000001490116
20180412,2323858.759999999776483,2351471.639999999664724,2053191.949999999953434,2223591.009999999776483,2003309.420000000158325,10955422.779999999329448
20180413,2305628.299999999813735,2313113.059999999590218,2068751.499999999767169,2211710.509999999776483,2003309.420000000158325,10902512.789999999105930
20180416,2321714.000000000000000,2337198.679999999701977,2122305.299999999813735,2237610.000000000000000,2014892.390000000130385,11033720.370000001043081
20180417,2390882.509999999776483,2388046.099999999627471,2144740.000000000000000,2282755.899999999906868,2003860.989999999990687,11210285.500000000000000
20180418,2393027.270000000484288,2391168.309999999590218,2132075.250000000000000,2291547.469999999739230,2012686.110000000335276,11220504.410000000149012
20180419,2389273.940000000409782,2329170.139999999664724,2121943.449999999720603,2283706.339999999850988,2014892.390000000130385,11138986.259999999776483
20180420,2364073.009999999776483,2298394.069999999366701,2128818.599999999627471,2257331.629999999888241,2020408.090000000316650,11069025.399999998509884
20180423,2372652.049999999813735,2279214.780000000260770,2180201.299999999813735,2265647.979999999981374,2029784.780000000027940,11127500.889999998733401
20180424,2345306.360000000335276,2294825.830000000074506,2174411.699999999720603,2212660.950000000186265,2044125.600000000325963,11071330.439999999478459
20180425,2343697.790000000037253,2291703.620000000111759,2157766.600000000093132,2193414.540000000037253,2023165.940000000176951,11009748.490000000223517
20180426,2370507.290000000037253,2366190.629999999888241,2149805.899999999906868,2239748.490000000223517,2032542.630000000353903,11158794.940000001341105
20180427,2397316.790000000037253,2351917.669999999925494,2151977.000000000000000,2276815.649999999906868,2040816.180000000167638,11218843.289999999105930
20180430,2374796.809999999590218,2302408.339999999850988,2130265.999999999534339,2222165.349999999627471,2019304.950000000186265,11048941.449999999254942
20180501,2403751.070000000298023,2378679.469999999739230,2098061.349999999627471,2257331.629999999888241,1952564.979999999981374,11090388.500000000000000
20180502,2351740.639999999664724,2333184.410000000149012,2073455.549999999813735,2221927.740000000223517,1924434.910000000149012,10904743.250000000000000
20180503,2382839.660000000149012,2331846.319999999366701,2081778.099999999860302,2235233.899999999906868,1917264.500000000000000,10948962.479999998584390
20180504,2428952.000000000000000,2354147.819999999366701,2089738.799999999813735,2261133.389999999664724,1921677.060000000288710,11055649.069999998435378
20180507,2452008.169999999925494,2378679.469999999739230,2076350.349999999860302,2286320.049999999813735,1926641.190000000176951,11119999.229999998584390
20180508,2450935.790000000037253,2392060.370000000111759,2053915.649999999674037,2276578.040000000037253,1929399.040000000037253,11102888.890000000596046
20180509,2468630.059999999590218,2423728.500000000000000,2096975.799999999813735,2303427.969999999739230,1939878.870000000344589,11232641.199999999254942
20180510,2482571.000000000000000,2452274.419999999925494,2100956.149999999906868,2326476.139999999664724,1932708.460000000195578,11294986.170000001788139
20180511,2462731.969999999739230,2438447.490000000223517,2159937.699999999720603,2321486.330000000074506,1958080.680000000167638,11340684.169999999925494
20180514,2450399.600000000558794,2448706.179999999701977,2159575.849999999627471,2329327.459999999962747,1977937.200000000186265,11365946.289999999105930
20180515,2438603.419999999925494,2404995.240000000223517,2142207.049999999813735,2312457.149999999906868,1968560.510000000009313,11266823.369999999180436
20180516,2421445.339999999850988,2437109.399999999441206,2162108.799999999813735,2308417.779999999795109,1968008.940000000176951,11297090.259999997913837
20180517,2330293.040000000037253,2444691.910000000149012,2137503.000000000000000,2285369.609999999869615,1969663.650000000139698,11167521.210000000894070
20180518,2316888.290000000037253,2444691.910000000149012,2140035.949999999720603,2289646.589999999850988,1965802.660000000149012,11157065.400000000372529
20180521,2345842.549999999813735,2422836.439999999478459,2119410.500000000000000,2319110.229999999981374,1974627.780000000027940,11181827.499999998137355
20180522,2340480.650000000372529,2428634.830000000074506,2115068.299999999813735,2316734.129999999888241,1970215.220000000204891,11171133.130000000819564
20180523,2342089.219999999739230,2462533.109999999403954,2141121.500000000000000,2344296.889999999664724,1984004.470000000204891,11274045.189999999478459
20180524,2336191.129999999888241,2442015.729999999515712,2139674.100000000093132,2335980.540000000037253,1979591.910000000149012,11233453.410000000149012
20180525,2319569.240000000223517,2472791.799999999813735,2138226.699999999720603,2337168.589999999850988,1968008.940000000176951,11235765.269999999552965
20180529,2304019.730000000447035,2467439.439999999478459,2113259.049999999813735,2328852.240000000223517,1969112.080000000307336,11182682.540000000968575
20180530,2297585.450000000186265,2483496.519999999552965,2161023.250000000000000,2351187.580000000074506,1988417.030000000027940,11281709.830000000074506
20180531,2290078.790000000037253,2462087.080000000074506,2154148.099999999627471,2348573.870000000111759,1981798.190000000176951,11236686.029999999329448
20180601,2341016.839999999850988,2545940.719999999739230,2191418.649999999906868,2394907.819999999832362,1999448.430000000167638,11472732.459999999031425
20180604,2336727.320000000298023,2534789.969999999739230,2244248.750000000000000,2415817.500000000000000,2010479.830000000307336,11542063.369999999180436
20180605,2341553.030000000260770,2521409.069999999366701,2221452.199999999720603,2428173.219999999739230,2009928.260000000009313,11522515.779999999329448
20180606,2373188.240000000223517,2543710.569999999366701,2240992.099999999627471,2435301.519999999552965,2006618.840000000316650,11599811.269999999552965
20180607,2340480.650000000372529,2492417.120000000111759,2243163.199999999720603,2397046.309999999590218,2012686.110000000335276,11485793.390000000596046
20180608,2331365.419999999925494,2455396.629999999888241,2264512.349999999627471,2414867.059999999590218,2022614.370000000344589,11488755.830000000074506
20180611,2342625.410000000149012,2431757.040000000037253,2255466.099999999627471,2401085.679999999701977,2002206.280000000027940,11433140.509999999776483
20180612,2356030.160000000149012,2445137.939999999478459,2259446.449999999720603,2407263.540000000037253,2002206.280000000027940,11470084.369999999180436
20180613,2359783.490000000223517,2454504.569999999366701,2264874.199999999720603,2396333.479999999981374,1997793.720000000204891,11473289.460000000894070
20180614,2396244.410000000149012,2477252.099999999627471,2227603.649999999906868,2409877.250000000000000,1994484.300000000046566,11505461.710000000894070
20180615,2372652.049999999813735,2458072.809999999590218,2244610.599999999627471,2379225.559999999590218,2005515.700000000186265,11460076.719999998807907
20180618,2370507.290000000037253,2373773.139999999664724,2206978.199999999720603,2396571.089999999850988,1994484.300000000046566,11342314.019999999552965
20180619,2349595.879999999888241,2360838.269999999552965,2208425.599999999627471,2396571.089999999850988,1997793.720000000204891,11313224.560000000521541
20180620,2345306.360000000335276,2360838.269999999552965,2217471.849999999627471,2420569.700000000186265,2011031.400000000139698,11355217.580000000074506
20180621,2314207.339999999850988,2327832.049999999813735,2213853.349999999627471,2403224.169999999925494,2002206.280000000027940,11261323.189999999478459
20180622,2316352.100000000558794,2341658.979999999515712,2224347.000000000000000,2385878.639999999664724,2013789.250000000000000,11282025.969999998807907
20180625,2267558.809999999590218,2261819.609999999403954,2210234.849999999627471,2337881.419999999925494,2006618.840000000316650,11084113.529999997466803
20180626,2281499.750000000000000,2215432.490000000223517,2197208.250000000000000,2354276.509999999776483,2006618.840000000316650,11055035.839999999850988
20180627,2269703.570000000298023,2174843.759999999776483,2166812.850000000093132,2317684.569999999832362,1997242.150000000139698,10926286.900000000372529
20180628,2302411.160000000149012,2196699.229999999515712,2182010.549999999813735,2343584.059999999590218,2005515.700000000186265,11030220.699999999254942
20180629,2307236.870000000111759,2217216.609999999403954,2196484.549999999813735,2343108.839999999850988,2001103.140000000130385,11065150.009999999776483
20180702,2295440.690000000409782,2239072.080000000074506,2187800.149999999906868,2376374.240000000223517,2003860.989999999990687,11102548.150000000372529
20180703,2287934.030000000260770,2206511.889999999664724,2196846.399999999906868,2353563.679999999701977,2004964.130000000353903,11049820.130000000819564
20180705,2282035.940000000409782,2263603.729999999515712,2230498.449999999720603,2370433.990000000223517,2033645.770000000018626,11180217.879999998956919
20180706,2290078.790000000037253,2291257.589999999850988,2250762.049999999813735,2403699.389999999664724,2046883.450000000186265,11282681.269999999552965
20180709,2287934.030000000260770,2313113.059999999590218,2244248.750000000000000,2420094.479999999981374,2049641.300000000046566,11315031.620000001043081
20180710,2298121.639999999664724,2326493.959999999962747,2254380.549999999813735,2426509.950000000186265,2064533.690000000176951,11370039.789999999105930
20180711,2282572.129999999888241,2283675.080000000074506,2239906.549999999813735,2423183.410000000149012,2052399.150000000139698,11281736.320000000298023
20180712,2336727.320000000298023,2334968.530000000260770,2267407.149999999906868,2475695.219999999739230,2069497.820000000298023,11484296.039999999105930
20180713,2240213.120000000111759,2329170.139999999664724,2275729.699999999720603,2505158.859999999869615,2070049.390000000130385,11420321.209999999031425
20180716,2278818.799999999813735,2319803.509999999776483,2264874.199999999720603,2492803.139999999664724,2061775.840000000316650,11418075.489999998360872
20180717,2270239.759999999776483,2308206.729999999515712,2262703.099999999627471,2517514.580000000074506,2076668.229999999981374,11435332.399999998509884
20180718,2263269.290000000037253,2306868.639999999664724,2277538.949999999720603,2497792.950000000186265,2077219.800000000046566,11422689.629999998956919
20180719,2273456.900000000372529,2318465.419999999925494,2261979.399999999906868,2480685.029999999795109,2060672.700000000186265,11395259.449999999254942
20180720,2252545.490000000223517,2315343.209999999962747,2262341.250000000000000,2525118.099999999627471,2059017.989999999990687,11414366.040000000968575
20180723,2255226.440000000409782,2333184.410000000149012,2268492.699999999720603,2565511.799999999813735,2052399.150000000139698,11474814.500000001862645
20180724,2272920.709999999962747,2327386.019999999552965,2294907.750000000000000,2558145.889999999664724,2079426.080000000307336,11532786.449999999254942
20180725,2314207.339999999850988,2338536.769999999552965,2333625.699999999720603,2633468.259999999776483,2095421.610000000335276,11715259.679999999701977
20180726,2334046.370000000111759,2326493.959999999962747,2316256.899999999906868,2604717.450000000186265,2104798.299999999813735,11686312.980000000447035
20180727,2282572.129999999888241,2126672.519999999552965,2297440.699999999720603,2558621.109999999869615,2118587.549999999813735,11383894.009999997913837
20180730,2261124.530000000260770,2127118.549999999813735,2345204.899999999906868,2503733.200000000186265,2128515.810000000521541,11365696.990000000223517
20180731,2267558.809999999590218,2145405.780000000260770,2383561.000000000000000,2520603.509999999776483,2202426.189999999944121,11519555.289999999105930
20180801,2244502.639999999664724,2177073.910000000149012,2369810.699999999720603,2525355.709999999962747,2221179.570000000298023,11537922.530000001192093
20180802,2280427.370000000111759,2206957.919999999925494,2360040.750000000000000,2556007.399999999906868,2186982.229999999981374,11590415.669999999925494
20180803,2296513.070000000298023,2213648.370000000111759,2385732.100000000093132,2567175.069999999832362,2236071.959999999962747,11699140.570000000298023
20180806,2321714.000000000000000,2198929.379999999888241,2396225.750000000000000,2569313.559999999590218,2263650.459999999962747,11749833.149999998509884
20180807,2336727.320000000298023,2216770.580000000074506,2409252.349999999627471,2587134.309999999590218,2252619.060000000521541,11802503.619999999180436
20180808,2350668.259999999776483,2228367.359999999403954,2413232.699999999720603,2601628.519999999552965,2284058.549999999813735,11877955.389999996870756
20180809,2347451.120000000111759,2236395.899999999441206,2388265.049999999813735,2605905.500000000000000,2261444.180000000167638,11839461.750000000000000
20180810,2347451.120000000111759,2178858.030000000260770,2390797.999999999534339,2589985.629999999888241,2257583.189999999944121,11764675.970000000670552
20180813,2345842.549999999813735,2161016.830000000074506,2414318.250000000000000,2571214.439999999944121,2250964.350000000093132,11743356.419999999925494
20180814,2359247.299999999813735,2146297.839999999850988,2404910.149999999441206,2603291.790000000037253,2245448.650000000372529,11759195.729999998584390
20180815,2351740.639999999664724,2116859.859999999403954,2437838.500000000000000,2558145.889999999664724,2270269.299999999813735,11734854.189999997615814
20180816,2421445.339999999850988,2103924.990000000223517,2491392.299999999813735,2557670.669999999925494,2284610.120000000111759,11859043.420000001788139
20180817,2459514.830000000074506,2100802.780000000260770,2498991.149999999906868,2556245.009999999776483,2321565.310000000521541,11937119.080000000074506
20180820,2478281.480000000447035,2074040.979999999748543,2539156.500000000000000,2539374.700000000186265,2334802.990000000223517,11965656.650000000372529
20180821,2454689.120000000111759,2123996.339999999850988,2502971.500000000000000,2518227.410000000149012,2325426.299999999813735,11925310.670000001788139
20180822,2465949.110000000335276,2098572.629999999888241,2498267.450000000186265,2543889.290000000037253,2320462.170000000391155,11927140.650000000372529
20180823,2467557.680000000633299,2095450.419999999692664,2495734.500000000000000,2555769.790000000037253,2327632.580000000540167,11942144.970000000670552
20180824,2483643.379999999888241,2125780.459999999962747,2498267.450000000186265,2575729.029999999795109,2338663.979999999981374,12022084.300000000745058
20180827,2498120.509999999776483,2156556.530000000260770,2496458.199999999720603,2604242.229999999981374,2293435.240000000223517,12048812.710000000894070
20180828,2517423.350000000558794,2166369.189999999478459,2483431.599999999627471,2619924.490000000223517,2289022.680000000167638,12076171.309999998658895
20180829,2545841.419999999925494,2174397.729999999515712,2489944.899999999906868,2661743.849999999627471,2289022.680000000167638,12160950.579999998211861
20180830,2528147.150000000372529,2151650.200000000186265,2480174.950000000186265,2660080.580000000074506,2289022.680000000167638,12109075.560000000521541
20180831,2561390.930000000633299,2160124.769999999552965,2481984.199999999720603,2669109.759999999776483,2290125.820000000298023,12162735.480000000447035
20180904,2559246.169999999925494,2139161.359999999403954,2458825.799999999813735,2654377.939999999944121,2281852.270000000018626,12093463.539999999105930
20180905,2534581.430000000633299,2128456.639999999664724,2483069.750000000000000,2577867.519999999552965,2308327.630000000353903,12032302.970000000670552
20180906,2535117.620000000111759,2107939.259999999776483,2510570.349999999627471,2583807.769999999552965,2304466.640000000130385,12041901.640000000596046
20180907,2522785.250000000000000,2071810.829999999841675,2521064.000000000000000,2571214.439999999944121,2327632.580000000540167,12014507.099999999627471
20180910,2523857.629999999888241,2065120.379999999655411,2517083.649999999906868,2599014.809999999590218,2319910.600000000093132,12024987.069999998435378
20180911,2521712.870000000111759,2004014.269999999785796,2499714.849999999627471,2643210.269999999552965,2333699.850000000093132,12002352.109999997541308
20180912,2514206.209999999962747,2004014.269999999785796,2527939.149999999906868,2654377.939999999944121,2339215.549999999813735,12039753.119999997317791
20180913,2532972.860000000335276,2032560.189999999711290,2563038.599999999627471,2682891.139999999664724,2363484.630000000353903,12174947.419999999925494
20180914,2541551.900000000372529,2031222.099999999627471,2532281.350000000093132,2693821.200000000186265,2369551.900000000372529,12168428.450000001117587
20180917,2526002.389999999664724,2025869.739999999757856,2548202.750000000000000,2664595.169999999925494,2372309.750000000000000,12136979.799999998882413
20180918,2544769.040000000037253,2056199.779999999795109,2548202.750000000000000,2690019.439999999944121,2399888.250000000000000,12239079.259999999776483
20180919,2535117.620000000111759,2058429.929999999701977,2532281.350000000093132,2654140.330000000074506,2386099.000000000000000,12166068.230000000447035
20180920,2559246.169999999925494,2105263.080000000074506,2561229.349999999627471,2698573.399999999906868,2413125.930000000167638,12337437.929999999701977
20180921,2603749.940000000409782,2081177.459999999497086,2572808.549999999813735,2714968.490000000223517,2430224.600000000093132,12402929.040000000968575
20180924,2597315.660000000149012,2092328.209999999497086,2561229.349999999627471,2724710.500000000000000,2423054.189999999944121,12398637.909999998286366
20180925,2598924.230000000447035,2047725.209999999497086,2556525.299999999813735,2719483.080000000074506,2415332.209999999962747,12337990.030000001192093
20180926,2595707.089999999850988,2038358.579999999841675,2544946.099999999627471,2708315.410000000149012,2409264.939999999944121,12296592.119999999180436
20180927,2591417.570000000298023,2046387.119999999878928,2559058.250000000000000,2718532.639999999664724,2421399.479999999981374,12336795.060000000521541
