代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12167120.219999998807907
真實報酬,2167120.219999998807907

夏普值報酬,0.208012022000000
夏普值風險,0.064992588944068
夏普值,3.200549868524448

預期報酬,9726.109233511331695
風險,190415.767283767112531
趨勢值,0.051078276616752
找到最佳解世代,1910
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,5
JNJ[12](1),MRK[17](5),PG[21](2),VZ[26](4),WMT[28](20),
20151117,2174605.600000000093132,2174934.080000000074506,2087013.999999999767169,2072166.620000000111759,1848242.600000000093132,10356962.900000000372529
20151118,2199671.680000000167638,2195990.959999999962747,2110088.000000000000000,2085956.420000000158325,1879396.050000000046566,10471103.110000001266599
20151119,2195815.359999999869615,2198015.660000000149012,2118984.000000000000000,2103423.500000000000000,1872301.699999999953434,10488540.219999998807907
20151120,2195601.120000000111759,2190726.740000000223517,2107864.000000000000000,2086416.080000000074506,1852869.349999999860302,10433477.290000000968575
20151123,2201814.080000000074506,2187082.280000000260770,2112034.000000000000000,2068029.680000000167638,1858729.899999999906868,10427689.940000001341105
20151124,2186174.560000000055879,2165620.459999999962747,2125378.000000000000000,2077222.879999999888241,1848242.600000000093132,10402638.499999998137355
20151125,2184460.640000000130385,2175339.020000000484288,2110088.000000000000000,2064812.060000000055879,1858113.000000000000000,10392812.720000000670552
20151127,2193244.479999999981374,2185057.580000000074506,2104528.000000000000000,2079061.520000000018626,1847317.250000000000000,10409208.830000000074506
20151130,2169035.359999999869615,2146588.280000000260770,2080620.000000000000000,2089174.040000000270084,1814930.000000000000000,10300347.680000001564622
20151201,2193030.240000000223517,2209758.919999999925494,2111200.000000000000000,2095149.620000000111759,1819556.750000000000000,10428695.530000001192093
20151202,2186388.799999999813735,2179388.419999999925494,2107030.000000000000000,2064812.060000000055879,1799815.949999999953434,10337435.229999998584390
20151203,2159394.560000000055879,2129580.799999999813735,2105640.000000000000000,2048264.300000000279397,1821099.000000000000000,10263978.660000000149012
20151204,2205670.400000000372529,2172099.500000000000000,2163742.000000000000000,2101125.200000000186265,1840222.899999999906868,10482860.000000001862645
20151207,2213597.279999999795109,2173719.259999999776483,2178754.000000000000000,2117213.299999999813735,1866132.699999999953434,10549416.539999999105930
20151208,2194315.680000000167638,2165215.520000000484288,2161518.000000000000000,2100665.540000000037253,1838680.649999999906868,10460395.390000002458692
20151209,2188531.200000000186265,2138894.419999999925494,2160128.000000000000000,2085037.100000000093132,1823875.050000000046566,10396465.770000001415610
20151210,2199028.959999999962747,2174124.200000000186265,2162630.000000000000000,2083198.460000000195578,1837138.400000000139698,10456120.020000001415610
20151211,2178461.920000000391155,2111763.440000000409782,2162352.000000000000000,2060215.460000000195578,1830969.399999999906868,10343762.220000002533197
20151214,2188531.200000000186265,2113788.140000000596046,2176530.000000000000000,2089174.040000000270084,1862739.750000000000000,10430763.130000000819564
20151215,2230950.720000000204891,2142133.940000000409782,2215172.000000000000000,2093770.639999999897555,1839606.000000000000000,10521633.300000000745058
20151216,2254945.600000000093132,2187487.220000000670552,2251590.000000000000000,2137898.000000000000000,1859963.699999999953434,10691884.519999999552965
20151217,2220452.959999999962747,2132415.379999999888241,2232130.000000000000000,2119051.940000000409782,1819248.299999999813735,10523298.580000001937151
20151218,2184246.400000000372529,2091111.500000000000000,2172082.000000000000000,2094230.300000000279397,1815238.449999999953434,10356908.650000000372529
20151221,2176319.520000000018626,2100425.120000000111759,2194878.000000000000000,2109858.740000000223517,1836829.949999999953434,10418311.330000000074506
20151222,2200528.640000000130385,2109738.740000000223517,2212948.000000000000000,2130083.780000000260770,1867366.500000000000000,10520665.660000000149012
20151223,2217239.359999999869615,2145373.459999999962747,2221844.000000000000000,2158123.040000000037253,1884331.250000000000000,10626911.109999999403954
20151224,2222166.879999999888241,2140109.240000000223517,2218230.000000000000000,2147091.200000000186265,1876311.549999999813735,10603908.870000001043081
20151228,2211454.879999999888241,2139704.299999999813735,2221844.000000000000000,2148929.839999999850988,1873843.949999999953434,10595776.969999998807907
20151229,2228808.320000000298023,2159951.299999999813735,2234076.000000000000000,2170074.200000000186265,1900370.649999999906868,10693280.470000000670552
20151230,2223452.320000000298023,2156306.839999999850988,2226014.000000000000000,2149849.160000000149012,1902529.800000000046566,10658152.120000001043081
20151231,2200742.879999999888241,2138894.419999999925494,2207666.000000000000000,2124567.860000000335276,1890808.699999999953434,10562679.859999999403954
20160104,2152753.120000000111759,2125126.459999999962747,2178754.000000000000000,2108479.759999999776483,1895743.899999999906868,10460857.240000000223517
20160105,2161751.200000000186265,2152257.440000000409782,2185704.000000000000000,2137438.339999999850988,1940777.600000000093132,10577928.580000000074506
20160106,2150824.959999999962747,2122696.820000000298023,2164576.000000000000000,2092391.660000000149012,1960209.949999999953434,10490699.390000000596046
20160107,2125758.879999999888241,2104069.580000000074506,2145672.000000000000000,2080900.160000000149012,2005860.550000000046566,10462261.170000001788139
20160108,2103049.439999999944121,2068434.860000000102445,2112034.000000000000000,2060675.120000000111759,1959901.500000000000000,10304094.919999999925494
20160111,2090409.280000000027940,2075318.840000000083819,2131494.000000000000000,2072626.280000000260770,1980876.099999999860302,10350724.500000000000000
20160112,2104763.359999999869615,2095970.780000000027940,2127046.000000000000000,2065271.719999999972060,1962369.099999999860302,10355420.959999999031425
20160113,2078626.080000000074506,2051427.379999999888241,2108698.000000000000000,2029418.239999999990687,1909932.600000000093132,10178102.300000000745058
20160114,2118688.959999999962747,2097590.540000000037253,2117038.000000000000000,2062513.760000000009313,1945095.900000000139698,10340927.160000000149012
20160115,2078197.600000000093132,2070864.500000000000000,2084512.000000000000000,2042288.719999999972060,1910241.050000000046566,10186103.869999999180436
20160119,2088909.600000000093132,2078963.300000000279397,2133162.000000000000000,2062513.760000000009313,1929673.400000000139698,10293222.060000000521541
20160120,2051417.600000000093132,2046973.040000000037253,2108142.000000000000000,2041829.060000000055879,1876620.000000000000000,10124981.700000001117587
20160121,2055488.160000000149012,2061955.820000000065193,2132884.000000000000000,2108479.759999999776483,1908698.800000000046566,10267506.540000000968575
20160122,2072841.600000000093132,2079368.240000000223517,2150676.000000000000000,2162259.980000000447035,1933683.249999999767169,10398829.070000000298023
20160125,2065343.200000000186265,2061955.820000000065193,2136498.000000000000000,2161800.320000000298023,1957125.449999999953434,10382722.789999999105930
20160126,2167749.920000000391155,2083417.640000000130385,2190986.000000000000000,2217878.839999999850988,1974090.199999999953434,10634122.599999999627471
20160127,2188745.439999999944121,2039684.119999999878928,2190708.000000000000000,2253732.320000000298023,1972547.949999999953434,10645417.829999998211861
20160128,2191102.080000000074506,1992306.140000000130385,2219064.000000000000000,2252813.000000000000000,1980876.099999999860302,10636161.320000000298023
20160129,2237592.160000000149012,2051832.320000000065193,2271050.000000000000000,2296940.360000000335276,2046884.399999999906868,10904299.240000000223517
20160201,2236092.479999999981374,2055071.840000000083819,2255204.000000000000000,2333253.500000000000000,2082047.699999999953434,10961669.519999999552965
20160202,2215525.439999999944121,2041303.879999999888241,2230184.000000000000000,2294182.400000000372529,2062306.899999999906868,10843502.620000001043081
20160203,2231164.959999999962747,2026726.040000000037253,2254648.000000000000000,2326818.259999999776483,2044108.349999999860302,10883465.609999999403954
20160204,2226023.200000000186265,1967604.800000000279397,2243528.000000000000000,2318084.719999999739230,2048735.100000000093132,10803975.819999998435378
20160205,2154038.560000000055879,1999595.060000000288710,2257428.000000000000000,2342906.360000000335276,2066625.199999999953434,10820593.179999999701977
20160208,2185317.600000000093132,1977323.360000000102445,2296904.000000000000000,2332334.180000000633299,2063540.700000000186265,10855419.839999999850988
20160209,2184674.879999999888241,1990686.379999999888241,2297460.000000000000000,2305214.240000000223517,2029919.650000000139698,10807955.150000000372529
20160210,2179533.120000000111759,2005669.160000000149012,2269104.000000000000000,2297400.019999999552965,2029302.750000000232831,10781009.050000000745058
20160211,2178890.400000000372529,1978133.240000000223517,2221288.000000000000000,2270280.080000000074506,2014805.599999999627471,10663397.320000000298023
20160212,2181461.279999999795109,1985422.160000000149012,2251590.000000000000000,2303375.599999999627471,2041332.300000000279397,10763181.339999999850988
20160216,2192173.279999999795109,2015792.660000000149012,2264934.000000000000000,2309351.180000000633299,2032695.700000000186265,10814946.820000000298023
20160217,2196029.600000000093132,2048997.740000000223517,2292178.000000000000000,2313028.459999999962747,2039173.149999999906868,10889406.950000001117587
20160218,2233307.359999999869615,2037659.420000000158325,2279112.000000000000000,2341527.379999999888241,1977791.600000000093132,10869397.759999999776483
20160219,2231593.439999999944121,2029560.619999999878928,2273830.000000000000000,2337850.099999999627471,1994447.899999999906868,10867282.060000000521541
20160222,2244233.600000000093132,2055881.720000000204891,2283282.000000000000000,2347502.959999999962747,2024367.549999999813735,10955267.830000001937151
20160223,2229879.520000000018626,2046568.100000000093132,2274386.000000000000000,2327277.919999999925494,2050585.800000000046566,10928697.339999999850988
20160224,2248732.640000000130385,2047377.980000000214204,2267436.000000000000000,2336011.459999999962747,2070326.600000000093132,10969884.679999999701977
20160225,2279154.720000000204891,2065195.340000000083819,2289120.000000000000000,2349341.599999999627471,2098704.000000000000000,11081515.660000000149012
20160226,2266300.320000000298023,2050617.500000000000000,2254648.000000000000000,2345204.660000000149012,2051511.150000000139698,10968281.630000000819564
20160229,2254088.640000000130385,2033205.080000000074506,2232130.000000000000000,2331874.519999999552965,2046267.500000000000000,10897565.740000000223517
20160301,2297150.879999999888241,2095565.840000000083819,2258262.000000000000000,2365429.700000000186265,2049968.899999999674037,11066377.320000000298023
20160302,2293294.560000000055879,2116622.720000000670552,2294958.000000000000000,2395767.259999999776483,2042257.649999999674037,11142900.190000001341105
20160303,2284939.200000000186265,2109738.740000000223517,2303020.000000000000000,2385195.080000000074506,2040098.500000000000000,11122991.519999999552965
20160304,2281725.600000000093132,2108928.860000000335276,2321090.000000000000000,2381517.799999999813735,2059839.300000000046566,11153101.560000002384186
20160307,2286867.359999999869615,2131605.500000000000000,2310248.000000000000000,2399904.200000000186265,2094077.250000000000000,11222702.309999998658895
20160308,2275726.879999999888241,2123911.640000000596046,2309136.000000000000000,2411395.700000000186265,2098704.000000000000000,11218874.220000000670552
20160309,2289009.760000000242144,2120267.179999999701977,2306356.000000000000000,2405879.780000000260770,2082973.050000000046566,11204485.769999999552965
20160310,2295436.959999999962747,2147803.099999999627471,2287452.000000000000000,2404960.459999999962747,2079271.649999999906868,11214924.169999999925494
20160311,2307648.640000000130385,2154282.140000000596046,2272718.000000000000000,2414613.320000000298023,2071868.850000000093132,11221130.950000001117587
20160314,2306577.439999999944121,2149422.860000000335276,2256594.000000000000000,2415072.980000000447035,2077729.399999999906868,11205396.680000001564622
20160315,2308719.840000000316650,2122696.820000000298023,2260486.000000000000000,2421048.560000000521541,2100246.250000000000000,11213197.470000000670552
20160316,2301221.439999999944121,2103259.700000000186265,2261320.000000000000000,2445870.200000000186265,2097161.750000000000000,11208833.089999999850988
20160317,2286867.359999999869615,2086657.160000000149012,2300518.000000000000000,2465175.919999999925494,2080505.449999999953434,11219723.889999998733401
20160318,2303149.600000000093132,2115812.839999999850988,2311638.000000000000000,2447249.180000000633299,2065082.949999999953434,11242932.570000000298023
20160321,2298436.320000000298023,2138084.540000000037253,2316364.000000000000000,2456442.379999999888241,2096544.849999999860302,11305872.089999999850988
20160322,2300578.720000000204891,2147398.160000000149012,2300240.000000000000000,2445870.200000000186265,2093460.350000000093132,11287547.430000001564622
20160323,2324573.600000000093132,2149422.860000000335276,2302464.000000000000000,2432080.400000000372529,2080813.899999999674037,11289354.760000001639128
20160324,2320503.040000000037253,2149017.919999999925494,2304410.000000000000000,2461958.299999999813735,2097470.200000000186265,11333359.460000000894070
20160328,2318789.120000000111759,2139299.360000000335276,2296904.000000000000000,2454603.740000000223517,2101171.600000000558794,11310767.820000000298023
20160329,2338284.959999999962747,2159141.419999999925494,2301908.000000000000000,2484481.639999999664724,2098395.549999999813735,11382211.570000000298023
20160330,2334857.120000000111759,2155092.020000000484288,2298572.000000000000000,2484021.980000000447035,2122146.200000000186265,11394689.320000000298023
20160331,2318146.400000000372529,2142538.879999999888241,2288286.000000000000000,2485860.620000000111759,2112584.250000000000000,11347416.150000000372529
20160401,2339356.160000000149012,2174529.140000000596046,2322202.000000000000000,2482643.000000000000000,2130165.900000000372529,11448896.200000001117587
20160404,2326501.760000000242144,2202874.940000000409782,2313306.000000000000000,2501489.060000000521541,2131399.700000000186265,11475571.460000000894070
20160405,2334214.400000000372529,2196395.900000000372529,2311916.000000000000000,2486320.280000000260770,2117211.000000000000000,11446057.580000001937151
20160406,2344283.680000000167638,2252682.560000000521541,2329986.000000000000000,2460119.660000000149012,2129549.000000000000000,11516620.900000000372529
20160407,2341070.080000000074506,2244178.820000000298023,2314140.000000000000000,2390251.339999999850988,2104256.099999999627471,11393896.339999999850988
20160408,2337428.000000000000000,2241749.179999999701977,2313028.000000000000000,2398525.219999999739230,2099320.900000000372529,11390051.299999998882413
20160411,2334642.879999999888241,2229196.040000000037253,2299962.000000000000000,2372324.599999999627471,2078963.200000000186265,11315088.719999998807907
20160412,2348140.000000000000000,2240939.299999999813735,2302742.000000000000000,2387953.040000000037253,2122146.200000000186265,11401920.539999999105930
20160413,2353924.479999999981374,2266045.580000000074506,2292456.000000000000000,2357615.480000000447035,2132941.950000000186265,11402983.490000002086163
20160414,2353281.760000000242144,2285887.640000000596046,2279946.000000000000000,2360833.099999999627471,2122146.200000000186265,11402094.699999999254942
20160415,2360565.920000000391155,2273334.500000000000000,2288008.000000000000000,2360373.440000000409782,2130165.900000000372529,11412447.759999999776483
20160418,2376633.920000000391155,2288317.280000000260770,2302742.000000000000000,2377840.519999999552965,2154841.900000000372529,11500375.620000001043081
20160419,2414125.920000000391155,2302490.179999999701977,2315252.000000000000000,2393928.620000000111759,2152065.849999999627471,11577862.569999998435378
20160420,2433407.520000000018626,2291151.860000000335276,2267158.000000000000000,2378759.839999999850988,2134792.649999999441206,11505269.870000001043081
20160421,2433193.279999999795109,2291961.740000000223517,2246308.000000000000000,2299698.320000000298023,2111967.349999999627471,11383128.689999999478459
20160422,2427837.279999999795109,2297630.900000000372529,2250478.000000000000000,2323600.639999999664724,2119678.599999999627471,11419225.419999999925494
20160425,2431907.840000000316650,2276574.020000000484288,2263266.000000000000000,2333253.500000000000000,2142812.349999999627471,11447813.710000000894070
20160426,2419053.439999999944121,2269285.099999999627471,2211558.000000000000000,2318544.379999999888241,2137568.700000000186265,11356009.619999997317791
20160427,2416054.080000000074506,2280218.480000000447035,2221010.000000000000000,2376001.879999999888241,2141270.099999999627471,11434554.540000000968575
20160428,2409841.120000000111759,2257136.900000000372529,2217396.000000000000000,2345204.660000000149012,2125539.149999999441206,11355117.829999998211861
20160429,2401271.520000000018626,2220692.299999999813735,2227404.000000000000000,2341527.379999999888241,2062615.350000000093132,11253510.549999998882413
20160502,2415625.600000000093132,2239319.540000000037253,2251034.000000000000000,2358994.459999999962747,2084823.750000000000000,11349797.350000001490116
20160503,2414340.160000000149012,2230410.860000000335276,2254648.000000000000000,2329576.219999999739230,2066625.199999999953434,11295600.439999999478459
20160504,2404270.879999999888241,2219477.480000000447035,2268548.000000000000000,2336930.780000000260770,2072485.749999999767169,11301712.890000000596046
20160505,2418410.720000000204891,2190321.799999999813735,2260208.000000000000000,2336930.780000000260770,2073102.649999999674037,11278973.950000001117587
20160506,2415411.359999999869615,2170479.740000000223517,2283282.000000000000000,2349801.259999999776483,2105181.450000000186265,11324155.809999998658895
20160509,2436406.879999999888241,2190726.740000000223517,2283004.000000000000000,2347962.620000000111759,2126772.950000000186265,11384873.190000001341105
20160510,2456759.680000000167638,2214213.259999999776483,2293012.000000000000000,2369106.980000000447035,2121837.750000000000000,11454929.669999999925494
20160511,2450332.479999999981374,2199230.480000000447035,2283838.000000000000000,2351180.240000000223517,2048426.649999999906868,11333007.850000001490116
20160512,2447333.120000000111759,2191536.620000000111759,2291066.000000000000000,2365889.360000000335276,2061998.449999999720603,11357823.550000000745058
20160513,2432979.040000000037253,2181818.060000000521541,2258262.000000000000000,2341527.379999999888241,2003084.499999999767169,11217670.980000000447035
20160516,2451832.160000000149012,2212998.440000000409782,2269382.000000000000000,2354857.519999999552965,2036397.099999999860302,11325467.220000000670552
20160517,2438763.520000000018626,2199635.419999999925494,2241304.000000000000000,2339688.740000000223517,2008019.699999999720603,11227411.379999998956919
20160518,2433621.760000000242144,2213808.320000000298023,2219898.000000000000000,2316246.080000000074506,1947871.949999999953434,11131446.109999999403954
20160519,2417768.000000000000000,2210163.860000000335276,2229350.000000000000000,2281311.919999999925494,2134484.200000000186265,11273077.980000000447035
20160520,2413268.959999999962747,2231625.679999999701977,2224624.000000000000000,2282690.900000000372529,2154841.900000000372529,11307051.439999999478459
20160523,2402985.439999999944121,2223931.820000000298023,2229628.000000000000000,2258788.580000000074506,2143737.700000000186265,11259071.539999999105930
20160524,2414340.160000000149012,2251467.740000000223517,2251034.000000000000000,2279013.620000000111759,2166563.000000000000000,11362418.519999999552965
20160525,2428480.000000000000000,2290746.919999999925494,2265212.000000000000000,2291424.440000000409782,2173965.799999999813735,11449829.160000000149012
20160526,2418839.200000000186265,2283458.000000000000000,2257984.000000000000000,2305673.900000000372529,2185378.450000000186265,11451333.550000000745058
20160527,2422267.040000000037253,2287102.459999999962747,2263822.000000000000000,2326818.259999999776483,2182293.950000000186265,11482303.710000000894070
20160531,2414340.160000000149012,2278193.780000000260770,2252980.000000000000000,2339688.740000000223517,2183219.299999999813735,11468421.980000000447035
20160601,2416268.320000000298023,2281028.360000000335276,2273830.000000000000000,2318084.719999999739230,2174582.700000000186265,11463794.100000001490116
20160602,2452903.359999999869615,2300870.419999999925494,2278278.000000000000000,2333713.160000000149012,2188462.950000000186265,11554227.890000000596046
20160603,2458687.840000000316650,2293581.500000000000000,2292734.000000000000000,2340608.060000000521541,2185995.350000000558794,11571606.750000000000000
20160606,2480326.080000000074506,2315043.320000000298023,2301074.000000000000000,2330955.200000000186265,2191547.450000000186265,11618946.050000000745058
20160607,2479469.120000000111759,2308159.339999999850988,2288564.000000000000000,2378759.839999999850988,2190930.549999999813735,11645882.850000001490116
20160608,2480968.799999999813735,2333265.620000000111759,2297738.000000000000000,2368187.660000000149012,2198641.799999999813735,11678801.879999998956919
20160609,2506677.600000000093132,2315448.259999999776483,2312194.000000000000000,2387953.040000000037253,2192781.250000000000000,11715054.149999998509884
20160610,2506891.840000000316650,2300465.480000000447035,2313028.000000000000000,2421048.560000000521541,2194323.500000000000000,11735757.380000000819564
20160613,2502178.560000000055879,2272119.679999999701977,2295514.000000000000000,2416451.959999999962747,2175508.049999999813735,11661772.250000000000000
20160614,2509248.479999999981374,2277788.839999999850988,2317198.000000000000000,2435757.680000000633299,2188462.950000000186265,11728455.949999999254942
20160615,2494037.439999999944121,2271309.799999999813735,2306078.000000000000000,2428862.780000000260770,2193706.600000000558794,11693994.620000001043081
20160616,2498964.959999999962747,2328406.339999999850988,2318866.000000000000000,2457361.700000000186265,2199258.700000000186265,11802857.699999999254942
20160617,2474113.120000000111759,2263211.000000000000000,2311082.000000000000000,2472070.820000000298023,2188462.950000000186265,11708939.890000000596046
20160620,2496822.560000000055879,2273334.500000000000000,2308580.000000000000000,2471151.500000000000000,2193089.700000000186265,11742978.260000001639128
20160621,2489109.920000000391155,2277788.839999999850988,2318866.000000000000000,2486779.940000000409782,2204193.899999999441206,11776738.599999997764826
20160622,2495108.640000000130385,2309779.099999999627471,2323314.000000000000000,2483562.320000000298023,2213138.950000000186265,11824903.010000001639128
20160623,2514818.720000000204891,2335695.259999999776483,2341106.000000000000000,2512980.560000000521541,2223934.700000000186265,11928535.240000002086163
20160624,2477326.720000000204891,2262806.060000000521541,2286896.000000000000000,2501948.719999999739230,2219616.399999999441206,11748593.899999998509884
20160627,2497036.799999999813735,2239724.480000000447035,2258262.000000000000000,2516198.180000000633299,2205427.700000000186265,11716649.160000000149012
20160628,2533029.120000000111759,2250657.860000000335276,2292456.000000000000000,2519875.459999999962747,2205736.150000000372529,11801754.590000001713634
20160629,2556595.520000000018626,2310184.040000000037253,2332766.000000000000000,2530907.299999999813735,2235038.899999999441206,11965491.759999997913837
20160630,2598800.799999999813735,2332860.679999999701977,2353894.000000000000000,2566760.780000000260770,2252312.099999999627471,12104628.359999999403954
20160701,2598586.560000000055879,2346223.700000000186265,2356952.000000000000000,2584687.519999999552965,2245834.650000000372529,12132284.429999999701977
20160705,2619582.080000000074506,2348653.339999999850988,2375300.000000000000000,2598477.320000000298023,2256013.500000000000000,12198026.240000000223517
20160706,2627508.959999999962747,2395626.379999999888241,2363902.000000000000000,2586066.500000000000000,2276988.099999999627471,12250091.939999999478459
20160707,2624723.840000000316650,2380238.660000000149012,2358342.000000000000000,2545616.419999999925494,2268043.049999999813735,12176963.969999998807907
20160708,2632008.000000000000000,2403320.240000000223517,2384474.000000000000000,2569518.740000000223517,2277605.000000000000000,12266925.980000000447035
20160711,2633721.920000000391155,2402915.299999999813735,2383918.000000000000000,2570897.719999999739230,2284390.900000000372529,12275843.840000001713634
20160712,2633507.680000000167638,2413443.740000000223517,2383918.000000000000000,2549753.360000000335276,2260023.349999999627471,12240646.130000000819564
20160713,2635221.600000000093132,2411419.040000000037253,2387810.000000000000000,2574115.339999999850988,2270819.100000000558794,12279385.080000001937151
20160714,2639077.920000000391155,2415468.440000000409782,2387254.000000000000000,2566760.780000000260770,2273286.700000000186265,12281847.839999999850988
20160715,2635221.600000000093132,2414658.560000000521541,2391146.000000000000000,2566760.780000000260770,2272361.349999999627471,12280148.290000000968575
20160718,2638220.959999999962747,2389957.220000000670552,2388922.000000000000000,2570897.719999999739230,2277605.000000000000000,12265602.900000000372529
20160719,2683425.600000000093132,2375379.379999999888241,2395594.000000000000000,2560325.540000000037253,2272052.899999999441206,12286777.419999998062849
20160720,2681068.959999999962747,2380643.599999999627471,2371964.000000000000000,2556648.259999999776483,2276062.750000000000000,12266387.570000000298023
20160721,2681283.200000000186265,2380643.599999999627471,2370296.000000000000000,2545156.759999999776483,2267734.599999999627471,12245114.159999998286366
20160722,2678712.320000000298023,2381858.419999999925494,2383084.000000000000000,2578711.940000000409782,2268659.950000000186265,12291026.629999998956919
20160725,2675712.959999999962747,2371329.980000000447035,2385308.000000000000000,2568139.759999999776483,2274828.950000000186265,12275319.649999998509884
20160726,2681283.200000000186265,2363231.179999999701977,2370574.000000000000000,2519415.799999999813735,2274212.049999999813735,12208716.230000000447035
20160727,2673142.080000000074506,2372949.740000000223517,2348056.000000000000000,2542858.459999999962747,2261565.599999999627471,12198571.880000000819564
