代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13456761.959999999031425
真實報酬,3456761.959999999031425

夏普值報酬,0.336976196000000
夏普值風險,0.094211120942540
夏普值,3.576819728166952

預期報酬,15339.152768852640293
風險,206431.641481550730532
趨勢值,0.074306209352230
找到最佳解世代,2543
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](1),DIS[6](4),HD[9](11),INTC[11](3),KO[14](10),TRV[22](2),UNH[23](5),
20140610,1882847.979999999981374,1667413.360000000102445,1500882.209999999962747,1643959.099999999860302,1551330.000000000000000,1671457.500000000000000,1577393.920000000158325,11495287.069999998435378
20140611,1875056.949999999953434,1658756.800000000046566,1483594.440000000176951,1625913.070000000065193,1543397.879999999888241,1667942.500000000000000,1584508.960000000195578,11439173.600000001490116
20140612,1843693.060000000055879,1629049.060000000055879,1457941.620000000111759,1627659.459999999962747,1526778.199999999953434,1669700.000000000000000,1570081.239999999990687,11324905.640000000596046
20140613,1823516.290000000037253,1629049.060000000055879,1451249.580000000074506,1738846.290000000037253,1524889.599999999860302,1676905.750000000000000,1564942.600000000093132,11409402.169999999925494
20140616,1841895.130000000121072,1638886.060000000055879,1466678.450000000186265,1746996.110000000102445,1535843.479999999748543,1677784.500000000000000,1541621.080000000074506,11449707.810000000521541
20140617,1839497.889999999897555,1636131.699999999953434,1487498.130000000121072,1743503.329999999841675,1545664.199999999953434,1673566.500000000000000,1544980.960000000195578,11470845.710000000894070
20140618,1841495.590000000083819,1644394.780000000027940,1500324.540000000037253,1742339.070000000065193,1569838.280000000027940,1676730.000000000000000,1565535.520000000018626,11540660.780000001192093
20140619,1835102.949999999953434,1648132.840000000083819,1495305.510000000009313,1751653.149999999906868,1578525.839999999850988,1680245.000000000000000,1591228.720000000204891,11580197.009999999776483
20140620,1816124.799999999813735,1629442.540000000037253,1490286.480000000214204,1758056.579999999841675,1574748.639999999897555,1662494.250000000000000,1609016.320000000065193,11540172.609999999403954
20140623,1814526.639999999897555,1628262.100000000093132,1499023.310000000055879,1759802.969999999972060,1576259.519999999785796,1668821.250000000000000,1610597.439999999944121,11557296.229999998584390
20140624,1803539.290000000037253,1626688.180000000167638,1495119.620000000111759,1775520.479999999981374,1580792.159999999916181,1663900.250000000000000,1615538.439999999944121,11561101.419999999925494
20140625,1805137.449999999953434,1650690.460000000195578,1496978.520000000018626,1797641.419999999925494,1584947.080000000074506,1667239.500000000000000,1627396.840000000083819,11630034.269999999552965
20140626,1815925.030000000027940,1661511.160000000149012,1501068.100000000093132,1791820.120000000111759,1587591.120000000111759,1659330.750000000000000,1626408.640000000130385,11643657.920000001788139
20140627,1837500.190000000176951,1678234.060000000055879,1508131.919999999925494,1800552.070000000065193,1593634.639999999897555,1650719.000000000000000,1620677.080000000074506,11689451.960000000894070
20140630,1856478.340000000083819,1686890.620000000111759,1504971.790000000037253,1798805.679999999934807,1600055.879999999888241,1653355.249999999767169,1615736.080000000074506,11716296.639999998733401
20140701,1868264.769999999785796,1701252.640000000130385,1520958.330000000074506,1803462.719999999972060,1597411.839999999850988,1673390.750000000000000,1618503.040000000037253,11783247.089999999850988
20140702,1867465.690000000176951,1700662.420000000158325,1523932.570000000065193,1803462.719999999972060,1597411.839999999850988,1663021.500000000000000,1630361.439999999944121,11786321.179999999701977
20140703,1878453.040000000037253,1708532.020000000251457,1525233.800000000046566,1812776.800000000046566,1595145.519999999785796,1666888.000000000000000,1647358.479999999981374,11834390.660000000149012
20140707,1917208.419999999925494,1703613.520000000251457,1513522.730000000214204,1806373.370000000111759,1591746.040000000037253,1661791.250000000000000,1625025.160000000149012,11819283.490000002086163
20140708,1904822.679999999934807,1689251.500000000000000,1501253.990000000223517,1792402.250000000000000,1584191.639999999897555,1654585.500000000000000,1619293.600000000093132,11745804.160000000149012
20140709,1905621.760000000009313,1716008.140000000130385,1500696.320000000065193,1798223.550000000046566,1584569.360000000102445,1664427.500000000000000,1635302.439999999944121,11804852.070000000298023
20140710,1898629.810000000055879,1708925.500000000000000,1475972.950000000186265,1819762.360000000102445,1596278.679999999934807,1657397.500000000000000,1622258.199999999953434,11779228.000000000000000
20140711,1902225.669999999925494,1709515.720000000204891,1479876.640000000130385,1819180.229999999981374,1585324.799999999813735,1664076.000000000232831,1637871.760000000242144,11798073.819999998435378
20140714,1926797.380000000121072,1706958.100000000093132,1477088.290000000037253,1833151.349999999860302,1600811.320000000065193,1679542.000000000000000,1665541.360000000102445,11889892.799999998882413
20140715,1904223.369999999878928,1694956.960000000195578,1484523.890000000130385,1845958.209999999962747,1590235.159999999916181,1686396.250000000000000,1658228.680000000167638,11864525.519999999552965
20140716,1893435.790000000037253,1679217.760000000009313,1480806.090000000083819,2017104.429999999934807,1590990.599999999860302,1680596.500000000000000,1655461.720000000204891,11997615.890000000596046
20140717,1859674.660000000149012,1672922.080000000074506,1478761.300000000046566,1961802.080000000074506,1587213.400000000139698,1664427.500000000000000,1682143.120000000111759,11906947.140000000596046
20140718,1886443.840000000083819,1688267.800000000046566,1488613.469999999972060,1961802.080000000074506,1602699.919999999925494,1675675.500000000000000,1690246.360000000102445,11993751.969999998807907
20140721,1876655.109999999869615,1686890.620000000111759,1481735.540000000037253,1982758.760000000009313,1601566.760000000009313,1674269.500000000000000,1681154.920000000158325,11985034.209999999031425
20140722,1892237.169999999925494,1696137.399999999906868,1497164.410000000149012,2025254.250000000000000,1555862.639999999897555,1610472.250000000000000,1700721.280000000027940,11977852.400000000372529
20140723,1941580.359999999869615,1692792.820000000298023,1506087.130000000121072,2008372.479999999981374,1541509.280000000027940,1613108.500000000000000,1698547.239999999990687,12002000.810000000521541
20140724,1938384.040000000037253,1707745.060000000055879,1509433.150000000139698,1993819.229999999981374,1547552.799999999813735,1632441.000000000000000,1693408.600000000093132,12022786.880000000819564
20140725,1951169.320000000065193,1696530.880000000121072,1506273.020000000018626,1993819.229999999981374,1548685.959999999962747,1618732.500000000000000,1673644.600000000093132,11988858.509999999776483
20140728,1978138.269999999785796,1714630.960000000195578,1507016.580000000074506,1992654.969999999739230,1536598.919999999925494,1614866.000000000000000,1694792.080000000074506,12038700.779999999329448
20140729,1965352.989999999990687,1695940.660000000149012,1505343.570000000065193,1990326.449999999953434,1524134.159999999916181,1601509.000000000000000,1665541.360000000102445,11948151.189999999478459
20140730,1960758.280000000027940,1715811.399999999906868,1519842.990000000223517,1999640.530000000027940,1496560.599999999860302,1598345.500000000000000,1639452.880000000121072,11930415.180000001564622
20140731,1909816.929999999934807,1689644.979999999981374,1502927.000000000000000,1972862.550000000046566,1484095.839999999850988,1574092.000000000000000,1601901.280000000027940,11735343.580000000074506
20140801,1920404.739999999990687,1679807.979999999981374,1482479.100000000093132,1964130.600000000093132,1484095.839999999850988,1574970.750000000000000,1610597.439999999944121,11716489.449999999254942
20140804,1909617.160000000149012,1716401.620000000111759,1487684.020000000018626,1982176.629999999888241,1488250.760000000009313,1580067.500000000000000,1626013.360000000102445,11790214.050000000745058
20140805,1900227.969999999972060,1706761.360000000102445,1487684.020000000018626,1910574.639999999897555,1479940.919999999925494,1566359.000000000000000,1600715.439999999944121,11652266.349999999627471
20140806,1897031.649999999906868,1703613.520000000251457,1496792.630000000121072,1912321.030000000027940,1507892.199999999953434,1576552.500000000000000,1610795.080000000074506,11705001.609999999403954
20140807,1887442.690000000176951,1682365.600000000093132,1495863.180000000167638,1902424.820000000065193,1486362.159999999916181,1580067.500000000000000,1566523.720000000204891,11601052.670000001788139
20140808,1892636.709999999962747,1708728.760000000009313,1532297.620000000111759,1897767.780000000027940,1490139.360000000102445,1590261.000000000000000,1583520.760000000242144,11695354.990000000223517
20140811,1917607.959999999962747,1721516.860000000102445,1540662.669999999925494,1922217.240000000223517,1494672.000000000000000,1593424.500000000000000,1578579.760000000242144,11768683.990000000223517
20140812,1917208.419999999925494,1715811.399999999906868,1541406.230000000214204,1928620.670000000158325,1498826.919999999925494,1600981.750000000000000,1585497.160000000149012,11788355.550000000745058
20140813,1942579.209999999962747,1723484.260000000009313,1545124.030000000260770,1985087.280000000027940,1508647.639999999897555,1604145.250000000000000,1610992.720000000204891,11920063.390000000596046
20140814,1947773.229999999981374,1743355.000000000000000,1558879.890000000130385,1975773.199999999953434,1517712.919999999925494,1620841.500000000000000,1617119.560000000055879,11981458.300000000745058
20140815,1957362.190000000176951,1756536.580000000074506,1555719.760000000009313,1989162.190000000176951,1544153.320000000065193,1619259.750000000000000,1610202.160000000149012,12032398.950000001117587
20140818,1980935.049999999813735,1770111.640000000130385,1553860.860000000102445,2003133.309999999823049,1561906.159999999916181,1634374.250000000000000,1627396.840000000083819,12131721.109999999403954
20140819,2008303.540000000037253,1772472.520000000251457,1640113.820000000065193,1999058.400000000139698,1558506.679999999934807,1632968.250000000000000,1649730.160000000149012,12261156.370000001043081
20140820,2009102.619999999878928,1767554.020000000251457,1686958.100000000093132,2008372.479999999981374,1558128.959999999962747,1636483.250000000000000,1648939.600000000093132,12315542.029999999329448
20140821,2009302.389999999897555,1778177.979999999981374,1694393.700000000186265,2046210.929999999934807,1564172.479999999748543,1651070.500000000000000,1655659.360000000102445,12398990.339999999850988
20140822,2024085.369999999878928,1780342.120000000111759,1692163.020000000018626,2033986.199999999953434,1553218.599999999860302,1647731.250000000000000,1655857.000000000000000,12387386.560000000521541
20140825,2028480.310000000055879,1778177.979999999981374,1695323.150000000139698,2026418.510000000009313,1564172.479999999748543,1657221.750000000000000,1664948.439999999944121,12414745.619999999180436
20140826,2015495.260000000009313,1771095.340000000083819,1703316.419999999925494,2025836.379999999888241,1571349.159999999916181,1655640.000000000000000,1682340.760000000242144,12425076.319999998435378
20140827,2040266.739999999990687,1777981.240000000223517,1707777.780000000260770,2025254.250000000000000,1571349.159999999916181,1665482.000000000000000,1707243.399999999906868,12495357.570000000298023
20140828,2042663.979999999981374,1775226.880000000121072,1719674.740000000223517,2017104.429999999934807,1572482.320000000065193,1658100.500000000000000,1706452.840000000083819,12491708.689999999478459
20140829,2047658.229999999981374,1768340.979999999981374,1738077.850000000093132,2032821.940000000176951,1575881.799999999813735,1664603.250000000000000,1713172.600000000093132,12540559.650000000372529
20140902,2063639.829999999841675,1786441.060000000055879,1694393.700000000186265,2012447.389999999897555,1572860.040000000037253,1661264.000000000000000,1707441.040000000037253,12498490.059999998658895
20140903,1976540.109999999869615,1789195.420000000158325,1654427.350000000093132,2012447.389999999897555,1578148.120000000111759,1660385.250000000000000,1715346.640000000130385,12386493.280000001192093
20140904,1960158.969999999972060,1773456.220000000204891,1671715.120000000111759,2032239.809999999823049,1581547.599999999860302,1656694.500000000000000,1720682.920000000158325,12396498.140000000596046
20140905,1977139.419999999925494,1789195.420000000158325,1702944.640000000130385,2037478.979999999981374,1580414.440000000176951,1655815.750000000000000,1734320.080000000074506,12477311.730000000447035
20140908,1964953.449999999953434,1781719.300000000046566,1688259.330000000074506,2056689.269999999785796,1578148.120000000111759,1639295.250000000000000,1737482.320000000065193,12446550.039999999105930
20140909,1957561.959999999962747,1762832.260000000009313,1653126.120000000111759,2032239.809999999823049,1584191.639999999897555,1631913.750000000000000,1750328.920000000158325,12372197.459999999031425
20140910,2017692.729999999981374,1761258.340000000083819,1659074.600000000093132,2038643.240000000223517,1592879.199999999953434,1637537.750000000000000,1724438.080000000074506,12431526.939999999478459
20140911,2026282.840000000083819,1770111.640000000130385,1658516.930000000167638,2038643.240000000223517,1584569.360000000102445,1633144.000000000000000,1721078.199999999953434,12432349.209999999031425
20140912,2030877.549999999813735,1764209.440000000176951,1651453.110000000102445,2015358.039999999804422,1566061.080000000074506,1624356.500000000000000,1703290.600000000093132,12355609.320000000298023
20140915,2030278.239999999990687,1772275.780000000027940,1661491.169999999925494,2010701.000000000000000,1567571.959999999962747,1644216.250000000000000,1700326.000000000000000,12386863.399999998509884
20140916,2014895.949999999953434,1776013.840000000083819,1678035.380000000121072,2033404.070000000065193,1572860.040000000037253,1645798.000000000000000,1722659.320000000065193,12443669.600000001490116
