代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13498270.909999998286366
真實報酬,3498270.909999998286366

夏普值報酬,0.341127091000000
夏普值風險,0.088490300004982
夏普值,3.854965922601618

預期報酬,13610.191339115752271
風險,201499.912179223785643
趨勢值,0.067544403329616
找到最佳解世代,2897
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](1),HD[9](12),INTC[11](3),JNJ[12](11),KO[14](9),TRV[22](2),UNH[23](7),
20140311,1455173.799999999813735,1415683.900000000139698,1426840.119999999878928,1449815.589999999850988,1451009.199999999720603,1424140.859999999869615,1437999.880000000121072,10060666.349999999627471
20140312,1456693.959999999729916,1402970.950000000186265,1428571.000000000000000,1451521.359999999869615,1438668.189999999711290,1421585.010000000009313,1434672.039999999804422,10034685.509999997913837
20140313,1440542.260000000009313,1372320.550000000046566,1417608.759999999776483,1442217.159999999916181,1419969.689999999711290,1407272.250000000000000,1423764.120000000111759,9923697.789999999105930
20140314,1424390.559999999823049,1382421.250000000000000,1413570.039999999804422,1439270.829999999841675,1427449.089999999850988,1408464.979999999981374,1399544.840000000083819,9895114.589999999850988
20140317,1429901.139999999897555,1385904.250000000000000,1425109.239999999757856,1456638.669999999925494,1431188.790000000037253,1423459.300000000046566,1419142.120000000111759,9971346.509999997913837
20140318,1442442.459999999729916,1390083.849999999860302,1432032.759999999776483,1456793.739999999990687,1436050.399999999906868,1430445.290000000037253,1442067.239999999990687,10029918.740000000223517
20140319,1442062.419999999925494,1388864.800000000046566,1443571.959999999729916,1451366.290000000037253,1426327.179999999934807,1417666.040000000037253,1478303.719999999972060,10048165.410000000149012
20140320,1435221.699999999953434,1394785.900000000139698,1467227.319999999832362,1459585.000000000000000,1437920.250000000000000,1418177.209999999962747,1507329.880000000121072,10120250.259999999776483
20140321,1446432.879999999888241,1400532.850000000093132,1452226.359999999869615,1487652.669999999925494,1437546.279999999795109,1427548.659999999916181,1503817.160000000149012,10155759.859999999403954
20140324,1463724.699999999953434,1387297.449999999953434,1449341.559999999823049,1476332.560000000055879,1436050.399999999906868,1428911.780000000027940,1502707.880000000121072,10144369.330000000074506
20140325,1479496.359999999869615,1383988.600000000093132,1468958.199999999953434,1510137.819999999832362,1444277.739999999757856,1431808.409999999916181,1499380.039999999804422,10218050.169999999925494
20140326,1465244.859999999869615,1373539.600000000093132,1464342.519999999785796,1505020.509999999776483,1443903.769999999785796,1421585.010000000009313,1507514.760000000009313,10181154.029999999329448
20140327,1458974.199999999953434,1370230.750000000232831,1460303.799999999813735,1508587.119999999878928,1451757.139999999897555,1422607.349999999860302,1497901.000000000000000,10170364.359999999403954
20140328,1457264.019999999785796,1370927.350000000093132,1478189.559999999823049,1511068.239999999990687,1456618.750000000000000,1431126.849999999860302,1508993.800000000046566,10214191.570000000298023
20140331,1457074.000000000000000,1378067.500000000000000,1489151.799999999813735,1523318.770000000018626,1445773.619999999646097,1450040.139999999897555,1515834.359999999869615,10259263.189999999478459
20140401,1470375.399999999906868,1382421.250000000000000,1499537.079999999608845,1518821.739999999990687,1436424.369999999646097,1437942.449999999953434,1513061.160000000149012,10258586.449999999254942
20140402,1472845.659999999916181,1392347.800000000046566,1493767.479999999748543,1523318.770000000018626,1433432.609999999869615,1442372.590000000083819,1508808.919999999925494,10266896.829999998211861
20140403,1462584.579999999841675,1382769.550000000046566,1523769.399999999906868,1523783.979999999981374,1423709.389999999897555,1447995.459999999962747,1520641.239999999990687,10285256.599999999627471
20140404,1443582.579999999841675,1370927.350000000093132,1509345.399999999906868,1526265.099999999860302,1429318.939999999711290,1451744.040000000037253,1507329.880000000121072,10238516.290000000968575
20140407,1420970.199999999953434,1343237.500000000000000,1528385.079999999608845,1518046.389999999897555,1444277.739999999757856,1448336.239999999990687,1499010.280000000027940,10202266.429999997839332
20140408,1420970.199999999953434,1342889.199999999953434,1552617.399999999906868,1520682.579999999841675,1454748.899999999906868,1443735.709999999962747,1491245.319999999832362,10226892.309999998658895
20140409,1439592.159999999916181,1354208.950000000186265,1556656.119999999878928,1534483.810000000055879,1458114.629999999888241,1462308.219999999972060,1504741.560000000055879,10310108.450000001117587
20140410,1420970.199999999953434,1337142.250000000000000,1524923.319999999832362,1497111.939999999944121,1454374.929999999934807,1448165.849999999860302,1478858.359999999869615,10161549.849999997764826
20140411,1410519.099999999860302,1318334.050000000046566,1510499.319999999832362,1502229.250000000000000,1444651.709999999962747,1453447.939999999944121,1459630.840000000083819,10099315.209999999031425
20140414,1416219.699999999953434,1323036.100000000093132,1532423.799999999813735,1506416.139999999897555,1448391.409999999683350,1456855.739999999990687,1463883.080000000074506,10147228.969999998807907
20140415,1405958.619999999878928,1321642.900000000139698,1544539.959999999729916,1538360.560000000055879,1502617.059999999823049,1463500.949999999953434,1469984.120000000111759,10246607.169999998062849
20140416,1408808.919999999925494,1333659.250000000000000,1553771.319999999832362,1531382.409999999916181,1517949.830000000074506,1478665.659999999916181,1445579.959999999962747,10269820.350000001490116
20140417,1424960.619999999878928,1342540.900000000139698,1560117.879999999655411,1534638.879999999888241,1522811.439999999711290,1476961.760000000009313,1401023.880000000121072,10263058.359999999403954
20140421,1441872.399999999906868,1357691.949999999953434,1554925.239999999757856,1550766.159999999916181,1523933.349999999860302,1472190.840000000083819,1385678.840000000083819,10287061.779999999329448
20140422,1443392.559999999823049,1387471.600000000093132,1548578.679999999701977,1553557.419999999925494,1522437.469999999972060,1480539.949999999953434,1400654.120000000111759,10336634.800000000745058
20140423,1424390.559999999823049,1367444.350000000093132,1543386.039999999804422,1554177.699999999953434,1523185.409999999683350,1501668.309999999823049,1392704.280000000027940,10306959.650000000372529
20140424,1541252.859999999869615,1389213.100000000093132,1543386.039999999804422,1550145.879999999888241,1522063.500000000000000,1509506.250000000000000,1415999.160000000149012,10471569.789999999105930
20140425,1552654.059999999823049,1382421.250000000000000,1515115.000000000000000,1547509.689999999944121,1533656.569999999832362,1504735.330000000074506,1398805.319999999832362,10434900.220000000670552
20140428,1612700.379999999888241,1396179.100000000093132,1519153.719999999739230,1571545.540000000037253,1534404.510000000009313,1527397.199999999953434,1400284.359999999869615,10561667.809999998658895
20140429,1607949.879999999888241,1384859.350000000093132,1527808.119999999878928,1566738.369999999878928,1517201.889999999897555,1548866.340000000083819,1390300.840000000083819,10543727.789999999105930
20140430,1601869.239999999757856,1384685.200000000186265,1539924.279999999795109,1570770.189999999944121,1525429.229999999748543,1543413.859999999869615,1387342.760000000009313,10553437.759999999776483
20140501,1605669.639999999897555,1381550.500000000000000,1526077.239999999757856,1558984.869999999878928,1525055.260000000009313,1547673.609999999869615,1385678.840000000083819,10530692.959999999031425
20140502,1608519.939999999944121,1382769.550000000046566,1523769.399999999906868,1540066.329999999841675,1531412.750000000000000,1550570.239999999990687,1387157.880000000121072,10524269.090000001713634
20140505,1631322.339999999850988,1370404.899999999906868,1509922.359999999869615,1550766.159999999916181,1524307.319999999832362,1544606.590000000083819,1390855.479999999981374,10522188.150000000372529
20140506,1613650.479999999981374,1348287.850000000093132,1511653.239999999757856,1543167.729999999981374,1514210.129999999888241,1531486.559999999823049,1391410.120000000111759,10453869.109999999403954
20140507,1607949.879999999888241,1342366.750000000000000,1521461.559999999823049,1564877.529999999795109,1529916.869999999646097,1551762.969999999972060,1440403.319999999832362,10558741.879999998956919
20140508,1596168.639999999897555,1341844.300000000046566,1519730.679999999701977,1558519.659999999916181,1523185.409999999683350,1554659.599999999860302,1421545.560000000055879,10515656.849999999627471
20140509,1589517.939999999944121,1353338.199999999953434,1517422.839999999850988,1564877.529999999795109,1528420.989999999757856,1555681.939999999944121,1422654.840000000083819,10531917.279999999329448
20140512,1609280.019999999785796,1363090.600000000093132,1521461.559999999823049,1558829.799999999813735,1526551.139999999897555,1568290.800000000046566,1437260.359999999869615,10584767.279999999329448
20140513,1611750.279999999795109,1345675.600000000093132,1526077.239999999757856,1566583.299999999813735,1537396.269999999785796,1583114.729999999981374,1442806.760000000009313,10613407.179999997839332
20140514,1612130.320000000065193,1328957.200000000186265,1519153.719999999739230,1564257.250000000000000,1529168.929999999934807,1578684.590000000083819,1426722.199999999953434,10559077.209999999031425
20140515,1598448.879999999888241,1327738.149999999906868,1500691.000000000000000,1561465.989999999990687,1515332.040000000037253,1573913.670000000158325,1413965.479999999981374,10491558.210000000894070
20140516,1622011.359999999869615,1347242.949999999953434,1489728.759999999776483,1559760.219999999972060,1529168.929999999934807,1577491.859999999869615,1417108.440000000176951,10542515.519999997690320
20140519,1641203.379999999888241,1332266.050000000046566,1502421.879999999655411,1560690.639999999897555,1522437.469999999972060,1580729.270000000018626,1427276.840000000083819,10567028.529999999329448
20140520,1641583.419999999925494,1357691.949999999953434,1502421.879999999655411,1554642.909999999916181,1517575.859999999869615,1579025.370000000111759,1417293.319999999832362,10570237.710000000894070
20140521,1645953.879999999888241,1359781.750000000000000,1511653.239999999757856,1568444.139999999897555,1528420.989999999757856,1582262.780000000027940,1436890.599999999860302,10633410.379999997094274
20140522,1648424.139999999897555,1371972.250000000000000,1508768.439999999711290,1565652.879999999888241,1517575.859999999869615,1584818.630000000121072,1448353.160000000149012,10645568.359999999403954
20140523,1667046.099999999860302,1378938.250000000232831,1516845.879999999655411,1565963.020000000018626,1517575.859999999869615,1582262.780000000027940,1456303.000000000000000,10684937.889999998733401
20140527,1698399.399999999906868,1387819.899999999906868,1541078.199999999953434,1563326.829999999841675,1524681.290000000037253,1592997.349999999860302,1462588.919999999925494,10770894.890000000596046
20140528,1693838.919999999925494,1387645.750000000232831,1550886.519999999785796,1555418.259999999776483,1517575.859999999869615,1592486.179999999934807,1452790.280000000027940,10750644.769999997690320
20140529,1724812.179999999934807,1391477.050000000046566,1555502.199999999953434,1562551.479999999981374,1520567.619999999646097,1603391.139999999897555,1467395.800000000046566,10825700.470000000670552
20140530,1718351.500000000000000,1397224.000000000000000,1576272.759999999776483,1573406.379999999888241,1529916.869999999646097,1592315.790000000037253,1472202.679999999934807,10859692.980000000447035
20140602,1706570.260000000009313,1407847.150000000139698,1572811.000000000000000,1584416.349999999860302,1528047.019999999785796,1596745.929999999934807,1469244.599999999860302,10865685.309999998658895
20140603,1730702.799999999813735,1404886.600000000093132,1595889.399999999906868,1588913.379999999888241,1528794.959999999962747,1591634.229999999981374,1476824.679999999934807,10917649.049999998882413
20140604,1750464.879999999888241,1402622.650000000139698,1592427.639999999897555,1592324.919999999925494,1525429.229999999748543,1613103.370000000111759,1488472.120000000111759,10964847.809999998658895
20140605,1757305.599999999860302,1399836.250000000000000,1595889.399999999906868,1600698.699999999953434,1529168.929999999934807,1618215.070000000065193,1475345.639999999897555,10976462.589999999850988
20140606,1752365.079999999841675,1404364.150000000139698,1625314.359999999869615,1600078.419999999925494,1532908.629999999888241,1607821.280000000027940,1477749.080000000074506,11000604.000000000000000
20140609,1780488.040000000037253,1403841.699999999953434,1610313.399999999906868,1600698.699999999953434,1529916.869999999646097,1612932.979999999981374,1474606.120000000111759,11012800.810000002384186
20140610,1790939.139999999897555,1406105.649999999906868,1629353.079999999608845,1614344.859999999869615,1535900.389999999897555,1620430.139999999897555,1475530.520000000018626,11072606.779999997466803
20140611,1783528.359999999869615,1389909.700000000186265,1611467.319999999832362,1602249.399999999906868,1528047.019999999785796,1617022.340000000083819,1482186.199999999953434,11014413.339999997988343
20140612,1753695.219999999972060,1365877.000000000232831,1613198.199999999953434,1589998.869999999878928,1511592.339999999850988,1618726.239999999990687,1468689.959999999962747,10921780.829999998211861
20140613,1734503.199999999953434,1359607.599999999860302,1723397.559999999823049,1589998.869999999878928,1509722.489999999757856,1625712.229999999981374,1463883.080000000074506,11006828.029999999329448
20140616,1751985.040000000037253,1374062.050000000046566,1731475.000000000000000,1588758.310000000055879,1520567.619999999646097,1626564.179999999934807,1442067.239999999990687,11035482.439999999478459
20140617,1749704.799999999813735,1393566.850000000093132,1728013.239999999757856,1580694.669999999925494,1530290.839999999850988,1622474.820000000065193,1445210.199999999953434,11049958.419999998062849
20140618,1751605.000000000000000,1405583.199999999953434,1726859.319999999832362,1594340.829999999841675,1554224.919999999925494,1625541.840000000083819,1464437.719999999972060,11122595.830000000074506
20140619,1745524.359999999869615,1400881.149999999906868,1736090.679999999701977,1609847.829999999841675,1562826.229999999748543,1628949.639999999897555,1488472.120000000111759,11172595.009999997913837
20140620,1727472.459999999729916,1396179.100000000093132,1742437.239999999757856,1632488.049999999813735,1559086.529999999795109,1611740.250000000000000,1505111.319999999832362,11174517.949999999254942
20140623,1725952.299999999813735,1404364.150000000139698,1744168.119999999878928,1624424.409999999916181,1560582.409999999683350,1617874.290000000037253,1506590.359999999869615,11183959.039999999105930
20140624,1715501.199999999953434,1400707.000000000232831,1759746.039999999804422,1621943.290000000037253,1565070.049999999813735,1613103.370000000111759,1511212.359999999869615,11187286.309999998658895
20140625,1717021.359999999869615,1402448.500000000000000,1781670.519999999785796,1640086.479999999981374,1569183.719999999972060,1616340.780000000027940,1522305.160000000149012,11249059.519999999552965
20140626,1727282.439999999944121,1406279.800000000046566,1775900.919999999925494,1638380.709999999962747,1571801.510000000009313,1608673.229999999981374,1521380.760000000009313,11249702.369999999180436
20140627,1747804.599999999860302,1412897.500000000000000,1784555.319999999832362,1628146.089999999850988,1577785.029999999795109,1600324.120000000111759,1516019.239999999990687,11267534.900000000372529
20140630,1765856.500000000000000,1409936.949999999953434,1782824.439999999711290,1622408.500000000000000,1584142.519999999785796,1602879.969999999972060,1511397.239999999990687,11279449.119999999180436
20140701,1777067.679999999934807,1424913.849999999860302,1787440.119999999878928,1641792.250000000000000,1581524.729999999748543,1622304.429999999934807,1513985.560000000055879,11349031.619999999180436
20140702,1776307.599999999860302,1427700.250000000000000,1787440.119999999878928,1641637.179999999934807,1581524.729999999748543,1612251.420000000158325,1525078.359999999869615,11351942.659999998286366
20140703,1786758.699999999953434,1428919.300000000046566,1796671.479999999748543,1634814.099999999860302,1579280.909999999683350,1616000.000000000000000,1540978.039999999804422,11383425.529999997466803
20140707,1823622.579999999841675,1417947.850000000093132,1790324.919999999925494,1651096.449999999953434,1575915.179999999934807,1611058.689999999944121,1520086.599999999860302,11390055.269999999552965
20140708,1811841.339999999850988,1406453.950000000186265,1776477.879999999655411,1639466.199999999953434,1568435.779999999795109,1604072.699999999953434,1514725.080000000074506,11321475.929999999701977
20140709,1812601.419999999925494,1405931.500000000000000,1782247.479999999748543,1644428.439999999944121,1568809.750000000000000,1613614.540000000037253,1529700.359999999869615,11357336.489999998360872
20140710,1805950.719999999972060,1382769.550000000046566,1803595.000000000000000,1640706.759999999776483,1580402.819999999832362,1606798.939999999944121,1517498.280000000027940,11337725.069999998435378
20140711,1809371.079999999841675,1386426.699999999953434,1803018.039999999804422,1629851.859999999869615,1569557.689999999711290,1613273.760000000009313,1532103.800000000046566,11343605.929999999701977
20140714,1832743.540000000037253,1383814.449999999953434,1816865.079999999608845,1634193.819999999832362,1584890.459999999962747,1628268.080000000074506,1557987.000000000000000,11438765.429999999701977
20140715,1811271.279999999795109,1390780.449999999953434,1829558.199999999953434,1601629.119999999878928,1574419.299999999813735,1634913.290000000037253,1551146.440000000176951,11393721.080000000074506
20140716,1801010.199999999953434,1387297.449999999953434,1999184.439999999711290,1585191.699999999953434,1575167.239999999757856,1629290.420000000158325,1548558.120000000111759,11525702.570000000298023
20140717,1768896.820000000065193,1385381.800000000046566,1944373.239999999990687,1556503.750000000000000,1571427.540000000037253,1613614.540000000037253,1573516.919999999925494,11413717.610000001266599
20140718,1794359.500000000000000,1394611.750000000000000,1944373.239999999990687,1578678.759999999776483,1586760.309999999823049,1624519.500000000000000,1581097.000000000000000,11504403.059999998658895
20140721,1785048.519999999785796,1388168.199999999953434,1965143.800000000046566,1570460.049999999813735,1585638.399999999906868,1623156.380000000121072,1572592.520000000018626,11490210.869999999180436
20140722,1799870.079999999841675,1402622.650000000139698,2007261.879999999655411,1589068.449999999953434,1540388.029999999795109,1561304.809999999823049,1590895.639999999897555,11491414.540000000968575
20140723,1846805.019999999785796,1410981.850000000093132,1990530.039999999804422,1584726.489999999990687,1526177.169999999925494,1563860.659999999916181,1588861.959999999962747,11511946.190000001341105
20140724,1843764.699999999953434,1414116.550000000046566,1976106.039999999804422,1584881.560000000055879,1532160.689999999711290,1582603.559999999823049,1584055.080000000074506,11517691.179999999701977
20140725,1855925.979999999981374,1411156.000000000000000,1976106.039999999804422,1583485.929999999934807,1533282.599999999860302,1569313.139999999897555,1565567.080000000074506,11494839.769999999552965
20140728,1881578.679999999934807,1411852.599999999860302,1974952.119999999646097,1583485.929999999934807,1521315.559999999823049,1565564.559999999823049,1585349.239999999990687,11524101.689999999478459
20140729,1869417.399999999906868,1410285.250000000000000,1972644.279999999562278,1581159.879999999888241,1508974.549999999813735,1552614.920000000158325,1557987.000000000000000,11453086.279999999329448
20140730,1865046.939999999944121,1423868.950000000186265,1981875.639999999897555,1586432.259999999776483,1481674.739999999757856,1549547.899999999906868,1533582.840000000083819,11422032.269999999552965
20140731,1816591.839999999850988,1408021.300000000046566,1955335.479999999748543,1552161.790000000037253,1469333.729999999748543,1526034.080000000074506,1498455.639999999897555,11225936.859999999403954
20140801,1826662.899999999906868,1388864.800000000046566,1946681.079999999841675,1549215.459999999962747,1469333.729999999748543,1526886.030000000027940,1506590.359999999869615,11214237.359999999403954
20140804,1816401.820000000065193,1393741.000000000000000,1964566.839999999618158,1553247.279999999795109,1473447.399999999906868,1531827.340000000083819,1521011.000000000000000,11254245.679999999701977
20140805,1807470.879999999888241,1393741.000000000000000,1893600.759999999776483,1547974.899999999906868,1465220.059999999823049,1518536.920000000158325,1497346.359999999869615,11123893.879999998956919
20140806,1804430.559999999823049,1402274.350000000093132,1895331.639999999897555,1561776.129999999888241,1492893.839999999850988,1528419.540000000037253,1506775.239999999990687,11191904.299999998882413
20140807,1795309.599999999860302,1401403.600000000093132,1885523.319999999832362,1549680.669999999925494,1471577.549999999813735,1531827.340000000083819,1465362.120000000111759,11100687.199999999254942
20140808,1800250.119999999878928,1435537.000000000232831,1880907.639999999897555,1567513.719999999972060,1475317.250000000000000,1541709.959999999962747,1481261.800000000046566,11182500.490000000223517
20140811,1824002.619999999878928,1443373.750000000000000,1905139.959999999962747,1568754.279999999795109,1479804.889999999897555,1544776.979999999981374,1476639.800000000046566,11242495.279999999329448
20140812,1823622.579999999841675,1444070.350000000093132,1911486.520000000018626,1560535.569999999832362,1483918.559999999823049,1552103.750000000000000,1483110.599999999860302,11258850.929999997839332
20140813,1847755.119999999878928,1447553.350000000093132,1967451.639999999897555,1577748.339999999850988,1493641.779999999795109,1555170.770000000018626,1506960.120000000111759,11396284.119999997317791
20140814,1852695.639999999897555,1460440.449999999953434,1958220.279999999562278,1582090.299999999813735,1502617.059999999823049,1571357.820000000065193,1512691.399999999906868,11440115.949999999254942
20140815,1861816.599999999860302,1457479.899999999906868,1971490.359999999869615,1568909.349999999860302,1528794.959999999962747,1569824.309999999823049,1506220.599999999860302,11464539.079999998211861
20140818,1884238.959999999729916,1455738.400000000139698,1985337.399999999674037,1592635.060000000055879,1546371.549999999813735,1584477.849999999860302,1522305.160000000149012,11571107.380000000819564
20140819,1910271.699999999953434,1536544.000000000000000,1981298.679999999934807,1596666.879999999888241,1543005.819999999832362,1583114.729999999981374,1543196.599999999860302,11694101.410000000149012
20140820,1911031.779999999795109,1580429.800000000046566,1990530.039999999804422,1600543.629999999888241,1542631.849999999860302,1586522.530000000027940,1542457.080000000074506,11754149.709999999031425
20140821,1911221.799999999813735,1587395.800000000046566,2028032.439999999711290,1615740.489999999990687,1548615.369999999646097,1600664.899999999906868,1548743.000000000000000,11840416.799999998882413
20140822,1925283.279999999795109,1585306.000000000000000,2015916.279999999562278,1598837.859999999869615,1537770.239999999757856,1597427.489999999990687,1548927.880000000121072,11809472.030000001192093
20140825,1929463.719999999972060,1588266.550000000046566,2008415.800000000046566,1600853.770000000018626,1548615.369999999646097,1606628.550000000046566,1557432.359999999869615,11839679.119999999180436
20140826,1917112.419999999925494,1595755.000000000000000,2007838.839999999618158,1604110.239999999990687,1555720.799999999813735,1605095.040000000037253,1573701.800000000046566,11859337.140000000596046
20140827,1940674.899999999906868,1599934.600000000093132,2007261.879999999655411,1600698.699999999953434,1555720.799999999813735,1614636.880000000121072,1596996.679999999934807,11915927.439999999478459
20140828,1942955.139999999897555,1611080.200000000186265,1999184.439999999711290,1596511.810000000055879,1556842.709999999962747,1607480.500000000000000,1596257.160000000149012,11910314.960000000894070
20140829,1947705.639999999897555,1628321.050000000046566,2014762.359999999869615,1608607.270000000018626,1560208.439999999711290,1613784.929999999934807,1602543.080000000074506,11975935.769999999552965
20140902,1962907.239999999757856,1587395.800000000046566,1994568.759999999776483,1602869.679999999934807,1557216.679999999934807,1610547.520000000018626,1597181.560000000055879,11912690.240000000223517
20140903,1880058.519999999785796,1549953.550000000046566,1994568.759999999776483,1609072.479999999981374,1562452.260000000009313,1609695.570000000065193,1604576.760000000009313,11810380.900000000372529
20140904,1864476.879999999888241,1566149.500000000232831,2014185.399999999674037,1610313.040000000037253,1565817.989999999757856,1606117.380000000121072,1609568.520000000018626,11836631.709999999031425
20140905,1880628.579999999841675,1595406.699999999953434,2019378.039999999804422,1619307.099999999860302,1564696.080000000074506,1605265.429999999934807,1622325.239999999990687,11907010.169999999925494
20140908,1869037.359999999869615,1581648.849999999860302,2038417.719999999739230,1613569.509999999776483,1562452.260000000009313,1589248.770000000018626,1625283.319999999832362,11879660.789999999105930
20140909,1862006.619999999878928,1548734.500000000232831,2014185.399999999674037,1609692.759999999776483,1568435.779999999795109,1582092.389999999897555,1637300.520000000018626,11822450.969999998807907
20140910,1919202.639999999897555,1554307.300000000046566,2020531.959999999962747,1628146.089999999850988,1577037.089999999850988,1587544.870000000111759,1613081.239999999990687,11899854.189999999478459
20140911,1927373.500000000000000,1553784.850000000093132,2020531.959999999962747,1621323.009999999776483,1568809.750000000000000,1583285.120000000111759,1609938.280000000027940,11885049.470000000670552
20140912,1931743.959999999729916,1547167.150000000139698,1997453.559999999590218,1621788.219999999972060,1550485.219999999972060,1574765.620000000111759,1593299.080000000074506,11816705.810000000521541
20140915,1931173.899999999906868,1556571.250000000000000,1992837.879999999655411,1623959.199999999953434,1551981.099999999860302,1594019.689999999944121,1590525.880000000121072,11841071.900000000372529
20140916,1916542.359999999869615,1572070.600000000093132,2015339.319999999832362,1641947.319999999832362,1557216.679999999934807,1595553.199999999953434,1611417.319999999832362,11910089.799999998882413
20140917,1930223.799999999813735,1588614.850000000093132,2018224.119999999646097,1646754.489999999990687,1556094.769999999785796,1595723.590000000083819,1608274.359999999869615,11943912.979999998584390
20140918,1934214.219999999972060,1603765.900000000139698,2029186.359999999869615,1664742.609999999869615,1562826.229999999748543,1614977.659999999916181,1620106.679999999934807,12029822.660000000149012
20140919,1918442.559999999823049,1608119.650000000139698,2008992.759999999776483,1674667.089999999850988,1572549.449999999720603,1612081.030000000027940,1623249.639999999897555,12018105.179999999701977
20140922,1920342.760000000009313,1600282.900000000139698,2002646.199999999953434,1672961.319999999832362,1578906.939999999711290,1611910.639999999897555,1622695.000000000000000,12009748.759999999776483
20140923,1950365.919999999925494,1593316.899999999906868,1985914.359999999869615,1666448.379999999888241,1566565.929999999934807,1594019.689999999944121,1600879.160000000149012,11957513.339999999850988
20140924,1933454.139999999897555,1619961.850000000093132,2004954.039999999804422,1684746.639999999897555,1580776.790000000037253,1615148.050000000046566,1630829.719999999972060,12069874.230000002309680
20140925,1859726.379999999888241,1600457.050000000046566,1969759.479999999748543,1660865.859999999869615,1562452.260000000009313,1596575.540000000037253,1593299.080000000074506,11843138.650000000372529
20140926,1914452.139999999897555,1616827.150000000139698,1976682.999999999767169,1660865.859999999869615,1578159.000000000000000,1608502.840000000083819,1601064.039999999804422,11956557.029999999329448
20140929,1902290.859999999869615,1617523.750000000000000,2013608.439999999711290,1652181.939999999944121,1580028.849999999860302,1597768.270000000018626,1599400.120000000111759,11962805.230000000447035
20140930,1914452.139999999897555,1597670.649999999906868,2008992.759999999776483,1652957.290000000037253,1595361.619999999646097,1600664.899999999906868,1594593.239999999990687,11964695.599999999627471
20141001,1884619.000000000000000,1585131.850000000093132,1961105.079999999841675,1617446.259999999776483,1598353.379999999888241,1586352.139999999897555,1569264.679999999934807,11802275.390000000596046
20141002,1898300.439999999944121,1606378.149999999906868,1933987.959999999962747,1610468.109999999869615,1595361.619999999646097,1585840.969999999972060,1569634.440000000176951,11799974.689999999478459
20141003,1892979.879999999888241,1629017.650000000139698,1963412.919999999925494,1630317.069999999832362,1608076.599999999860302,1609525.179999999934807,1590341.000000000000000,11923673.299999998882413
20141006,1892979.879999999888241,1624141.450000000186265,1968028.599999999860302,1626130.179999999934807,1630514.799999999813735,1613614.540000000037253,1573147.160000000149012,11928559.609999999403954
20141007,1876448.139999999897555,1610383.600000000093132,1931103.159999999683350,1587827.889999999897555,1642481.839999999850988,1595893.979999999981374,1556507.959999999962747,11800649.570000000298023
20141008,1915402.239999999757856,1638595.900000000139698,1977259.959999999962747,1626905.529999999795109,1666041.949999999720603,1609354.790000000037253,1601433.800000000046566,12034997.169999998062849
20141009,1919582.679999999934807,1620832.599999999860302,1939757.559999999590218,1583020.719999999972060,1640611.989999999757856,1599812.949999999953434,1570373.959999999962747,11873995.459999997168779
20141010,1914072.099999999860302,1611776.800000000046566,1841097.399999999906868,1569839.770000000018626,1663050.189999999711290,1602368.800000000046566,1578693.560000000055879,11780901.620000001043081
20141013,1896590.260000000009313,1577817.550000000046566,1815711.159999999683350,1537120.000000000000000,1648091.389999999897555,1593508.520000000018626,1552070.840000000083819,11620912.719999998807907
