代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13678768.740000002086163
真實報酬,3678768.740000002086163

夏普值報酬,0.359176874000000
夏普值風險,0.099659825254132
夏普值,3.604028735592296

預期報酬,15188.206981908750095
風險,208149.825636226043571
趨勢值,0.072967666129361
找到最佳解世代,2119
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](6),BA[2](7),KO[14](14),MCD[15](5),MMM[16](4),
20170315,2050658.529999999795109,1983134.080000000307336,2007626.239999999990687,2003603.409999999916181,2052050.199999999953434,10097072.460000000894070
20170316,2054016.299999999813735,1977364.160000000149012,2013822.560000000055879,2005170.110000000102445,2042498.719999999972060,10092871.849999999627471
20170317,2043797.000000000000000,1998557.520000000018626,2003336.480000000214204,2015510.329999999841675,2064499.320000000298023,10125700.650000000372529
20170320,2065257.529999999795109,1990679.360000000102445,2010486.080000000074506,2017703.709999999962747,2071475.119999999878928,10155601.799999998882413
20170321,2041607.149999999906868,1952620.080000000307336,2025738.560000000055879,2013630.290000000037253,2062030.959999999962747,10095627.040000000968575
20170322,2064673.569999999599531,1963938.000000000000000,2020018.880000000121072,2022717.149999999906868,2062996.840000000083819,10134344.439999999478459
20170323,2057374.069999999599531,1967044.880000000121072,2010009.440000000176951,2021150.449999999953434,2062138.279999999795109,10117717.119999999180436
20170324,2053286.349999999627471,1951066.640000000130385,2007626.239999999990687,2026477.229999999981374,2055377.119999999878928,10093833.579999998211861
20170327,2056790.109999999636784,1954173.520000000018626,2017159.040000000037253,2028827.280000000027940,2043786.560000000055879,10100736.509999999776483
20170328,2099419.189999999944121,1968154.480000000214204,2022402.080000000074506,2028200.599999999860302,2049796.480000000214204,10167972.830000000074506
20170329,2104090.869999999646097,1971150.400000000139698,2021925.440000000176951,2018643.729999999981374,2046469.560000000055879,10162280.000000000000000
20170330,2101317.060000000055879,1975034.000000000000000,2030504.960000000195578,2026163.889999999897555,2052908.760000000009313,10185928.669999999925494
20170331,2097375.329999999608845,1962606.480000000214204,2022878.719999999972060,2030707.320000000065193,2053445.360000000102445,10167013.209999999031425
20170403,2097959.289999999571592,1960276.320000000298023,2021448.799999999813735,2030707.320000000065193,2046898.840000000083819,10157290.570000000298023
20170404,2113580.219999999739230,1983023.120000000111759,2034318.080000000074506,2025693.879999999888241,2041210.880000000121072,10197826.179999999701977
20170405,2102630.969999999739230,1965047.600000000325963,2029075.040000000037253,2043240.919999999925494,2041747.480000000214204,10181742.009999999776483
20170406,2097375.329999999608845,1968265.440000000176951,2033841.440000000176951,2039167.500000000000000,2037991.279999999795109,10176640.990000000223517
20170407,2092703.649999999906868,1984687.520000000018626,2030981.600000000093132,2036190.770000000018626,2039064.480000000214204,10183628.019999999552965
20170410,2090221.819999999599531,1970373.680000000167638,2034794.719999999972060,2036504.109999999869615,2036059.520000000018626,10167953.849999999627471
20170411,2067739.359999999636784,1981580.640000000130385,2033364.799999999813735,2055617.849999999860302,2039923.040000000037253,10178225.689999999478459
20170412,2070221.189999999944121,1953618.720000000204891,2046710.719999999972060,2056557.869999999878928,2035952.199999999953434,10163060.699999999254942
20170413,2059271.939999999944121,1948847.440000000176951,2039561.120000000111759,2048724.369999999878928,2024683.600000000093132,10121088.470000000670552
20170417,2070659.159999999916181,1986573.840000000316650,2052907.040000000037253,2057967.899999999906868,2043035.320000000298023,10211143.259999999776483
20170418,2061461.789999999571592,1973591.520000000018626,2072449.279999999795109,2072851.550000000046566,2041532.840000000083819,10221886.980000000447035
20170419,2053870.309999999823049,1979694.320000000298023,2060533.279999999795109,2078178.329999999841675,2037347.360000000102445,10209623.599999999627471
20170420,2079564.549999999813735,1989680.720000000204891,2053860.320000000298023,2088048.540000000037253,2051620.919999999925494,10262775.050000000745058
20170421,2077082.719999999972060,2001664.400000000139698,2052907.040000000037253,2090241.919999999925494,2055269.800000000046566,10277165.880000000819564
20170424,2097083.349999999627471,2020305.680000000167638,2062916.480000000214204,2103088.859999999403954,2084568.159999999916181,10367962.529999999329448
20170425,2110076.459999999962747,2036394.880000000121072,2054813.600000000093132,2220121.349999999627471,2094226.959999999962747,10515633.250000000000000
20170426,2097667.310000000055879,2016422.080000000307336,2061009.920000000158325,2206647.730000000447035,2092831.800000000046566,10474578.840000001713634
20170427,2099273.199999999720603,2033177.040000000037253,2050047.199999999953434,2207117.740000000223517,2104744.320000000298023,10494359.500000000000000
20170428,2097229.339999999850988,2051041.600000000325963,2056720.159999999916181,2192390.759999999776483,2101739.360000000335276,10499121.219999998807907
20170501,2140004.410000000149012,2023967.360000000102445,2060056.639999999897555,2211504.500000000000000,2090792.719999999972060,10526325.630000000819564
20170502,2153581.479999999515712,2035618.160000000149012,2068159.520000000018626,2212757.859999999403954,2109251.759999999776483,10579368.779999999329448
20170503,2147011.929999999701977,2035063.360000000102445,2064823.040000000037253,2234534.990000000223517,2121056.959999999962747,10602490.280000001192093
20170504,2139274.459999999962747,2031512.640000000130385,2081028.799999999813735,2247538.599999999627471,2141233.120000000111759,10640587.620000001043081
20170505,2174750.029999999795109,2053038.880000000121072,2082458.719999999972060,2255528.770000000484288,2140052.600000000558794,10705829.000000000000000
20170508,2233875.979999999515712,2064245.840000000316650,2091991.520000000018626,2259915.530000000260770,2132003.600000000558794,10782032.470000002533197
20170509,2248183.000000000000000,2074121.280000000027940,2073879.199999999953434,2261795.570000000298023,2124598.520000000484288,10782577.570000000298023
20170510,2237525.729999999515712,2032733.200000000186265,2076739.040000000037253,2264302.290000000037253,2110432.280000000260770,10721732.539999999105930
20170511,2247599.039999999571592,2041166.160000000149012,2081505.440000000176951,2259445.520000000484288,2111612.799999999813735,10741328.960000000894070
20170512,2278986.889999999664724,2033509.920000000158325,2077692.320000000298023,2277462.570000000298023,2109681.040000000037253,10777332.739999998360872
20170515,2273147.289999999571592,2023967.360000000102445,2084365.279999999795109,2291876.209999999962747,2121056.959999999962747,10794413.100000001490116
20170516,2269789.519999999552965,2027407.120000000111759,2090084.960000000195578,2307699.879999999888241,2124061.919999999925494,10819043.400000000372529
20170517,2193582.739999999757856,1983910.800000000279397,2093898.080000000074506,2293912.919999999925494,2091114.680000000167638,10656419.219999998807907
20170518,2227014.449999999720603,1968598.320000000298023,2087701.760000000009313,2303313.120000000111759,2095407.480000000214204,10682035.129999998956919
20170519,2234605.929999999701977,2005880.880000000121072,2092468.159999999916181,2321173.500000000000000,2101417.400000000372529,10755545.869999999180436
20170522,2248183.000000000000000,2038170.239999999990687,2105814.080000000074506,2321800.179999999701977,2130501.120000000111759,10844468.620000001043081
20170523,2245409.189999999944121,2036172.960000000195578,2115823.520000000018626,2316003.389999999664724,2122130.160000000149012,10835539.219999998807907
20170524,2238693.649999999906868,2055701.920000000158325,2146328.479999999981374,2342323.950000000186265,2119554.480000000447035,10902602.480000000447035
20170525,2246431.119999999646097,2075896.640000000130385,2164440.799999999813735,2346710.709999999962747,2141555.080000000074506,10975034.349999999627471
20170526,2242635.379999999888241,2070570.560000000288710,2163487.520000000018626,2347964.070000000298023,2153682.240000000223517,10978339.770000001415610
20170530,2243511.319999999366701,2073788.400000000139698,2165394.080000000074506,2349060.759999999776483,2172677.879999999888241,11004432.439999997615814
20170531,2230226.229999999515712,2082110.400000000139698,2167300.640000000130385,2364101.080000000074506,2194463.839999999850988,11038202.189999999478459
20170601,2236357.810000000055879,2078670.640000000130385,2182553.120000000111759,2387601.580000000074506,2193176.000000000000000,11078359.150000000372529
20170602,2269497.539999999571592,2110960.000000000000000,2187319.520000000018626,2408752.030000000260770,2218396.200000000186265,11194925.289999999105930
20170605,2247307.060000000055879,2096757.120000000111759,2192085.919999999925494,2393868.379999999888241,2213244.839999999850988,11143263.320000000298023
20170606,2254898.539999999571592,2072345.920000000158325,2191609.279999999795109,2369427.859999999403954,2204551.919999999925494,11092833.519999999552965
20170607,2268329.619999999646097,2087325.520000000018626,2169207.200000000186265,2380551.429999999701977,2200259.120000000111759,11105672.890000000596046
20170608,2262782.000000000000000,2107631.200000000186265,2151094.880000000353903,2372561.259999999776483,2210239.879999999888241,11104309.219999998807907
20170609,2175042.009999999776483,2108740.799999999813735,2160151.040000000037253,2373344.609999999403954,2220864.560000000521541,11038143.019999999552965
20170612,2123069.569999999366701,2108407.919999999925494,2160627.680000000167638,2326186.939999999478459,2225801.280000000260770,10944093.390000000596046
20170613,2140150.399999999906868,2120502.560000000521541,2146328.479999999981374,2347337.389999999664724,2244260.320000000298023,10998579.150000002235174
20170614,2119273.829999999608845,2134816.400000000372529,2159197.759999999776483,2360811.009999999776483,2253919.120000000111759,11028018.120000001043081
20170615,2106572.699999999720603,2168881.120000000111759,2156814.560000000055879,2368487.839999999850988,2267656.080000000074506,11068412.300000000745058
20170616,2077082.719999999972060,2179866.160000000149012,2159674.400000000372529,2381334.780000000260770,2288583.480000000447035,11086541.540000000968575
20170619,2136500.649999999906868,2209159.600000000558794,2163010.880000000353903,2399351.830000000074506,2289871.320000000298023,11197894.280000001192093
20170620,2117083.979999999515712,2200837.600000000558794,2173973.600000000093132,2413922.139999999664724,2289871.320000000298023,11195688.640000000596046
20170621,2129639.119999999646097,2210158.240000000223517,2155384.640000000130385,2408595.359999999403954,2284505.320000000298023,11188282.679999999701977
20170622,2126135.359999999869615,2213154.160000000149012,2148235.040000000037253,2425359.049999999813735,2277636.839999999850988,11190520.449999999254942
20170623,2135624.709999999962747,2244112.000000000000000,2156814.560000000055879,2422852.330000000074506,2284934.600000000558794,11244338.199999999254942
20170626,2128909.169999999459833,2219146.000000000000000,2165394.080000000074506,2412198.770000000484288,2281822.320000000298023,11207470.339999999850988
20170627,2098397.259999999776483,2207051.360000000335276,2147281.759999999776483,2408438.689999999478459,2251450.759999999776483,11112619.830000000074506
20170628,2129055.160000000149012,2215151.440000000409782,2160151.040000000037253,2417525.549999999813735,2260465.639999999664724,11182348.830000001937151
20170629,2097667.310000000055879,2191184.080000000074506,2136795.680000000167638,2399195.160000000149012,2230738.000000000000000,11055580.230000000447035
20170630,2102630.969999999739230,2194401.919999999925494,2137748.959999999962747,2399665.169999999925494,2234386.879999999888241,11068833.899999998509884
20170703,2095039.489999999757856,2203722.560000000521541,2133459.200000000186265,2389324.950000000186265,2251987.360000000335276,11073533.560000002384186
20170705,2103652.899999999906868,2239451.680000000633299,2136319.040000000037253,2398255.139999999664724,2251236.120000000111759,11128914.879999998956919
20170706,2083798.259999999543652,2235790.000000000000000,2116300.160000000149012,2398568.480000000447035,2232562.440000000409782,11067019.339999999850988
20170707,2104966.810000000055879,2245665.440000000409782,2115823.520000000018626,2448389.540000000037253,2249411.679999999701977,11164256.989999998360872
20170710,2117813.929999999701977,2263308.080000000074506,2115346.880000000353903,2436639.290000000037253,2259070.480000000447035,11192178.660000000149012
20170711,2124675.459999999962747,2288939.839999999850988,2112963.680000000167638,2427082.419999999925494,2250162.919999999925494,11203824.320000000298023
20170712,2127741.250000000000000,2290826.160000000149012,2121543.200000000186265,2453246.310000000521541,2267763.400000000372529,11261120.320000002160668
20170713,2157377.219999999739230,2288496.000000000000000,2117730.080000000074506,2429119.129999999888241,2265509.679999999701977,11258232.109999999403954
20170714,2175917.949999999720603,2313794.879999999888241,2129646.080000000074506,2432879.209999999962747,2272807.440000000409782,11325045.560000002384186
20170717,2183509.429999999701977,2319231.919999999925494,2132029.279999999795109,2432565.870000000111759,2271841.560000000521541,11339178.060000000521541
20170718,2191100.910000000149012,2310798.959999999962747,2129169.439999999944121,2412198.770000000484288,2267870.719999999739230,11311138.800000000745058
20170719,2204823.969999999739230,2340092.400000000372529,2136795.680000000167638,2411102.080000000074506,2276349.000000000000000,11369163.130000000819564
20170720,2194896.649999999906868,2333434.799999999813735,2136319.040000000037253,2416115.520000000484288,2280105.200000000186265,11360871.210000000894070
20170721,2193874.719999999739230,2354073.360000000335276,2146328.479999999981374,2411572.089999999850988,2266260.919999999925494,11372109.570000000298023
20170724,2220444.899999999906868,2354517.200000000186265,2137272.320000000298023,2379141.399999999441206,2253811.799999999813735,11345187.620000001043081
20170725,2229934.250000000000000,2357624.080000000074506,2156337.919999999925494,2492257.139999999664724,2139945.280000000260770,11376098.670000001788139
20170726,2240445.529999999795109,2590529.120000000111759,2180169.919999999925494,2452149.620000000111759,2136081.759999999776483,11599375.950000001117587
20170727,2198108.429999999701977,2674303.919999999925494,2198282.239999999757856,2459043.099999999627471,2147028.400000000372529,11676766.089999999850988
20170728,2182633.489999999757856,2677299.839999999850988,2193039.200000000186265,2441809.399999999441206,2143486.839999999850988,11638268.769999999552965
20170731,2171392.259999999776483,2690504.080000000074506,2184936.320000000298023,2430685.830000000074506,2159048.240000000223517,11636566.730000000447035
20170801,2190662.939999999944121,2656994.160000000149012,2178263.360000000335276,2413452.129999999888241,2180619.560000000521541,11619992.150000000372529
20170802,2294169.849999999627471,2640461.120000000111759,2173020.320000000298023,2453402.980000000447035,2204551.919999999925494,11765606.189999999478459
20170803,2271249.419999999459833,2643789.919999999925494,2176833.439999999944121,2424105.689999999478459,2228269.639999999664724,11744248.109999999403954
20170804,2283220.599999999627471,2637798.080000000074506,2168730.560000000055879,2410005.389999999664724,2228591.600000000558794,11728346.230000000447035
20170807,2318550.179999999701977,2665760.000000000000000,2175403.520000000018626,2428022.439999999478459,2226337.879999999888241,11814074.019999999552965
20170808,2337090.910000000149012,2657659.919999999925494,2173496.959999999962747,2427239.089999999850988,2215498.560000000521541,11810985.439999999478459
20170809,2351397.929999999701977,2600071.680000000633299,2173020.320000000298023,2427239.089999999850988,2216035.160000000149012,11767764.179999999701977
20170810,2267599.669999999459833,2584204.400000000372529,2180169.919999999925494,2453872.990000000223517,2213352.160000000149012,11699199.140000000596046
20170811,2299133.509999999776483,2606396.400000000372529,2173020.320000000298023,2464526.549999999813735,2210669.160000000149012,11753745.940000001341105
20170814,2333733.139999999664724,2631584.320000000298023,2183029.759999999776483,2463899.870000000111759,2225586.639999999664724,11837833.730000000447035
20170815,2359281.389999999664724,2653998.240000000223517,2201618.719999999739230,2469539.990000000223517,2223547.560000000521541,11907985.900000000372529
20170816,2349792.039999999571592,2636466.560000000521541,2202095.360000000335276,2489593.750000000000000,2231489.240000000223517,11909436.950000001117587
20170817,2304681.129999999888241,2614274.560000000521541,2185889.600000000093132,2473770.080000000074506,2203908.000000000000000,11782523.370000001043081
20170818,2299425.489999999757856,2616271.839999999850988,2176833.439999999944121,2471733.370000000111759,2184375.759999999776483,11748639.900000000372529
20170821,2295191.779999999795109,2615273.200000000186265,2177310.080000000074506,2481133.570000000298023,2195322.400000000372529,11764231.030000001192093
20170822,2332711.209999999962747,2660433.919999999925494,2173496.959999999962747,2501187.330000000074506,2205088.520000000484288,11872917.940000001341105
20170823,2335631.009999999776483,2642014.560000000521541,2170637.120000000111759,2488183.719999999739230,2175146.240000000223517,11811612.650000000372529
20170824,2325265.719999999739230,2649226.959999999962747,2164440.799999999813735,2481916.919999999925494,2169243.639999999664724,11790094.039999999105930
20170825,2333879.129999999888241,2617603.360000000335276,2172067.040000000037253,2488340.389999999664724,2169350.959999999962747,11781240.879999998956919
20170828,2357383.519999999552965,2631917.200000000186265,2164917.439999999944121,2501657.339999999850988,2172892.520000000484288,11828768.019999999552965
20170829,2378406.079999999608845,2668644.959999999962747,2166347.360000000335276,2497113.910000000149012,2177829.240000000223517,11888341.549999998882413
20170830,2384829.639999999664724,2668312.080000000074506,2163487.520000000018626,2499463.959999999962747,2186092.879999999888241,11902186.079999998211861
20170831,2394318.989999999757856,2659435.280000000260770,2171113.759999999776483,2506357.439999999478459,2192854.040000000037253,11924079.509999997913837
20170901,2395048.939999999944121,2666869.600000000558794,2182076.479999999981374,2503850.719999999739230,2184697.719999999739230,11932543.460000000894070
20170905,2366288.910000000149012,2629919.919999999925494,2188749.439999999944121,2492727.149999999441206,2157009.160000000149012,11834694.579999998211861
20170906,2363807.079999999608845,2603511.440000000409782,2190656.000000000000000,2478940.189999999478459,2168492.400000000372529,11805407.109999999403954
20170907,2354317.729999999515712,2622263.680000000633299,2205908.479999999981374,2505260.750000000000000,2194356.520000000484288,11882107.160000000149012
20170908,2315922.359999999869615,2649670.799999999813735,2206861.759999999776483,2502284.020000000484288,2207556.879999999888241,11882295.820000000298023
20170911,2357821.489999999757856,2669754.560000000521541,2217347.840000000316650,2530797.959999999962747,2249089.719999999739230,12024811.570000000298023
20170912,2348478.129999999888241,2669643.600000000558794,2226880.640000000130385,2449329.560000000521541,2249948.280000000260770,11944280.210000000894070
20170913,2330813.339999999850988,2684623.200000000186265,2234030.239999999757856,2459826.450000000186265,2248338.480000000447035,11957631.710000000894070
20170914,2310812.709999999962747,2721240.000000000000000,2197805.600000000093132,2459826.450000000186265,2269158.560000000521541,11958843.320000002160668
20170915,2334171.109999999869615,2763071.919999999925494,2201142.080000000074506,2458573.089999999850988,2289764.000000000000000,12046722.199999999254942
20170918,2316506.319999999366701,2808343.600000000558794,2197805.600000000093132,2454813.009999999776483,2294164.120000000111759,12071632.649999998509884
20170919,2317382.259999999776483,2801464.080000000074506,2191609.279999999795109,2466563.259999999776483,2292017.719999999739230,12069036.599999997764826
20170920,2278548.919999999459833,2834752.080000000074506,2182076.479999999981374,2504947.410000000149012,2259285.120000000111759,12059610.010000001639128
20170921,2239423.599999999627471,2841187.760000000707805,2163964.160000000149012,2491630.459999999962747,2258533.879999999888241,11994739.859999999403954
20170922,2217525.099999999627471,2845737.120000000111759,2168253.919999999925494,2489750.419999999925494,2261968.120000000111759,11983234.679999999701977
20170925,2197962.439999999944121,2822102.639999999664724,2177786.719999999739230,2448232.870000000111759,2261646.160000000149012,11907730.830000000074506
20170926,2235773.849999999627471,2815223.120000000111759,2172067.040000000037253,2402641.899999999441206,2264865.759999999776483,11890571.669999999925494
20170927,2251686.759999999776483,2832754.799999999813735,2127739.520000000018626,2413608.799999999813735,2248231.160000000149012,11874021.039999999105930
20170928,2237817.709999999962747,2821547.839999999850988,2140608.799999999813735,2467503.280000000260770,2248982.400000000372529,11916460.029999999329448
20170929,2250080.869999999646097,2820882.080000000074506,2145375.200000000186265,2454813.009999999776483,2252738.600000000558794,11923889.760000001639128
20171002,2245555.179999999701977,2840632.959999999962747,2135365.759999999776483,2459199.770000000484288,2283432.120000000111759,11964185.789999999105930
20171003,2255336.509999999776483,2834752.080000000074506,2153954.719999999739230,2457633.070000000298023,2302857.040000000037253,12004533.419999998062849
20171004,2240737.509999999776483,2838080.879999999888241,2168730.560000000055879,2463116.520000000484288,2323784.440000000409782,12034449.910000000149012
20171005,2268621.599999999627471,2872811.360000000335276,2169683.840000000316650,2488027.049999999813735,2322174.639999999664724,12121318.490000002086163
20171006,2267307.689999999944121,2869371.599999999627471,2168253.919999999925494,2500560.649999999441206,2323784.440000000409782,12129278.300000000745058
20171009,2275191.149999999906868,2867263.360000000335276,2164440.799999999813735,2508707.490000000223517,2325501.560000000521541,12141104.360000001266599
20171010,2276067.089999999850988,2895447.200000000186265,2186366.239999999757856,2515914.310000000521541,2326252.799999999813735,12200047.640000000596046
20171011,2285556.439999999944121,2901106.160000000149012,2197328.959999999962747,2556178.500000000000000,2323677.120000000111759,12263847.179999999701977
20171012,2277526.989999999757856,2906321.280000000260770,2197805.600000000093132,2568085.419999999925494,2335267.679999999701977,12285006.969999998807907
20171013,2291980.000000000000000,2893338.959999999962747,2201142.080000000074506,2590959.240000000223517,2336662.839999999850988,12314083.120000001043081
20171016,2334171.109999999869615,2882353.919999999925494,2222114.239999999757856,2585319.120000000111759,2347394.839999999850988,12371353.230000000447035
20171017,2342784.519999999552965,2869815.440000000409782,2217347.840000000316650,2591429.250000000000000,2336984.799999999813735,12358361.850000001490116
20171018,2332419.229999999515712,2885571.760000000707805,2211628.160000000149012,2597226.040000000037253,2342565.440000000409782,12369410.630000002682209
20171019,2277235.009999999776483,2874475.760000000707805,2220684.320000000298023,2608662.950000000186265,2352975.480000000447035,12334033.520000001415610
20171020,2281176.739999999757856,2937833.919999999925494,2210674.880000000353903,2605529.549999999813735,2375298.040000000037253,12410513.129999998956919
20171023,2280008.819999999366701,2910870.639999999664724,2207815.040000000037253,2559155.230000000447035,2377766.400000000372529,12335616.130000000819564
20171024,2293585.889999999664724,2951703.919999999925494,2201142.080000000074506,2567615.410000000149012,2518355.600000000558794,12532402.900000002235174
20171025,2283512.579999999608845,2867596.240000000223517,2194945.759999999776483,2562915.310000000521541,2550873.560000000521541,12459843.450000001117587
20171026,2298111.579999999608845,2877027.839999999850988,2203525.279999999795109,2569652.120000000111759,2500003.879999999888241,12448320.699999999254942
20171027,2380449.939999999944121,2845848.080000000074506,2195899.040000000037253,2591272.580000000074506,2519321.480000000447035,12532791.120000001043081
20171030,2434028.269999999552965,2876805.919999999925494,2185889.600000000093132,2604432.859999999403954,2479398.440000000409782,12580555.089999999850988
20171031,2467897.949999999720603,2862714.000000000000000,2191609.279999999795109,2615086.419999999925494,2470490.879999999888241,12607798.529999997466803
20171101,2436510.099999999627471,2868483.919999999925494,2183029.759999999776483,2606626.240000000223517,2470383.560000000521541,12565033.580000000074506
20171102,2454320.879999999888241,2914310.400000000372529,2186842.880000000353903,2633730.149999999441206,2492384.160000000149012,12681588.469999998807907
20171103,2518410.489999999757856,2904545.919999999925494,2191132.640000000130385,2642347.000000000000000,2492276.839999999850988,12748712.890000000596046
20171106,2543958.739999999757856,2930288.639999999664724,2167300.640000000130385,2664594.139999999664724,2471778.719999999739230,12777920.879999998956919
20171107,2552134.179999999701977,2953146.400000000372529,2189702.719999999739230,2675561.040000000037253,2468988.400000000372529,12839532.740000000223517
20171108,2573010.750000000000000,2946932.639999999664724,2201142.080000000074506,2665064.149999999441206,2466627.360000000335276,12852776.980000000447035
20171109,2567755.109999999869615,2915087.120000000111759,2203525.279999999795109,2616496.450000000186265,2451173.280000000260770,12754037.240000002086163
20171110,2550090.319999999366701,2894559.520000000484288,2218301.120000000111759,2594405.980000000447035,2441085.200000000186265,12698442.140000000596046
20171113,2539871.019999999552965,2911980.240000000223517,2226880.640000000130385,2622293.240000000223517,2449348.839999999850988,12750373.980000000447035
20171114,2501475.649999999906868,2904656.879999999888241,2260722.080000000074506,2633886.820000000298023,2461261.360000000335276,12762002.789999999105930
20171115,2468481.910000000149012,2916862.480000000447035,2231170.400000000372529,2621509.889999999664724,2440548.600000000558794,12678573.280000001192093
20171116,2497971.889999999664724,2926183.120000000111759,2218777.759999999776483,2633573.480000000447035,2462227.240000000223517,12738733.490000000223517
20171117,2484102.839999999850988,2910204.879999999888241,2178740.000000000000000,2612109.689999999478459,2461583.320000000298023,12646740.730000000447035
20171120,2481621.009999999776483,2936502.400000000372529,2166824.000000000000000,2615399.759999999776483,2484442.480000000447035,12684789.650000000372529
20171121,2527753.849999999627471,2962688.959999999962747,2182076.479999999981374,2636863.549999999813735,2512345.679999999701977,12821728.519999999552965
20171122,2554324.029999999795109,2942272.320000000298023,2184936.320000000298023,2648613.799999999813735,2485408.360000000335276,12815554.829999998211861
20171124,2554470.019999999552965,2950372.400000000372529,2186842.880000000353903,2649553.820000000298023,2483261.959999999962747,12824501.080000001937151
20171127,2541622.899999999906868,2947043.599999999627471,2187796.160000000149012,2647203.770000000484288,2511379.799999999813735,12835046.230000000447035
20171128,2526731.919999999459833,2973784.959999999962747,2184459.680000000167638,2684491.230000000447035,2528872.959999999962747,12898340.750000000000000
20171129,2474321.509999999776483,2988320.720000000670552,2168730.560000000055879,2670234.259999999776483,2554415.120000000111759,12856022.170000001788139
20171130,2508921.139999999664724,3071540.720000000670552,2181599.840000000316650,2694361.439999999478459,2609470.280000000260770,13065893.420000001788139
20171201,2497241.939999999944121,3011400.400000000372529,2191132.640000000130385,2708461.740000000223517,2588113.600000000558794,12996350.320000000298023
20171204,2478993.189999999944121,3084523.040000000037253,2203525.279999999795109,2673681.000000000000000,2567830.120000000111759,13008552.629999998956919
20171205,2476657.349999999627471,3057559.760000000707805,2204955.200000000186265,2710341.780000000260770,2557098.120000000111759,13006612.210000000894070
20171206,2467459.979999999515712,3087851.839999999850988,2214011.360000000335276,2718018.609999999403954,2561498.240000000223517,13048840.029999999329448
20171207,2471985.669999999459833,3128907.040000000037253,2182076.479999999981374,2709088.419999999925494,2578991.400000000372529,13071049.009999999776483
20171208,2472715.619999999646097,3172514.320000000298023,2159674.400000000372529,2712848.500000000000000,2555702.959999999962747,13073455.800000000745058
20171211,2520892.319999999366701,3142111.280000000260770,2160627.680000000167638,2714415.200000000186265,2568259.400000000372529,13106305.880000000819564
20171212,2506731.289999999571592,3217342.160000000149012,2158721.120000000111759,2698434.859999999403954,2539068.360000000335276,13120297.789999999105930
20171213,2515052.719999999739230,3238424.559999999590218,2187796.160000000149012,2719115.299999999813735,2566220.320000000298023,13226609.059999998658895
20171214,2514322.769999999552965,3261060.400000000372529,2193992.479999999981374,2712691.830000000074506,2555166.360000000335276,13237233.839999999850988
20171215,2539871.019999999552965,3261726.160000000149012,2201618.719999999739230,2727105.469999999739230,2554307.799999999813735,13284629.169999998062849
20171218,2575638.569999999366701,3286137.360000000335276,2189226.080000000074506,2729298.849999999627471,2558815.240000000223517,13339116.099999999627471
20171219,2548192.449999999720603,3298453.919999999925494,2198758.880000000353903,2716608.580000000074506,2558493.280000000260770,13320507.109999999403954
20171220,2545418.639999999664724,3305666.320000000298023,2196375.680000000167638,2697494.839999999850988,2542717.240000000223517,13287672.720000000670552
20171221,2555053.979999999515712,3273820.799999999813735,2173496.959999999962747,2692481.399999999441206,2519750.759999999776483,13214603.899999998509884
20171222,2555053.979999999515712,3274597.520000000484288,2173020.320000000298023,2685744.589999999850988,2519214.160000000149012,13207630.570000000298023
