代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12739172.640000000596046
真實報酬,2739172.640000000596046

夏普值報酬,0.265217264000000
夏普值風險,0.067380458981127
夏普值,3.936115425902411

預期報酬,10210.293316449658960
風險,254170.085666687722551
趨勢值,0.040171105461400
找到最佳解世代,1736
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](1),NKE[19](6),UNH[23](3),
20150102,3468475.020000000018626,3190333.320000000298023,3405994.399999999906868,10064803.740000000223517
20150105,3395706.240000000223517,3138638.600000000093132,3349893.040000000037253,9884238.879999998956919
20150106,3385310.700000000186265,3120511.879999999888241,3343133.839999999850988,9848957.419999999925494
20150107,3501338.339999999850988,3184962.439999999944121,3377267.800000000279397,10063569.580000000074506
20150108,3578801.879999999888241,3258140.680000000167638,3538474.720000000204891,10375418.280000001192093
20150109,3517434.660000000149012,3222558.600000000093132,3505354.640000000130385,10245348.900000000372529
20150112,3501673.680000000167638,3217859.080000000074506,3465813.319999999832362,10185347.080000000074506
20150113,3478535.220000000204891,3189661.959999999962747,3483387.239999999757856,10151585.419999999925494
20150114,3441983.160000000149012,3146023.560000000055879,3492174.200000000186265,10080181.920000001788139
20150115,3387322.740000000223517,3115812.359999999869615,3530363.679999999701977,10033499.779999999329448
20150116,3491613.479999999981374,3121854.600000000093132,3574636.439999999944121,10188105.519999999552965
20150120,3462438.899999999906868,3142666.760000000242144,3569567.040000000037253,10174673.699999999254942
20150121,3471828.419999999925494,3139309.959999999962747,3694612.239999999757856,10305751.619999999180436
20150122,3557004.779999999795109,3217859.080000000074506,3847708.119999999646097,10622572.979999998584390
20150123,3533530.979999999981374,3227929.479999999981374,3785185.520000000018626,10546646.980000000447035
20150126,3566729.639999999664724,3234643.080000000074506,3772005.080000000074506,10573378.800000000745058
20150127,3526488.839999999850988,3172206.600000000093132,3717931.479999999981374,10416627.919999999925494
20150128,3512404.559999999590218,3132596.359999999869615,3665547.679999999701977,10310549.599999999627471
20150129,3608982.479999999981374,3184962.439999999944121,3696977.959999999962747,10490923.879999998956919
20150130,3501673.680000000167638,3097014.280000000260770,3590858.520000000018626,10189547.480000000447035
20150202,3502009.020000000018626,3085601.160000000149012,3626006.360000000335276,10213617.539999999105930
20150203,3596239.559999999590218,3133939.080000000074506,3643580.280000000260770,10373759.919999999925494
20150204,3635474.339999999850988,3106413.320000000298023,3647297.839999999850988,10389186.500000000000000
20150205,3654924.059999999590218,3133267.720000000204891,3677714.239999999757856,10465907.019999999552965
20150206,3656600.760000000242144,3081573.000000000000000,3636483.119999999646097,10374657.879999998956919
20150209,3633126.959999999962747,3060760.840000000316650,3598969.560000000055879,10292858.360000001266599
20150210,3711261.180000000167638,3113798.280000000260770,3682783.640000000130385,10507844.100000001490116
20150211,3699188.939999999944121,3065460.359999999869615,3712524.119999999646097,10477174.419999999925494
20150212,3761226.839999999850988,3088286.600000000093132,3712186.160000000149012,10561700.599999999627471
20150213,3752172.660000000149012,3089629.320000000298023,3698667.759999999776483,10540470.740000000223517
20150217,3755861.399999999906868,3083587.080000000074506,3709482.479999999981374,10548931.960000000894070
20150218,3755526.059999999590218,3142666.760000000242144,3709820.439999999944121,10608014.259999999776483
20150219,3720315.359999999869615,3145352.200000000186265,3718607.399999999906868,10584275.960000000894070
20150220,3763909.559999999590218,3186976.520000000018626,3806139.040000000037253,10757026.120000001043081
20150223,3765250.919999999925494,3189661.959999999962747,3933887.920000000391155,10888801.800000000745058
20150224,3915147.899999999906868,3203089.160000000149012,3901105.800000000279397,11019343.860000001266599
20150225,3900392.939999999944121,3250084.359999999869615,3854467.319999999832362,11004945.619999999180436
20150226,3869206.319999999832362,3256126.600000000093132,3841286.879999999888241,10966620.800000000745058
20150227,3848079.899999999906868,3260154.760000000242144,3840273.000000000000000,10948508.660000000149012
20150302,3894021.479999999981374,3315206.280000000260770,3866295.920000000391155,11075524.679999999701977
20150303,3892344.779999999795109,3289023.240000000223517,3814250.080000000074506,10995619.099999999627471
20150304,3848415.240000000223517,3273581.959999999962747,3846694.239999999757856,10968692.439999999478459
20150305,3886979.339999999850988,3305135.879999999888241,3879476.360000000335276,11071592.580000000074506
20150306,3838019.700000000186265,3253441.160000000149012,3814926.000000000000000,10906387.859999999403954
20150309,3864846.899999999906868,3270896.520000000018626,3883193.920000000391155,11018938.339999999850988
20150310,3774640.439999999944121,3240013.959999999962747,3800731.679999999701977,10815387.080000000074506
20150311,3791742.779999999795109,3200403.720000000204891,3809518.640000000130385,10801666.140000000596046
20150312,3893350.799999999813735,3257469.320000000298023,3882518.000000000000000,11033339.120000001043081
20150313,3850427.279999999795109,3216516.359999999869615,3895022.520000000018626,10961967.160000000149012
20150316,3906764.399999999906868,3237328.520000000018626,4005535.439999999944121,11149629.359999999403954
20150317,3875913.119999999646097,3240685.320000000298023,3974443.119999999646097,11091042.559999998658895
20150318,3892680.119999999646097,3273581.959999999962747,4054201.679999999701977,11220464.759999999776483
20150319,3861828.839999999850988,3300436.359999999869615,4081238.479999999981374,11243504.679999999701977
20150320,3939963.059999999590218,3423295.240000000223517,4026488.959999999962747,11389748.259999999776483
20150323,3892344.779999999795109,3405839.879999999888241,4023109.360000000335276,11321295.019999999552965
20150324,3895027.500000000000000,3378985.479999999981374,3992017.040000000037253,11266031.019999999552965
20150325,3812198.520000000018626,3323262.600000000093132,3938619.360000000335276,11074081.480000000447035
20150326,3768268.979999999981374,3334675.720000000204891,3928818.520000000018626,11031764.220000000670552
20150327,3818234.639999999664724,3352802.439999999944121,3988299.479999999981374,11159337.560000000521541
20150330,3844055.819999999832362,3387041.800000000279397,4089349.520000000018626,11320448.140000000596046
20150331,3809851.139999999664724,3368243.720000000204891,3997762.360000000335276,11175858.219999998807907
20150401,3793754.819999999832362,3342060.680000000167638,3969373.720000000204891,11105190.220000000670552
20150402,3841037.760000000242144,3345417.479999999981374,3966332.080000000074506,11152788.320000000298023
20150406,3854786.700000000186265,3348102.919999999925494,3977822.720000000204891,11180713.339999999850988
20150407,3832989.599999999627471,3344074.760000000242144,3965994.119999999646097,11143059.479999998584390
20150408,3876248.459999999962747,3385027.720000000204891,3994382.759999999776483,11255659.939999999478459
20150409,3842043.779999999795109,3380999.560000000055879,4006549.319999999832362,11229593.660000000149012
20150410,3864511.559999999590218,3356159.240000000223517,4021757.520000000018626,11242429.320000000298023
20150413,3837684.359999999869615,3332661.640000000130385,4034262.040000000037253,11204609.039999999105930
20150414,3824606.099999999627471,3341389.320000000298023,4052849.839999999850988,11218846.259999999776483
20150415,3804485.700000000186265,3351459.720000000204891,3964980.239999999757856,11120926.660000000149012
20150416,3801802.979999999981374,3353473.800000000279397,4109627.119999999646097,11264904.900000000372529
20150417,3759214.799999999813735,3308492.680000000167638,4011956.679999999701977,11079665.160000000149012
20150420,3784700.639999999664724,3356830.600000000093132,4007563.200000000186265,11149095.440000001341105
20150421,3795096.180000000167638,3366901.000000000000000,4031220.399999999906868,11193218.580000000074506
20150422,3789060.059999999590218,3362201.479999999981374,3981540.280000000260770,11132802.820000000298023
20150423,3821588.039999999571592,3394426.760000000242144,3996748.479999999981374,11212764.279999999329448
20150424,3812869.200000000186265,3389055.879999999888241,4011280.759999999776483,11213206.839999999850988
20150427,3735405.660000000149012,3388384.520000000018626,3928480.560000000055879,11052271.740000000223517
20150428,3708243.119999999646097,3352131.080000000074506,3974105.160000000149012,11034480.359999999403954
20150429,3645534.539999999571592,3362872.840000000316650,3839597.080000000074506,10848005.460000000894070
20150430,3587520.720000000204891,3317891.720000000204891,3764907.920000000391155,10670321.360000001266599
20150501,3673703.099999999627471,3383013.640000000130385,3825740.720000000204891,10882458.460000000894070
20150504,3690805.439999999944121,3385027.720000000204891,3871703.280000000260770,10947537.440000001341105
20150505,3623737.439999999944121,3370929.160000000149012,3831486.040000000037253,10826153.640000000596046
20150506,3632120.939999999944121,3364215.560000000055879,3835541.560000000055879,10831879.060000000521541
20150507,3690134.760000000242144,3405839.879999999888241,3878462.479999999981374,10974438.120000001043081
20150508,3771622.379999999888241,3438736.520000000018626,3909554.800000000279397,11119914.700000001117587
20150511,3752508.000000000000000,3450821.000000000000000,3878800.439999999944121,11082130.439999999478459
20150512,3773299.079999999608845,3436722.439999999944121,3874406.959999999962747,11084429.480000000447035
20150513,3728698.859999999869615,3429337.479999999981374,3915638.080000000074506,11073675.419999999925494
20150514,3753849.359999999869615,3472304.520000000018626,4005873.399999999906868,11232028.279999999329448
20150515,3801132.299999999813735,3523999.240000000223517,4032910.200000000186265,11358042.740000000223517
20150518,3833995.619999999646097,3516614.280000000260770,4048794.319999999832362,11399405.220000000670552
20150519,3767262.959999999962747,3512586.120000000111759,4074141.319999999832362,11353991.400000000372529
20150520,3759214.799999999813735,3511914.760000000242144,4097460.560000000055879,11368591.120000001043081
20150521,3756196.740000000223517,3504529.800000000279397,4071099.679999999701977,11331827.220000000670552
20150522,3761226.839999999850988,3505872.520000000018626,4041697.160000000149012,11308797.519999999552965
20150526,3719980.020000000018626,3471633.160000000149012,3996072.560000000055879,11187686.740000000223517
20150527,3761226.839999999850988,3452163.720000000204891,4036965.720000000204891,11250357.280000001192093
20150528,3762232.859999999869615,3434037.000000000000000,4042711.040000000037253,11238981.899999998509884
20150529,3736411.680000000167638,3413224.840000000316650,4062650.679999999701977,11212288.199999999254942
20150601,3744795.180000000167638,3415910.280000000260770,4050822.080000000074506,11211528.540000000968575
20150602,3742112.459999999962747,3427994.760000000242144,3979512.520000000018626,11149620.740000000223517
20150603,3794760.839999999850988,3441421.959999999962747,3999790.119999999646097,11235973.919999999925494
20150604,3737753.039999999571592,3422623.879999999888241,3942336.920000000391155,11102714.839999999850988
20150605,3701200.979999999981374,3425309.320000000298023,3938281.399999999906868,11064792.700000001117587
20150608,3686446.020000000018626,3405168.520000000018626,3951123.879999999888241,11042739.419999999925494
20150609,3673032.419999999925494,3402483.080000000074506,3953827.560000000055879,11029344.060000000521541
20150610,3721656.720000000204891,3468947.720000000204891,4006549.319999999832362,11197154.759999999776483
20150611,3732052.260000000242144,3487074.439999999944121,4032572.239999999757856,11251699.939999999478459
20150612,3708913.799999999813735,3483717.640000000130385,3976132.920000000391155,11168765.359999999403954
20150615,3689128.740000000223517,3469619.080000000074506,4021081.600000000093132,11179830.419999999925494
20150616,3696506.220000000204891,3509900.680000000167638,4107937.319999999832362,11314345.220000000670552
20150617,3704554.379999999888241,3516614.280000000260770,4046766.560000000055879,11267936.220000000670552
20150618,3750831.299999999813735,3558238.600000000093132,4085631.959999999962747,11394702.859999999403954
20150619,3770281.020000000018626,3576365.320000000298023,4066706.200000000186265,11413353.539999999105930
20150622,3791742.779999999795109,3585093.000000000000000,4064002.520000000018626,11440839.299999998882413
20150623,3795431.520000000018626,3598520.200000000186265,4148154.560000000055879,11542107.280000001192093
20150624,3767598.299999999813735,3565623.560000000055879,4027502.839999999850988,11360725.699999999254942
20150625,3763909.559999999590218,3532055.560000000055879,4134298.200000000186265,11430264.320000000298023
20150626,3775981.799999999813735,3683111.560000000055879,4165390.520000000018626,11624484.879999998956919
20150629,3706901.760000000242144,3614632.840000000316650,4095770.759999999776483,11417306.359999999403954
20150630,3726686.819999999832362,3626045.959999999962747,4123145.520000000018626,11475879.299999998882413
20150701,3758208.779999999795109,3673712.520000000018626,4169784.000000000000000,11601706.300000000745058
20150702,3738759.059999999590218,3688482.439999999944121,4116724.280000000260770,11543966.780000001192093
20150706,3733058.279999999795109,3687139.720000000204891,4128552.879999999888241,11548751.879999998956919
20150707,3769275.000000000000000,3736149.000000000000000,4079210.720000000204891,11584635.720000000670552
20150708,3722327.399999999906868,3668341.640000000130385,4014322.399999999906868,11404992.439999999478459
20150709,3735070.319999999832362,3673712.520000000018626,4033248.160000000149012,11442032.000000000000000
20150710,3792748.799999999813735,3709965.959999999962747,4128214.920000000391155,11630930.679999999701977
20150713,3853110.000000000000000,3773745.160000000149012,4138353.720000000204891,11765209.880000000819564
20150714,3868535.639999999664724,3771059.720000000204891,4224533.519999999552965,11864129.879999998956919
20150715,3875913.119999999646097,3756289.800000000279397,4253598.080000000074506,11885802.000000000000000
20150716,3847409.220000000204891,3771059.720000000204891,4222167.800000000745058,11840637.740000002086163
20150717,3838690.379999999888241,3786501.000000000000000,4185668.119999999646097,11810860.500000000000000
20150720,3803144.339999999850988,3797914.120000000111759,4145112.920000000391155,11746172.380000000819564
20150721,3818234.639999999664724,3793214.600000000093132,4084618.080000000074506,11696068.320000000298023
20150722,3853110.000000000000000,3830139.399999999906868,4076169.080000000074506,11759419.480000000447035
20150723,3842714.459999999962747,3826782.600000000093132,4032910.200000000186265,11702408.260000001639128
20150724,3809180.459999999962747,3793214.600000000093132,3985933.759999999776483,11588329.820000000298023
20150727,3791742.779999999795109,3750918.919999999925494,3983906.000000000000000,11526568.699999999254942
20150728,3851097.959999999962747,3809327.240000000223517,4106923.439999999944121,11767349.640000000596046
20150729,3902404.979999999981374,3857665.160000000149012,4106923.439999999944121,11866994.580000000074506
20150730,3905423.039999999571592,3861021.959999999962747,4074479.280000000260770,11840925.280000001192093
20150731,3924537.419999999925494,3867735.560000000055879,4102867.920000000391155,11895141.900000000372529
20150803,3919842.660000000149012,3854979.720000000204891,4085631.959999999962747,11860455.339999999850988
20150804,3941304.419999999925494,3886533.640000000130385,4083942.160000000149012,11911781.220000000670552
20150805,3957065.399999999906868,3919430.280000000260770,4188033.839999999850988,12064530.519999999552965
20150806,3908776.439999999944121,3864378.760000000242144,4124497.360000000335276,11897653.560000000521541
20150807,3921184.020000000018626,3844237.959999999962747,4117062.239999999757856,11882485.220000000670552
20150810,3943651.799999999813735,3872435.080000000074506,4139367.600000000093132,11955455.480000000447035
20150811,3946669.859999999869615,3842223.879999999888241,4131932.479999999981374,11920827.220000000670552
20150812,3946669.859999999869615,3795228.680000000167638,4096108.720000000204891,11838008.259999999776483
20150813,3991270.079999999608845,3813355.399999999906868,4073127.439999999944121,11877753.919999999925494
20150814,4015749.899999999906868,3838867.080000000074506,4090025.439999999944121,11944643.419999999925494
20150817,4014073.200000000186265,3859679.240000000223517,4184654.239999999757856,12058407.679999999701977
20150818,4118028.599999999627471,3854308.359999999869615,4241431.519999999552965,12213769.479999998584390
20150819,4116687.240000000223517,3859007.879999999888241,4164376.640000000130385,12140072.759999999776483
20150820,4042241.760000000242144,3769717.000000000000000,4048456.360000000335276,11860416.120000001043081
20150821,3895362.839999999850988,3587778.439999999944121,3929832.399999999906868,11412974.679999999701977
20150824,3773969.760000000242144,3487074.439999999944121,3732125.800000000279397,10993171.000000000000000
20150825,3721321.379999999888241,3475661.320000000298023,3716917.600000000093132,10913901.300000000745058
20150826,3887650.020000000018626,3650886.280000000260770,3834527.679999999701977,11373064.980000000447035
20150827,3945663.839999999850988,3780458.760000000242144,3980188.439999999944121,11706312.039999999105930
20150828,3940969.079999999608845,3776430.600000000093132,3963628.399999999906868,11681029.080000000074506
20150831,3905423.039999999571592,3751590.280000000260770,3910230.720000000204891,11567245.040000000968575
20150901,3791742.779999999795109,3646858.120000000111759,3806477.000000000000000,11245078.900000000372529
20150902,3906093.720000000204891,3716008.200000000186265,3860550.600000000093132,11482653.519999999552965
20150903,3910117.799999999813735,3721379.080000000074506,3852439.560000000055879,11483937.439999999478459
20150904,3837013.680000000167638,3682440.200000000186265,3797352.080000000074506,11316806.960000000894070
20150908,3904417.020000000018626,3751590.280000000260770,3923411.160000000149012,11579419.460000000894070
20150909,3821923.379999999888241,3687811.080000000074506,3889277.200000000186265,11399012.660000000149012
20150910,3839361.059999999590218,3705266.439999999944121,3946392.439999999944121,11491020.939999999478459
20150911,3871218.359999999869615,3753604.359999999869615,4011618.720000000204891,11636442.439999999478459
20150914,3847409.220000000204891,3756289.800000000279397,3981202.319999999832362,11584902.339999999850988
20150915,3896033.520000000018626,3821411.720000000204891,4056567.399999999906868,11774013.640000000596046
20150916,3951029.279999999795109,3879820.040000000037253,4094418.920000000391155,11925269.240000000223517
20150917,3954047.339999999850988,3869749.640000000130385,4165728.479999999981374,11989526.460000000894070
20150918,3860487.479999999981374,3862364.680000000167638,4139029.640000000130385,11861882.800000000745058
20150921,3909447.119999999646097,3912716.680000000167638,4188709.759999999776483,12010874.559999998658895
20150922,3883290.599999999627471,3893247.240000000223517,4154575.800000000279397,11931114.640000000596046
20150923,3895698.180000000167638,3875120.520000000018626,4166404.399999999906868,11937224.099999999627471
20150924,3901398.959999999962747,3853637.000000000000000,4092391.160000000149012,11847428.120000001043081
20150925,3914812.559999999590218,4196030.599999999627471,3932874.040000000037253,12043718.199999999254942
20150928,3826282.799999999813735,4100026.120000000111759,3808842.720000000204891,11735152.640000000596046
20150929,3786377.339999999850988,4017448.840000000316650,3860212.640000000130385,11664039.820000000298023
20150930,3872895.059999999590218,4128223.240000000223517,3920707.479999999981374,11921826.779999999329448
20151001,3924537.419999999925494,4157091.720000000204891,3940985.080000000074506,12022615.220000000670552
20151002,3950693.939999999944121,4203415.560000000521541,4016012.200000000186265,12170122.699999999254942
20151005,3997306.200000000186265,4171861.640000000130385,4043724.920000000391155,12212893.759999999776483
20151006,3979868.520000000018626,4135608.200000000186265,3922059.319999999832362,12037537.040000000968575
20151007,4012396.500000000000000,4098683.399999999906868,3934901.800000000279397,12045982.700000001117587
20151008,4059679.439999999944121,4193345.160000000149012,3923073.200000000186265,12176098.800000000745058
20151009,4068733.619999999646097,4194016.520000000018626,4030882.439999999944121,12293633.580000000074506
20151012,4087848.000000000000000,4244368.519999999552965,4140381.479999999981374,12472599.000000000000000
20151013,4078123.139999999664724,4223556.359999999403954,4190399.560000000055879,12492080.059999998658895
20151014,4033187.579999999608845,4224227.720000000670552,4125511.239999999757856,12382927.540000000968575
20151015,4084829.939999999944121,4323589.000000000000000,4061298.839999999850988,12469718.779999999329448
20151016,4116016.559999999590218,4379983.240000000223517,4054877.600000000093132,12550878.400000000372529
20151019,4128088.799999999813735,4471959.560000000521541,4080224.600000000093132,12680273.959999999031425
20151020,4119705.299999999813735,4443762.439999999478459,4069747.839999999850988,12633216.579999998211861
20151021,4134795.599999999627471,4447119.240000000223517,3991679.080000000074506,12573594.919999999925494
20151022,4170341.639999999664724,4445105.160000000149012,3846356.280000000260770,12461804.080000001937151
20151023,4178725.139999999664724,4381997.320000000298023,3917665.839999999850988,12478389.300000000745058
20151026,4192138.740000000223517,4410194.439999999478459,3938281.399999999906868,12540615.580000000074506
20151027,4174030.379999999888241,4391396.359999999403954,4034262.040000000037253,12599689.779999997466803
20151028,4152233.279999999795109,4407509.000000000000000,4048118.399999999906868,12607861.679999999701977
20151029,4145861.819999999832362,4401466.759999999776483,4045752.679999999701977,12593082.259999999776483
20151030,4146197.160000000149012,4398781.320000000298023,3980526.399999999906868,12525505.880000000819564
20151102,4172018.339999999850988,4404152.199999999254942,4011280.759999999776483,12587452.299999998882413
20151103,4213935.839999999850988,4410865.800000000745058,3976470.879999999888241,12601273.519999999552965
20151104,4204546.320000000298023,4375955.080000000074506,3874406.959999999962747,12454909.359999999403954
20151105,4215947.879999998956919,4426307.080000000074506,3928142.600000000093132,12570398.559999998658895
20151106,4224666.720000000670552,4423621.640000000596046,3880152.280000000260770,12528441.640000000596046
20151109,4175036.399999999906868,4379983.240000000223517,3861564.479999999981374,12416585.120000001043081
20151110,4200522.240000000223517,4363870.599999999627471,3916651.959999999962747,12481045.800000000745058
20151111,4182078.539999999571592,4277265.160000000149012,3871027.360000000335276,12330372.059999998658895
20151112,4151897.939999999944121,4228927.240000000223517,3812898.239999999757856,12193724.419999999925494
20151113,4024133.399999999906868,4090627.080000000074506,3765245.879999999888241,11880007.359999999403954
20151116,4052301.959999999962747,4144335.879999999888241,3846694.239999999757856,12043333.080000000074506
20151117,4231373.519999999552965,4114796.040000000037253,3865957.959999999962747,12212128.519999999552965
20151118,4243445.759999999776483,4222213.640000000596046,3962614.520000000018626,12428274.919999999925494
20151119,4254176.640000000596046,4222213.640000000596046,3738885.000000000000000,12215276.280000001192093
20151120,4366515.540000000968575,4453161.480000000447035,3817967.640000000130385,12637645.660000002011657
20151123,4443308.400000000372529,4446447.880000000819564,3790592.879999999888241,12680350.160000000149012
20151124,4480195.799999998882413,4448461.960000000894070,3825402.759999999776483,12754061.519999999552965
20151125,4515406.500000000000000,4502842.119999999180436,3866633.879999999888241,12884883.500000000000000
20151127,4518424.560000000521541,4509555.720000000670552,3864268.160000000149012,12892249.440000001341105
20151130,4489585.320000000298023,4440405.640000000596046,3809180.679999999701977,12739172.640000000596046
