代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,18134862.000000000000000
真實報酬,8134862.000000000000000

夏普值報酬,0.804786200000000
夏普值風險,0.197009888080055
夏普值,4.085004097220621

預期報酬,40203.593238046589249
風險,482751.331687438825611
趨勢值,0.083280129124691
找到最佳解世代,1976
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MSFT[18](2),V[25](3),
20090409,4420288.799999999813735,3834305.670000000391155,3970825.639999999664724,12225421.109999999403954
20090413,4443580.709999999962747,3818711.189999999944121,4127497.559999999590218,12389790.460000000894070
20090414,4373704.979999999515712,3771927.750000000000000,3938410.759999999776483,12084044.489999998360872
20090415,4350413.069999999366701,3670563.629999999422580,3992435.559999999590218,12013413.259999997913837
20090416,4490164.530000000260770,3851849.460000000428408,3922203.319999999832362,12264218.310000000521541
20090417,4562628.250000000000000,3742688.099999999627471,3916800.839999999850988,12222118.189999999478459
20090420,4453932.669999999925494,3627678.809999999590218,3714207.839999999850988,11795820.320000000298023
20090421,4500516.490000000223517,3697853.969999999739230,3960020.679999999701977,12158392.140000000596046
20090422,4492752.519999999552965,3660817.080000000074506,3884385.959999999962747,12037956.559999998658895
20090423,4635091.969999999739230,3688107.420000000391155,3933008.279999999795109,12256208.669999999925494
20090424,4580744.179999999701977,4076020.109999999869615,4078875.239999999757856,12735640.529999999329448
20090427,4611800.059999999590218,3976605.299999999813735,3976228.120000000111759,12564634.480000000447035
20090428,4580744.179999999701977,3884987.729999999981374,4100485.159999999683350,12566218.070000000298023
20090429,4627328.000000000000000,3947365.649999999906868,4289571.959999999962747,12864266.609999999403954
20090430,4653207.900000000372529,3949314.960000000428408,4386816.599999999627471,12989340.460000000894070
20090501,4704967.700000000186265,3945416.339999999385327,4389517.839999999850988,13039902.879999998956919
20090504,4883539.009999999776483,3935669.790000000037253,4605617.040000000037253,13424826.839999999850988
20090505,4906830.919999999925494,3857697.389999999664724,4551592.240000000223517,13316121.549999998882413
20090506,4899066.950000000186265,3857697.389999999664724,4470555.040000000037253,13227320.379999998956919
20090507,4772255.440000000409782,3766079.819999999832362,4424633.959999999962747,12962970.219999998807907
20090508,4777431.419999999925494,3785572.920000000391155,4621824.479999999515712,13184829.820000000298023
20090511,4790371.370000000111759,3766079.819999999832362,4451646.360000000335276,13008098.550000000745058
20090512,4598860.109999999403954,3877190.490000000223517,4405725.279999999329448,12881776.879999998956919
20090513,4417700.809999999590218,3849900.149999999906868,4354401.719999999739230,12622003.679999999701977
20090514,4544512.319999999366701,3910328.759999999776483,4357102.959999999962747,12811945.039999999105930
20090515,4526396.389999999664724,3941517.719999999739230,4394920.319999999366701,12862835.429999999701977
20090518,4681675.790000000037253,4015591.500000000000000,4484061.240000000223517,13181329.529999999329448
20090519,4712731.669999999925494,3959061.509999999776483,4376011.639999999664724,13047805.820000000298023
20090520,4653207.900000000372529,3972706.679999999701977,4386816.599999999627471,13012732.179999999701977
20090521,4591096.139999999664724,3863545.319999999832362,4475957.519999999552965,12930599.979999998584390
20090522,4528984.379999999888241,3849900.149999999906868,4440841.400000000372529,12819726.929999999701977
20090526,4834367.200000000186265,3964909.439999999944121,4508372.400000000372529,13307650.040000000968575
20090527,4919770.870000000111759,3923973.929999999701977,4451646.360000000335276,13295392.160000000149012
20090528,4994822.580000000074506,3986351.849999999627471,4492164.959999999962747,13473340.390000000596046
20090529,5020702.479999999515712,4072121.490000000223517,4573202.160000000149012,13666027.129999998956919
20090601,5152689.969999999739230,4171536.299999999813735,4502969.919999999925494,13827197.189999999478459
20090602,5157865.950000000186265,4171536.299999999813735,4511073.639999999664724,13840476.890000000596046
20090603,5212213.740000000223517,4235863.529999999329448,4608318.279999999329448,14056396.549999998882413
20090604,5313145.350000000558794,4255356.629999998956919,4694757.959999999962747,14263260.940000001341105
20090605,5349377.209999999962747,4315785.240000000223517,4678550.519999999552965,14343713.969999998807907
20090608,5318321.330000000074506,4298241.449999999254942,4713666.639999999664724,14330230.419999998062849
20090609,5276913.490000000223517,4304089.379999998956919,4635330.679999999701977,14216334.549999998882413
20090610,5186333.839999999850988,4395706.949999999254942,4678550.519999999552965,14260592.309999998658895
20090611,5173393.889999999664724,4450287.629999998956919,4505671.160000000149012,14129353.679999999701977
20090612,5064698.309999999590218,4547753.129999998956919,4346298.000000000000000,13958750.439999997615814
20090615,5031054.440000000409782,4565296.919999999925494,4351700.479999999515712,13948052.839999999850988
20090616,5041406.400000000372529,4571144.849999999627471,4219339.719999999739230,13831891.969999998807907
20090617,5012938.509999999776483,4615978.980000000447035,4143705.000000000000000,13772623.490000000223517
20090618,5023290.469999999739230,4580891.400000000372529,4146406.239999999757856,13750589.110000001266599
20090619,5157865.950000000186265,4692002.070000000298023,4143705.000000000000000,13993574.019999999552965
20090622,5077638.259999999776483,4538006.580000000074506,4135601.279999999795109,13751247.119999999180436
20090623,4953414.740000000223517,4549702.439999999478459,4232845.919999999925494,13735964.099999999627471
20090624,5036230.419999999925494,4575043.469999998807907,4124796.319999999832362,13736071.209999999031425
20090625,5170805.900000000372529,4637421.390000000596046,4184223.600000000093132,13992451.890000000596046
20090626,5266561.530000000260770,4551651.750000000000000,4311181.879999999888241,14129396.160000000149012
20090629,5248445.600000000558794,4651066.560000000521541,4254455.839999999850988,14153969.000000000000000
20090630,5266561.530000000260770,4633522.769999999552965,4205833.519999999552965,14105918.820000000298023
20090701,5279501.479999999515712,4686154.140000000596046,4105887.639999999664724,14071544.260000001639128
20090702,5175981.879999999888241,4555550.369999999180436,4057265.319999999832362,13788798.570000000298023
20090706,5124222.080000000074506,4522412.099999999627471,4097783.919999999925494,13744419.099999999627471
20090707,5005174.540000000037253,4391808.330000000074506,4032954.159999999683350,13429938.030000001192093
20090708,5072462.280000000260770,4397656.259999999776483,4016746.719999999739230,13486866.259999997913837
20090709,5041406.400000000372529,4374264.540000000968575,4081576.479999999515712,13497248.420000001788139
20090710,5121634.089999999850988,4364517.990000000223517,4043759.120000000111759,13529912.199999999254942
20090713,5261385.549999999813735,4528260.029999999329448,4076174.000000000000000,13865820.579999998211861
20090714,5258797.559999999590218,4504868.310000000521541,4070771.520000000018626,13834438.390000000596046
20090715,5429604.900000000372529,4701748.619999999180436,4230144.679999999701977,14361499.199999999254942
20090716,5452896.809999999590218,4764126.540000000968575,4348999.240000000223517,14566023.590000001713634
20090717,5610764.200000000186265,4734886.890000000596046,4327389.319999999366701,14673041.410000000149012
20090720,5652172.040000000037253,4781670.330000000074506,4532683.560000000521541,14966526.930000001564622
20090721,5600412.240000000223517,4840149.629999998956919,4535384.799999999813735,14975947.669999998062849
20090722,5794511.490000000223517,4834301.699999999254942,4513774.879999999888241,15142589.070000000298023
20090723,5835919.330000000074506,4982449.259999999776483,4538086.040000000037253,15356455.629999998956919
20090724,5916147.019999999552965,4571144.849999999627471,4543488.519999999552965,15030781.389999998733401
20090727,5918735.009999999776483,4504868.310000000521541,4605617.040000000037253,15029221.359999999403954
20090728,5916147.019999999552965,4575043.469999998807907,4478658.759999999776483,14969850.249999998137355
20090729,5916147.019999999552965,4639370.699999999254942,4511073.639999999664724,15066592.359999999403954
20090730,6019666.620000000111759,4641320.009999999776483,4538086.040000000037253,15199073.669999998062849
20090731,6040370.540000000037253,4584790.019999999552965,4419231.479999999515712,15044393.039999999105930
20090803,6154242.100000000558794,4645218.629999998956919,4667745.560000000521541,15467207.290000000968575
20090804,6120598.229999999515712,4633522.769999999552965,4665044.319999999366701,15419166.320000000298023
20090805,6105070.290000000037253,4641320.009999999776483,4619123.240000000223517,15365514.540000000968575
20090806,6061074.459999999962747,4573094.160000000149012,4635330.679999999701977,15269500.300000000745058
20090807,6118010.240000000223517,4592587.259999999776483,4670446.799999999813735,15381045.300000000745058
20090810,6089542.350000000558794,4565296.919999999925494,4651538.119999999180436,15306378.389999998733401
20090811,6019666.620000000111759,4508766.929999999701977,4632629.439999999478459,15161063.990000000223517
20090812,6112834.259999999776483,4586739.330000000074506,4621824.479999999515712,15321399.070000000298023
20090813,6226705.819999999366701,4604283.119999999180436,4638031.919999999925494,15469021.859999997541308
20090814,6167182.049999999813735,4617928.290000000968575,4578604.639999999664724,15363715.980000000447035
20090817,5900619.080000000074506,4532158.650000000372529,4486762.479999999515712,14919541.210000000894070
20090818,6063662.450000000186265,4596485.879999998956919,4524579.839999999850988,15184729.169999998062849
20090819,6084366.370000000111759,4610131.049999998882413,4538086.040000000037253,15232584.459999997168779
20090820,6149066.120000000111759,4614029.669999999925494,4578604.639999999664724,15341701.429999999701977
20090821,6255173.709999999962747,4758278.609999999403954,4659641.839999999850988,15673095.160000000149012
20090824,6249997.729999999515712,4803112.740000000223517,4589409.599999999627471,15642521.069999998435378
20090825,6262937.679999999701977,4803112.740000000223517,4659641.839999999850988,15725693.259999999776483
20090826,6190473.959999999962747,4785568.949999999254942,4740679.040000000037253,15716722.949999999254942
20090827,6265525.669999999925494,4812859.290000000968575,4708264.160000000149012,15786650.120000001043081
20090828,6286229.589999999850988,4810909.980000000447035,4762288.959999999962747,15859429.530000001192093
20090831,6218941.850000000558794,4805062.049999998882413,4800106.319999999366701,15824111.219999998807907
20090901,6110246.269999999552965,4678356.900000000372529,4740679.040000000037253,15529283.210000000894070
20090902,6107658.280000000260770,4651066.560000000521541,4732575.319999999366701,15491301.160000000149012
20090903,6156830.089999999850988,4699799.310000000521541,4789301.360000000335276,15645931.760000001639128
20090904,6296581.549999999813735,4799214.119999999180436,4751484.000000000000000,15847280.669999998062849
20090908,6392337.179999999701977,4838200.320000000298023,4792002.599999999627471,16022541.099999999627471
20090909,6327637.429999999701977,4830403.080000000074506,4759587.719999999739230,15917629.230000000447035
20090910,6379397.229999999515712,4873287.900000000372529,4883844.759999999776483,16136530.889999998733401
20090911,6363869.290000000037253,4845997.560000000521541,4881143.519999999552965,16091011.370000001043081
20090914,6423393.059999999590218,4873287.900000000372529,4921662.119999999180436,16218344.080000000074506
20090915,6475152.859999999403954,4912274.099999999627471,4943272.040000000037253,16330700.000000000000000
20090916,6723599.900000000372529,4912274.099999999627471,5002699.319999999366701,16638574.320000000298023
20090917,6821943.519999999552965,4931767.199999999254942,4983790.639999999664724,16737502.359999999403954
20090918,6840059.450000000186265,4923969.960000000894070,4983790.639999999664724,16747821.050000000745058
20090921,6803827.589999999850988,4931767.199999999254942,4956778.240000000223517,16692374.029999999329448
20090922,6819355.530000000260770,5023384.769999999552965,5024309.240000000223517,16867050.539999999105930
20090923,6858175.379999999888241,5011688.910000000149012,4991894.360000000335276,16861759.649999998509884
20090924,6796063.620000000111759,5056523.040000000968575,4964881.959999999962747,16817469.620000001043081
20090925,6741715.830000000074506,4980499.949999999254942,4773093.919999999925494,16495310.699999999254942
20090928,6881467.290000000037253,5035080.629999998956919,4805508.799999999813735,16722057.719999998807907
20090929,6852999.400000000372529,5019486.150000000372529,4697459.200000000186265,16569945.750000000000000
20090930,6852999.400000000372529,5013638.219999998807907,4667745.560000000521541,16534384.179999999701977
20091001,6687368.040000000037253,4849896.179999999701977,4667745.560000000521541,16205010.779999999329448
20091002,6834883.469999999739230,4865490.660000000149012,4578604.639999999664724,16278979.769999999552965
20091005,6876291.309999999590218,4803112.740000000223517,4602915.799999999813735,16282320.850000001490116
20091006,7023806.740000000223517,4894730.310000000521541,4611019.519999999552965,16529557.570000000298023
20091007,7034158.700000000186265,4892781.000000000000000,4786600.119999999180436,16713540.819999998435378
20091008,6997926.839999999850988,5003891.669999999925494,4843326.160000000149012,16845145.670000001788139
20091009,7041922.669999999925494,4980499.949999999254942,4927064.599999999627471,16949488.219999998807907
20091012,7054862.620000000111759,5013638.219999998807907,4978388.160000000149012,17046890.000000000000000
20091013,7026394.729999999515712,5031182.009999999776483,5043217.919999999925494,17100795.659999996423721
20091014,7072978.549999999813735,5060421.660000000149012,5051321.639999999664724,17184722.850000001490116
20091015,7044510.659999999217689,5206619.910000000149012,5070230.319999999366701,17321361.890000000596046
20091016,6951343.019999999552965,5165684.400000000372529,5016205.519999999552965,17133233.939999997615814
20091019,7018630.759999999776483,5138394.060000000521541,5062126.599999999627471,17219152.420000001788139
20091020,7347305.490000000223517,5140343.369999999180436,5067529.080000000074506,17555178.939999997615814
20091021,7575048.609999999403954,5181278.879999998956919,5078334.040000000037253,17834662.529999997466803
20091022,7585400.569999999366701,5183228.189999999478459,5110748.919999999925494,17879378.679999999701977
20091023,7538816.750000000000000,5461979.519999999552965,5005400.560000000521541,18006197.829999998211861
20091026,7487056.950000000186265,5590633.980000000447035,4916259.639999999664724,17993951.570000000298023
20091027,7298133.679999999701977,5573090.189999999478459,4991894.360000000335276,17863119.230000000447035
20091028,7114386.389999999664724,5461979.519999999552965,5170176.200000000186265,17746543.109999999403954
20091029,7259313.830000000074506,5500965.719999998807907,5218798.519999999552965,17979079.070000000298023
20091030,6969458.950000000186265,5405449.529999999329448,5116151.400000000372529,17491060.880000002682209
20091102,6997926.839999999850988,5434689.179999999701977,5218798.519999999552965,17651415.539999999105930
20091103,6977222.919999999925494,5366463.330000000074506,5243109.679999999701977,17586796.929999999701977
20091104,7054862.620000000111759,5469776.759999999776483,5289030.759999999776483,17813671.140000000596046
20091105,7173910.159999999217689,5549698.469999998807907,5375470.439999999478459,18099080.070000000298023
20091106,7184262.120000000111759,5559445.019999999552965,5380872.919999999925494,18124581.060000002384186
20091109,7448237.100000000558794,5651062.589999999850988,5480818.799999999813735,18580119.490000002086163
20091110,7505172.879999999888241,5654961.210000000894070,5475416.319999999366701,18635551.410000000149012
20091111,7515524.839999999850988,5676403.619999999180436,5456507.639999999664724,18648437.099999997764826
20091112,7468941.019999999552965,5723187.060000000521541,5397080.360000000335276,18589209.440000001341105
20091113,7559520.669999999925494,5775818.429999999701977,5402482.839999999850988,18737822.939999997615814
20091116,7639748.359999999403954,5758274.640000000596046,5372769.200000000186265,18770793.199999999254942
20091117,7652688.309999999590218,5847942.900000000372529,5440300.200000000186265,18940932.410000000149012
20091118,7613868.459999999962747,5869385.310000000521541,5429495.240000000223517,18912750.009999997913837
20091119,7412005.240000000223517,5805058.080000000074506,5415989.040000000037253,18633053.359999999403954
20091120,7391301.319999999366701,5773869.119999999180436,5402482.839999999850988,18567654.279999997466803
20091123,7611280.469999999739230,5836247.040000000968575,5432196.479999999515712,18879724.990000002086163
20091124,7559520.669999999925494,5830399.109999999403954,5445702.679999999701977,18835623.460000000894070
20091125,7549168.709999999962747,5807007.390000000596046,5524038.639999999664724,18880215.740000002086163
20091127,7417181.219999999739230,5695896.719999998807907,5424092.759999999776483,18537171.699999995529652
20091130,7391301.319999999366701,5732933.609999999403954,5470013.839999999850988,18594249.769999999552965
20091201,7282605.740000000223517,5849892.210000000894070,5602374.599999999627471,18734873.550000000745058
20091202,7254137.850000000558794,5805058.080000000074506,5553752.279999999329448,18612949.210000000894070
20091203,7264489.809999999590218,5814804.629999998956919,5405184.080000000074506,18484479.519999995827675
20091204,7148030.259999999776483,5844044.279999999329448,5421391.519999999552965,18413467.059999998658895
20091207,6984986.889999999664724,5807007.390000000596046,5397080.360000000335276,18189075.640000000596046
20091208,7018630.759999999776483,5764122.570000000298023,5402482.839999999850988,18185237.170000001788139
20091209,7313661.620000000111759,5791412.910000000149012,5521337.400000000372529,18626412.929999999701977
20091210,7261901.819999999366701,5822601.869999999180436,5559154.759999999776483,18643659.449999995529652
20091211,7197202.069999999366701,5818703.250000000000000,5494325.000000000000000,18510231.320000000298023
20091214,7282605.740000000223517,5869385.310000000521541,5723930.400000000372529,18875922.450000002980232
20091215,7179086.139999999664724,5851841.519999999552965,5818473.799999999813735,18849402.460000000894070
20091216,7210142.019999999552965,5867436.000000000000000,5877901.080000000074506,18955480.100000001490116
20091217,7093682.469999999739230,5769970.500000000000000,5877901.080000000074506,18741555.049999997019768
20091218,7225669.959999999962747,5918118.060000000521541,6007560.599999999627471,19151349.619999997317791
20091221,7329189.559999999590218,5949307.019999999552965,5910315.959999999962747,19188813.539999999105930
20091222,7406829.259999999776483,6007786.320000000298023,5829278.759999999776483,19243895.339999999850988
20091223,7471529.009999999776483,6027279.419999999925494,5818473.799999999813735,19317283.230000000447035
20091224,7727740.019999999552965,6042873.900000000372529,5826577.519999999552965,19597192.439999997615814
20091228,7823495.650000000372529,6076012.169999999925494,5858992.400000000372529,19758501.219999998807907
20091229,7730328.009999999776483,6118896.990000000223517,5945432.080000000074506,19794658.079999998211861
20091230,7823495.650000000372529,6035076.660000000149012,5953535.799999999813735,19812109.109999999403954
20091231,7789851.780000000260770,5941509.779999999329448,5907614.719999999739230,19638977.279999997466803
20100104,7911487.309999999590218,6033127.349999999627471,5953535.799999999813735,19898151.460000000894070
20100105,7927015.250000000000000,6035076.660000000149012,5883303.560000000521541,19845396.469999998807907
20100106,7800203.740000000223517,5998039.769999999552965,5804967.599999999627471,19603212.109999999403954
20100107,7784675.799999999813735,5935661.849999999627471,5858992.400000000372529,19579331.049999997019768
20100108,7836435.600000000558794,5976597.359999999403954,5875199.839999999850988,19688233.800000000745058
20100111,7769147.859999999403954,5900574.269999999552965,5858992.400000000372529,19528715.530000001192093
20100112,7678568.209999999962747,5861588.070000000298023,5831980.000000000000000,19372137.280000001192093
20100113,7787263.790000000037253,5916168.750000000000000,5886004.799999999813735,19589438.339999999850988
20100114,7743267.959999999962747,6035076.660000000149012,5904913.479999999515712,19683259.100000001490116
20100115,7613868.459999999962747,6015583.560000000521541,5818473.799999999813735,19447926.820000000298023
20100119,7950307.159999999217689,6062367.000000000000000,5931925.879999999888241,19944601.039999999105930
20100120,7828671.629999999888241,5962952.189999999478459,5904913.479999999515712,19696538.300000000745058
20100121,7691508.159999999217689,5849892.210000000894070,5702320.479999999515712,19243721.850000001490116
20100122,7311073.629999999888241,5645214.660000000149012,5586167.160000000149012,18542456.449999999254942
20100125,7507760.870000000111759,5715389.820000000298023,5540246.080000000074506,18763397.770000003278255
20100126,7613868.459999999962747,5750477.400000000372529,5480818.799999999813735,18845165.660000000149012
20100127,7686332.179999999701977,5783615.669999999925494,5667204.360000000335276,19137153.210000000894070
20100128,7368009.409999999217689,5684200.859999999403954,5580764.679999999701977,18632975.949999999254942
20100129,7101446.440000000409782,5493168.480000000447035,5540246.080000000074506,18134862.000000000000000
