代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13883687.300000000745058
真實報酬,3883687.300000000745058

夏普值報酬,0.379668730000000
夏普值風險,0.090823052147006
夏普值,4.180312387932827

預期報酬,15218.004731253906357
風險,156598.135959795705276
趨勢值,0.097178709299330
找到最佳解世代,2742
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
CAT[3](4),DIS[6](1),DD[7](2),INTC[11](9),MMM[16](5),MRK[17](6),MSFT[18](3),
20131101,1446743.350000000093132,1620670.120000000111759,1487847.620000000111759,1581306.899999999674037,1583519.640000000130385,1366342.519999999785796,1519673.230000000214204,10606106.379999998956919
20131104,1451935.449999999953434,1615973.320000000065193,1466926.459999999962747,1576757.320000000065193,1588801.979999999981374,1381144.439999999944121,1537209.340000000083819,10618751.310000000521541
20131105,1454704.569999999832362,1616912.679999999934807,1478996.360000000102445,1561808.699999999953434,1586286.580000000074506,1370269.559999999823049,1567149.040000000037253,10636130.490000002086163
20131106,1457646.760000000009313,1620435.280000000027940,1499649.300000000046566,1576107.379999999888241,1598989.350000000093132,1388394.359999999869615,1633016.380000000121072,10774241.810000000521541
20131107,1447781.770000000018626,1576989.880000000121072,1477118.820000000065193,1563758.519999999785796,1589933.910000000149012,1384165.239999999990687,1603932.100000000093132,10643683.240000000223517
20131108,1457992.899999999906868,1610572.000000000000000,1515206.060000000055879,1565708.339999999850988,1609805.570000000065193,1413769.079999999841675,1615907.980000000214204,10788964.929999999701977
20131111,1456435.270000000018626,1604935.840000000083819,1514937.839999999850988,1570907.860000000102445,1609302.490000000223517,1419810.679999999934807,1607781.490000000223517,10784114.470000000670552
20131112,1451243.169999999925494,1591549.959999999962747,1502599.720000000204891,1587806.299999999813735,1614459.060000000288710,1437633.400000000139698,1597944.160000000149012,10783238.769999999552965
20131113,1457300.620000000111759,1619730.760000000009313,1512523.860000000102445,1598855.280000000027940,1617351.770000000018626,1430081.400000000139698,1632160.959999999962747,10868007.650000002235174
20131114,1449685.540000000037253,1644388.959999999962747,1531835.699999999953434,1585206.540000000037253,1632444.169999999925494,1444581.239999999990687,1626173.020000000251457,10914318.169999999925494
20131115,1449339.399999999906868,1643919.280000000027940,1536663.659999999916181,1593655.759999999776483,1633198.790000000037253,1452133.239999999990687,1618474.240000000223517,10927387.369999999180436
20131118,1454531.500000000000000,1632177.280000000027940,1522984.439999999944121,1598855.280000000027940,1636720.350000000093132,1450320.759999999776483,1591100.800000000279397,10886693.410000002011657
20131119,1448127.909999999916181,1623253.360000000102445,1516547.159999999916181,1605354.679999999934807,1635714.190000000176951,1452133.239999999990687,1571426.140000000130385,10852559.679999999701977
20131120,1430993.979999999981374,1625836.600000000093132,1499649.300000000046566,1596255.519999999785796,1624772.200000000186265,1453945.719999999972060,1585968.280000000027940,10817424.599999999627471
20131121,1421302.060000000055879,1642510.239999999990687,1513864.959999999962747,1639801.500000000000000,1639487.290000000037253,1468747.639999999897555,1599655.000000000000000,10925371.689999999478459
20131122,1434455.379999999888241,1648616.080000000074506,1514937.839999999850988,1551409.659999999916181,1647913.880000000121072,1478414.199999999953434,1606926.070000000065193,10882676.109999999403954
20131125,1460762.020000000018626,1637813.439999999944121,1489993.379999999888241,1543610.379999999888241,1650555.050000000046566,1500163.959999999729916,1609920.040000000037253,10892821.269999999552965
20131126,1460069.739999999990687,1671630.400000000139698,1481678.560000000055879,1537110.979999999748543,1662125.890000000130385,1497747.319999999832362,1597516.450000000186265,10907882.339999999850988
20131127,1465434.909999999916181,1662001.959999999962747,1493480.239999999990687,1553359.479999999748543,1679104.840000000083819,1505299.319999999832362,1608209.200000000186265,10966892.949999999254942
20131129,1464223.419999999925494,1656600.640000000130385,1492139.140000000130385,1549459.839999999850988,1679230.609999999869615,1505299.319999999832362,1630877.830000000307336,10977833.800000000745058
20131202,1458165.969999999972060,1665289.719999999972060,1527275.959999999962747,1540360.679999999934807,1605906.700000000186265,1515872.119999999878928,1644564.550000000279397,10957438.700000001117587
20131203,1451589.310000000055879,1641570.880000000121072,1478996.360000000102445,1530611.579999999841675,1592323.540000000037253,1503184.759999999776483,1638576.610000000102445,10836856.039999999105930
20131204,1453320.010000000009313,1643214.760000000009313,1485433.640000000130385,1542960.439999999711290,1590562.760000000009313,1489591.159999999916181,1665522.340000000083819,10870608.109999999403954
20131205,1460935.089999999850988,1649320.600000000093132,1474704.839999999850988,1576757.320000000065193,1595216.250000000000000,1474487.159999999916181,1625317.600000000093132,10856741.859999999403954
20131206,1479799.719999999972060,1678205.919999999925494,1499917.520000000018626,1613153.959999999962747,1617603.310000000288710,1492007.800000000046566,1640715.160000000149012,11021406.390000000596046
20131209,1490010.850000000093132,1669986.520000000018626,1558389.479999999981374,1620303.299999999813735,1617100.229999999981374,1497143.159999999916181,1655685.010000000242144,11108621.549999998882413
20131210,1495722.159999999916181,1680789.159999999916181,1595940.280000000027940,1613153.959999999962747,1604271.689999999944121,1493216.119999999878928,1630022.410000000149012,11113118.779999999329448
20131211,1475992.179999999934807,1656130.959999999962747,1568045.400000000139698,1587156.360000000102445,1594461.630000000121072,1478716.280000000027940,1608636.910000000149012,10969142.720000000670552
20131212,1481011.209999999962747,1635230.199999999953434,1557048.379999999888241,1590406.059999999823049,1592072.000000000000000,1459685.239999999990687,1591956.219999999972060,10907412.310000000521541
20131213,1489318.569999999832362,1634995.360000000102445,1586016.140000000130385,1578707.139999999897555,1590185.450000000186265,1461497.719999999972060,1569287.590000000083819,10910010.970000000670552
20131216,1512336.879999999888241,1655896.120000000111759,1588966.560000000055879,1589106.179999999934807,1605655.160000000149012,1452737.400000000139698,1577414.080000000307336,10982115.380000000819564
20131217,1504375.659999999916181,1659418.719999999972060,1612033.479999999981374,1602754.919999999925494,1652567.369999999878928,1446997.879999999888241,1562016.520000000251457,11040167.549999998882413
20131218,1526009.409999999916181,1695584.080000000074506,1661922.400000000139698,1634601.979999999748543,1708031.940000000176951,1477205.879999999888241,1564582.780000000027940,11267941.470000000670552
20131219,1515106.000000000000000,1713666.760000000009313,1676942.720000000204891,1633952.040000000037253,1715703.910000000149012,1473883.000000000000000,1550468.350000000093132,11279725.779999999329448
20131220,1539162.729999999981374,1700280.880000000121072,1672382.979999999981374,1628752.519999999785796,1719602.780000000027940,1489893.239999999990687,1573992.399999999906868,11324070.529999999329448
20131223,1556988.939999999944121,1720946.800000000046566,1676138.060000000055879,1645650.959999999962747,1720608.940000000176951,1491101.559999999823049,1566293.619999999878928,11377731.880000000819564
20131224,1573430.589999999850988,1734332.679999999934807,1696791.000000000000000,1652800.299999999813735,1722998.570000000298023,1492611.959999999729916,1585968.280000000027940,11458936.379999998956919
20131226,1577584.270000000018626,1752415.360000000102445,1713420.640000000130385,1670348.679999999934807,1739348.669999999925494,1501976.439999999944121,1601365.840000000083819,11556462.899999998509884
20131227,1572738.310000000055879,1746074.679999999934807,1703496.500000000000000,1663849.280000000027940,1752680.290000000037253,1504091.000000000000000,1594950.189999999944121,11537883.250000000000000
20131230,1572738.310000000055879,1790224.600000000093132,1703496.500000000000000,1680097.780000000027940,1753560.679999999934807,1508622.199999999953434,1594950.189999999944121,11603693.259999999776483
20131231,1571699.889999999897555,1794216.880000000121072,1695986.339999999850988,1687247.119999999878928,1763999.590000000083819,1511945.079999999841675,1600082.709999999962747,11625180.609999999403954
20140102,1555431.310000000055879,1791163.959999999962747,1675601.620000000111759,1676198.139999999897555,1737336.350000000093132,1495028.600000000093132,1589389.959999999962747,11520152.940000001341105
20140103,1554565.959999999962747,1787406.520000000018626,1668091.459999999962747,1675548.199999999953434,1741360.989999999990687,1502278.519999999785796,1578697.209999999962747,11507951.859999999403954
20140106,1534143.699999999953434,1780596.159999999916181,1665141.040000000037253,1654750.119999999878928,1731047.850000000093132,1502580.600000000093132,1545335.830000000307336,11413598.300000000745058
20140107,1539162.729999999981374,1792807.840000000083819,1646633.860000000102445,1663199.339999999850988,1731299.390000000130385,1513757.559999999823049,1557311.709999999962747,11444175.429999999701977
20140108,1542797.199999999953434,1766505.760000000009313,1648511.400000000139698,1652800.299999999813735,1718470.850000000093132,1504091.000000000000000,1529510.560000000055879,11362690.070000000298023
20140109,1552662.189999999944121,1758990.880000000121072,1627322.020000000018626,1645001.019999999785796,1716206.989999999990687,1495934.840000000083819,1519673.230000000214204,11315794.169999999925494
20140110,1566507.790000000037253,1770498.040000000037253,1631345.320000000065193,1659299.699999999953434,1712811.200000000186265,1506809.719999999972060,1541486.439999999944121,11388761.210000000894070
20140113,1555777.449999999953434,1720711.959999999962747,1600231.800000000046566,1657349.879999999888241,1693945.700000000186265,1604683.639999999897555,1496149.179999999934807,11328852.609999999403954
20140114,1567373.139999999897555,1748423.080000000074506,1629199.560000000055879,1722993.820000000065193,1728280.910000000149012,1601058.679999999934807,1530365.980000000214204,11527698.169999999925494
20140115,1599391.089999999850988,1744430.800000000046566,1644488.100000000093132,1733392.860000000102445,1741235.219999999972060,1586558.840000000083819,1572281.560000000055879,11621781.470000000670552
20140116,1592468.290000000037253,1742786.919999999925494,1645829.199999999953434,1724943.639999999897555,1737713.660000000149012,1585954.679999999934807,1577841.790000000037253,11607541.179999999701977
20140117,1582603.300000000046566,1737385.600000000093132,1645292.760000000009313,1680097.780000000027940,1727023.210000000195578,1569340.280000000027940,1556028.580000000307336,11497774.509999999776483
20140121,1568065.419999999925494,1742552.080000000074506,1754458.300000000046566,1663199.339999999850988,1722998.570000000298023,1565715.319999999832362,1547046.670000000158325,11564038.700000001117587
20140122,1551450.699999999953434,1768619.320000000065193,1744802.379999999888241,1645001.019999999785796,1716584.300000000046566,1551215.479999999981374,1536781.630000000121072,11514457.830000001937151
20140123,1531374.580000000074506,1756407.640000000130385,1708324.459999999962747,1633302.099999999860302,1694323.010000000242144,1558767.479999999981374,1542341.860000000102445,11424844.129999998956919
20140124,1491395.409999999916181,1707795.760000000009313,1658167.320000000065193,1612504.019999999785796,1637852.280000000027940,1570246.519999999785796,1574420.110000000102445,11252384.419999999925494
20140127,1580007.250000000000000,1696758.280000000027940,1646365.640000000130385,1606654.559999999823049,1622005.260000000242144,1586860.919999999925494,1541058.730000000214204,11279713.640000000596046
20140128,1600429.510000000009313,1711553.199999999953434,1644756.320000000065193,1618353.479999999748543,1632695.710000000195578,1597131.639999999897555,1551323.770000000251457,11356246.629999998956919
20140129,1568411.560000000055879,1675153.000000000000000,1708592.680000000167638,1604054.799999999813735,1638229.590000000083819,1577194.359999999869615,1568004.459999999962747,11339643.449999999254942
20140130,1613063.620000000111759,1719537.760000000009313,1730854.939999999944121,1607954.439999999711290,1610560.190000000176951,1616464.759999999776483,1576558.660000000149012,11474997.370000001043081
20140131,1625351.589999999850988,1705212.520000000018626,1738365.100000000093132,1594955.639999999897555,1612320.969999999972060,1600152.439999999944121,1618474.240000000223517,11494835.500000000000000
20140203,1599564.159999999916181,1643684.439999999944121,1706983.360000000102445,1556609.179999999934807,1558365.640000000130385,1573267.319999999832362,1560305.679999999934807,11198782.779999999329448
20140204,1600948.719999999972060,1668577.479999999981374,1717443.939999999944121,1548159.959999999962747,1593832.780000000027940,1616464.759999999776483,1554745.450000000186265,11300176.089999999850988
20140205,1591602.939999999944121,1685251.120000000111759,1713152.419999999925494,1528661.759999999776483,1601882.060000000055879,1617068.919999999925494,1532076.820000000065193,11269699.040000000968575
20140206,1623967.030000000027940,1774490.320000000065193,1741315.520000000018626,1559208.939999999711290,1621250.640000000130385,1624318.840000000083819,1547474.380000000121072,11492028.669999999925494
20140207,1641966.310000000055879,1777073.560000000055879,1741851.959999999962747,1573507.619999999878928,1639235.750000000232831,1654526.840000000083819,1563727.360000000102445,11591892.400000000372529
20140210,1635562.719999999972060,1809716.320000000065193,1750971.439999999944121,1578707.139999999897555,1631312.239999999990687,1658151.800000000046566,1573992.399999999906868,11638417.060000000521541
20140211,1643523.939999999944121,1826859.640000000130385,1789058.680000000167638,1590406.059999999823049,1647410.800000000046566,1682620.280000000027940,1589817.670000000158325,11769700.069999998435378
20140212,1664465.409999999916181,1829677.719999999972060,1771356.160000000149012,1595605.579999999841675,1640619.219999999972060,1661474.679999999934807,1602648.969999999972060,11765850.740000000223517
20140213,1663426.989999999990687,1829442.880000000121072,1768673.959999999962747,1605354.679999999934807,1636846.119999999878928,1664495.479999999981374,1608636.910000000149012,11776880.019999999552965
20140214,1671042.069999999832362,1860676.600000000093132,1784230.719999999972060,1609254.320000000065193,1661748.580000000074506,1674766.199999999953434,1609064.619999999878928,11870786.109999997541308
20140218,1671215.139999999897555,1868896.000000000000000,1786912.920000000158325,1609254.320000000065193,1657723.940000000176951,1682318.199999999953434,1600510.420000000158325,11876833.939999999478459
20140219,1665157.689999999944121,1852222.360000000102445,1773770.139999999897555,1592355.879999999888241,1642128.460000000195578,1662683.000000000000000,1604359.810000000055879,11792680.339999999850988
20140220,1677445.659999999916181,1859737.239999999990687,1800592.139999999897555,1607954.439999999711290,1654705.460000000195578,1685943.159999999916181,1614624.850000000093132,11901005.949999999254942
20140221,1687483.719999999972060,1881812.199999999953434,1793886.639999999897555,1587156.360000000102445,1654831.229999999981374,1692588.919999999925494,1624462.179999999934807,11922224.250000000000000
20140224,1684368.459999999962747,1895902.600000000093132,1793350.199999999953434,1600805.099999999860302,1662754.739999999990687,1697120.119999999878928,1612058.590000000083819,11946362.809999998658895
20140225,1668619.089999999850988,1883690.919999999925494,1803810.780000000027940,1600155.159999999916181,1671935.950000000186265,1688963.959999999729916,1605642.939999999944121,11922821.799999998882413
20140226,1682291.620000000111759,1880638.000000000000000,1826877.699999999953434,1611854.079999999841675,1671055.560000000288710,1699838.840000000083819,1602648.969999999972060,11975207.770000001415610
20140227,1673638.120000000111759,1890031.600000000093132,1852895.040000000037253,1609254.320000000065193,1689669.520000000018626,1711619.959999999729916,1619329.660000000149012,12046441.219999998807907
20140228,1678311.010000000009313,1897781.320000000065193,1860673.420000000158325,1609254.320000000065193,1694574.550000000046566,1721588.600000000093132,1638576.610000000102445,12100762.830000000074506
20140303,1666888.389999999897555,1866077.919999999925494,1850212.840000000083819,1592355.879999999888241,1662880.510000000242144,1704370.040000000037253,1615907.980000000214204,11958696.559999998658895
20140304,1679176.359999999869615,1918916.919999999925494,1889372.959999999962747,1599505.219999999739230,1668791.700000000186265,1723703.159999999916181,1642853.709999999962747,12122323.030000001192093
20140305,1667926.810000000055879,1941696.400000000139698,1906539.040000000037253,1592355.879999999888241,1683506.790000000037253,1718265.719999999972060,1630022.410000000149012,12140316.050000000745058
20140306,1689214.419999999925494,1957195.840000000083819,1901442.860000000102445,1600805.099999999860302,1686399.500000000232831,1729744.759999999776483,1631733.250000000000000,12196538.730000000447035
20140307,1679695.569999999832362,1930658.919999999925494,1891250.500000000232831,1601455.040000000037253,1686776.810000000288710,1736088.439999999944121,1621040.500000000000000,12146968.779999999329448
20140310,1674503.469999999972060,1925022.760000000009313,1903320.399999999906868,1614453.839999999850988,1679859.460000000195578,1731557.239999999990687,1617618.820000000065193,12146338.990000000223517
20140311,1676061.100000000093132,1903417.479999999981374,1881594.580000000074506,1607304.500000000000000,1666653.609999999869615,1712526.199999999953434,1626173.020000000251457,12073733.489999998360872
20140312,1675714.959999999962747,1911167.199999999953434,1872743.319999999832362,1609254.320000000065193,1667408.229999999981374,1716151.159999999916181,1636865.770000000251457,12089307.960000000894070
20140313,1654773.489999999990687,1877115.400000000139698,1861746.300000000046566,1596905.459999999962747,1645272.710000000195578,1685339.000000000000000,1620612.790000000037253,11941768.150000002235174
20140314,1650965.949999999953434,1880403.159999999916181,1858259.439999999944121,1592355.879999999888241,1632947.250000000232831,1682620.280000000027940,1612486.300000000279397,11910041.259999999776483
20140317,1655811.909999999916181,1911402.040000000037253,1871670.439999999944121,1605354.679999999934807,1663635.130000000121072,1699536.759999999776483,1627456.149999999906868,12034870.110000001266599
20140318,1668619.089999999850988,1925492.439999999944121,1897151.340000000083819,1613153.959999999962747,1669546.320000000298023,1702557.559999999823049,1691612.649999999906868,12168136.360000001266599
20140319,1662215.500000000000000,1890970.959999999962747,1895005.580000000074506,1626152.759999999776483,1650555.050000000046566,1691380.600000000093132,1679636.770000000251457,12095920.219999998807907
20140320,1665157.689999999944121,1897781.320000000065193,1919145.379999999888241,1652800.299999999813735,1665647.450000000186265,1679297.400000000139698,1724974.030000000027940,12204806.570000000298023
20140321,1685579.949999999953434,1886978.679999999934807,1917804.280000000027940,1635901.860000000102445,1674325.580000000074506,1651203.959999999729916,1717702.959999999962747,12169500.269999999552965
20140324,1676234.169999999925494,1866782.439999999944121,1915926.740000000223517,1632652.159999999916181,1665521.679999999934807,1624620.919999999925494,1732245.100000000093132,12113986.209999999031425
20140325,1706348.350000000093132,1868191.479999999981374,1934433.920000000158325,1654750.119999999878928,1686147.960000000195578,1667214.199999999953434,1725401.740000000223517,12242490.769999999552965
20140326,1692675.819999999832362,1846351.360000000102445,1888031.860000000102445,1649550.599999999860302,1673948.270000000018626,1692286.840000000083819,1701877.689999999944121,12144725.439999999478459
20140327,1703925.370000000111759,1843063.600000000093132,1833046.760000000009313,1645001.019999999785796,1670804.020000000018626,1683526.519999999785796,1683486.160000000149012,12062856.449999999254942
20140328,1720193.949999999953434,1855040.439999999944121,1841093.360000000102445,1665149.159999999916181,1687908.739999999990687,1691078.519999999785796,1723690.899999999906868,12184158.070000000298023
20140331,1719847.810000000055879,1880403.159999999916181,1856113.680000000167638,1677498.019999999785796,1706271.160000000149012,1714942.840000000083819,1753202.890000000130385,12308282.560000000521541
20140401,1727462.889999999897555,1915629.159999999916181,1898760.660000000149012,1689196.939999999711290,1717213.150000000139698,1702859.639999999897555,1771594.420000000158325,12422719.859999999403954
20140402,1776268.629999999888241,1917977.560000000055879,1906002.600000000093132,1682697.540000000037253,1710547.340000000083819,1705578.359999999869615,1768600.450000000186265,12467675.480000000447035
20140403,1774884.069999999832362,1918447.239999999990687,1893128.040000000037253,1716494.419999999925494,1712308.119999999878928,1698026.359999999869615,1754058.310000000055879,12467349.559999998658895
20140404,1768307.409999999916181,1888857.400000000139698,1859868.760000000009313,1700245.919999999925494,1708786.560000000288710,1695307.639999999897555,1705299.369999999878928,12326676.060000000521541
20140407,1749961.989999999990687,1858328.199999999953434,1830901.000000000232831,1721693.939999999711290,1690424.140000000130385,1667214.199999999953434,1702305.399999999906868,12220831.869999999180436
20140408,1772114.949999999953434,1868661.159999999916181,1836265.399999999906868,1748991.419999999925494,1695958.020000000018626,1662683.000000000000000,1703160.820000000065193,12287837.769999999552965
20140409,1782499.149999999906868,1889796.760000000009313,1870597.559999999823049,1753541.000000000000000,1708535.020000000018626,1724911.479999999981374,1730961.969999999972060,12460845.940000001341105
20140410,1769865.040000000037253,1820284.120000000111759,1822049.740000000223517,1717794.299999999813735,1685016.030000000027940,1687151.479999999981374,1683486.160000000149012,12185649.870000001043081
20140411,1755846.370000000111759,1808542.120000000111759,1793350.199999999953434,1701545.799999999813735,1665144.369999999878928,1689266.040000000037253,1677070.510000000242144,12090768.409999998286366
20140414,1778864.679999999934807,1822867.360000000102445,1814271.360000000102445,1726243.519999999785796,1674702.890000000130385,1678693.239999999990687,1675787.380000000121072,12171433.430000001564622
20140415,1774018.719999999972060,1823806.719999999972060,1816953.559999999823049,1739892.259999999776483,1686525.270000000018626,1693193.079999999841675,1700166.850000000093132,12234559.459999999031425
20140416,1781460.729999999981374,1854101.080000000074506,1852626.819999999832362,1750291.299999999813735,1720231.630000000121072,1699536.759999999776483,1727968.000000000000000,12386219.320000000298023
