代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11812022.219999998807907
真實報酬,1812022.219999998807907

夏普值報酬,0.172502222000000
夏普值風險,0.066555781136543
夏普值,2.591844300438772

預期報酬,8037.296291071630549
風險,303072.516080992063507
趨勢值,0.026519383529069
找到最佳解世代,2490
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
HD[9](2),MCD[15](1),VZ[26](6),
20151103,3579132.660000000149012,3741236.600000000093132,3309111.399999999906868,10629481.660000000149012
20151104,3571157.699999999720603,3751918.200000000186265,3287027.000000000000000,10610103.900000000372529
20151105,3580841.580000000074506,3766939.200000000186265,3291301.399999999906868,10639083.179999999701977
20151106,3588246.900000000372529,3782294.000000000465661,3261380.600000000093132,10631922.500000000000000
20151109,3546093.540000000037253,3769609.600000000558794,3227185.399999999906868,10542889.540000000968575
20151110,3567739.860000000335276,3779289.800000000279397,3212937.399999999906868,10559968.060000000521541
20151111,3552074.759999999776483,3800319.200000000186265,3228610.199999999720603,10581005.160000000149012
20151112,3526440.959999999962747,3742238.000000000000000,3193702.599999999627471,10462382.559999998658895
20151113,3417924.540000000037253,3670804.800000000279397,3150958.599999999627471,10239688.939999999478459
20151116,3441849.419999999925494,3707189.000000000465661,3208663.000000000000000,10357702.419999999925494
20151117,3593943.300000000279397,3703183.399999999906868,3211512.599999999627471,10508640.300000000745058
20151118,3604196.820000000298023,3756257.600000000093132,3232884.600000000093132,10593340.019999999552965
20151119,3613311.060000000055879,3781960.200000000186265,3259955.799999999813735,10655228.059999998658895
20151120,3708725.760000000242144,3802322.000000000000000,3233597.000000000000000,10744645.759999999776483
20151123,3773949.540000000037253,3821014.800000000279397,3205101.000000000000000,10800066.339999999850988
20151124,3805279.739999999757856,3814672.600000000093132,3219348.999999999534339,10839302.339999999850988
20151125,3835185.840000000316650,3818678.200000000186265,3200114.200000000186265,10853979.240000002086163
20151127,3837749.220000000204891,3813003.600000000093132,3222198.599999999627471,10872952.419999999925494
20151130,3813254.699999999720603,3810667.000000000000000,3237871.399999999906868,10861794.099999999627471
20151201,3828919.800000000279397,3820347.200000000186265,3247132.599999999627471,10896400.599999999627471
20151202,3811260.959999999962747,3795979.800000000279397,3200114.200000000186265,10807355.960000000894070
20151203,3729232.800000000279397,3784964.400000000372529,3174467.800000000279397,10688666.000000001862645
20151204,3831768.000000000000000,3878762.200000000186265,3256393.799999999813735,10966925.000000000000000
20151207,3814678.800000000279397,3886105.800000000279397,3281327.800000000279397,10982113.400000000372529
20151208,3812115.419999999925494,3889777.600000000093132,3255681.399999999906868,10957575.419999999925494
20151209,3756860.340000000316650,3891446.600000000093132,3231459.799999999813735,10879767.740000000223517
20151210,3775088.819999999832362,3912142.200000000186265,3228610.199999999720603,10915842.219999998807907
20151211,3715276.620000000111759,3874756.600000000093132,3192990.199999999720603,10783024.419999999925494
20151214,3759993.359999999869615,3880765.000000000465661,3237871.399999999906868,10878630.759999999776483
20151215,3739486.319999999832362,3903129.600000000558794,3244995.399999999906868,10887612.320000000298023
20151216,3785342.340000000316650,3933505.400000000372529,3313385.799999999813735,11032234.539999999105930
20151217,3741195.239999999757856,3922156.200000000186265,3284177.399999999906868,10947529.839999999850988
20151218,3711004.319999999832362,3894117.000000000000000,3245707.800000000279397,10850830.120000001043081
20151221,3740055.959999999962747,3928498.399999999906868,3269929.399999999906868,10938484.759999999776483
20151222,3756290.699999999720603,3929499.800000000279397,3301275.000000000000000,10987066.500000000000000
20151223,3791323.560000000521541,3965550.200000000186265,3344731.399999999906868,11101606.160000000149012
20151224,3785342.340000000316650,3957872.799999999813735,3327633.799999999813735,11070849.940000001341105
20151228,3779076.300000000279397,3963881.200000000186265,3330483.399999999906868,11073441.900000000372529
20151229,3808127.939999999944121,4007942.799999999813735,3363253.799999999813735,11179325.539999999105930
20151230,3798159.239999999757856,3986579.600000000558794,3331908.200000000186265,11116648.039999999105930
20151231,3766829.040000000037253,3943519.400000000372529,3292726.199999999720603,11003075.640000000596046
20160104,3733220.279999999795109,3924826.600000000093132,3267792.199999999720603,10925840.080000000074506
20160105,3714991.800000000279397,3978902.200000000186265,3312673.399999999906868,11006568.400000000372529
20160106,3676541.100000000558794,3952198.200000000186265,3242858.200000000186265,10871598.500000000000000
20160107,3571727.340000000316650,3860737.000000000000000,3225048.200000000186265,10657513.539999999105930
20160108,3529004.340000000316650,3854728.600000000093132,3193702.599999999627471,10577436.539999999105930
20160111,3582550.500000000000000,3895118.399999999906868,3212225.000000000000000,10689894.900000000372529
20160112,3631254.719999999739230,3920153.399999999906868,3200826.600000000093132,10752235.719999998807907
20160113,3457799.340000000316650,3842711.800000000279397,3145259.399999999906868,10445771.540000000968575
20160114,3407101.380000000353903,3892781.800000000279397,3196552.199999999720603,10496436.380000000819564
20160115,3395993.400000000372529,3844714.600000000558794,3165206.600000000093132,10405915.600000001490116
20160119,3411088.860000000335276,3922156.200000000186265,3196552.199999999720603,10529798.259999999776483
20160120,3317098.259999999776483,3864742.600000000093132,3164494.200000000186265,10346336.059999998658895
20160121,3424190.580000000074506,3933505.400000000372529,3267792.199999999720603,10625489.179999999701977
20160122,3496534.860000000335276,3952198.200000000186265,3351143.000000000000000,10799877.060000000521541
20160125,3466628.759999999776483,3978902.200000000186265,3350430.600000000093132,10795962.560000000521541
20160126,3480584.939999999944121,4019959.600000000558794,3437343.399999999906868,10937888.940000001341105
20160127,3462641.279999999795109,4034646.800000000279397,3492910.600000000093132,10990199.679999999701977
20160128,3482863.500000000000000,4085050.600000000093132,3491485.799999999813735,11059400.899999998509884
20160129,3581980.860000000335276,4131782.600000000093132,3559876.199999999720603,11273640.660000000149012
20160201,3603342.360000000335276,4159488.000000000000000,3616155.799999999813735,11378987.160000000149012
20160202,3568024.679999999701977,4137457.200000000186265,3555601.799999999813735,11261084.679999999701977
20160203,3525871.320000000298023,4054674.800000000279397,3606182.199999999720603,11186729.320000000298023
20160204,3449539.560000000055879,4027637.000000000000000,3592646.600000000093132,11069824.160000000149012
20160205,3316243.800000000279397,3852058.200000000186265,3631116.199999999720603,10799419.199999999254942
20160208,3185796.239999999757856,3873755.200000000186265,3614731.000000000000000,10674283.439999999478459
20160209,3243045.060000000055879,3905800.000000000465661,3572699.399999999906868,10721545.460000000894070
20160210,3256431.600000000093132,3923491.400000000372529,3560588.599999999627471,10740512.599999999627471
20160211,3226240.679999999701977,3896453.600000000093132,3518557.000000000000000,10641252.279999999329448
20160212,3313110.779999999795109,3936509.600000000558794,3569849.799999999813735,10819471.179999999701977
20160216,3401689.800000000279397,3978234.600000000558794,3579111.000000000000000,10959036.400000000372529
20160217,3452387.759999999776483,3960209.400000000372529,3584810.199999999720603,10997408.359999999403954
20160218,3417070.080000000074506,3911140.800000000279397,3628978.999999999534339,10957190.880000000819564
20160219,3466059.120000000111759,3889777.600000000093132,3623279.799999999813735,10979117.519999999552965
20160222,3499098.239999999757856,3927830.800000000279397,3638240.199999999720603,11065170.240000000223517
20160223,3546948.000000000000000,3902128.200000000186265,3606894.600000000093132,11055971.800000000745058
20160224,3577708.560000000055879,3907469.000000000465661,3620430.199999999720603,11105608.759999999776483
20160225,3613311.060000000055879,3951196.800000000279397,3641089.799999999813735,11205598.660000000149012
20160226,3596221.860000000335276,3907469.000000000465661,3634678.200000000186265,11138370.060000002384186
20160229,3535270.380000000353903,3911808.399999999906868,3614018.599999999627471,11061098.379999998956919
20160301,3580271.939999999944121,3967219.200000000186265,3666023.799999999813735,11213515.940000001341105
20160302,3577138.919999999925494,3954868.600000000093132,3713042.199999999720603,11245050.719999998807907
20160303,3611602.140000000130385,3895118.399999999906868,3696657.000000000000000,11203378.539999999105930
20160304,3576284.459999999962747,3911474.600000000558794,3690957.800000000279397,11178717.860000001266599
20160307,3593658.479999999981374,3910473.200000000186265,3719453.799999999813735,11223586.480000000447035
20160308,3609323.580000000074506,3952865.800000000279397,3737263.799999999813735,11299454.179999999701977
20160309,3589671.000000000000000,3993589.400000000372529,3728715.000000000000000,11311976.400000000372529
20160310,3585683.520000000018626,4004938.600000000093132,3727290.199999999720603,11317913.320000000298023
20160311,3658882.260000000242144,4057345.200000000186265,3742250.600000000093132,11458479.060000000521541
20160314,3669705.419999999925494,4102408.200000000186265,3742963.000000000000000,11515077.620000001043081
20160315,3694484.760000000242144,4120099.600000000558794,3752224.200000000186265,11566809.560000002384186
20160316,3715561.439999999944121,4123103.800000000279397,3790693.799999999813735,11629360.039999999105930
20160317,3727808.699999999720603,4111087.000000000000000,3820614.600000000093132,11659511.299999998882413
20160318,3741195.239999999757856,4141796.600000000093132,3792831.000000000000000,11675823.839999999850988
20160321,3731511.359999999869615,4132784.000000000465661,3807078.999999999534339,11671375.359999999403954
20160322,3719548.919999999925494,4133117.799999999813735,3790693.799999999813735,11643361.519999999552965
20160323,3709010.580000000074506,4145468.399999999906868,3769321.799999999813735,11623801.780000001192093
20160324,3715846.260000000242144,4115426.400000000372529,3815627.800000000279397,11646901.460000000894070
20160328,3733505.100000000558794,4111420.800000000279397,3804229.399999999906868,11649156.300000000745058
20160329,3773095.080000000074506,4138124.800000000279397,3850535.399999999906868,11761756.280000001192093
20160330,3800152.979999999515712,4200211.600000000558794,3849823.000000000000000,11850188.580000000074506
20160331,3800437.800000000279397,4195204.600000000558794,3852672.599999999627471,11848316.000000000000000
20160401,3840882.239999999757856,4239933.799999999813735,3847685.799999999813735,11928502.839999999850988
20160404,3840882.239999999757856,4258292.799999999813735,3876894.200000000186265,11976070.239999998360872
20160405,3833192.100000000558794,4251950.599999999627471,3853385.000000000000000,11938528.699999999254942
20160406,3857686.620000000111759,4256623.799999999813735,3812778.200000000186265,11927089.620000001043081
20160407,3812969.880000000353903,4277319.399999999441206,3704493.399999999906868,11794783.679999999701977
20160408,3805849.380000000353903,4271311.000000000000000,3717316.600000000093132,11794477.980000000447035
20160411,3788475.359999999869615,4257959.000000000000000,3676709.799999999813735,11723145.160000000149012
20160412,3827495.699999999720603,4259628.000000000000000,3700931.399999999906868,11788056.099999999627471
20160413,3812115.419999999925494,4235594.400000000372529,3653913.000000000000000,11701623.820000000298023
20160414,3827210.880000000353903,4256290.000000000000000,3658899.799999999813735,11742401.679999999701977
20160415,3845439.359999999869615,4265302.600000000558794,3658187.399999999906868,11768930.360000001266599
20160418,3896422.140000000130385,4301019.200000000186265,3685258.599999999627471,11882700.939999999478459
20160419,3857686.620000000111759,4301353.000000000931323,3710192.599999999627471,11869233.220000000670552
20160420,3850566.120000000111759,4291005.200000000186265,3686683.399999999906868,11828255.720000000670552
20160421,3833761.739999999757856,4198876.400000000372529,3564150.600000000093132,11596789.740000000223517
20160422,3863952.660000000149012,4189196.200000000186265,3601195.399999999906868,11654345.259999999776483
20160425,3863667.840000000316650,4254621.000000000000000,3616155.799999999813735,11734445.640000000596046
20160426,3854838.419999999925494,4262966.000000000000000,3593358.999999999534339,11711164.419999999925494
20160427,3866516.040000000037253,4282660.200000000186265,3682408.999999999534339,11831586.240000000223517
20160428,3780500.399999999906868,4269975.799999999813735,3634678.200000000186265,11685155.399999998509884
20160429,3813539.519999999552965,4222242.400000000372529,3628978.999999999534339,11664761.919999999925494
20160502,3875060.640000000130385,4279322.200000000186265,3656050.199999999720603,11810434.039999999105930
20160503,3832052.819999999832362,4285998.200000000186265,3610456.600000000093132,11728508.619999999180436
20160504,3849711.660000000149012,4317041.600000000558794,3621855.000000000000000,11788609.260000001639128
20160505,3835755.479999999515712,4315372.600000000558794,3621855.000000000000000,11772984.080000000074506
20160506,3865091.939999999944121,4358766.600000000558794,3641802.199999999720603,11865661.740000000223517
20160509,3880472.220000000204891,4367111.600000000558794,3638952.599999999627471,11886537.419999999925494
20160510,3916644.359999999869615,4392814.200000000186265,3671723.000000000000000,11981182.560000000521541
20160511,3825217.140000000130385,4310699.399999999441206,3643939.399999999906868,11779856.939999999478459
20160512,3822084.120000000111759,4343411.800000000745058,3666736.199999999720603,11832233.120000001043081
20160513,3791893.199999999720603,4300351.600000000558794,3628978.999999999534339,11721224.800000000745058
20160516,3854838.419999999925494,4327389.399999999441206,3649638.599999999627471,11831867.419999998062849
20160517,3759708.540000000037253,4262298.400000000372529,3626129.399999999906868,11648137.339999999850988
20160518,3753157.680000000167638,4212896.000000000000000,3589797.000000000000000,11555851.679999999701977
20160519,3752018.399999999906868,4182186.400000000372529,3535654.600000000093132,11469860.400000000372529
20160520,3755436.239999999757856,4091059.000000000465661,3537791.799999999813735,11384288.039999999105930
20160523,3743188.979999999515712,4099404.000000000465661,3500747.000000000000000,11343340.980000000447035
20160524,3798444.060000000521541,4137457.200000000186265,3532092.599999999627471,11467994.859999999403954
20160525,3793886.939999999944121,4114425.000000000465661,3551327.399999999906868,11459640.339999999850988
20160526,3818096.640000000130385,4132116.400000000372529,3573411.799999999813735,11523625.839999999850988
20160527,3814963.620000000111759,4114091.200000000186265,3606182.199999999720603,11535238.019999999552965
20160531,3763126.380000000353903,4074369.000000000465661,3626129.399999999906868,11463625.780000001192093
20160601,3754866.600000000558794,4071364.800000000279397,3592646.600000000093132,11418879.000000000000000
20160602,3771386.160000000149012,4044660.800000000279397,3616868.200000000186265,11432916.160000000149012
20160603,3752303.220000000204891,4050669.200000000186265,3627554.200000000186265,11430527.620000001043081
20160606,3679674.120000000111759,4072366.200000000186265,3612593.799999999813735,11364635.120000001043081
20160607,3700465.979999999515712,4069028.200000000186265,3686683.399999999906868,11456178.580000000074506
20160608,3691066.919999999925494,4076038.000000000000000,3670298.200000000186265,11437404.120000001043081
20160609,3682807.140000000130385,4098736.400000000372529,3700931.399999999906868,11482475.940000001341105
20160610,3669420.600000000558794,4084383.000000000000000,3752224.200000000186265,11506028.800000000745058
20160613,3640938.600000000093132,4105412.399999999906868,3745100.199999999720603,11491452.199999999254942
20160614,3567170.219999999739230,4089390.000000000465661,3775021.000000000000000,11431582.220000000670552
20160615,3603912.000000000000000,4080711.200000000186265,3764335.000000000000000,11448959.199999999254942
20160616,3627552.060000000055879,4088054.800000000279397,3808503.799999999813735,11524111.660000000149012
20160617,3621286.020000000018626,4081378.800000000279397,3831300.600000000093132,11533966.419999999925494
20160620,3634957.380000000353903,4119765.800000000279397,3829875.799999999813735,11584599.980000000447035
20160621,3638375.219999999739230,4093395.600000000093132,3854097.399999999906868,11585869.220000000670552
20160622,3634387.739999999757856,4026301.800000000279397,3849110.600000000093132,11509801.140000000596046
20160623,3654040.319999999832362,4045996.000000000000000,3894704.200000000186265,11594741.519999999552965
20160624,3600209.340000000316650,3986913.399999999906868,3877606.600000000093132,11464730.339999999850988
20160627,3550935.479999999981374,3882100.200000000186265,3899691.000000000000000,11332727.679999999701977
20160628,3632394.000000000000000,3955536.200000000186265,3905390.199999999720603,11493321.400000000372529
20160629,3627836.880000000353903,3988582.399999999906868,3922487.800000000279397,11538908.080000000074506
20160630,3636951.120000000111759,4016955.400000000372529,3978055.000000000000000,11631962.519999999552965
20160701,3691921.380000000353903,4018958.200000000186265,4005838.599999999627471,11716719.179999999701977
20160705,3684231.239999999757856,4030975.000000000465661,4027210.600000000093132,11742417.839999999850988
20160706,3747461.279999999795109,4026635.600000000093132,4007975.799999999813735,11782073.679999999701977
20160707,3735783.660000000149012,4036315.800000000279397,3945284.600000000093132,11717385.060000000521541
20160708,3826356.419999999925494,4049334.000000000465661,3982329.399999999906868,11858020.820000000298023
20160711,3849426.840000000316650,4072366.200000000186265,3984466.600000000093132,11906260.640000000596046
20160712,3840597.419999999925494,4080711.200000000186265,3951696.199999999720603,11873005.820000000298023
20160713,3804140.459999999962747,4099737.799999999813735,3989453.399999999906868,11893332.660000000149012
20160714,3832052.819999999832362,4136789.600000000558794,3978055.000000000000000,11946898.419999999925494
20160715,3838888.500000000000000,4126108.000000000000000,3978055.000000000000000,11943052.500000000000000
20160718,3883320.419999999925494,4132450.200000000186265,3984466.600000000093132,12000238.220000000670552
20160719,3901548.899999999906868,4222576.200000000186265,3968081.399999999906868,12092207.500000000000000
20160720,3913796.160000000149012,4207889.000000000000000,3962382.199999999720603,12084068.359999999403954
20160721,3875630.279999999795109,4245274.600000000558794,3944572.199999999720603,12065478.080000000074506
20160722,3888447.180000000167638,4281325.000000000000000,3996577.399999999906868,12166350.580000000074506
20160725,3887877.540000000037253,4252618.200000000186265,3980192.199999999720603,12120688.939999999478459
20160726,3894998.040000000037253,4062686.000000000000000,3904677.800000000279397,11862362.839999999850988
20160727,3882465.959999999962747,3988248.600000000093132,3941010.199999999720603,11811725.759999999776483
20160728,3929461.260000000242144,3986245.800000000279397,3908239.799999999813735,11823947.859999999403954
20160729,3937436.220000000204891,3927163.200000000186265,3947421.799999999813735,11812022.219999998807907
