代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14278665.610000001266599
真實報酬,4278665.610000001266599

夏普值報酬,0.419166561000000
夏普值風險,0.111304811758124
夏普值,3.765933874547047

預期報酬,17345.114498882991029
風險,224850.067519032192649
趨勢值,0.077140801825264
找到最佳解世代,1986
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](1),V[25](2),VZ[26](9),WMT[28](7),
20111017,2595116.649999999906868,2594446.530000000260770,2553220.859999999869615,2574731.590000000316650,10317515.629999998956919
20111018,2692480.149999999906868,2671824.410000000149012,2573956.260000000242144,2626902.700000000186265,10565163.519999999552965
20111019,2651287.899999999906868,2562585.049999999813735,2560823.839999999850988,2643823.060000000055879,10418519.849999999627471
20111020,2676003.249999999534339,2598998.169999999925494,2564279.740000000223517,2649463.180000000167638,10488744.339999999850988
20111021,2760634.600000000093132,2658169.489999999757856,2586397.500000000000000,2675313.729999999981374,10680515.320000000298023
20111024,2748651.399999999906868,2679789.780000000260770,2552529.679999999701977,2668733.590000000316650,10649704.449999999254942
20111025,2699220.699999999720603,2579653.700000000186265,2501382.359999999869615,2665443.520000000018626,10445700.279999999329448
20111026,2737417.149999999906868,2618342.640000000130385,2544235.520000000018626,2696464.180000000167638,10596459.490000000223517
20111027,2798831.049999999813735,2685479.330000000074506,2602985.819999999832362,2717144.620000000111759,10804440.820000000298023
20111028,2705212.299999999813735,2705961.709999999962747,2600912.280000000260770,2686123.959999999962747,10698210.250000000000000
20111031,2681245.899999999906868,2653617.850000000093132,2555985.579999999608845,2665913.529999999795109,10556762.859999999403954
20111101,2661773.199999999720603,2561447.140000000130385,2520735.399999999906868,2642883.040000000037253,10386838.780000001192093
20111102,2695475.950000000186265,2603549.810000000055879,2543544.339999999850988,2672493.669999999925494,10515063.769999999552965
20111103,2729927.649999999906868,2651342.030000000260770,2588471.040000000037253,2698814.229999999981374,10668554.949999999254942
20111104,2725433.949999999720603,2635411.290000000037253,2569118.000000000000000,2702574.310000000055879,10632537.550000000745058
20111107,2796584.200000000186265,2644514.569999999832362,2580868.060000000055879,2723254.750000000000000,10745221.580000000074506
20111108,2841521.199999999720603,2690030.970000000204891,2593309.300000000279397,2788116.129999999888241,10912977.600000001490116
20111109,2783103.099999999627471,2649066.209999999962747,2549764.959999999962747,2728424.859999999869615,10710359.129999998956919
20111110,2786098.899999999906868,2646790.390000000130385,2580176.879999999888241,2732184.939999999944121,10745251.109999999403954
20111111,2850508.600000000093132,2707099.620000000111759,2593309.300000000279397,2782476.010000000242144,10933393.530000001192093
20111114,2864738.649999999906868,2669548.589999999850988,2557367.939999999944121,2767905.700000000186265,10859560.879999998956919
20111115,2851257.549999999813735,2720754.540000000037253,2573956.260000000242144,2700694.270000000018626,10846662.619999999180436
20111116,2834031.700000000186265,2657031.580000000074506,2533176.639999999664724,2664033.490000000223517,10688273.410000000149012
20111117,2817554.799999999813735,2600136.080000000074506,2536632.540000000037253,2666383.540000000037253,10620706.960000000894070
20111118,2837027.500000000000000,2583067.429999999701977,2520044.220000000204891,2689884.040000000037253,10630023.190000001341105
20111121,2775613.600000000093132,2594446.530000000260770,2493088.200000000186265,2663093.469999999739230,10526241.800000000745058
20111122,2778609.399999999906868,2584205.339999999850988,2501382.359999999869615,2672023.660000000149012,10536220.759999999776483
20111123,2735170.300000000279397,2539826.850000000093132,2443323.240000000223517,2662153.450000000186265,10380473.839999999850988
20111125,2731425.549999999813735,2532999.390000000130385,2443323.240000000223517,2673903.700000000186265,10381651.879999998956919
20111128,2793588.399999999906868,2659307.399999999906868,2505529.439999999944121,2690824.060000000055879,10649249.300000000745058
20111129,2917914.100000000093132,2643376.660000000149012,2531794.280000000260770,2734064.979999999981374,10827150.019999999552965
20111130,2937386.799999999813735,2758305.569999999832362,2607824.079999999608845,2768375.709999999962747,11071892.160000000149012
20111201,2946374.200000000186265,2781063.770000000018626,2610588.800000000279397,2754745.419999999925494,11092772.190000001341105
20111202,2991311.199999999720603,2765133.030000000260770,2616118.240000000223517,2730304.900000000372529,11102867.370000001043081
20111205,3013030.749999999534339,2733271.549999999813735,2629941.839999999850988,2742055.150000000372529,11118299.289999999105930
20111206,3019771.299999999813735,2712789.169999999925494,2648603.700000000186265,2762735.590000000316650,11143899.759999999776483
20111207,3050478.249999999534339,2761719.299999999813735,2647912.520000000018626,2750045.319999999832362,11210155.389999998733401
20111208,2989064.349999999627471,2725306.179999999701977,2613353.520000000018626,2725134.790000000037253,11052858.839999999850988
20111209,3013030.749999999534339,2765133.030000000260770,2656206.679999999701977,2741115.129999999888241,11175485.589999999850988
20111212,2999549.649999999906868,2757167.660000000149012,2650677.240000000223517,2730304.900000000372529,11137699.450000001117587
20111213,2959106.349999999627471,2728719.910000000149012,2644456.619999999646097,2707274.410000000149012,11039557.289999999105930
20111214,2931395.199999999720603,2741236.919999999925494,2644456.619999999646097,2709624.459999999962747,11026713.199999999254942
20111215,2952365.799999999813735,2726444.089999999850988,2655515.500000000000000,2723724.760000000242144,11058050.150000000372529
20111216,3027260.799999999813735,2771960.489999999757856,2680397.979999999981374,2738765.080000000074506,11218384.349999999627471
20111219,3010783.899999999906868,2804959.879999999888241,2670030.280000000260770,2715734.590000000316650,11201508.649999998509884
20111220,3141850.149999999906868,2883475.669999999925494,2710118.720000000204891,2782006.000000000000000,11517450.540000000968575
20111221,3145594.899999999906868,2865269.109999999869615,2711501.079999999608845,2791406.200000000186265,11513771.289999999105930
20111222,3139603.299999999813735,2860717.470000000204891,2715648.159999999683350,2782006.000000000000000,11497974.929999999701977
20111223,3152335.450000000186265,2915337.149999999906868,2763339.579999999608845,2819606.800000000279397,11650618.980000000447035
20111227,3162071.799999999813735,2899406.410000000149012,2764030.760000000242144,2812086.640000000130385,11637595.610000001266599
20111228,3110394.250000000000000,2865269.109999999869615,2748133.619999999646097,2807386.540000000037253,11531183.519999999552965
20111229,3146343.849999999627471,2934681.620000000111759,2768177.839999999850988,2819606.800000000279397,11668810.109999999403954
20111230,3148590.699999999720603,2888027.310000000055879,2773016.099999999627471,2808796.569999999832362,11618430.679999999701977
20120103,3156080.199999999720603,2930129.979999999981374,2746060.079999999608845,2835587.140000000130385,11667857.400000000372529
20120104,3201017.200000000186265,2877786.120000000111759,2710118.720000000204891,2806446.520000000018626,11595368.560000000521541
20120105,3227230.450000000186265,2899406.410000000149012,2691456.859999999869615,2792816.229999999981374,11610909.950000001117587
20120106,3235468.899999999906868,2865269.109999999869615,2649294.879999999888241,2773075.810000000055879,11523108.700000001117587
20120109,3237715.749999999534339,2842510.910000000149012,2652059.599999999627471,2781535.990000000223517,11513822.250000000000000
20120110,3260184.250000000000000,2839097.179999999701977,2665883.200000000186265,2774955.850000000093132,11540120.479999998584390
20120111,3254941.600000000093132,2819752.709999999962747,2688692.139999999664724,2791876.209999999962747,11555262.660000000149012
20120112,3249698.949999999720603,2883475.669999999925494,2690074.500000000000000,2796576.310000000055879,11619825.429999999701977
20120113,3258686.349999999627471,2866407.020000000018626,2690074.500000000000000,2798456.350000000093132,11613624.219999998807907
20120117,3275912.200000000186265,2916475.060000000055879,2696986.300000000279397,2813026.660000000149012,11702400.220000000670552
20120118,3361292.500000000000000,2952888.179999999701977,2696295.119999999646097,2820546.819999999832362,11831022.619999999180436
20120119,3400986.849999999627471,2911923.419999999925494,2695603.939999999944121,2848747.419999999925494,11857261.629999998956919
20120120,3333581.349999999627471,2861855.379999999888241,2693530.399999999906868,2867547.819999999832362,11756514.949999999254942
20120123,3361292.500000000000000,2833407.629999999888241,2654133.139999999664724,2862847.719999999739230,11711680.989999998360872
20120124,3367284.100000000093132,2873234.479999999981374,2611971.159999999683350,2885408.200000000186265,11737897.940000001341105
20120125,3389752.599999999627471,2860717.470000000204891,2605059.359999999869615,2889168.279999999795109,11744697.709999999031425
20120126,3366535.149999999906868,2869820.750000000000000,2580868.060000000055879,2865667.779999999795109,11682891.740000000223517
20120127,3360543.549999999813735,2874372.390000000130385,2571882.720000000204891,2853447.520000000018626,11660246.179999999701977
20120130,3353054.050000000279397,2841373.000000000000000,2599529.919999999925494,2881178.109999999869615,11675135.080000000074506
20120131,3324593.949999999720603,2862993.290000000037253,2602985.819999999832362,2883998.169999999925494,11674571.230000000447035
20120201,3330585.549999999813735,2916475.060000000055879,2612662.339999999850988,2922538.990000000223517,11782261.939999999478459
20120202,3329836.600000000093132,3017749.049999999813735,2596074.020000000018626,2911258.750000000000000,11854918.419999999925494
20120203,3383012.049999999813735,3045058.890000000130385,2615427.060000000055879,2915488.840000000316650,11958986.839999999850988
20120206,3385258.899999999906868,3054162.169999999925494,2636162.459999999962747,2908438.689999999944121,11984022.220000000670552
20120207,3404731.600000000093132,3043920.979999999981374,2620956.500000000000000,2899508.500000000000000,11969117.580000000074506
20120208,3383012.049999999813735,3082609.919999999925494,2620956.500000000000000,2896218.430000000167638,11982796.899999998509884
20120209,3390501.550000000279397,3198676.739999999757856,2620956.500000000000000,2912198.770000000018626,12122333.559999998658895
20120210,3394995.250000000000000,3240779.410000000149012,2605059.359999999869615,2909378.709999999962747,12150212.730000000447035
20120213,3439932.250000000000000,3206642.109999999869615,2635471.280000000260770,2904208.600000000093132,12186254.240000000223517
20120214,3449668.600000000093132,3278330.439999999944121,2629250.659999999683350,2924419.029999999795109,12281668.729999998584390
20120215,3423455.350000000093132,3274916.709999999962747,2614735.879999999888241,2902798.569999999832362,12215906.510000001639128
20120216,3439932.250000000000000,3237365.679999999701977,2629941.839999999850988,2915958.850000000093132,12223198.619999999180436
20120217,3498350.350000000093132,3271502.979999999981374,2658280.220000000204891,2936639.290000000037253,12364772.839999999850988
20120221,3514078.299999999813735,3248744.780000000260770,2660353.760000000242144,2823366.879999999888241,12246543.719999998807907
20120222,3487865.049999999813735,3310191.919999999925494,2641000.720000000204891,2754275.410000000149012,12193333.099999999627471
20120223,3516325.149999999906868,3313605.649999999906868,2635471.280000000260770,2751455.350000000093132,12216857.429999999701977
20120224,3518571.999999999534339,3344329.220000000204891,2636162.459999999962747,2763205.600000000093132,12262269.279999999329448
20120227,3514827.250000000000000,3324984.750000000000000,2635471.280000000260770,2747695.270000000018626,12222978.550000000745058
20120228,3537295.749999999534339,3384156.069999999832362,2636853.639999999664724,2769785.740000000223517,12328091.199999999254942
20120229,3562760.049999999813735,3310191.919999999925494,2634088.919999999925494,2776835.890000000130385,12283876.780000001192093
20120301,3554521.600000000093132,3334088.030000000260770,2656206.679999999701977,2764615.629999999888241,12309431.940000001341105
20120302,3550776.849999999627471,3304502.370000000111759,2672795.000000000000000,2773545.819999999832362,12301620.039999999105930
20120305,3549278.949999999720603,3306778.189999999944121,2695603.939999999944121,2791876.209999999962747,12343537.289999999105930
20120306,3474383.949999999720603,3266951.339999999850988,2674177.359999999869615,2771665.779999999795109,12187178.429999997839332
20120307,3549278.949999999720603,3289709.540000000037253,2686618.599999999627471,2813496.669999999925494,12339103.759999999776483
20120308,3581483.799999999813735,3355708.319999999832362,2710809.899999999906868,2809266.580000000074506,12457268.599999999627471
20120309,3602454.399999999906868,3332950.120000000111759,2702515.740000000223517,2823836.890000000130385,12461757.150000000372529
20120312,3639152.950000000186265,3314743.560000000055879,2717721.700000000186265,2852037.490000000223517,12523655.700000001117587
20120313,3680345.199999999720603,3336363.850000000093132,2728780.579999999608845,2867077.810000000055879,12612567.439999999478459
20120314,3705060.549999999813735,3321571.020000000018626,2728089.399999999906868,2870837.890000000130385,12625558.860000001266599
20120315,3684838.899999999906868,3328398.479999999981374,2732927.659999999683350,2877888.040000000037253,12624053.079999998211861
20120316,3673604.649999999906868,3319295.200000000186265,2735001.200000000186265,2859557.650000000372529,12587458.700000001117587
20120319,3657127.750000000000000,3380742.339999999850988,2740530.639999999664724,2854857.550000000279397,12633258.280000001192093
20120320,3698320.000000000000000,3314743.560000000055879,2739148.280000000260770,2848277.410000000149012,12600489.250000000000000
20120321,3729026.949999999720603,3321571.020000000018626,2749515.979999999981374,2846397.370000000111759,12646511.320000000298023
20120322,3720788.500000000000000,3336363.850000000093132,2741221.819999999832362,2850627.459999999962747,12649001.629999998956919
20120323,3710303.199999999720603,3379604.429999999701977,2724633.500000000000000,2855327.560000000055879,12669868.689999999478459
20120326,3754491.250000000000000,3416017.549999999813735,2718412.879999999888241,2876478.010000000242144,12765399.689999999478459
20120327,3747750.699999999720603,3408052.179999999701977,2672103.819999999832362,2871307.900000000372529,12699214.599999999627471
20120328,3738014.349999999627471,3395535.169999999925494,2644456.619999999646097,2876008.000000000000000,12654014.139999998733401
20120329,3738014.349999999627471,3385293.979999999981374,2631324.200000000186265,2858617.629999999888241,12613250.160000000149012
20120330,3767972.350000000093132,3356846.229999999981374,2642383.079999999608845,2876478.010000000242144,12643679.669999999925494
20120402,3744005.950000000186265,3385293.979999999981374,2662427.300000000279397,2883998.169999999925494,12675725.400000000372529
20120403,3744754.899999999906868,3423982.919999999925494,2658280.220000000204891,2850627.459999999962747,12677645.500000000000000
20120404,3733520.649999999906868,3385293.979999999981374,2653441.959999999962747,2832297.069999999832362,12604553.660000000149012
20120405,3791189.799999999813735,3442189.479999999981374,2602985.819999999832362,2851567.479999999981374,12687932.580000000074506
20120409,3788194.000000000000000,3400086.810000000055879,2589162.220000000204891,2826186.939999999944121,12603629.970000000670552
20120410,3696822.100000000093132,3321571.020000000018626,2543544.339999999850988,2816786.740000000223517,12378724.200000001117587
20120411,3726031.149999999906868,3339777.580000000074506,2583632.780000000260770,2810676.609999999869615,12460118.120000001043081
20120412,3791938.750000000000000,3443327.390000000130385,2595382.839999999850988,2826656.950000000186265,12657305.929999999701977
20120413,3816654.100000000093132,3503636.620000000111759,2575338.619999999646097,2809266.580000000074506,12704895.919999999925494
20120416,3871327.449999999720603,3437637.839999999850988,2587088.679999999701977,2847337.390000000130385,12743391.359999999403954
20120417,3896791.750000000000000,3472913.049999999813735,2608515.260000000242144,2907968.680000000167638,12886188.740000000223517
20120418,3880314.850000000093132,3464947.679999999701977,2602985.819999999832362,2916898.870000000111759,12865147.219999998807907
20120419,3861591.100000000093132,3447879.030000000260770,2636853.639999999664724,2902328.560000000055879,12848652.330000000074506
20120420,3854101.600000000093132,3442189.479999999981374,2676942.079999999608845,2935229.260000000242144,12908462.419999999925494
20120423,3827139.399999999906868,3360259.959999999962747,2665883.200000000186265,2798456.350000000093132,12651738.909999998286366
20120424,3836875.749999999534339,3383018.160000000149012,2730162.939999999944121,2715264.580000000074506,12665321.429999999701977
20120425,3887804.349999999627471,3464947.679999999701977,2728780.579999999608845,2695994.169999999925494,12777526.779999999329448
20120426,3884808.549999999813735,3504774.530000000260770,2774398.459999999962747,2770725.760000000242144,12934707.299999998882413
20120427,3890800.149999999906868,3513877.810000000055879,2780619.079999999608845,2774485.840000000316650,12959782.879999998956919
20120430,3878816.949999999720603,3499084.979999999981374,2790986.780000000260770,2768845.719999999739230,12937734.429999999701977
20120501,3918511.299999999813735,3501360.799999999813735,2803428.020000000018626,2776365.879999999888241,12999666.000000000000000
20120502,3947720.350000000093132,3476326.780000000260770,2806192.740000000223517,2773545.819999999832362,13003785.690000001341105
20120503,3929745.549999999813735,3311329.830000000074506,2808957.459999999962747,2772605.800000000279397,12822638.640000000596046
20120504,3891549.100000000093132,3351156.679999999701977,2782692.619999999646097,2758975.510000000242144,12784373.909999998286366
20120507,3848858.949999999720603,3371639.060000000055879,2801354.479999999981374,2782006.000000000000000,12803858.490000000223517
20120508,3791189.799999999813735,3361397.870000000111759,2802736.839999999850988,2775425.859999999869615,12730750.369999999180436
20120509,3752993.350000000093132,3340915.489999999757856,2782001.439999999944121,2774485.840000000316650,12650396.119999999180436
20120510,3791189.799999999813735,3361397.870000000111759,2802736.839999999850988,2782006.000000000000000,12737330.509999999776483
20120511,3770219.200000000186265,3354570.410000000149012,2844898.819999999832362,2792816.229999999981374,12762504.660000000149012
20120514,3735767.500000000000000,3320433.109999999869615,2826236.959999999962747,2776365.879999999888241,12658803.449999999254942
20120515,3645144.549999999813735,3317019.379999999888241,2837295.839999999850988,2789526.160000000149012,12588985.929999999701977
20120516,3652634.050000000279397,3343191.310000000055879,2825545.780000000260770,2782006.000000000000000,12603377.140000000596046
20120517,3521567.800000000279397,3271502.979999999981374,2859413.599999999627471,2899038.490000000223517,12551522.869999999180436
20120518,3523814.649999999906868,3204366.290000000037253,2870472.479999999981374,2934289.240000000223517,12532942.660000000149012
20120521,3565755.850000000093132,3306778.189999999944121,2857340.060000000055879,2962959.850000000093132,12692833.949999999254942
20120522,3614437.599999999627471,3368225.330000000074506,2860795.959999999962747,2995390.540000000037253,12838849.429999999701977
20120523,3614437.599999999627471,3368225.330000000074506,2860795.959999999962747,2995390.540000000037253,12838849.429999999701977
20120524,3723035.350000000093132,3406914.270000000018626,2860795.959999999962747,3058371.879999999888241,13049117.460000000894070
20120525,3702813.699999999720603,3395535.169999999925494,2864943.040000000037253,3069652.120000000111759,13032944.030000001192093
20120529,3728278.000000000000000,3421707.100000000093132,2885678.439999999944121,3087042.490000000223517,13122706.029999999329448
20120530,3723035.350000000093132,3342053.399999999906868,2862869.500000000000000,3075762.250000000000000,13003720.500000000000000
20120531,3695324.200000000186265,3277192.530000000260770,2878075.459999999962747,3093622.629999999888241,12944214.820000000298023
20120601,3591969.100000000093132,3192987.189999999944121,2835913.479999999981374,3080932.359999999869615,12701802.129999998956919
20120604,3651885.099999999627471,3247606.870000000111759,2857340.060000000055879,3101612.799999999813735,12858444.829999998211861
20120605,3663868.299999999813735,3237365.679999999701977,2847663.540000000037253,3078582.310000000055879,12827479.830000000074506
20120606,3789691.899999999906868,3310191.919999999925494,2887060.800000000279397,3098792.740000000223517,13085737.360000001266599
20120607,3837624.700000000186265,3322708.929999999701977,2878075.459999999962747,3095972.680000000167638,13134381.769999999552965
20120608,3920758.149999999906868,3317019.379999999888241,2933369.859999999869615,3206425.029999999795109,13377572.419999998062849
20120611,3845863.149999999906868,3310191.919999999925494,2941664.020000000018626,3173994.340000000316650,13271713.429999999701977
20120612,3912519.700000000186265,3332950.120000000111759,2967928.859999999869615,3182924.529999999795109,13396323.209999999031425
20120613,3817403.049999999813735,3269227.160000000149012,2971384.760000000242144,3152373.879999999888241,13210388.850000001490116
20120614,3906528.099999999627471,3313605.649999999906868,3023914.439999999944121,3178694.439999999944121,13422742.629999998956919
20120615,3884808.549999999813735,3368225.330000000074506,3010090.839999999850988,3184334.560000000055879,13447459.279999999329448
20120618,3918511.299999999813735,3417155.459999999962747,3028752.700000000186265,3201724.930000000167638,13566144.390000000596046
20120619,3967193.049999999813735,3452430.669999999925494,3022532.079999999608845,3187154.620000000111759,13629310.419999998062849
20120620,3956707.750000000000000,3487705.879999999888241,2992811.339999999850988,3220525.330000000074506,13657750.299999998882413
20120621,3839122.599999999627471,3398948.899999999906868,2994884.879999999888241,3181984.510000000242144,13414940.889999998733401
20120622,3896042.800000000279397,3554842.569999999832362,3037738.040000000037253,3163184.109999999869615,13651807.519999999552965
20120625,3858595.300000000279397,3450154.850000000093132,3017002.639999999664724,3204544.990000000223517,13530297.779999999329448
20120626,3885557.500000000000000,3503636.620000000111759,3030135.060000000055879,3223345.390000000130385,13642674.570000000298023
20120627,3860842.149999999906868,3511601.989999999757856,3025987.979999999981374,3223815.400000000372529,13622247.519999999552965
20120628,3871327.449999999720603,3456982.310000000055879,3039120.399999999906868,3210185.109999999869615,13577615.269999999552965
20120629,3968690.950000000186265,3517291.540000000037253,3071605.859999999869615,3276926.529999999795109,13834514.879999998956919
20120702,3970188.849999999627471,3602634.790000000037253,3105473.679999999701977,3259536.159999999683350,13937833.480000000447035
20120703,3868331.649999999906868,3594669.419999999925494,3106856.040000000037253,3325337.560000000055879,13895194.669999999925494
20120705,3902783.350000000093132,3612875.979999999981374,3102708.959999999962747,3340847.890000000130385,13959216.179999999701977
20120706,3905779.149999999906868,3563945.850000000093132,3070223.500000000000000,3354008.169999999925494,13893956.669999999925494
20120709,3903532.299999999813735,3517291.540000000037253,3092341.260000000242144,3372808.570000000298023,13885973.669999999925494
20120710,3911021.799999999813735,3478602.600000000093132,3089576.540000000037253,3389258.919999999925494,13868459.860000001266599
20120711,3869829.549999999813735,3435362.020000000018626,3103400.139999999664724,3396309.070000000298023,13804900.780000001192093
20120712,3860842.149999999906868,3488843.790000000037253,3087503.000000000000000,3398659.120000000111759,13835848.059999998658895
20120713,3901285.450000000186265,3529808.549999999813735,3124826.720000000204891,3439549.990000000223517,13995470.710000000894070
20120716,3853352.649999999906868,3617427.620000000111759,3128973.800000000279397,3430149.790000000037253,14029903.859999999403954
20120717,3798679.299999999813735,3648151.190000000409782,3155929.819999999832362,3435789.909999999683350,14038550.220000000670552
20120718,3812909.349999999627471,3636772.089999999850988,3171826.959999999962747,3424039.659999999683350,14045548.059999998658895
20120719,3816654.100000000093132,3567359.580000000074506,3078517.659999999683350,3361998.340000000316650,13824529.679999999701977
20120720,3797181.399999999906868,3577600.770000000018626,3075061.760000000242144,3395839.060000000055879,13845682.990000000223517
20120723,3816654.100000000093132,3541187.649999999906868,3065385.240000000223517,3377038.659999999683350,13800265.650000000372529
20120724,3832382.049999999813735,3488843.790000000037253,3025296.800000000279397,3390668.950000000186265,13737191.589999999850988
20120725,3824892.549999999813735,3476326.780000000260770,3021840.899999999906868,3387848.890000000130385,13710909.120000001043081
20120726,3962699.349999999627471,3606048.520000000018626,3072988.220000000204891,3462580.479999999981374,14104316.570000000298023
20120727,4022615.350000000093132,3673185.209999999962747,3103400.139999999664724,3502531.330000000074506,14301732.029999999329448
20120730,3988163.649999999906868,3722115.339999999850988,3106856.040000000037253,3524151.790000000037253,14341286.820000000298023
20120731,3908026.000000000000000,3672047.300000000279397,3119988.459999999962747,3498301.240000000223517,14198363.000000001862645
20120801,3870578.500000000000000,3626530.899999999906868,3124826.720000000204891,3460230.430000000167638,14082166.550000000745058
20120802,3848858.949999999720603,3677736.850000000093132,3084047.099999999627471,3480440.859999999869615,14091083.759999997913837
20120803,3916264.449999999720603,3725529.070000000298023,3072988.220000000204891,3503941.359999999869615,14218723.099999999627471
20120806,3894544.899999999906868,3727804.889999999664724,3088885.359999999869615,3491251.090000000316650,14202486.239999998360872
20120807,3924502.899999999906868,3709598.330000000074506,3073679.399999999906868,3477620.799999999813735,14185401.429999999701977
20120808,3953711.949999999720603,3731218.620000000111759,3053635.179999999701977,3492661.120000000111759,14231226.870000001043081
20120809,3980674.149999999906868,3656116.560000000055879,3064694.060000000055879,3471040.659999999683350,14172525.429999999701977
20120810,3973933.600000000093132,3672047.300000000279397,3082664.740000000223517,3463050.490000000223517,14191696.130000000819564
20120813,3955958.799999999813735,3650427.009999999776483,3059855.800000000279397,3449890.210000000428408,14116131.820000000298023
20120814,4097510.350000000093132,3694805.500000000000000,3064002.879999999888241,3478560.820000000298023,14334879.550000000745058
20120815,4119229.899999999906868,3672047.300000000279397,3054326.359999999869615,3499241.260000000242144,14344844.820000000298023
20120816,4217342.349999999627471,3689115.950000000186265,3049488.099999999627471,3391138.960000000428408,14347085.359999999403954
20120817,4248798.250000000000000,3660668.200000000186265,3045341.020000000018626,3383618.799999999813735,14338426.269999999552965
20120820,4236815.050000000745058,3645875.370000000111759,3020458.540000000037253,3398189.109999999869615,14301338.070000000298023
20120821,4218091.300000000745058,3627668.810000000055879,2964472.959999999962747,3357298.240000000223517,14167531.310000000521541
20120822,4242057.699999999254942,3644737.459999999962747,2945811.099999999627471,3373278.580000000074506,14205884.839999997988343
20120823,4235317.150000000372529,3617427.620000000111759,2920237.439999999944121,3363408.370000000111759,14136390.580000001937151
