代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12842015.109999999403954
真實報酬,2842015.109999999403954

夏普值報酬,0.275501511000000
夏普值風險,0.071923597361704
夏普值,3.830474574491876

預期報酬,9643.830577060734868
風險,200928.275417431344977
趨勢值,0.047996383570334
找到最佳解世代,2082
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
KO[14](9),MCD[15](13),V[25](1),VZ[26](3),WMT[28](4),
20111013,1981770.140000000363216,2065446.580000000074506,2164561.759999999776483,2098044.290000000037253,2087648.330000000074506,10397471.100000001490116
20111014,1994707.460000000195578,2080015.959999999962747,2195417.089999999850988,2115612.919999999925494,2104343.250000000000000,10490096.679999999701977
20111017,1970008.940000000176951,2050414.679999999934807,2131836.410000000149012,2093510.449999999953434,2078542.010000000009313,10324312.490000000223517
20111018,1962364.159999999916181,2073078.159999999916181,2195417.089999999850988,2110512.350000000093132,2120658.740000000223517,10462030.500000000000000
20111019,1971185.060000000288710,2072615.640000000130385,2105656.129999999888241,2099744.479999999981374,2134318.219999999739230,10383519.530000001192093
20111020,1973537.300000000279397,2058508.780000000027940,2135576.449999999720603,2102578.130000000353903,2138871.379999999888241,10409072.039999999105930
20111021,2005292.540000000270084,2135055.839999999850988,2184196.969999999739230,2120713.490000000223517,2159740.030000000260770,10604998.870000001043081
20111024,1995883.580000000074506,2127886.780000000260770,2201962.160000000149012,2092943.719999999972060,2154428.009999999776483,10573104.250000000000000
20111025,1968832.820000000065193,2122336.540000000037253,2119681.280000000260770,2051005.699999999953434,2151772.000000000000000,10413628.339999999850988
20111026,1984122.380000000353903,2122567.799999999813735,2151471.620000000111759,2086142.960000000195578,2176814.379999999888241,10521119.140000000596046
20111027,2015877.620000000344589,2162575.780000000260770,2206637.209999999962747,2134315.009999999776483,2193509.299999999813735,10712914.920000001788139
20111028,2027050.760000000009313,2157488.060000000055879,2223467.390000000130385,2132614.820000000298023,2168466.919999999925494,10709087.950000001117587
20111031,2008820.899999999906868,2147312.620000000111759,2180456.929999999701977,2095777.369999999878928,2152151.429999999701977,10584519.249999998137355
20111101,1971185.060000000288710,2125574.180000000167638,2104721.120000000111759,2066874.139999999897555,2133559.359999999403954,10401913.859999999403954
20111102,1992943.280000000260770,2139912.299999999813735,2139316.489999999757856,2085576.229999999981374,2157463.450000000186265,10515211.750000000000000
20111103,2018817.920000000158325,2150781.520000000018626,2178586.910000000149012,2122413.680000000167638,2178711.530000000260770,10649311.560000002384186
20111104,1992943.280000000260770,2169513.580000000074506,2165496.770000000018626,2106545.240000000223517,2181746.969999999739230,10616245.839999999850988
20111107,2005292.540000000270084,2188245.640000000130385,2172976.849999999627471,2116179.650000000372529,2198441.889999999664724,10681136.570000000298023
20111108,2018817.920000000158325,2187783.120000000111759,2210377.250000000000000,2126380.790000000037253,2250803.230000000447035,10794162.310000000521541
20111109,1971185.060000000288710,2142687.419999999925494,2176716.890000000130385,2090676.800000000046566,2202615.620000000111759,10583881.790000000968575
20111110,1981770.140000000363216,2156794.280000000260770,2174846.870000000111759,2115612.919999999925494,2205651.060000000521541,10634675.270000001415610
20111111,2002940.300000000279397,2191483.280000000260770,2224402.399999999906868,2126380.790000000037253,2246250.070000000298023,10791456.839999999850988
20111114,1993531.340000000083819,2175295.080000000074506,2193547.069999999832362,2096910.830000000074506,2234487.740000000223517,10693772.060000000521541
20111115,1999411.940000000176951,2184776.740000000223517,2235622.520000000018626,2110512.350000000093132,2180229.250000000000000,10710552.800000000745058
20111116,1970597.000000000000000,2154250.419999999925494,2183261.959999999962747,2077075.280000000027940,2150633.709999999962747,10535818.370000001043081
20111117,1958835.800000000279397,2134362.060000000055879,2136511.459999999962747,2079908.930000000167638,2152530.859999999403954,10462149.109999999403954
20111118,1981770.140000000363216,2144768.759999999776483,2122486.309999999590218,2066307.410000000149012,2171502.359999999403954,10486834.980000000447035
20111121,1939429.820000000065193,2134130.799999999813735,2131836.410000000149012,2044204.940000000176951,2149874.849999999627471,10399476.820000000298023
20111122,1940017.880000000353903,2142687.419999999925494,2123421.319999999832362,2051005.699999999953434,2157084.020000000484288,10414216.339999999850988
20111123,1907674.580000000074506,2124649.140000000130385,2086955.929999999934807,2003400.380000000121072,2149115.990000000223517,10271796.019999999552965
20111125,1903558.159999999916181,2129968.120000000111759,2081345.870000000111759,2003400.380000000121072,2158601.740000000223517,10276874.269999999552965
20111128,1916495.480000000447035,2168357.280000000260770,2185131.979999999981374,2054406.080000000074506,2172261.219999999739230,10496652.039999999105930
20111129,1946486.540000000270084,2161419.479999999981374,2172041.839999999850988,2075941.820000000298023,2207168.780000000260770,10563058.460000000894070
20111130,1977065.659999999916181,2209059.040000000037253,2266477.849999999627471,2138282.120000000111759,2234867.169999999925494,10825751.839999999850988
20111201,1965304.460000000195578,2208596.520000000018626,2285178.049999999813735,2140549.040000000037253,2223863.700000000186265,10823491.769999999552965
20111202,1951779.080000000074506,2213221.720000000204891,2272087.910000000149012,2145082.880000000353903,2204133.339999999850988,10786304.930000001564622
20111205,1950014.899999999906868,2205127.620000000111759,2245907.629999999888241,2156417.479999999981374,2213619.089999999850988,10771086.720000000670552
20111206,1960599.980000000447035,2220390.780000000260770,2229077.449999999720603,2171719.189999999944121,2230314.009999999776483,10812101.410000000149012
20111207,1963540.280000000260770,2230566.220000000204891,2269282.879999999888241,2171152.460000000428408,2220069.399999999441206,10854611.240000002086163
20111208,1962364.159999999916181,2241435.439999999944121,2239362.559999999590218,2142815.960000000428408,2199959.609999999403954,10785937.729999998584390
20111209,1986474.620000000344589,2267105.299999999813735,2272087.910000000149012,2177953.220000000204891,2212860.230000000447035,10916481.280000001192093
20111212,1967068.640000000363216,2277512.000000000000000,2265542.839999999850988,2173419.380000000353903,2204133.339999999850988,10887676.200000001117587
20111213,1954719.380000000353903,2266411.520000000018626,2242167.589999999850988,2168318.810000000055879,2185541.270000000484288,10817158.570000000298023
20111214,1948250.720000000437722,2257392.379999999888241,2252452.699999999720603,2168318.810000000055879,2187438.419999999925494,10813853.030000001192093
20111215,1967068.640000000363216,2269649.160000000149012,2240297.569999999832362,2177386.490000000223517,2198821.320000000298023,10853223.180000001564622
20111216,1982946.260000000009313,2254617.259999999776483,2277697.969999999739230,2197788.770000000018626,2210963.080000000074506,10924013.339999999850988
20111219,1981182.080000000074506,2248835.759999999776483,2304813.259999999776483,2189287.820000000298023,2192371.009999999776483,10916489.929999999701977
20111220,2011173.140000000363216,2285374.839999999850988,2369328.949999999720603,2222158.160000000149012,2245870.639999999664724,11133905.730000000447035
20111221,2045280.620000000344589,2294162.720000000204891,2354368.790000000037253,2223291.620000000111759,2253459.240000000223517,11170562.990000000223517
20111222,2034695.540000000270084,2280287.120000000111759,2350628.750000000000000,2226692.000000000000000,2245870.639999999664724,11138174.050000000745058
20111223,2056453.760000000009313,2316132.419999999925494,2395509.229999999981374,2265796.370000000111759,2276225.040000000037253,11310116.820000000298023
20111227,2054689.580000000074506,2325382.819999999832362,2382419.089999999850988,2266363.100000000093132,2270154.160000000149012,11299008.750000000000000
20111228,2044104.500000000000000,2302950.600000000093132,2354368.790000000037253,2253328.310000000055879,2266359.859999999403954,11221112.059999998658895
20111229,2062922.420000000158325,2331395.580000000074506,2411404.399999999906868,2269763.479999999981374,2276225.040000000037253,11351710.920000001788139
20111230,2057629.880000000353903,2320295.100000000093132,2373068.989999999757856,2273730.589999999850988,2267498.149999999441206,11292222.710000000894070
20120103,2062334.360000000102445,2285837.359999999869615,2407664.359999999869615,2251628.120000000111759,2289125.660000000149012,11296589.859999999403954
20120104,2049397.040000000270084,2298556.660000000149012,2364653.899999999906868,2222158.160000000149012,2265601.000000000000000,11200366.759999999776483
20120105,2039988.080000000074506,2308732.100000000093132,2382419.089999999850988,2206856.449999999720603,2254597.530000000260770,11192593.250000000000000
20120106,2027050.760000000009313,2326539.120000000111759,2354368.790000000037253,2172285.919999999925494,2238661.469999999739230,11118906.059999998658895
20120109,2027050.760000000009313,2304338.160000000149012,2335668.589999999850988,2174552.839999999850988,2245491.209999999962747,11087101.559999998658895
20120110,2038811.960000000195578,2305725.720000000204891,2332863.559999999590218,2185887.439999999944121,2240179.189999999478459,11103467.869999999180436
20120111,2001176.120000000344589,2311044.700000000186265,2316968.390000000130385,2204589.529999999795109,2253838.669999999925494,11087617.410000000149012
20120112,1986474.620000000344589,2325845.339999999850988,2369328.949999999720603,2205722.990000000223517,2257632.969999999739230,11145004.870000001043081
20120113,1969420.880000000353903,2320757.620000000111759,2355303.799999999813735,2205722.990000000223517,2259150.689999999478459,11110355.979999998584390
20120117,1980005.960000000195578,2325382.819999999832362,2396444.239999999757856,2211390.290000000037253,2270913.020000000484288,11184136.329999998211861
20120118,1987650.739999999990687,2348740.080000000074506,2426364.559999999590218,2210823.560000000055879,2276983.899999999441206,11250562.839999999850988
20120119,1983534.320000000065193,2341802.280000000260770,2392704.199999999720603,2210256.830000000074506,2299749.700000000186265,11228047.330000001937151
20120120,2002352.239999999990687,2352902.759999999776483,2351563.759999999776483,2208556.640000000130385,2314926.899999999441206,11230302.300000000745058
20120123,2015289.560000000288710,2334633.220000000204891,2328188.509999999776483,2176253.029999999795109,2311132.599999999627471,11165496.919999999925494
20120124,1996471.640000000363216,2283756.020000000018626,2360913.859999999869615,2141682.500000000000000,2329345.240000000223517,11112169.259999999776483
20120125,2012349.260000000009313,2294856.500000000000000,2350628.750000000000000,2136015.199999999720603,2332380.679999999701977,11126230.389999998733401
20120126,2000000.000000000000000,2293700.200000000186265,2358108.829999999608845,2116179.650000000372529,2313409.179999999701977,11081397.859999999403954
20120127,1982946.260000000009313,2282368.459999999962747,2361848.870000000111759,2108812.160000000149012,2303544.000000000000000,11039519.750000000000000
20120130,1983534.320000000065193,2282368.459999999962747,2334733.579999999608845,2131481.359999999869615,2325930.370000000111759,11058048.089999999850988
20120131,1985886.560000000288710,2290693.819999999832362,2352498.770000000018626,2134315.009999999776483,2328206.950000000186265,11091601.109999999403954
20120201,1994707.460000000195578,2275661.919999999925494,2396444.239999999757856,2142249.229999999981374,2359320.209999999962747,11168383.059999998658895
20120202,1994707.460000000195578,2280749.640000000130385,2479660.129999999888241,2128647.710000000428408,2350213.889999999664724,11233978.830000001937151
20120203,2001764.180000000167638,2312894.780000000260770,2502100.370000000111759,2144516.150000000372529,2353628.759999999776483,11314904.240000000223517
20120206,2000588.060000000288710,2300869.259999999776483,2509580.449999999720603,2161518.050000000279397,2347937.310000000521541,11320493.130000000819564
20120207,2015877.620000000344589,2333708.180000000167638,2501165.359999999869615,2149049.990000000223517,2340728.139999999664724,11340529.289999999105930
20120208,2009408.960000000195578,2313819.819999999832362,2532955.699999999720603,2149049.990000000223517,2338072.129999999888241,11343306.600000001490116
20120209,1998823.880000000353903,2312432.259999999776483,2628326.719999999739230,2149049.990000000223517,2350972.750000000000000,11439605.600000001490116
20120210,1997647.760000000009313,2300406.740000000223517,2662922.089999999850988,2136015.199999999720603,2348696.169999999925494,11445687.959999999031425
20120213,2012349.260000000009313,2304569.419999999925494,2634871.790000000037253,2160951.320000000298023,2344522.439999999478459,11457264.229999998584390
20120214,2025874.640000000363216,2302256.819999999832362,2693777.419999999925494,2155850.750000000000000,2360837.929999999701977,11538597.559999998658895
20120215,2011173.140000000363216,2280518.379999999888241,2690972.390000000130385,2143949.419999999925494,2343384.149999999441206,11469997.480000000447035
20120216,2024698.520000000251457,2295550.280000000260770,2660117.059999999590218,2156417.479999999981374,2354008.189999999478459,11490791.529999999329448
20120217,2030579.120000000344589,2312432.259999999776483,2688167.359999999869615,2179653.410000000149012,2370703.109999999403954,11581535.259999999776483
20120221,2023522.399999999906868,2323995.259999999776483,2669467.160000000149012,2181353.600000000093132,2279260.480000000447035,11477598.900000000372529
20120222,2036459.720000000437722,2327926.680000000167638,2719957.699999999720603,2165485.160000000149012,2223484.270000000484288,11473313.530000001192093
20120223,2034107.480000000447035,2331395.580000000074506,2722762.729999999981374,2160951.320000000298023,2221207.689999999478459,11470424.800000000745058
20120224,2028814.940000000176951,2320063.839999999850988,2748008.000000000000000,2161518.050000000279397,2230693.439999999478459,11489098.269999999552965
20120227,2024110.460000000195578,2320988.879999999888241,2732112.829999999608845,2160951.320000000298023,2218172.250000000000000,11456335.740000000223517
20120228,2024110.460000000195578,2307575.799999999813735,2780733.349999999627471,2162084.779999999795109,2236005.459999999962747,11510509.849999997764826
20120229,2054101.520000000251457,2296012.799999999813735,2719957.699999999720603,2159817.859999999869615,2241696.910000000149012,11471586.789999999105930
20120301,2046456.739999999990687,2295319.020000000018626,2739592.910000000149012,2177953.220000000204891,2231831.730000000447035,11491153.620000001043081
20120302,2034107.480000000447035,2301100.520000000018626,2715282.649999999906868,2191554.740000000223517,2239040.899999999441206,11481086.289999999105930
20120305,2035871.659999999916181,2311275.959999999962747,2717152.669999999925494,2210256.830000000074506,2253838.669999999925494,11528395.790000000968575
20120306,2021758.220000000437722,2310119.660000000149012,2684427.319999999832362,2192688.199999999720603,2237523.179999999701977,11446516.580000000074506
20120307,2022934.340000000083819,2316826.200000000186265,2703127.520000000018626,2202889.339999999850988,2271292.450000000186265,11517069.850000001490116
20120308,2037047.780000000260770,2242360.479999999981374,2757358.099999999627471,2222724.890000000130385,2267877.580000000074506,11527368.830000000074506
20120309,2044104.500000000000000,2239585.359999999869615,2738657.899999999906868,2215924.130000000353903,2279639.910000000149012,11517911.800000000745058
20120312,2062922.420000000158325,2235422.680000000167638,2723697.739999999757856,2228392.189999999944121,2302405.709999999962747,11552840.739999998360872
20120313,2065862.720000000437722,2238197.799999999813735,2741462.929999999701977,2237459.870000000111759,2314547.469999999739230,11597530.789999999105930
20120314,2064686.600000000093132,2249992.060000000055879,2729307.799999999813735,2236893.140000000130385,2317582.910000000149012,11598462.509999999776483
20120315,2068214.960000000195578,2267336.560000000055879,2734917.859999999869615,2240860.250000000000000,2323274.359999999403954,11634603.990000000223517
20120316,2062922.420000000158325,2258548.680000000167638,2727437.780000000260770,2242560.439999999944121,2308476.589999999850988,11599945.910000000149012
20120319,2069979.140000000363216,2260167.500000000000000,2777928.319999999832362,2247094.279999999795109,2304682.290000000037253,11659851.530000001192093
20120320,2075859.739999999990687,2258317.419999999925494,2723697.739999999757856,2245960.820000000298023,2299370.270000000484288,11603205.990000002086163
20120321,2091149.300000000279397,2236810.240000000223517,2729307.799999999813735,2254461.770000000018626,2297852.549999999813735,11609581.660000000149012
20120322,2099970.200000000186265,2215534.319999999832362,2741462.929999999701977,2247661.009999999776483,2301267.419999999925494,11605895.879999998956919
20120323,2101734.379999999888241,2209752.819999999832362,2776993.309999999590218,2234059.490000000223517,2305061.719999999739230,11627601.719999998807907
20120326,2114083.640000000596046,2242591.740000000223517,2806913.629999999888241,2228958.919999999925494,2322136.070000000298023,11714684.000000000000000
20120327,2113495.580000000074506,2251148.359999999869615,2800368.559999999590218,2190988.009999999776483,2317962.339999999850988,11673962.849999997764826
20120328,2136429.919999999925494,2245135.600000000093132,2790083.449999999720603,2168318.810000000055879,2321756.639999999664724,11661724.419999998062849
20120329,2170537.400000000372529,2258086.160000000149012,2781668.359999999869615,2157550.939999999944121,2307717.730000000447035,11675560.589999999850988
20120330,2176418.000000000000000,2268724.120000000111759,2758293.109999999869615,2166618.620000000111759,2322136.070000000298023,11692189.920000001788139
20120402,2179946.360000000335276,2274736.879999999888241,2781668.359999999869615,2183053.790000000037253,2328206.950000000186265,11747612.339999999850988
20120403,2168773.220000000670552,2298787.919999999925494,2813458.699999999720603,2179653.410000000149012,2301267.419999999925494,11761940.669999999925494
20120404,2159952.320000000298023,2254386.000000000000000,2781668.359999999869615,2175686.300000000279397,2286469.649999999441206,11658162.629999998956919
20120405,2160540.379999999888241,2280749.640000000130385,2828418.859999999869615,2134315.009999999776483,2302026.280000000260770,11706050.169999998062849
20120409,2142898.580000000074506,2286762.399999999906868,2793823.489999999757856,2122980.410000000149012,2281537.060000000521541,11628001.940000001341105
20120410,2117612.000000000000000,2258779.939999999944121,2729307.799999999813735,2085576.229999999981374,2273948.459999999962747,11465224.429999999701977
20120411,2120552.300000000745058,2279362.080000000074506,2744267.959999999962747,2118446.570000000298023,2269015.870000000111759,11531644.780000001192093
20120412,2123492.600000000558794,2258086.160000000149012,2829353.870000000111759,2128080.979999999981374,2281916.490000000223517,11620930.100000001490116
20120413,2115259.759999999776483,2242591.740000000223517,2878909.399999999906868,2111645.810000000055879,2267877.580000000074506,11616284.290000000968575
20120416,2129961.259999999776483,2233572.600000000093132,2824678.819999999832362,2121280.220000000204891,2298611.410000000149012,11608104.310000000521541
20120417,2174653.820000000298023,2245829.379999999888241,2853664.129999999888241,2138848.850000000093132,2347557.879999999888241,11760554.059999998658895
20120418,2181122.480000000447035,2251148.359999999869615,2847119.059999999590218,2134315.009999999776483,2354767.049999999813735,11768471.960000000894070
20120419,2170537.400000000372529,2203508.799999999813735,2833093.910000000149012,2162084.779999999795109,2343004.719999999739230,11712229.609999999403954
20120420,2179946.360000000335276,2218771.959999999962747,2828418.859999999869615,2194955.120000000111759,2369564.820000000298023,11791657.120000001043081
20120423,2167009.040000000037253,2201427.459999999962747,2761098.140000000130385,2185887.439999999944121,2259150.689999999478459,11574572.769999999552965
20120424,2179358.300000000745058,2187551.859999999869615,2779798.339999999850988,2238593.330000000074506,2191991.580000000074506,11577293.410000000149012
20120425,2203468.759999999776483,2202121.240000000223517,2847119.059999999590218,2237459.870000000111759,2176434.950000000186265,11666603.879999998956919
20120426,2225815.040000000037253,2216228.100000000093132,2879844.410000000149012,2274864.050000000279397,2236764.320000000298023,11833515.920000001788139
20120427,2253453.860000000335276,2252073.399999999906868,2887324.489999999757856,2279964.620000000111759,2239799.759999999776483,11912616.130000000819564
20120430,2244044.900000000372529,2253692.220000000204891,2875169.359999999869615,2288465.570000000298023,2235246.599999999627471,11896618.650000000372529
20120501,2262274.759999999776483,2247910.720000000204891,2877039.379999999888241,2298666.710000000428408,2241317.480000000447035,11927209.050000000745058
20120502,2268743.419999999925494,2255079.780000000260770,2856469.160000000149012,2300933.630000000353903,2239040.899999999441206,11920266.890000000596046
20120503,2276976.259999999776483,2244210.560000000055879,2720892.709999999962747,2303200.550000000279397,2238282.040000000037253,11783562.120000001043081
20120504,2264038.940000000409782,2217153.140000000130385,2753618.059999999590218,2281664.810000000055879,2227278.570000000298023,11743753.519999999552965
20120507,2272271.780000000260770,2208827.780000000260770,2770448.239999999757856,2296966.520000000018626,2245870.639999999664724,11794384.960000000894070
20120508,2268155.360000000335276,2163500.819999999832362,2762033.149999999906868,2298099.979999999981374,2240558.620000000111759,11732347.929999999701977
20120509,2257570.280000000260770,2126036.700000000186265,2745202.969999999739230,2281098.080000000074506,2239799.759999999776483,11649707.790000000968575
20120510,2276388.200000000186265,2124649.140000000130385,2762033.149999999906868,2298099.979999999981374,2245870.639999999664724,11707041.109999999403954
20120511,2278152.379999999888241,2125342.919999999925494,2756423.089999999850988,2332670.509999999776483,2254597.530000000260770,11747186.429999999701977
20120514,2260510.580000000074506,2101754.399999999906868,2728372.790000000037253,2317368.800000000279397,2241317.480000000447035,11649324.050000000745058
20120515,2251101.620000000111759,2104760.780000000260770,2725567.759999999776483,2326436.479999999981374,2251941.520000000484288,11659808.160000000149012
20120516,2244632.959999999962747,2114473.700000000186265,2747072.989999999757856,2316802.070000000298023,2245870.639999999664724,11668852.359999999403954
20120517,2208761.300000000745058,2072615.640000000130385,2688167.359999999869615,2344571.839999999850988,2340348.709999999962747,11654464.850000001490116
20120518,2177594.120000000111759,2077934.619999999878928,2633001.770000000018626,2353639.520000000018626,2368805.959999999962747,11610975.989999998360872
20120521,2191119.500000000000000,2110773.540000000037253,2717152.669999999925494,2342871.650000000372529,2391951.189999999478459,11753868.549999998882413
20120522,2181710.540000000037253,2112392.359999999869615,2767643.209999999962747,2345705.300000000279397,2418131.859999999403954,11825583.269999999552965
20120523,2181710.540000000037253,2112392.359999999869615,2767643.209999999962747,2345705.300000000279397,2418131.859999999403954,11825583.269999999552965
20120524,2221698.620000000111759,2116786.299999999813735,2799433.549999999813735,2345705.300000000279397,2468975.479999999515712,11952599.250000000000000
20120525,2212289.660000000149012,2105685.819999999832362,2790083.449999999720603,2349105.680000000167638,2478081.799999999813735,11935246.410000000149012
