代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13128204.559999998658895
真實報酬,3128204.559999998658895

夏普值報酬,0.304120456000000
夏普值風險,0.087006961005495
夏普值,3.495357756269541

預期報酬,14197.704522965344950
風險,146636.030186104733730
趨勢值,0.096822755668891
找到最佳解世代,2584
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,6
AAPL[0](8),CAT[3](7),DD[7](1),MRK[17](9),MSFT[18](2),V[25](10),
20130814,1835776.239999999757856,1725162.820000000065193,1795590.000000000000000,1680505.599999999860302,1693361.949999999953434,1679471.760000000242144,10409872.369999999180436
20130815,1833713.919999999692664,1725966.900000000139698,1767200.000000000000000,1659746.199999999953434,1664048.750000000000000,1637664.719999999972060,10288344.490000000223517
20130816,1849954.689999999944121,1711895.500000000000000,1754508.000000000000000,1650404.469999999972060,1664572.199999999953434,1630131.920000000158325,10261470.779999999329448
20130819,1869804.520000000018626,1692597.580000000307336,1742150.000000000000000,1646252.589999999850988,1643110.750000000000000,1647834.000000000000000,10241753.440000001341105
20130820,1845314.469999999972060,1685762.900000000139698,1757514.000000000000000,1645560.610000000102445,1655150.100000000093132,1631261.840000000083819,10220567.919999999925494
20130821,1850212.479999999748543,1667269.060000000055879,1766532.000000000000000,1642100.709999999962747,1654626.649999999906868,1679848.400000000139698,10260593.300000000745058
20130822,1852274.799999999813735,1691994.520000000251457,1768870.000000000000000,1654210.360000000102445,1695455.750000000000000,1684744.719999999972060,10347554.150000000372529
20130823,1845056.679999999701977,1686365.960000000195578,1842684.000000000000000,1651442.439999999711290,1818989.949999999953434,1686627.920000000158325,10531170.949999999254942
20130826,1852274.799999999813735,1679732.300000000279397,1838342.000000000000000,1647636.549999999813735,1787582.949999999953434,1647834.000000000000000,10453406.599999999627471
20130827,1799427.849999999860302,1662444.580000000307336,1786572.000000000000000,1629991.059999999823049,1740995.899999999906868,1639924.560000000055879,10259359.949999999254942
20130828,1807934.919999999692664,1657419.080000000307336,1781228.000000000000000,1629299.080000000074506,1728433.100000000093132,1649717.199999999953434,10254035.379999998956919
20130829,1810770.609999999869615,1659027.240000000223517,1784568.000000000000000,1629645.070000000065193,1756175.949999999720603,1651223.760000000242144,10291414.629999998956919
20130830,1794272.049999999813735,1659228.260000000242144,1778890.000000000000000,1636218.879999999888241,1748324.199999999953434,1642561.040000000037253,10259498.429999999701977
20130903,1799427.849999999860302,1658625.200000000186265,1780894.000000000000000,1633450.959999999962747,1668759.799999999813735,1667042.639999999897555,10208204.449999999254942
20130904,1836549.609999999869615,1679330.260000000242144,1796926.000000000000000,1649712.489999999990687,1633165.199999999953434,1659133.199999999953434,10254820.759999999776483
20130905,1823917.899999999906868,1667470.080000000307336,1826986.000000000000000,1643830.659999999916181,1635258.999999999767169,1659133.199999999953434,10256600.839999999850988
20130906,1834745.079999999841675,1676314.960000000195578,1834000.000000000000000,1643138.679999999934807,1630547.949999999953434,1663652.880000000121072,10282403.550000000745058
20130909,1864133.139999999897555,1720539.360000000335276,1846024.000000000000000,1651788.429999999934807,1657243.899999999906868,1681354.959999999962747,10421087.789999999105930
20130910,1821597.789999999804422,1741043.400000000139698,1901802.000000000000000,1660092.189999999711290,1695455.750000000000000,1738227.599999999860302,10558222.729999998584390
20130911,1722606.429999999701977,1751496.440000000176951,1895456.000000000000000,1665628.030000000027940,1713776.500000000000000,1754423.119999999878928,10503390.519999999552965
20130912,1740909.520000000018626,1745666.860000000335276,1848362.000000000000000,1655594.320000000065193,1711159.249999999767169,1742747.280000000027940,10444443.230000000447035
20130913,1712037.039999999804422,1749084.200000000186265,1896458.000000000000000,1653518.379999999888241,1728956.550000000046566,1779658.000000000000000,10519716.169999999925494
20130916,1657643.349999999860302,1752501.540000000270084,1893118.000000000000000,1667357.979999999748543,1716917.199999999720603,1783424.400000000139698,10470966.470000000670552
20130917,1676977.599999999860302,1750290.320000000065193,1888776.000000000000000,1661130.159999999916181,1723722.050000000046566,1804139.599999999860302,10505039.730000000447035
20130918,1711263.669999999692664,1765768.860000000335276,1943552.000000000000000,1674623.769999999785796,1744136.599999999860302,1823348.239999999757856,10662697.140000000596046
20130919,1739362.779999999795109,1763959.680000000167638,1931528.000000000000000,1669779.909999999916181,1760887.000000000000000,1833517.520000000018626,10699038.890000000596046
20130920,1721317.479999999748543,1703653.680000000167638,1888442.000000000000000,1661130.159999999916181,1716393.750000000000000,1872311.439999999944121,10563252.509999999776483
20130923,1806903.760000000009313,1709282.240000000223517,1866398.000000000000000,1649712.489999999990687,1713776.500000000000000,1847829.840000000083819,10593906.830000000074506
20130924,1801232.380000000121072,1710890.400000000139698,1860386.000000000000000,1644522.639999999897555,1699119.899999999906868,1820711.760000000242144,10536867.080000000074506
20130925,1773391.060000000055879,1698628.180000000167638,1895790.000000000000000,1649366.500000000000000,1701737.149999999906868,1803762.959999999962747,10522679.850000001490116
20130926,1790662.989999999757856,1692597.580000000307336,1902136.000000000000000,1649712.489999999990687,1715346.850000000093132,1822594.959999999962747,10573054.870000001043081
20130927,1777773.489999999757856,1684556.780000000027940,1856044.000000000000000,1653518.379999999888241,1741519.350000000093132,1817698.639999999897555,10531114.640000000596046
20130930,1755861.339999999850988,1676515.980000000214204,1826652.000000000000000,1647290.559999999823049,1742042.800000000046566,1799619.920000000158325,10447986.599999999627471
20131001,1797107.739999999757856,1683752.700000000186265,1822310.000000000000000,1686387.429999999934807,1757746.299999999813735,1819581.840000000083819,10566890.009999997913837
20131002,1803036.909999999916181,1689984.320000000065193,1840680.000000000000000,1673585.799999999813735,1775543.600000000093132,1806399.439999999944121,10589234.070000000298023
20131003,1780351.389999999897555,1687974.120000000111759,1844020.000000000000000,1673239.809999999823049,1772402.899999999906868,1776268.239999999757856,10534260.459999999031425
20131004,1778804.649999999906868,1692597.580000000307336,1902136.000000000000000,1668741.939999999711290,1773449.800000000046566,1793593.679999999934807,10609327.650000000372529
20131007,1796334.370000000111759,1679129.240000000223517,1871742.000000000000000,1656978.280000000027940,1743089.699999999720603,1754423.119999999878928,10501700.709999999031425
20131008,1771328.739999999757856,1665459.880000000121072,1832330.000000000000000,1652134.419999999925494,1727909.649999999906868,1718642.320000000065193,10367809.009999999776483
20131009,1791951.939999999944121,1678928.219999999972060,1851368.000000000000000,1635526.900000000139698,1731050.349999999860302,1731071.439999999944121,10419900.849999999627471
20131010,1803294.699999999953434,1703251.640000000363216,1921508.000000000000000,1643138.679999999934807,1767168.399999999906868,1780034.639999999897555,10618400.060000000521541
20131011,1814895.250000000000000,1720941.400000000139698,1953572.000000000000000,1636218.879999999888241,1786536.050000000046566,1809789.199999999953434,10721956.779999999329448
20131014,1826753.589999999850988,1733605.660000000149012,1941548.000000000000000,1617535.419999999925494,1803286.450000000186265,1821465.040000000037253,10744198.160000000149012
20131015,1836549.609999999869615,1723755.680000000167638,1923178.000000000000000,1611307.599999999860302,1805380.250000000000000,1801879.760000000242144,10702054.900000000372529
20131016,1845572.260000000009313,1734208.719999999972060,1956244.000000000000000,1632067.000000000000000,1813232.000000000000000,1842180.239999999757856,10823508.220000000670552
20131017,1857946.179999999701977,1725765.880000000121072,1968602.000000000000000,1629991.059999999823049,1827888.600000000093132,1867038.479999999981374,10877236.199999999254942
20131018,1874186.949999999953434,1755717.860000000335276,1964928.000000000000000,1612691.559999999823049,1829982.399999999906868,1887377.040000000037253,10924887.809999998658895
20131021,1920073.570000000065193,1762954.580000000307336,1967266.000000000000000,1609231.659999999916181,1831552.750000000000000,1883610.639999999897555,10974693.200000001117587
20131022,1914659.979999999748543,1792504.520000000251457,1976284.000000000000000,1607847.699999999953434,1810091.299999999813735,1883234.000000000000000,10984625.500000000000000
20131023,1933220.859999999869615,1683752.700000000186265,1951902.000000000000000,1610961.610000000102445,1767168.399999999906868,1872688.079999999841675,10819697.650000000372529
20131024,1958999.859999999869615,1699231.240000000223517,1932196.000000000000000,1599197.949999999953434,1765074.599999999860302,1910728.719999999972060,10865432.370000001043081
20131025,1937087.709999999962747,1704055.719999999972060,1879758.000000000000000,1610269.629999999888241,1870288.049999999813735,1912235.280000000027940,10913698.389999998733401
20131028,1951523.949999999953434,1694205.740000000223517,1860386.000000000000000,1569096.820000000065193,1861912.849999999860302,1912235.280000000027940,10849364.640000000596046
20131029,1902801.639999999897555,1689984.320000000065193,1876752.000000000000000,1577054.589999999850988,1859295.600000000093132,1923157.840000000083819,10829049.990000000223517
20131030,1933220.859999999869615,1678325.160000000149012,1867400.000000000000000,1565290.929999999934807,1860342.500000000000000,1919391.439999999944121,10823974.889999998733401
20131031,1924971.579999999841675,1675711.900000000139698,1877420.000000000000000,1560101.080000000074506,1853537.649999999674037,1851972.880000000121072,10743719.090000001713634
20131101,1915175.560000000055879,1680335.360000000335276,1852704.000000000000000,1564944.939999999711290,1859819.050000000046566,1875324.560000000055879,10748307.470000000670552
20131104,1939923.399999999906868,1686365.960000000195578,1826652.000000000000000,1581898.449999999953434,1881280.499999999767169,1849713.040000000037253,10765837.350000001490116
20131105,1935025.389999999897555,1689582.280000000027940,1841682.000000000000000,1569442.809999999823049,1917922.000000000000000,1858375.760000000242144,10812034.240000000223517
20131106,1918526.829999999841675,1692999.620000000111759,1867400.000000000000000,1590202.209999999962747,1998533.300000000046566,1874194.639999999897555,10941860.600000001490116
20131107,1887334.239999999757856,1681541.480000000214204,1839344.000000000000000,1585358.349999999860302,1962938.699999999953434,1846699.920000000158325,10803220.689999999478459
20131108,1917237.880000000121072,1693401.660000000149012,1886772.000000000000000,1619265.369999999878928,1977595.300000000046566,1867038.479999999981374,10961314.690000001341105
20131111,1911566.500000000000000,1691592.480000000214204,1886438.000000000000000,1626185.169999999925494,1967649.750000000232831,1876454.479999999981374,10959890.380000000819564
20131112,1915175.560000000055879,1685561.880000000121072,1871074.000000000000000,1646598.580000000074506,1955610.399999999906868,1867038.479999999981374,10941062.900000000372529
20131113,1917495.669999999692664,1692597.580000000307336,1883432.000000000000000,1637948.830000000074506,1997486.399999999674037,1881350.800000000046566,11010315.280000001192093
20131114,1945079.199999999953434,1683752.700000000186265,1907480.000000000000000,1654556.349999999860302,1990158.100000000093132,1884740.560000000055879,11065770.910000000149012
20131115,1933478.649999999906868,1683350.660000000149012,1913492.000000000000000,1663206.099999999860302,1980736.000000000232831,1902066.000000000000000,11076333.410000000149012
20131118,1910019.760000000009313,1689381.260000000242144,1896458.000000000000000,1661130.159999999916181,1947235.200000000186265,1882480.719999999972060,10986709.100000001490116
20131119,1913371.029999999795109,1681943.520000000251457,1888442.000000000000000,1663206.099999999860302,1923156.500000000000000,1858752.400000000139698,10928875.549999998882413
20131120,1896614.679999999701977,1662042.540000000270084,1867400.000000000000000,1665282.040000000037253,1940953.799999999813735,1865531.920000000158325,10897828.979999998584390
20131121,1919300.199999999953434,1650785.420000000158325,1885102.000000000000000,1682235.549999999813735,1957704.199999999953434,1898299.599999999860302,10993430.969999998807907
20131122,1914402.189999999944121,1666062.940000000176951,1886438.000000000000000,1693307.229999999748543,1966602.849999999860302,1903195.920000000158325,11030013.129999998956919
20131125,1928838.429999999701977,1696617.980000000214204,1855376.000000000000000,1718218.509999999776483,1970267.000000000000000,1901312.719999999972060,11070634.640000000596046
20131126,1964413.449999999953434,1695813.900000000139698,1845022.000000000000000,1715450.589999999850988,1955086.949999999953434,1916378.320000000065193,11092169.209999999031425
20131127,2010557.859999999869615,1702045.520000000251457,1859718.000000000000000,1724100.339999999850988,1968173.199999999953434,1920898.000000000000000,11185496.919999999925494
20131129,2047937.409999999916181,1700638.380000000121072,1858048.000000000000000,1724100.339999999850988,1995916.050000000046566,1916001.679999999934807,11242645.859999999403954
20131202,2030149.899999999906868,1693602.680000000167638,1901802.000000000000000,1736209.989999999990687,2012666.450000000186265,1931443.920000000158325,11305878.939999999478459
20131203,2085574.750000000000000,1685963.920000000158325,1841682.000000000000000,1721678.409999999916181,2005338.150000000139698,1899806.159999999916181,11240047.390000000596046
20131204,2080676.739999999757856,1687974.120000000111759,1849698.000000000000000,1706108.860000000102445,2038315.499999999767169,1909222.159999999916181,11271999.379999998956919
20131205,2091503.919999999692664,1696819.000000000000000,1836338.000000000000000,1688809.360000000102445,1989111.199999999953434,1899429.520000000018626,11202015.000000000000000
20131206,2062373.649999999906868,1718730.180000000167638,1867734.000000000000000,1708876.780000000027940,2007955.399999999906868,1900936.079999999841675,11266610.089999999850988
20131209,2086090.329999999841675,1730590.360000000335276,1940546.000000000000000,1714758.610000000102445,2026276.149999999906868,1898299.599999999860302,11396565.050000000745058
20131210,2082739.060000000055879,1737224.020000000251457,1987306.000000000000000,1710260.739999999990687,1994869.149999999906868,1877961.040000000037253,11390364.010000001639128
20131211,2067271.659999999916181,1714307.740000000223517,1952570.000000000000000,1693653.219999999972060,1968696.649999999906868,1936716.880000000121072,11333220.150000000372529
20131212,2064435.969999999972060,1720137.320000000065193,1938876.000000000000000,1671855.849999999860302,1948282.099999999860302,1915625.040000000037253,11259216.280000001192093
20131213,2041750.449999999953434,1729786.280000000027940,1974948.000000000000000,1673931.790000000037253,1920539.249999999767169,1952535.760000000242144,11293495.529999999329448
20131216,2053093.209999999962747,1756521.940000000176951,1978622.000000000000000,1663898.080000000074506,1930484.800000000046566,1956302.159999999916181,11338926.190000001341105
20131217,2043812.770000000018626,1747275.020000000251457,2007346.000000000000000,1657324.269999999785796,1911640.600000000093132,2007901.840000000083819,11375304.500000000000000
20131218,2028345.370000000111759,1772402.520000000251457,2069470.000000000000000,1691923.269999999785796,1914781.299999999813735,2027863.760000000242144,11504790.220000000670552
20131219,2005144.270000000018626,1759738.260000000242144,2088174.000000000000000,1688117.379999999888241,1897507.449999999953434,2034643.280000000027940,11473328.639999998733401
20131220,2021900.620000000111759,1787680.040000000270084,2082496.000000000000000,1706454.849999999860302,1926297.199999999720603,2033513.360000000102445,11558346.069999998435378
20131223,2099495.409999999683350,1808385.100000000093132,2087172.000000000000000,1707838.809999999823049,1916875.099999999860302,2053098.639999999897555,11672869.060000000521541
20131224,2090730.549999999813735,1827482.000000000000000,2112890.000000000000000,1709568.759999999776483,1940953.799999999813735,2059501.520000000018626,11741130.629999998956919
20131226,2076809.889999999897555,1832306.480000000214204,2133598.000000000000000,1720294.449999999953434,1959797.999999999767169,2073437.199999999953434,11796248.019999999552965
20131227,2062631.439999999944121,1826677.920000000158325,2121240.000000000000000,1722716.379999999888241,1951946.250000000000000,2068540.880000000121072,11753756.870000001043081
20131230,2042266.029999999795109,1826677.920000000158325,2121240.000000000000000,1727906.229999999748543,1951946.250000000000000,2080216.719999999972060,11750257.150000000372529
20131231,2066240.500000000000000,1825471.800000000279397,2111888.000000000000000,1731712.119999999878928,1958227.649999999674037,2096788.880000000121072,11790332.950000001117587
20140102,2037110.229999999748543,1806575.920000000158325,2086504.000000000000000,1712336.679999999934807,1945141.399999999674037,2080970.000000000000000,11668642.230000000447035
20140103,1992254.770000000018626,1805570.820000000065193,2077152.000000000000000,1720640.439999999711290,1932055.149999999674037,2082476.560000000055879,11610153.740000000223517
20140106,2003081.949999999953434,1781850.460000000195578,2073478.000000000000000,1720986.429999999934807,1891226.050000000046566,2070047.439999999944121,11540674.330000000074506
20140107,1988903.500000000000000,1787680.040000000270084,2050432.000000000000000,1733788.059999999823049,1905882.649999999674037,2085866.320000000065193,11552556.570000000298023
20140108,2001535.209999999962747,1791901.460000000195578,2052770.000000000000000,1722716.379999999888241,1871858.399999999906868,2092645.840000000083819,11533431.289999999105930
20140109,1976014.000000000000000,1803359.600000000093132,2026384.000000000000000,1713374.650000000139698,1859819.050000000046566,2089632.719999999972060,11468588.020000001415610
20140110,1962608.919999999692664,1819441.200000000186265,2031394.000000000000000,1725830.290000000037253,1886515.000000000000000,2082099.920000000158325,11507893.330000000074506
20140113,1972920.520000000018626,1806977.960000000195578,1992650.000000000000000,1837931.049999999813735,1831029.299999999813735,2061384.719999999972060,11502897.550000000745058
20140114,2012362.389999999897555,1820446.300000000279397,2028722.000000000000000,1833779.169999999925494,1872905.300000000046566,2096412.239999999757856,11664631.400000000372529
20140115,2052577.630000000121072,1857635.000000000000000,2047760.000000000000000,1817171.650000000139698,1924203.399999999906868,2106958.159999999683350,11806309.839999999850988
20140116,2041234.870000000111759,1849594.200000000186265,2049430.000000000000000,1816479.669999999925494,1931008.250000000000000,2088126.159999999916181,11775877.150000000372529
20140117,1991223.609999999869615,1838136.060000000055879,2048762.000000000000000,1797450.219999999972060,1904312.300000000046566,2186429.199999999720603,11766317.389999998733401
20140121,2022158.409999999916181,1821250.380000000121072,2184700.000000000000000,1793298.339999999850988,1893319.850000000093132,2183792.719999999739230,11898523.699999999254942
20140122,2031181.060000000055879,1801952.460000000195578,2172676.000000000000000,1776690.820000000065193,1880757.050000000046566,2193962.000000000000000,11857223.390000000596046
20140123,2048195.199999999953434,1778634.140000000363216,2127252.000000000000000,1785340.570000000065193,1887561.900000000139698,2149141.840000000316650,11776129.650000000372529
20140124,2011073.439999999944121,1732198.520000000251457,2064794.000000000000000,1798488.189999999711290,1926820.650000000139698,2083229.840000000083819,11616608.639999998733401
20140127,2027314.209999999962747,1835120.760000000242144,2050098.000000000000000,1817517.639999999897555,1885991.550000000046566,2036149.840000000083819,11652196.000000000000000
20140128,1865422.089999999850988,1858841.120000000111759,2048094.000000000000000,1829281.299999999813735,1898554.350000000093132,2080593.360000000102445,11580790.219999998807907
20140129,1844283.310000000055879,1821652.420000000158325,2127586.000000000000000,1806445.959999999962747,1918968.899999999674037,2044435.920000000158325,11563376.509999999776483
20140130,1840674.250000000000000,1873515.580000000307336,2155308.000000000000000,1851424.659999999916181,1929437.899999999906868,2079840.079999999841675,11730204.470000000670552
20140131,1843509.939999999944121,1887788.000000000000000,2164660.000000000000000,1832741.199999999953434,1980736.000000000232831,2028617.040000000037253,11738056.179999999701977
20140203,1847119.000000000000000,1857836.020000000251457,2125582.000000000000000,1801948.089999999850988,1909546.799999999813735,2010161.679999999934807,11552197.589999999850988
20140204,1873671.370000000111759,1859444.180000000167638,2138608.000000000000000,1851424.659999999916181,1902741.949999999953434,2020330.959999999962747,11646225.120000001043081
20140205,1887849.820000000065193,1848589.100000000093132,2133264.000000000000000,1852116.639999999897555,1874999.099999999860302,2030123.599999999860302,11626946.259999999776483
20140206,1887592.029999999795109,1886179.840000000083819,2168334.000000000000000,1860420.400000000139698,1893843.300000000046566,2062138.000000000000000,11758511.570000000298023
20140207,1913886.609999999869615,1907085.920000000158325,2169002.000000000000000,1895019.400000000139698,1913734.400000000139698,2088502.800000000046566,11887235.130000000819564
20140210,1948172.679999999701977,1899648.180000000167638,2180358.000000000000000,1899171.280000000027940,1926297.199999999720603,2076826.959999999962747,11930478.300000000745058
20140211,1973951.679999999701977,1908895.100000000093132,2227786.000000000000000,1927196.469999999972060,1945664.850000000093132,2093399.119999999878928,12076897.219999998807907
20140212,1973693.889999999897555,1933218.520000000251457,2205742.000000000000000,1902977.169999999925494,1961368.349999999860302,2110724.560000000055879,12087728.490000000223517
20140213,2005144.270000000018626,1932012.400000000139698,2202402.000000000000000,1906437.070000000065193,1968696.649999999906868,2109594.640000000130385,12124291.030000001192093
20140214,2003339.739999999757856,1940857.280000000027940,2221774.000000000000000,1918200.729999999748543,1969220.099999999860302,2128050.000000000000000,12181445.849999999627471
20140218,2010815.649999999906868,1941058.300000000279397,2225114.000000000000000,1926850.479999999748543,1958751.100000000093132,2128803.280000000260770,12191396.809999998658895
20140219,1979107.479999999748543,1934022.600000000093132,2208748.000000000000000,1904361.129999999888241,1963462.149999999906868,2108088.080000000074506,12097793.439999999478459
20140220,1956164.169999999692664,1948295.020000000251457,2242148.000000000000000,1931002.360000000102445,1976024.949999999953434,2104321.679999999701977,12157960.179999999701977
20140221,1934509.810000000055879,1959954.180000000167638,2233798.000000000000000,1938614.139999999897555,1988064.299999999813735,2103191.760000000242144,12158136.189999999478459
20140224,1942759.089999999850988,1956335.820000000065193,2233130.000000000000000,1943803.989999999990687,1972884.249999999767169,2129933.199999999720603,12178850.349999999627471
20140225,1922651.469999999972060,1938043.000000000000000,2246156.000000000000000,1934462.259999999776483,1965032.500000000000000,2138595.919999999925494,12144945.150000000372529
20140226,1905379.539999999804422,1953923.580000000307336,2274880.000000000000000,1946917.900000000139698,1961368.349999999860302,2129179.919999999925494,12171653.290000000968575
20140227,1943274.669999999692664,1943872.580000000307336,2307278.000000000000000,1960411.509999999776483,1981782.899999999906868,2130686.479999999981374,12267310.140000000596046
20140228,1938118.870000000111759,1949300.120000000111759,2316964.000000000000000,1971829.179999999934807,2005338.150000000139698,2127673.359999999869615,12309227.679999999701977
20140303,1943532.459999999962747,1936032.800000000279397,2303938.000000000000000,1952107.750000000000000,1977595.300000000046566,2085113.040000000037253,12198323.350000001490116
20140304,1956421.959999999962747,1950305.219999999972060,2352702.000000000000000,1974251.110000000102445,2010572.649999999674037,2123530.320000000298023,12367787.259999999776483
20140305,1960546.599999999860302,1937238.920000000158325,2374078.000000000000000,1968023.290000000037253,1994869.149999999906868,2097918.800000000279397,12332678.759999999776483
20140306,1954617.429999999701977,1961964.380000000121072,2367732.000000000000000,1981170.909999999916181,1996962.949999999953434,2108088.080000000074506,12370539.750000000000000
20140307,1953586.270000000018626,1950908.280000000027940,2355040.000000000000000,1988436.699999999953434,1983876.699999999953434,2123906.959999999962747,12355758.910000000149012
20140310,1955390.799999999813735,1944877.680000000167638,2370070.000000000000000,1983246.849999999860302,1979689.099999999860302,2123530.320000000298023,12356808.750000000000000
20140311,1974209.469999999972060,1946686.860000000335276,2343016.000000000000000,1961449.479999999748543,1990158.100000000093132,2139349.199999999720603,12354873.109999999403954
20140312,1976271.789999999804422,1946284.820000000065193,2331994.000000000000000,1965601.360000000102445,2003244.350000000093132,2129179.919999999925494,12352580.240000000223517
20140313,1954359.639999999897555,1921961.400000000139698,2318300.000000000000000,1930310.379999999888241,1983353.250000000000000,2079086.800000000046566,12187375.470000000670552
20140314,1932447.489999999757856,1917538.960000000195578,2313958.000000000000000,1927196.469999999972060,1973407.700000000186265,2078710.159999999916181,12143262.780000001192093
20140317,1939923.399999999906868,1923167.520000000251457,2330658.000000000000000,1946571.909999999916181,1991728.449999999720603,2107334.800000000279397,12239388.080000000074506
20140318,1956937.539999999804422,1938043.000000000000000,2362388.000000000000000,1950031.809999999823049,2070245.949999999720603,2131816.399999999906868,12409466.699999999254942
20140319,1956421.959999999962747,1930605.260000000242144,2359716.000000000000000,1937230.179999999934807,2055589.350000000093132,2107711.439999999944121,12347278.189999999478459
20140320,1947141.520000000018626,1934022.600000000093132,2389776.000000000000000,1923390.580000000074506,2111075.049999999813735,2088879.439999999944121,12394289.189999999478459
20140321,1962351.130000000121072,1957742.960000000195578,2388106.000000000000000,1891213.509999999776483,2102176.399999999441206,2103191.760000000242144,12404785.759999999776483
20140324,1985810.020000000018626,1946887.880000000121072,2385768.000000000000000,1860766.389999999897555,2119973.700000000186265,2078710.159999999916181,12377920.150000000372529
20140325,2007206.589999999850988,1981865.360000000335276,2408814.000000000000000,1909550.979999999748543,2111598.500000000000000,2056488.400000000139698,12475527.830000000074506
20140326,1987872.339999999850988,1965984.780000000027940,2351032.000000000000000,1938268.150000000139698,2082808.750000000000000,2030876.880000000121072,12356846.900000000372529
20140327,1979365.270000000018626,1979051.080000000307336,2282562.000000000000000,1928234.439999999711290,2060300.399999999906868,2031630.159999999916181,12261147.349999999627471
20140328,1977045.159999999916181,1997946.960000000195578,2292582.000000000000000,1936884.189999999711290,2109504.700000000186265,1996979.280000000027940,12310946.289999999105930
20140331,1976787.370000000111759,1997544.920000000158325,2311286.000000000000000,1964217.400000000139698,2145622.750000000000000,2032760.079999999841675,12428222.520000001415610
20140401,1994832.669999999692664,2006389.800000000279397,2364392.000000000000000,1950377.799999999813735,2168131.099999999627471,2021837.520000000018626,12505964.889999998733401
20140402,1998183.939999999944121,2063077.440000000176951,2373410.000000000000000,1953491.709999999962747,2164466.950000000186265,2021460.880000000121072,12574094.919999999925494
20140403,1984263.279999999795109,2061469.280000000027940,2357378.000000000000000,1944841.959999999962747,2146669.649999999441206,2024474.000000000000000,12519100.169999998062849
20140404,1958484.279999999795109,2053830.520000000251457,2315962.000000000000000,1941728.049999999813735,2086996.349999999860302,1955925.520000000018626,12312930.719999998807907
20140407,1927807.270000000018626,2032522.400000000139698,2279890.000000000000000,1909550.979999999748543,2083332.199999999720603,1915248.400000000139698,12148355.250000000000000
20140408,1927807.270000000018626,2058252.960000000195578,2286570.000000000000000,1904361.129999999888241,2084379.099999999860302,1907715.599999999860302,12169090.060000000521541
20140409,1953070.689999999944121,2070314.160000000149012,2329322.000000000000000,1975635.070000000065193,2118403.349999999627471,1954418.959999999962747,12401168.230000000447035
20140410,1927807.270000000018626,2055639.700000000186265,2268868.000000000000000,1932386.320000000065193,2060300.399999999906868,1897922.959999999962747,12142928.650000002235174
20140411,1913628.820000000065193,2039357.080000000307336,2233130.000000000000000,1934808.250000000000000,2052448.649999999906868,1851596.239999999757856,12024973.040000000968575
20140414,1921362.520000000018626,2066092.740000000223517,2259182.000000000000000,1922698.599999999860302,2050878.300000000046566,1892650.000000000000000,12112868.160000000149012
20140415,1907441.859999999869615,2060464.180000000167638,2262522.000000000000000,1939306.119999999878928,2080714.949999999953434,1921274.639999999897555,12171727.750000000000000
20140416,1911308.709999999962747,2069108.040000000270084,2306944.000000000000000,1946571.909999999916181,2114739.200000000186265,1971367.760000000242144,12320043.619999999180436
