代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14374815.359999999403954
真實報酬,4374815.359999999403954

夏普值報酬,0.428781536000000
夏普值風險,0.104060276965492
夏普值,4.120511193163476

預期報酬,17509.402347164541425
風險,188575.727152586303419
趨勢值,0.092850774654560
找到最佳解世代,1954
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
BA[2](4),CSCO[4](14),DD[7](12),MMM[16](1),NKE[19](2),PFE[20](17),UNH[23](19),
20121128,1502593.000000000000000,1568511.639999999897555,1456299.730000000214204,1482873.310000000055879,1549232.669999999925494,1417082.800000000046566,1345663.500000000000000,10322259.650000000372529
20121129,1503201.400000000139698,1583505.280000000260770,1462461.670000000158325,1478307.350000000093132,1546731.909999999683350,1427422.179999999934807,1386734.600000000093132,10388367.390000000596046
20121130,1506446.199999999953434,1575175.479999999981374,1471704.580000000307336,1483199.450000000186265,1523599.879999999888241,1437187.149999999906868,1387499.899999999906868,10384815.640000000596046
20121203,1501173.399999999906868,1585171.240000000223517,1428571.000000000000000,1472599.899999999906868,1524850.260000000009313,1441208.019999999785796,1374744.899999999906868,10328321.720000000670552
20121204,1501781.800000000046566,1596832.960000000195578,1428228.670000000158325,1469664.640000000130385,1526725.830000000074506,1445803.300000000046566,1365816.399999999906868,10334856.600000001490116
20121205,1498131.400000000139698,1600164.880000000121072,1437813.910000000149012,1480101.120000000111759,1526725.830000000074506,1472800.569999999832362,1373469.400000000139698,10389210.110000001266599
20121206,1500362.200000000186265,1622655.340000000083819,1445002.840000000083819,1483199.450000000186265,1538604.439999999711290,1471077.339999999850988,1368622.500000000000000,10429527.109999999403954
20121207,1513747.000000000000000,1610993.620000000111759,1477181.860000000102445,1492331.370000000111759,1541105.199999999720603,1468205.289999999804422,1374234.699999999953434,10477802.039999999105930
20121210,1531796.199999999953434,1648477.719999999972060,1492244.380000000353903,1498201.890000000130385,1532977.729999999748543,1459589.139999999897555,1382397.899999999906868,10545687.960000000894070
20121211,1537677.399999999906868,1647644.740000000223517,1513811.170000000158325,1527717.560000000055879,1553609.000000000000000,1472800.569999999832362,1396938.599999999860302,10650202.040000000968575
20121212,1530579.400000000139698,1643479.840000000083819,1518603.790000000037253,1518585.640000000130385,1550483.049999999813735,1465333.239999999990687,1409438.500000000000000,10636506.459999999031425
20121213,1507257.399999999906868,1644312.819999999832362,1512784.180000000167638,1508475.300000000046566,1521099.119999999646097,1454993.859999999636784,1387244.800000000046566,10536170.480000000447035
20121214,1501173.399999999906868,1654308.580000000074506,1531612.330000000307336,1504887.760000000009313,1514847.219999999972060,1446377.709999999729916,1378826.500000000000000,10532036.500000000000000
20121217,1513949.800000000046566,1675133.080000000074506,1551125.140000000130385,1517118.010000000009313,1531727.349999999860302,1456717.089999999850988,1386734.600000000093132,10632508.069999998435378
20121218,1531593.399999999906868,1697623.540000000037253,1598709.010000000242144,1530489.750000000000000,1546106.719999999972060,1472800.569999999832362,1401785.500000000000000,10779111.490000000223517
20121219,1531390.600000000093132,1688460.760000000009313,1580907.850000000093132,1516954.939999999944121,1528601.399999999906868,1456142.679999999934807,1390050.900000000139698,10692512.130000000819564
20121220,1545383.800000000046566,1685961.819999999832362,1583988.820000000298023,1535055.709999999962747,1547357.099999999860302,1460737.959999999729916,1414795.600000000093132,10773283.809999998658895
20121221,1544775.400000000139698,1662638.380000000121072,1559683.390000000130385,1518259.500000000000000,1643011.169999999925494,1440633.609999999636784,1403826.300000000046566,10772830.750000000000000
20121224,1540719.400000000139698,1651809.639999999897555,1568926.300000000046566,1519727.130000000121072,1650513.449999999720603,1440633.609999999636784,1399234.500000000000000,10771567.029999999329448
20121226,1541733.399999999906868,1659306.460000000195578,1580565.520000000251457,1517770.290000000037253,1604874.580000000074506,1449824.169999999692664,1383163.199999999953434,10737240.619999999180436
20121227,1537880.199999999953434,1636816.000000000000000,1565845.330000000307336,1510758.280000000027940,1618003.569999999832362,1444080.069999999832362,1388775.399999999906868,10702161.850000001490116
20121228,1514761.000000000000000,1620156.399999999906868,1541539.900000000139698,1496734.260000000009313,1594246.349999999860302,1429719.819999999832362,1373979.600000000093132,10571140.329999998211861
20121231,1528348.600000000093132,1636816.000000000000000,1576115.230000000214204,1514182.750000000000000,1613002.049999999813735,1440633.609999999636784,1383673.400000000139698,10692774.640000000596046
20130102,1563027.399999999906868,1694291.620000000111759,1611375.220000000204891,1545655.260000000009313,1620504.330000000074506,1488309.639999999897555,1391326.399999999906868,10914492.870000001043081
20130103,1571139.400000000139698,1703454.399999999906868,1616167.840000000083819,1543861.489999999990687,1637384.459999999962747,1484863.179999999934807,1326275.900000000139698,10883149.669999999925494
20130104,1575601.000000000000000,1705953.340000000083819,1639446.280000000260770,1555276.390000000130385,1653014.209999999962747,1491181.689999999944121,1328826.900000000139698,10949302.810000000521541
20130107,1543964.199999999953434,1690126.719999999972060,1637734.630000000353903,1557233.229999999981374,1655514.969999999972060,1492330.509999999776483,1328826.900000000139698,10905734.160000002011657
20130108,1503404.199999999953434,1691792.679999999934807,1613771.530000000260770,1557396.300000000046566,1638009.649999999906868,1494628.149999999906868,1311225.000000000000000,10810230.509999999776483
20130109,1556740.600000000093132,1690959.700000000186265,1633284.340000000083819,1572235.669999999925494,1639885.219999999972060,1520476.599999999860302,1335969.699999999953434,10949554.830000000074506
20130110,1563433.000000000000000,1702621.420000000158325,1649716.180000000167638,1580063.030000000027940,1643011.169999999925494,1537134.489999999990687,1354847.100000000093132,11030829.389999998733401
20130111,1524292.600000000093132,1705953.340000000083819,1650743.170000000158325,1570115.760000000009313,1659891.299999999813735,1523348.649999999906868,1347449.199999999953434,10981797.019999999552965
20130114,1552481.800000000046566,1746769.359999999869615,1671282.970000000204891,1583161.360000000102445,1663017.250000000000000,1535985.669999999692664,1361224.600000000093132,11113926.009999999776483
20130115,1560391.000000000000000,1747602.340000000083819,1662040.060000000055879,1586585.830000000074506,1676771.429999999934807,1529092.750000000000000,1367857.199999999953434,11130343.609999999403954
20130116,1507663.000000000000000,1751767.240000000223517,1640815.600000000093132,1591641.000000000000000,1679897.379999999888241,1528518.339999999850988,1368877.599999999860302,11069183.159999998286366
20130117,1526320.600000000093132,1745103.399999999906868,1648346.860000000102445,1599468.360000000102445,1671769.909999999683350,1541155.359999999636784,1387755.000000000000000,11119922.490000000223517
20130118,1521859.000000000232831,1750934.260000000009313,1647662.200000000186265,1610230.979999999981374,1666143.199999999720603,1524497.469999999739230,1391836.600000000093132,11113166.709999999031425
20130122,1504012.600000000093132,1738439.560000000055879,1655193.460000000195578,1619852.110000000102445,1671769.909999999683350,1532539.209999999729916,1429081.200000000186265,11150891.050000000745058
20130123,1506649.000000000232831,1717615.060000000055879,1661355.400000000139698,1622461.229999999981374,1659891.299999999813735,1530815.979999999748543,1426275.099999999860302,11125066.070000000298023
20130124,1527537.399999999906868,1750934.260000000009313,1678471.900000000139698,1625396.489999999990687,1683648.519999999785796,1542304.179999999934807,1434183.199999999953434,11242478.949999999254942
20130125,1521656.199999999953434,1761763.000000000000000,1686003.160000000149012,1640398.930000000167638,1736789.669999999925494,1550920.329999999841675,1429591.399999999906868,11327125.690000001341105
20130128,1500767.800000000046566,1754266.179999999934807,1678129.570000000298023,1641377.350000000093132,1703654.599999999860302,1541729.769999999785796,1423724.100000000093132,11243652.369999999180436
20130129,1493669.800000000046566,1730942.740000000223517,1693192.090000000083819,1660293.469999999972060,1685524.089999999850988,1591129.029999999795109,1435713.800000000046566,11290468.019999999552965
20130130,1512733.000000000000000,1714283.139999999897555,1687372.480000000214204,1643823.399999999906868,1676146.239999999757856,1580215.239999999990687,1430611.800000000046566,11245188.300000000745058
20130131,1498131.400000000139698,1713450.160000000149012,1569953.290000000037253,1639746.649999999906868,1689900.419999999925494,1567003.809999999823049,1408418.100000000093132,11086606.830000000074506
20130201,1518411.400000000139698,1735107.639999999897555,1588781.439999999944121,1656216.719999999972060,1678647.000000000000000,1587108.159999999683350,1422703.700000000186265,11186979.059999998658895
20130204,1525306.599999999860302,1734274.660000000149012,1566529.989999999990687,1643334.189999999944121,1677396.619999999646097,1560685.300000000046566,1422193.500000000000000,11129723.859999999403954
20130205,1539097.000000000000000,1755932.139999999897555,1575088.239999999990687,1655075.229999999981374,1684898.899999999906868,1580215.239999999990687,1473723.700000000186265,11264033.449999999254942
20130206,1547209.000000000232831,1765094.920000000158325,1586042.800000000046566,1674643.630000000121072,1693026.369999999646097,1569301.449999999953434,1463774.800000000046566,11299095.970000000670552
20130207,1570328.200000000186265,1757598.100000000093132,1569953.290000000037253,1666979.340000000083819,1709281.309999999823049,1548622.689999999944121,1455356.500000000000000,11278122.429999999701977
20130208,1552684.600000000093132,1762595.979999999981374,1580565.520000000251457,1674154.419999999925494,1706780.549999999813735,1544027.409999999683350,1472958.400000000139698,11293769.880000000819564
20130211,1538691.400000000139698,1771758.760000000009313,1583304.160000000149012,1673502.140000000130385,1726161.439999999711290,1558962.069999999832362,1457142.199999999953434,11309525.169999999925494
20130212,1541125.000000000000000,1746769.359999999869615,1596997.360000000102445,1687200.020000000018626,1722410.299999999813735,1550345.919999999692664,1454336.099999999860302,11299187.059999998658895
20130213,1516586.199999999953434,1760930.020000000018626,1608978.910000000149012,1677415.820000000065193,1705530.169999999925494,1550920.329999999841675,1459948.299999999813735,11280312.750000000000000
20130214,1519628.200000000186265,1748435.319999999832362,1583988.820000000298023,1676111.260000000009313,1707405.739999999757856,1554366.789999999804422,1455356.500000000000000,11245295.629999998956919
20130215,1521656.199999999953434,1748435.319999999832362,1567899.310000000055879,1683449.410000000149012,1718033.969999999972060,1567578.219999999739230,1462244.199999999953434,11269299.629999998956919
20130219,1513949.800000000046566,1787585.380000000121072,1569953.290000000037253,1698941.060000000055879,1703029.409999999683350,1591703.439999999944121,1445407.599999999860302,11310572.980000000447035
20130220,1516586.199999999953434,1758431.080000000074506,1542566.890000000130385,1682144.850000000093132,1688650.040000000037253,1583661.699999999953434,1408418.100000000093132,11180461.859999999403954
20130221,1541530.600000000093132,1729276.780000000260770,1503541.270000000251457,1675132.840000000083819,1704904.979999999748543,1574471.139999999897555,1409183.400000000139698,11138044.009999999776483
20130222,1554712.600000000093132,1740938.500000000000000,1529900.680000000167638,1688504.580000000074506,1703029.409999999683350,1572747.909999999683350,1389540.699999999953434,11179377.379999998956919
20130225,1521656.199999999953434,1720946.979999999981374,1493613.700000000186265,1659315.050000000046566,1689275.229999999748543,1541729.769999999785796,1359694.000000000000000,10986233.929999999701977
20130226,1534229.800000000046566,1716782.080000000074506,1505937.580000000307336,1668446.969999999972060,1696777.510000000009313,1552643.559999999823049,1353316.500000000000000,11028137.000000000000000
20130227,1568908.600000000093132,1740105.520000000018626,1550782.810000000055879,1688993.790000000037253,1698653.080000000074506,1574471.139999999897555,1374234.699999999953434,11196152.639999998733401
20130228,1559579.800000000046566,1737606.580000000074506,1546332.520000000251457,1696005.800000000046566,1702404.219999999972060,1572173.500000000000000,1363520.500000000000000,11177625.919999999925494
20130301,1567286.199999999953434,1735107.639999999897555,1550782.810000000055879,1692255.189999999944121,1713657.639999999897555,1573322.319999999832362,1365306.200000000186265,11197721.000000000000000
20130304,1563433.000000000000000,1727610.819999999832362,1556260.090000000083819,1684264.760000000009313,1711156.879999999888241,1590554.619999999878928,1360204.199999999953434,11193487.369999999180436
20130305,1595272.600000000093132,1767593.859999999869615,1569953.290000000037253,1703343.950000000186265,1716158.399999999906868,1612382.199999999953434,1364796.000000000000000,11329503.299999998882413
20130306,1603790.199999999953434,1809242.859999999869615,1594601.050000000046566,1706768.419999999925494,1728662.199999999720603,1615254.250000000000000,1367602.100000000093132,11425924.079999998211861
20130307,1643741.800000000046566,1815906.700000000186265,1584331.150000000139698,1704811.580000000074506,1726161.439999999711290,1623870.399999999906868,1372449.000000000000000,11471275.070000000298023
20130308,1647392.200000000186265,1818405.639999999897555,1597682.020000000251457,1723890.770000000018626,1709906.500000000000000,1619275.119999999878928,1372704.100000000093132,11489259.349999999627471
20130311,1682071.000000000000000,1822570.540000000037253,1608294.250000000000000,1725521.469999999972060,1704904.979999999748543,1622721.579999999841675,1382908.100000000093132,11548994.919999999925494
20130312,1706812.600000000093132,1807576.899999999906868,1620618.130000000353903,1714432.709999999962747,1672395.099999999860302,1604914.869999999878928,1398724.300000000046566,11525477.610000001266599
20130313,1718777.800000000046566,1797581.139999999897555,1618906.480000000214204,1713780.430000000167638,1714908.019999999785796,1609510.149999999906868,1389795.799999999813735,11563262.820000000298023
20130314,1716141.400000000139698,1798414.120000000111759,1641500.260000000242144,1728945.939999999944121,1709906.500000000000000,1614679.839999999850988,1396173.299999999813735,11605764.359999999403954
20130315,1752848.200000000186265,1826735.439999999944121,1648346.860000000102445,1735142.600000000093132,1712407.260000000009313,1609510.149999999906868,1396173.299999999813735,11681166.809999998658895
20130318,1727498.200000000186265,1805077.960000000195578,1621987.450000000186265,1718998.669999999925494,1693026.369999999646097,1610658.969999999739230,1403061.000000000000000,11580311.620000001043081
20130319,1734190.600000000093132,1792583.260000000009313,1618221.820000000298023,1715248.060000000055879,1683023.330000000074506,1607786.919999999692664,1407397.699999999953434,11558454.689999999478459
20130320,1731351.400000000139698,1805077.960000000195578,1630203.370000000111759,1723075.419999999925494,1714282.830000000074506,1625019.219999999739230,1399999.800000000046566,11629013.000000000000000
20130321,1710260.199999999953434,1735940.620000000111759,1583304.160000000149012,1711334.380000000121072,1675521.049999999813735,1614679.839999999850988,1404591.600000000093132,11435634.849999999627471
20130322,1720197.399999999906868,1728443.800000000046566,1598024.350000000093132,1735468.739999999990687,1861202.479999999748543,1630188.909999999683350,1389285.600000000093132,11662814.280000001192093
20130325,1720805.800000000046566,1736773.600000000093132,1574061.250000000000000,1715084.989999999990687,1861827.669999999925494,1617551.889999999897555,1399489.600000000093132,11625597.800000000745058
20130326,1756701.400000000139698,1736773.600000000093132,1560025.720000000204891,1729761.290000000037253,1859326.909999999683350,1642825.929999999934807,1419642.500000000000000,11705060.349999999627471
20130327,1748183.800000000046566,1735107.639999999897555,1549413.489999999990687,1717041.830000000074506,1827442.219999999972060,1645123.569999999832362,1444387.199999999953434,11666702.750000000000000
20130328,1741085.800000000046566,1740938.500000000000000,1552152.130000000353903,1733674.969999999972060,1844947.540000000037253,1657760.589999999850988,1459438.100000000093132,11730000.629999998956919
20130401,1728917.800000000046566,1735107.639999999897555,1529216.020000000251457,1722912.350000000093132,1821190.319999999832362,1656611.769999999785796,1504335.699999999953434,11698294.599999999627471
20130402,1705393.000000000000000,1767593.859999999869615,1509018.550000000046566,1737099.439999999944121,1841196.399999999906868,1679013.759999999776483,1574998.400000000139698,11814316.410000000149012
20130403,1710868.600000000093132,1765927.899999999906868,1511414.860000000102445,1723401.560000000055879,1841821.589999999850988,1667525.559999999823049,1573212.699999999953434,11794175.769999999552965
20130404,1722833.800000000046566,1752600.219999999972060,1532296.989999999990687,1725684.540000000037253,1854950.580000000074506,1674992.889999999897555,1582396.300000000046566,11845758.320000000298023
20130405,1747575.400000000139698,1716782.080000000074506,1506279.910000000149012,1725032.260000000009313,1843697.159999999683350,1671546.429999999934807,1584182.000000000000000,11795098.240000000223517
20130408,1759337.800000000046566,1713450.160000000149012,1495667.680000000167638,1724543.050000000046566,1874331.469999999972060,1674992.889999999897555,1578824.899999999906868,11821150.950000001117587
20130409,1768666.599999999860302,1746769.359999999869615,1532639.320000000298023,1727804.450000000186265,1872455.899999999906868,1672120.839999999850988,1586222.800000000046566,11906682.270000001415610
20130410,1781037.399999999906868,1788418.359999999869615,1551809.800000000046566,1756178.630000000121072,1884959.699999999720603,1718648.050000000046566,1592090.099999999860302,12073145.039999999105930
20130411,1795436.199999999953434,1806743.920000000158325,1553179.120000000111759,1765310.550000000046566,1913093.250000000000000,1760005.569999999832362,1606630.799999999813735,12200402.410000000149012
20130412,1802737.000000000000000,1794249.219999999972060,1547701.840000000083819,1756015.560000000055879,1893712.359999999869615,1761728.800000000046566,1607906.300000000046566,12164054.080000000074506
20130415,1759743.399999999906868,1753433.200000000186265,1471362.250000000000000,1724706.120000000111759,1865578.809999999823049,1749091.779999999795109,1571171.900000000139698,11895090.459999999031425
20130416,1762177.000000000000000,1762595.979999999981374,1475812.540000000037253,1731065.850000000093132,1891211.599999999860302,1777237.869999999878928,1602294.100000000093132,12002397.939999997615814
20130417,1758121.000000000000000,1718448.040000000037253,1477181.860000000102445,1720140.160000000149012,1903715.399999999906868,1773217.000000000000000,1582396.300000000046566,11933222.760000001639128
20130418,1746561.400000000139698,1714283.139999999897555,1471362.250000000000000,1711986.660000000149012,1881208.559999999823049,1757133.519999999785796,1522702.899999999906868,11805241.429999999701977
20130419,1783876.599999999860302,1704287.380000000121072,1489505.739999999990687,1723890.770000000018626,1904340.589999999850988,1784130.789999999804422,1531631.399999999906868,11921666.269999999552965
20130422,1763191.000000000000000,1715116.120000000111759,1510730.200000000186265,1725358.399999999906868,1918094.769999999785796,1776663.459999999729916,1510713.199999999953434,11919870.149999998509884
20130423,1788338.200000000186265,1741771.479999999981374,1543593.880000000353903,1751286.530000000027940,1928097.809999999823049,1785279.609999999636784,1493366.399999999906868,12031736.910000000149012
20130424,1842080.199999999953434,1698456.520000000018626,1568241.640000000130385,1759113.890000000130385,1923721.479999999748543,1757707.929999999934807,1499743.899999999906868,12049068.560000000521541
20130425,1859115.400000000139698,1719281.020000000018626,1656220.450000000186265,1710355.959999999962747,1940601.609999999869615,1738177.989999999990687,1513774.400000000139698,12137529.830000000074506
20130426,1883045.800000000046566,1721779.960000000195578,1629176.380000000353903,1692581.330000000074506,1934974.899999999906868,1728413.019999999785796,1517345.799999999813735,12107320.190000001341105
20130429,1863779.800000000046566,1747602.340000000083819,1651085.500000000000000,1693233.610000000102445,1958106.929999999934807,1747942.959999999729916,1530866.099999999860302,12192620.240000000223517
20130430,1853842.600000000093132,1742604.460000000195578,1653139.480000000214204,1707583.770000000018626,1988116.049999999813735,1669823.199999999953434,1528825.300000000046566,12143937.859999999403954
20130501,1849178.200000000186265,1697623.540000000037253,1616167.840000000083819,1704974.649999999906868,1980613.769999999785796,1660058.229999999748543,1523468.199999999953434,12032087.429999999701977
20130502,1870066.599999999860302,1726777.840000000083819,1614798.520000000251457,1729272.080000000074506,1979363.389999999897555,1681311.399999999906868,1517345.799999999813735,12118938.629999998956919
20130503,1901095.000000000000000,1735107.639999999897555,1655535.790000000037253,1758461.610000000102445,2018125.169999999925494,1663504.689999999944121,1503060.199999999953434,12234893.099999999627471
20130506,1910221.000000000000000,1733441.679999999934807,1657932.100000000093132,1758624.680000000167638,1999369.469999999972060,1649718.849999999860302,1535713.000000000000000,12245023.779999999329448
20130507,1922389.000000000232831,1697623.540000000037253,1683949.180000000167638,1761396.870000000111759,1998119.089999999850988,1667525.559999999823049,1543366.000000000000000,12274372.240000000223517
20130508,1907179.000000000232831,1725944.859999999869615,1682579.860000000102445,1764495.200000000186265,1997493.899999999906868,1650293.259999999776483,1594641.099999999860302,12322630.179999999701977
20130509,1918738.600000000093132,1735107.639999999897555,1702435.000000000000000,1792543.239999999990687,1992492.379999999888241,1642825.929999999934807,1581886.099999999860302,12366031.889999998733401
20130510,1911235.000000000000000,1757598.100000000093132,1679841.220000000204891,1801675.160000000149012,2024377.070000000065193,1649718.849999999860302,1604845.099999999860302,12429293.500000000000000
20130513,1921780.600000000093132,1771758.760000000009313,1674706.270000000251457,1802001.300000000046566,2021251.119999999646097,1687055.500000000000000,1591579.899999999906868,12470136.450000001117587
20130514,1949158.600000000093132,1771758.760000000009313,1702777.330000000307336,1803468.930000000167638,2060638.089999999850988,1688778.729999999748543,1574743.299999999813735,12551326.740000002086163
20130515,1967613.399999999906868,1766760.880000000121072,1722974.800000000046566,1818308.300000000046566,2058137.330000000074506,1697969.289999999804422,1571682.100000000093132,12603449.099999999627471
20130516,1958690.199999999953434,1989999.520000000018626,1711335.580000000307336,1811296.290000000037253,2014374.029999999795109,1680162.579999999841675,1585202.399999999906868,12751063.599999999627471
20130517,2006145.400000000139698,2019153.819999999832362,1746253.239999999990687,1816514.530000000027940,2041882.389999999664724,1663504.689999999944121,1603059.400000000139698,12896516.469999998807907
20130520,2002089.400000000139698,1994997.399999999906868,1735983.340000000083819,1821895.840000000083819,2042507.580000000074506,1648570.029999999795109,1595916.600000000093132,12841963.189999997615814
20130521,2002697.800000000046566,1999995.280000000260770,1744199.260000000242144,1826624.870000000111759,2039381.629999999655411,1653165.309999999823049,1603824.699999999953434,12869891.849999999627471
20130522,1986068.200000000186265,1944185.620000000111759,1712020.239999999990687,1806730.330000000074506,2014999.219999999739230,1683034.629999999888241,1588773.800000000046566,12735815.039999999105930
20130523,2022977.800000000046566,1958346.280000000260770,1711335.580000000307336,1800533.669999999925494,1979988.580000000074506,1672120.839999999850988,1590814.600000000093132,12736120.349999999627471
20130524,2028047.800000000046566,1960012.240000000223517,1710308.590000000083819,1798250.689999999944121,1963108.449999999720603,1668099.969999999739230,1583161.600000000093132,12710992.339999997988343
20130528,2030278.600000000093132,1989999.520000000018626,1708254.610000000102445,1819775.930000000167638,1978113.010000000009313,1666376.739999999990687,1615814.400000000139698,12808615.810000000521541
20130529,2009593.000000000000000,2009158.060000000055879,1703461.989999999990687,1812274.709999999962747,1967484.779999999795109,1624444.809999999823049,1616069.500000000000000,12742489.849999999627471
20130530,2038999.000000000232831,2029982.560000000055879,1696615.390000000130385,1817003.739999999990687,1951229.839999999850988,1622721.579999999841675,1649487.599999999860302,12806042.710000000894070
20130531,2008173.399999999906868,2009158.060000000055879,1679841.220000000204891,1798250.689999999944121,1927472.619999999646097,1564131.759999999776483,1597702.300000000046566,12584733.049999998882413
20130603,2043055.000000000000000,2030815.540000000037253,1674021.610000000102445,1803795.070000000065193,1970610.729999999748543,1594001.079999999841675,1602039.000000000000000,12718341.030000001192093
20130604,2020138.600000000093132,2029149.580000000074506,1687714.810000000055879,1794173.939999999944121,1962483.260000000009313,1588831.389999999897555,1590814.600000000093132,12673309.179999999701977
20130605,1997425.000000000000000,2025817.660000000149012,1640815.600000000093132,1770854.930000000167638,1930598.569999999832362,1578492.009999999776483,1575253.500000000000000,12519260.269999999552965
20130606,2023180.600000000093132,2044976.200000000186265,1652112.489999999990687,1772159.489999999990687,1943102.369999999646097,1614679.839999999850988,1579590.199999999953434,12629804.189999999478459
20130607,2078545.000000000000000,2039978.319999999832362,1674706.270000000251457,1811948.570000000065193,1961858.069999999832362,1623295.989999999990687,1596171.699999999953434,12786506.919999999925494
20130610,2073475.000000000000000,2029149.580000000074506,1673679.280000000260770,1807056.469999999972060,1970610.729999999748543,1629614.500000000000000,1624487.800000000046566,12808076.360000001266599
20130611,2063537.800000000046566,2004993.160000000149012,1657589.770000000251457,1797435.340000000083819,1943102.369999999646097,1632486.550000000046566,1630865.300000000046566,12730013.290000000968575
20130612,2045894.199999999953434,1998329.319999999832362,1647319.870000000111759,1778030.010000000009313,1919970.339999999850988,1633060.959999999729916,1628314.300000000046566,12650921.999999998137355
20130613,2071852.600000000093132,2028316.600000000093132,1689084.130000000353903,1813416.200000000186265,1930598.569999999832362,1670397.609999999636784,1636477.500000000232831,12840146.209999999031425
20130614,2065160.199999999953434,2006659.120000000111759,1657932.100000000093132,1810644.010000000009313,1934974.899999999906868,1670972.019999999785796,1627549.000000000000000,12773894.349999999627471
20130617,2089496.199999999953434,2057470.899999999906868,1664436.370000000111759,1824994.169999999925494,1936225.279999999795109,1674992.889999999897555,1642089.700000000186265,12889708.510000001639128
20130618,2110790.200000000186265,2067466.660000000149012,1687714.810000000055879,1842279.590000000083819,1943102.369999999646097,1688778.729999999748543,1675507.800000000279397,13015643.160000000149012
