代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13327687.459999999031425
真實報酬,3327687.459999999031425

夏普值報酬,0.324068746000000
夏普值風險,0.081672524852404
夏普值,3.967904097316063

預期報酬,12794.450234979396555
風險,160424.575717445928603
趨勢值,0.079753679744892
找到最佳解世代,2177
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](5),BA[2](3),CAT[3](2),INTC[11](13),MSFT[18](1),PG[21](15),UNH[23](4),
20160902,1541151.350000000093132,1485304.239999999757856,1609426.179999999934807,1631617.780000000027940,1554446.179999999934807,1554780.320000000065193,1459990.780000000260770,10836719.829999998211861
20160906,1540722.199999999953434,1506027.159999999916181,1617109.570000000065193,1653776.560000000055879,1552828.939999999944121,1562536.199999999953434,1453151.100000000093132,10886154.729999998584390
20160907,1550163.500000000000000,1502063.759999999776483,1649419.209999999962747,1648802.140000000130385,1554176.639999999897555,1550373.570000000065193,1442677.840000000316650,10897679.659999998286366
20160908,1509537.299999999813735,1505008.000000000000000,1645873.030000000027940,1647897.699999999953434,1547977.219999999972060,1547376.979999999981374,1447486.990000000223517,10851160.220000000670552
20160909,1475348.349999999860302,1455522.119999999878928,1591695.280000000027940,1602675.699999999953434,1515093.340000000083819,1520231.399999999906868,1428036.650000000139698,10588605.839999999850988
20160912,1508392.899999999906868,1473527.280000000027940,1613957.409999999916181,1631617.780000000027940,1537734.699999999953434,1555661.669999999925494,1448448.820000000298023,10769343.560000000521541
20160913,1544298.449999999953434,1458126.639999999897555,1580662.719999999972060,1610363.439999999944121,1523718.620000000111759,1534509.269999999785796,1431563.360000000102445,10683245.500000000000000
20160914,1598943.549999999813735,1445783.479999999981374,1596226.510000000009313,1610815.659999999916181,1516441.040000000037253,1533804.189999999944121,1428784.740000000223517,10730802.169999999925494
20160915,1653302.549999999813735,1446915.879999999888241,1616124.520000000018626,1653324.340000000083819,1541508.260000000009313,1552312.540000000037253,1449303.780000000260770,10912794.870000001043081
20160916,1644004.300000000046566,1434799.199999999953434,1616518.540000000037253,1703520.760000000009313,1543125.500000000000000,1552136.269999999785796,1479868.600000000093132,10973976.169999999925494
20160919,1624835.599999999860302,1443631.919999999925494,1613169.369999999878928,1680457.539999999804422,1534500.219999999972060,1557776.909999999916181,1471425.870000000344589,10925800.429999999701977
20160920,1624692.549999999813735,1447142.359999999869615,1609623.189999999944121,1679553.100000000093132,1531265.739999999990687,1561478.579999999841675,1469181.600000000093132,10922940.119999999180436
20160921,1624406.449999999953434,1478509.839999999850988,1644493.959999999962747,1693571.920000000158325,1556872.040000000037253,1547729.519999999785796,1495257.880000000121072,11040844.610000001266599
20160922,1639712.800000000046566,1493344.280000000027940,1645084.989999999990687,1698094.119999999878928,1558489.280000000027940,1568705.649999999906868,1507334.190000000176951,11110768.310000000521541
20160923,1612390.249999999767169,1492325.119999999878928,1624201.929999999934807,1681814.199999999953434,1547977.219999999972060,1547024.439999999944121,1501670.080000000074506,11007406.240000000223517
20160926,1614822.099999999860302,1478623.079999999841675,1622822.860000000102445,1657394.320000000065193,1533691.599999999860302,1548610.869999999878928,1493227.350000000093132,10949195.179999999701977
20160927,1617826.149999999906868,1487116.079999999841675,1632870.369999999878928,1681361.979999999981374,1561993.300000000046566,1557600.639999999897555,1504662.440000000176951,11043433.959999999031425
20160928,1630128.449999999953434,1497420.919999999692664,1705961.080000000074506,1693119.699999999953434,1564149.620000000111759,1576990.339999999850988,1500601.380000000121072,11168374.490000000223517
20160929,1604808.600000000093132,1483832.119999999878928,1723297.959999999962747,1687693.060000000055879,1547168.599999999860302,1555309.129999999888241,1478265.550000000046566,11080378.019999999552965
20160930,1617253.949999999953434,1491872.159999999916181,1748909.260000000009313,1707138.520000000018626,1552559.400000000139698,1582102.169999999925494,1496219.710000000195578,11196058.170000001788139
20161003,1609672.299999999813735,1499119.519999999785796,1739255.770000000018626,1703068.539999999804422,1547707.679999999934807,1562888.739999999757856,1480082.340000000316650,11141797.889999998733401
20161004,1616538.699999999953434,1497647.399999999906868,1724086.000000000000000,1697641.899999999906868,1542855.959999999962747,1557424.369999999878928,1476555.630000000121072,11112752.960000000894070
20161005,1617253.949999999953434,1524938.239999999757856,1761714.909999999916181,1717991.800000000046566,1553637.560000000055879,1566237.869999999878928,1470570.910000000149012,11212348.239999998360872
20161006,1629270.149999999906868,1522220.479999999748543,1759153.780000000027940,1721609.560000000055879,1556332.959999999962747,1572759.859999999869615,1458494.600000000093132,11219844.390000000596046
20161007,1631702.000000000000000,1515765.799999999813735,1742998.959999999962747,1722966.219999999972060,1557950.199999999953434,1586508.919999999925494,1460525.130000000121072,11218420.230000000447035
20161010,1660168.949999999953434,1538300.560000000055879,1738073.709999999962747,1719348.460000000195578,1564419.159999999916181,1569939.540000000037253,1475700.670000000391155,11265954.049999998882413
20161011,1663745.199999999953434,1514520.159999999916181,1723297.959999999962747,1685431.960000000195578,1541508.260000000009313,1560773.500000000000000,1440112.960000000195578,11129393.000000000000000
20161012,1678622.399999999906868,1507952.239999999757856,1725465.070000000065193,1679100.880000000121072,1539351.939999999944121,1561302.309999999823049,1443853.410000000149012,11135651.250000000000000
20161013,1673472.600000000093132,1510443.519999999785796,1713447.459999999962747,1671865.359999999869615,1534230.679999999934807,1555485.399999999906868,1434128.240000000223517,11093076.259999999776483
20161014,1682770.849999999860302,1511802.399999999906868,1727238.159999999916181,1693571.920000000158325,1547707.679999999934807,1558834.530000000027940,1431242.750000000000000,11153171.289999999105930
20161017,1681626.449999999953434,1517464.399999999906868,1719751.780000000027940,1686336.399999999906868,1542316.879999999888241,1548258.329999999841675,1433487.020000000251457,11129244.259999997913837
20161018,1680482.050000000046566,1529920.799999999813735,1718372.709999999962747,1707138.520000000018626,1554176.639999999897555,1541560.070000000065193,1532448.640000000130385,11264102.429999999701977
20161019,1675475.300000000046566,1542150.719999999972060,1733739.489999999990687,1605841.239999999990687,1550672.620000000111759,1507892.500000000000000,1542921.900000000139698,11158696.770000001415610
20161020,1674617.000000000000000,1538300.560000000055879,1706749.119999999878928,1602223.479999999981374,1543125.500000000000000,1497140.030000000027940,1550402.800000000046566,11112561.490000000223517
20161021,1668036.699999999953434,1535922.519999999785796,1700838.820000000065193,1589561.320000000065193,1608084.639999999897555,1486563.829999999841675,1553608.900000000139698,11142619.730000000447035
20161024,1683056.949999999953434,1556532.199999999720603,1694140.479999999981374,1594535.739999999990687,1644203.000000000000000,1482509.619999999878928,1546341.740000000223517,11201322.729999998584390
20161025,1691639.949999999953434,1574310.880000000121072,1664391.969999999972060,1587300.219999999972060,1643933.459999999962747,1533099.109999999869615,1536616.570000000298023,11231295.160000000149012
20161026,1653588.649999999906868,1648143.359999999869615,1657496.619999999878928,1579160.260000000009313,1634230.020000000018626,1540678.719999999972060,1520051.719999999972060,11233352.350000001490116
20161027,1637710.100000000093132,1622890.839999999850988,1635431.500000000000000,1574185.840000000083819,1619944.400000000139698,1526224.579999999841675,1516952.490000000223517,11133342.750000000000000
20161028,1626838.300000000046566,1619493.639999999897555,1652571.369999999878928,1571020.300000000046566,1613744.979999999981374,1530807.600000000093132,1499960.160000000149012,11114439.349999999627471
20161031,1624263.400000000139698,1612925.719999999972060,1644296.949999999953434,1576899.159999999916181,1615092.679999999934807,1530102.519999999785796,1510433.420000000391155,11114016.849999999627471
20161101,1594938.149999999906868,1612699.239999999757856,1620261.729999999981374,1561071.460000000195578,1611858.199999999953434,1530983.869999999878928,1490128.120000000344589,11021943.769999999552965
20161102,1596368.649999999906868,1593901.399999999906868,1597999.600000000093132,1564689.219999999972060,1601885.219999999972060,1529044.899999999906868,1485318.969999999972060,10969210.960000000894070
20161103,1571191.849999999860302,1585634.880000000121072,1601151.760000000009313,1534390.479999999981374,1595955.340000000083819,1526577.119999999878928,1473028.920000000391155,10887933.349999999627471
20161104,1557029.899999999906868,1580199.359999999869615,1621640.800000000046566,1519919.439999999944121,1582478.340000000083819,1499784.079999999841675,1471746.480000000214204,10832801.400000000372529
20161107,1579488.750000000000000,1619720.119999999878928,1650010.239999999990687,1568759.199999999953434,1628569.679999999934807,1525872.040000000037253,1516845.620000000344589,11089268.650000002235174
20161108,1588787.000000000000000,1610321.199999999720603,1668332.170000000158325,1571020.300000000046566,1629917.379999999888241,1541736.339999999850988,1527212.010000000242144,11137329.400000000372529
20161109,1586212.099999999860302,1643047.560000000055879,1796782.689999999944121,1571472.520000000018626,1621831.179999999934807,1514767.030000000027940,1516525.010000000242144,11250641.089999997988343
20161110,1542009.650000000139698,1672489.959999999962747,1841109.939999999944121,1560167.020000000018626,1582208.800000000046566,1462414.839999999850988,1561731.020000000251457,11222134.230000000447035
20161111,1551164.850000000093132,1681888.880000000121072,1832441.500000000000000,1565141.439999999944121,1590834.080000000074506,1473343.579999999841675,1564830.250000000000000,11259647.580000000074506
20161114,1512255.249999999767169,1698535.159999999916181,1855294.659999999916181,1559262.579999999841675,1566575.479999999981374,1463119.919999999925494,1627456.070000000298023,11282502.119999999180436
20161115,1532282.250000000000000,1677246.040000000037253,1860613.929999999934807,1578708.039999999804422,1586790.979999999981374,1474048.659999999916181,1626921.719999999972060,11336614.620000001043081
20161116,1573480.649999999906868,1658334.959999999962747,1839139.839999999850988,1575542.500000000232831,1607815.099999999860302,1466469.049999999813735,1619120.210000000195578,11339905.309999998658895
20161117,1572908.449999999953434,1645765.320000000065193,1827910.270000000018626,1583682.460000000195578,1634499.560000000055879,1464353.809999999823049,1611318.700000000419095,11340441.570000002160668
20161118,1574482.000000000000000,1657315.799999999813735,1819241.830000000074506,1580516.920000000158325,1626682.900000000139698,1445492.919999999925494,1597211.860000000102445,11300947.230000000447035
20161121,1598371.350000000093132,1664902.880000000121072,1830274.390000000130385,1581873.579999999841675,1640429.439999999944121,1456774.199999999953434,1607471.380000000121072,11380100.220000000670552
20161122,1599372.699999999953434,1693212.880000000121072,1844459.110000000102445,1604484.579999999841675,1647437.479999999981374,1458889.439999999944121,1627242.330000000074506,11475101.519999999552965
20161123,1591218.850000000093132,1695704.159999999916181,1894893.670000000158325,1591822.420000000158325,1628030.599999999860302,1457479.280000000027940,1640921.690000000176951,11500073.669999998062849
20161125,1599229.650000000139698,1699101.359999999869615,1887604.300000000046566,1602675.699999999953434,1631534.620000000111759,1471228.339999999850988,1633120.180000000167638,11524497.149999998509884
20161128,1596082.549999999813735,1696043.880000000121072,1869676.390000000130385,1605841.239999999990687,1633690.939999999944121,1464353.809999999823049,1625639.280000000260770,11491331.089999999850988
20161129,1594508.999999999767169,1717219.759999999776483,1852733.530000000027940,1596796.840000000083819,1646628.860000000102445,1461180.949999999953434,1684204.040000000270084,11553275.980000000447035
20161130,1581062.299999999813735,1704989.839999999850988,1882679.050000000046566,1569211.420000000158325,1624257.040000000037253,1453601.339999999850988,1692005.550000000046566,11507809.539999999105930
20161201,1566328.149999999906868,1725712.759999999776483,1896075.729999999981374,1526702.739999999990687,1595685.800000000046566,1443025.139999999897555,1720005.490000000223517,11473538.810000000521541
20161202,1572193.199999999953434,1724127.399999999906868,1874404.629999999888241,1544791.539999999804422,1597033.500000000000000,1452543.719999999972060,1717761.219999999972060,11482858.210000000894070
20161205,1560892.250000000000000,1723108.239999999757856,1860810.939999999944121,1555192.600000000093132,1623178.879999999888241,1462943.649999999906868,1684631.520000000251457,11470761.079999998211861
20161206,1572908.449999999953434,1724014.159999999916181,1875980.709999999962747,1570115.859999999869615,1615901.300000000046566,1461533.489999999757856,1681318.550000000046566,11501775.519999999552965
20161207,1588357.849999999860302,1745529.759999999776483,1917549.820000000065193,1605389.020000000018626,1654175.979999999981374,1483919.780000000027940,1703547.510000000242144,11698472.719999998807907
20161208,1603950.300000000046566,1759684.759999999776483,1896666.760000000009313,1614433.420000000158325,1644472.540000000037253,1471933.419999999925494,1702692.550000000046566,11693836.750000000000000
20161209,1630128.449999999953434,1772141.159999999916181,1882088.020000000018626,1617146.739999999990687,1670348.379999999888241,1487268.909999999916181,1711242.150000000139698,11770366.810000000521541
20161212,1620830.199999999953434,1779728.239999999757856,1873222.570000000065193,1626643.359999999869615,1675739.179999999934807,1500665.429999999934807,1704509.340000000316650,11781341.319999998435378
20161213,1647866.649999999906868,1774066.239999999757856,1891741.510000000009313,1664177.619999999878928,1697571.919999999925494,1501546.780000000027940,1715730.690000000176951,11892704.409999998286366
20161214,1647866.649999999906868,1749266.679999999934807,1846823.229999999981374,1652872.119999999878928,1689485.719999999972060,1487268.909999999916181,1708463.530000000260770,11782049.839999999850988
20161215,1656878.799999999813735,1741339.880000000121072,1862387.020000000018626,1663725.399999999906868,1686790.320000000065193,1492733.280000000027940,1716585.650000000139698,11820443.349999999627471
20161216,1659024.550000000046566,1749606.399999999906868,1823970.070000000065193,1642018.840000000083819,1679243.199999999953434,1492733.280000000027940,1752066.490000000223517,11798665.830000000074506
20161219,1668608.899999999906868,1768630.719999999972060,1826531.199999999953434,1668247.600000000093132,1714822.479999999981374,1493262.089999999850988,1726417.690000000176951,11866523.679999999701977
20161220,1673043.449999999953434,1771008.759999999776483,1858643.830000000074506,1682718.640000000130385,1712666.159999999916181,1490794.309999999823049,1726952.040000000270084,11915830.190000001341105
20161221,1674617.000000000000000,1783351.919999999692664,1848399.309999999823049,1672317.579999999841675,1712666.159999999916181,1485682.479999999981374,1724173.420000000391155,11901210.869999999180436
20161222,1663602.150000000139698,1783125.439999999944121,1854309.610000000102445,1670056.479999999981374,1712935.699999999953434,1489031.609999999869615,1726845.170000000391155,11899909.159999998286366
20161223,1666892.299999999813735,1787088.839999999850988,1858249.809999999823049,1671865.359999999869615,1704579.959999999962747,1497668.839999999850988,1742341.320000000298023,11928689.429999999701977
20161227,1677478.000000000000000,1783351.919999999692664,1862781.040000000037253,1676387.560000000055879,1705658.120000000111759,1491323.119999999878928,1738173.390000000130385,11935156.150000000372529
20161228,1670325.500000000000000,1767724.799999999813735,1835199.640000000130385,1656489.880000000121072,1697841.459999999962747,1481980.809999999823049,1725348.990000000223517,11834914.080000000074506
20161229,1669896.350000000093132,1763081.959999999962747,1837957.780000000027940,1657846.539999999804422,1695415.599999999860302,1486916.369999999878928,1721074.190000000176951,11832191.789999999105930
20161230,1656878.799999999813735,1762968.719999999972060,1827122.229999999981374,1640209.960000000195578,1674930.560000000055879,1482157.079999999841675,1710387.190000000176951,11754657.539999999105930
20170103,1661599.449999999953434,1777576.679999999934807,1851748.479999999981374,1655133.219999999972060,1686790.320000000065193,1484272.320000000065193,1725455.860000000102445,11842579.329999998211861
20170104,1659739.799999999813735,1796261.280000000027940,1843474.059999999823049,1646541.039999999804422,1679243.199999999953434,1489560.419999999925494,1730371.880000000121072,11845194.679999999701977
20170105,1668179.750000000000000,1797280.439999999944121,1832244.489999999990687,1643827.719999999972060,1679243.199999999953434,1499431.540000000037253,1733257.370000000344589,11853467.510000001639128
20170106,1686776.250000000000000,1801696.799999999813735,1833032.530000000027940,1649706.579999999841675,1693798.360000000102445,1498902.729999999981374,1735715.380000000121072,11899631.630000000819564
20170109,1702225.649999999906868,1792864.079999999841675,1819832.860000000102445,1655585.439999999944121,1688407.560000000055879,1487797.719999999972060,1730799.360000000102445,11877515.669999999925494
20170110,1703942.250000000000000,1801357.079999999841675,1848596.320000000065193,1652419.899999999906868,1687868.479999999981374,1471757.149999999906868,1726845.170000000391155,11892789.350000001490116
20170111,1713097.449999999953434,1805094.000000000000000,1864751.140000000130385,1670960.920000000158325,1703232.260000000009313,1476340.169999999925494,1730158.140000000130385,11963637.080000000074506
20170112,1705944.949999999953434,1792524.359999999869615,1851748.479999999981374,1660107.640000000130385,1687598.939999999944121,1477926.600000000093132,1735181.030000000260770,11911035.000000000000000
