代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12657730.920000001788139
真實報酬,2657730.920000001788139

夏普值報酬,0.257073092000000
夏普值風險,0.067373838499335
夏普值,3.815621875285285

預期報酬,10076.660904889386075
風險,130709.325527628854616
趨勢值,0.077092134506955
找到最佳解世代,2146
找到最佳解實驗#,2
找到最佳解次數,32

stock[index](rank)
投資組合檔數,8
AAPL[0](8),BA[2](9),CAT[3](15),DD[7](1),MCD[15](23),MRK[17](13),PFE[20](14),UNH[23](7),
20130712,1185409.399999999906868,1285975.550000000046566,1269958.160000000149012,1237772.959999999962747,1314844.429999999934807,1299249.439999999711290,1322529.900000000139698,1357174.459999999962747,10272914.300000000745058
20130715,1187938.550000000046566,1333816.719999999972060,1273308.800000000279397,1247962.159999999916181,1304101.739999999990687,1298714.119999999878928,1321611.800000000046566,1349590.420000000158325,10317044.310000000521541
20130716,1195720.550000000046566,1315765.830000000074506,1284526.160000000149012,1232423.629999999888241,1305784.329999999841675,1290951.979999999748543,1316562.250000000000000,1335420.239999999990687,10277154.970000000670552
20130717,1195915.100000000093132,1322834.710000000195578,1262674.160000000149012,1259934.469999999972060,1295688.789999999804422,1288275.379999999888241,1316562.250000000000000,1321848.800000000046566,10263733.660000000149012
20130718,1200000.649999999906868,1358684.030000000027940,1248834.560000000055879,1254585.139999999897555,1296724.229999999981374,1268736.199999999720603,1307840.300000000046566,1408067.359999999869615,10343472.469999998807907
20130719,1181129.300000000046566,1350226.619999999878928,1247814.800000000279397,1257641.899999999906868,1297889.099999999860302,1279174.939999999711290,1335383.300000000046566,1426029.560000000055879,10375289.519999999552965
20130722,1184825.750000000000000,1348964.320000000065193,1252913.600000000093132,1254839.869999999878928,1263072.429999999934807,1277301.319999999832362,1347318.600000000093132,1440598.900000000139698,10369834.789999999105930
20130723,1164592.550000000046566,1360703.710000000195578,1245920.959999999962747,1253311.489999999990687,1252459.170000000158325,1282922.179999999701977,1350531.950000000186265,1450777.479999999981374,10361219.490000000223517
20130724,1224319.399999999906868,1350100.390000000130385,1215619.520000000018626,1246943.239999999990687,1251164.869999999878928,1278639.619999999878928,1344105.250000000232831,1447584.199999999953434,10358476.490000000223517
20130725,1218677.449999999953434,1346944.640000000130385,1196681.120000000111759,1269359.479999999748543,1261907.559999999823049,1289346.019999999785796,1339973.800000000046566,1449380.420000000158325,10372270.489999998360872
20130726,1225681.250000000000000,1333059.339999999850988,1195515.680000000167638,1258915.550000000046566,1268896.780000000027940,1297911.139999999897555,1348236.700000000186265,1441197.639999999897555,10369414.080000001937151
20130729,1244552.600000000093132,1323087.170000000158325,1209500.959999999962747,1269614.209999999962747,1266825.900000000139698,1293896.239999999990687,1356040.550000000046566,1452773.280000000027940,10416290.910000000149012
20130730,1259922.050000000046566,1334700.330000000074506,1211977.520000000018626,1271906.779999999795109,1273297.400000000139698,1286134.099999999627471,1362008.200000000186265,1442395.119999999878928,10442341.499999998137355
20130731,1257782.000000000000000,1326747.839999999850988,1207898.479999999981374,1271142.589999999850988,1269543.929999999934807,1289346.019999999785796,1341810.000000000000000,1453970.759999999776483,10418241.619999999180436
20130801,1269260.449999999953434,1346944.640000000130385,1230187.520000000018626,1284133.819999999832362,1281451.489999999990687,1300320.079999999841675,1336301.400000000139698,1460157.739999999990687,10508757.140000000596046
20130802,1285602.649999999906868,1362092.240000000223517,1228148.000000000000000,1313937.229999999748543,1284040.090000000083819,1299249.439999999711290,1348236.700000000186265,1442195.540000000037253,10563501.890000000596046
20130805,1304668.550000000046566,1357043.040000000037253,1217367.680000000167638,1323362.239999999990687,1285463.820000000065193,1298981.779999999795109,1339973.800000000046566,1463750.179999999934807,10590611.089999999850988
20130806,1292995.549999999813735,1351236.460000000195578,1202362.640000000130385,1308078.439999999944121,1277439.159999999916181,1296572.839999999850988,1346859.550000000046566,1461754.379999999888241,10537299.019999999552965
20130807,1292411.900000000139698,1343410.199999999953434,1200905.840000000083819,1316484.529999999795109,1272779.679999999934807,1299517.099999999627471,1343187.150000000139698,1455367.820000000065193,10524064.220000000670552
20130808,1281322.550000000046566,1336088.860000000102445,1223194.879999999888241,1338900.770000000018626,1269026.209999999962747,1297375.819999999832362,1337219.500000000000000,1460556.900000000139698,10543685.490000000223517
20130809,1263034.850000000093132,1329651.130000000121072,1231207.280000000260770,1379912.300000000046566,1263590.150000000139698,1295234.539999999804422,1340891.900000000139698,1455567.400000000139698,10559089.550000000745058
20130812,1299026.599999999860302,1315892.060000000055879,1257575.360000000102445,1359533.899999999906868,1256083.209999999962747,1297375.819999999832362,1339973.800000000046566,1444790.080000000074506,10570250.830000000074506
20130813,1360698.949999999953434,1341011.830000000074506,1261217.360000000102445,1374053.509999999776483,1248446.840000000083819,1296305.179999999701977,1343646.200000000186265,1463949.759999999776483,10689329.630000000819564
20130814,1385406.799999999813735,1314882.219999999972060,1250291.360000000102445,1369468.369999999878928,1244046.219999999972060,1300052.419999999925494,1332629.000000000232831,1446785.879999999888241,10643562.269999999552965
20130815,1383850.399999999906868,1296831.330000000074506,1250874.080000000074506,1347816.319999999832362,1234727.260000000009313,1283992.819999999832362,1322070.850000000093132,1425031.660000000149012,10545194.719999998807907
20130816,1396107.050000000046566,1306172.350000000093132,1240676.479999999981374,1338136.579999999841675,1230067.780000000027940,1276766.000000000000000,1302331.700000000186265,1425630.400000000139698,10515888.340000001713634
20130819,1411087.399999999906868,1321951.100000000093132,1226691.200000000186265,1328711.569999999832362,1235892.130000000121072,1273554.079999999841675,1306463.150000000139698,1431218.639999999897555,10535569.269999999552965
20130820,1392605.149999999906868,1320815.030000000027940,1221738.080000000074506,1340429.149999999906868,1236150.989999999990687,1273018.759999999776483,1309676.500000000232831,1446187.139999999897555,10540620.800000000745058
20130821,1396301.599999999860302,1311726.469999999972060,1208335.520000000018626,1347306.859999999869615,1231103.219999999972060,1270342.159999999916181,1296364.050000000046566,1434012.759999999776483,10495492.639999998733401
20130822,1397858.000000000000000,1327252.760000000009313,1226254.160000000149012,1349089.969999999972060,1235633.270000000018626,1279710.259999999776483,1292691.650000000139698,1436407.719999999972060,10544897.790000000968575
20130823,1392410.599999999860302,1331544.580000000074506,1222175.120000000111759,1405385.300000000046566,1231362.079999999841675,1277568.979999999748543,1300954.550000000046566,1447783.780000000027940,10609184.989999998360872
20130826,1397858.000000000000000,1332175.729999999981374,1217367.680000000167638,1402073.809999999823049,1233691.820000000065193,1274624.719999999739230,1286264.950000000186265,1444590.499999999767169,10588647.210000000894070
20130827,1357975.250000000000000,1302890.369999999878928,1204839.200000000186265,1362590.659999999916181,1227608.610000000102445,1260974.059999999823049,1285346.850000000093132,1427426.619999999878928,10429651.619999999180436
20130828,1364395.399999999906868,1303647.750000000000000,1201197.200000000186265,1358514.979999999748543,1243657.929999999934807,1260438.739999999990687,1294986.900000000139698,1427825.780000000027940,10454664.679999999701977
20130829,1366535.449999999953434,1324601.930000000167638,1202362.640000000130385,1361062.279999999795109,1227867.469999999972060,1260706.399999999906868,1289937.350000000093132,1445787.979999999981374,10478861.500000000000000
20130830,1354084.250000000000000,1311852.699999999953434,1202508.320000000298023,1356731.869999999878928,1221395.969999999972060,1265791.939999999711290,1294986.900000000139698,1431817.379999999888241,10439169.329999998211861
20130903,1357975.250000000000000,1325611.770000000018626,1202071.280000000260770,1358260.250000000000000,1223466.849999999860302,1263650.659999999916181,1285805.900000000139698,1448182.939999999944121,10465024.900000000372529
20130904,1385990.449999999953434,1342779.050000000046566,1217076.320000000298023,1370487.289999999804422,1231750.369999999878928,1276230.679999999701977,1302331.700000000186265,1463949.759999999776483,10590595.619999999180436
20130905,1376457.500000000000000,1346313.490000000223517,1208481.200000000186265,1393412.989999999990687,1238221.869999999878928,1271680.459999999729916,1297741.200000000186265,1477720.780000000027940,10610029.490000000223517
20130906,1384628.600000000093132,1338992.149999999906868,1214891.120000000111759,1398762.319999999832362,1245987.670000000158325,1271145.139999999897555,1298200.250000000232831,1478119.939999999944121,10630727.189999999478459
20130909,1406807.300000000046566,1353129.909999999916181,1246940.720000000204891,1407932.600000000093132,1248446.840000000083819,1277836.639999999897555,1299118.350000000093132,1481911.959999999962747,10722124.320000000298023
20130910,1374706.550000000046566,1365500.449999999953434,1261800.080000000074506,1450472.509999999776483,1254141.760000000009313,1284260.479999999748543,1306004.100000000093132,1489495.999999999767169,10786381.929999999701977
20130911,1299999.349999999860302,1378880.830000000074506,1269375.439999999944121,1445632.639999999897555,1261519.270000000018626,1288543.039999999804422,1316103.200000000186265,1500472.900000000139698,10760526.669999999925494
20130912,1313812.399999999906868,1386075.939999999944121,1265150.720000000204891,1409715.709999999962747,1257895.229999999981374,1280780.899999999906868,1299577.400000000139698,1491691.379999999888241,10704699.679999999701977
20130913,1292022.800000000046566,1405389.130000000121072,1267627.280000000260770,1446396.829999999841675,1260095.539999999804422,1279174.939999999711290,1308758.400000000139698,1486502.300000000046566,10745967.220000000670552
20130916,1250972.750000000000000,1460172.949999999953434,1270103.840000000083819,1443849.529999999795109,1264755.020000000018626,1289881.339999999850988,1317939.400000000139698,1499275.420000000158325,10796950.250000000000000
20130917,1265564.000000000000000,1478350.070000000065193,1268501.360000000102445,1440538.039999999804422,1267473.050000000046566,1285063.459999999729916,1314726.050000000046566,1483109.439999999944121,10803325.470000000670552
20130918,1291439.149999999906868,1494633.740000000223517,1279718.720000000204891,1482313.759999999776483,1277568.590000000083819,1295502.199999999720603,1333088.050000000046566,1457762.780000000027940,10912026.990000000223517
20130919,1312645.100000000093132,1502712.460000000195578,1278407.600000000093132,1473143.479999999748543,1267473.050000000046566,1291754.959999999729916,1323907.050000000046566,1413855.179999999934807,10863898.880000000819564
20130920,1299026.599999999860302,1472291.030000000027940,1234703.600000000093132,1440283.309999999823049,1254271.190000000176951,1285063.459999999729916,1329874.699999999953434,1408466.519999999785796,10723980.410000000149012
20130923,1363617.199999999953434,1483399.270000000018626,1238782.640000000130385,1423471.129999999888241,1259189.530000000027940,1276230.679999999701977,1322070.850000000093132,1433414.019999999785796,10800175.320000000298023
20130924,1359337.100000000093132,1502207.540000000037253,1239948.080000000074506,1418885.989999999990687,1265661.030000000027940,1272215.779999999795109,1317939.400000000139698,1443393.019999999785796,10819587.939999999478459
20130925,1338325.700000000186265,1496022.270000000018626,1231061.600000000093132,1445887.369999999878928,1263590.150000000139698,1275963.019999999785796,1307840.300000000046566,1436607.300000000046566,10795297.710000000894070
20130926,1351360.549999999813735,1507004.280000000027940,1226691.200000000186265,1450727.239999999990687,1270967.659999999916181,1276230.679999999701977,1309217.450000000186265,1440199.739999999990687,10832398.800000000745058
20130927,1341633.049999999813735,1498925.560000000055879,1220864.000000000000000,1415574.500000000000000,1257118.650000000139698,1279174.939999999711290,1325743.250000000000000,1436806.879999999888241,10775840.829999998211861
20130930,1325096.300000000046566,1483273.040000000037253,1215036.800000000279397,1393158.259999999776483,1245340.520000000018626,1274357.059999999823049,1318857.500000000000000,1429222.839999999850988,10684342.320000000298023
20131001,1356224.299999999813735,1486428.790000000037253,1220281.280000000260770,1389846.770000000018626,1244305.079999999841675,1304602.639999999897555,1326202.300000000046566,1448582.099999999860302,10776473.259999999776483
20131002,1360698.949999999953434,1487564.860000000102445,1224797.360000000102445,1403856.919999999925494,1233303.530000000027940,1294699.219999999739230,1331710.900000000139698,1448382.519999999785796,10785014.259999999776483
20131003,1343578.550000000046566,1454745.060000000055879,1223340.560000000055879,1406404.219999999972060,1225408.300000000046566,1294431.559999999823049,1320693.700000000186265,1447384.619999999878928,10715986.569999998435378
20131004,1342411.250000000000000,1479486.140000000130385,1226691.200000000186265,1450727.239999999990687,1225796.590000000083819,1290951.979999999748543,1331251.850000000093132,1456764.879999999888241,10804081.129999998956919
20131007,1355640.650000000139698,1473048.409999999916181,1216930.640000000130385,1427546.809999999823049,1221395.969999999972060,1281851.539999999804422,1313807.950000000186265,1440399.320000000065193,10730621.289999999105930
20131008,1336769.299999999813735,1457269.659999999916181,1207024.399999999906868,1397488.669999999925494,1215959.909999999916181,1278104.299999999813735,1296364.050000000046566,1426628.300000000046566,10615608.589999999850988
20131009,1352333.300000000046566,1445025.350000000093132,1216784.959999999962747,1412008.279999999795109,1207288.099999999860302,1265256.619999999878928,1298659.300000000046566,1424632.499999999767169,10621988.410000000149012
20131010,1360893.500000000000000,1500945.240000000223517,1234412.240000000223517,1465501.579999999841675,1222431.409999999916181,1271145.139999999897555,1320693.700000000186265,1476523.300000000046566,10852546.110000001266599
20131011,1369648.250000000000000,1489332.080000000074506,1247232.080000000074506,1489955.659999999916181,1226314.309999999823049,1265791.939999999711290,1318398.449999999953434,1482311.119999999878928,10888983.889999998733401
20131014,1378597.550000000046566,1508014.119999999878928,1256409.919999999925494,1480785.379999999888241,1226055.449999999953434,1251338.299999999813735,1347318.600000000093132,1491292.219999999972060,10939811.540000000968575
20131015,1385990.449999999953434,1491856.680000000167638,1249271.600000000093132,1466775.229999999748543,1214147.889999999897555,1246520.419999999925494,1338596.650000000139698,1474327.920000000158325,10867486.839999999850988
20131016,1392799.699999999953434,1519122.360000000102445,1256846.959999999962747,1491993.500000000000000,1232526.949999999953434,1262580.019999999785796,1367975.850000000093132,1500672.479999999981374,11024517.820000000298023
20131017,1402138.099999999860302,1543737.210000000195578,1250728.399999999906868,1501418.509999999776483,1235762.699999999953434,1260974.059999999823049,1389092.150000000139698,1424432.920000000158325,11008284.049999998882413
20131018,1414394.750000000000000,1546640.500000000000000,1272434.720000000204891,1498616.479999999748543,1232268.090000000083819,1247591.059999999823049,1400568.400000000139698,1372342.540000000037253,10984856.539999999105930
20131021,1449024.650000000139698,1533386.350000000093132,1277679.200000000186265,1500399.589999999850988,1224372.860000000102445,1244914.459999999729916,1395518.850000000093132,1361166.060000000055879,10986462.020000001415610
20131022,1444939.099999999860302,1546135.580000000074506,1299094.160000000149012,1507277.300000000046566,1231232.650000000139698,1243843.819999999832362,1408372.250000000000000,1374338.339999999850988,11055233.199999999254942
20131023,1458946.699999999953434,1628690.000000000232831,1220281.280000000260770,1488682.009999999776483,1219454.520000000018626,1246252.759999999776483,1404699.850000000093132,1357374.040000000037253,11024381.160000000149012
20131024,1478401.699999999953434,1628185.079999999841675,1231498.640000000130385,1473652.939999999944121,1225537.729999999981374,1237152.319999999832362,1405158.900000000139698,1349390.839999999850988,11028978.150000000372529
20131025,1461864.949999999953434,1656081.909999999916181,1234994.959999999962747,1433660.329999999841675,1226832.030000000027940,1245717.439999999711290,1405158.900000000139698,1349590.420000000158325,11013900.939999999478459
20131028,1472759.750000000000000,1639545.780000000027940,1227856.640000000130385,1418885.989999999990687,1234468.400000000139698,1213865.899999999906868,1411126.550000000046566,1336018.979999999981374,10954527.990000002086163
20131029,1435989.800000000046566,1636768.719999999972060,1224797.360000000102445,1431367.759999999776483,1243269.639999999897555,1220022.079999999841675,1434538.100000000093132,1358771.099999999860302,10985524.559999998658895
20131030,1458946.699999999953434,1637021.180000000167638,1216347.919999999925494,1424235.319999999832362,1243010.780000000027940,1210921.639999999897555,1419848.500000000000000,1357374.040000000037253,10967706.079999998211861
20131031,1452721.100000000093132,1647372.040000000037253,1214454.080000000074506,1431877.219999999972060,1249352.849999999860302,1206906.739999999990687,1408831.300000000046566,1362363.540000000037253,10973878.870000001043081
20131101,1445328.200000000186265,1679308.229999999981374,1217804.720000000204891,1413027.199999999953434,1258671.809999999823049,1210653.979999999748543,1430865.700000000186265,1369747.999999999767169,11025407.839999999850988
20131104,1464005.000000000000000,1676278.709999999962747,1222175.120000000111759,1393158.259999999776483,1259577.820000000065193,1223769.319999999832362,1434997.150000000139698,1376134.560000000055879,11050095.940000001341105
20131105,1460308.550000000046566,1686124.649999999906868,1224506.000000000000000,1404621.109999999869615,1260872.119999999878928,1214133.559999999823049,1434079.050000000046566,1371544.219999999972060,11056189.260000001639128
20131106,1447857.350000000093132,1680065.610000000102445,1226982.560000000055879,1424235.319999999832362,1267214.190000000176951,1230193.159999999916181,1421684.699999999953434,1402878.280000000027940,11101111.169999999925494
20131107,1424316.799999999813735,1660121.270000000018626,1218678.800000000279397,1402838.000000000000000,1258154.090000000083819,1226445.919999999925494,1418930.400000000139698,1392300.540000000037253,11001785.820000000298023
20131108,1446884.600000000093132,1685114.810000000055879,1227273.919999999925494,1439009.659999999916181,1255694.920000000158325,1252676.599999999627471,1437751.450000000186265,1407069.459999999962747,11151475.420000001788139
20131111,1442604.500000000000000,1672996.729999999981374,1225962.800000000279397,1438754.929999999701977,1256730.360000000102445,1258029.799999999813735,1434079.050000000046566,1407069.459999999962747,11136227.629999998956919
20131112,1445328.200000000186265,1670472.130000000121072,1221592.399999999906868,1427037.350000000093132,1264107.869999999878928,1273821.739999999990687,1440505.750000000000000,1396092.560000000055879,11138958.000000001862645
20131113,1447079.149999999906868,1681075.449999999953434,1226691.200000000186265,1436462.359999999869615,1269932.219999999972060,1267130.239999999990687,1462999.200000000186265,1417248.040000000037253,11208617.859999999403954
20131114,1467896.000000000000000,1705311.610000000102445,1220281.280000000260770,1454802.919999999925494,1262813.570000000065193,1279977.919999999925494,1468966.850000000093132,1425829.979999999981374,11285880.130000000819564
20131115,1459141.250000000000000,1717808.380000000121072,1219989.919999999925494,1459388.059999999823049,1254530.050000000046566,1286669.419999999925494,1478147.850000000325963,1434411.920000000158325,11310086.849999997764826
20131118,1441437.199999999953434,1746588.820000000298023,1224360.320000000298023,1446396.829999999841675,1263978.440000000176951,1285063.459999999729916,1469425.899999999906868,1430619.900000000139698,11307870.870000001043081
20131119,1443966.350000000093132,1729169.079999999841675,1218970.160000000149012,1440283.309999999823049,1268249.630000000121072,1286669.419999999925494,1453359.150000000139698,1429222.839999999850988,11269889.939999999478459
20131120,1431320.599999999860302,1671986.889999999897555,1204547.840000000083819,1424235.319999999832362,1262554.709999999962747,1288275.379999999888241,1465294.450000000186265,1436607.300000000046566,11184822.490000002086163
20131121,1448441.000000000000000,1678045.930000000167638,1196389.760000000242144,1437736.009999999776483,1264625.590000000083819,1301390.719999999739230,1467589.699999999953434,1455168.239999999990687,11249386.949999999254942
20131122,1444744.550000000046566,1716419.850000000093132,1207461.439999999944121,1438754.929999999701977,1272003.099999999860302,1309955.839999999850988,1474475.449999999953434,1471733.379999999888241,11335548.539999999105930
20131125,1455639.349999999860302,1678929.540000000037253,1229604.800000000279397,1415065.039999999804422,1280416.050000000046566,1329227.359999999636784,1475393.550000000046566,1478319.519999999785796,11342595.209999999031425
20131126,1482487.250000000000000,1701398.479999999981374,1229022.080000000074506,1407168.409999999916181,1271097.090000000083819,1327086.079999999841675,1463917.300000000046566,1487300.619999999878928,11369477.310000000521541
20131127,1517311.699999999953434,1700641.100000000093132,1233538.160000000149012,1418376.529999999795109,1256342.070000000065193,1333777.579999999841675,1463458.250000000000000,1484107.339999999850988,11407552.730000000447035
20131129,1545521.449999999953434,1694708.290000000037253,1232518.399999999906868,1417102.879999999888241,1260354.400000000139698,1333777.579999999841675,1456572.500000000000000,1486502.300000000046566,11427057.800000000745058
20131202,1532097.500000000000000,1693572.219999999972060,1227419.600000000093132,1450472.509999999776483,1249223.420000000158325,1343145.679999999701977,1461163.000000000000000,1480115.739999999990687,11437209.669999999925494
20131203,1573925.750000000000000,1666306.540000000037253,1221883.760000000242144,1404621.109999999869615,1247540.829999999841675,1331903.959999999729916,1433160.949999999953434,1471533.800000000046566,11350876.699999999254942
20131204,1570229.299999999813735,1659995.040000000037253,1223340.560000000055879,1410734.629999999888241,1238869.020000000018626,1319859.259999999776483,1435456.200000000186265,1469937.160000000149012,11328421.170000001788139
20131205,1578400.399999999906868,1675521.329999999841675,1229750.479999999981374,1400545.429999999701977,1235244.979999999981374,1306476.259999999776483,1434538.100000000093132,1451974.959999999962747,11312451.939999997615814
20131206,1556416.250000000000000,1706447.680000000167638,1245629.600000000093132,1424490.050000000046566,1252976.889999999897555,1322000.539999999804422,1447850.550000000046566,1466943.459999999962747,11422755.019999999552965
20131209,1574314.850000000093132,1700136.180000000167638,1254224.720000000204891,1480021.189999999944121,1238998.449999999953434,1326550.759999999776483,1449686.750000000000000,1471334.219999999972060,11495267.119999999180436
20131210,1571785.700000000186265,1687765.639999999897555,1259032.160000000149012,1515683.389999999897555,1235244.979999999981374,1323071.179999999701977,1438669.550000000046566,1477920.359999999869615,11509172.959999999031425
20131211,1560112.699999999953434,1673375.420000000158325,1242424.640000000130385,1489191.469999999972060,1233044.670000000158325,1310223.500000000000000,1406995.100000000093132,1439800.580000000074506,11355168.079999998211861
20131212,1557972.649999999906868,1678424.620000000111759,1246649.360000000102445,1478747.539999999804422,1218030.789999999804422,1293360.919999999925494,1388633.100000000093132,1417248.040000000037253,11279067.019999999552965
20131213,1540852.250000000000000,1689406.630000000121072,1253642.000000000000000,1506258.379999999888241,1222431.409999999916181,1294966.879999999888241,1388633.100000000093132,1406670.300000000046566,11302860.950000001117587
20131216,1549412.449999999953434,1700641.100000000093132,1273017.439999999944121,1509060.409999999916181,1235503.840000000083819,1287204.739999999990687,1388633.100000000093132,1418245.939999999944121,11361719.019999999552965
20131217,1542408.649999999906868,1715283.780000000027940,1266316.160000000149012,1530967.189999999944121,1221654.829999999841675,1282119.199999999720603,1383583.550000000046566,1411659.800000000046566,11353993.160000000149012
20131218,1530735.650000000139698,1710360.810000000055879,1284526.160000000149012,1578346.969999999972060,1241716.479999999981374,1308885.199999999720603,1412503.700000000186265,1444590.499999999767169,11511665.469999998807907
