代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15171198.640000000596046
真實報酬,5171198.640000000596046

夏普值報酬,0.508419864000000
夏普值風險,0.116504046119525
夏普值,4.363967440910980

預期報酬,21295.052740926850674
風險,232079.255769722833065
趨勢值,0.091757674206162
找到最佳解世代,1765
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](6),DIS[6](1),HD[9](2),KO[14](12),VZ[26](11),WMT[28](5),
20111125,1589255.590000000083819,1851786.999999999767169,1849200.399999999906868,1597099.419999999692664,1600996.950000000186265,1826909.870000000111759,10315253.230000000447035
20111128,1644024.219999999972060,1882732.599999999860302,1891284.719999999972060,1607953.780000000027940,1641757.050000000046566,1838470.550000000046566,10506226.920000001788139
20111129,1631173.480000000214204,1878864.399999999906868,1975453.360000000102445,1633116.159999999916181,1658966.870000000111759,1868014.510000000009313,10645592.779999999329448
20111130,1670643.610000000102445,1981095.399999999906868,1988636.399999999906868,1658771.919999999692664,1708784.770000000018626,1891457.000000000000000,10899393.099999999627471
20111201,1695733.150000000139698,1988831.800000000046566,1994720.880000000121072,1648904.320000000065193,1710596.330000000074506,1882144.229999999981374,10920934.710000000894070
20111202,1703382.400000000139698,2023092.999999999767169,2025143.279999999795109,1637556.579999999841675,1714219.450000000186265,1865445.470000000204891,10968844.180000001564622
20111205,1717762.990000000223517,2041328.799999999813735,2039847.439999999944121,1636076.439999999711290,1723277.250000000000000,1873473.720000000204891,11031770.640000000596046
20111206,1708889.860000000102445,2035250.199999999720603,2044410.800000000046566,1644957.280000000027940,1735505.280000000027940,1887603.440000000176951,11056620.859999999403954
20111207,1700628.670000000158325,2050170.399999999906868,2065199.439999999944121,1647424.179999999934807,1735052.390000000130385,1878932.929999999934807,11077412.009999999776483
20111208,1707665.980000000214204,1984963.600000000093132,2023622.159999999916181,1646437.419999999692664,1712407.890000000130385,1861913.040000000037253,10937014.089999999850988
20111209,1720516.719999999972060,2020330.000000000000000,2039847.439999999944121,1666666.000000000000000,1740487.070000000065193,1872831.459999999962747,11060682.690000001341105
20111212,1712867.469999999972060,2025303.399999999906868,2030720.719999999972060,1650384.459999999962747,1736863.950000000186265,1865445.470000000204891,11021589.470000000670552
20111213,1699404.790000000037253,2007620.199999999720603,2003340.559999999823049,1640023.479999999981374,1732787.939999999944121,1849710.100000000093132,10932891.069999998435378
20111214,1661770.480000000214204,1942965.999999999767169,1984580.080000000074506,1634596.300000000046566,1732787.939999999944121,1851315.750000000000000,10808020.550000000745058
20111215,1656263.020000000251457,1944623.799999999813735,1998777.200000000186265,1650384.459999999962747,1740034.180000000167638,1860949.650000000139698,10851036.310000000521541
20111216,1665442.120000000111759,1951807.599999999860302,2049481.200000000186265,1663705.719999999739230,1756338.220000000204891,1871225.810000000055879,10958004.669999999925494
20111219,1670643.610000000102445,1920309.399999999906868,2038326.320000000065193,1662225.579999999841675,1749544.870000000111759,1855490.440000000176951,10896544.220000000670552
20111220,1730613.730000000214204,1998778.600000000093132,2127058.320000000298023,1687387.959999999962747,1775812.489999999990687,1900769.770000000018626,11220424.869999999180436
20111221,1733061.490000000223517,2004304.600000000093132,2129593.520000000018626,1716004.000000000000000,1776718.270000000018626,1907192.370000000111759,11266878.250000000000000
20111222,1742240.590000000083819,2041881.400000000139698,2125537.200000000186265,1707123.159999999916181,1779435.610000000102445,1900769.770000000018626,11296991.730000000447035
20111223,1763046.550000000046566,2083326.400000000139698,2134156.880000000353903,1725378.219999999739230,1810685.020000000018626,1926460.170000000158325,11443057.240000000223517
20111227,1777121.170000000158325,2078352.999999999767169,2140748.399999999906868,1723898.079999999841675,1811137.910000000149012,1921322.090000000083819,11452584.650000000372529
20111228,1759986.850000000325963,2057906.800000000046566,2105762.640000000130385,1715017.239999999757856,1800721.439999999944121,1918110.790000000037253,11357509.760000001639128
20111229,1770695.800000000046566,2083879.000000000000000,2130100.560000000055879,1730805.399999999674037,1813855.250000000000000,1926460.170000000158325,11455800.179999997839332
20111230,1770389.830000000074506,2072274.399999999906868,2131621.680000000167638,1726364.979999999981374,1817025.479999999981374,1919074.179999999934807,11436754.550000000745058
20120103,1797621.160000000149012,2117035.000000000000000,2136692.080000000074506,1730312.019999999785796,1799362.770000000018626,1937378.590000000083819,11518405.619999999180436
20120104,1807106.230000000214204,2146875.399999999906868,2167114.479999999981374,1719457.659999999916181,1775812.489999999990687,1917468.530000000027940,11533838.789999999105930
20120105,1827300.250000000000000,2182794.399999999906868,2184860.880000000353903,1711563.579999999841675,1763584.459999999962747,1908155.760000000009313,11578263.330000000074506
20120106,1846270.390000000363216,2205450.999999999534339,2190438.320000000298023,1700709.219999999739230,1735958.169999999925494,1894668.300000000046566,11573499.400000000372529
20120109,1843516.660000000149012,2196609.399999999906868,2191959.439999999944121,1700709.219999999739230,1737769.729999999981374,1900448.640000000130385,11571017.089999999850988
20120110,1849942.030000000260770,2189978.200000000186265,2207170.640000000130385,1710576.820000000065193,1746827.530000000027940,1895952.820000000065193,11600452.040000000968575
20120111,1846882.330000000074506,2138586.399999999906868,2203621.359999999869615,1679000.500000000000000,1761772.899999999906868,1907513.500000000000000,11537380.990000000223517
20120112,1841986.810000000288710,2140244.199999999720603,2200072.080000000074506,1666666.000000000000000,1762678.680000000167638,1910724.800000000046566,11522376.570000000298023
20120113,1834949.500000000000000,2122008.399999999906868,2206156.560000000055879,1652357.979999999981374,1762678.680000000167638,1912009.320000000065193,11490164.439999999478459
20120117,1856367.400000000139698,2126429.199999999720603,2217818.479999999981374,1661238.820000000065193,1767207.580000000074506,1921964.350000000093132,11551029.830000000074506
20120118,1875643.510000000009313,2156269.600000000093132,2275621.040000000037253,1667652.759999999776483,1766754.689999999944121,1927102.429999999934807,11669048.029999999329448
20120119,1869830.080000000074506,2179478.799999999813735,2302494.159999999683350,1664199.099999999627471,1766301.800000000046566,1946370.229999999981374,11728678.169999999925494
20120120,1837091.290000000037253,2172295.000000000000000,2256860.560000000055879,1679987.259999999776483,1764943.129999999888241,1959215.429999999934807,11670396.669999998062849
20120123,1868300.230000000214204,2168979.399999999906868,2275621.040000000037253,1690841.620000000111759,1739128.399999999906868,1956004.129999999888241,11698878.820000000298023
20120124,1837703.230000000214204,2168979.399999999906868,2279677.359999999869615,1675053.459999999962747,1711502.110000000102445,1971418.370000000111759,11644337.929999999701977
20120125,1952441.980000000214204,2186110.000000000000000,2294888.560000000055879,1688374.719999999739230,1706973.209999999962747,1973987.409999999916181,11802779.880000000819564
20120126,1943568.850000000325963,2174505.399999999906868,2279170.320000000298023,1678013.739999999757856,1691122.060000000288710,1957930.909999999916181,11724315.280000001192093
20120127,1955195.710000000195578,2168979.399999999906868,2275114.000000000000000,1663705.719999999739230,1685234.489999999990687,1949581.530000000027940,11697814.849999999627471
20120130,1980285.250000000000000,2154611.799999999813735,2270043.600000000093132,1664199.099999999627471,1703350.090000000083819,1968528.199999999953434,11741022.039999999105930
20120131,1995277.780000000027940,2149638.399999999906868,2250776.080000000074506,1666172.620000000111759,1705614.539999999804422,1970454.979999999981374,11737938.400000000372529
20120201,1994053.900000000139698,2173400.199999999720603,2254832.399999999906868,1673573.320000000065193,1711955.000000000000000,1996787.640000000130385,11804606.460000000894070
20120202,1989464.350000000093132,2150190.999999999534339,2254325.359999999869615,1673573.320000000065193,1701085.640000000130385,1989080.520000000018626,11757724.189999999478459
20120203,2009352.400000000139698,2210424.399999999906868,2290325.200000000186265,1679493.879999999888241,1713766.560000000288710,1991970.690000000176951,11895337.129999998956919
20120206,2028016.570000000298023,2235844.000000000000000,2291846.320000000298023,1678507.120000000111759,1727353.260000000009313,1987153.740000000223517,11948725.010000001639128
20120207,2049434.470000000204891,2264579.199999999720603,2305029.359999999869615,1691335.000000000000000,1717389.680000000167638,1981052.270000000018626,12008823.979999998584390
20120208,2083703.109999999869615,2280604.600000000093132,2290325.200000000186265,1685907.820000000065193,1717389.680000000167638,1978804.359999999869615,12036738.769999999552965
20120209,2155606.060000000055879,2294972.200000000186265,2295395.600000000093132,1677026.979999999981374,1717389.680000000167638,1989722.780000000027940,12130117.299999998882413
20120210,2156829.939999999944121,2290551.399999999906868,2298437.839999999850988,1676040.219999999739230,1706973.209999999962747,1987796.000000000000000,12116632.609999999403954
20120213,2196912.010000000242144,2309339.799999999813735,2328860.240000000223517,1688374.719999999739230,1726900.370000000111759,1984263.570000000065193,12234654.710000000894070
20120214,2226897.070000000298023,2298840.399999999906868,2335451.760000000242144,1699722.459999999962747,1722824.360000000102445,1998072.159999999916181,12281812.210000000894070
20120215,2175494.109999999869615,2279499.399999999906868,2317705.359999999869615,1687387.959999999962747,1713313.669999999925494,1983300.179999999934807,12156704.679999997839332
20120216,2195076.189999999944121,2295524.799999999813735,2328860.240000000223517,1698735.699999999953434,1723277.250000000000000,1992291.820000000065193,12233770.000000000000000
20120217,2194770.220000000204891,2307129.399999999906868,2368409.359999999869615,1703669.500000000000000,1741845.739999999990687,2006421.540000000037253,12322249.760000001639128
20120221,2250456.760000000242144,2297182.600000000093132,2379057.200000000186265,1697748.939999999711290,1743204.410000000149012,1929029.209999999962747,12296683.120000001043081
20120222,2242501.540000000502914,2280604.600000000093132,2361310.799999999813735,1708603.300000000046566,1730523.489999999990687,1881823.100000000093132,12205370.830000000074506
20120223,2257188.100000000093132,2292209.199999999720603,2380578.320000000298023,1706629.780000000027940,1726900.370000000111759,1879896.320000000065193,12243406.089999999850988
20120224,2283501.520000000018626,2282815.000000000000000,2382099.439999999944121,1702189.359999999869615,1727353.260000000009313,1887924.570000000065193,12265887.149999998509884
20120227,2298188.080000000074506,2301050.799999999813735,2379564.240000000223517,1698242.320000000065193,1726900.370000000111759,1877327.280000000027940,12281277.089999997988343
20120228,2340411.939999999944121,2317076.199999999720603,2394775.439999999944121,1698242.320000000065193,1727806.149999999906868,1892420.390000000130385,12370736.440000001341105
20120229,2371008.939999999944121,2320391.799999999813735,2412014.799999999813735,1723404.699999999953434,1725994.590000000083819,1897237.340000000083819,12450056.169999999925494
20120301,2379882.070000000298023,2342495.799999999813735,2406437.359999999869615,1716990.759999999776483,1740487.070000000065193,1888887.959999999962747,12475185.019999999552965
20120302,2382941.770000000018626,2340838.000000000000000,2403902.159999999683350,1706629.780000000027940,1751356.430000000167638,1894989.429999999934807,12480661.569999998435378
20120305,2330620.900000000372529,2359626.399999999906868,2402888.080000000074506,1708109.919999999692664,1766301.800000000046566,1907513.500000000000000,12475064.600000001490116
20120306,2317770.160000000149012,2320944.399999999906868,2352184.080000000074506,1696268.800000000046566,1752262.209999999962747,1893704.909999999916181,12333138.560000002384186
20120307,2319605.980000000447035,2307129.399999999906868,2402888.080000000074506,1697255.559999999823049,1760414.229999999981374,1922285.479999999981374,12409582.730000002309680
20120308,2369173.120000000577420,2322049.600000000093132,2424690.799999999813735,1709096.679999999934807,1776265.379999999888241,1919395.310000000055879,12520674.890000002458692
20120309,2382941.770000000018626,2334206.799999999813735,2438887.919999999925494,1715017.239999999757856,1770830.700000000186265,1929350.340000000083819,12571238.769999999552965
20120312,2412926.830000000074506,2339732.800000000279397,2463732.880000000353903,1730805.399999999674037,1780794.280000000027940,1948618.140000000130385,12676614.330000001937151
20120313,2483299.930000000167638,2432017.000000000000000,2491620.080000000074506,1733272.300000000046566,1788040.520000000018626,1958894.300000000046566,12887148.130000000819564
20120314,2577232.720000000204891,2402729.199999999720603,2508352.399999999906868,1732285.539999999804422,1787587.629999999888241,1961463.340000000083819,12969654.829999998211861
20120315,2559486.460000000428408,2402176.599999999627471,2494662.320000000298023,1735245.820000000065193,1790757.860000000102445,1966280.290000000037253,12948613.350000001490116
20120316,2559486.460000000428408,2386703.799999999813735,2487056.719999999739230,1730805.399999999674037,1792116.530000000027940,1953756.220000000204891,12909929.129999998956919
20120319,2627411.800000000279397,2400518.799999999813735,2475901.839999999850988,1736725.959999999962747,1795739.649999999906868,1950544.920000000158325,12986846.969999998807907
20120320,2648829.699999999720603,2389466.799999999813735,2503789.040000000037253,1741659.759999999776483,1794833.870000000111759,1946049.100000000093132,13024632.270000001415610
20120321,2633531.199999999720603,2391124.600000000093132,2524577.680000000167638,1754487.639999999897555,1801627.220000000204891,1944764.580000000074506,13050116.920000001788139
20120322,2619762.550000000279397,2392229.799999999813735,2519000.240000000223517,1761888.339999999850988,1796192.539999999804422,1947654.750000000000000,13036732.219999998807907
20120323,2605381.960000000428408,2412123.399999999906868,2511901.680000000167638,1763368.479999999981374,1785323.180000000167638,1950866.050000000046566,13028968.750000001862645
20120326,2653113.279999999795109,2452463.200000000186265,2541817.040000000037253,1773729.459999999962747,1781247.169999999925494,1965316.900000000139698,13167691.050000000745058
20120327,2685852.070000000298023,2439753.399999999906868,2537253.680000000167638,1773236.079999999841675,1750903.539999999804422,1961784.470000000204891,13148787.240000000223517
20120328,2699620.720000000204891,2404387.000000000000000,2530662.159999999683350,1792477.899999999674037,1732787.939999999944121,1964995.770000000018626,13124935.490000000223517
20120329,2665658.050000000279397,2376757.000000000000000,2530662.159999999683350,1821093.939999999711290,1724183.030000000027940,1953113.959999999962747,13071472.140000000596046
20120330,2620680.460000000428408,2419307.200000000186265,2550943.760000000242144,1826027.739999999757856,1731429.270000000018626,1965316.900000000139698,13113709.330000000074506
20120402,2704210.270000000018626,2422622.800000000279397,2534718.479999999981374,1828988.019999999785796,1744563.080000000074506,1970454.979999999981374,13205561.630000000819564
20120403,2750717.710000000428408,2392229.799999999813735,2535225.520000000018626,1819613.800000000046566,1741845.739999999990687,1947654.750000000000000,13187291.320000000298023
20120404,2728993.839999999850988,2372336.199999999720603,2527619.919999999925494,1812213.099999999627471,1738675.510000000009313,1935130.679999999934807,13114973.249999998137355
20120405,2769993.820000000298023,2380625.199999999720603,2566662.000000000000000,1812706.479999999981374,1705614.539999999804422,1948297.010000000009313,13183903.049999998882413
20120409,2781008.740000000223517,2327023.000000000000000,2564633.839999999850988,1797905.079999999841675,1696556.739999999990687,1930955.990000000223517,13098087.390000000596046
20120410,2747046.070000000298023,2265131.799999999813735,2502774.959999999962747,1776689.739999999757856,1666666.000000000000000,1924533.390000000130385,12882845.960000000894070
20120411,2737255.029999999795109,2286130.599999999627471,2522549.520000000018626,1779156.639999999897555,1692933.620000000111759,1920358.699999999953434,12938388.109999999403954
20120412,2722262.500000000000000,2329233.399999999906868,2567169.040000000037253,1781623.539999999804422,1700632.750000000000000,1931277.120000000111759,13032202.350000001490116
20120413,2645464.029999999795109,2312655.399999999906868,2583901.359999999869615,1774716.219999999739230,1687498.939999999944121,1919395.310000000055879,12923635.259999997913837
20120416,2535926.770000000018626,2302155.999999999534339,2620915.279999999795109,1787050.719999999739230,1695198.070000000065193,1945406.840000000083819,12886657.679999999701977
20120417,2665046.109999999869615,2358521.199999999720603,2638154.640000000130385,1824547.599999999627471,1709237.660000000149012,1986832.609999999869615,13182343.819999998435378
20120418,2659232.680000000167638,2348021.799999999813735,2626999.760000000242144,1829974.780000000027940,1705614.539999999804422,1992934.080000000074506,13162781.639999998733401
20120419,2567747.650000000372529,2325365.199999999720603,2614323.760000000242144,1821093.939999999711290,1727806.149999999906868,1982979.050000000046566,13039319.750000000000000
20120420,2504411.859999999869615,2340285.399999999906868,2609253.359999999869615,1828988.019999999785796,1754073.770000000018626,2005458.150000000139698,13042474.559999998658895
20120423,2498904.400000000372529,2321497.000000000000000,2590999.919999999925494,1818133.659999999916181,1746827.530000000027940,1912009.320000000065193,12888375.830000000074506
20120424,2449031.290000000502914,2330891.199999999720603,2597591.439999999944121,1828494.639999999897555,1788946.300000000046566,1855169.310000000055879,12850128.180000001564622
20120425,2666269.990000000223517,2359626.399999999906868,2632070.159999999683350,1848723.219999999739230,1788040.520000000018626,1842002.979999999981374,13136737.269999999552965
20120426,2656172.980000000447035,2396098.000000000000000,2630042.000000000000000,1867471.659999999916181,1817931.260000000009313,1893062.650000000139698,13260782.550000000745058
20120427,2635672.990000000223517,2395545.399999999906868,2634098.320000000298023,1890660.519999999785796,1822007.270000000018626,1895631.690000000176951,13273620.189999999478459
20120430,2552755.120000000577420,2382283.000000000000000,2625985.680000000167638,1882766.439999999711290,1828800.620000000111759,1891778.129999999888241,13164372.989999998360872
20120501,2544493.930000000167638,2419859.799999999813735,2652858.799999999813735,1898061.219999999739230,1836952.640000000130385,1896916.209999999962747,13249146.600000001490116
20120502,2561322.279999999795109,2406044.799999999813735,2672633.359999999869615,1903488.399999999674037,1838764.200000000186265,1894989.429999999934807,13277246.469999998807907
20120503,2543270.050000000279397,2420965.000000000000000,2660464.399999999906868,1910395.719999999739230,1840575.760000000009313,1894347.170000000158325,13270022.100000001490116
20120504,2470755.160000000149012,2372336.199999999720603,2634605.359999999869615,1899541.359999999869615,1823365.939999999944121,1885034.400000000139698,13085642.419999998062849
20120507,2489113.359999999869615,2421517.600000000093132,2605704.080000000074506,1906448.679999999934807,1835593.970000000204891,1900769.770000000018626,13159151.460000000894070
20120508,2483605.900000000372529,2448042.399999999906868,2566662.000000000000000,1902995.019999999785796,1836499.750000000000000,1896273.949999999953434,13134083.019999999552965
20120509,2487889.480000000447035,2487829.600000000093132,2540802.959999999962747,1894114.179999999934807,1822913.050000000046566,1895631.690000000176951,13129184.960000000894070
20120510,2493702.910000000149012,2502197.200000000186265,2566662.000000000000000,1909902.339999999850988,1836499.750000000000000,1900769.770000000018626,13209737.969999998807907
20120511,2477180.529999999795109,2517670.000000000000000,2552464.880000000353903,1911382.479999999981374,1864126.039999999804422,1908155.760000000009313,13230983.689999999478459
20120514,2440158.160000000149012,2496118.600000000093132,2529141.040000000037253,1896581.079999999841675,1851898.010000000009313,1896916.209999999962747,13110817.099999997764826
20120515,2417822.350000000093132,2487277.000000000000000,2467789.200000000186265,1888687.000000000000000,1859144.250000000000000,1905907.850000000093132,13026631.650000000372529
20120516,2386919.380000000353903,2491145.199999999720603,2472859.600000000093132,1883259.820000000065193,1851445.120000000111759,1900769.770000000018626,12986402.890000000596046
20120517,2317158.220000000204891,2449700.199999999720603,2384127.600000000093132,1853163.639999999897555,1873636.729999999981374,1980731.140000000130385,12858521.530000001192093
20120518,2318382.100000000093132,2420965.000000000000000,2385648.719999999739230,1827014.500000000000000,1880882.970000000204891,2004815.890000000130385,12837713.180000001564622
20120521,2453314.870000000577420,2453015.799999999813735,2414042.959999999962747,1838362.239999999757856,1872278.060000000288710,2024404.820000000065193,13055422.750000000000000
20120522,2434650.699999999720603,2453015.799999999813735,2447000.560000000055879,1830468.159999999916181,1874542.510000000009313,2046562.790000000037253,13086244.519999999552965
20120523,2494008.880000000353903,2453015.799999999813735,2447000.560000000055879,1830468.159999999916181,1874542.510000000009313,2046562.790000000037253,13145602.699999999254942
20120524,2471061.130000000353903,2455778.799999999813735,2520521.359999999869615,1864018.000000000000000,1874542.510000000009313,2089594.209999999729916,13275520.009999997913837
20120525,2457904.419999999925494,2459094.399999999906868,2506831.279999999795109,1856123.919999999692664,1877259.850000000093132,2097301.330000000074506,13254519.199999999254942
20120529,2501352.160000000149012,2513249.199999999720603,2524070.640000000130385,1861551.099999999627471,1890846.550000000046566,2109183.140000000596046,13400256.790000000968575
20120530,2531643.189999999944121,2497776.399999999906868,2520521.359999999869615,1851683.500000000000000,1875901.180000000167638,2101476.019999999552965,13379005.649999998509884
20120531,2525217.820000000298023,2525959.000000000000000,2501760.880000000353903,1843789.419999999692664,1885864.760000000009313,2113678.959999999962747,13396274.839999999850988
20120601,2452090.990000000223517,2453568.399999999906868,2431789.359999999869615,1803332.259999999776483,1858238.470000000204891,2105008.450000000186265,13104031.929999999701977
20120604,2466471.580000000074506,2454120.999999999534339,2472352.560000000055879,1816653.519999999785796,1872278.060000000288710,2119138.169999999925494,13201018.890000000596046
20120605,2460046.210000000428408,2477882.800000000279397,2480465.200000000186265,1806785.919999999692664,1865937.600000000093132,2103402.799999999813735,13194524.530000001192093
20120606,2497986.490000000223517,2516012.200000000186265,2565647.919999999925494,1840829.139999999897555,1891752.330000000074506,2117211.390000000596046,13429443.470000000670552
20120607,2498904.400000000372529,2521538.200000000186265,2598098.479999999981374,1832441.679999999934807,1885864.760000000009313,2115284.610000000335276,13452136.129999998956919
20120608,2536538.710000000428408,2555246.799999999813735,2654379.919999999925494,1856123.919999999692664,1922095.959999999962747,2190750.160000000149012,13715139.469999998807907
20120611,2496762.609999999869615,2530932.399999999906868,2603675.919999999925494,1841815.899999999674037,1927530.640000000130385,2168592.190000000409782,13569313.660000000149012
20120612,2518486.480000000447035,2562983.200000000186265,2648802.479999999981374,1855137.159999999916181,1944740.459999999962747,2174693.660000000149012,13704847.440000001341105
20120613,2501046.189999999944121,2554694.199999999720603,2584408.399999999906868,1842802.659999999916181,1947004.910000000149012,2153820.209999999962747,13583780.570000000298023
20120614,2498292.460000000428408,2607191.199999999720603,2644746.159999999683350,1868458.419999999692664,1981424.550000000046566,2171803.490000000223517,13771920.280000001192093
20120615,2509613.350000000093132,2602217.800000000279397,2630042.000000000000000,1877339.259999999776483,1972366.750000000000000,2175657.049999999813735,13767240.210000000894070
20120618,2560404.370000000577420,2602770.399999999906868,2652858.799999999813735,1874378.979999999981374,1984594.780000000027940,2187538.860000000335276,13862550.190000001341105
