代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13939816.940000001341105
真實報酬,3939816.940000001341105

夏普值報酬,0.385281694000000
夏普值風險,0.100810132582930
夏普值,3.821854848599214

預期報酬,16110.808645935543609
風險,230888.985438501345925
趨勢值,0.069777294119674
找到最佳解世代,2006
找到最佳解實驗#,1
找到最佳解次數,30

stock[index](rank)
投資組合檔數,6
BA[2](4),DD[7](12),GS[8](9),TRV[22](13),UNH[23](18),V[25](1),
20121112,1764605.140000000130385,1657368.710000000195578,1718859.159999999683350,1670816.719999999972060,1570115.620000000111759,1777875.280000000027940,10159644.629999998956919
20121113,1756702.960000000195578,1659794.090000000316650,1707570.189999999711290,1665933.520000000018626,1569814.839999999850988,1767945.879999999888241,10127765.480000000447035
20121114,1707134.740000000223517,1627859.920000000391155,1674876.159999999683350,1662026.959999999729916,1541541.520000000018626,1737164.739999999990687,9950608.040000000968575
20121115,1701148.240000000223517,1605627.270000000251457,1692469.359999999636784,1668130.959999999729916,1541541.520000000018626,1737661.209999999962747,9946582.559999998658895
20121116,1694682.820000000065193,1596734.210000000195578,1698333.759999999776483,1676188.239999999990687,1561092.219999999972060,1771421.169999999925494,9998456.419999999925494
20121119,1723178.560000000055879,1656964.480000000214204,1734399.819999999832362,1697918.479999999981374,1591471.000000000000000,1807663.479999999748543,10211599.820000000298023
20121120,1737067.240000000223517,1657368.710000000195578,1731321.009999999776483,1700360.079999999841675,1598388.939999999944121,1816599.940000000176951,10241109.919999999925494
20121121,1751674.300000000279397,1658985.630000000121072,1725603.219999999739230,1714521.359999999869615,1610119.360000000102445,1820571.699999999953434,10281479.569999998435378
20121123,1765802.439999999944121,1691324.030000000260770,1763868.429999999934807,1740158.159999999683350,1621849.780000000027940,1838444.620000000111759,10421451.460000000894070
20121126,1778493.820000000065193,1703046.700000000186265,1773104.859999999636784,1730147.599999999860302,1610119.360000000102445,1827522.280000000027940,10422438.619999999180436
20121127,1783761.939999999944121,1710322.840000000316650,1736012.529999999795109,1729415.119999999878928,1581846.040000000037253,1822061.110000000102445,10363423.580000000074506
20121128,1774183.540000000270084,1719620.130000000121072,1749500.649999999674037,1732589.199999999720603,1586658.520000000018626,1828018.750000000000000,10390574.789999999105930
20121129,1774901.920000000158325,1726896.270000000251457,1740704.049999999813735,1737960.719999999972060,1635084.100000000093132,1839437.559999999823049,10454988.620000001043081
20121130,1778733.280000000260770,1737810.480000000214204,1726922.709999999962747,1729170.959999999729916,1635986.439999999944121,1858303.419999999925494,10466931.290000000968575
20121203,1772507.320000000065193,1686877.500000000000000,1735865.919999999925494,1732345.039999999804422,1620947.439999999944121,1844898.729999999748543,10393445.950000001117587
20121204,1773225.700000000186265,1686473.270000000251457,1709182.899999999674037,1722090.319999999832362,1610420.139999999897555,1831990.509999999776483,10333386.839999999850988
20121205,1768915.420000000158325,1697791.710000000195578,1717246.449999999720603,1806813.839999999850988,1619443.540000000037253,1837948.150000000139698,10448163.110000001266599
20121206,1771549.480000000214204,1706280.540000000270084,1718272.719999999739230,1786060.239999999990687,1613728.719999999972060,1842912.849999999860302,10438808.550000000745058
20121207,1787353.840000000083819,1744278.160000000149012,1709036.289999999571592,1791920.079999999841675,1620345.879999999888241,1843905.790000000037253,10496844.039999999105930
20121210,1808665.780000000260770,1762064.280000000260770,1715487.129999999888241,1790699.280000000027940,1629970.839999999850988,1845395.199999999953434,10552286.509999999776483
20121211,1815610.119999999878928,1787530.770000000251457,1742609.979999999748543,1792896.719999999972060,1647115.300000000046566,1848374.019999999785796,10634140.910000000149012
20121212,1807229.020000000018626,1793189.990000000223517,1731321.009999999776483,1789966.799999999813735,1661853.520000000018626,1835465.799999999813735,10619030.140000000596046
20121213,1779691.119999999878928,1786318.080000000074506,1737332.019999999785796,1788013.520000000018626,1635685.660000000149012,1827025.809999999823049,10554070.210000000894070
20121214,1772507.320000000065193,1808550.730000000214204,1749940.479999999748543,1791431.760000000009313,1625759.919999999925494,1822557.580000000074506,10570751.790000000968575
20121217,1787593.300000000279397,1831591.840000000316650,1810490.409999999683350,1811452.879999999888241,1635084.100000000093132,1850856.370000000111759,10727072.900000002235174
20121218,1808426.320000000065193,1887779.810000000288710,1873239.489999999757856,1814871.119999999878928,1652830.120000000111759,1870715.169999999925494,10907866.029999999329448
20121219,1808186.860000000335276,1866759.850000000093132,1865615.769999999785796,1792896.719999999972060,1638994.239999999990687,1851352.839999999850988,10823810.279999999329448
20121220,1824709.600000000093132,1870397.920000000391155,1901828.439999999711290,1802418.959999999729916,1668169.900000000139698,1892559.849999999860302,10960088.669999999925494
20121221,1823991.220000000204891,1841697.590000000316650,1883062.359999999636784,1778002.959999999729916,1655236.360000000102445,1871211.639999999897555,10853206.130000000819564
20121224,1819202.020000000018626,1852611.800000000046566,1869867.459999999962747,1766771.599999999860302,1649822.320000000065193,1876672.809999999823049,10834952.009999999776483
20121226,1820399.320000000065193,1866355.620000000344589,1864296.279999999795109,1764574.159999999683350,1630873.179999999934807,1858799.889999999897555,10805302.450000001117587
20121227,1815849.580000000074506,1848973.730000000214204,1857112.389999999897555,1753586.959999999729916,1637490.339999999850988,1854331.660000000149012,10767348.660000000149012
20121228,1788551.140000000130385,1820273.400000000139698,1840252.239999999757856,1739425.679999999701977,1620045.100000000093132,1844898.729999999748543,10653450.289999999105930
20121231,1804594.960000000195578,1861100.630000000121072,1870160.679999999934807,1753586.959999999729916,1631474.739999999990687,1881637.509999999776483,10802559.480000000447035
20130102,1845542.619999999878928,1902736.320000000298023,1930270.779999999795109,1778979.599999999860302,1640498.139999999897555,1928802.160000000149012,11026833.620000001043081
20130103,1855121.020000000018626,1908395.540000000270084,1919714.859999999636784,1792652.559999999823049,1563799.239999999990687,1930291.570000000065193,10969978.789999999105930
20130104,1860389.140000000130385,1935883.180000000167638,1972054.629999999655411,1808278.799999999813735,1566807.040000000037253,1945682.139999999897555,11089098.929999999701977
20130107,1823033.380000000121072,1933862.030000000260770,1968389.379999999655411,1783862.799999999813735,1566807.040000000037253,1959583.299999999813735,11035541.929999999701977
20130108,1775141.380000000121072,1905565.930000000167638,1950649.570000000065193,1787036.879999999888241,1546053.219999999972060,1977952.690000000176951,10942403.669999999925494
20130109,1838119.360000000335276,1928607.040000000270084,1969269.039999999571592,1805348.879999999888241,1575228.879999999888241,2008237.360000000102445,11124814.559999998658895
20130110,1846021.540000000270084,1948010.080000000074506,2013985.089999999850988,1817801.039999999804422,1597486.600000000093132,1992350.320000000065193,11215658.669999999925494
20130111,1799805.760000000009313,1949222.770000000251457,2010466.449999999720603,1827567.439999999711290,1588763.979999999981374,2000293.839999999850988,11176124.240000000223517
20130114,1833090.700000000186265,1973476.570000000298023,1995805.449999999720603,1830009.039999999804422,1605006.100000000093132,1993839.729999999748543,11231231.590000001713634
20130115,1842429.640000000130385,1962562.360000000102445,1987888.509999999776483,1844902.799999999813735,1612826.379999999888241,1991357.379999999888241,11241971.070000000298023
20130116,1780170.040000000270084,1937500.100000000093132,2068524.009999999776483,1844658.639999999897555,1614029.500000000000000,1988378.559999999823049,11233264.849999999627471
20130117,1802200.360000000335276,1946393.160000000149012,2067351.129999999655411,1853204.239999999990687,1636287.219999999972060,1984406.799999999813735,11289846.910000000149012
20130118,1796932.240000000223517,1945584.700000000186265,2117784.969999999739230,1863214.799999999813735,1641099.700000000186265,1964548.000000000000000,11329168.410000000149012
20130122,1775859.760000000009313,1954477.760000000242144,2139776.469999999739230,1903257.039999999804422,1685013.580000000074506,1973980.929999999934807,11432369.539999999105930
20130123,1778972.740000000223517,1961753.900000000139698,2134058.679999999701977,1895688.079999999841675,1681705.000000000000000,1973980.929999999934807,11426163.330000000074506
20130124,1803637.119999999878928,1981965.400000000139698,2125262.080000000074506,1906675.280000000027940,1691029.179999999934807,1980435.040000000037253,11489008.100000001490116
20130125,1796692.780000000260770,1990858.460000000195578,2117931.580000000074506,1913023.439999999711290,1685615.139999999897555,1983910.330000000074506,11488035.730000000447035
20130128,1772028.400000000139698,1981561.170000000391155,2113386.669999999925494,1888607.439999999711290,1678697.200000000186265,1940717.440000000176951,11375002.319999998435378
20130129,1763647.300000000279397,1999347.290000000270084,2156636.620000000111759,1899838.799999999813735,1692833.860000000102445,1944689.199999999953434,11456997.070000000298023
20130130,1786156.540000000270084,1992475.380000000121072,2157369.669999999925494,1894223.119999999878928,1686818.260000000009313,1923837.459999999962747,11440884.429999999701977
20130131,1768915.420000000158325,1853824.490000000223517,2167778.980000000447035,1915709.199999999720603,1660650.400000000139698,1960079.769999999785796,11326962.259999999776483
20130201,1792861.420000000158325,1876057.140000000130385,2197687.419999999925494,1950624.079999999841675,1677494.080000000074506,1968023.290000000037253,11462751.429999999701977
20130204,1801003.060000000055879,1849782.190000000176951,2162794.240000000223517,1904477.839999999850988,1676892.520000000018626,1944192.729999999748543,11339146.580000000074506
20130205,1817286.340000000083819,1859887.940000000176951,2205750.969999999739230,1920348.239999999990687,1737650.080000000074506,1979938.570000000065193,11520866.140000000596046
20130206,1826864.740000000223517,1872823.300000000046566,2215573.839999999850988,1927917.199999999720603,1725919.660000000149012,1996322.080000000074506,11565424.820000000298023
20130207,1854163.180000000400469,1853824.490000000223517,2202965.379999999888241,1931823.760000000009313,1715993.919999999925494,1949653.900000000139698,11508428.630000000819564
20130208,1833330.160000000149012,1866355.620000000344589,2222611.120000000111759,1925475.599999999860302,1736747.739999999990687,1958590.360000000102445,11543114.599999999627471
20130211,1816807.420000000158325,1869589.460000000195578,2231994.160000000149012,1934021.199999999720603,1718099.379999999888241,1940220.969999999972060,11510736.590000001713634
20130212,1819680.939999999944121,1885758.660000000149012,2259410.230000000447035,1950868.239999999990687,1714790.800000000046566,1946178.610000000102445,11576691.480000000447035
20130213,1790706.280000000260770,1899906.710000000195578,2265421.240000000223517,1953065.679999999701977,1721407.959999999962747,1920858.639999999897555,11551370.510000001639128
20130214,1794298.180000000400469,1870397.920000000391155,2286093.250000000000000,1961611.280000000027940,1715993.919999999925494,1935752.739999999990687,11564151.290000000968575
20130215,1796692.780000000260770,1851399.110000000102445,2272311.910000000149012,1962832.079999999841675,1724114.979999999981374,1961072.709999999962747,11568427.570000000298023
20130219,1787593.300000000279397,1853824.490000000223517,2325971.169999999925494,1967959.439999999711290,1704263.500000000000000,1956108.009999999776483,11595723.910000000149012
20130220,1790706.280000000260770,1821486.090000000316650,2275097.500000000000000,1955995.599999999860302,1660650.400000000139698,1928802.160000000149012,11432742.030000001192093
20130221,1820159.860000000335276,1775403.870000000344589,2212055.199999999254942,1962587.919999999692664,1661552.739999999990687,1954122.129999999888241,11385885.719999998807907
20130222,1835724.760000000009313,1806529.580000000074506,2259117.009999999776483,1977970.000000000000000,1638392.679999999934807,1978945.629999999888241,11496683.660000000149012
20130225,1796692.780000000260770,1763681.200000000186265,2164700.169999999925494,1934997.839999999850988,1603201.419999999925494,1934759.799999999813735,11198037.210000000894070
20130226,1811539.300000000279397,1778233.480000000214204,2169831.519999999552965,1954286.479999999981374,1595681.919999999925494,1959086.830000000074506,11268663.529999999329448
20130227,1852486.960000000195578,1831187.610000000102445,2223344.169999999925494,1972354.319999999832362,1620345.879999999888241,1984406.799999999813735,11484129.740000002086163
20130228,1841471.800000000279397,1825932.620000000344589,2195634.879999999888241,1963564.559999999823049,1607713.120000000111759,1969016.229999999748543,11403337.210000000894070
20130301,1850571.280000000260770,1831187.610000000102445,2206923.849999999627471,1970156.879999999888241,1609818.580000000074506,1962065.650000000139698,11430727.849999999627471
20130304,1846021.540000000270084,1837655.290000000270084,2231114.500000000000000,1966006.159999999683350,1603802.979999999981374,1979938.570000000065193,11464543.040000000968575
20130305,1883616.760000000009313,1853824.490000000223517,2242550.080000000074506,1988957.199999999720603,1609217.020000000018626,1989371.500000000000000,11567541.049999998882413
20130306,1893674.080000000074506,1882929.050000000046566,2259703.449999999254942,1979434.959999999729916,1612525.600000000093132,1999300.900000000139698,11627572.039999999105930
20130307,1940847.700000000186265,1870802.150000000139698,2296209.339999999850988,1982609.039999999804422,1618240.419999999925494,1992350.320000000065193,11701062.970000000670552
20130308,1945157.980000000214204,1886567.120000000344589,2242843.299999999813735,1993596.239999999990687,1618541.200000000186265,1994336.199999999953434,11681046.039999999105930
20130311,1986105.640000000130385,1899098.250000000000000,2247534.820000000298023,1996037.839999999850988,1630572.400000000139698,2000790.309999999823049,11760143.260000001639128
20130312,2015319.760000000009313,1913650.530000000260770,2226276.370000000111759,1995793.679999999701977,1649220.760000000009313,1983413.860000000102445,11783678.959999999031425
20130313,2029447.900000000139698,1911629.380000000121072,2227156.029999999329448,2005071.760000000009313,1638693.459999999962747,1977952.690000000176951,11789955.219999998807907
20130314,2026334.920000000158325,1938308.560000000288710,2258090.740000000223517,2010931.599999999860302,1646212.959999999962747,1994336.199999999953434,11874218.980000000447035
20130315,2069677.180000000400469,1946393.160000000149012,2270112.759999999776483,2008978.319999999832362,1646212.959999999962747,1968023.290000000037253,11909401.669999998062849
20130318,2039744.680000000400469,1915267.450000000186265,2227742.469999999739230,2015082.319999999832362,1654334.020000000018626,1962065.650000000139698,11814240.589999999850988
20130319,2047646.860000000335276,1910820.920000000391155,2182146.759999999776483,2031196.879999999888241,1659447.280000000027940,1936249.209999999962747,11767511.910000000149012
20130320,2044294.420000000158325,1924968.970000000204891,2201059.449999999254942,2047067.280000000027940,1650724.660000000149012,1977456.219999999972060,11845575.000000001862645
20130321,2019390.580000000074506,1869589.460000000195578,2131419.699999999254942,2044869.839999999850988,1656138.700000000186265,1958590.360000000102445,11680002.639999998733401
20130322,2031124.119999999878928,1886971.350000000093132,2149306.120000000111759,2043404.879999999888241,1638091.900000000139698,1986889.150000000139698,11735791.519999999552965
20130325,2031842.500000000000000,1858675.250000000000000,2142122.230000000447035,2035591.760000000009313,1650123.100000000093132,2035543.209999999962747,11753902.050000000745058
20130326,2074226.920000000158325,1842101.820000000298023,2148426.459999999962747,2035347.599999999860302,1673884.719999999972060,2078736.099999999860302,11852727.619999999180436
20130327,2064169.600000000093132,1829570.690000000176951,2167485.759999999776483,2035591.760000000009313,1703060.379999999888241,2093630.199999999953434,11893512.389999998733401
20130328,2055788.500000000000000,1832804.530000000260770,2157369.669999999925494,2055612.879999999888241,1720806.400000000139698,2108027.830000000074506,11930413.810000000521541
20130401,2041420.900000000139698,1805721.120000000344589,2141095.959999999962747,2049753.039999999804422,1773743.679999999934807,2077246.690000000176951,11888985.390000000596046
20130402,2013643.540000000270084,1781871.550000000046566,2150479.000000000000000,2060984.399999999674037,1857059.739999999990687,2084693.739999999990687,11948735.969999998807907
20130403,2020108.960000000195578,1784701.160000000149012,2102537.529999999329448,2044137.359999999869615,1854954.280000000027940,2044976.139999999897555,11851419.429999999701977
20130404,2034237.100000000093132,1809359.190000000176951,2096379.909999999916181,2059275.280000000027940,1865782.360000000102445,2066324.349999999860302,11931362.189999999478459
20130405,2063451.220000000204891,1778637.710000000195578,2106642.609999999403954,2060984.399999999674037,1867887.820000000065193,2049940.839999999850988,11927548.599999999627471
20130408,2077339.900000000139698,1766106.580000000074506,2108548.540000000037253,2068797.520000000018626,1861571.439999999944121,2063842.000000000000000,11946209.980000000447035
20130409,2088355.060000000055879,1809763.420000000391155,2148133.240000000223517,2081982.159999999683350,1870294.060000000055879,2044976.139999999897555,12043508.080000001937151
20130410,2102962.120000000111759,1832400.300000000046566,2191236.580000000074506,2070750.799999999813735,1877212.000000000000000,2072778.459999999962747,12147344.260000001639128
20130411,2119963.780000000260770,1834017.220000000204891,2185518.790000000037253,2101270.799999999813735,1894356.459999999962747,2080721.979999999748543,12215853.030000001192093
20130412,2128584.339999999850988,1827549.540000000270084,2186251.839999999850988,2106154.000000000000000,1895860.360000000102445,2057387.889999999897555,12201791.970000000670552
20130415,2077818.820000000065193,1737406.250000000000000,2147253.580000000074506,2068309.199999999720603,1852548.040000000037253,2001783.250000000000000,11885123.140000000596046
20130416,2080692.340000000083819,1742661.240000000223517,2112653.620000000111759,2113234.639999999664724,1889243.200000000186265,2044479.669999999925494,11982968.709999999031425
20130417,2075903.140000000130385,1744278.160000000149012,2061340.119999999646097,2077098.959999999729916,1865782.360000000102445,2013698.530000000027940,11838105.269999999552965
20130418,2062253.920000000158325,1737406.250000000000000,2032018.119999999646097,2053415.439999999711290,1795399.839999999850988,2003272.660000000149012,11683770.229999998584390
20130419,2106314.559999999590218,1758830.440000000176951,2033777.439999999711290,2070750.799999999813735,1805927.139999999897555,2035046.739999999990687,11810651.119999999180436
20130422,2081889.640000000130385,1783892.700000000186265,2045506.239999999990687,2065135.119999999878928,1781263.179999999934807,2029585.570000000065193,11787276.450000001117587
20130423,2111582.680000000633299,1822698.780000000260770,2095646.859999999636784,2108351.439999999944121,1760810.139999999897555,2056394.949999999953434,11955488.849999999627471
20130424,2175039.580000000074506,1851803.340000000316650,2110161.250000000000000,2096387.599999999860302,1768329.639999999897555,2073771.400000000139698,12075496.810000000521541
20130425,2195154.219999999739230,1955690.450000000186265,2122329.879999999888241,2081982.159999999683350,1784872.540000000037253,2094623.139999999897555,12234656.390000000596046
20130426,2223410.500000000000000,1923756.280000000260770,2112800.230000000447035,2079052.239999999990687,1789083.459999999962747,2075757.280000000027940,12203863.990000000223517
20130429,2200661.799999999813735,1949627.000000000000000,2127461.230000000447035,2087109.520000000018626,1805024.800000000046566,2084197.269999999785796,12254085.620000001043081
20130430,2188928.259999999776483,1952052.380000000121072,2141535.790000000037253,2085400.399999999674037,1802618.560000000055879,2091147.849999999860302,12261687.239999998360872
20130501,2183420.680000000633299,1908395.540000000270084,2090808.729999999981374,2053415.439999999711290,1796302.179999999934807,2060863.179999999934807,12093209.750000000000000
20130502,2208085.059999999590218,1906778.620000000344589,2106349.389999999664724,2061228.559999999823049,1789083.459999999962747,2177037.160000000149012,12248566.250000000000000
20130503,2244722.440000000409782,1954881.990000000223517,2131273.089999999850988,2085400.399999999674037,1772239.780000000027940,2228670.040000000037253,12417191.739999998360872
20130506,2255498.139999999664724,1957711.600000000093132,2176428.969999999739230,2082958.799999999813735,1810739.620000000111759,2220230.049999999813735,12503571.179999999701977
20130507,2269865.740000000223517,1988433.080000000074506,2189184.040000000037253,2100294.159999999683350,1819763.020000000018626,2231648.860000000335276,12599192.899999998509884
20130508,2251906.240000000223517,1986816.160000000149012,2202965.379999999888241,2131058.319999999832362,1880219.800000000046566,2225194.750000000000000,12678164.650000000372529
20130509,2265555.459999999962747,2010261.500000000000000,2177748.459999999962747,2111037.199999999720603,1865180.800000000046566,2216754.759999999776483,12646542.179999999701977
20130510,2256695.440000000409782,1983582.320000000298023,2185958.620000000111759,2111769.679999999701977,1892251.000000000000000,2218740.639999999664724,12649001.699999999254942
20130513,2269147.360000000335276,1977518.870000000344589,2193728.949999999254942,2112013.839999999850988,1876610.439999999944121,2220726.520000000018626,12649749.979999998584390
20130514,2301474.459999999962747,2010665.730000000214204,2265421.240000000223517,2146196.239999999757856,1856758.959999999962747,2238102.969999999739230,12818623.599999997764826
20130515,2323265.320000000298023,2034515.300000000046566,2281401.730000000447035,2143266.319999999832362,1853149.600000000093132,2255975.889999999664724,12891578.160000000149012
20130516,2312729.080000000074506,2020771.480000000214204,2264688.189999999478459,2121047.759999999776483,1869090.939999999944121,2231648.860000000335276,12819980.309999998658895
20130517,2368762.719999999739230,2062002.940000000176951,2319080.500000000000000,2112013.839999999850988,1890145.540000000037253,2290728.790000000037253,13042738.329999998211861
20130520,2363973.520000000484288,2049876.040000000270084,2329636.419999999925494,2088818.639999999897555,1881723.700000000186265,2253990.009999999776483,12968022.330000000074506
20130521,2364691.900000000372529,2059577.560000000288710,2356466.049999999813735,2041939.919999999692664,1891047.879999999888241,2253493.540000000037253,12967220.849999997764826
20130522,2345056.180000000633299,2021579.940000000176951,2336087.259999999776483,2045358.159999999683350,1873301.860000000102445,2236117.089999999850988,12857504.490000000223517
20130523,2388637.900000000372529,2020771.480000000214204,2307791.529999999329448,2038765.839999999850988,1875708.100000000093132,2210797.120000000111759,12842475.969999998807907
20130524,2394624.400000000372529,2019558.790000000270084,2326997.439999999478459,2041207.439999999711290,1866684.700000000186265,2239592.379999999888241,12888669.149999998509884
20130528,2397258.459999999962747,2017133.410000000149012,2356026.219999999739230,2031929.359999999869615,1905184.540000000037253,2234627.679999999701977,12942163.669999998062849
20130529,2372833.540000000037253,2011474.190000000176951,2387840.589999999850988,2042916.559999999823049,1905485.320000000065193,2211293.589999999850988,12931847.790000000968575
20130530,2407555.240000000223517,2003389.590000000316650,2409538.870000000111759,2064646.799999999813735,1944887.500000000000000,2247039.429999999701977,13077061.429999999701977
20130531,2371157.320000000298023,1983582.320000000298023,2376258.400000000372529,2044137.359999999869615,1883829.160000000149012,2211293.589999999850988,12870262.150000000372529
20130603,2412344.440000000409782,1976710.410000000149012,2397956.679999999701977,2045114.000000000000000,1888942.419999999925494,2236613.559999999590218,12957685.510000001639128
20130604,2385285.459999999962747,1992879.610000000102445,2370394.000000000000000,2046578.959999999729916,1875708.100000000093132,2236613.559999999590218,12907463.689999997615814
20130605,2358465.940000000409782,1937500.100000000093132,2320839.820000000298023,2008001.679999999701977,1857360.520000000018626,2199874.780000000260770,12682046.839999999850988
20130606,2388877.360000000335276,1950839.690000000176951,2341072.000000000000000,1995793.679999999701977,1862473.780000000027940,2226187.689999999944121,12765248.199999999254942
20130607,2454249.940000000409782,1977518.870000000344589,2433876.129999999888241,2037300.879999999888241,1882024.479999999981374,2233634.740000000223517,13018609.040000000968575
20130610,2448263.440000000409782,1976306.180000000167638,2455574.410000000149012,2033882.639999999897555,1915411.060000000055879,2262926.469999999739230,13092368.200000002980232
20130611,2436529.900000000372529,1957307.370000000344589,2394291.429999999701977,2004095.119999999878928,1922930.560000000055879,2230159.450000000186265,12945317.830000001937151
20130612,2415696.879999999888241,1945180.470000000204891,2373032.980000000447035,1988713.039999999804422,1919922.760000000009313,2223705.339999999850988,12866255.469999998807907
20130613,2446347.759999999776483,1994496.530000000260770,2431090.540000000037253,2021674.639999999897555,1929547.720000000204891,2261933.530000000260770,13085094.720000002533197
20130614,2438445.580000000074506,1957711.600000000093132,2388573.639999999664724,2005804.239999999990687,1919020.419999999925494,2245550.020000000018626,12955109.499999998137355
20130617,2467180.780000000260770,1965391.970000000204891,2406020.230000000447035,2032173.520000000018626,1936164.880000000121072,2263422.939999999944121,13070358.320000000298023
20130618,2492324.080000000074506,1992879.610000000102445,2406606.669999999925494,2053171.280000000027940,1975567.060000000288710,2283778.209999999962747,13204330.910000000149012
20130619,2448502.900000000372529,1962966.590000000316650,2368634.679999999701977,2008978.319999999832362,1962934.300000000279397,2266898.229999999981374,13018919.020000001415610
