代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13726677.450000001117587
真實報酬,3726677.450000001117587

夏普值報酬,0.363967745000000
夏普值風險,0.096508201266008
夏普值,3.771365958803701

預期報酬,16009.734580981195904
風險,234017.174862614745507
趨勢值,0.068412647876721
找到最佳解世代,1740
找到最佳解實驗#,1
找到最佳解次數,33

stock[index](rank)
投資組合檔數,6
AAPL[0](2),DIS[6](6),HD[9](1),INTC[11](13),NKE[19](4),UNH[23](3),
20140716,1746836.499999999767169,1693248.919999999692664,1654825.389999999897555,2113832.649999999906868,1666666.000000000000000,1753106.900000000139698,10628520.359999999403954
20140717,1715689.799999999813735,1686900.760000000009313,1652540.359999999869615,2055877.900000000139698,1658432.350000000093132,1781362.400000000139698,10550807.570000000298023
20140718,1740386.000000000000000,1702374.399999999906868,1663550.049999999813735,2055877.900000000139698,1679666.499999999767169,1789943.699999999953434,10631802.549999998882413
20140721,1731355.299999999813735,1700985.739999999757856,1655864.039999999804422,2077839.699999999953434,1664499.249999999767169,1780315.900000000139698,10610863.929999999701977
20140722,1745730.699999999953434,1710309.599999999860302,1673105.630000000121072,2122373.349999999627471,1669266.100000000093132,1801036.600000000093132,10721825.979999998584390
20140723,1791252.799999999813735,1706937.139999999897555,1683076.669999999925494,2104681.899999999906868,1676633.049999999813735,1798734.300000000046566,10761319.859999999403954
20140724,1788303.999999999767169,1722014.019999999785796,1686815.810000000055879,2089430.649999999906868,1703067.399999999674037,1793292.500000000232831,10782928.380000000819564
20140725,1800099.199999999953434,1710706.359999999869615,1683284.399999999906868,2089430.649999999906868,1683999.999999999767169,1772362.500000000232831,10739887.109999999403954
20140728,1824979.699999999720603,1728957.320000000065193,1684115.319999999832362,2088210.549999999813735,1698733.900000000139698,1794757.600000000093132,10819758.389999998733401
20140729,1813184.499999999767169,1710111.219999999972060,1682245.750000000000000,2085770.349999999860302,1692233.649999999674037,1763781.199999999953434,10747330.669999998062849
20140730,1808945.599999999860302,1730147.599999999860302,1698448.690000000176951,2095531.149999999906868,1725168.250000000000000,1736153.600000000093132,10794398.889999998733401
20140731,1761949.099999999860302,1703763.059999999823049,1679545.259999999776483,2067468.849999999860302,1671432.849999999860302,1696386.600000000093132,10580549.719999998807907
20140801,1771716.999999999767169,1693844.059999999823049,1656694.959999999962747,2058318.100000000093132,1663632.550000000046566,1705595.800000000046566,10549806.470000000670552
20140804,1761764.799999999813735,1730742.739999999757856,1662511.399999999906868,2077229.649999999674037,1671866.199999999720603,1721921.199999999953434,10626039.989999998360872
20140805,1753102.699999999953434,1721022.119999999878928,1662511.399999999906868,2002193.500000000000000,1666666.000000000000000,1695130.800000000046566,10500630.519999999552965
20140806,1750153.899999999674037,1717848.040000000037253,1672690.169999999925494,2004023.649999999906868,1671432.849999999860302,1705805.100000000093132,10521957.709999999031425
20140807,1741307.500000000000000,1696423.000000000000000,1671651.520000000018626,1993652.799999999813735,1654098.850000000093132,1658921.900000000139698,10416059.570000000298023
20140808,1746099.299999999813735,1723005.919999999692664,1712366.600000000093132,1988772.399999999906868,1669699.449999999953434,1676921.700000000186265,10516869.370000001043081
20140811,1769136.799999999813735,1735900.619999999878928,1721714.449999999953434,2014394.500000000000000,1669699.449999999953434,1671689.200000000186265,10582539.019999999552965
20140812,1768768.199999999953434,1730147.599999999860302,1722545.370000000111759,2021105.050000000046566,1662765.849999999860302,1679014.699999999953434,10584350.769999999552965
20140813,1792174.299999999813735,1737884.419999999692664,1726699.969999999972060,2080279.899999999906868,1674032.949999999953434,1706014.400000000139698,10717089.939999999478459
20140814,1796966.099999999860302,1757920.799999999813735,1742071.989999999990687,2070519.099999999860302,1674899.649999999906868,1712502.699999999953434,10754884.339999997988343
20140815,1805812.500000000000000,1771212.260000000009313,1738540.579999999841675,2084550.250000000000000,1671432.849999999860302,1705177.199999999953434,10776729.639999998733401
20140818,1827559.899999999906868,1784900.479999999748543,1736463.280000000027940,2099191.449999999720603,1702200.699999999953434,1723386.300000000279397,10873706.109999999403954
20140819,1852808.999999999767169,1787281.040000000037253,1832850.000000000000000,2094921.100000000093132,1701333.999999999767169,1747037.199999999953434,11016236.339999999850988
20140820,1853546.199999999720603,1782321.540000000037253,1885197.959999999962747,2104681.899999999906868,1710001.000000000000000,1746200.000000000232831,11081952.599999999627471
20140821,1853730.499999999767169,1793034.059999999823049,1893507.160000000149012,2144335.149999999906868,1710434.349999999860302,1753316.199999999953434,11148361.419999998062849
20140822,1867368.699999999720603,1795216.239999999757856,1891014.399999999906868,2131524.099999999627471,1718234.649999999906868,1753525.500000000232831,11156887.589999999850988
20140825,1871423.300000000046566,1793034.059999999823049,1894545.810000000055879,2123593.450000000186265,1733835.249999999767169,1763153.300000000046566,11179589.169999999925494
20140826,1859443.799999999813735,1785892.379999999888241,1903478.199999999953434,2122983.399999999906868,1722134.800000000046566,1781571.700000000186265,11175508.280000001192093
20140827,1882296.999999999767169,1792835.679999999934807,1908463.719999999972060,2122373.349999999627471,1727334.999999999767169,1807943.500000000000000,11241252.249999998137355
20140828,1884508.599999999860302,1790058.359999999869615,1921758.440000000176951,2113832.649999999906868,1707834.249999999767169,1807106.300000000279397,11225102.600000001490116
20140829,1889116.099999999860302,1783115.059999999823049,1942323.709999999962747,2130304.000000000000000,1702200.699999999953434,1814222.500000000232831,11261286.069999998435378
20140902,1903860.099999999860302,1801366.019999999785796,1893507.160000000149012,2108952.250000000000000,1717801.300000000046566,1808152.800000000046566,11233643.630000000819564
20140903,1823505.299999999813735,1804143.339999999850988,1848845.209999999962747,2108952.250000000000000,1707834.249999999767169,1816524.800000000279397,11109809.150000000372529
20140904,1808392.699999999953434,1788272.939999999944121,1868164.100000000093132,2129693.949999999720603,1731668.500000000000000,1822175.900000000139698,11148372.089999999850988
20140905,1824058.199999999953434,1804143.339999999850988,1903062.739999999990687,2135184.399999999906868,1777603.600000000093132,1836617.600000000093132,11280673.879999998956919
20140908,1812815.899999999906868,1796604.899999999906868,1886652.069999999832362,2155316.049999999813735,1785403.900000000139698,1839966.399999999906868,11276763.219999998807907
20140909,1805996.799999999813735,1777560.419999999692664,1847391.100000000093132,2129693.949999999720603,1773270.100000000093132,1853570.900000000139698,11187487.269999999552965
20140910,1861471.099999999860302,1775973.379999999888241,1854038.459999999962747,2136404.500000000000000,1787137.300000000046566,1826152.600000000093132,11241181.339999999850988
20140911,1869396.000000000000000,1784900.479999999748543,1853415.270000000018626,2136404.500000000000000,1772836.749999999767169,1822594.500000000000000,11239551.500000000000000
20140912,1873634.899999999906868,1778949.079999999841675,1845521.530000000027940,2112002.499999999534339,1773270.100000000093132,1803757.500000000232831,11187139.609999999403954
20140915,1873081.999999999767169,1787082.659999999916181,1856738.949999999953434,2107122.099999999627471,1768503.250000000000000,1800618.000000000232831,11193150.959999999031425
20140916,1858890.899999999906868,1790851.879999999888241,1875226.919999999925494,2130914.049999999813735,1759402.899999999906868,1824268.899999999906868,11239559.549999998882413
20140917,1872160.499999999767169,1792042.159999999916181,1894961.270000000018626,2133964.299999999813735,1766336.499999999767169,1820710.800000000046566,11280179.529999999329448
20140918,1876030.800000000046566,1792240.540000000037253,1913033.780000000027940,2145555.250000000000000,1776303.550000000046566,1834106.000000000000000,11337273.919999999925494
20140919,1860733.899999999674037,1795216.239999999757856,1918227.030000000027940,2124203.500000000000000,1772836.749999999767169,1837664.100000000093132,11308885.519999999552965
20140922,1862576.899999999906868,1771410.639999999897555,1908879.179999999934807,2117492.950000000186265,1748569.149999999906868,1837036.199999999953434,11245969.019999999552965
20140923,1891696.299999999813735,1751969.399999999906868,1900569.979999999748543,2099801.500000000000000,1736002.000000000000000,1812338.800000000279397,11192381.980000000447035
20140924,1875293.599999999860302,1774584.719999999972060,1932352.669999999925494,2119933.149999999906868,1751602.600000000093132,1846245.399999999906868,11300016.140000000596046
20140925,1803785.199999999953434,1747208.279999999795109,1909086.910000000149012,2082720.099999999860302,1728201.699999999953434,1803757.500000000232831,11074763.689999999478459
20140926,1856863.599999999860302,1760499.739999999757856,1928613.530000000027940,2090040.699999999720603,1939243.149999999906868,1812548.099999999860302,11387812.820000000298023
20140929,1845068.399999999906868,1762285.159999999916181,1929444.449999999953434,2129083.899999999906868,1931009.500000000000000,1810664.400000000139698,11407559.810000000521541
20140930,1856863.599999999860302,1766252.760000000009313,1905763.229999999748543,2124203.500000000000000,1932742.899999999906868,1805222.600000000093132,11391052.589999999850988
20141001,1827928.500000000000000,1735702.239999999757856,1890806.669999999925494,2073569.350000000093132,1900241.649999999906868,1776548.500000000000000,11204800.910000000149012
20141002,1841198.099999999860302,1721815.639999999897555,1916149.729999999748543,2044897.000000000000000,1934909.649999999906868,1776967.100000000325963,11235941.219999998807907
20141003,1836037.699999999953434,1754746.719999999972060,1943154.630000000121072,2076009.550000000046566,1956577.149999999906868,1800408.699999999953434,11366938.449999999254942
20141006,1836037.699999999953434,1756928.899999999906868,1937338.190000000176951,2080889.949999999953434,1933176.249999999767169,1780943.800000000279397,11325318.790000000968575
20141007,1820003.599999999860302,1728163.799999999813735,1920927.520000000018626,2041846.749999999767169,1908475.299999999813735,1762106.800000000046566,11181527.769999999552965
20141008,1857785.099999999860302,1748001.799999999813735,1954579.780000000027940,2090650.750000000000000,1924942.600000000093132,1812966.700000000186265,11388930.730000000447035
20141009,1861839.699999999720603,1700390.599999999860302,1933391.319999999832362,2050997.499999999767169,1890274.599999999860302,1777804.300000000046566,11214702.019999999552965
20141010,1856495.000000000000000,1711499.879999999888241,1922589.359999999869615,1946678.949999999953434,1889407.899999999906868,1787222.800000000046566,11113897.890000000596046
20141013,1839539.399999999906868,1664682.199999999720603,1882082.009999999776483,1919836.749999999767169,1850406.400000000139698,1757083.600000000093132,10913634.359999999403954
20141014,1820003.599999999860302,1669244.939999999944121,1871695.509999999776483,1960710.099999999860302,1843906.149999999674037,1733432.699999999953434,10898996.999999998137355
20141015,1797703.300000000046566,1628378.659999999916181,1824956.259999999776483,1908245.800000000046566,1845639.550000000046566,1719618.899999999906868,10724546.470000000670552
20141016,1774112.899999999906868,1621633.739999999757856,1846352.449999999953434,1882013.649999999906868,1885941.100000000093132,1787222.800000000046566,10797280.640000000596046
20141017,1800099.199999999953434,1663095.159999999916181,1874603.729999999748543,1914346.299999999813735,1888974.550000000046566,1845617.500000000232831,10986740.439999999478459
20141020,1838617.899999999906868,1696621.379999999888241,1908048.259999999776483,1926547.299999999813735,1926242.650000000139698,1853152.300000000279397,11149233.789999999105930
20141021,1888563.199999999953434,1736694.139999999897555,1956864.810000000055879,1989382.449999999953434,1963944.099999999860302,1903593.600000000093132,11439046.300000000745058
20141022,1898146.799999999813735,1727965.419999999692664,1939000.030000000027940,1968640.750000000000000,1947043.449999999953434,1878896.199999999953434,11359696.649999998509884
20141023,1932057.999999999767169,1745621.239999999757856,1969328.609999999869615,1994262.849999999860302,1958310.549999999813735,1897523.899999999906868,11497109.150000000372529
20141024,1939245.699999999953434,1757920.799999999813735,1973275.479999999748543,2024155.299999999813735,1969577.650000000139698,1918035.300000000046566,11582214.230000000447035
20141027,1937218.399999999906868,1754746.719999999972060,1983246.520000000018626,2025375.400000000139698,1985611.599999999860302,1928291.000000000000000,11614493.640000000596046
20141028,1967259.299999999813735,1784106.959999999962747,2006512.280000000027940,2058318.100000000093132,2003378.949999999720603,1938965.300000000046566,11758544.890000000596046
20141029,1978317.299999999813735,1776171.760000000009313,2002980.870000000111759,2069299.000000000000000,1992545.199999999720603,1945662.899999999906868,11764981.029999999329448
20141030,1971682.500000000000000,1789859.979999999748543,2025831.169999999925494,1987552.299999999813735,2015079.399999999906868,1964918.500000000000000,11754927.849999999627471
20141031,1990481.099999999860302,1812872.059999999823049,2025831.169999999925494,2074789.449999999720603,2014646.050000000046566,1988569.400000000139698,11907193.230000000447035
20141103,2016283.099999999860302,1819418.599999999860302,1996125.780000000027940,2093090.949999999953434,2025046.449999999720603,1985429.900000000139698,11935398.779999999329448
20141104,2001539.099999999860302,1792438.919999999692664,1993425.289999999804422,2107122.099999999627471,2035880.199999999720603,1987941.500000000232831,11918351.109999999403954
20141105,2006330.899999999906868,1805333.619999999878928,1989686.149999999906868,2059538.199999999720603,2051480.800000000046566,2005104.100000000093132,11917477.769999999552965
20141106,2003382.099999999860302,1825171.619999999878928,2021053.380000000121072,2063198.500000000000000,2049747.399999999674037,2013685.399999999906868,11976242.400000000372529
20141107,2009095.399999999906868,1785495.619999999878928,2028531.660000000149012,2048557.299999999813735,2031980.050000000046566,1959267.400000000139698,11862931.429999999701977
20141110,2005777.999999999767169,1781131.260000000009313,2039125.889999999897555,2029035.699999999720603,2057547.699999999720603,1983127.600000000093132,11895750.149999998509884
20141111,2021812.099999999860302,1785098.859999999869615,2038710.429999999934807,2032085.949999999953434,2055814.299999999813735,2002801.800000000046566,11936327.440000001341105
20141112,2050378.599999999860302,1783511.820000000065193,2045980.979999999748543,2036356.300000000046566,2076181.749999999767169,2002592.500000000232831,11995005.949999999254942
20141113,2079313.699999999720603,1795216.239999999757856,2056575.209999999962747,2054657.799999999813735,2082682.000000000000000,2007197.100000000325963,12075646.049999998882413
20141114,2104378.500000000000000,1801366.019999999785796,2040787.729999999748543,2071129.150000000139698,2069248.149999999906868,1990662.400000000139698,12077575.949999999254942
20141117,2100876.799999999813735,1793629.199999999720603,2036425.399999999906868,2088820.600000000093132,2081381.949999999953434,2019127.199999999953434,12120265.149999998509884
20141118,2128153.200000000186265,1791050.260000000009313,1993840.750000000000000,2117492.950000000186265,2090482.300000000046566,2055126.800000000046566,12176150.260000001639128
20141119,2113409.200000000186265,1781924.779999999795109,2008797.310000000055879,2095531.149999999906868,2100882.699999999720603,2027289.900000000139698,12127839.039999999105930
20141120,2143634.399999999441206,1763673.820000000065193,2026869.819999999832362,2193139.149999999906868,2108249.649999999906868,2027080.599999999860302,12262651.439999999478459
20141121,2146583.200000000186265,1764864.099999999860302,2041618.649999999906868,2171177.350000000093132,2110849.750000000000000,2024150.399999999906868,12259247.449999999254942
20141124,2186392.000000000000000,1797001.659999999916181,2044111.410000000149012,2211440.649999999906868,2122550.199999999720603,2028127.100000000325963,12389627.019999999552965
20141125,2167409.099999999627471,1818228.320000000065193,2015236.940000000176951,2215711.000000000000000,2108249.649999999906868,2049057.100000000325963,12373896.109999999403954
20141126,2193211.099999999627471,1823584.579999999841675,2029570.310000000055879,2251093.899999999906868,2119083.399999999906868,2053452.400000000139698,12469999.690000001341105
20141128,2191921.000000000000000,1835289.000000000000000,2064884.410000000149012,2272445.649999999906868,2151584.649999999906868,2064336.000000000000000,12580464.710000000894070
20141201,2120781.200000000186265,1839058.219999999972060,2054082.449999999953434,2267565.250000000000000,2116916.649999999906868,2073335.900000000139698,12471743.669999999925494
20141202,2112672.000000000000000,1854333.479999999748543,2039125.889999999897555,2293797.399999999906868,2124283.600000000093132,2089452.000000000000000,12513668.369999999180436
20141203,2136631.000000000000000,1847191.799999999813735,2048058.280000000027940,2283426.549999999813735,2134250.649999999906868,2109754.100000000093132,12559316.379999998956919
20141204,2128521.799999999813735,1849572.359999999869615,2055536.560000000055879,2285256.700000000186265,2146384.450000000186265,2086103.200000000186265,12551379.070000000298023
20141205,2119491.099999999627471,1860086.500000000000000,2069869.929999999934807,2298067.750000000000000,2152451.350000000093132,2099917.000000000000000,12599887.629999998956919
20141208,2071573.099999999860302,1860880.019999999785796,2086280.600000000093132,2269395.399999999906868,2117350.000000000000000,2091335.700000000186265,12496818.820000000298023
20141209,2103272.700000000186265,1843819.339999999850988,2069869.929999999934807,2250483.850000000093132,2102616.100000000093132,2114358.700000000186265,12484424.620000001043081
20141210,2063279.599999999860302,1817831.559999999823049,2055328.829999999841675,2221811.500000000000000,2116049.949999999720603,2073963.800000000279397,12348269.240000000223517
20141211,2057197.699999999953434,1820212.119999999878928,2082956.919999999925494,2238892.899999999906868,2100449.349999999627471,2087359.000000000232831,12387071.990000000223517
20141212,2022365.000000000000000,1815054.239999999757856,2072778.149999999906868,2210220.549999999813735,2083982.050000000046566,2067056.900000000139698,12271460.890000000596046
20141215,1994720.000000000000000,1803349.820000000065193,2078386.859999999869615,2191309.000000000000000,2067948.099999999860302,2056801.199999999953434,12192518.979999998584390
20141216,1967443.599999999860302,1788868.079999999841675,2016275.590000000083819,2169347.200000000186265,2019846.249999999767169,2006150.599999999860302,11967935.319999998435378
20141217,2016467.399999999906868,1812872.059999999823049,2055328.829999999841675,2210830.600000000093132,2047580.649999999906868,2075010.300000000046566,12218093.840000001713634
20141218,2076180.599999999860302,1837272.799999999813735,2091266.120000000111759,2258414.500000000000000,2103482.799999999813735,2139893.299999999813735,12506514.120000001043081
20141219,2060146.499999999767169,1842827.439999999944121,2117440.100000000093132,2218761.249999999534339,2054947.600000000093132,2145125.799999999813735,12439252.689999997615814
20141222,2081525.299999999813735,1868815.219999999972060,2150053.709999999962747,2270005.450000000186265,2078781.849999999860302,2156637.300000000279397,12605822.830000000074506
20141223,2074153.300000000046566,1878535.839999999850988,2155454.689999999944121,2283426.549999999813735,2079648.550000000046566,2152660.600000000093132,12623883.529999999329448
20141224,2064385.399999999906868,1873179.579999999841675,2151300.089999999850988,2284036.599999999627471,2086582.149999999906868,2149102.500000000465661,12608590.319999998435378
20141226,2100876.799999999813735,1885280.760000000009313,2155246.959999999962747,2290747.149999999906868,2098282.600000000093132,2146381.600000000093132,12676819.869999999180436
20141229,2099402.399999999441206,1894604.619999999878928,2171449.899999999906868,2268175.299999999813735,2108249.649999999906868,2141777.000000000000000,12683662.869999999180436
20141230,2073784.699999999720603,1878734.219999999972060,2166048.919999999925494,2242553.199999999720603,2099149.299999999813735,2152660.600000000093132,12612934.939999999478459
20141231,2034344.499999999767169,1868616.839999999850988,2180590.020000000018626,2213880.849999999627471,2083548.699999999720603,2115823.800000000279397,12496808.709999999031425
20150102,2014992.999999999767169,1859888.119999999878928,2148599.600000000093132,2218151.199999999720603,2059281.100000000093132,2109335.500000000000000,12410252.519999999552965
20150105,1958228.599999999860302,1832710.059999999823049,2103522.189999999944121,2193139.149999999906868,2025913.149999999906868,2074591.700000000186265,12188108.850000001490116
20150106,1958412.899999999906868,1822989.439999999944121,2097082.560000000055879,2152265.799999999813735,2014212.699999999720603,2070405.700000000186265,12115373.100000001490116
20150107,1985873.599999999860302,1841637.159999999916181,2168957.139999999664724,2197409.500000000000000,2055814.299999999813735,2091545.000000000232831,12341240.699999999254942
20150108,2062173.799999999813735,1860681.639999999897555,2216942.770000000018626,2238282.849999999627471,2103049.450000000186265,2191381.100000000093132,12672515.609999997541308
20150109,2064385.399999999906868,1869807.119999999878928,2178928.180000000167638,2242553.199999999720603,2080081.899999999906868,2170869.700000000186265,12606629.500000000000000
20150112,2013518.599999999860302,1873973.099999999860302,2169164.870000000111759,2232792.399999999906868,2077048.449999999953434,2146381.600000000093132,12512883.019999999552965
20150113,2031395.699999999953434,1888454.839999999850988,2154831.500000000000000,2226691.899999999906868,2058847.749999999767169,2157265.199999999720603,12517490.889999998733401
20150114,2023655.099999999860302,1869410.359999999869615,2132188.930000000167638,2217541.149999999906868,2030679.999999999767169,2162707.000000000000000,12436186.540000000968575
20150115,1968733.699999999720603,1871790.919999999692664,2098328.939999999944121,2207780.349999999627471,2011179.249999999767169,2186357.899999999906868,12344175.059999998658895
20150116,1953436.799999999813735,1888256.459999999962747,2162932.970000000204891,2223641.649999999906868,2015079.399999999906868,2213776.200000000186265,12457127.480000000447035
20150120,2003750.699999999953434,1879527.739999999757856,2144860.459999999962747,2201679.850000000093132,2028513.250000000000000,2210636.700000000186265,12468972.699999999254942
20150121,2019047.599999999860302,1868220.079999999841675,2150676.899999999906868,2225471.799999999813735,2026346.499999999767169,2288077.699999999720603,12577844.579999998211861
20150122,2071573.099999999860302,1887661.320000000065193,2203440.319999999832362,2251703.949999999720603,2077048.449999999953434,2382890.600000000093132,12874321.739999998360872
20150123,2082262.500000000000000,1879130.979999999748543,2188899.220000000204891,2223641.649999999906868,2083548.699999999720603,2344170.100000000093132,12801657.149999998509884
20150126,2084474.099999999860302,1884090.479999999748543,2209464.489999999757856,2184598.450000000186265,2087882.199999999953434,2336007.399999999906868,12786521.119999999180436
20150127,2011491.299999999813735,1864252.479999999748543,2184536.889999999664724,2085770.349999999860302,2047580.649999999906868,2302519.400000000372529,12496155.069999998435378
20150128,2125204.399999999441206,1838463.079999999841675,2175812.229999999981374,2060758.300000000046566,2022012.999999999767169,2270077.899999999906868,12492332.909999998286366
20150129,2191368.099999999627471,1849373.979999999748543,2235638.470000000204891,2086990.449999999953434,2055814.299999999813735,2289542.800000000279397,12708732.099999999627471
20150130,2159299.899999999441206,1804540.099999999860302,2169164.870000000111759,2015614.599999999860302,1999045.449999999953434,2223822.600000000093132,12371491.519999997690320
20150202,2186392.000000000000000,1823782.959999999962747,2169372.600000000093132,2052827.649999999906868,1991678.500000000000000,2245589.800000000279397,12469647.510000001639128
20150203,2186760.599999999627471,1866831.419999999692664,2227744.729999999981374,2055877.900000000139698,2022879.699999999953434,2256473.400000000372529,12616571.750000000000000
20150204,2203531.899999999441206,2009268.260000000009313,2252049.139999999664724,2049777.399999999906868,2005112.350000000093132,2258775.700000000186265,12778518.750000000000000
20150205,2210535.299999999813735,2036247.939999999944121,2264097.479999999981374,2070519.099999999860302,2022446.350000000093132,2277612.699999999720603,12881462.869999999180436
20150206,2191921.000000000000000,2023948.379999999888241,2265136.129999999888241,2031475.899999999674037,1989078.399999999906868,2252078.100000000093132,12753641.910000000149012
20150209,2206480.700000000186265,2018195.359999999869615,2250595.030000000260770,2008904.049999999813735,1975644.550000000046566,2228845.799999999813735,12688669.490000002086163
20150210,2248869.700000000186265,2021964.579999999841675,2298996.120000000111759,2055877.900000000139698,2009879.199999999953434,2280752.200000000186265,12916343.699999999254942
20150211,2301579.500000000000000,2020972.679999999934807,2291517.839999999850988,2046727.149999999674037,1978677.999999999767169,2299170.600000000093132,12938649.769999999552965
20150212,2330698.899999999441206,2054895.659999999916181,2329947.889999999664724,2082110.050000000046566,1993411.899999999906868,2298961.300000000279397,13090029.700000001117587
20150213,2342125.500000000000000,2066600.079999999841675,2324339.180000000167638,2096141.199999999953434,1994278.600000000093132,2290589.299999999813735,13114077.859999999403954
