代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12202623.899999998509884
真實報酬,2202623.899999998509884

夏普值報酬,0.211562390000000
夏普值風險,0.064065736819590
夏普值,3.302270456917773

預期報酬,9282.747485648154907
風險,225723.656170967675280
趨勢值,0.041124389189484
找到最佳解世代,3149
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MRK[17](5),PG[21](2),UNH[23](1),
20160622,3586743.429999999701977,3722158.469999999273568,4078302.060000000055879,11387204.959999999031425
20160623,3626987.270000000018626,3750663.429999999701977,4116452.520000000018626,11494104.219999998807907
20160624,3513801.470000000204891,3663812.379999999888241,4060261.919999999925494,11237876.769999999552965
20160627,3477959.300000000279397,3617937.209999999962747,4054938.600000000558794,11150836.109999999403954
20160628,3494937.169999999925494,3672720.179999999701977,4102257.000000000000000,11269915.349999999627471
20160629,3587372.239999999757856,3737301.729999999515712,4155785.940000000409782,11480460.910000000149012
20160630,3622585.600000000093132,3771151.369999999646097,4175896.259999999776483,11569634.230000000447035
20160701,3643336.329999999608845,3776050.659999999683350,4165841.100000000558794,11585229.089999999850988
20160705,3647109.189999999944121,3805446.399999999441206,4186542.899999999906868,11639099.490000000223517
20160706,3720051.149999999906868,3787185.409999999683350,4210793.580000000074506,11718031.140000000596046
20160707,3696156.370000000111759,3778277.609999999869615,4164066.660000000149012,11638501.640000000596046
20160708,3731998.540000000037253,3820144.269999999552965,4177966.440000000409782,11730110.250000000000000
20160711,3731369.729999999981374,3819253.489999999757856,4149871.139999999664724,11700495.359999999403954
20160712,3747718.790000000037253,3819253.489999999757856,4136267.100000000558794,11703240.379999998956919
20160713,3744574.739999999757856,3825488.949999999720603,4184176.979999999515712,11754241.669999998062849
20160714,3750862.839999999850988,3824598.169999999925494,4165249.620000000111759,11740711.629999998956919
20160715,3749605.220000000204891,3830833.629999999888241,4179740.880000000353903,11760180.730000000447035
20160718,3711247.810000000055879,3827270.510000000242144,4162587.959999999962747,11701107.280000001192093
20160719,3688610.649999999906868,3837959.869999999646097,4217004.120000000111759,11743575.640000000596046
20160720,3696785.179999999701977,3800101.719999999273568,4229720.940000000409782,11726608.839999999850988
20160721,3696785.179999999701977,3797429.379999999888241,4225284.839999999850988,11719500.399999998509884
20160722,3698671.609999999869615,3817917.319999999832362,4249535.519999999552965,11766125.449999999254942
20160725,3682322.550000000279397,3821480.439999999478459,4191570.479999999515712,11695374.469999998807907
20160726,3669746.350000000093132,3797874.769999999552965,4190683.259999999776483,11658305.379999998956919
20160727,3684837.790000000037253,3761798.179999999701977,4190091.780000000260770,11636728.750000000000000
20160728,3674148.020000000018626,3777386.830000000074506,4222031.699999999254942,11673567.549999998882413
20160729,3688610.649999999906868,3812127.250000000000000,4235044.259999999776483,11735783.160000000149012
20160801,3688610.649999999906868,3848649.229999999515712,4244212.199999999254942,11781473.079999998211861
20160802,3667859.919999999925494,3864237.879999999888241,4234157.040000000037253,11766255.839999999850988
20160803,3625100.839999999850988,3829052.069999999832362,4225580.580000000074506,11679734.490000000223517
20160804,3637048.229999999981374,3832615.189999999478459,4220553.000000000000000,11690217.419999999925494
20160805,4015591.850000000093132,3820589.659999999683350,4228833.720000000670552,12065016.230000000447035
20160808,3952710.850000000093132,3819698.879999999888241,4203400.080000000074506,11975810.810000000521541
20160809,3929444.879999999888241,3829942.849999999627471,4194232.139999999664724,11953620.869999999180436
20160810,3938877.029999999795109,3844195.330000000074506,4205174.519999999552965,11988247.879999998956919
20160811,4001129.220000000204891,3862901.709999999962747,4218187.080000000074506,12082219.009999999776483
20160812,3983522.540000000037253,3876708.799999999813735,4225580.580000000074506,12085812.919999999925494
20160815,3981636.109999999869615,3875818.019999999552965,4188317.340000000316650,12045772.469999998807907
20160816,3964029.429999999701977,3856220.859999999869615,4172347.380000000353903,11992598.669999999925494
20160817,3979749.679999999701977,3873145.679999999701977,4190979.000000000000000,12043875.359999999403954
20160818,4001129.220000000204891,3894524.399999999441206,4204583.040000000037253,12100237.660000000149012
20160819,3984151.350000000093132,3888734.330000000074506,4200738.419999999925494,12073625.099999999627471
20160822,3996098.739999999757856,3868246.389999999664724,4202217.120000000111759,12066563.250000000000000
20160823,3997985.169999999925494,3892742.839999999850988,4199851.199999999254942,12090580.209999999031425
20160824,3944536.319999999832362,3888734.330000000074506,4136562.840000000316650,11969834.490000000223517
20160825,3918755.109999999869615,3915012.339999999850988,4060557.660000000149012,11894326.109999999403954
20160826,3952082.040000000037253,3900759.859999999869615,4040447.340000000316650,11893290.240000000223517
20160829,3962143.000000000000000,3932827.939999999478459,4059670.440000000409782,11954642.379999998956919
20160830,3943278.700000000186265,3898978.299999999813735,4047840.840000000316650,11890098.839999999850988
20160831,3948309.179999999701977,3888734.330000000074506,4023590.160000000149012,11860634.669999999925494
20160901,3955226.089999999850988,3933273.330000000074506,4014422.220000000204891,11902922.640000000596046
20160902,3960256.569999999832362,3928374.040000000037253,4040151.600000000558794,11928783.210000000894070
20160906,3976605.629999999888241,3947971.199999999720603,4021224.239999999757856,11945802.070000000298023
20160907,3953339.659999999683350,3917239.290000000037253,3992241.720000000204891,11862821.669999999925494
20160908,3976605.629999999888241,3909667.659999999683350,4005550.020000000018626,11891824.309999998658895
20160909,3929444.879999999888241,3841077.599999999627471,3951725.340000000316650,11722248.820000000298023
20160912,3973461.579999999608845,3930600.989999999757856,4008211.680000000167638,11912275.250000000000000
20160913,3886685.800000000279397,3877154.189999999478459,3961484.759999999776483,11725325.750000000000000
20160914,3857760.540000000037253,3875372.629999999888241,3953795.520000000018626,11686929.689999999478459
20160915,3922527.970000000204891,3922138.580000000074506,4010577.600000000558794,11855245.150000002235174
20160916,3916239.870000000111759,3921693.189999999478459,4095159.239999999757856,11933093.299999998882413
20160919,3856502.919999999925494,3935945.669999999925494,4071795.780000000260770,11864245.370000001043081
20160920,3894860.329999999608845,3945298.859999999869615,4065585.239999999757856,11905745.429999999701977
20160921,3942649.890000000130385,3910558.439999999478459,4137745.799999999813735,11990955.129999998956919
20160922,3962771.810000000055879,3963559.849999999627471,4171164.419999999925494,12097497.080000000074506
20160923,3958998.950000000186265,3908776.879999999888241,4155490.199999999720603,12023267.029999999329448
20160926,3908065.339999999850988,3912785.389999999664724,4132126.739999999757856,11952978.469999998807907
20160927,3934475.359999999869615,3935500.279999999795109,4163770.919999999925494,12033747.559999998658895
20160928,3980378.489999999757856,3984493.179999999701977,4152532.799999999813735,12117405.469999998807907
20160929,3892973.899999999906868,3929710.209999999962747,4090723.139999999664724,11913408.250000000000000
20160930,3924414.399999999906868,3997409.489999999757856,4140407.459999999962747,12062232.349999999627471
20161003,3931331.310000000055879,3948861.979999999515712,4095750.720000000204891,11975945.009999999776483
20161004,3927558.450000000186265,3935054.889999999664724,4085991.299999999813735,11948605.640000000596046
20161005,3948937.989999999757856,3957324.389999999664724,4069429.859999999869615,11975693.239999998360872
20161006,3940134.649999999906868,3973803.819999999832362,4036011.239999999757856,11949950.709999999031425
20161007,3947051.560000000055879,4008544.239999999757856,4041630.299999999813735,11997227.099999999627471
20161010,4018107.089999999850988,3966677.580000000074506,4083625.380000000353903,12068411.050000000745058
20161011,3894231.520000000018626,3943517.299999999813735,3985143.959999999962747,11822893.780000001192093
20161012,3877253.649999999906868,3944853.469999999273568,3995494.859999999869615,11817602.979999998584390
20161013,3930702.500000000000000,3930155.599999999627471,3968582.520000000018626,11829441.619999999180436
20161014,3907436.529999999795109,3938618.010000000242144,3960597.539999999571592,11806653.080000000074506
20161017,3868450.310000000055879,3911894.609999999869615,3966808.079999999608845,11747154.000000000000000
20161018,3904292.479999999981374,3894969.790000000037253,4240663.319999999366701,12039926.589999999850988
20161019,3890458.659999999683350,3809900.299999999813735,4269645.839999999850988,11970005.799999998882413
20161020,3893602.709999999962747,3782731.510000000242144,4290347.639999999664724,11966682.859999999403954
20161021,3848328.390000000130385,3756008.109999999869615,4299219.839999999850988,11903557.339999999850988
20161024,3820031.939999999944121,3745764.139999999664724,4279109.519999999552965,11844906.599999999627471
20161025,3895489.140000000130385,3873591.069999999832362,4252197.179999999701977,12021278.390000000596046
20161026,3827577.659999999683350,3892742.839999999850988,4206357.479999999515712,11926678.980000000447035
20161027,3853987.679999999701977,3856220.859999999869615,4197781.019999999552965,11907990.559999998658895
20161028,3699929.229999999981374,3867801.000000000000000,4150758.359999999869615,11718489.589999999850988
20161031,3692383.509999999776483,3866019.439999999478459,4179740.880000000353903,11738144.830000000074506
20161101,3728854.489999999757856,3868246.389999999664724,4123550.280000000260770,11720652.160000000149012
20161102,3699929.229999999981374,3863347.099999999627471,4110241.979999999515712,11673519.309999998658895
20161103,3674148.020000000018626,3857111.639999999664724,4076231.880000000353903,11607492.540000000968575
20161104,3698671.609999999869615,3789412.359999999869615,4072683.000000000000000,11560767.969999998807907
20161107,3776015.239999999757856,3855330.080000000074506,4197485.280000000260770,11828831.600000001490116
20161108,3804940.500000000000000,3895415.179999999701977,4226172.060000000521541,11926528.740000000223517
20161109,4035713.770000000484288,3827270.510000000242144,4196598.060000000521541,12059583.340000001713634
20161110,4084760.949999999720603,3694989.679999999701977,4321696.080000000074506,12101447.709999999031425
20161111,4021251.140000000130385,3722603.859999999869615,4330272.540000000037253,12074128.539999999105930
20161114,3994841.120000000111759,3696771.239999999757856,4503576.179999999701977,12195189.539999999105930
20161115,4002386.839999999850988,3724385.419999999925494,4502097.479999999515712,12228870.739999998360872
20161116,3938248.220000000204891,3705233.649999999441206,4480508.459999999962747,12123991.329999998211861
20161117,3942649.890000000130385,3699888.969999999273568,4458919.440000000409782,12101459.300000000745058
20161118,3890458.659999999683350,3652232.239999999757856,4419881.759999999776483,11962573.660000000149012
20161121,3917497.489999999757856,3680737.199999999720603,4448272.799999999813735,12046508.489999998360872
20161122,3879768.890000000130385,3686081.879999999888241,4502984.699999999254942,12068836.469999998807907
20161123,3875996.029999999795109,3682518.760000000242144,4540839.419999999925494,12099355.210000000894070
20161125,3911838.200000000186265,3717259.179999999701977,4519250.400000000372529,12148348.780000001192093
20161128,3886056.989999999757856,3699888.969999999273568,4498548.600000000558794,12084495.559999998658895
20161129,3910580.579999999608845,3691871.949999999720603,4660614.120000000111759,12263067.649999998509884
20161130,3847699.579999999608845,3672720.179999999701977,4682203.139999999664724,12202623.899999998509884
