代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14030531.500000001862645
真實報酬,4030531.500000001862645

夏普值報酬,0.394353150000000
夏普值風險,0.102489073166359
夏普值,3.847757988404208

預期報酬,16637.305601220978133
風險,131575.709489473898429
趨勢值,0.126446634152879
找到最佳解世代,2092
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](7),BA[2](3),DD[7](6),MCD[15](4),MSFT[18](1),UNH[23](2),UTX[24](10),
20161122,1412776.000000000000000,1621359.540000000037253,1497471.239999999990687,1482189.390000000130385,1515870.519999999785796,1553672.039999999804422,1503651.399999999906868,10586993.129999998956919
20161123,1405573.479999999981374,1623745.000000000000000,1490310.260000000009313,1487761.740000000223517,1498013.799999999813735,1566733.159999999916181,1520101.600000000093132,10592242.039999999105930
20161125,1412649.640000000130385,1626997.899999999906868,1493406.899999999906868,1494200.900000000139698,1501237.929999999934807,1559284.239999999990687,1529521.800000000046566,10617302.310000000521541
20161128,1409869.719999999972060,1624070.290000000037253,1497277.699999999953434,1508565.179999999934807,1503222.009999999776483,1552141.440000000176951,1524882.000000000000000,10620031.339999999850988
20161129,1408479.759999999776483,1644346.699999999720603,1488181.320000000065193,1494448.560000000288710,1515126.489999999990687,1608059.360000000102445,1530365.400000000139698,10689010.589999999850988
20161130,1396601.919999999925494,1632636.260000000009313,1535792.159999999916181,1476988.530000000027940,1494541.659999999916181,1615508.280000000027940,1514618.199999999953434,10666690.009999999776483
20161201,1383586.839999999850988,1652478.949999999720603,1546630.399999999906868,1467082.130000000121072,1468252.600000000093132,1642242.760000000009313,1511243.800000000046566,10671520.480000000447035
20161202,1388767.600000000093132,1650960.929999999934807,1527469.939999999944121,1464234.040000000037253,1469492.649999999906868,1640099.919999999925494,1521648.199999999953434,10662676.279999999329448
20161205,1378785.159999999916181,1649985.059999999823049,1545082.080000000074506,1477236.190000000176951,1493549.619999999878928,1608467.520000000018626,1510400.199999999953434,10663508.830000000074506
20161206,1389399.399999999906868,1650852.500000000000000,1549533.500000000000000,1476740.870000000111759,1486853.350000000093132,1605304.280000000027940,1510540.800000000046566,10669227.700000001117587
20161207,1403046.280000000027940,1671454.199999999720603,1568306.880000000121072,1485037.480000000214204,1522070.769999999785796,1626528.600000000093132,1542175.800000000046566,10818623.009999999776483
20161208,1416819.520000000018626,1685007.949999999720603,1583015.920000000158325,1491600.470000000204891,1513142.409999999916181,1625712.280000000027940,1524600.800000000046566,10839902.349999999627471
20161209,1439943.399999999906868,1696935.250000000000000,1590563.980000000214204,1501630.700000000186265,1536951.369999999878928,1633875.479999999981374,1543722.400000000139698,10943625.580000000074506
20161212,1431730.000000000000000,1704200.059999999823049,1606047.180000000167638,1507574.540000000037253,1541911.570000000065193,1627446.960000000195578,1552158.399999999906868,10971071.710000000894070
20161213,1455612.040000000037253,1698778.559999999823049,1602757.000000000000000,1519214.560000000288710,1562000.379999999888241,1638161.159999999916181,1551033.600000000093132,11027560.299999998882413
20161214,1455612.040000000037253,1675032.389999999897555,1589209.199999999953434,1521195.840000000083819,1554560.079999999841675,1631222.440000000176951,1536411.199999999953434,10963246.189999999478459
20161215,1463572.719999999972060,1667442.290000000037253,1608369.659999999916181,1515252.000000000000000,1552079.979999999748543,1638977.479999999981374,1520382.800000000046566,10966079.929999999701977
20161216,1465468.119999999878928,1675357.679999999934807,1609917.980000000214204,1526149.040000000037253,1545135.699999999720603,1672854.760000000009313,1525866.199999999953434,11020752.479999998584390
20161219,1473934.239999999990687,1693573.919999999925494,1620175.599999999860302,1523053.290000000037253,1577873.019999999785796,1648365.159999999916181,1558204.199999999953434,11095182.429999997839332
20161220,1477851.399999999906868,1695850.949999999720603,1620756.219999999972060,1527263.510000000009313,1575888.939999999944121,1648875.360000000102445,1555814.000000000000000,11102303.379999998956919
20161221,1479241.359999999869615,1707669.819999999832362,1628497.820000000065193,1525406.060000000288710,1575888.939999999944121,1646222.320000000065193,1553564.399999999906868,11116493.720000000670552
20161222,1469511.640000000130385,1707452.959999999962747,1619401.439999999944121,1532092.880000000121072,1576136.949999999720603,1648773.320000000065193,1553142.599999999860302,11106514.789999999105930
20161223,1472417.919999999925494,1711248.010000000009313,1610498.599999999860302,1524910.740000000223517,1568448.639999999897555,1663569.120000000111759,1555814.000000000000000,11106910.029999999329448
20161227,1481768.560000000055879,1707669.819999999832362,1610305.060000000055879,1524043.929999999934807,1569440.679999999934807,1659589.559999999823049,1560453.800000000046566,11113274.410000000149012
20161228,1475450.560000000055879,1692706.479999999981374,1595789.560000000055879,1519214.560000000288710,1562248.389999999897555,1647344.760000000009313,1549346.399999999906868,11042103.710000000894070
20161229,1475071.479999999981374,1688260.849999999860302,1582628.839999999850988,1520576.690000000176951,1560016.299999999813735,1643263.159999999916181,1554408.000000000000000,11024228.320000000298023
20161230,1463572.719999999972060,1688152.419999999925494,1577209.719999999972060,1507326.880000000121072,1541167.540000000037253,1633059.159999999916181,1541332.199999999953434,10951823.639999998733401
20170103,1467742.600000000093132,1702139.889999999897555,1587660.880000000121072,1481322.580000000074506,1552079.979999999748543,1647446.799999999813735,1558344.800000000046566,10996740.530000001192093
20170104,1466099.919999999925494,1720030.840000000083819,1600240.980000000214204,1479588.960000000195578,1545135.699999999720603,1652140.639999999897555,1559329.000000000000000,11022569.040000000968575
20170105,1473555.159999999916181,1721006.709999999962747,1593080.000000000000000,1482313.220000000204891,1545135.699999999720603,1654895.719999999972060,1565656.000000000000000,11035645.509999999776483
20170106,1489981.959999999962747,1725235.479999999981374,1583209.459999999962747,1495439.200000000186265,1558528.239999999990687,1657242.639999999897555,1582528.000000000000000,11092167.980000000447035
20170109,1503628.839999999850988,1716777.939999999944121,1592886.459999999962747,1491352.810000000288710,1553568.040000000037253,1652548.799999999813735,1567765.000000000000000,11078530.890000000596046
20170110,1505145.159999999916181,1724910.189999999944121,1589596.280000000027940,1489123.870000000111759,1553072.019999999785796,1648773.320000000065193,1564390.600000000093132,11075014.439999999478459
20170111,1513232.199999999953434,1728488.379999999888241,1605853.639999999897555,1496925.160000000149012,1567208.589999999850988,1651936.559999999823049,1560735.000000000000000,11124382.529999999329448
20170112,1506914.199999999953434,1716452.649999999906868,1606627.800000000046566,1512032.419999999925494,1552824.009999999776483,1656732.440000000176951,1558204.199999999953434,11109790.719999998807907
20170113,1504260.640000000130385,1722307.870000000111759,1593080.000000000000000,1504602.620000000111759,1555056.100000000093132,1651018.200000000186265,1549768.199999999953434,11080096.629999998956919
20170117,1516391.199999999953434,1709729.989999999757856,1580112.820000000065193,1520081.370000000111759,1550839.929999999934807,1639385.639999999897555,1546253.199999999953434,11062797.149999998509884
20170118,1516264.839999999850988,1716777.939999999944121,1590563.980000000214204,1519586.050000000046566,1550095.899999999906868,1609589.960000000195578,1552580.199999999953434,11055461.869999999180436
20170119,1513611.280000000027940,1724151.179999999934807,1573532.459999999962747,1513023.060000000288710,1545135.699999999720603,1619385.799999999813735,1556938.800000000046566,11045781.280000001192093
20170120,1516391.199999999953434,1729897.969999999972060,1581467.599999999860302,1514013.700000000186265,1556048.139999999897555,1618977.639999999897555,1557782.400000000139698,11074581.650000000372529
20170123,1517402.079999999841675,1711573.300000000046566,1574887.239999999990687,1503116.660000000149012,1561504.359999999869615,1623161.280000000027940,1551455.400000000139698,11043103.320000000298023
20170124,1516012.119999999878928,1740957.830000000074506,1643787.480000000214204,1499030.270000000018626,1575392.919999999925494,1637038.719999999972060,1569311.600000000093132,11181533.940000001341105
20170125,1540146.879999999888241,1814798.660000000149012,1659464.219999999972060,1508193.690000000176951,1579361.079999999841675,1645303.960000000195578,1560172.599999999860302,11307444.089999999850988
20170126,1540905.040000000037253,1833882.340000000083819,1692946.639999999897555,1509308.160000000149012,1593993.669999999692664,1660712.000000000000000,1551736.600000000093132,11383487.449999999254942
20170127,1541031.399999999906868,1818485.279999999795109,1689850.000000000000000,1521443.500000000000000,1631443.179999999934807,1663160.960000000195578,1542457.000000000000000,11407874.320000000298023
20170130,1536987.879999999888241,1795389.689999999944121,1657915.899999999906868,1523424.780000000027940,1615322.529999999795109,1653977.360000000102445,1535005.199999999953434,11318026.339999997988343
20170131,1533449.799999999813735,1772077.239999999757856,1643593.939999999944121,1517852.429999999934807,1603418.050000000046566,1654079.399999999906868,1542035.199999999953434,11266509.059999998658895
20170201,1626956.199999999953434,1778040.889999999897555,1661980.239999999990687,1515994.980000000214204,1576880.979999999748543,1660303.840000000083819,1521085.800000000046566,11341245.930000001564622
20170202,1624176.280000000027940,1759499.359999999869615,1649980.760000000009313,1525901.380000000121072,1566712.570000000065193,1640406.039999999804422,1523616.600000000093132,11290295.989999998360872
20170203,1631126.080000000074506,1761017.379999999888241,1659464.219999999972060,1538532.040000000037253,1579361.079999999841675,1651732.479999999981374,1541754.000000000000000,11362990.279999999329448
20170206,1646415.639999999897555,1778149.319999999832362,1654238.639999999897555,1541132.470000000204891,1578369.040000000037253,1637855.039999999804422,1556235.800000000046566,11392398.950000001117587
20170207,1662084.280000000027940,1805473.679999999934807,1648045.360000000102445,1542866.090000000083819,1573160.829999999841675,1638059.120000000111759,1564250.000000000000000,11433942.359999999403954
20170208,1668528.639999999897555,1776306.010000000009313,1646303.500000000000000,1543856.730000000214204,1570928.739999999990687,1635814.239999999990687,1552299.000000000000000,11394039.860000001266599
20170209,1673330.319999999832362,1781402.219999999972060,1661012.539999999804422,1541503.960000000195578,1588785.459999999962747,1637140.760000000009313,1547940.400000000139698,11431118.660000000149012
20170210,1669539.520000000018626,1802546.069999999832362,1686559.820000000065193,1558097.179999999934807,1587297.399999999906868,1640304.000000000000000,1561438.000000000000000,11505784.990000000223517
20170213,1684323.639999999897555,1822063.469999999972060,1696817.439999999944121,1554629.940000000176951,1605154.119999999878928,1652956.960000000195578,1575076.199999999953434,11591024.769999999552965
20170214,1706183.920000000158325,1827159.679999999934807,1701075.320000000065193,1557973.350000000093132,1601433.969999999739230,1664589.520000000018626,1568749.199999999953434,11627167.959999997168779
20170215,1712375.559999999823049,1835834.080000000074506,1684043.800000000046566,1566269.960000000195578,1600441.929999999934807,1676426.159999999916181,1573529.599999999860302,11648924.089999999850988
20170216,1710353.799999999813735,1852207.010000000009313,1692559.560000000055879,1568994.220000000204891,1600193.919999999692664,1669895.600000000093132,1575779.199999999953434,11669986.309999998658895
20170217,1715029.119999999878928,1872808.709999999962747,1688495.219999999972060,1582615.520000000018626,1602674.020000000018626,1608365.479999999981374,1576904.000000000000000,11646895.070000000298023
20170221,1727412.399999999906868,1903711.260000000009313,1687333.980000000214204,1585587.439999999944121,1599449.889999999664724,1638467.280000000027940,1581825.000000000000000,11723790.249999998137355
20170222,1732593.160000000149012,1901542.660000000149012,1754879.439999999944121,1583234.669999999925494,1596225.759999999776483,1638467.280000000027940,1584074.599999999860302,11791020.569999998435378
20170223,1725264.280000000027940,1917807.160000000149012,1746557.219999999972060,1588435.530000000260770,1602674.020000000018626,1659181.399999999906868,1576060.400000000139698,11815983.010000001639128
20170224,1726906.959999999962747,1924096.099999999860302,1751589.260000000009313,1593141.070000000298023,1602674.020000000018626,1663875.239999999990687,1581262.599999999860302,11843548.250000000000000
20170227,1730318.679999999934807,1945673.669999999925494,1733977.120000000111759,1572585.290000000037253,1593001.630000000121072,1687548.520000000018626,1586183.600000000093132,11849291.509999999776483
20170228,1731076.840000000083819,1954348.069999999832362,1715977.899999999906868,1580758.070000000298023,1586801.379999999888241,1687548.520000000018626,1582528.000000000000000,11839041.780000001192093
20170301,1766457.639999999897555,1994250.309999999823049,1749073.239999999990687,1598094.270000000251457,1610610.339999999850988,1713670.760000000009313,1598415.800000000046566,12030575.360000001266599
20170302,1755969.760000000009313,1984274.750000000000000,1746170.139999999897555,1587940.209999999962747,1587545.410000000149012,1707242.239999999990687,1584496.399999999906868,11953641.910000000149012
20170303,1766331.280000000027940,1975491.919999999925494,1743654.120000000111759,1583853.820000000298023,1593497.649999999906868,1716323.799999999813735,1579575.400000000139698,11958730.990000000223517
20170306,1760771.439999999944121,1961938.169999999925494,1750428.020000000018626,1585463.610000000102445,1593993.669999999692664,1721425.799999999813735,1570014.599999999860302,11944038.310000000521541
20170307,1763045.920000000158325,1973757.040000000037253,1740557.480000000214204,1585958.929999999934807,1597217.800000000046566,1717344.200000000186265,1578731.800000000046566,11956616.170000001788139
20170308,1756475.199999999953434,1970721.000000000000000,1744234.739999999990687,1586206.590000000083819,1611850.389999999664724,1713364.639999999897555,1571280.000000000000000,11954135.560000000521541
20170309,1752431.679999999934807,1958034.689999999944121,1751395.719999999972060,1586825.739999999990687,1605402.130000000121072,1714385.039999999804422,1573810.800000000046566,11942288.800000000745058
20170310,1758244.239999999757856,1937758.279999999795109,1759524.399999999906868,1584844.460000000195578,1610362.330000000074506,1734486.919999999925494,1576763.399999999906868,11961987.030000001192093
20170313,1759002.399999999906868,1941553.330000000074506,1767072.459999999962747,1580262.750000000000000,1604906.109999999636784,1736833.840000000083819,1579153.600000000093132,11968787.489999998360872
20170314,1756348.840000000083819,1938083.569999999832362,1755266.520000000018626,1582615.520000000018626,1597465.809999999823049,1725099.239999999990687,1572404.800000000046566,11927287.300000000745058
20170315,1774923.760000000009313,1937866.709999999962747,1776168.839999999850988,1583606.160000000149012,1605898.149999999906868,1752854.120000000111759,1589979.800000000046566,12021300.539999999105930
20170316,1777830.040000000037253,1932228.349999999860302,1760105.020000000018626,1584844.460000000195578,1603170.040000000037253,1747956.200000000186265,1579575.400000000139698,11985712.509999999776483
20170317,1768984.840000000083819,1952938.479999999981374,1764749.980000000214204,1593017.239999999990687,1608874.270000000018626,1731629.799999999813735,1595182.000000000000000,12015379.609999999403954
20170320,1787559.760000000009313,1945239.949999999720603,1777717.159999999916181,1594750.860000000102445,1610362.330000000074506,1714283.000000000000000,1596025.600000000093132,12025941.660000000149012
20170321,1767089.439999999944121,1908048.459999999962747,1738622.080000000074506,1591531.280000000260770,1592505.609999999636784,1711221.799999999813735,1577044.599999999860302,11886066.270000001415610
20170322,1787054.319999999832362,1919108.319999999832362,1730686.939999999944121,1598713.419999999925494,1612842.429999999934807,1704385.120000000111759,1573810.800000000046566,11926604.350000001490116
20170323,1780736.319999999832362,1922144.359999999869615,1759330.860000000102445,1597475.120000000111759,1608874.270000000018626,1686630.159999999916181,1572545.400000000139698,11927739.490000000223517
20170324,1777198.239999999757856,1906530.439999999944121,1738622.080000000074506,1601685.340000000083819,1611602.380000000121072,1683671.000000000000000,1571983.000000000000000,11891295.480000000447035
20170327,1780230.879999999888241,1909566.479999999981374,1764556.439999999944121,1603542.790000000270084,1614578.499999999767169,1679589.399999999906868,1572404.800000000046566,11924472.290000000968575
20170328,1817128.000000000000000,1923228.660000000149012,1791652.039999999804422,1603047.469999999972060,1619290.690000000176951,1687242.399999999906868,1585199.399999999906868,12026791.660000000149012
20170329,1821171.520000000018626,1926156.269999999785796,1775588.219999999972060,1595493.840000000083819,1623754.869999999878928,1667752.760000000009313,1575638.600000000093132,11985559.079999998211861
20170330,1818770.679999999934807,1929951.319999999832362,1769007.860000000102445,1601437.679999999934807,1629707.109999999636784,1683568.960000000195578,1581122.000000000000000,12013568.610000001266599
20170331,1815358.959999999962747,1917807.160000000149012,1751395.719999999972060,1605028.750000000232831,1633427.259999999776483,1673569.039999999804422,1577747.599999999860302,11974337.489999998360872
20170403,1815864.399999999906868,1915530.129999999888241,1738041.459999999962747,1605028.750000000232831,1625738.949999999720603,1689691.360000000102445,1573810.800000000046566,11963708.849999999627471
20170404,1829384.920000000158325,1937758.279999999795109,1741912.260000000009313,1601066.189999999944121,1630203.130000000121072,1683364.879999999888241,1588714.399999999906868,12012407.060000000521541
20170405,1819907.920000000158325,1920192.620000000111759,1750815.099999999860302,1614935.150000000139698,1625986.959999999962747,1687446.479999999981374,1581825.000000000000000,12001112.230000000447035
20170406,1815358.959999999962747,1923337.090000000083819,1753331.120000000111759,1611715.570000000298023,1630203.130000000121072,1687140.360000000102445,1580559.599999999860302,12001648.830000000074506
20170407,1811315.439999999944121,1939384.729999999981374,1741718.719999999972060,1609362.800000000279397,1628963.080000000074506,1694079.080000000074506,1588714.399999999906868,12013541.250000000000000
20170410,1809167.319999999832362,1925397.260000000009313,1743847.659999999916181,1609610.459999999962747,1625242.929999999934807,1688568.919999999925494,1587167.800000000046566,11989005.350000001490116
20170411,1789707.879999999888241,1936348.689999999944121,1722364.719999999972060,1624717.719999999972060,1624002.880000000121072,1692140.320000000065193,1590823.399999999906868,11980108.610000001266599
20170412,1791856.000000000000000,1909024.330000000074506,1706687.980000000214204,1625460.699999999953434,1617802.630000000121072,1689385.239999999990687,1578169.399999999906868,11918389.280000001192093
20170413,1782379.000000000000000,1904361.840000000083819,1683076.099999999860302,1619269.199999999953434,1610858.350000000093132,1683262.840000000083819,1576060.400000000139698,11859270.730000000447035
20170417,1792235.080000000074506,1941228.040000000037253,1701462.399999999906868,1626575.169999999925494,1624002.880000000121072,1705915.719999999972060,1592651.199999999953434,11984073.490000000223517
20170418,1784274.399999999906868,1928541.729999999981374,1694494.959999999962747,1638339.020000000251457,1621770.790000000037253,1720303.360000000102445,1596728.600000000093132,11984455.859999999403954
20170419,1777703.679999999934807,1934505.379999999888241,1696430.360000000102445,1642549.239999999990687,1613090.440000000176951,1727038.000000000000000,1587730.199999999953434,11979050.299999998882413
20170420,1799943.040000000037253,1944264.080000000074506,1707268.599999999860302,1650350.530000000260770,1624498.899999999906868,1750405.159999999916181,1602071.399999999906868,12078804.710000000894070
20170421,1797794.920000000158325,1955974.519999999785796,1713268.339999999850988,1652084.150000000139698,1646819.800000000046566,1746527.639999999897555,1616834.399999999906868,12129306.770000001415610
20170424,1815106.239999999757856,1974190.760000000009313,1731461.099999999860302,1662238.209999999962747,1674844.929999999934807,1758466.320000000065193,1635534.199999999953434,12251844.759999999776483
20170425,1826352.280000000027940,1989913.109999999869615,1786426.459999999962747,1754739.219999999972060,1684517.320000000065193,1775915.159999999916181,1643267.199999999953434,12461133.749999998137355
20170426,1815611.679999999934807,1970395.709999999962747,1773072.199999999953434,1744089.840000000083819,1682285.229999999748543,1779384.520000000018626,1661967.000000000000000,12426809.179999999701977
20170427,1817001.639999999897555,1986768.639999999897555,1741718.719999999972060,1744461.330000000074506,1693197.669999999692664,1781935.520000000018626,1670121.800000000046566,12435208.320000000298023
20170428,1815232.600000000093132,2004225.870000000111759,1730880.480000000214204,1732821.310000000288710,1697909.859999999636784,1784486.520000000018626,1673074.399999999906868,12438634.040000000968575
20170501,1852256.080000000074506,1977768.949999999720603,1723138.880000000121072,1747928.570000000298023,1721470.809999999823049,1781527.360000000102445,1672090.199999999953434,12476183.849999999627471
20170502,1864007.559999999823049,1989154.099999999860302,1723138.880000000121072,1748919.209999999962747,1718742.699999999720603,1776935.559999999823049,1677714.199999999953434,12498615.209999999031425
20170503,1858321.359999999869615,1988611.949999999720603,1700881.780000000027940,1766131.580000000074506,1713286.479999999748543,1760609.159999999916181,1691493.000000000000000,12479338.310000000521541
20170504,1851624.280000000027940,1985142.189999999944121,1692946.639999999897555,1776409.469999999972060,1706590.209999999962747,1775711.080000000074506,1701335.000000000000000,12489761.869999999180436
20170505,1882329.760000000009313,2006177.609999999869615,1739009.159999999916181,1782724.800000000279397,1711302.399999999906868,1776731.479999999981374,1706256.000000000000000,12604534.210000000894070
20170508,1933505.559999999823049,2017129.040000000037253,1719074.539999999804422,1786192.040000000270084,1709814.339999999850988,1779996.760000000009313,1702459.800000000046566,12648175.080000000074506
20170509,1945888.840000000083819,2026779.309999999823049,1704171.959999999962747,1787678.000000000232831,1712294.440000000176951,1767751.960000000195578,1707802.599999999860302,12652370.109999999403954
20170510,1936664.559999999823049,1986334.919999999925494,1700881.780000000027940,1789659.280000000260770,1718990.709999999962747,1769282.559999999823049,1701616.199999999953434,12603433.009999999776483
20170511,1945383.399999999906868,1994575.599999999860302,1704946.120000000111759,1785820.550000000279397,1697909.859999999636784,1768568.280000000027940,1705271.800000000046566,12602478.609999999403954
20170512,1972550.799999999813735,1987093.929999999934807,1709978.159999999916181,1800061.000000000232831,1695925.779999999795109,1753160.239999999990687,1698944.800000000046566,12617717.710000000894070
20170515,1967496.399999999906868,1977768.949999999720603,1719848.699999999953434,1811453.360000000102445,1697165.830000000074506,1750303.120000000111759,1700210.199999999953434,12624249.559999998658895
20170516,1964590.119999999878928,1981130.279999999795109,1717139.139999999897555,1823960.189999999944121,1721470.809999999823049,1715507.479999999981374,1706959.000000000000000,12630760.019999999552965
20170517,1898630.199999999953434,1938625.719999999972060,1659270.680000000167638,1813063.150000000139698,1673604.880000000121072,1723058.440000000176951,1681369.800000000046566,12387625.870000001043081
