代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12004117.849999999627471
真實報酬,2004117.849999999627471

夏普值報酬,0.191711785000000
夏普值風險,0.067252675781468
夏普值,2.850619440376624

預期報酬,9879.126140365833635
風險,170675.843841382215032
趨勢值,0.057882392247300
找到最佳解世代,2451
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
JNJ[12](1),MCD[15](7),PG[21](2),UNH[23](11),WMT[28](18),
20151023,2134708.729999999515712,2369813.360000000335276,2179988.000000000000000,2003802.920000000158325,1801332.289999999804422,10489645.299999998882413
20151026,2126834.759999999776483,2361183.680000000167638,2193006.000000000000000,2014347.380000000121072,1792681.130000000121072,10488052.950000001117587
20151027,2132155.009999999776483,2349817.760000000242144,2187346.000000000000000,2063439.620000000111759,1775996.749999999767169,10508755.140000000596046
20151028,2138326.500000000000000,2377180.160000000149012,2165272.000000000000000,2070526.880000000121072,1780940.270000000018626,10532245.810000000521541
20151029,2157266.589999999850988,2370444.800000000279397,2179705.000000000000000,2069316.859999999869615,1790827.310000000055879,10567560.560000000521541
20151030,2150031.049999999813735,2362657.040000000037253,2161593.000000000000000,2035954.880000000121072,1768581.469999999972060,10478817.440000001341105
20151102,2174291.389999999664724,2359710.319999999832362,2167819.000000000000000,2051685.139999999897555,1780013.359999999869615,10533519.209999999031425
20151103,2169822.379999999888241,2359078.879999999888241,2180554.000000000000000,2033880.560000000055879,1795461.859999999869615,10538797.679999999701977
20151104,2169396.759999999776483,2365814.240000000223517,2180837.000000000000000,1981676.840000000083819,1803495.079999999841675,10501219.919999999925494
20151105,2177696.349999999627471,2375285.839999999850988,2161876.000000000000000,2009161.580000000074506,1810910.359999999869615,10534930.129999998956919
20151106,2168971.139999999664724,2384967.919999999925494,2138670.000000000000000,1984615.460000000195578,1816162.850000000093132,10493387.369999999180436
20151109,2145987.660000000149012,2376969.680000000167638,2133859.000000000000000,1975108.160000000149012,1807202.719999999972060,10439127.220000000670552
20151110,2158969.070000000298023,2383073.600000000093132,2144330.000000000000000,2003284.340000000083819,1813073.149999999906868,10502730.160000000149012
20151111,2167694.280000000260770,2396333.839999999850988,2149707.000000000000000,1979948.240000000223517,1779086.449999999953434,10472769.809999998658895
20151112,2133857.490000000223517,2359710.319999999832362,2112917.000000000000000,1950216.319999999832362,1759621.340000000083819,10316322.470000000670552
20151113,2125557.899999999441206,2314667.600000000093132,2093106.999999999767169,1925843.060000000055879,1743245.929999999934807,10202421.490000000223517
20151116,2154074.439999999478459,2337609.919999999925494,2131029.000000000000000,1967502.319999999832362,1788046.579999999841675,10378262.259999999776483
20151117,2160033.120000000111759,2335084.160000000149012,2124520.000000000000000,1977355.340000000083819,1851385.429999999934807,10448378.050000000745058
20151118,2184931.889999999664724,2368550.479999999981374,2148009.000000000000000,2026793.300000000046566,1882591.399999999906868,10610876.070000000298023
20151119,2181101.309999999590218,2384757.439999999944121,2157065.000000000000000,1912359.979999999981374,1875485.090000000083819,10510768.820000000298023
20151120,2180888.500000000000000,2397596.719999999739230,2145745.000000000000000,1952809.219999999972060,1856019.979999999981374,10533059.419999999925494
20151123,2187059.990000000223517,2409383.600000000093132,2149990.000000000000000,1938807.560000000055879,1861890.409999999916181,10547131.560000000521541
20151124,2171524.860000000335276,2405384.479999999981374,2163574.000000000000000,1956612.139999999897555,1851385.429999999934807,10548480.910000000149012
20151125,2169822.379999999888241,2407910.240000000223517,2148009.000000000000000,1977701.060000000055879,1861272.469999999972060,10564715.150000000372529
20151127,2178547.589999999850988,2404332.080000000074506,2142349.000000000000000,1976491.040000000037253,1850458.520000000018626,10552178.230000000447035
20151130,2154500.059999999590218,2402858.719999999739230,2118011.000000000000000,1948314.859999999869615,1818016.670000000158325,10441701.309999998658895
20151201,2178334.780000000260770,2408962.640000000130385,2149141.000000000000000,2009680.160000000149012,1822651.219999999972060,10568769.800000000745058
20151202,2171737.669999999925494,2393597.600000000093132,2144896.000000000000000,2033534.840000000083819,1802877.139999999897555,10546643.250000000000000
20151203,2144923.610000000335276,2386651.760000000242144,2143481.000000000000000,1987899.800000000046566,1824196.069999999832362,10487152.240000002086163
20151204,2190890.570000000298023,2445796.640000000130385,2202628.000000000000000,2035263.439999999944121,1843352.209999999729916,10717930.859999999403954
20151207,2198764.540000000037253,2450427.200000000186265,2217910.000000000000000,2003630.060000000055879,1869305.689999999944121,10740037.490000000223517
20151208,2179611.639999999664724,2452742.479999999981374,2200364.000000000000000,2003111.479999999981374,1841807.359999999869615,10677636.959999999031425
20151209,2173865.769999999552965,2453794.879999999888241,2198949.000000000000000,1988764.100000000093132,1826976.800000000046566,10642350.550000000745058
20151210,2184293.459999999962747,2466844.640000000130385,2201496.000000000000000,2008815.859999999869615,1840262.510000000009313,10701712.469999998807907
20151211,2163863.700000000186265,2443270.879999999888241,2201213.000000000000000,2004840.080000000074506,1834083.109999999869615,10647270.769999999552965
20151214,2173865.769999999552965,2447059.520000000018626,2215646.000000000000000,2002592.899999999906868,1865907.020000000018626,10705071.209999999031425
20151215,2216002.149999999441206,2461161.680000000167638,2254983.000000000000000,2033016.260000000009313,1842734.270000000018626,10807897.359999999403954
20151216,2239836.870000000111759,2480315.360000000335276,2292056.000000000000000,2054105.179999999934807,1863126.289999999804422,10929439.699999999254942
20151217,2205574.459999999962747,2473159.040000000037253,2272246.000000000000000,2060846.719999999972060,1822342.249999999767169,10834168.470000000670552
20151218,2169609.570000000298023,2455478.719999999739230,2211118.000000000000000,2002074.319999999832362,1818325.639999999897555,10656606.250000000000000
20151221,2161735.599999999627471,2477158.160000000149012,2234324.000000000000000,2029559.060000000055879,1839953.539999999804422,10742730.359999999403954
20151222,2185783.129999999888241,2477789.600000000093132,2252719.000000000000000,2030077.639999999897555,1870541.569999999832362,10816910.940000001341105
20151223,2202382.309999999590218,2500521.439999999944121,2261775.000000000000000,2051685.139999999897555,1887534.920000000158325,10903898.810000000521541
20151224,2207276.939999999478459,2495680.399999999906868,2258096.000000000000000,2045635.040000000037253,1879501.699999999953434,10886190.079999998211861
20151228,2196636.439999999478459,2499469.040000000037253,2261775.000000000000000,2045462.179999999934807,1877029.939999999944121,10880372.599999999627471
20151229,2213874.049999999813735,2527252.399999999906868,2274227.000000000000000,2071218.319999999832362,1903601.359999999869615,10990173.129999998956919
20151230,2208553.799999999813735,2513781.680000000167638,2266020.000000000000000,2055660.920000000158325,1905764.149999999906868,10949780.550000000745058
20151231,2185995.939999999478459,2486629.760000000242144,2247342.000000000000000,2033534.840000000083819,1894023.289999999804422,10847525.829999998211861
20160104,2138326.500000000000000,2474842.879999999888241,2217910.000000000000000,2013137.359999999869615,1898966.810000000055879,10743183.550000000745058
20160105,2147264.519999999552965,2508940.640000000130385,2224985.000000000000000,2016940.280000000260770,1944076.429999999934807,10842206.870000001043081
20160106,2136411.209999999962747,2492102.240000000223517,2203477.000000000000000,1996369.939999999944121,1963541.539999999804422,10791901.929999999701977
20160107,2111512.439999999478459,2434430.719999999739230,2184233.000000000000000,1937597.540000000037253,2009269.100000000093132,10677042.799999998882413
20160108,2088954.579999999841675,2430642.080000000074506,2149990.000000000000000,1904235.560000000055879,1963232.569999999832362,10537054.790000000968575
20160111,2076398.789999999804422,2456110.160000000149012,2169800.000000000000000,1894209.679999999934807,1984242.529999999795109,10580761.160000000149012
20160112,2090657.059999999823049,2471896.160000000149012,2165272.000000000000000,1940536.160000000149012,1965704.329999999841675,10634065.709999999031425
20160113,2064694.239999999757856,2423064.800000000279397,2146594.000000000000000,1888159.580000000074506,1913179.429999999934807,10435692.050000000745058
20160114,2104489.709999999962747,2454636.800000000279397,2155084.000000000000000,1914607.160000000149012,1948402.010000000009313,10577219.679999999701977
20160115,2064268.619999999878928,2424327.680000000167638,2121973.000000000000000,1888851.020000000018626,1913488.399999999906868,10412908.720000000670552
20160119,2074909.119999999878928,2473159.040000000037253,2171498.000000000000000,1946067.679999999934807,1932953.510000000009313,10598587.349999999627471
20160120,2037667.369999999878928,2436956.479999999981374,2146028.000000000000000,1984269.740000000223517,1879810.670000000158325,10484732.259999999776483
20160121,2041710.759999999776483,2480315.360000000335276,2171215.000000000000000,1961970.800000000046566,1911943.550000000046566,10567155.470000000670552
20160122,2058948.369999999878928,2492102.240000000223517,2189327.000000000000000,1976318.179999999934807,1936970.119999999878928,10653665.910000000149012
20160125,2051500.020000000018626,2508940.640000000130385,2174894.000000000000000,1959896.479999999981374,1960451.840000000083819,10655682.980000000447035
20160126,2153223.200000000186265,2534829.680000000167638,2230362.000000000000000,1969922.359999999869615,1977445.189999999944121,10865782.429999999701977
20160127,2174078.580000000074506,2544090.800000000279397,2230079.000000000000000,1941746.179999999934807,1975900.340000000083819,10865894.900000000372529
20160128,2176419.490000000223517,2575873.279999999795109,2258945.000000000000000,1925324.479999999981374,1984242.529999999795109,10920804.779999999329448
20160129,2222599.259999999776483,2605340.479999999981374,2311866.000000000000000,1990665.560000000055879,2050362.109999999869615,11180833.410000000149012
20160201,2221109.589999999850988,2622810.319999999832362,2295735.000000000000000,2003284.340000000083819,2085584.689999999944121,11228523.939999999478459
20160202,2200679.830000000074506,2608918.640000000130385,2270265.000000000000000,1968539.479999999981374,2065810.609999999869615,11114213.560000000521541
20160203,2216214.959999999962747,2556719.600000000093132,2295169.000000000000000,1949006.300000000046566,2047581.379999999888241,11064691.240000002086163
20160204,2211107.519999999552965,2539670.719999999739230,2283849.000000000000000,1974071.000000000000000,2052215.929999999934807,11060914.169999998062849
20160205,2139603.360000000335276,2428958.240000000223517,2297999.000000000000000,1931201.719999999972060,2070136.189999999944121,10867898.509999999776483
20160208,2170673.620000000111759,2442639.439999999944121,2338185.000000000000000,1901815.520000000018626,2067046.490000000223517,10920360.070000000298023
20160209,2170035.189999999478459,2462845.520000000018626,2338751.000000000000000,1921521.560000000055879,2033368.760000000009313,10926522.029999999329448
20160210,2164927.750000000000000,2474000.959999999962747,2309885.000000000000000,1948833.439999999944121,2032750.820000000065193,10930397.970000000670552
20160211,2164289.320000000298023,2456952.080000000074506,2261209.000000000000000,1912187.120000000111759,2018229.229999999748543,10812866.750000000000000
20160212,2166843.040000000037253,2482209.680000000167638,2292056.000000000000000,1932930.319999999832362,2044800.650000000139698,10918839.690000001341105
20160216,2177483.540000000037253,2508519.680000000167638,2305640.000000000000000,1990492.700000000186265,2036149.490000000223517,11018285.410000002011657
20160217,2181314.120000000111759,2497153.760000000242144,2333374.000000000000000,2044943.600000000093132,2042637.859999999869615,11099423.339999999850988
20160218,2218343.059999999590218,2466213.200000000186265,2320073.000000000000000,2030250.500000000000000,1981152.830000000074506,11016032.589999999850988
20160219,2216640.580000000074506,2452742.479999999981374,2314696.000000000000000,2034226.280000000260770,1997837.209999999729916,11016142.549999998882413
20160222,2229196.370000000111759,2476737.200000000186265,2324318.000000000000000,2096283.020000000018626,2027807.299999999813735,11154341.890000000596046
20160223,2214938.099999999627471,2460530.240000000223517,2315262.000000000000000,2094208.700000000186265,2054069.750000000000000,11139008.789999999105930
20160224,2233665.379999999888241,2463897.919999999925494,2308187.000000000000000,2077787.000000000000000,2073843.830000000074506,11157381.130000000819564
20160225,2263884.399999999441206,2491470.800000000279397,2330261.000000000000000,2095073.000000000000000,2102269.070000000298023,11282958.269999999552965
20160226,2251115.799999999813735,2463897.919999999925494,2295169.000000000000000,2097320.179999999701977,2054996.660000000149012,11162499.559999998658895
20160229,2238985.629999999888241,2466634.160000000149012,2272246.000000000000000,2058772.399999999906868,2049744.170000000158325,11086382.359999999403954
20160301,2281760.439999999478459,2501573.839999999850988,2298848.000000000000000,2103197.419999999925494,2053451.809999999823049,11238831.509999999776483
20160302,2277929.860000000335276,2493786.080000000074506,2336204.000000000000000,2096283.020000000018626,2045727.559999999823049,11249930.520000001415610
20160303,2269630.269999999552965,2456110.160000000149012,2344411.000000000000000,2105790.320000000298023,2043564.770000000018626,11219506.519999999552965
20160304,2266438.120000000111759,2466423.680000000167638,2362806.000000000000000,2105444.599999999627471,2063338.850000000093132,11264451.250000000000000
20160307,2271545.559999999590218,2465792.240000000223517,2351769.000000000000000,2104753.160000000149012,2097634.520000000018626,11291494.480000000447035
20160308,2260479.439999999478459,2492523.200000000186265,2350637.000000000000000,2103024.559999999590218,2102269.070000000298023,11308933.269999999552965
20160309,2273673.660000000149012,2518201.760000000242144,2347807.000000000000000,2093344.399999999906868,2086511.600000000093132,11319538.419999999925494
20160310,2280057.959999999962747,2525358.080000000074506,2328563.000000000000000,2110457.540000000037253,2082803.959999999729916,11327240.539999999105930
20160311,2292188.129999999888241,2558403.439999999944121,2313564.000000000000000,2162488.400000000372529,2075388.679999999934807,11402032.650000000372529
20160314,2291124.080000000074506,2586818.240000000223517,2297150.000000000000000,2164562.719999999739230,2081259.109999999869615,11420914.149999998509884
20160315,2293252.179999999701977,2597973.680000000167638,2301112.000000000000000,2158166.900000000372529,2103813.919999999925494,11454318.679999999701977
20160316,2285803.830000000074506,2599868.000000000000000,2301961.000000000000000,2159031.200000000186265,2100724.219999999739230,11447388.250000000000000
20160317,2271545.559999999590218,2592290.719999999739230,2341864.000000000000000,2152635.379999999888241,2084039.840000000083819,11442375.500000000000000
20160318,2287719.120000000111759,2611654.879999999888241,2353184.000000000000000,2190491.719999999739230,2068591.340000000083819,11511641.059999998658895
20160321,2283037.299999999813735,2605971.919999999925494,2357995.000000000000000,2190837.440000000409782,2100106.279999999795109,11537947.939999999478459
20160322,2285165.399999999441206,2606182.399999999906868,2341581.000000000000000,2212963.520000000484288,2097016.580000000074506,11542908.900000000372529
20160323,2309000.120000000111759,2613970.160000000149012,2343845.000000000000000,2243559.740000000223517,2084348.809999999823049,11594723.830000000074506
20160324,2304956.729999999515712,2595026.959999999962747,2345826.000000000000000,2222816.540000000037253,2101033.189999999944121,11569659.419999999925494
20160328,2303254.250000000000000,2592501.200000000186265,2338185.000000000000000,2228520.919999999925494,2104740.830000000074506,11567202.200000001117587
20160329,2322619.959999999962747,2609339.600000000093132,2343279.000000000000000,2244251.180000000633299,2101960.100000000093132,11621449.840000001713634
20160330,2319215.000000000000000,2648488.879999999888241,2339883.000000000000000,2241658.280000000260770,2125750.790000000037253,11674995.949999999254942
20160331,2302615.820000000298023,2645331.680000000167638,2329412.000000000000000,2228175.200000000186265,2116172.719999999739230,11621707.419999998062849
20160401,2323684.009999999776483,2673536.000000000000000,2363938.000000000000000,2245806.919999999925494,2133784.010000000242144,11740748.939999999478459
20160404,2310915.410000000149012,2685112.399999999906868,2354882.000000000000000,2238373.940000000409782,2135019.889999999664724,11724303.640000000596046
20160405,2318576.570000000298023,2681113.279999999795109,2353467.000000000000000,2196023.240000000223517,2120807.270000000018626,11669987.359999999403954
20160406,2328578.639999999664724,2684060.000000000000000,2371862.000000000000000,2213136.379999999888241,2133166.070000000298023,11730803.089999999850988
20160407,2325386.490000000223517,2697109.759999999776483,2355731.000000000000000,2193084.620000000111759,2107830.529999999795109,11679142.400000000372529
20160408,2321768.719999999739230,2693321.120000000111759,2354599.000000000000000,2172514.280000000260770,2102887.010000000242144,11645090.130000000819564
20160411,2319002.189999999478459,2684901.919999999925494,2341298.000000000000000,2183750.179999999701977,2082494.990000000223517,11611447.279999999329448
20160412,2332409.219999999739230,2685954.319999999832362,2344128.000000000000000,2191874.599999999627471,2125750.790000000037253,11680116.929999999701977
20160413,2338155.089999999850988,2670799.760000000242144,2333657.000000000000000,2208469.160000000149012,2136564.740000000223517,11687645.750000000000000
20160414,2337516.660000000149012,2683849.520000000018626,2320922.000000000000000,2212272.080000000074506,2125750.790000000037253,11680311.050000000745058
20160415,2344752.200000000186265,2689532.479999999981374,2329129.000000000000000,2201036.179999999701977,2133784.010000000242144,11698233.869999999180436
20160418,2360712.950000000186265,2712053.839999999850988,2344128.000000000000000,2209333.459999999962747,2158501.609999999869615,11784729.859999999403954
20160419,2397954.700000000186265,2712264.320000000298023,2356863.000000000000000,2255832.799999999813735,2155720.879999999888241,11878635.699999999254942
20160420,2417107.599999999627471,2705739.440000000409782,2307904.000000000000000,2315123.780000000260770,2138418.559999999590218,11884293.379999998956919
20160421,2416894.790000000037253,2647646.959999999962747,2286679.000000000000000,2298356.360000000335276,2115554.779999999795109,11765131.889999998733401
20160422,2411574.540000000037253,2641543.040000000037253,2290924.000000000000000,2318580.979999999515712,2123279.029999999795109,11785901.589999997988343
20160425,2415617.929999999701977,2682797.120000000111759,2303942.000000000000000,2312530.879999999888241,2146451.779999999795109,11861339.709999999031425
20160426,2402849.330000000074506,2688059.120000000111759,2251304.000000000000000,2320482.440000000409782,2141199.290000000037253,11803894.179999999701977
20160427,2399869.990000000223517,2700477.440000000409782,2260926.000000000000000,2295590.600000000558794,2144906.930000000167638,11801770.960000000894070
20160428,2393698.500000000000000,2692479.200000000186265,2257247.000000000000000,2282971.820000000298023,2129149.459999999962747,11755545.980000000447035
20160429,2385186.099999999627471,2662380.560000000055879,2267435.000000000000000,2276230.280000000260770,2066119.580000000074506,11657351.520000001415610
20160502,2399444.370000000111759,2698372.639999999664724,2291490.000000000000000,2283490.400000000372529,2088365.420000000158325,11761162.830000000074506
20160503,2398167.509999999776483,2702582.240000000223517,2295169.000000000000000,2289713.360000000335276,2070136.189999999944121,11755768.299999998882413
20160504,2388165.439999999478459,2722156.880000000353903,2309319.000000000000000,2282280.379999999888241,2076006.619999999878928,11777928.319999998435378
20160505,2402210.899999999441206,2721104.479999999981374,2300829.000000000000000,2287120.459999999962747,2076624.559999999823049,11787889.400000000372529
20160506,2399231.559999999590218,2748466.880000000353903,2324318.000000000000000,2282453.240000000223517,2108757.439999999944121,11863227.119999999180436
20160509,2420086.939999999478459,2753728.880000000353903,2324035.000000000000000,2293343.419999999925494,2130385.339999999850988,11921579.580000000074506
20160510,2440303.889999999664724,2769935.839999999850988,2334223.000000000000000,2308900.820000000298023,2125441.820000000298023,11978805.370000001043081
20160511,2433919.589999999850988,2718157.759999999776483,2324884.000000000000000,2259117.139999999664724,2051906.959999999729916,11787985.449999997392297
20160512,2430940.250000000000000,2738784.800000000279397,2332242.000000000000000,2242695.440000000409782,2065501.639999999664724,11810164.130000002682209
20160513,2416681.979999999515712,2711632.880000000353903,2298848.000000000000000,2229903.799999999813735,2006488.369999999878928,11663555.029999999329448
20160516,2435409.259999999776483,2728681.759999999776483,2310168.000000000000000,2258252.839999999850988,2039857.129999999888241,11772368.989999998360872
20160517,2422427.849999999627471,2687638.160000000149012,2281585.000000000000000,2239583.959999999962747,2011431.889999999664724,11642666.859999999403954
20160518,2417320.410000000149012,2656487.120000000111759,2259794.000000000000000,2256005.660000000149012,1951182.739999999990687,11540789.930000001564622
20160519,2401572.469999999739230,2637122.959999999962747,2269416.000000000000000,2247189.799999999813735,2138109.589999999850988,11693410.820000000298023
20160520,2397103.459999999962747,2579661.919999999925494,2264605.000000000000000,2263438.639999999664724,2158501.609999999869615,11663310.629999998956919
20160523,2386888.580000000074506,2584923.919999999925494,2269699.000000000000000,2254449.919999999925494,2147378.689999999944121,11643340.109999999403954
20160524,2398167.509999999776483,2608918.640000000130385,2291490.000000000000000,2291960.540000000037253,2170242.469999999739230,11760779.160000000149012
20160525,2412212.969999999739230,2594395.520000000018626,2305923.000000000000000,2306307.919999999925494,2177657.750000000000000,11796497.160000000149012
20160526,2402636.519999999552965,2605550.959999999962747,2298565.000000000000000,2298702.080000000074506,2189089.639999999664724,11794544.199999999254942
20160527,2406041.479999999515712,2594185.040000000037253,2304508.000000000000000,2316333.799999999813735,2185999.939999999944121,11807068.259999999776483
20160531,2398167.509999999776483,2569137.919999999925494,2293471.000000000000000,2310629.419999999925494,2186926.850000000093132,11758332.699999999254942
20160601,2400082.799999999813735,2567243.600000000093132,2314696.000000000000000,2325495.379999999888241,2178275.689999999944121,11785793.470000000670552
20160602,2436473.309999999590218,2550405.200000000186265,2319224.000000000000000,2351597.240000000223517,2192179.339999999850988,11849879.089999999850988
20160603,2442219.179999999701977,2554193.839999999850988,2333940.000000000000000,2365426.040000000037253,2189707.580000000074506,11885486.639999998733401
20160606,2463712.990000000223517,2567875.040000000037253,2342430.000000000000000,2388070.700000000186265,2195269.040000000037253,11957357.769999999552965
20160607,2462861.750000000000000,2565770.240000000223517,2329695.000000000000000,2367154.639999999664724,2194651.100000000093132,11920132.729999998584390
20160608,2464351.419999999925494,2570190.319999999832362,2339034.000000000000000,2426964.200000000186265,2202375.350000000093132,12002915.290000000968575
20160609,2489888.620000000111759,2584502.959999999962747,2353750.000000000000000,2431804.280000000260770,2196504.919999999925494,12056450.779999999329448
20160610,2490101.429999999701977,2575452.319999999832362,2354599.000000000000000,2406912.440000000409782,2198049.770000000018626,12025114.960000000894070
20160613,2485419.610000000335276,2588712.560000000055879,2336770.000000000000000,2387033.540000000037253,2179202.600000000093132,11977138.310000000521541
20160614,2492442.339999999850988,2578609.520000000018626,2358844.000000000000000,2383230.620000000111759,2192179.339999999850988,12005305.820000000298023
20160615,2477332.830000000074506,2573137.040000000037253,2347524.000000000000000,2372686.160000000149012,2197431.830000000074506,11968111.860000001266599
20160616,2482227.459999999962747,2577767.600000000093132,2360542.000000000000000,2396886.559999999590218,2202993.290000000037253,12020416.910000000149012
20160617,2457541.500000000000000,2573558.000000000000000,2352618.000000000000000,2380119.139999999664724,2192179.339999999850988,11956015.980000000447035
20160620,2480099.360000000335276,2597763.200000000186265,2350071.000000000000000,2394466.520000000484288,2196813.889999999664724,12019213.970000002533197
20160621,2472438.200000000186265,2581135.279999999795109,2360542.000000000000000,2388762.139999999664724,2207936.809999999590218,12010814.429999999701977
20160622,2478396.879999999888241,2538828.800000000279397,2365070.000000000000000,2383749.200000000186265,2216896.939999999944121,11982941.819999998435378
20160623,2497975.399999999441206,2551247.120000000111759,2383182.000000000000000,2406048.139999999664724,2227710.889999999664724,12066163.550000000745058
20160624,2460733.649999999441206,2513992.160000000149012,2327997.000000000000000,2373204.740000000223517,2223385.309999999590218,11899312.859999999403954
20160627,2480312.169999999925494,2447901.439999999944121,2298848.000000000000000,2370093.260000000707805,2209172.689999999944121,11806327.560000000521541
