代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13772458.580000001937151
真實報酬,3772458.580000001937151

夏普值報酬,0.368545858000000
夏普值風險,0.091056451933979
夏普值,4.047443648114215

預期報酬,17385.403572562328918
風險,433847.573879080940969
趨勢值,0.040072607568408
找到最佳解世代,2275
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
IBM[10](1),MCD[15](12),UNH[23](2),
20101119,3926729.320000000298023,3633538.919999999925494,3783101.080000000074506,11343370.320000000298023
20101122,3935933.459999999497086,3628064.040000000037253,3831440.640000000130385,11395439.140000000596046
20101123,3876106.550000000279397,3604795.800000000279397,3788355.379999999888241,11269258.730000000447035
20101124,3947303.280000000260770,3626239.080000000074506,3802016.560000000055879,11375559.919999999925494
20101126,3895597.670000000391155,3583352.520000000484288,3770490.760000000242144,11249441.950000001117587
20101129,3868255.959999999497086,3570577.800000000279397,3845101.820000000298023,11283936.580000000074506
20101130,3829544.430000000167638,3572402.759999999776483,3837745.800000000279397,11239693.990000000223517
20101201,3909403.879999999888241,3617570.520000000484288,3958594.700000000186265,11485570.100000001490116
20101202,3930248.550000000279397,3621676.679999999701977,3998527.379999999888241,11550453.609999999403954
20101203,3935662.750000000000000,3639013.800000000279397,3974357.600000000093132,11549035.150000000372529
20101206,3925105.060000000055879,3630801.479999999981374,3918662.020000000018626,11474569.560000000521541
20101207,3898846.190000000409782,3665475.720000000204891,3864017.300000000279397,11428340.210000000894070
20101208,3924834.349999999627471,3592477.319999999832362,3871373.320000000298023,11388685.990000000223517
20101209,3906426.070000000298023,3540922.200000000186265,3851406.979999999981374,11298756.250000000000000
20101210,3920502.989999999757856,3538641.000000000000000,3853508.700000000186265,11312653.690000001341105
20101213,3905884.649999999906868,3518110.200000000186265,3877678.479999999981374,11301674.330000000074506
20101214,3947573.989999999757856,3518110.200000000186265,3835644.080000000074506,11301329.269999999552965
20101215,3917795.890000000130385,3512179.080000000074506,3725303.780000000260770,11155279.750000000000000
20101216,3913193.820000000298023,3499860.599999999627471,3742117.540000000037253,11155172.960000000894070
20101217,3925375.770000000018626,3504423.000000000000000,3683269.379999999888241,11113069.149999998509884
20101220,3912110.979999999981374,3509441.640000000130385,3696930.560000000055879,11118484.179999999701977
20101221,3945408.310000000055879,3506704.200000000186265,3712693.459999999962747,11164806.969999998807907
20101222,3951093.219999999739230,3513547.800000000279397,3766287.320000000298023,11230929.339999999850988
20101223,3949468.959999999497086,3511266.599999999627471,3758931.300000000279397,11219667.859999999403954
20101227,3934579.910000000149012,3487085.880000000353903,3734761.520000000018626,11156428.310000000521541
20101228,3944596.180000000167638,3487085.880000000353903,3753677.000000000000000,11185360.060000000521541
20101229,3966523.690000000409782,3512635.319999999832362,3773643.339999999850988,11252803.349999999627471
20101230,3970584.339999999850988,3502141.800000000279397,3776795.919999999925494,11249523.060000000521541
20101231,3973020.729999999981374,3502141.800000000279397,3794660.540000000037253,11269824.070000000298023
20110103,3992511.849999999627471,3494841.959999999962747,3901848.260000000242144,11389203.070000000298023
20110104,3996843.209999999497086,3390363.000000000000000,3937577.500000000000000,11324784.709999999031425
20110105,3980871.320000000298023,3406331.399999999906868,3950187.820000000298023,11337391.540000000968575
20110106,4024455.629999999888241,3385800.599999999627471,4032154.899999999906868,11442412.129999998956919
20110107,4004693.800000000279397,3393100.440000000409782,4040561.780000000260770,11438357.019999999552965
20110110,3996843.209999999497086,3356145.000000000000000,4040561.780000000260770,11393550.989999998360872
20110111,3987097.649999999906868,3371657.160000000149012,4106765.959999999962747,11465521.769999999552965
20110112,4036366.869999999646097,3357969.959999999962747,4083647.040000000037253,11477984.870000001043081
20110113,4028786.989999999757856,3315539.640000000130385,4161410.680000000167638,11505738.310000000521541
20110114,4060730.770000000018626,3378957.000000000000000,4284361.300000000745058,11724050.070000000298023
20110118,4078326.920000000391155,3407243.880000000353903,4295920.760000000707805,11781492.560000002384186
20110119,4214764.759999999776483,3437811.959999999962747,4262293.240000000223517,11914870.960000000894070
20110120,4217742.570000000298023,3429143.399999999906868,4236021.740000000223517,11882908.710000000894070
20110121,4209621.269999999552965,3422299.800000000279397,4246530.339999999850988,11878452.410000000149012
20110124,4321424.500000000000000,3439180.679999999701977,4183478.740000000223517,11944084.919999999925494
20110125,4370423.009999999776483,3443743.080000000074506,4268598.399999999441206,12082765.489999998360872
20110126,4359594.609999999403954,3429599.640000000130385,4229716.580000000074506,12018911.830000000074506
20110127,4360406.740000000223517,3392187.959999999962747,4444092.019999999552965,12196687.719999998807907
20110128,4310054.679999999701977,3343370.280000000260770,4301175.059999999590218,11954601.019999999552965
20110131,4385582.769999999552965,3361163.640000000130385,4313785.379999999888241,12060532.789999999105930
20110201,4427813.529999999329448,3352038.839999999850988,4420973.100000000558794,12200826.469999998807907
20110202,4420775.070000000298023,3359794.919999999925494,4408362.780000000260770,12188933.769999999552965
20110203,4427001.400000000372529,3368463.479999999981374,4522906.519999999552965,12318372.400000000372529
20110204,4439724.769999999552965,3378500.759999999776483,4465109.220000000670552,12283335.750000000000000
20110207,4461922.990000000223517,3351126.360000000335276,4393650.740000000223517,12206701.089999999850988
20110208,4495220.320000000298023,3438268.200000000186265,4410464.500000000000000,12343954.019999999552965
20110209,4457320.919999999925494,3464273.880000000353903,4420973.100000000558794,12342568.900000002235174
20110210,4442161.160000000149012,3456517.800000000279397,4458804.059999999590218,12357484.019999999552965
20110211,4435664.119999999180436,3473854.919999999925494,4453549.760000000707805,12363069.800000000745058
20110214,4418609.390000000596046,3478417.319999999832362,4461956.640000000596046,12358984.350000001490116
20110215,4408322.410000000149012,3474311.160000000149012,4416769.660000000149012,12299404.230000000447035
20110216,4423482.169999999925494,3468380.040000000037253,4466160.080000000074506,12358023.289999999105930
20110217,4446221.810000000521541,3466555.080000000074506,4475617.820000000298023,12388395.710000000894070
20110218,4462464.410000000149012,3473398.679999999701977,4501889.320000000298023,12437753.410000000149012
20110222,4384229.219999998807907,3453780.360000000335276,4514499.640000000596046,12352510.219999998807907
20110223,4336313.550000000745058,3430512.120000000111759,4509245.339999999850988,12276072.010000001639128
20110224,4352285.439999999478459,3431424.599999999627471,4492431.580000000074506,12276142.619999999180436
20110225,4393162.650000000372529,3396294.120000000111759,4468261.800000000745058,12257719.570000000298023
20110228,4382334.250000000000000,3452867.880000000353903,4474566.959999999962747,12309770.089999999850988
20110301,4330628.640000000596046,3416824.919999999925494,4460905.780000000260770,12208360.339999999850988
20110302,4335772.130000000819564,3407700.120000000111759,4577551.240000000223517,12321024.490000002086163
20110303,4425647.849999999627471,3478417.319999999832362,4706807.019999999552965,12610873.189999999478459
20110304,4380980.700000001117587,3468836.280000000260770,4671077.780000000260770,12520895.760000001639128
20110307,4329545.800000000745058,3480698.520000000484288,4577551.240000000223517,12387796.560000002384186
20110308,4393162.650000000372529,3446480.520000000484288,4605924.459999999962747,12445568.630000000819564
20110309,4490076.830000000074506,3457430.280000000260770,4675281.220000000670552,12622789.330000001937151
20110310,4386124.189999999478459,3498491.880000000353903,4601721.019999999552965,12486338.089999999850988
20110311,4397223.300000000745058,3500773.080000000074506,4580703.820000000298023,12478701.200000001117587
20110314,4369069.459999999031425,3452411.640000000130385,4535516.839999999850988,12356998.939999999478459
20110315,4304911.189999999478459,3427318.440000000409782,4496635.019999999552965,12228865.649999998509884
20110316,4141943.770000000018626,3347932.679999999701977,4398905.040000000037253,11888782.489999998360872
20110317,4173887.550000000279397,3348845.160000000149012,4441990.300000000745058,11964724.010000001639128
20110318,4220178.959999999031425,3330139.319999999832362,4476668.680000000633299,12026987.960000000894070
20110321,4268636.050000000745058,3365269.800000000279397,4538669.419999999925494,12172576.270000001415610
20110322,4277298.769999999552965,3370288.440000000409782,4491380.720000000670552,12138968.929999999701977
20110323,4318717.400000000372529,3400400.280000000260770,4492431.580000000074506,12211550.260000001639128
20110324,4332523.609999999403954,3418649.880000000353903,4602771.879999999888241,12353946.370000001043081
20110325,4390455.550000000745058,3433249.560000000055879,4597517.580000000074506,12421223.690000001341105
20110328,4368528.040000000968575,3421843.560000000055879,4610127.899999999441206,12400500.500000000000000
20110329,4409405.250000000000000,3438724.440000000409782,4674230.359999999403954,12522361.050000000745058
20110330,4428896.369999999180436,3458799.000000000000000,4770909.479999999515712,12658605.849999997764826
20110331,4414548.740000000223517,3471573.720000000204891,4749892.280000000260770,12636015.740000002086163
20110401,4447033.939999999478459,3467011.319999999832362,4792977.540000000037253,12707023.800000000745058
20110404,4446492.519999999552965,3485260.919999999925494,4791926.680000000633299,12723681.120000001043081
20110405,4439454.060000000521541,3494841.959999999962747,4738332.820000000298023,12672629.839999999850988
20110406,4440807.609999999403954,3500316.839999999850988,4724671.640000000596046,12665797.089999999850988
20110407,4450011.750000000000000,3467923.800000000279397,4668976.059999999590218,12586912.609999999403954
20110408,4441078.320000000298023,3469292.520000000484288,4663721.760000000707805,12574093.600000001490116
20110411,4438371.219999998807907,3478873.560000000055879,4657416.600000000558794,12574662.379999998956919
20110412,4419421.519999999552965,3497579.399999999906868,4708908.740000000223517,12625910.660000000149012
20110413,4438371.219999998807907,3508072.919999999925494,4658467.459999999962747,12604912.599999997764826
20110414,4465983.640000000596046,3516285.239999999757856,4709959.600000000558794,12692229.480000000447035
20110415,4499551.679999999701977,3530428.679999999701977,4726773.359999999403954,12756754.719999998807907
20110418,4492242.509999999776483,3513091.560000000055879,4576500.379999999888241,12581835.449999999254942
20110419,4477624.169999999925494,3494841.959999999962747,4619585.640000000596046,12592052.769999999552965
20110420,4460028.019999999552965,3576965.160000000149012,4649009.720000000670552,12686003.900000000372529
20110421,4555588.650000000372529,3508985.399999999906868,5024166.740000000223517,13088741.790000000968575
20110425,4539075.339999999850988,3519022.679999999701977,5013658.140000000596046,13071757.160000000149012
20110426,4561273.560000000521541,3510354.120000000111759,4975827.180000000633299,13047455.860000001266599
20110427,4612167.040000000968575,3552784.440000000409782,5066201.140000000596046,13231153.620000001043081
20110428,4623266.150000000372529,3560084.280000000260770,5159727.680000000633299,13343079.110000001266599
20110429,4617851.950000001117587,3572859.000000000000000,5173388.859999999403954,13364100.810000000521541
20110502,4660353.419999999925494,3587914.919999999925494,5241694.760000000707805,13489964.100000001490116
20110503,4679844.540000000968575,3601602.120000000111759,5220677.559999999590218,13502125.220000000670552
20110504,4618934.790000000968575,3607533.239999999757856,5208067.240000000223517,13434536.270000001415610
20110505,4560461.429999999701977,3586089.959999999962747,5210168.959999999962747,13356721.349999999627471
20110506,4572101.959999999031425,3590652.360000000335276,5266915.399999999441206,13429670.719999998807907
20110509,4577786.869999999180436,3618483.000000000000000,5303695.500000000000000,13499966.369999999180436
20110510,4612437.750000000000000,3636732.599999999627471,5307898.939999999478459,13557070.289999999105930
20110511,4588615.269999999552965,3627607.800000000279397,5256406.800000000745058,13472630.870000001043081
20110512,4662789.810000000521541,3680075.399999999906868,5262711.959999999962747,13605578.170000001788139
20110513,4599985.089999999850988,3683725.319999999832362,5249050.780000000260770,13532762.190000001341105
20110516,4571289.830000000074506,3701974.919999999925494,5272169.700000000186265,13545435.449999999254942
20110517,4615686.269999999552965,3692393.880000000353903,5253254.220000000670552,13561335.370000001043081
20110518,4614062.009999999776483,3718399.560000000055879,5318407.540000000037253,13650870.109999999403954
20110519,4618122.660000000149012,3764479.800000000279397,5312102.379999999888241,13694705.839999999850988
20110520,4606482.130000000819564,3756267.479999999981374,5226982.720000000670552,13589733.330000001937151
20110523,4555047.230000000447035,3764023.560000000055879,5166032.839999999850988,13485104.630000000819564
20110524,4547738.060000000521541,3770410.919999999925494,5039929.640000000596046,13358079.620000001043081
20110525,4541241.019999999552965,3774060.839999999850988,5030471.899999999441206,13345774.759999997913837
20110526,4525810.550000000745058,3760829.880000000353903,5012607.280000000260770,13299248.710000000894070
20110527,4534473.269999999552965,3723874.440000000409782,5075658.879999999888241,13334007.589999999850988
20110531,4573184.800000000745058,3720224.520000000484288,5143964.780000000260770,13437375.100000001490116
20110601,4509026.529999999329448,3694675.080000000074506,5080913.180000000633299,13284615.789999999105930
20110602,4496303.160000000149012,3684181.560000000055879,5190202.620000000111759,13370688.339999999850988
20110603,4468149.320000000298023,3674600.520000000484288,5133456.180000000633299,13276207.020000001415610
20110606,4460028.019999999552965,3681900.360000000335276,5059895.979999999515712,13201825.359999999403954
20110607,4431332.759999999776483,3701974.919999999925494,5040980.500000000000000,13174289.179999999701977
20110608,4448928.910000000149012,3702431.160000000149012,5065150.280000000260770,13216511.350000001490116
20110609,4462464.410000000149012,3707449.800000000279397,5317356.680000000633299,13487271.890000000596046
20110610,4417526.550000000745058,3666388.200000000186265,5192304.339999999850988,13276220.089999999850988
20110613,4417255.839999999850988,3683269.080000000074506,5160778.540000000037253,13261304.460000000894070
20110614,4442973.290000000968575,3717030.839999999850988,5212270.680000000633299,13372275.810000002384186
20110615,4394516.200000001117587,3706537.319999999832362,5185999.180000000633299,13287053.700000002980232
20110616,4403720.339999999850988,3732543.000000000000000,5218575.839999999850988,13354840.179999999701977
20110617,4451636.009999999776483,3764936.040000000037253,5250101.640000000596046,13466674.690000001341105
20110620,4467337.189999999478459,3772692.120000000111759,5387764.300000000745058,13627794.609999999403954
20110621,4499822.390000000596046,3777710.759999999776483,5487596.000000000000000,13765130.150000000372529
20110622,4485204.050000000745058,3770867.160000000149012,5441358.160000000149012,13697430.370000001043081
20110623,4497115.290000000968575,3754442.520000000484288,5375153.979999999515712,13626712.790000000968575
20110624,4468690.740000000223517,3733911.720000000204891,5302644.640000000596046,13505248.100000001490116
20110627,4537721.790000000968575,3755811.239999999757856,5362543.660000000149012,13656077.690000001341105
20110628,4602421.480000000447035,3848427.959999999962747,5440307.300000000745058,13891157.740000002086163
20110629,4616769.109999999403954,3858465.239999999757856,5416137.519999999552965,13891372.869999999180436
20110630,4644110.820000000298023,3847059.239999999757856,5420340.959999999962747,13911512.019999999552965
20110701,4725053.109999999403954,3907739.160000000149012,5583224.260000000707805,14216017.530000001192093
20110705,4749146.300000000745058,3907282.919999999925494,5553800.180000000633299,14210230.400000002235174
20110706,4810868.179999999701977,3917320.200000000186265,5583224.260000000707805,14311413.640000000596046
20110707,4777570.849999999627471,3926445.000000000000000,5530681.260000000707805,14234698.109999999403954
20110708,4777841.560000000521541,3905457.959999999962747,5472883.959999999962747,14156184.480000000447035
20110711,4737235.060000000521541,3894051.959999999962747,5353085.919999999925494,13984373.939999999478459
20110712,4711788.320000000298023,3877627.319999999832362,5402476.339999999850988,13991892.980000000447035
20110713,4719097.490000000223517,3876258.599999999627471,5436103.859999999403954,14031460.949999999254942
20110714,4716661.099999999627471,3915039.000000000000000,5492850.300000000745058,14124551.400000000372529
20110715,4752124.109999999403954,3899983.080000000074506,5461324.500000000000000,14113432.689999999478459
20110718,4745085.650000000372529,3896333.160000000149012,5459222.780000000260770,14100642.589999999850988
20110719,5013900.679999999701977,3933288.599999999627471,5406679.780000000260770,14353870.059999998658895
20110720,4971669.919999999925494,3936026.040000000037253,5412984.939999999478459,14320681.900000000372529
20110721,5005508.669999999925494,3948344.520000000484288,5480239.979999999515712,14434094.170000001788139
20110722,5013088.550000000745058,4040505.000000000000000,5543291.580000000074506,14596886.130000000819564
20110725,4973023.469999998807907,4020430.440000000409782,5425595.260000000707805,14419050.170000001788139
20110726,4952178.800000000745058,4015868.040000000037253,5386713.439999999478459,14354761.279999999329448
20110727,4909406.619999999180436,3973437.720000000204891,5242745.620000000111759,14125590.960000000894070
20110728,4921588.570000000298023,3959294.280000000260770,5245898.200000000186265,14126782.050000000745058
20110729,4922942.119999999180436,3945607.080000000074506,5215423.260000000707805,14083973.460000000894070
20110801,4893164.019999999552965,3941500.919999999925494,5046234.800000000745058,13880900.740000000223517
20110802,4820072.320000000298023,3880821.000000000000000,4936945.359999999403954,13637839.679999999701977
20110803,4841187.700000001117587,3902720.520000000484288,4957962.559999999590218,13701871.780000001192093
20110804,4642215.849999999627471,3845234.280000000260770,4736231.100000000558794,13223682.230000000447035
20110805,4682822.349999999627471,3881733.479999999981374,4787723.240000000223517,13352280.070000000298023
20110808,4499822.390000000596046,3746230.200000000186265,4406261.059999999590218,12652314.650000000372529
20110809,4618664.080000000074506,3921882.599999999627471,4700501.859999999403954,13241049.539999999105930
20110810,4400201.109999999403954,3836109.479999999981374,4397854.180000000633299,12634165.769999999552965
20110811,4513628.599999999627471,3936482.280000000260770,4616433.059999999590218,13066544.939999997615814
20110812,4553422.969999998807907,3946519.560000000055879,4708908.740000000223517,13208852.269999999552965
20110815,4683093.060000000521541,3961119.239999999757856,4827655.919999999925494,13471869.220000000670552
20110816,4635718.810000000521541,3954275.640000000130385,4781418.080000000074506,13371413.530000001192093
20110817,4642215.849999999627471,3992143.560000000055879,4784570.660000000149012,13418931.070000000298023
20110818,4435122.700000001117587,3905914.200000000186265,4612229.620000000111759,12953267.520000001415610
20110819,4264846.109999999403954,3979825.080000000074506,4552330.600000000558794,12797002.789999999105930
20110822,4303828.349999999627471,4004005.800000000279397,4582805.540000000037253,12890640.690000001341105
20110823,4448387.490000000223517,4084760.280000000260770,4715213.899999999441206,13248362.669999998062849
20110824,4514440.730000000447035,4112134.679999999701977,4824503.339999999850988,13451079.750000000000000
20110825,4482496.950000001117587,4047348.599999999627471,4738332.820000000298023,13268179.370000001043081
20110826,4578869.709999999031425,4103009.880000000353903,4804537.000000000000000,13486417.589999999850988
20110829,4673076.790000000968575,4142246.520000000484288,4913826.439999999478459,13729150.750000001862645
20110830,4670098.980000000447035,4141790.280000000260770,4968471.160000000149012,13780361.420000001788139
20110831,4653856.380000000819564,4124909.399999999906868,4993691.800000000745058,13772458.580000001937151
