代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12116669.780000001192093
真實報酬,2116669.780000001192093

夏普值報酬,0.202966978000000
夏普值風險,0.079988115564880
夏普值,2.537464179105081

預期報酬,10656.283863438857225
風險,278193.685406350938138
趨勢值,0.038305268675935
找到最佳解世代,1846
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](9),MCD[15](4),V[25](1),
20120222,3455052.400000000372529,4114939.479999999515712,4783746.719999999739230,12353739.599999999627471
20120223,3451061.600000000558794,4121071.330000000074506,4788680.100000000558794,12360814.030000001192093
20120224,3442082.300000000279397,4101040.619999999646097,4833080.520000000484288,12376204.440000001341105
20120227,3434100.700000000651926,4102675.779999999795109,4805124.700000000186265,12341902.179999999701977
20120228,3434100.700000000651926,4078965.959999999962747,4890636.620000000111759,12403704.280000001192093
20120229,3484983.400000000372529,4058526.459999999962747,4783746.719999999739230,12327257.580000000074506
20120301,3472013.299999999813735,4057300.089999999850988,4818280.379999999888241,12347594.769999999552965
20120302,3451061.600000000558794,4067519.839999999850988,4775524.419999999925494,12294106.859999999403954
20120305,3454054.700000000186265,4085506.599999999627471,4778813.339999999850988,12318375.640000000596046
20120306,3430109.900000000372529,4083462.649999999906868,4721257.240000000223517,12234830.790000000968575
20120307,3432105.300000000279397,4095317.560000000055879,4754146.440000000409782,12281570.300000000745058
20120308,3456050.100000000558794,3963687.179999999701977,4849525.120000000111759,12269263.400000000372529
20120309,3468022.500000000000000,3958781.700000000186265,4816635.919999999925494,12243441.120000001043081
20120312,3499948.899999999906868,3951423.479999999515712,4790324.559999999590218,12241697.939999997615814
20120313,3504937.400000000372529,3956328.959999999962747,4821569.299999999813735,12282836.660000000149012
20120314,3502942.000000000000000,3977177.250000000000000,4800191.320000000298023,12280311.570000000298023
20120315,3508928.200000000651926,4007836.500000000000000,4810058.080000000074506,12326823.780000001192093
20120316,3499948.899999999906868,3992302.479999999515712,4796902.400000000372529,12289154.779999999329448
20120319,3511921.300000000745058,3995164.010000000242144,4885703.240000000223517,12392789.550000000745058
20120320,3521898.299999999813735,3991893.689999999944121,4790324.559999999590218,12304117.550000000745058
20120321,3547838.500000000465661,3953876.219999999739230,4800191.320000000298023,12301907.040000000968575
20120322,3562804.000000000465661,3916267.539999999571592,4821569.299999999813735,12300641.839999999850988
20120323,3565797.100000000558794,3906047.789999999571592,4884058.780000000260770,12355904.670000001788139
20120326,3586748.800000000745058,3964095.969999999739230,4936681.500000000000000,12487527.269999999552965
20120327,3585751.100000000093132,3979221.200000000186265,4925170.280000000260770,12490143.580000001937151
20120328,3624661.399999999906868,3968592.659999999683350,4907081.219999999739230,12500336.279999999329448
20120329,3682528.000000000000000,3991484.899999999906868,4892281.080000000074506,12566294.980000000447035
20120330,3692505.000000000000000,4010289.239999999757856,4851169.580000000074506,12553964.820000000298023
20120402,3698491.200000000186265,4020917.779999999795109,4892281.080000000074506,12611691.060000000521541
20120403,3679534.900000000372529,4063431.939999999944121,4948192.719999999739230,12691160.559999998658895
20120404,3664569.399999999906868,3984944.260000000242144,4892281.080000000074506,12541795.740000000223517
20120405,3665567.100000000558794,4031546.319999999832362,4974504.080000000074506,12671618.500000000000000
20120409,3635636.100000000093132,4042174.859999999869615,4913659.059999999590218,12591471.019999999552965
20120410,3592735.000000000000000,3992711.270000000018626,4800191.320000000298023,12385638.589999999850988
20120411,3597723.500000000465661,4029093.580000000074506,4826502.680000000633299,12453320.760000001639128
20120412,3602712.000000000000000,3991484.899999999906868,4976148.540000000037253,12570346.440000001341105
20120413,3588744.200000000186265,3964095.969999999739230,5063304.919999999925494,12616146.089999999850988
20120416,3613686.700000000186265,3948153.159999999683350,4967926.240000000223517,12529767.099999999627471
20120417,3689511.899999999906868,3969819.029999999795109,5018904.500000000000000,12678236.429999999701977
20120418,3700486.600000000558794,3979221.200000000186265,5007393.280000000260770,12687102.080000001937151
20120419,3682528.000000000000000,3895010.459999999962747,4982726.379999999888241,12560265.839999999850988
20120420,3698491.200000000186265,3921990.599999999627471,4974504.080000000074506,12594986.879999998956919
20120423,3676541.800000000279397,3891331.349999999627471,4856102.959999999962747,12423977.109999999403954
20120424,3697493.500000000465661,3866803.950000000186265,4888992.160000000149012,12453290.610000001266599
20120425,3738399.200000000186265,3892557.719999999739230,5007393.280000000260770,12638351.199999999254942
20120426,3776311.800000000279397,3917493.909999999683350,5064949.379999999888241,12758756.089999999850988
20120427,3823203.700000000186265,3980856.359999999869615,5078105.059999999590218,12882166.120000001043081
20120430,3807240.500000000000000,3983717.890000000130385,5056727.080000000074506,12847686.470000000670552
20120501,3838169.200000000186265,3973498.140000000130385,5060016.000000000000000,12871684.339999999850988
20120502,3849143.899999999906868,3986170.629999999888241,5023837.879999999888241,12859153.410000000149012
20120503,3863111.700000000186265,3966957.500000000000000,4785391.180000000633299,12615461.380000000819564
20120504,3841162.300000000279397,3919129.069999999832362,4842947.280000000260770,12603239.650000000372529
20120507,3855130.100000000558794,3904412.629999999888241,4872547.559999999590218,12632091.289999999105930
20120508,3848146.200000000186265,3824289.789999999571592,4857747.419999999925494,12530184.410000000149012
20120509,3830187.600000000558794,3758065.810000000055879,4828147.139999999664724,12416401.550000000745058
20120510,3862114.000000000465661,3755613.069999999832362,4857747.419999999925494,12475475.490000000223517
20120511,3865107.100000000558794,3756839.439999999944121,4847880.660000000149012,12469828.200000001117587
20120514,3835176.100000000093132,3715142.859999999869615,4798546.860000000335276,12348866.820000000298023
20120515,3819212.900000000372529,3720457.129999999888241,4793613.479999999515712,12333284.509999999776483
20120516,3808238.200000000651926,3737626.310000000055879,4831436.059999999590218,12377301.570000000298023
20120517,3747378.500000000465661,3663635.319999999832362,4727835.080000000074506,12138849.900000000372529
20120518,3694500.400000000372529,3673037.489999999757856,4630811.940000000409782,11998350.830000001937151
20120521,3717447.500000000000000,3731085.669999999459833,4778813.339999999850988,12227347.509999999776483
20120522,3701484.300000000279397,3733947.200000000186265,4867614.180000000633299,12303046.679999999701977
20120523,3701484.300000000279397,3733947.200000000186265,4867614.180000000633299,12303046.679999999701977
20120524,3769327.900000000372529,3741714.209999999962747,4923525.820000000298023,12434568.929999999701977
20120525,3753364.700000000186265,3722092.289999999571592,4907081.219999999739230,12382539.210000000894070
20120529,3764339.399999999906868,3715960.439999999944121,4944903.799999999813735,12425204.640000000596046
20120530,3744385.400000000372529,3683666.029999999795109,4829791.600000000558794,12257844.030000001192093
20120531,3728422.200000000186265,3652189.200000000186265,4736057.379999999888241,12116669.780000001192093
