代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15056297.899999998509884
真實報酬,5056297.899999998509884

夏普值報酬,0.496929790000000
夏普值風險,0.118632144128441
夏普值,4.188829205194013

預期報酬,20721.669319476037344
風險,247312.513691526779439
趨勢值,0.083787387100526
找到最佳解世代,2128
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](1),BA[2](13),HD[9](28),MCD[15](15),MRK[17](8),MSFT[18](7),PG[21](5),UNH[23](20),
20090511,1286846.130000000121072,1395750.699999999953434,1183986.120000000111759,1276036.159999999916181,1258250.719999999972060,1192004.819999999832362,1273513.189999999944121,1466304.219999999972060,10332692.060000000521541
20090512,1235400.589999999850988,1376400.500000000000000,1170213.440000000176951,1265950.080000000074506,1288159.580000000074506,1227172.109999999869615,1287924.500000000000000,1451954.800000000046566,10303175.600000001490116
20090513,1186735.889999999897555,1340509.000000000000000,1179236.919999999925494,1254691.199999999953434,1323740.810000000288710,1218534.529999999795109,1288430.159999999916181,1470024.440000000176951,10261902.949999999254942
20090514,1220801.179999999934807,1355801.899999999906868,1164989.320000000065193,1256567.679999999934807,1343336.270000000251457,1237660.599999999627471,1284384.879999999888241,1477464.880000000121072,10341006.710000000894070
20090515,1215934.709999999729916,1342069.500000000000000,1158815.360000000102445,1253987.520000000018626,1313427.410000000149012,1247532.119999999646097,1281098.090000000083819,1462052.540000000270084,10274917.250000000000000
20090518,1257647.309999999823049,1384827.199999999953434,1235752.400000000139698,1271344.959999999962747,1327350.500000000000000,1270976.979999999981374,1327871.640000000130385,1477996.340000000083819,10553767.330000000074506
20090519,1265989.830000000074506,1392629.699999999953434,1169738.520000000018626,1263604.479999999981374,1328897.510000000242144,1253084.849999999627471,1338743.330000000074506,1459395.240000000223517,10472083.460000000894070
20090520,1250000.000000000000000,1391381.300000000046566,1131744.919999999925494,1319429.760000000009313,1345398.950000000186265,1257403.639999999664724,1365796.140000000130385,1476401.960000000195578,10537556.669999999925494
20090521,1233314.959999999729916,1351120.399999999906868,1087102.440000000176951,1306294.399999999906868,1346945.960000000195578,1222853.319999999832362,1340513.140000000130385,1430696.400000000139698,10318841.019999999552965
20090522,1216629.919999999925494,1340196.899999999906868,1085677.679999999934807,1338898.239999999990687,1349524.310000000288710,1218534.529999999795109,1340765.969999999972060,1397745.880000000121072,10287973.430000001564622
20090526,1298664.699999999953434,1378273.099999999860302,1130320.160000000149012,1380180.800000000046566,1369635.440000000176951,1254935.759999999776483,1359728.219999999972060,1445045.820000000065193,10616784.000000000000000
20090527,1321606.630000000121072,1359859.199999999953434,1107998.919999999925494,1356255.679999999934807,1373245.130000000121072,1241979.389999999664724,1309162.219999999972060,1460989.619999999878928,10531096.789999999105930
20090528,1341767.719999999972060,1383266.699999999953434,1078078.959999999962747,1363527.040000000037253,1380464.510000000242144,1261722.429999999701977,1329641.449999999953434,1445045.820000000065193,10583514.629999998956919
20090529,1348719.819999999832362,1399808.000000000000000,1099925.280000000027940,1383699.199999999953434,1422233.780000000027940,1288869.109999999869615,1313207.500000000000000,1413689.680000000167638,10670152.369999999180436
20090601,1384175.530000000027940,1488756.500000000000000,1147417.280000000027940,1403871.360000000102445,1419655.430000000167638,1320334.579999999608845,1349109.359999999869615,1461521.080000000074506,10974841.120000001043081
20090602,1385565.949999999953434,1535571.500000000000000,1163564.560000000055879,1416303.040000000037253,1428421.820000000065193,1320334.579999999608845,1357958.409999999916181,1493408.680000000167638,11101128.540000000968575
20090603,1400165.359999999869615,1509667.199999999953434,1157390.600000000093132,1430611.199999999953434,1422749.450000000186265,1340694.589999999850988,1360486.709999999962747,1461521.080000000074506,11083286.189999999478459
20090604,1427278.550000000046566,1578329.199999999953434,1166889.000000000000000,1413019.199999999953434,1370666.780000000027940,1346864.289999999804422,1348856.530000000027940,1449297.500000000000000,11101201.050000000745058
20090605,1437011.489999999990687,1643246.000000000000000,1147892.200000000186265,1404340.479999999981374,1344367.610000000102445,1365990.359999999869615,1344558.419999999925494,1440262.680000000167638,11127669.240000000223517
20090608,1428668.969999999972060,1648863.800000000046566,1166414.080000000074506,1377366.080000000074506,1337148.230000000214204,1360437.629999999888241,1343547.100000000093132,1384459.380000000121072,11046905.270000001415610
20090609,1417545.609999999869615,1633883.000000000000000,1156440.760000000009313,1385810.239999999990687,1326319.160000000149012,1362288.539999999804422,1325090.510000000009313,1380739.160000000149012,10988116.980000000447035
20090610,1393213.259999999776483,1632322.500000000000000,1158340.440000000176951,1368921.919999999925494,1319615.450000000186265,1391286.129999999888241,1316747.119999999878928,1367452.660000000149012,10947899.480000000447035
20090611,1389737.209999999729916,1581138.099999999860302,1150741.719999999972060,1352737.280000000027940,1350555.650000000139698,1408561.289999999804422,1314977.309999999823049,1278167.380000000121072,10826615.940000001341105
20090612,1360538.389999999897555,1605481.899999999906868,1146942.360000000102445,1368921.919999999925494,1344883.280000000027940,1439409.789999999804422,1328630.129999999888241,1286670.740000000223517,10881478.509999999776483
20090615,1351500.659999999916181,1545558.700000000186265,1132694.760000000009313,1355317.439999999944121,1287128.240000000223517,1444962.519999999785796,1297784.869999999878928,1249468.540000000270084,10664415.730000000447035
20090616,1354281.500000000000000,1524023.800000000046566,1101824.959999999962747,1338663.679999999934807,1259797.730000000214204,1446813.429999999701977,1266686.780000000027940,1276573.000000000000000,10568664.879999998956919
20090617,1346634.189999999944121,1515285.000000000000000,1123196.360000000102445,1345700.479999999981374,1277330.510000000242144,1461003.739999999757856,1264411.309999999823049,1276573.000000000000000,10610134.589999999850988
20090618,1349415.030000000027940,1528081.100000000093132,1108948.760000000009313,1364230.719999999972060,1322709.469999999972060,1449898.279999999795109,1293739.590000000083819,1352571.780000000027940,10769594.729999998584390
20090619,1385565.949999999953434,1511851.899999999906868,1117022.400000000139698,1364465.280000000027940,1336116.890000000130385,1485065.569999999832362,1280339.600000000093132,1351508.860000000102445,10831936.449999999254942
20090622,1364014.439999999944121,1463788.500000000000000,1104199.560000000055879,1341712.959999999962747,1298472.980000000214204,1436324.939999999944121,1278316.959999999962747,1305271.840000000083819,10592102.179999999701977
20090623,1330644.359999999869615,1369222.199999999953434,1086627.520000000018626,1331392.320000000065193,1294863.290000000037253,1440026.759999999776483,1278064.129999999888241,1304208.919999999925494,10435049.499999998137355
20090624,1352891.080000000074506,1289636.699999999953434,1077129.120000000111759,1320602.560000000055879,1312396.070000000065193,1448047.369999999646097,1278064.129999999888241,1318558.340000000083819,10397325.370000001043081
20090625,1389042.000000000000000,1327400.800000000046566,1119397.000000000000000,1347811.520000000018626,1370151.110000000102445,1467790.409999999683350,1306633.919999999925494,1328124.619999999878928,10656351.379999998956919
20090626,1414764.770000000018626,1307114.300000000046566,1121296.679999999934807,1337021.760000000009313,1392324.920000000158325,1440643.729999999981374,1308403.729999999981374,1316432.500000000000000,10638002.390000000596046
20090629,1409898.300000000046566,1331146.000000000000000,1133644.600000000093132,1342416.639999999897555,1436156.870000000344589,1472109.199999999720603,1320539.569999999832362,1335033.600000000093132,10780944.779999999329448
20090630,1414764.770000000018626,1326464.500000000000000,1122246.520000000018626,1348515.199999999953434,1441829.240000000223517,1466556.469999999739230,1291969.780000000027940,1327593.160000000149012,10739939.640000000596046
20090701,1418240.819999999832362,1318037.799999999813735,1126045.880000000121072,1365638.080000000074506,1446470.270000000251457,1483214.659999999683350,1314724.479999999981374,1337159.440000000176951,10809531.429999999701977
20090702,1390432.419999999925494,1274343.800000000046566,1083303.080000000074506,1347576.959999999962747,1392840.590000000316650,1441877.669999999925494,1292222.609999999869615,1270726.940000000176951,10493324.069999998435378
20090706,1376528.219999999972060,1265917.100000000093132,1086627.520000000018626,1360243.199999999953434,1438219.550000000279397,1431389.179999999701977,1319022.590000000083819,1280293.219999999972060,10558240.580000000074506
20090707,1344548.559999999823049,1218477.899999999906868,1063831.360000000102445,1332330.560000000055879,1424296.460000000195578,1390052.189999999944121,1312449.010000000009313,1337690.900000000139698,10423676.940000001341105
20090708,1362624.020000000018626,1234395.000000000000000,1076179.280000000027940,1337960.000000000000000,1445954.600000000093132,1391903.099999999627471,1330905.600000000093132,1311117.900000000139698,10491039.500000000000000
20090709,1354281.500000000000000,1226592.500000000000000,1077129.120000000111759,1331626.880000000121072,1392840.590000000316650,1384499.459999999962747,1325090.510000000009313,1325467.320000000065193,10417527.880000000819564
20090710,1375833.009999999776483,1237516.000000000000000,1069530.400000000139698,1338194.560000000055879,1363963.070000000065193,1381414.609999999869615,1320286.739999999990687,1311117.900000000139698,10397856.290000000968575
20090713,1413374.349999999860302,1262171.899999999906868,1097550.679999999934807,1343354.880000000121072,1383042.860000000102445,1433240.089999999850988,1339501.819999999832362,1329187.540000000270084,10601424.120000001043081
20090714,1412679.139999999897555,1261235.599999999860302,1124621.120000000111759,1347811.520000000018626,1400575.640000000130385,1425836.449999999720603,1353660.300000000046566,1316432.500000000000000,10642852.269999999552965
20090715,1458563.000000000000000,1290885.100000000093132,1143617.919999999925494,1338898.239999999990687,1428937.490000000223517,1488150.419999999925494,1381724.429999999934807,1323872.940000000176951,10854649.539999999105930
20090716,1464819.889999999897555,1312420.000000000000000,1158815.360000000102445,1342182.080000000074506,1437188.210000000195578,1507893.459999999962747,1395882.909999999916181,1341942.580000000074506,10961144.490000000223517
20090717,1507227.699999999953434,1290885.100000000093132,1171638.200000000186265,1356724.800000000046566,1427390.480000000214204,1498638.909999999683350,1413833.840000000083819,1333439.219999999972060,10999778.250000000000000
20090720,1518351.059999999823049,1317101.500000000000000,1177812.160000000149012,1367045.439999999944121,1440797.900000000139698,1513446.189999999944121,1404731.959999999962747,1320152.719999999972060,11059438.930000001564622
20090721,1504446.859999999869615,1342693.700000000186265,1161664.880000000121072,1375255.040000000037253,1528977.469999999972060,1531955.289999999804422,1402962.150000000139698,1360012.219999999972060,11207967.610000001266599
20090722,1556587.609999999869615,1310859.500000000000000,1176387.400000000139698,1379711.679999999934807,1518664.070000000065193,1530104.379999999888241,1387286.689999999944121,1381802.080000000074506,11241403.410000000149012
20090723,1567710.969999999972060,1309299.000000000000000,1200608.320000000065193,1315676.800000000046566,1559917.670000000158325,1576994.099999999627471,1394618.760000000009313,1437605.380000000121072,11362431.000000000000000
20090724,1589262.479999999981374,1322407.199999999953434,1202508.000000000000000,1315442.239999999990687,1598077.250000000000000,1446813.429999999701977,1411811.199999999953434,1451954.800000000046566,11338276.599999999627471
20090727,1589957.689999999944121,1318349.900000000139698,1194909.280000000027940,1312862.080000000074506,1586732.510000000242144,1425836.449999999720603,1410294.219999999972060,1467898.600000000093132,11306840.730000000447035
20090728,1589262.479999999981374,1349872.000000000000000,1205832.440000000176951,1324590.080000000074506,1548057.260000000242144,1448047.369999999646097,1408524.409999999916181,1545491.760000000009313,11419677.799999998882413
20090729,1589262.479999999981374,1353617.199999999953434,1205832.440000000176951,1323182.719999999972060,1540322.210000000195578,1468407.379999999888241,1418890.439999999944121,1509883.940000000176951,11409398.809999998658895
20090730,1617070.880000000121072,1349559.900000000139698,1227678.760000000009313,1303948.800000000046566,1543931.900000000139698,1469024.349999999627471,1421671.569999999832362,1493408.680000000167638,11426294.839999999850988
20090731,1622632.559999999823049,1339260.599999999860302,1231953.040000000037253,1291517.120000000111759,1547541.590000000316650,1451132.219999999739230,1403467.809999999823049,1491282.840000000083819,11378787.779999999329448
20090803,1653221.800000000046566,1366725.399999999906868,1250000.000000000000000,1293159.040000000037253,1548057.260000000242144,1470258.289999999804422,1405996.109999999869615,1454080.640000000130385,11441498.539999999105930
20090804,1644184.069999999832362,1378273.099999999860302,1248575.239999999990687,1290344.320000000065193,1538775.200000000186265,1466556.469999999739230,1402203.659999999916181,1431227.860000000102445,11400139.919999999925494
20090805,1640012.809999999823049,1374215.800000000046566,1250474.919999999925494,1292220.800000000046566,1526914.790000000037253,1469024.349999999627471,1363015.010000000009313,1391368.360000000102445,11307246.839999997988343
20090806,1628194.239999999990687,1420718.700000000186265,1260448.239999999990687,1286356.800000000046566,1514023.040000000037253,1447430.399999999906868,1301071.659999999916181,1380739.160000000149012,11238982.240000000223517
20090807,1643488.859999999869615,1457234.399999999906868,1294642.480000000214204,1294800.959999999962747,1552182.620000000344589,1453600.099999999627471,1315482.969999999972060,1408906.540000000270084,11420338.930000001564622
20090810,1635841.550000000046566,1428521.200000000186265,1287043.760000000009313,1319898.880000000121072,1577966.120000000344589,1444962.519999999785796,1319022.590000000083819,1438668.300000000046566,11451924.919999999925494
20090811,1617070.880000000121072,1416661.399999999906868,1277070.440000000176951,1314034.880000000121072,1564043.030000000027940,1427070.389999999664724,1312954.669999999925494,1478527.800000000046566,11407433.490000000223517
20090812,1642098.439999999944121,1446310.900000000139698,1291792.959999999962747,1319664.320000000065193,1585185.500000000000000,1451749.189999999944121,1316747.119999999878928,1476933.419999999925494,11530481.849999999627471
20090813,1672687.679999999934807,1455049.699999999953434,1314589.120000000111759,1308405.439999999944121,1597561.580000000074506,1457301.919999999925494,1322309.379999999888241,1507758.100000000093132,11635662.919999999925494
20090814,1656697.849999999860302,1400432.199999999953434,1288943.440000000176951,1296442.880000000121072,1597561.580000000074506,1461620.709999999962747,1324079.189999999944121,1491282.840000000083819,11517060.689999999478459
20090817,1585091.219999999972060,1378273.099999999860302,1240026.679999999934807,1278381.760000000009313,1592404.880000000121072,1434474.029999999795109,1320033.909999999916181,1513604.160000000149012,11342289.740000000223517
20090818,1628889.449999999953434,1366413.300000000046566,1278970.120000000111759,1296208.320000000065193,1583638.490000000223517,1454834.039999999804422,1326101.830000000074506,1497660.360000000102445,11432715.910000000149012
20090819,1634451.130000000121072,1358298.700000000186265,1270421.560000000055879,1305356.159999999916181,1623345.080000000074506,1459152.829999999608845,1334950.879999999888241,1497660.360000000102445,11483636.699999999254942
20090820,1651831.380000000121072,1396374.900000000139698,1267097.120000000111759,1316849.600000000093132,1616125.700000000186265,1460386.769999999785796,1340513.140000000130385,1508821.020000000018626,11557999.630000000819564
20090821,1680334.989999999990687,1431642.199999999953434,1306040.560000000055879,1319898.880000000121072,1679037.440000000176951,1506042.549999999813735,1354671.619999999878928,1536988.400000000139698,11814656.640000000596046
20090824,1678944.569999999832362,1470966.800000000046566,1283719.320000000065193,1311454.719999999972060,1675943.420000000158325,1520232.859999999869615,1348603.699999999953434,1577910.820000000065193,11867776.209999999031425
20090825,1682420.619999999878928,1505922.000000000000000,1297492.000000000000000,1324120.959999999962747,1699148.570000000298023,1520232.859999999869615,1350120.679999999934807,1590134.400000000139698,11969592.089999999850988
20090826,1662954.739999999990687,1492501.699999999953434,1309365.000000000000000,1337021.760000000009313,1685225.480000000214204,1514680.129999999888241,1349109.359999999869615,1537519.860000000102445,11888378.029999997466803
20090827,1683115.830000000074506,1617341.699999999953434,1308415.160000000149012,1340774.719999999972060,1695023.209999999962747,1523317.709999999962747,1341524.459999999962747,1538051.320000000065193,12047564.109999999403954
20090828,1688677.509999999776483,1592997.899999999906868,1315064.040000000037253,1315207.679999999934807,1666661.360000000102445,1522700.739999999757856,1344811.250000000000000,1497660.360000000102445,11943780.839999997988343
20090831,1670602.050000000046566,1550240.199999999953434,1296067.239999999990687,1319195.199999999953434,1672333.730000000214204,1520849.829999999608845,1368071.609999999869615,1488094.080000000074506,11885453.939999999478459
20090901,1641403.229999999981374,1522151.200000000186265,1269946.639999999897555,1305121.600000000093132,1639330.850000000093132,1480746.779999999795109,1340513.140000000130385,1452486.260000000009313,11651699.699999999254942
20090902,1640708.020000000018626,1510603.500000000000000,1259973.320000000065193,1298788.479999999981374,1588795.190000000176951,1472109.199999999720603,1334950.879999999888241,1523170.440000000176951,11629099.029999999329448
20090903,1653917.009999999776483,1512476.100000000093132,1277545.360000000102445,1303479.679999999934807,1559402.000000000000000,1487533.449999999720603,1336720.689999999944121,1534331.100000000093132,11665405.389999998733401
20090904,1691458.349999999860302,1534011.000000000000000,1283719.320000000065193,1316849.600000000093132,1583122.820000000065193,1518998.919999999925494,1336467.859999999869615,1534862.560000000055879,11799490.429999999701977
20090908,1717181.119999999878928,1544934.500000000000000,1305090.719999999972060,1318726.080000000074506,1597045.910000000149012,1531338.319999999832362,1370347.080000000074506,1479590.719999999972060,11864254.450000001117587
20090909,1699800.869999999878928,1577080.800000000046566,1300341.520000000018626,1292220.800000000046566,1626954.770000000251457,1528870.439999999944121,1359222.559999999823049,1509352.479999999981374,11893844.240000000223517
20090910,1713705.069999999832362,1575832.400000000139698,1307465.320000000065193,1286591.360000000102445,1648097.240000000223517,1542443.779999999795109,1416867.800000000046566,1547086.140000000130385,12038089.110000001266599
20090911,1709533.809999999823049,1602673.000000000000000,1298441.840000000083819,1275801.600000000093132,1678006.100000000093132,1533806.199999999720603,1406754.600000000093132,1544960.300000000046566,12049977.449999999254942
20090914,1725523.639999999897555,1590813.199999999953434,1306515.480000000214204,1272048.639999999897555,1696054.550000000279397,1542443.779999999795109,1398158.379999999888241,1528485.040000000270084,12060042.709999999031425
20090915,1739427.839999999850988,1625144.199999999953434,1301766.280000000027940,1289640.639999999897555,1686256.820000000298023,1554783.179999999701977,1391331.969999999972060,1472150.280000000027940,12060501.210000000894070
20090916,1806168.000000000000000,1634195.100000000093132,1332636.080000000074506,1324590.080000000074506,1658926.310000000288710,1554783.179999999701977,1398411.209999999962747,1556652.419999999925494,12266362.380000000819564
20090917,1832585.979999999981374,1650424.300000000046566,1325987.200000000186265,1324355.520000000018626,1650675.590000000083819,1560952.879999999888241,1403973.469999999972060,1559309.719999999972060,12308264.660000000149012
20090918,1837452.449999999953434,1654793.700000000186265,1340709.719999999972060,1337021.760000000009313,1643971.880000000121072,1558485.000000000000000,1449230.040000000037253,1518918.760000000009313,12340583.310000000521541
20090921,1827719.509999999776483,1649800.100000000093132,1336435.440000000176951,1316849.600000000093132,1640877.860000000102445,1560952.879999999888241,1443667.780000000027940,1519450.219999999972060,12295753.390000000596046
20090922,1831890.770000000018626,1658538.899999999906868,1311739.600000000093132,1309109.120000000111759,1615610.030000000027940,1589950.469999999739230,1447207.400000000139698,1465772.760000000009313,12229819.050000000745058
20090923,1842318.919999999925494,1634507.199999999953434,1298916.760000000009313,1302776.000000000000000,1615610.030000000027940,1586248.649999999906868,1447460.229999999981374,1417941.360000000102445,12145779.150000000372529
20090924,1825633.880000000121072,1616405.399999999906868,1284194.239999999990687,1316380.479999999981374,1599108.590000000316650,1600438.959999999962747,1462377.199999999953434,1383396.460000000195578,12087935.210000000894070
20090925,1811034.469999999972060,1607978.700000000186265,1275170.760000000009313,1335848.959999999962747,1611484.670000000158325,1576377.129999999888241,1466675.309999999823049,1346725.719999999972060,12031295.720000000670552
20090928,1848575.809999999823049,1656354.199999999953434,1294642.480000000214204,1341009.280000000027940,1651706.930000000167638,1593652.289999999804422,1470467.760000000009313,1371172.880000000121072,12227581.630000000819564
20090929,1840928.500000000000000,1704729.699999999953434,1274220.919999999925494,1341009.280000000027940,1642424.870000000344589,1588716.529999999795109,1464147.010000000009313,1364795.360000000102445,12220972.169999999925494
20090930,1840928.500000000000000,1690061.000000000000000,1265197.440000000176951,1338663.679999999934807,1631080.130000000121072,1586865.619999999646097,1464399.840000000083819,1330781.919999999925494,12147978.129999998956919
20091001,1796435.059999999823049,1626392.600000000093132,1250000.000000000000000,1330923.199999999953434,1607874.980000000214204,1535040.139999999664724,1431531.939999999944121,1317495.419999999925494,11895693.339999999850988
20091002,1836062.030000000027940,1604233.500000000000000,1236227.320000000065193,1330219.520000000018626,1632111.469999999972060,1539975.899999999906868,1434818.729999999981374,1290390.960000000195578,11904039.430000001564622
20091005,1847185.389999999897555,1631698.300000000046566,1241926.360000000102445,1327873.919999999925494,1638299.510000000242144,1520232.859999999869615,1433048.919999999925494,1277635.919999999925494,11917901.179999999701977
20091006,1886812.359999999869615,1632010.399999999906868,1248575.239999999990687,1347342.399999999906868,1676459.090000000083819,1549230.449999999720603,1441897.969999999972060,1295705.560000000055879,12078033.470000000670552
20091007,1889593.199999999953434,1616405.399999999906868,1241451.440000000176951,1340305.600000000093132,1659957.650000000139698,1548613.479999999981374,1439875.330000000074506,1331313.380000000121072,12067515.480000002309680
20091008,1879860.259999999776483,1632322.500000000000000,1277070.440000000176951,1333972.479999999981374,1672333.730000000214204,1583780.769999999785796,1457573.429999999934807,1284013.440000000176951,12120927.049999998882413
20091009,1891678.830000000074506,1644494.399999999906868,1280394.880000000121072,1329984.959999999962747,1679037.440000000176951,1576377.129999999888241,1455297.959999999962747,1311117.900000000139698,12168383.500000001862645
20091012,1895154.880000000121072,1612348.099999999860302,1284194.239999999990687,1329515.840000000083819,1694507.540000000037253,1586865.619999999646097,1453780.979999999981374,1340879.660000000149012,12197246.859999999403954
20091013,1887507.569999999832362,1619838.500000000000000,1307465.320000000065193,1338194.560000000055879,1671818.060000000288710,1592418.349999999627471,1447713.059999999823049,1290922.419999999925494,12155877.839999999850988
20091014,1900021.349999999860302,1638876.599999999860302,1300341.520000000018626,1348749.760000000009313,1696570.219999999972060,1601672.899999999906868,1448977.209999999962747,1321747.100000000093132,12256956.659999998286366
20091015,1892374.039999999804422,1615469.099999999860302,1296542.160000000149012,1365168.959999999962747,1717197.020000000018626,1647945.649999999906868,1447207.400000000139698,1304740.380000000121072,12286644.710000000894070
20091016,1867346.479999999981374,1660099.399999999906868,1294642.480000000214204,1378773.439999999944121,1712555.990000000223517,1634989.279999999795109,1452264.000000000000000,1299425.780000000027940,12300096.849999999627471
20091019,1885421.939999999944121,1668214.000000000000000,1312214.520000000018626,1390501.439999999944121,1739370.830000000074506,1626351.699999999720603,1461113.050000000046566,1324404.400000000139698,12407591.880000000819564
20091020,1973713.609999999869615,1619526.399999999906868,1280869.800000000046566,1382057.280000000027940,1738855.160000000149012,1626968.669999999925494,1469709.270000000018626,1379676.240000000223517,12471376.429999999701977
20091021,2034892.089999999850988,1580201.800000000046566,1250000.000000000000000,1368218.239999999990687,1685225.480000000214204,1639925.039999999804422,1453528.150000000139698,1335033.600000000093132,12347024.400000000372529
20091022,2037672.929999999934807,1593934.199999999953434,1268996.800000000046566,1395661.760000000009313,1695023.209999999962747,1640542.009999999776483,1469709.270000000018626,1366389.740000000223517,12467929.919999999925494
20091023,2025159.149999999906868,1557106.399999999906868,1247625.400000000139698,1394019.840000000083819,1672333.730000000214204,1728768.719999999739230,1457320.600000000093132,1373830.180000000167638,12456164.019999999552965
20091026,2011254.949999999953434,1507170.399999999906868,1239551.760000000009313,1388624.959999999962747,1651191.260000000242144,1769488.739999999757856,1438611.179999999934807,1345131.340000000083819,12351024.589999999850988
20091027,1960504.619999999878928,1490317.000000000000000,1234802.560000000055879,1384402.880000000121072,1672333.730000000214204,1763936.009999999776483,1445690.419999999925494,1408375.080000000074506,12360362.300000000745058
20091028,1911144.709999999729916,1473775.699999999953434,1197283.880000000121072,1375489.600000000093132,1652738.270000000018626,1728768.719999999739230,1446954.569999999832362,1375424.560000000055879,12161580.009999999776483
20091029,1950076.469999999972060,1523399.600000000093132,1230528.280000000027940,1387217.600000000093132,1614578.690000000176951,1741108.119999999646097,1505358.300000000046566,1406780.699999999953434,12359047.760000001639128
20091030,1872212.949999999953434,1491877.500000000000000,1191584.840000000083819,1374785.919999999925494,1594983.230000000214204,1710876.589999999850988,1466422.479999999981374,1379144.780000000027940,12081888.290000000968575
20091102,1879860.259999999776483,1506546.200000000186265,1190160.080000000074506,1387686.719999999972060,1612000.340000000316650,1720131.139999999664724,1490441.330000000074506,1404123.400000000139698,12190949.469999998807907
20091103,1874298.580000000074506,1501240.500000000000000,1187310.560000000055879,1389563.199999999953434,1581575.810000000288710,1698537.189999999944121,1481086.619999999878928,1430164.940000000176951,12143777.400000000372529
20091104,1895154.880000000121072,1500304.199999999953434,1185410.880000000121072,1414192.000000000000000,1683162.800000000279397,1731236.599999999627471,1492463.969999999972060,1481185.100000000093132,12383110.429999999701977
20091105,1927134.539999999804422,1553361.200000000186265,1217230.520000000018626,1442104.639999999897555,1686772.490000000223517,1756532.369999999646097,1528871.489999999990687,1499254.740000000223517,12611261.990000000223517
20091106,1929915.380000000121072,1550552.300000000046566,1238601.919999999925494,1447734.080000000074506,1680584.450000000419095,1759617.219999999739230,1543282.800000000046566,1523701.900000000139698,12673990.050000000745058
20091109,2000826.800000000046566,1602673.000000000000000,1273271.080000000074506,1469313.600000000093132,1723900.730000000214204,1788614.809999999590218,1563762.030000000027940,1548149.060000000055879,12970511.109999999403954
20091110,2016121.419999999925494,1570526.699999999953434,1273746.000000000000000,1460869.439999999944121,1733182.790000000037253,1789848.750000000000000,1564014.859999999869615,1539645.699999999953434,12947955.660000000149012
20091111,2018902.259999999776483,1581762.300000000046566,1297017.080000000074506,1473770.239999999990687,1713071.660000000149012,1796635.419999999925494,1573369.569999999832362,1560904.100000000093132,13015432.630000000819564
20091112,2006388.479999999981374,1569278.300000000046566,1293692.639999999897555,1458289.280000000027940,1700695.580000000074506,1811442.699999999720603,1549856.379999999888241,1528485.040000000270084,12918128.400000000372529
20091113,2030720.830000000074506,1581762.300000000046566,1298441.840000000083819,1491362.239999999990687,1706883.620000000344589,1828100.889999999664724,1557694.109999999869615,1545491.760000000009313,13040457.589999997988343
20091116,2052272.339999999850988,1637940.299999999813735,1313164.360000000102445,1513645.439999999944121,1743496.190000000176951,1822548.159999999683350,1574380.890000000130385,1549211.979999999981374,13206659.660000000149012
20091117,2055748.389999999897555,1639500.800000000046566,1281819.639999999897555,1491127.679999999934807,1768248.350000000093132,1850928.779999999795109,1575392.209999999962747,1539645.699999999953434,13202411.549999997019768
