代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12552063.359999999403954
真實報酬,2552063.359999999403954

夏普值報酬,0.246506336000000
夏普值風險,0.080337542848515
夏普值,3.068382816547093

預期報酬,10479.821557982226295
風險,323603.046255178400315
趨勢值,0.032384805023493
找到最佳解世代,2146
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,2
JNJ[12](5),MCD[15](1),
20151229,5337060.709999999962747,6314800.000000000000000,11651860.710000000894070
20151230,5324234.959999999962747,6281141.120000001043081,11605376.080000001937151
20151231,5269853.780000000260770,6213297.440000000409782,11483151.220000000670552
20160104,5154935.060000000521541,6183845.920000000856817,11338780.980000000447035
20160105,5176482.320000000298023,6269044.960000000894070,11445527.280000001192093
20160106,5150317.790000000037253,6226971.360000001266599,11377289.150000002235174
20160107,5090293.280000000260770,6082869.280000000260770,11173162.560000000521541
20160108,5035912.099999999627471,6073402.720000000670552,11109314.820000000298023
20160111,5005643.330000000074506,6137039.040000000037253,11142682.370000001043081
20160112,5040016.339999999850988,6176483.040000000037253,11216499.379999998956919
20160113,4977426.679999999701977,6054469.600000000558794,11031896.280000001192093
20160114,5073363.290000000037253,6133357.600000000558794,11206720.890000000596046
20160115,4976400.620000000111759,6057625.120000001043081,11034025.740000002086163
20160119,5002052.120000000111759,6179638.560000000521541,11181690.679999999701977
20160120,4912271.870000000111759,6089180.320000000298023,11001452.190000001341105
20160121,4922019.440000000409782,6197519.840000000782311,11119539.280000001192093
20160122,4963574.870000000111759,6226971.360000001266599,11190546.230000000447035
20160125,4945618.820000000298023,6269044.960000000894070,11214663.780000001192093
20160126,5190847.160000000149012,6333733.120000001043081,11524580.280000001192093
20160127,5241124.099999999627471,6356873.600000000558794,11597997.699999999254942
20160128,5246767.429999999701977,6436287.520000000484288,11683054.949999999254942
20160129,5358094.940000000409782,6509916.320000000298023,11868011.260000001639128
20160201,5354503.730000000447035,6553567.680000000633299,11908071.410000000149012
20160202,5305252.849999999627471,6518856.960000000894070,11824109.810000000521541
20160203,5342704.040000000037253,6388428.800000000745058,11731132.839999999850988
20160204,5330391.320000000298023,6345829.280000000260770,11676220.600000001490116
20160205,5158013.240000000223517,6069195.360000001266599,11227208.600000001490116
20160208,5232915.620000000111759,6103380.160000000149012,11336295.780000001192093
20160209,5231376.530000000260770,6153868.480000000447035,11385245.010000001639128
20160210,5219063.810000000521541,6181742.240000001154840,11400806.050000000745058
20160211,5217524.720000000670552,6139142.720000000670552,11356667.440000001341105
20160212,5223681.080000000074506,6202253.120000001043081,11425934.200000001117587
20160216,5249332.580000000074506,6267993.120000001043081,11517325.700000001117587
20160217,5258567.120000000111759,6239593.440000000409782,11498160.560000000521541
20160218,5347834.339999999850988,6162283.200000000186265,11510117.539999999105930
20160219,5343730.099999999627471,6128624.320000000298023,11472354.419999999925494
20160222,5373998.870000000111759,6188579.200000000186265,11562578.070000000298023
20160223,5339625.860000000335276,6148083.360000001266599,11487709.220000002533197
20160224,5384772.500000000000000,6156498.080000001005828,11541270.580000001937151
20160225,5457622.759999999776483,6225393.600000000558794,11683016.359999999403954
20160226,5426840.959999999962747,6156498.080000001005828,11583339.040000000968575
20160229,5397598.250000000000000,6163335.040000000037253,11560933.289999999105930
20160301,5500717.280000000260770,6250637.759999999776483,11751355.039999999105930
20160302,5491482.740000000223517,6231178.720000000670552,11722661.460000000894070
20160303,5471474.570000000298023,6137039.040000000037253,11608513.609999999403954
20160304,5463779.120000000111759,6162809.120000001043081,11626588.240000002086163
20160307,5476091.839999999850988,6161231.360000001266599,11637323.200000001117587
20160308,5449414.280000000260770,6228023.200000000186265,11677437.480000000447035
20160309,5481222.140000000596046,6292185.440000000409782,11773407.580000001937151
20160310,5496613.040000000037253,6310066.720000000670552,11806679.760000001639128
20160311,5525855.750000000000000,6392636.160000000149012,11918491.910000000149012
20160314,5523290.599999999627471,6463635.360000001266599,11986925.960000000894070
20160315,5528420.900000000372529,6491509.120000001043081,12019930.020000001415610
20160316,5510464.849999999627471,6496242.400000000372529,12006707.250000000000000
20160317,5476091.839999999850988,6477309.280000000260770,11953401.120000001043081
20160318,5515082.120000000111759,6525693.920000000856817,12040776.040000000968575
20160321,5503795.459999999962747,6511494.080000001005828,12015289.540000000968575
20160322,5508925.759999999776483,6512020.000000000000000,12020945.759999999776483
20160323,5566385.120000000111759,6531479.040000000037253,12097864.160000000149012
20160324,5556637.549999999813735,6484146.240000001154840,12040783.790000000968575
20160328,5552533.310000000521541,6477835.200000000186265,12030368.510000001639128
20160329,5599219.040000000037253,6519908.800000000745058,12119127.839999999850988
20160330,5591010.560000000521541,6617729.920000000856817,12208740.480000000447035
20160331,5550994.220000000670552,6609841.120000001043081,12160835.340000001713634
20160401,5601784.190000000409782,6680314.400000000372529,12282098.589999999850988
20160404,5571002.390000000596046,6709240.000000000000000,12280242.390000000596046
20160405,5589471.470000000670552,6699247.520000000484288,12288718.990000002086163
20160406,5613583.879999999888241,6706610.400000000372529,12320194.280000001192093
20160407,5605888.429999999701977,6739217.439999999478459,12345105.869999999180436
20160408,5597166.919999999925494,6729750.879999999888241,12326917.800000000745058
20160411,5590497.530000000260770,6708714.080000001005828,12299211.610000001266599
20160412,5622818.419999999925494,6711343.680000000633299,12334162.100000001490116
20160413,5636670.230000000447035,6673477.440000000409782,12310147.670000001788139
20160414,5635131.140000000596046,6706084.480000000447035,12341215.620000001043081
20160415,5652574.160000000149012,6720284.320000000298023,12372858.480000000447035
20160418,5691051.410000000149012,6776557.759999999776483,12467609.169999999925494
20160419,5780831.660000000149012,6777083.680000001564622,12557915.340000001713634
20160420,5827004.360000000335276,6760780.160000001080334,12587784.520000001415610
20160421,5826491.330000000074506,6615626.240000001154840,12442117.570000000298023
20160422,5813665.580000000074506,6600374.560000000521541,12414040.140000000596046
20160425,5823413.150000000372529,6703454.879999999888241,12526868.030000001192093
20160426,5792631.349999999627471,6716602.879999999888241,12509234.230000000447035
20160427,5785448.929999999701977,6747632.160000001080334,12533081.089999999850988
20160428,5770571.060000000521541,6727647.200000000186265,12498218.260000001639128
20160429,5750049.860000000335276,6652440.640000000596046,12402490.500000000000000
20160502,5784422.870000000111759,6742372.959999999962747,12526795.830000000074506
20160503,5781344.690000000409782,6752891.360000001266599,12534236.050000000745058
20160504,5757232.280000000260770,6801801.920000000856817,12559034.200000001117587
20160505,5791092.259999999776483,6799172.320000000298023,12590264.580000000074506
20160506,5783909.839999999850988,6867541.920000000856817,12651451.760000001639128
20160509,5834186.780000000260770,6880689.920000000856817,12714876.700000001117587
20160510,5882924.629999999888241,6921185.759999999776483,12804110.390000000596046
20160511,5867533.730000000447035,6791809.439999999478459,12659343.169999999925494
20160512,5860351.310000000521541,6843349.600000000558794,12703700.910000000149012
20160513,5825978.299999999813735,6775505.920000000856817,12601484.220000000670552
20160516,5871124.940000000409782,6818105.439999999478459,12689230.379999998956919
20160517,5839830.110000000335276,6715551.040000000037253,12555381.150000000372529
20160518,5827517.390000000596046,6637714.879999999888241,12465232.269999999552965
20160519,5789553.169999999925494,6589330.240000001154840,12378883.410000000149012
20160520,5778779.540000000037253,6445754.080000001005828,12224533.620000001043081
20160523,5754154.099999999627471,6458902.080000001005828,12213056.179999999701977
20160524,5781344.690000000409782,6518856.960000000894070,12300201.650000002235174
20160525,5815204.669999999925494,6482568.480000000447035,12297773.150000000372529
20160526,5792118.320000000298023,6510442.240000001154840,12302560.560000002384186
20160527,5800326.799999999813735,6482042.560000000521541,12282369.359999999403954
20160531,5781344.690000000409782,6419458.080000001005828,12200802.770000001415610
20160601,5785961.959999999962747,6414724.800000000745058,12200686.760000001639128
20160602,5873690.089999999850988,6372651.200000000186265,12246341.289999999105930
20160603,5887541.900000000372529,6382117.759999999776483,12269659.660000000149012
20160606,5939357.929999999701977,6416302.560000000521541,12355660.490000000223517
20160607,5937305.810000000521541,6411043.360000001266599,12348349.170000001788139
20160608,5940897.019999999552965,6422087.680000000633299,12362984.699999999254942
20160609,6002460.620000000111759,6457850.240000001154840,12460310.860000001266599
20160610,6002973.650000000372529,6435235.680000000633299,12438209.330000001937151
20160613,5991686.990000000223517,6468368.640000000596046,12460055.630000000819564
20160614,6008616.980000000447035,6443124.480000000447035,12451741.460000000894070
20160615,5972191.849999999627471,6429450.560000000521541,12401642.410000000149012
20160616,5983991.540000000037253,6441020.800000000745058,12425012.339999999850988
20160617,5924480.060000000521541,6430502.400000000372529,12354982.460000000894070
20160620,5978861.240000000223517,6490983.200000000186265,12469844.440000001341105
20160621,5960392.160000000149012,6449435.520000000484288,12409827.679999999701977
20160622,5974757.000000000000000,6343725.600000000558794,12318482.600000001490116
20160623,6021955.759999999776483,6374754.879999999888241,12396710.640000000596046
20160624,5932175.509999999776483,6281667.040000000037253,12213842.550000000745058
20160627,5979374.269999999552965,6116528.160000000149012,12095902.429999999701977
20160628,6065563.310000000521541,6232230.560000000521541,12297793.870000001043081
20160629,6121996.610000000335276,6284296.640000000596046,12406293.250000000000000
20160630,6223063.519999999552965,6328999.840000000782311,12552063.359999999403954
