代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13594680.439999999478459
真實報酬,3594680.439999999478459

夏普值報酬,0.350768044000000
夏普值風險,0.090848386573960
夏普值,3.861026675629931

預期報酬,14006.311732160796964
風險,176156.311416271928465
趨勢值,0.079510700579230
找到最佳解世代,1846
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,5
AAPL[0](2),CAT[3](5),JPM[13](6),MSFT[18](1),V[25](8),
20160824,2073313.440000000176951,2009424.739999999990687,2061902.719999999972060,2044811.949999999953434,2057397.760000000242144,10246850.610000001266599
20160825,2064485.120000000111759,2001933.280000000027940,2065654.399999999674037,2052574.649999999906868,2058166.479999999981374,10242813.929999999701977
20160826,2052394.160000000149012,1997583.399999999674037,2070344.000000000000000,2047634.750000000000000,2064572.479999999981374,10232528.789999999105930
20160829,2050091.120000000111759,2008216.439999999711290,2093166.719999999972060,2050104.699999999953434,2072259.680000000167638,10273838.660000000149012
20160830,2034353.680000000167638,1993233.520000000018626,2110361.919999999925494,2042694.849999999860302,2079946.880000000121072,10260590.849999999627471
20160831,2036272.880000000121072,1980425.539999999804422,2110361.919999999925494,2027522.300000000046566,2073028.400000000139698,10227611.039999999105930
20160901,2048363.840000000316650,1968342.539999999804422,2101295.359999999869615,2032109.350000000093132,2083278.000000000000000,10233389.089999999850988
20160902,2067555.840000000316650,1974142.379999999888241,2110049.279999999795109,2034932.149999999906868,2101214.799999999813735,10287894.449999999254942
20160906,2066980.080000000307336,1983567.119999999878928,2108486.080000000074506,2032815.050000000046566,2114795.520000000484288,10306643.850000001490116
20160907,2079646.800000000046566,2023199.359999999869615,2099732.159999999683350,2034579.299999999813735,2132988.559999999590218,10370146.179999999701977
20160908,2025141.520000000018626,2018849.479999999981374,2102545.919999999925494,2026463.750000000000000,2126070.080000000074506,10299070.750000000000000
20160909,1979272.640000000130385,1952392.979999999981374,2083787.520000000018626,1983416.050000000046566,2084046.719999999972060,10082915.910000000149012
20160912,2023606.160000000149012,1979700.559999999823049,2096605.760000000009313,2013055.449999999953434,2126070.080000000074506,10239038.009999999776483
20160913,2071778.080000000307336,1938860.020000000018626,2080035.839999999850988,1994707.250000000000000,2098396.160000000149012,10183777.350000001490116
20160914,2145091.520000000018626,1957951.159999999683350,2075971.520000000018626,1985180.299999999813735,2088146.559999999823049,10252341.059999998658895
20160915,2218021.120000000111759,1982358.819999999832362,2083474.879999999888241,2017995.349999999860302,2101471.040000000037253,10403321.209999999031425
20160916,2205546.320000000298023,1982842.139999999897555,2057838.399999999674037,2020112.449999999953434,2103008.479999999515712,10369347.789999999105930
20160919,2179829.040000000037253,1978733.919999999692664,2069406.079999999841675,2008821.250000000000000,2114283.040000000037253,10351073.330000000074506
20160920,2179637.120000000111759,1974384.039999999804422,2077847.359999999636784,2004587.050000000046566,2113514.320000000298023,10349969.890000000596046
20160921,2179253.280000000260770,2017157.859999999869615,2089727.679999999934807,2038107.799999999813735,2132476.080000000074506,10456722.699999999254942
20160922,2199788.720000000204891,2017882.839999999850988,2106922.879999999888241,2040224.899999999906868,2136063.440000000409782,10500882.780000001192093
20160923,2163132.000000000000000,1992266.879999999888241,2102545.919999999925494,2026463.750000000000000,2115051.759999999776483,10399460.309999998658895
20160926,2166394.640000000130385,1990575.260000000009313,2056587.839999999850988,2007762.699999999953434,2096346.239999999990687,10317666.679999999701977
20160927,2170424.960000000428408,2002899.919999999692664,2074720.959999999962747,2044811.949999999953434,2105314.639999999664724,10398172.429999999701977
20160928,2186930.080000000074506,2092555.780000000027940,2085663.359999999636784,2047634.750000000000000,2126070.080000000074506,10538854.049999998882413
20160929,2152960.240000000223517,2113821.859999999869615,2052523.520000000018626,2025405.199999999953434,2099164.879999999888241,10443875.699999999254942
20160930,2169657.280000000260770,2145237.659999999683350,2081911.679999999934807,2032462.199999999953434,2119151.600000000558794,10548420.419999998062849
20161003,2159485.520000000018626,2133396.319999999832362,2079410.560000000055879,2026110.899999999906868,2123251.440000000409782,10521654.740000002086163
20161004,2168697.680000000167638,2114788.500000000000000,2082224.319999999832362,2019759.600000000093132,2119920.320000000298023,10505390.419999999925494
20161005,2169657.280000000260770,2160945.560000000055879,2116302.080000000074506,2033873.599999999860302,2135807.200000000186265,10616585.719999998807907
20161006,2185778.560000000055879,2157803.979999999981374,2121929.600000000093132,2037402.100000000093132,2136063.440000000409782,10638977.679999999701977
20161007,2189041.200000000186265,2137987.859999999869615,2129432.959999999962747,2039519.199999999953434,2123763.919999999925494,10619745.140000000596046
20161010,2227233.280000000260770,2131946.359999999869615,2146002.879999999888241,2047987.599999999860302,2129913.679999999701977,10683083.800000000745058
20161011,2232031.280000000260770,2113821.859999999869615,2135685.759999999776483,2017995.349999999860302,2102239.759999999776483,10601774.009999999776483
20161012,2251990.960000000428408,2116480.119999999646097,2130058.239999999757856,2015172.550000000046566,2107620.799999999813735,10621322.670000001788139
20161013,2245081.840000000316650,2101738.859999999869615,2117865.279999999795109,2008468.399999999906868,2097883.679999999701977,10571038.060000000521541
20161014,2257556.640000000130385,2118655.060000000055879,2110987.199999999720603,2026110.899999999906868,2112745.600000000558794,10626055.400000002235174
20161017,2256021.280000000260770,2109471.979999999981374,2100044.799999999813735,2019053.899999999906868,2105058.400000000372529,10589650.359999999403954
20161018,2254485.919999999925494,2107780.359999999869615,2116614.720000000204891,2034579.299999999813735,2090452.719999999972060,10603913.020000001415610
20161019,2247768.720000000204891,2126629.839999999850988,2136936.319999999832362,2029992.250000000000000,2121970.240000000223517,10663297.370000001043081
20161020,2246617.200000000186265,2093522.419999999692664,2134122.560000000055879,2020112.449999999953434,2114026.799999999813735,10608401.429999999701977
20161021,2237788.879999999888241,2086272.619999999878928,2141313.279999999795109,2105149.299999999813735,2110183.200000000186265,10680707.279999997466803
20161024,2257940.480000000447035,2078056.179999999701977,2153193.600000000093132,2152431.200000000186265,2131194.879999999888241,10772816.339999999850988
20161025,2269455.680000000167638,2041565.520000000018626,2151005.119999999646097,2152078.349999999627471,2101983.520000000484288,10716088.190000001341105
20161026,2218404.960000000428408,2033107.419999999692664,2161322.239999999757856,2139375.750000000000000,2094808.800000000046566,10647019.169999999925494
20161027,2197101.840000000316650,2006041.500000000000000,2164448.640000000130385,2120674.700000000186265,2099164.879999999888241,10587431.559999998658895
20161028,2182515.919999999925494,2027065.919999999692664,2160696.959999999962747,2112559.149999999441206,2106852.080000000074506,10589690.029999999329448
20161031,2179061.360000000335276,2016916.199999999720603,2165386.560000000055879,2114323.400000000372529,2114283.040000000037253,10589970.560000002384186
20161101,2139717.760000000242144,1987433.679999999701977,2156320.000000000000000,2110089.200000000186265,2091477.680000000167638,10485038.320000000298023
20161102,2141636.960000000428408,1960126.099999999860302,2147253.439999999944121,2097033.750000000000000,2064828.719999999972060,10410878.970000000670552
20161103,2107859.040000000037253,1963992.659999999683350,2137874.239999999757856,2089271.050000000046566,2066622.400000000139698,10365619.389999998733401
20161104,2088858.960000000195578,1989125.299999999813735,2118490.560000000055879,2071628.550000000046566,2059191.439999999944121,10327294.810000000521541
20161107,2118990.399999999906868,2023924.339999999850988,2184770.239999999757856,2131965.900000000372529,2114283.040000000037253,10573933.919999998062849
20161108,2131465.200000000186265,2046398.719999999972060,2189459.839999999850988,2133730.150000000372529,2123763.919999999925494,10624817.830000000074506
20161109,2128010.640000000130385,2203961.040000000037253,2290129.919999999925494,2123144.650000000372529,2132988.559999999590218,10878234.809999998658895
20161110,2068707.360000000335276,2258334.540000000037253,2396427.520000000018626,2071275.699999999953434,2097883.679999999701977,10892628.799999998882413
20161111,2080990.240000000223517,2247701.500000000000000,2397678.080000000074506,2082566.900000000139698,2098139.919999999925494,10907076.640000000596046
20161114,2028788.000000000000000,2275734.060000000055879,2485842.560000000055879,2050810.399999999906868,2008455.919999999925494,10849630.940000001341105
20161115,2055656.800000000046566,2282258.879999999888241,2481152.959999999962747,2077274.149999999906868,2013324.479999999981374,10909667.269999999552965
20161116,2110929.760000000242144,2255917.939999999944121,2419875.520000000018626,2104796.450000000186265,2052016.719999999972060,10943536.390000002458692
20161117,2110162.080000000074506,2242143.319999999832362,2439259.199999999720603,2139728.599999999627471,2077384.479999999981374,11008677.679999999701977
20161118,2112273.200000000186265,2231510.279999999795109,2429567.359999999869615,2129495.950000000186265,2070978.479999999981374,10973825.269999999552965
20161121,2144323.840000000316650,2245043.239999999757856,2440197.119999999646097,2147491.299999999813735,2093271.360000000102445,11070326.859999999403954
20161122,2145667.280000000260770,2262442.759999999776483,2455203.839999999850988,2156665.399999999441206,2048173.120000000111759,11068152.399999998509884
20161123,2134727.840000000316650,2324307.720000000204891,2465520.959999999962747,2131260.200000000186265,2038948.479999999981374,11094765.200000001117587
20161125,2145475.360000000335276,2315366.299999999813735,2464583.040000000037253,2135847.250000000000000,2053297.919999999925494,11114569.869999999180436
20161128,2141253.120000000111759,2293375.239999999757856,2448638.399999999906868,2138670.049999999813735,2026392.719999999972060,11048329.529999999329448
20161129,2139142.000000000000000,2272592.479999999981374,2467396.799999999813735,2155606.849999999627471,2028186.400000000139698,11062924.529999999329448
20161130,2121101.520000000018626,2309324.799999999813735,2506476.799999999813735,2126320.299999999813735,1981294.479999999981374,11044517.900000000372529
20161201,2101333.760000000242144,2325757.679999999701977,2557124.479999999981374,2088918.199999999953434,1932865.120000000111759,11005999.239999998360872
20161202,2109202.480000000447035,2299175.080000000074506,2551184.319999999832362,2090682.449999999953434,1940296.080000000074506,10990540.410000000149012
20161205,2094040.800000000046566,2282500.540000000037253,2603082.560000000055879,2124908.900000000372529,1981038.239999999990687,11085571.040000000968575
20161206,2110162.080000000074506,2301108.359999999869615,2616526.080000000074506,2115381.950000000186265,1975913.439999999944121,11119091.909999998286366
20161207,2130889.440000000409782,2352098.619999999646097,2628406.399999999906868,2165486.649999999441206,2032286.239999999990687,11309167.349999999627471
20161208,2151808.720000000204891,2326482.659999999683350,2661233.600000000093132,2152784.049999999813735,2031517.520000000018626,11323826.550000000745058
20161209,2186930.080000000074506,2308599.819999999832362,2672801.279999999795109,2186657.650000000372529,2027930.160000000149012,11382918.990000000223517
20161212,2174455.280000000260770,2297725.119999999646097,2649040.640000000130385,2193714.650000000372529,2011530.800000000046566,11326466.490000002086163
20161213,2210728.160000000149012,2320441.159999999683350,2649978.560000000055879,2222295.500000000000000,2029467.600000000093132,11432910.980000000447035
20161214,2210728.160000000149012,2265342.679999999701977,2649040.640000000130385,2211710.000000000000000,2027673.919999999925494,11364495.400000000372529
20161215,2222819.120000000111759,2284433.819999999832362,2688745.919999999925494,2208181.500000000000000,2037154.800000000046566,11441335.160000000149012
20161216,2225697.919999999925494,2237310.119999999646097,2655606.080000000074506,2198301.700000000186265,2007687.199999999953434,11324603.019999999552965
20161219,2238556.560000000055879,2240451.699999999720603,2670925.439999999944121,2244877.899999999441206,2001281.199999999953434,11396092.799999997019768
20161220,2244506.080000000074506,2279842.279999999795109,2705315.839999999850988,2242055.099999999627471,2007943.439999999944121,11479662.739999998360872
20161221,2246617.200000000186265,2267275.959999999497086,2712193.919999999925494,2242055.099999999627471,2002306.160000000149012,11470448.339999999850988
20161222,2231839.360000000335276,2274525.759999999776483,2716570.879999999888241,2242407.950000000186265,1996156.400000000139698,11461500.349999999627471
20161223,2236253.520000000018626,2279358.959999999497086,2721573.119999999646097,2231469.599999999627471,2002562.400000000139698,11471217.599999999627471
20161227,2250455.600000000093132,2284917.139999999664724,2724074.239999999757856,2232881.000000000000000,2007687.199999999953434,11500015.179999999701977
20161228,2240859.600000000093132,2251084.739999999757856,2704377.919999999925494,2222648.349999999627471,2006406.000000000000000,11425376.609999999403954
20161229,2240283.840000000316650,2254467.979999999981374,2685306.879999999888241,2219472.700000000186265,2007174.719999999972060,11406706.120000001043081
20161230,2222819.120000000111759,2241176.679999999701977,2697812.479999999981374,2192656.099999999627471,1999231.280000000027940,11353695.659999998286366
20170103,2229152.480000000447035,2271384.179999999701977,2727200.640000000130385,2208181.500000000000000,2037154.800000000046566,11473073.600000001490116
20170104,2226657.520000000018626,2261234.459999999497086,2717196.159999999683350,2198301.700000000186265,2053810.400000000139698,11457200.240000000223517
20170105,2237980.800000000279397,2247459.839999999850988,2692184.959999999962747,2198301.700000000186265,2077896.960000000195578,11453824.260000001639128
20170106,2262930.399999999906868,2248426.479999999981374,2692497.600000000093132,2217355.599999999627471,2106595.839999999850988,11527805.919999999925494
20170109,2283657.760000000242144,2232235.259999999776483,2694373.439999999944121,2210298.599999999627471,2094808.800000000046566,11515373.859999999403954
20170110,2285960.800000000279397,2267517.619999999646097,2702189.439999999944121,2209592.899999999441206,2083534.239999999990687,11548794.999999998137355
20170111,2298243.680000000167638,2287333.739999999757856,2722511.040000000037253,2229705.349999999627471,2096090.000000000000000,11633883.809999998658895
20170112,2288647.680000000167638,2271384.179999999701977,2696249.279999999795109,2209240.049999999813735,2085071.680000000167638,11550592.869999997317791
20170113,2284617.360000000335276,2283225.520000000018626,2710630.720000000204891,2212415.700000000186265,2079946.880000000121072,11570836.180000001564622
20170117,2303041.680000000167638,2261234.459999999497086,2612149.119999999646097,2206417.250000000000000,2082253.040000000270084,11465095.550000000745058
20170118,2302849.760000000242144,2255434.619999999646097,2624342.080000000074506,2205358.700000000186265,2090708.960000000195578,11478694.120000001043081
20170119,2298819.440000000409782,2256642.919999999925494,2604333.119999999646097,2198301.700000000186265,2094296.320000000065193,11452393.500000000000000
20170120,2303041.680000000167638,2285642.119999999646097,2615900.799999999813735,2213827.099999999627471,2097114.960000000195578,11515526.660000000149012
20170123,2304577.040000000037253,2282742.199999999720603,2617151.359999999869615,2221589.799999999813735,2105058.400000000372529,11531118.799999998882413
20170124,2302465.919999999925494,2325757.679999999701977,2648728.000000000000000,2241349.400000000372529,2132732.320000000298023,11651033.320000000298023
20170125,2339122.640000000130385,2371914.739999999757856,2689683.839999999850988,2246995.000000000000000,2149900.400000000372529,11797616.619999999180436
20170126,2340274.160000000149012,2349440.359999999869615,2712193.919999999925494,2267813.149999999441206,2132988.559999999590218,11802710.149999998509884
20170127,2340466.080000000074506,2392214.179999999701977,2717821.439999999944121,2321093.500000000000000,2146569.280000000260770,11918164.480000000447035
20170130,2334324.640000000130385,2339048.979999999981374,2689683.839999999850988,2298158.250000000000000,2144775.600000000558794,11805991.310000002384186
20170131,2328950.879999999888241,2311741.399999999906868,2645914.239999999757856,2281221.450000000186265,2119407.839999999850988,11687235.809999998658895
20170201,2470971.680000000167638,2298450.099999999627471,2655918.720000000204891,2243466.500000000000000,2112489.360000000335276,11781296.359999999403954
20170202,2466749.440000000409782,2266067.659999999683350,2644663.680000000167638,2228999.650000000372529,2108902.000000000000000,11715382.429999999701977
20170203,2477305.040000000502914,2254226.319999999832362,2725637.439999999944121,2246995.000000000000000,2205760.719999999739230,11909924.519999999552965
20170206,2500527.359999999869615,2244318.259999999776483,2712819.199999999720603,2245583.599999999627471,2199354.719999999739230,11902603.139999996870756
20170207,2524325.440000000409782,2254951.299999999813735,2711256.000000000000000,2238173.750000000000000,2198073.520000000484288,11926780.010000001639128
20170208,2534113.359999999869615,2245284.899999999906868,2687495.359999999869615,2234998.099999999627471,2180392.959999999962747,11882284.679999999701977
20170209,2541406.319999999832362,2270659.199999999720603,2726262.720000000204891,2260403.299999999813735,2192948.719999999739230,11991680.259999997913837
20170210,2535648.720000000204891,2327449.299999999813735,2720009.919999999925494,2258286.200000000186265,2201148.400000000372529,12042542.540000000968575
20170213,2558103.359999999869615,2380372.839999999850988,2755963.520000000018626,2283691.400000000372529,2214985.360000000335276,12193116.480000000447035
20170214,2591305.520000000484288,2370464.779999999795109,2800045.759999999776483,2278398.649999999441206,2225491.200000000186265,12265705.910000000149012
20170215,2600709.600000000093132,2392939.159999999683350,2832247.680000000167638,2276987.250000000000000,2243171.759999999776483,12346055.449999999254942
20170216,2597638.879999999888241,2374573.000000000000000,2830371.839999999850988,2276634.399999999441206,2239840.639999999664724,12319058.759999997913837
20170217,2604739.919999999925494,2388830.939999999944121,2820992.640000000130385,2280162.900000000372529,2241121.839999999850988,12335848.240000000223517
20170221,2623548.080000000074506,2370706.439999999944121,2845378.560000000055879,2275575.849999999627471,2252908.879999999888241,12368117.809999998658895
20170222,2631416.800000000279397,2373123.040000000037253,2846941.759999999776483,2270988.799999999813735,2249834.000000000000000,12372304.399999998509884
20170223,2620285.440000000409782,2309083.139999999664724,2849130.239999999757856,2280162.900000000372529,2259571.120000000111759,12318232.839999999850988
20170224,2622780.399999999906868,2307391.520000000018626,2824119.040000000037253,2280162.900000000372529,2265977.120000000111759,12300430.980000000447035
20170227,2627962.240000000223517,2354756.879999999888241,2827245.439999999944121,2266401.750000000000000,2254958.799999999813735,12331325.109999999403954
20170228,2629113.760000000242144,2335907.399999999906868,2833185.600000000093132,2257580.500000000000000,2253421.360000000335276,12309208.620000001043081
20170301,2682851.359999999869615,2382306.119999999646097,2926352.319999999832362,2291454.099999999627471,2280326.559999999590218,12563290.459999997168779
20170302,2666922.000000000465661,2280325.599999999627471,2880706.879999999888241,2258639.049999999813735,2268539.520000000484288,12355133.050000000745058
20170303,2682659.440000000409782,2298691.759999999776483,2901341.119999999646097,2267107.450000000186265,2275201.759999999776483,12425001.529999999329448
20170306,2674214.960000000428408,2311741.399999999906868,2873828.799999999813735,2267813.149999999441206,2279045.360000000335276,12406643.669999998062849
20170307,2677669.520000000484288,2318266.220000000204891,2857884.159999999683350,2272400.200000000186265,2282120.240000000223517,12408340.340000001713634
20170308,2667689.680000000167638,2253018.020000000018626,2851631.359999999869615,2293218.349999999627471,2279557.839999999850988,12345115.250000000000000
20170309,2661548.240000000223517,2208552.580000000074506,2862886.399999999906868,2284044.250000000000000,2283401.440000000409782,12300432.910000000149012
20170310,2670376.560000000055879,2230785.299999999813735,2853819.839999999850988,2291101.250000000000000,2299288.320000000298023,12345371.269999999552965
20170313,2671528.080000000074506,2238760.080000000074506,2856320.959999999962747,2283338.549999999813735,2309025.440000000409782,12358973.109999999403954
20170314,2667497.760000000242144,2219910.599999999627471,2861010.560000000055879,2272753.049999999813735,2294676.000000000000000,12315847.969999998807907
20170315,2695710.000000000465661,2256159.599999999627471,2867888.640000000130385,2284749.950000000186265,2304156.879999999888241,12408665.070000000298023
20170316,2700124.160000000149012,2243834.939999999944121,2865074.879999999888241,2280868.599999999627471,2307231.759999999776483,12397134.339999997988343
20170317,2686689.760000000242144,2245284.899999999906868,2835061.439999999944121,2288984.150000000372529,2312356.559999999590218,12368376.809999998658895
20170320,2714902.000000000465661,2305458.239999999757856,2814739.839999999850988,2291101.250000000000000,2285195.120000000111759,12411396.449999999254942
20170321,2683810.960000000428408,2233685.220000000204891,2732202.879999999888241,2265696.049999999813735,2256496.240000000223517,12171891.349999999627471
20170322,2714134.319999999832362,2233685.220000000204891,2736579.839999999850988,2294629.750000000000000,2268283.280000000260770,12247312.410000000149012
20170323,2704538.319999999832362,2228852.020000000018626,2732202.879999999888241,2288984.150000000372529,2276995.440000000409782,12231572.810000002384186
20170324,2699164.560000000055879,2226918.739999999757856,2729076.479999999981374,2292865.500000000000000,2285451.360000000335276,12233476.640000000596046
20170327,2703770.640000000130385,2211452.500000000000000,2727513.279999999795109,2297099.700000000186265,2279301.600000000558794,12219137.720000002533197
20170328,2759811.280000000260770,2246251.540000000037253,2770032.319999999832362,2303803.850000000558794,2283657.679999999701977,12363556.670000001788139
20170329,2765952.720000000204891,2244076.599999999627471,2759715.199999999720603,2310155.150000000372529,2285195.120000000111759,12365094.789999999105930
20170330,2762306.240000000223517,2252776.359999999869615,2783475.839999999850988,2318623.549999999813735,2280839.040000000037253,12398021.029999997466803
20170331,2757124.399999999906868,2241660.000000000000000,2746271.680000000167638,2323916.299999999813735,2277251.679999999701977,12346224.059999998658895
20170403,2757892.080000000074506,2229818.659999999683350,2736267.199999999720603,2312977.950000000186265,2289807.440000000409782,12326763.330000001937151
20170404,2778427.520000000484288,2274767.419999999925494,2729701.759999999776483,2319329.250000000000000,2274945.520000000484288,12377171.469999998807907
20170405,2764033.520000000484288,2277425.679999999701977,2694686.080000000074506,2313330.799999999813735,2281351.520000000484288,12330827.600000001490116
20170406,2757124.399999999906868,2315607.959999999497086,2703752.640000000130385,2319329.250000000000000,2282888.959999999962747,12378703.210000000894070
20170407,2750982.960000000428408,2308358.159999999683350,2694373.439999999944121,2317565.000000000000000,2273920.559999999590218,12345200.120000001043081
20170410,2747720.319999999832362,2347507.080000000074506,2684994.239999999757856,2312272.250000000000000,2276995.440000000409782,12369489.330000001937151
20170411,2718164.640000000130385,2346540.439999999944121,2680304.640000000130385,2310508.000000000000000,2276739.200000000186265,12332256.920000001788139
20170412,2721427.280000000260770,2292408.599999999627471,2669987.520000000018626,2301686.750000000000000,2272383.120000000111759,12257893.269999999552965
20170413,2707033.280000000260770,2249876.439999999944121,2638723.520000000018626,2291806.950000000186265,2277251.679999999701977,12164691.870000001043081
20170417,2722003.040000000502914,2275009.080000000074506,2684368.959999999962747,2310508.000000000000000,2301338.240000000223517,12293227.320000002160668
20170418,2709912.080000000074506,2281050.580000000074506,2662484.159999999683350,2307332.349999999627471,2299288.320000000298023,12260067.490000000223517
20170419,2699932.240000000223517,2258817.859999999869615,2640599.359999999869615,2294982.600000000558794,2299800.799999999813735,12194132.859999999403954
20170420,2733710.160000000149012,2287575.399999999906868,2674677.119999999646097,2311213.700000000186265,2335674.400000000372529,12342850.779999999329448
20170421,2730447.520000000484288,2279358.959999999497086,2642475.199999999720603,2342970.200000000186265,2335674.400000000372529,12330926.279999999329448
20170424,2756740.560000000055879,2339532.299999999813735,2735641.919999999925494,2382842.250000000000000,2353611.200000000186265,12568368.230000000447035
20170425,2773821.440000000409782,2523435.560000000055879,2759402.560000000055879,2396603.400000000372529,2360273.440000000409782,12813536.400000002235174
20170426,2757508.240000000223517,2529235.399999999906868,2764717.439999999944121,2393427.750000000000000,2352842.479999999515712,12797731.309999998658895
20170427,2759619.359999999869615,2481386.720000000204891,2739080.959999999962747,2408953.149999999441206,2347205.200000000186265,12736245.390000000596046
20170428,2756932.480000000447035,2471237.000000000000000,2720009.919999999925494,2415657.299999999813735,2337468.080000000074506,12701304.779999999329448
20170501,2813165.040000000502914,2464953.839999999850988,2721885.759999999776483,2449178.049999999813735,2338493.040000000037253,12787675.730000000447035
20170502,2831013.600000000093132,2453112.500000000000000,2704377.919999999925494,2445296.700000000186265,2371291.759999999776483,12805092.479999998584390
20170503,2822377.200000000186265,2453837.479999999981374,2720009.919999999925494,2437534.000000000000000,2368729.360000000335276,12802487.960000000894070
20170504,2812205.440000000409782,2401880.580000000074506,2723136.319999999832362,2428007.049999999813735,2373341.679999999701977,12738571.070000000298023
20170505,2858842.000000000465661,2407922.080000000074506,2720009.919999999925494,2434711.200000000186265,2359760.959999999962747,12781246.160000000149012
20170508,2936569.600000000093132,2401397.259999999776483,2723136.319999999832362,2432594.099999999627471,2355404.879999999888241,12849102.160000000149012
20170509,2955377.760000000242144,2399463.979999999981374,2712193.919999999925494,2436122.600000000558794,2357454.799999999813735,12860613.060000002384186
20170510,2941367.600000000093132,2425321.599999999627471,2733453.439999999944121,2445649.549999999813735,2363860.799999999813735,12909652.989999998360872
20170511,2954610.080000000074506,2440546.179999999701977,2725012.159999999683350,2415657.299999999813735,2360017.200000000186265,12895842.919999998062849
20170512,2995872.879999999888241,2433779.699999999720603,2717508.799999999813735,2412834.500000000000000,2376160.320000000298023,12936156.199999999254942
20170515,2988196.080000000074506,2475103.560000000055879,2730639.680000000167638,2414598.750000000000000,2388972.320000000298023,12997510.390000000596046
20170516,2983781.919999999925494,2473170.279999999795109,2739080.959999999962747,2449178.049999999813735,2386922.400000000372529,13032133.609999999403954
20170517,2883599.680000000167638,2420005.080000000074506,2634659.199999999720603,2381078.000000000000000,2351305.040000000037253,12670647.000000000000000
20170518,2927549.359999999869615,2421938.359999999869615,2624967.359999999869615,2389193.549999999813735,2350023.839999999850988,12713672.469999998807907
20170519,2937529.200000000186265,2475345.220000000204891,2650603.839999999850988,2388487.849999999627471,2369754.320000000298023,12821720.429999999701977
20170522,2955377.760000000242144,2471961.979999999981374,2648102.720000000204891,2415304.450000000186265,2391022.240000000223517,12881769.150000000372529
20170523,2951731.280000000260770,2504344.419999999925494,2681242.560000000055879,2423420.000000000000000,2405115.440000000409782,12965853.699999999254942
20170524,2942902.960000000428408,2512077.540000000037253,2679679.359999999869615,2426595.649999999441206,2429458.240000000223517,12990713.749999998137355
20170525,2953074.720000000204891,2537935.159999999683350,2668424.319999999832362,2456587.900000000372529,2435351.759999999776483,13051373.859999999403954
