代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15796318.800000000745058
真實報酬,5796318.800000000745058

夏普值報酬,0.570931880000000
夏普值風險,0.122537678128197
夏普值,4.659235336601536

預期報酬,22658.194535372789687
風險,279768.585891280614305
趨勢值,0.080989059093925
找到最佳解世代,2121
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),BA[2](10),JNJ[12](8),MCD[15](23),MRK[17](20),PG[21](3),
20090708,2174876.540000000037253,1852628.739999999990687,1808614.800000000046566,1742102.269999999785796,1747039.449999999953434,1863097.149999999906868,11188362.949999999254942
20090709,2161560.980000000447035,1840918.239999999990687,1796257.649999999906868,1733856.199999999953434,1682865.300000000046566,1854956.759999999776483,11070419.130000000819564
20090710,2195959.509999999776483,1857312.940000000176951,1803862.050000000046566,1742407.679999999701977,1647974.500000000000000,1848232.089999999850988,11095752.769999999552965
20090713,2255879.530000000260770,1894318.120000000111759,1828893.199999999953434,1749126.699999999953434,1671027.350000000093132,1875130.769999999785796,11274379.669999999925494
20090714,2254769.900000000372529,1892912.859999999869615,1845052.549999999813735,1754929.489999999990687,1692211.050000000046566,1894950.849999999860302,11334830.700000001117587
20090715,2328005.480000000447035,1937412.760000000009313,1868182.600000000093132,1743323.909999999916181,1726478.800000000046566,1934237.079999999841675,11537644.630000000819564
20090716,2337992.150000000372529,1969733.739999999990687,1877371.250000000000000,1747599.649999999906868,1736447.600000000093132,1954057.159999999916181,11623205.550000000745058
20090717,2405679.580000000074506,1937412.760000000009313,1876737.549999999813735,1766535.070000000065193,1724609.649999999906868,1979186.189999999944121,11690164.799999998882413
20090720,2423433.660000000149012,1976760.040000000270084,1871351.100000000093132,1779973.109999999869615,1740808.950000000186265,1966444.709999999962747,11758775.570000000298023
20090721,2401241.059999999590218,2015170.480000000214204,1884975.650000000139698,1790662.459999999962747,1847350.500000000000000,1963967.199999999953434,11903371.349999999627471
20090722,2484463.309999999590218,1967391.640000000130385,1875470.149999999906868,1796465.250000000000000,1834889.500000000000000,1942023.539999999804422,11900707.389999998733401
20090723,2502217.389999999664724,1965049.540000000270084,1908105.699999999953434,1713088.320000000065193,1884733.500000000000000,1952287.509999999776483,11925485.959999999031425
20090724,2536615.919999999925494,1984723.179999999934807,1948979.349999999860302,1712782.909999999916181,1930839.199999999953434,1976354.750000000000000,12090299.309999998658895
20090727,2537725.549999999813735,1978633.720000000204891,1941374.950000000186265,1709423.399999999906868,1917132.099999999860302,1974231.169999999925494,12058524.889999998733401
20090728,2536615.919999999925494,2025944.140000000130385,1930285.199999999953434,1724693.899999999906868,1870403.349999999860302,1971753.659999999916181,12059700.169999999925494
20090729,2536615.919999999925494,2031565.179999999934807,1937889.599999999860302,1722861.439999999711290,1861057.600000000093132,1986264.789999999804422,12076258.529999997466803
20090730,2581001.120000000111759,2025475.720000000204891,1957851.149999999906868,1697817.820000000065193,1865418.950000000186265,1990158.019999999785796,12117726.780000001192093
20090731,2589878.160000000149012,2010017.859999999869615,1929334.649999999906868,1681631.089999999850988,1869780.300000000046566,1964675.059999999823049,12045321.120000001043081
20090803,2638701.879999999888241,2051238.820000000065193,1935988.500000000000000,1683768.959999999962747,1870403.349999999860302,1968214.359999999869615,12148319.869999999180436
20090804,2624276.689999999478459,2068570.359999999869615,1934721.100000000093132,1680104.039999999804422,1859188.449999999953434,1962905.409999999916181,12129770.049999998882413
20090805,2617618.910000000149012,2062480.900000000139698,1915393.250000000000000,1682547.320000000065193,1844858.300000000046566,1908046.259999999776483,12030948.940000001341105
20090806,2598755.200000000186265,2132275.480000000447035,1898917.050000000046566,1674912.070000000065193,1829282.050000000046566,1821333.409999999916181,11955479.260000001639128
20090807,2623167.059999999590218,2187080.620000000111759,1897966.500000000000000,1685906.830000000074506,1875387.750000000000000,1841507.419999999925494,12111020.179999999701977
20090810,2610961.129999999888241,2143985.980000000447035,1923948.199999999953434,1718585.699999999953434,1906540.250000000000000,1846462.439999999944121,12150487.699999999254942
20090811,2581001.120000000111759,2126186.020000000018626,1908105.699999999953434,1710950.449999999953434,1889717.899999999906868,1837968.119999999878928,12053933.310000000521541
20090812,2620947.799999999813735,2170685.920000000391155,1919829.150000000139698,1718280.289999999804422,1915262.949999999953434,1843277.069999999832362,12188287.179999999701977
20090813,2669771.519999999552965,2183801.680000000167638,1911274.199999999953434,1703620.609999999869615,1930216.150000000139698,1851063.529999999795109,12249751.689999999478459
20090814,2644250.030000000260770,2101828.180000000167638,1903669.800000000046566,1688044.699999999953434,1930216.150000000139698,1853541.039999999804422,12121553.900000000372529
20090817,2529958.139999999664724,2068570.359999999869615,1895431.699999999953434,1664528.129999999888241,1923985.649999999906868,1847878.159999999916181,11930356.140000000596046
20090818,2599864.830000000074506,2050770.400000000139698,1894798.000000000000000,1687739.289999999804422,1913393.800000000046566,1856372.479999999981374,12002942.800000000745058
20090819,2608741.870000000111759,2038591.480000000214204,1912858.449999999953434,1699650.279999999795109,1961368.650000000139698,1868760.029999999795109,12089974.759999999776483
20090820,2636482.620000000111759,2095738.720000000204891,1931235.750000000000000,1714615.369999999878928,1952645.949999999953434,1876546.489999999990687,12207268.900000000372529
20090821,2681977.450000000186265,2148670.180000000167638,1933770.550000000046566,1718585.699999999953434,2028658.050000000046566,1896366.569999999832362,12408032.500000001862645
20090824,2679758.189999999478459,2207691.100000000093132,1941691.800000000046566,1707590.939999999711290,2024919.750000000000000,1887872.250000000000000,12449528.029999999329448
20090825,2685306.339999999850988,2260154.140000000130385,1937255.899999999906868,1724083.080000000074506,2052957.000000000232831,1889995.829999999841675,12549756.290000000968575
20090826,2654236.700000000186265,2240012.080000000074506,1921096.550000000046566,1740880.629999999888241,2036134.649999999906868,1888580.109999999869615,12480944.720000000670552
20090827,2686415.969999999739230,2427380.080000000074506,1916660.650000000139698,1745767.189999999711290,2047972.599999999860302,1877962.209999999962747,12702162.699999999254942
20090828,2695293.009999999776483,2390843.320000000298023,1910323.649999999906868,1712477.500000000000000,2013704.850000000093132,1882563.299999999813735,12605209.629999998956919
20090831,2666442.629999999888241,2326669.780000000260770,1915076.399999999906868,1717669.469999999972060,2020558.399999999906868,1915124.859999999869615,12561545.540000000968575
20090901,2619838.169999999925494,2284511.980000000447035,1899233.899999999906868,1699344.869999999878928,1980683.199999999953434,1876546.489999999990687,12360162.609999999403954
20090902,2618728.540000000037253,2267180.439999999944121,1893530.599999999860302,1691098.799999999813735,1919624.299999999813735,1868760.029999999795109,12258926.709999999031425
20090903,2639811.509999999776483,2269990.959999999962747,1891312.649999999906868,1697207.000000000000000,1884110.449999999953434,1871237.539999999804422,12253674.109999997541308
20090904,2699731.530000000260770,2302311.939999999944121,1911274.199999999953434,1714615.369999999878928,1912770.750000000000000,1870883.609999999869615,12411591.400000000372529
20090908,2740787.839999999850988,2318706.640000000130385,1919195.449999999953434,1717058.649999999906868,1929593.099999999860302,1918310.229999999981374,12543655.910000000149012
20090909,2713047.089999999850988,2366953.900000000372529,1930285.199999999953434,1682547.320000000065193,1965730.000000000000000,1902737.309999999823049,12561304.820000000298023
20090910,2735239.689999999478459,2365080.220000000204891,1922047.099999999860302,1675217.479999999981374,1991275.050000000046566,1983433.349999999860302,12672296.890000000596046
20090911,2728581.910000000149012,2405364.340000000316650,1914442.699999999953434,1661168.619999999878928,2027411.949999999953434,1969276.149999999906868,12706249.669999999925494
20090914,2754103.400000000372529,2387564.379999999888241,1911907.900000000139698,1656282.059999999823049,2049218.699999999953434,1957242.529999999795109,12716322.969999998807907
20090915,2776296.000000000000000,2439090.580000000074506,1905887.750000000000000,1679187.809999999823049,2037380.750000000232831,1947686.419999999925494,12785533.310000000521541
20090916,2882820.480000000447035,2452674.760000000242144,1907155.149999999906868,1724693.899999999906868,2004359.100000000093132,1957596.459999999962747,12929303.850000001490116
20090917,2924986.419999999925494,2477032.600000000093132,1925532.450000000186265,1724388.489999999990687,1994390.299999999813735,1965382.919999999925494,13011717.179999997839332
20090918,2932753.830000000074506,2483590.480000000447035,1925849.300000000046566,1740880.629999999888241,1986290.649999999906868,2028736.389999999897555,13098105.280000001192093
20090921,2917219.009999999776483,2476095.760000000242144,1922363.949999999953434,1714615.369999999878928,1982552.350000000093132,2020949.929999999934807,13033800.369999999180436
20090922,2923876.790000000037253,2489211.520000000018626,1935354.800000000046566,1704536.839999999850988,1952022.899999999906868,2025904.949999999953434,13030911.799999998882413
20090923,2940521.240000000223517,2453143.180000000167638,1925532.450000000186265,1696290.769999999785796,1952022.899999999906868,2026258.879999999888241,12993773.420000001788139
20090924,2913890.120000000111759,2425974.820000000298023,1923948.199999999953434,1714004.549999999813735,1932085.300000000046566,2047140.750000000000000,12957047.740000002086163
20090925,2890587.889999999664724,2413327.480000000447035,1920779.699999999953434,1739353.580000000074506,1947038.500000000000000,2053157.559999999823049,12964248.710000000894070
20090928,2950507.910000000149012,2485932.580000000074506,1941374.950000000186265,1746072.599999999860302,1995636.400000000139698,2058466.509999999776483,13177994.950000001117587
20090929,2938301.980000000447035,2558537.680000000167638,1930602.050000000046566,1746072.599999999860302,1984421.500000000000000,2049618.259999999776483,13207558.070000000298023
20090930,2938301.980000000447035,2536521.939999999944121,1929334.649999999906868,1743018.500000000000000,1970714.399999999906868,2049972.189999999944121,13167867.660000000149012
20091001,2867285.660000000149012,2440964.260000000242144,1895114.850000000093132,1732939.969999999972060,1942677.149999999906868,2003961.289999999804422,12882947.179999999701977
20091002,2930534.570000000298023,2407706.439999999944121,1892580.049999999813735,1732023.739999999990687,1971960.500000000000000,2008562.379999999888241,12943371.679999999701977
20091005,2948288.650000000372529,2448927.400000000372529,1895431.699999999953434,1728969.639999999897555,1979437.099999999860302,2006084.869999999878928,13007143.359999999403954
20091006,3011537.559999999590218,2449395.820000000298023,1910323.649999999906868,1754318.669999999925494,2025542.799999999813735,2018472.419999999925494,13169594.919999999925494
20091007,3015976.080000000074506,2425974.820000000298023,1923631.350000000093132,1745156.369999999878928,2005605.199999999953434,2015640.979999999981374,13131988.799999998882413
20091008,3000441.259999999776483,2449864.240000000223517,1930918.899999999906868,1736910.299999999813735,2020558.399999999906868,2040416.079999999841675,13179113.179999999701977
20091009,3019304.969999999739230,2468132.620000000111759,1956266.900000000139698,1731718.330000000074506,2028658.050000000046566,2037230.709999999962747,13241315.580000001937151
20091012,3024853.120000000111759,2419885.359999999869615,1981298.050000000046566,1731107.509999999776483,2047349.550000000046566,2035107.129999999888241,13239604.719999998807907
20091013,3012647.189999999478459,2431127.439999999944121,1933136.849999999860302,1742407.679999999701977,2019935.350000000093132,2026612.809999999823049,13165871.319999998435378
20091014,3032620.530000000260770,2459701.060000000055879,1918561.750000000000000,1756151.129999999888241,2049841.750000000000000,2028382.459999999962747,13245262.679999999701977
20091015,3020414.599999999627471,2424569.560000000055879,1930918.899999999906868,1777529.830000000074506,2074763.749999999767169,2025904.949999999953434,13254105.589999999850988
20091016,2980467.919999999925494,2491553.620000000111759,1915710.100000000093132,1795243.609999999869615,2069156.300000000046566,2032983.549999999813735,13285119.100000001490116
20091019,3009318.299999999813735,2503732.540000000037253,1937889.599999999860302,1810514.109999999869615,2101554.899999999906868,2045371.099999999860302,13408384.549999998882413
20091020,3150241.309999999590218,2430659.020000000018626,1919829.150000000139698,1799519.349999999860302,2100931.850000000093132,2057404.719999999972060,13458589.400000000372529
20091021,3247888.750000000000000,2371638.100000000093132,1910957.350000000093132,1781500.159999999916181,2036134.649999999906868,2034753.199999999953434,13382876.209999999031425
20091022,3252327.269999999552965,2392248.580000000074506,1930918.899999999906868,1817233.129999999888241,2047972.599999999860302,2057404.719999999972060,13498109.199999999254942
20091023,3232353.929999999701977,2336975.020000000018626,1918244.899999999906868,1815095.259999999776483,2020558.399999999906868,2040062.149999999906868,13363293.660000000149012
20091026,3210161.330000000074506,2262027.820000000298023,1903986.650000000139698,1808070.830000000074506,1995013.350000000093132,2013871.329999999841675,13193135.310000000521541
20091027,3129158.339999999850988,2236733.140000000130385,1901768.700000000186265,1802573.449999999953434,2020558.399999999906868,2023781.369999999878928,13114577.400000000372529
20091028,3050374.609999999403954,2211906.879999999888241,1887510.449999999953434,1790967.869999999878928,1996882.499999999767169,2025551.019999999785796,12963197.329999998211861
20091029,3112513.889999999664724,2286385.660000000149012,1896699.100000000093132,1806238.369999999878928,1950776.799999999813735,2107308.849999999627471,13159926.669999999925494
20091030,2988235.330000000074506,2239075.240000000223517,1871034.250000000000000,1790051.639999999897555,1927100.899999999906868,2052803.629999999888241,12868304.990000002086163
20091102,3000441.259999999776483,2261090.980000000447035,1884975.650000000139698,1806849.189999999711290,1947661.550000000046566,2086426.979999999981374,12987449.610000001266599
20091103,2991564.219999999739230,2253127.840000000316650,1867232.050000000046566,1809292.469999999972060,1910901.600000000093132,2073331.569999999832362,12905453.750000000000000
20091104,3024853.120000000111759,2251722.580000000074506,1885926.200000000186265,1841360.519999999785796,2033642.449999999953434,2089258.419999999925494,13126767.289999999105930
20091105,3075896.099999999627471,2331353.980000000447035,1900501.299999999813735,1877704.309999999823049,2038003.800000000046566,2140224.339999999850988,13363687.830000000074506
20091106,3080334.620000000111759,2327138.200000000186265,1910640.500000000000000,1885034.149999999906868,2030527.200000000186265,2160398.349999999627471,13394077.020000001415610
20091109,3193516.879999999888241,2405364.340000000316650,1924898.750000000000000,1913131.869999999878928,2082863.399999999906868,2189066.680000000167638,13708845.919999999925494
20091110,3217928.740000000223517,2357117.080000000074506,1940107.549999999813735,1902137.109999999869615,2094078.300000000046566,2189420.609999999869615,13700793.390000000596046
20091111,3222367.259999999776483,2373980.200000000186265,1928700.949999999953434,1918934.659999999916181,2069779.349999999860302,2202516.019999999552965,13716282.439999999478459
20091112,3202393.919999999925494,2355243.400000000372529,1937572.750000000000000,1898777.599999999860302,2054826.149999999906868,2169600.529999999795109,13618418.349999999627471
20091113,3241230.969999999739230,2373980.200000000186265,1946444.550000000046566,1941840.409999999916181,2062302.750000000000000,2180572.359999999869615,13746375.239999998360872
20091116,3275629.500000000000000,2458295.799999999813735,1970525.149999999906868,1970854.359999999869615,2106539.300000000279397,2203931.740000000223517,13985779.849999999627471
20091117,3281177.650000000372529,2460637.900000000372529,1969891.449999999953434,1941535.000000000000000,2136445.699999999720603,2205347.459999999962747,13995039.160000000149012
20091118,3264533.200000000186265,2436748.480000000447035,1974644.199999999953434,1954056.809999999823049,2189404.950000000186265,2208886.759999999776483,14028278.400000000372529
20091119,3177982.059999999590218,2409111.700000000186265,1978129.550000000046566,1936648.439999999711290,2201242.899999999906868,2199684.579999999608845,13902803.230000000447035
20091120,3169105.019999999552965,2421759.040000000037253,1974327.350000000093132,1953751.399999999906868,2271647.550000000279397,2187297.029999999795109,13977891.390000000596046
20091123,3263423.570000000298023,2465322.100000000093132,1986367.649999999906868,1954362.219999999972060,2269155.350000000093132,2220212.519999999552965,14158847.410000000149012
20091124,3241230.969999999739230,2434406.379999999888241,2001893.300000000046566,1961386.649999999906868,2256694.350000000093132,2222690.029999999795109,14118305.679999997839332
20091125,3236792.450000000186265,2479374.700000000186265,2005695.500000000000000,1968411.080000000074506,2278501.100000000093132,2225167.539999999571592,14193946.369999999180436
20091127,3180201.320000000298023,2456890.540000000037253,1992704.649999999906868,1942451.229999999981374,2261055.699999999720603,2211364.269999999552965,14044671.709999999031425
20091130,3169105.019999999552965,2455016.859999999869615,1991120.400000000139698,1931761.879999999888241,2256071.300000000279397,2206763.180000000167638,14009842.640000000596046
20091201,3122500.559999999590218,2516379.879999999888241,2012349.349999999860302,1940618.769999999785796,2297815.650000000372529,2226583.259999999776483,14116251.469999998807907
20091202,3110294.629999999888241,2519190.400000000372529,2024072.800000000046566,1908856.129999999888241,2292831.250000000000000,2236493.299999999813735,14091742.510000001639128
20091203,3114733.150000000372529,2518721.980000000447035,2032944.599999999860302,1892669.399999999906868,2290962.100000000093132,2214195.709999999962747,14064230.940000001341105
20091204,3064799.799999999813735,2561348.200000000186265,2039281.600000000093132,1881063.820000000065193,2286600.750000000000000,2215611.430000000167638,14048709.599999999627471
20091207,2994893.109999999403954,2614748.080000000074506,2039598.450000000186265,1891447.759999999776483,2286600.750000000000000,2211010.339999999850988,14038302.489999998360872
20091208,3009318.299999999813735,2607253.359999999869615,2035796.250000000000000,1851133.639999999897555,2264794.000000000000000,2189774.539999999571592,13958074.089999999850988
20091209,3135816.120000000111759,2598353.379999999888241,2039915.299999999813735,1850828.229999999981374,2314638.000000000000000,2202869.950000000186265,14142424.980000000447035
20091210,3113623.519999999552965,2576806.060000000055879,2052272.449999999953434,1864571.679999999701977,2338936.949999999720603,2202869.950000000186265,14149084.609999999403954
20091211,3085882.769999999552965,2604442.840000000316650,2054807.249999999767169,1883201.689999999711290,2309653.600000000093132,2206409.250000000000000,14144401.399999998509884
20091214,3122500.559999999590218,2625521.740000000223517,2058292.599999999860302,1897861.369999999878928,2353267.100000000093132,2230122.559999999590218,14287569.929999999701977
