代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12557086.500000000000000
真實報酬,2557086.500000000000000

夏普值報酬,0.247008650000000
夏普值風險,0.063447513679099
夏普值,3.893117880856702

預期報酬,10750.254363155159808
風險,314191.347915690217633
趨勢值,0.034215628261157
找到最佳解世代,2319
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](5),NKE[19](1),UNH[23](7),
20150814,3579615.969999999739230,4131794.949999999720603,3796697.439999999944121,11508109.359999999403954
20150817,3629737.979999999981374,4154195.239999999757856,3884539.039999999571592,11668473.259999999776483
20150818,3633343.880000000353903,4148414.519999999552965,3937244.000000000000000,11719003.400000000372529
20150819,3645603.939999999944121,4153472.649999999441206,3865715.839999999850988,11664793.429999999701977
20150820,3597284.880000000353903,4057368.179999999701977,3758109.880000000353903,11412763.940000001341105
20150821,3502449.709999999962747,3861546.289999999571592,3647994.160000000149012,11011991.160000000149012
20150824,3348838.370000000111759,3753157.789999999571592,3464467.960000000428408,10566465.120000001043081
20150825,3288980.429999999701977,3740873.759999999776483,3450350.560000000055879,10480205.750000000000000
20150826,3431052.890000000130385,3929469.750000000000000,3559525.119999999646097,10920048.759999999776483
20150827,3509661.509999999776483,4068929.619999999646097,3694738.439999999944121,11273330.569999998435378
20150828,3470717.790000000037253,4064594.079999999608845,3679366.160000000149012,11214679.029999999329448
20150831,3426365.219999999739230,4037858.250000000000000,3629798.399999999906868,11094022.869999999180436
20150901,3370473.770000000018626,3925134.209999999497086,3533486.359999999869615,10829095.339999999850988
20150902,3463145.400000000372529,3999560.979999999515712,3583681.560000000055879,11046388.939999999478459
20150903,3462063.630000000353903,4005341.699999999720603,3576152.279999999795109,11043558.609999999403954
20150904,3420235.189999999944121,3963431.479999999515712,3525015.919999999925494,10908683.589999999850988
20150908,3489829.060000000055879,4037858.250000000000000,3642033.479999999981374,11169721.790000000968575
20150909,3441149.410000000149012,3969212.199999999720603,3610347.759999999776483,11020710.369999999180436
20150910,3434658.790000000037253,3987999.539999999571592,3663366.439999999944121,11086025.769999999552965
20150911,3512546.229999999981374,4040026.019999999552965,3723914.399999999906868,11276487.650000000372529
20150914,3496680.270000000018626,4042916.379999999888241,3695679.600000000093132,11235277.250000000000000
20150915,3540672.250000000000000,4113007.609999999869615,3765639.160000000149012,11419320.019999999552965
20150916,3558701.750000000000000,4175872.939999999478459,3800775.800000000279397,11535351.490000000223517
20150917,3528051.600000000093132,4165034.089999999850988,3866970.720000000204891,11560057.410000000149012
20150918,3499564.989999999757856,4157085.599999999627471,3842186.839999999850988,11498838.429999999701977
20150921,3530215.140000000130385,4211279.849999999627471,3888303.679999999701977,11629799.669999999925494
20150922,3504973.840000000316650,4190324.739999999757856,3856617.960000000428408,11551917.540000000968575
20150923,3511464.459999999962747,4170814.809999999590218,3867598.160000000149012,11549878.429999999701977
20150924,3508219.150000000372529,4147691.929999999701977,3798893.479999999981374,11454805.560000000521541
20150925,3519036.850000000093132,4516212.830000000074506,3650817.640000000130385,11686068.320000000298023
20150928,3460260.679999999701977,4412882.459999999031425,3535682.399999999906868,11408826.539999999105930
20150929,3515070.360000000335276,4324003.890000000596046,3583367.839999999850988,11422443.089999999850988
20150930,3552932.310000000055879,4443231.240000000223517,3639523.720000000204891,11635688.270000001415610
20151001,3561947.060000000055879,4474302.609999999403954,3658346.919999999925494,11694597.589999999850988
20151002,3598366.650000000372529,4524161.320000000298023,3727992.759999999776483,11850521.730000000447035
20151005,3648128.070000000298023,4490199.589999999850988,3753717.800000000279397,11892046.460000000894070
20151006,3674451.140000000130385,4451179.730000000447035,3640778.600000000093132,11766410.470000000670552
20151007,3669763.469999999739230,4411437.279999999329448,3652699.960000000428408,11733901.709999999031425
20151008,3712313.090000000316650,4513322.469999998807907,3641719.759999999776483,11867356.319999998435378
20151009,3705461.880000000353903,4514045.059999998658895,3741796.439999999944121,11961304.379999998956919
20151012,3722770.199999999720603,4568239.309999998658895,3843441.720000000204891,12134452.229999998584390
20151013,3727818.459999999962747,4545839.019999999552965,3889872.279999999795109,12163530.759999999776483
20151014,3707625.419999999925494,4546561.609999999403954,3829638.039999999571592,12083826.069999998435378
20151015,3737914.979999999981374,4653504.929999999701977,3770031.240000000223517,12161452.150000000372529
20151016,3779743.419999999925494,4714202.489999998360872,3764070.560000000055879,12258017.469999998807907
20151019,3767843.949999999720603,4813197.320000000298023,3787599.560000000055879,12368641.830000000074506
20151020,3744405.600000000093132,4782848.539999999105930,3777874.240000000223517,12305129.379999998956919
20151021,3697528.900000000372529,4786461.489999998360872,3705404.919999999925494,12189396.309999998658895
20151022,3997900.370000000111759,4784293.719999998807907,3570505.320000000298023,12352700.410000000149012
20151023,4059921.850000000093132,4716370.259999999776483,3636700.240000000223517,12412993.349999999627471
20151026,4045137.660000000149012,4746719.039999999105930,3655837.160000000149012,12447694.859999999403954
20151027,4025665.800000000279397,4726486.519999999552965,3744933.640000000130385,12497086.960000000894070
20151028,4072542.500000000000000,4743828.679999999701977,3757796.160000000149012,12574168.339999999850988
20151029,4061003.620000000111759,4737325.369999999180436,3755600.119999999646097,12553930.109999997541308
20151030,4047661.790000000037253,4734435.009999999776483,3695052.160000000149012,12477149.960000000894070
20151102,4042613.529999999795109,4740215.729999998584390,3723600.679999999701977,12506430.939999997615814
20151103,4041531.759999999776483,4747441.629999998956919,3691287.520000000018626,12480261.909999998286366
20151104,4053070.640000000130385,4709866.949999999254942,3596544.080000000074506,12359482.669999999925494
20151105,4069297.189999999944121,4764061.199999999254942,3646425.560000000055879,12479784.949999999254942
20151106,4085884.330000000074506,4761170.839999999850988,3601877.320000000298023,12448933.490000000223517
20151109,4072181.910000000149012,4714202.489999998360872,3584622.720000000204891,12371008.119999999180436
20151110,4082639.020000000018626,4696860.330000000074506,3635759.080000000074506,12415259.429999999701977
20151111,4105356.189999999944121,4603646.219999998807907,3593406.880000000353903,12302410.289999999105930
20151112,4042613.529999999795109,4551619.740000000223517,3539447.039999999571592,12133681.309999998658895
20151113,3965447.270000000018626,4402766.199999999254942,3495212.520000000018626,11863426.989999998360872
20151116,4004751.580000000074506,4460573.399999998509884,3570819.039999999571592,12036145.019999997690320
20151117,4000424.500000000000000,4428779.439999999478459,3588701.080000000074506,12017906.019999999552965
20151118,4057758.310000000055879,4544393.839999999850988,3678425.000000000000000,12280578.150000000372529
20151119,4085523.739999999757856,4544393.839999999850988,3470742.359999999869615,12100660.939999999478459
20151120,4107519.729999999981374,4792964.799999998882413,3544152.839999999850988,12444638.369999999180436
20151123,4127712.770000000018626,4785738.900000000372529,3518741.520000000018626,12432194.189999999478459
20151124,4120861.560000000055879,4787906.669999999925494,3551054.679999999701977,12459823.910000000149012
20151125,4125188.640000000130385,4846436.459999999031425,3589328.520000000018626,12560954.619999999180436
20151127,4119058.610000000335276,4853662.359999999403954,3587132.479999999981374,12559854.449999999254942
20151130,4116534.479999999981374,4779235.589999999850988,3535996.119999999646097,12431767.189999999478459
20151201,4126991.590000000316650,4816810.269999999552965,3647366.720000000204891,12591169.580000000074506
20151202,4100668.520000000018626,4792964.799999998882413,3690660.080000000074506,12584294.399999998509884
20151203,4088769.050000000279397,4665066.369999999180436,3607838.000000000000000,12361674.419999999925494
20151204,4190094.840000000316650,4781403.359999999403954,3693797.279999999795109,12665296.479999998584390
20151207,4198027.820000000298023,4754667.529999999329448,3636386.520000000018626,12589082.869999999180436
20151208,4201994.310000000521541,4758280.479999998584390,3635445.359999999869615,12595721.149999998509884
20151209,4203797.259999999776483,4654950.109999999403954,3609406.600000000093132,12468154.969999998807907
20151210,4226153.839999999850988,4647724.209999999031425,3645798.119999999646097,12519677.169999998062849
20151211,4185767.759999999776483,4563181.179999999701977,3638582.560000000055879,12387532.500000000000000
20151214,4192258.380000000353903,4619543.199999999254942,3634504.199999999720603,12446306.779999999329448
20151215,4216417.910000000149012,4647001.619999999180436,3689718.919999999925494,12553139.449999999254942
20151216,4249231.600000000558794,4730822.059999998658895,3727992.759999999776483,12708047.419999999925494
20151217,4236971.540000000037253,4704808.820000000298023,3740227.839999999850988,12682009.199999999254942
20151218,4206681.979999999515712,4643388.669999999925494,3633563.039999999571592,12483634.689999997615814
20151221,4243822.750000000000000,4689634.429999999701977,3683444.520000000018626,12616902.699999999254942
20151222,4244904.519999999552965,4764061.199999999254942,3684385.679999999701977,12693352.399999998509884
20151223,4283848.240000000223517,4650614.570000000298023,3723600.679999999701977,12658064.490000000223517
20151224,4275554.669999999925494,4565348.949999999254942,3712620.479999999981374,12553525.099999999627471
20151228,4282045.290000000037253,4610872.119999999180436,3712306.759999999776483,12605225.169999999925494
20151229,4329643.169999999925494,4643388.669999999925494,3759051.039999999571592,12732083.879999998956919
20151230,4306565.410000000149012,4570407.080000000074506,3730816.240000000223517,12607789.730000000447035
20151231,4260049.299999999813735,4516212.830000000074506,3690660.080000000074506,12466923.209999999031425
20160104,4239856.259999999776483,4445399.009999999776483,3653641.119999999646097,12338897.389999998733401
20160105,4298271.839999999850988,4507541.750000000000000,3660542.960000000428408,12466357.550000000745058
20160106,4269424.640000000596046,4443231.240000000223517,3623210.279999999795109,12335867.160000000149012
20160107,4170622.979999999981374,4324726.480000000447035,3516545.479999999981374,12011895.940000001341105
20160108,4164132.360000000335276,4253912.660000000149012,3455997.520000000018626,11874043.539999999105930
20160111,4207763.750000000000000,4303048.779999999329448,3437801.759999999776483,11948615.289999999105930
20160112,4234808.000000000000000,4331229.789999999105930,3521878.720000000204891,12087917.509999999776483
20160113,4151151.120000000111759,4247409.349999999627471,3426821.560000000055879,11825383.029999999329448
20160114,4205239.620000000111759,4227899.419999999925494,3474820.720000000204891,11907960.759999999776483
20160115,4153314.660000000149012,4159253.369999999646097,3428076.439999999944121,11740645.469999998807907
20160119,4236971.540000000037253,4214170.209999999031425,3531917.759999999776483,11983060.509999999776483
20160120,4174950.060000000055879,4266196.689999999478459,3601249.880000000353903,12042397.630000000819564
20160121,4249231.600000000558794,4376030.369999999180436,3560780.000000000000000,12186042.969999998807907
20160122,4269424.640000000596046,4399153.250000000000000,3586818.759999999776483,12255397.650000000372529
20160125,4298271.839999999850988,4386146.629999998956919,3557015.359999999869615,12241434.829999998211861
20160126,4342624.410000000149012,4415772.820000000298023,3575211.119999999646097,12333609.349999999627471
20160127,4358490.370000000111759,4305216.549999998882413,3524074.759999999776483,12187782.679999997839332
20160128,4412939.459999999962747,4422276.129999998956919,3494271.359999999869615,12329487.949999999254942
20160129,4463422.060000000521541,4480805.919999999925494,3612857.520000000018626,12557086.500000000000000
