代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15139549.200000001117587
真實報酬,5139549.200000001117587

夏普值報酬,0.505254920000000
夏普值風險,0.126675856606631
夏普值,3.988565252564084

預期報酬,21570.048814695135661
風險,317473.205044192378409
趨勢值,0.067942895564029
找到最佳解世代,1867
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AXP[1](8),BA[2](2),INTC[11](9),V[25](1),
20170728,2755387.120000000111759,3214699.359999999869615,2444614.399999999906868,2602907.840000000316650,11017608.720000000670552
20170731,2769358.680000000167638,3230554.919999999925494,2455691.520000000018626,2613671.160000000149012,11069276.279999999329448
20170801,2769683.599999999627471,3190316.439999999944121,2516615.680000000167638,2648061.280000000260770,11124677.000000000000000
20170802,2771633.120000000111759,3170463.679999999701977,2536692.959999999962747,2658824.600000000093132,11137614.359999999403954
20170803,2779431.200000000186265,3174460.879999999888241,2526308.160000000149012,2640710.720000000204891,11120910.960000000894070
20170804,2793402.759999999776483,3167265.919999999925494,2513154.079999999608845,2648586.319999999832362,11122409.080000000074506
20170807,2789503.719999999739230,3200842.399999999906868,2522154.239999999757856,2664337.520000000018626,11176837.879999998956919
20170808,2792428.000000000000000,3191115.879999999888241,2520769.599999999627471,2658824.600000000093132,11163138.080000000074506
20170809,2784305.000000000000000,3121964.319999999832362,2533231.360000000335276,2650686.479999999981374,11090187.160000000149012
20170810,2747589.040000000037253,3102911.000000000000000,2502076.959999999962747,2611833.520000000018626,10964410.519999999552965
20170811,2738816.200000000186265,3129559.000000000000000,2483384.319999999832362,2627584.720000000204891,10979344.240000000223517
20170814,2777156.759999999776483,3159804.479999999981374,2515923.360000000335276,2674313.280000000260770,11127197.880000002682209
20170815,2820046.200000000186265,3186718.959999999497086,2492384.479999999981374,2694264.799999999813735,11193414.440000001341105
20170816,2839541.399999999906868,3165667.040000000037253,2479230.399999999906868,2712378.679999999701977,11196817.519999999552965
20170817,2797301.800000000279397,3139019.040000000037253,2434921.919999999925494,2681926.359999999869615,11053169.119999999180436
20170818,2774232.479999999981374,3141417.359999999869615,2423844.799999999813735,2691114.560000000055879,11030609.199999999254942
20170821,2771633.120000000111759,3140218.200000000186265,2417613.919999999925494,2709753.479999999981374,11039218.720000000670552
20170822,2771633.120000000111759,3194446.879999999888241,2398921.279999999795109,2732067.679999999701977,11097068.959999999031425
20170823,2770983.280000000260770,3172329.040000000037253,2399613.599999999627471,2708703.400000000372529,11051629.320000000298023
20170824,2773582.640000000130385,3180989.640000000130385,2403075.200000000186265,2709753.479999999981374,11067400.960000000894070
20170825,2777156.759999999776483,3143016.239999999757856,2400305.919999999925494,2713166.239999999757856,11033645.160000000149012
20170828,2775207.239999999757856,3160204.200000000186265,2398921.279999999795109,2724454.600000000093132,11058787.319999998435378
20170829,2775532.160000000149012,3204306.640000000130385,2404459.839999999850988,2724192.080000000074506,11108490.720000000670552
20170830,2784305.000000000000000,3203906.919999999925494,2415536.959999999962747,2723142.000000000000000,11126890.879999998956919
20170831,2797626.719999999739230,3193247.719999999739230,2427998.720000000204891,2717629.080000000074506,11136502.240000000223517
20170901,2798926.399999999906868,3202174.800000000279397,2429383.360000000335276,2727604.840000000316650,11158089.400000000372529
20170905,2771958.040000000037253,3157805.879999999888241,2424537.120000000111759,2704240.560000000055879,11058541.599999999627471
20170906,2769358.680000000167638,3126094.759999999776483,2475768.799999999813735,2708703.400000000372529,11079925.640000000596046
20170907,2742715.239999999757856,3148612.319999999832362,2460537.759999999776483,2744931.160000000149012,11096796.480000000447035
20170908,2737516.520000000018626,3181522.600000000093132,2436306.560000000055879,2741518.400000000372529,11096864.080000000074506
20170911,2784305.000000000000000,3205639.040000000037253,2476461.120000000111759,2786671.840000000316650,11253077.000000000000000
20170912,2812248.120000000111759,3205505.800000000279397,2498615.360000000335276,2788246.959999999962747,11304616.240000002086163
20170913,2815172.399999999906868,3223493.200000000186265,2515231.040000000037253,2778271.200000000186265,11332167.839999999850988
20170914,2800551.000000000000000,3267462.399999999906868,2525615.839999999850988,2784834.200000000186265,11378463.440000001341105
20170915,2826544.599999999627471,3317693.879999999888241,2561616.479999999981374,2764357.640000000130385,11470212.599999999627471
20170918,2855137.560000000055879,3372055.800000000279397,2561616.479999999981374,2752019.200000000186265,11540829.039999999105930
20170919,2891853.520000000018626,3363794.919999999925494,2577539.839999999850988,2767245.359999999869615,11600433.639999998733401
20170920,2873333.080000000074506,3403766.919999999925494,2566462.720000000204891,2767245.359999999869615,11610808.080000000074506
20170921,2873008.160000000149012,3411494.840000000316650,2575462.880000000353903,2764620.160000000149012,11624586.040000000968575
20170922,2872358.320000000298023,3416957.679999999701977,2574078.239999999757856,2771183.160000000149012,11634577.400000000372529
20170925,2866184.839999999850988,3388577.559999999590218,2572693.599999999627471,2704503.080000000074506,11531959.080000000074506
20170926,2881781.000000000000000,3380316.679999999701977,2594155.520000000018626,2702402.919999999925494,11558656.119999999180436
20170927,2907774.599999999627471,3401368.600000000093132,2599001.759999999776483,2727342.319999999832362,11635487.279999999329448
20170928,2928894.399999999906868,3387911.359999999869615,2619079.040000000037253,2745456.200000000186265,11681341.000000000000000
20170929,2939291.839999999850988,3387111.919999999925494,2636387.040000000037253,2745456.200000000186265,11708247.000000000000000
20171002,2941891.200000000186265,3410828.640000000130385,2702849.759999999776483,2768032.919999999925494,11823602.519999999552965
20171003,2970809.080000000074506,3403766.919999999925494,2726388.640000000130385,2771970.720000000204891,11872935.360000001266599
20171004,2957162.440000000409782,3407764.119999999646097,2723619.360000000335276,2764620.160000000149012,11853166.080000001937151
20171005,2962036.239999999757856,3449468.239999999757856,2736773.439999999944121,2789034.520000000018626,11937312.439999999478459
20171006,2974708.120000000111759,3445337.799999999813735,2743696.640000000130385,2801898.000000000000000,11965640.560000000521541
20171009,2979257.000000000000000,3442806.239999999757856,2759620.000000000000000,2809248.560000000055879,11990931.800000000745058
20171010,2985755.399999999906868,3476649.200000000186265,2745081.279999999795109,2817124.160000000149012,12024610.039999999105930
20171011,2988029.839999999850988,3483444.439999999944121,2720850.079999999608845,2846788.919999999925494,12039113.279999999329448
20171012,2976657.640000000130385,3489706.720000000204891,2713234.560000000055879,2838125.760000000242144,12017724.679999999701977
20171013,3017272.640000000130385,3474117.640000000130385,2746465.919999999925494,2852564.359999999869615,12090420.559999998658895
20171016,2988029.839999999850988,3460926.879999999888241,2752696.799999999813735,2843113.640000000130385,12044767.160000000149012
20171017,2979257.000000000000000,3445870.759999999776483,2754773.759999999776483,2823162.120000000111759,12003063.640000000596046
20171018,2991928.879999999888241,3464790.840000000316650,2786620.479999999981374,2829987.640000000130385,12073327.840000001713634
20171019,2986080.320000000298023,3451466.840000000316650,2775543.360000000335276,2809511.080000000074506,12022601.599999999627471
20171020,2992253.800000000279397,3527546.879999999888241,2799082.239999999757856,2823424.640000000130385,12142307.560000000521541
20171023,3001676.479999999981374,3495169.559999999590218,2826775.040000000037253,2822899.600000000093132,12146520.679999997839332
20171024,3049764.640000000130385,3544201.879999999888241,2835082.880000000353903,2846001.359999999869615,12275050.759999999776483
20171025,3039042.280000000260770,3443205.959999999962747,2823313.439999999944121,2874353.520000000018626,12179915.199999999254942
20171026,3109225.000000000000000,3454531.359999999869615,2862775.680000000167638,2882491.640000000130385,12309023.679999999701977
20171027,3112474.200000000186265,3417090.919999999459833,3073933.279999999795109,2880128.959999999962747,12483627.359999999403954
20171030,3089079.959999999962747,3454264.879999999888241,3071856.319999999832362,2888792.120000000111759,12503993.280000001192093
20171031,3103701.359999999869615,3437343.399999999906868,3149396.160000000149012,2887217.000000000000000,12577657.919999999925494
20171101,3112474.200000000186265,3444271.879999999888241,3233859.200000000186265,2915831.679999999701977,12706436.960000000894070
20171102,3118647.680000000167638,3499300.000000000000000,3260859.680000000167638,2913469.000000000000000,12792276.359999999403954
20171103,3133269.080000000074506,3487574.879999999888241,3208243.360000000335276,2923444.760000000242144,12752532.080000000074506
20171106,3128720.200000000186265,3518486.559999999590218,3233166.880000000353903,2938145.879999999888241,12818519.519999999552965
20171107,3098827.560000000055879,3545934.000000000000000,3238705.439999999944121,2942608.720000000204891,12826075.720000000670552
20171108,3091029.479999999981374,3538472.559999999590218,3233166.880000000353903,2952584.479999999981374,12815253.400000000372529
20171109,3046190.520000000018626,3500232.679999999701977,3205474.079999999608845,2943921.319999999832362,12695818.599999999627471
20171110,3038717.359999999869615,3475583.280000000260770,3155627.040000000037253,2937095.799999999813735,12607023.480000000447035
20171113,3051064.320000000298023,3496501.959999999962747,3167396.479999999981374,2924494.840000000316650,12639457.599999999627471
20171114,3046515.440000000409782,3487708.119999999646097,3175012.000000000000000,2939721.000000000000000,12648956.560000000521541
20171115,3030269.440000000409782,3502364.520000000018626,3147319.200000000186265,2894305.040000000037253,12574258.199999999254942
20171116,3040017.040000000037253,3513556.679999999701977,3160473.279999999795109,2914519.080000000074506,12628566.080000000074506
20171117,3044241.000000000000000,3494370.119999999646097,3089856.640000000130385,2883016.679999999701977,12511484.439999999478459
20171120,3052688.919999999925494,3525948.000000000000000,3089164.319999999832362,2886429.439999999944121,12554230.679999999701977
20171121,3067635.239999999757856,3557392.640000000130385,3111318.560000000055879,2925807.439999999944121,12662153.879999998956919
20171122,3048464.959999999962747,3532876.479999999515712,3091241.279999999795109,2909268.679999999701977,12581851.399999998509884
20171124,3037417.680000000167638,3542603.000000000000000,3098164.479999999981374,2939458.479999999981374,12617643.640000000596046
20171127,3037092.759999999776483,3538605.799999999813735,3080164.160000000149012,2950221.799999999813735,12606084.519999999552965
20171128,3095903.280000000260770,3570716.640000000130385,3096779.839999999850988,2975948.760000000242144,12739348.519999999552965
20171129,3138792.719999999739230,3588171.080000000074506,3042778.880000000353903,2884066.760000000242144,12653809.439999999478459
20171130,3174858.839999999850988,3688101.080000000074506,3104395.360000000335276,2955734.720000000204891,12923090.000000001862645
20171201,3179732.640000000130385,3615885.000000000000000,3093318.239999999757856,2906906.000000000000000,12795841.880000000819564
20171204,3203451.800000000279397,3703690.160000000149012,3080164.160000000149012,2820274.400000000372529,12807580.520000001415610
20171205,3207350.839999999850988,3671312.840000000316650,3007470.560000000055879,2850464.200000000186265,12736598.440000001341105
20171206,3191104.839999999850988,3707687.359999999869615,3008162.880000000353903,2880916.520000000018626,12787871.599999999627471
20171207,3203126.879999999888241,3756986.160000000149012,2982547.040000000037253,2924494.840000000316650,12867154.919999999925494
20171208,3202152.120000000111759,3809349.479999999515712,3001239.680000000167638,2955997.239999999757856,12968738.519999999552965
20171211,3216773.520000000018626,3772841.720000000204891,3022701.599999999627471,2949959.280000000260770,12962276.120000001043081
20171212,3228795.560000000055879,3863178.439999999944121,2999855.040000000037253,2978573.959999999962747,13070403.000000000000000
20171213,3177133.280000000260770,3888494.039999999571592,3000547.360000000335276,2974636.160000000149012,13040810.839999999850988
20171214,3156663.320000000298023,3915675.000000000000000,2995008.799999999813735,2964397.879999999888241,13031745.000000000000000
20171215,3201177.359999999869615,3916474.439999999944121,3085010.399999999906868,2988024.679999999701977,13190686.879999998956919
20171218,3238868.080000000074506,3945787.239999999757856,3202704.799999999813735,2980936.640000000130385,13368296.760000001639128
20171219,3221647.320000000298023,3960576.879999999888241,3256705.759999999776483,2943921.319999999832362,13382851.280000001192093
20171220,3200852.440000000409782,3969237.479999999515712,3292706.399999999906868,2943396.280000000260770,13406192.600000001490116
20171221,3200527.520000000018626,3930997.599999999627471,3237320.799999999813735,2951009.359999999869615,13319855.279999997466803
20171222,3208325.599999999627471,3931930.280000000260770,3233166.880000000353903,2958359.919999999925494,13331782.679999999701977
20171226,3202801.959999999962747,3935394.520000000018626,3190243.040000000037253,2966235.520000000018626,13294675.039999999105930
20171227,3220997.479999999981374,3938858.759999999776483,3192320.000000000000000,2993275.080000000074506,13345451.320000000298023
20171228,3239517.919999999925494,3948585.280000000260770,3199935.520000000018626,3001938.239999999757856,13389976.960000000894070
20171229,3226846.040000000037253,3929398.720000000204891,3195781.599999999627471,2993275.080000000074506,13345301.439999999478459
20180102,3214824.000000000000000,3955114.039999999571592,3243551.680000000167638,3006138.560000000055879,13419628.279999999329448
20180103,3234644.120000000111759,3967905.080000000074506,3133472.799999999813735,3036065.840000000316650,13372087.839999999850988
20180104,3276883.719999999739230,3952848.959999999962747,3076010.239999999757856,3047354.200000000186265,13353097.120000001043081
20180105,3284356.879999999888241,4115002.039999999571592,3097472.160000000149012,3120334.760000000242144,13617165.839999999850988
20180108,3254139.320000000298023,4132456.479999999515712,3097472.160000000149012,3132935.720000000204891,13617003.680000001564622
20180109,3266161.359999999869615,4242779.200000000186265,3019932.319999999832362,3126897.760000000242144,13655770.640000000596046
20180110,3288905.759999999776483,4267162.120000000111759,2942392.479999999981374,3123485.000000000000000,13621945.359999999403954
20180111,3272984.680000000167638,4371888.759999999776483,3005393.599999999627471,3146061.720000000204891,13796328.759999999776483
20180112,3280782.759999999776483,4479679.919999999925494,2993624.160000000149012,3152624.720000000204891,13906711.560000000521541
20180116,3260312.800000000279397,4465689.720000000670552,2986700.959999999962747,3160500.319999999832362,13873203.800000000745058
20180117,3273959.440000000409782,4676875.120000000111759,3073240.959999999962747,3202241.000000000000000,14226316.519999999552965
20180118,3244716.640000000130385,4532309.720000000670552,3079471.839999999850988,3231905.760000000242144,14088403.960000000894070
20180119,3185256.280000000260770,4499932.400000000372529,3103010.720000000204891,3221142.439999999944121,14009341.839999999850988
20180122,3194678.959999999962747,4503529.879999999888241,3167396.479999999981374,3263933.200000000186265,14129538.519999999552965
20180123,3183631.680000000167638,4471419.039999999105930,3188858.399999999906868,3272333.840000000316650,14116242.959999999031425
20180124,3226521.120000000111759,4459427.439999999478459,3150780.799999999813735,3269708.640000000130385,14106438.000000000000000
20180125,3239193.000000000000000,4571615.520000000484288,3136242.079999999608845,3287297.479999999981374,14234348.080000000074506
20180126,3237243.479999999981374,4573081.160000000149012,3467171.040000000037253,3316174.679999999701977,14593670.359999999403954
20180129,3230095.239999999757856,4541103.559999999590218,3460247.839999999850988,3277321.720000000204891,14508768.359999999403954
20180130,3207350.839999999850988,4499665.919999999925494,3377861.759999999776483,3243456.640000000130385,14328335.160000000149012
20180131,3229770.320000000298023,4721643.759999999776483,3332860.959999999962747,3261308.000000000000000,14545583.039999999105930
20180201,3249265.520000000018626,4755886.439999999478459,3298937.279999999795109,3300423.479999999981374,14604512.719999998807907
20180202,3141392.080000000074506,4648894.720000000670552,3195089.279999999795109,3174151.359999999869615,14159527.439999999478459
20180205,2989654.440000000409782,4382015.000000000000000,3082241.120000000111759,3052342.080000000074506,13506252.640000000596046
20180206,3060162.080000000074506,4542302.720000000670552,3109241.599999999627471,3149474.479999999981374,13861180.880000000819564
20180207,3041641.640000000130385,4638368.759999999776483,3129318.880000000353903,3141073.840000000316650,13950403.120000001043081
20180208,2870408.800000000279397,4392407.720000000670552,2959700.479999999981374,2989074.760000000242144,13211591.760000001639128
20180209,2980231.759999999776483,4434644.799999999813735,3042778.880000000353903,3053654.679999999701977,13511310.119999999180436
20180212,3077057.919999999925494,4580809.080000000074506,3103703.040000000037253,3110096.479999999981374,13871666.519999999552965
20180213,3072509.040000000037253,4572281.720000000670552,3078087.200000000186265,3106946.239999999757856,13829824.200000001117587
20180214,3126770.680000000167638,4594799.280000000260770,3141780.640000000130385,3172051.200000000186265,14035401.800000000745058
20180215,3137493.040000000037253,4749490.919999999925494,3179165.919999999925494,3210116.600000000093132,14276266.479999998584390
20180216,3144966.200000000186265,4730570.839999999850988,3154242.399999999906868,3198828.239999999757856,14228607.679999999701977
20180220,3157963.000000000000000,4708053.280000000260770,3206858.720000000204891,3203028.560000000055879,14275903.560000000521541
20180221,3168035.520000000018626,4694995.759999999776483,3180550.560000000055879,3161550.400000000372529,14205132.240000000223517
20180222,3163161.719999999739230,4742295.959999999962747,3170858.079999999608845,3160237.799999999813735,14236553.559999998658895
20180223,3210275.120000000111759,4752155.720000000670552,3304475.839999999850988,3227180.400000000372529,14494087.080000000074506
20180226,3302552.399999999906868,4843025.400000000372529,3400016.000000000000000,3270758.720000000204891,14816352.520000001415610
20180227,3235618.879999999888241,4858481.239999999292195,3455401.599999999627471,3238731.280000000260770,14788233.000000000000000
20180228,3168360.440000000409782,4826103.919999999925494,3412477.759999999776483,3227442.919999999925494,14634385.040000000968575
20180301,3091354.399999999906868,4659287.439999999478459,3312091.360000000335276,3160762.840000000316650,14223496.039999999105930
20180302,3106300.719999999739230,4592400.959999999962747,3391015.839999999850988,3170476.080000000074506,14260193.599999999627471
20180305,3140742.239999999757856,4700058.879999999888241,3444324.479999999981374,3199615.799999999813735,14484741.399999998509884
20180306,3121571.959999999962747,4649027.959999999962747,3510787.200000000186265,3178089.160000000149012,14459476.280000001192093
20180307,3107600.399999999906868,4623978.839999999850988,3553018.720000000204891,3198828.239999999757856,14483426.200000001117587
20180308,3138467.800000000279397,4646496.400000000372529,3512864.160000000149012,3208541.479999999981374,14506369.840000001713634
20180309,3218398.120000000111759,4723642.359999999403954,3613250.560000000055879,3268658.560000000055879,14823949.599999999627471
20180312,3173559.160000000149012,4586005.439999999478459,3566865.120000000111759,3261570.520000000018626,14588000.239999998360872
20180313,3098827.560000000055879,4512456.959999999962747,3584865.439999999944121,3234268.439999999944121,14430418.399999998509884
20180314,3071534.280000000260770,4400402.120000000111759,3590404.000000000000000,3217992.200000000186265,14280332.600000001490116
20180315,3066985.399999999906868,4396671.400000000372529,3522556.640000000130385,3239781.359999999869615,14225994.800000000745058
20180316,3106625.640000000130385,4403200.160000000149012,3542633.919999999925494,3269183.600000000093132,14321643.320000000298023
20180319,3081606.800000000279397,4420388.120000000111759,3519095.040000000037253,3234530.959999999962747,14255620.920000001788139
20180320,3085180.919999999925494,4498600.000000000000000,3568942.079999999608845,3279159.359999999869615,14431882.359999999403954
20180321,3078357.599999999627471,4491538.280000000260770,3569634.399999999906868,3234793.479999999981374,14374323.759999999776483
20180322,2970159.239999999757856,4258501.520000000484288,3519095.040000000037253,3149999.520000000018626,13897755.320000000298023
20180323,2938966.919999999925494,4277021.879999999888241,3417324.000000000000000,3071506.040000000037253,13704818.839999999850988
20180326,3009474.560000000055879,4383214.160000000149012,3633327.839999999850988,3167063.319999999832362,14193079.880000000819564
20180327,2970484.160000000149012,4278620.759999999776483,3544018.560000000055879,3082006.840000000316650,13875130.320000000298023
20180328,2996152.839999999850988,4263964.359999999403954,3433939.680000000167638,3071243.520000000018626,13765300.399999998509884
20180329,3030919.280000000260770,4368691.000000000000000,3605635.040000000037253,3140286.280000000260770,14145531.600000001490116
20180402,2956837.520000000018626,4296208.439999999478459,3386861.919999999925494,3107996.319999999832362,13747904.199999999254942
20180403,3013373.599999999627471,4407863.559999999590218,3444324.479999999981374,3129260.439999999944121,13994822.079999998211861
20180404,3040666.879999999888241,4362828.439999999478459,3460940.160000000149012,3145274.160000000149012,14009709.640000000596046
20180405,3060811.919999999925494,4482211.479999999515712,3487940.640000000130385,3181501.919999999925494,14212465.959999999031425
20180406,2986405.239999999757856,4345240.759999999776483,3377861.759999999776483,3089882.439999999944121,13799390.199999999254942
20180409,2993878.399999999906868,4296741.400000000372529,3430478.079999999608845,3118497.120000000111759,13839595.000000000000000
20180410,3021821.520000000018626,4461292.799999999813735,3549557.120000000111759,3169163.479999999981374,14201834.920000001788139
20180411,2976332.719999999739230,4361762.520000000484288,3537787.680000000167638,3144486.600000000093132,14020369.519999999552965
20180412,3033193.719999999739230,4496601.400000000372529,3649943.520000000018626,3178351.679999999701977,14358090.320000000298023
20180413,3022796.280000000260770,4387344.599999999627471,3590404.000000000000000,3169951.040000000037253,14170495.919999998062849
20180416,3041316.719999999739230,4420521.359999999403954,3627789.279999999795109,3199615.799999999813735,14289243.160000000149012
20180417,3049764.640000000130385,4486475.160000000149012,3706713.759999999776483,3250019.640000000130385,14492973.200000001117587
20180418,3091679.320000000298023,4543501.879999999888241,3711560.000000000000000,3250019.640000000130385,14596760.839999999850988
20180419,3326271.560000000055879,4538705.239999999292195,3615327.520000000018626,3254219.959999999962747,14734524.279999997466803
20180420,3274934.200000000186265,4512456.959999999962747,3567557.439999999944121,3260520.439999999944121,14615469.039999999105930
20180423,3269085.640000000130385,4514722.039999999105930,3537787.680000000167638,3267345.959999999962747,14588941.320000000298023
20180424,3263562.000000000000000,4384413.320000000298023,3562018.880000000353903,3183602.080000000074506,14393596.280000001192093
20180425,3209625.280000000260770,4568284.520000000484288,3557172.640000000130385,3182026.959999999962747,14517109.400000002235174
20180426,3256738.680000000167638,4567351.839999999850988,3672790.079999999608845,3336126.200000000186265,14833006.800000000745058
20180427,3236593.640000000130385,4541903.000000000000000,3650635.839999999850988,3308036.560000000055879,14737169.040000000968575
20180430,3208650.520000000018626,4444371.320000000298023,3573788.319999999832362,3330875.799999999813735,14557685.960000000894070
20180501,3203126.879999999888241,4390808.839999999850988,3692175.040000000037253,3347414.560000000055879,14633525.320000000298023
20180502,3172259.479999999981374,4319525.439999999478459,3621558.399999999906868,3317749.799999999813735,14431093.120000001043081
20180503,3156338.399999999906868,4406131.439999999478459,3619481.439999999944121,3338751.400000000372529,14520702.679999999701977
20180504,3195653.719999999739230,4455963.200000000186265,3654097.439999999944121,3364478.359999999869615,14670192.719999998807907
20180507,3203126.879999999888241,4535907.200000000186265,3692175.040000000037253,3393355.559999999590218,14824564.679999999701977
20180508,3240817.599999999627471,4508459.759999999776483,3712944.640000000130385,3410156.840000000316650,14872378.839999999850988
20180509,3265511.520000000018626,4590135.879999999888241,3762099.360000000335276,3434833.720000000204891,15052580.480000002309680
20180510,3294104.479999999981374,4584406.559999999590218,3806407.839999999850988,3434833.720000000204891,15119752.599999999627471
20180511,3295404.160000000149012,4562954.919999999925494,3784945.919999999925494,3460560.679999999701977,15103865.679999999701977
20180514,3291180.200000000186265,4591335.039999999105930,3800869.279999999795109,3444546.960000000428408,15127931.480000000447035
20180515,3273309.599999999627471,4558424.759999999776483,3733021.919999999925494,3441659.239999999757856,15006415.519999999552965
20180516,3268435.800000000279397,4543102.160000000149012,3782868.959999999962747,3436146.319999999832362,15030553.240000002086163
20180517,3288905.759999999776483,4585339.239999999292195,3794638.399999999906868,3410944.400000000372529,15079827.799999998882413
20180518,3281432.599999999627471,4679806.400000000372529,3794638.399999999906868,3410944.400000000372529,15166821.800000000745058
20180521,3315549.200000000186265,4848887.959999999962747,3760714.720000000204891,3430108.359999999869615,15355260.240000000223517
20180522,3336993.919999999925494,4730304.359999999403954,3769714.880000000353903,3431420.960000000428408,15268434.120000001043081
20180523,3311975.080000000074506,4786131.919999999925494,3822331.200000000186265,3462135.799999999813735,15382574.000000000000000
