代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13147997.100000001490116
真實報酬,3147997.100000001490116

夏普值報酬,0.306099710000000
夏普值風險,0.083677060727557
夏普值,3.658107817584886

預期報酬,13398.817415103623716
風險,133302.982195472344756
趨勢值,0.100514010972807
找到最佳解世代,1912
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
DIS[6](1),DD[7](2),INTC[11](9),MCD[15](30),MRK[17](4),MSFT[18](3),
20131010,1694834.870000000111759,1753212.160000000149012,1679754.879999999888241,1636004.290000000037253,1662465.280000000260770,1690704.399999999674037,10116979.880000000819564
20131011,1711115.959999999962747,1782467.200000000186265,1691389.439999999944121,1641201.190000000176951,1655464.080000000074506,1709234.000000000000000,10190875.870000001043081
20131014,1727138.620000000111759,1771496.560000000288710,1705205.479999999748543,1640854.730000000214204,1636560.840000000083819,1725259.600000000093132,10206519.830000000074506
20131015,1717059.850000000093132,1754735.860000000102445,1700842.519999999785796,1624917.570000000065193,1630259.760000000009313,1727262.800000000046566,10155082.360000001266599
20131016,1714733.979999999981374,1784905.120000000111759,1723384.479999999748543,1649516.230000000214204,1651263.360000000102445,1734774.799999999813735,10258581.969999998807907
20131017,1716542.990000000223517,1796180.500000000000000,1739382.000000000000000,1653846.980000000214204,1649163.000000000000000,1748797.199999999953434,10303916.669999999925494
20131018,1735408.380000000353903,1792828.360000000102445,1736473.359999999636784,1649169.770000000251457,1631660.000000000000000,1750800.399999999906868,10296344.270000001415610
20131021,1747296.160000000149012,1794961.540000000037253,1755379.519999999785796,1638602.740000000223517,1628159.399999999906868,1752302.800000000046566,10316706.160000000149012
20131022,1783217.930000000167638,1803189.520000000251457,1750289.399999999906868,1647783.930000000167638,1626759.160000000149012,1731769.999999999767169,10343013.939999999478459
20131023,1760476.090000000316650,1780943.500000000000000,1726293.119999999646097,1632020.000000000000000,1629909.700000000186265,1690704.399999999674037,10220350.810000000521541
20131024,1784510.080000000074506,1762963.840000000316650,1729201.759999999776483,1640161.810000000288710,1618007.660000000149012,1688701.199999999720603,10223550.349999999627471
20131025,1789937.110000000335276,1715119.660000000149012,1762651.119999999646097,1641894.110000000102445,1629209.580000000074506,1789361.999999999767169,10328177.580000001937151
20131028,1783217.930000000167638,1697444.740000000223517,1771377.039999999804422,1652114.680000000167638,1587552.440000000176951,1781349.199999999953434,10273060.029999999329448
20131029,1781150.490000000223517,1712377.000000000000000,1783011.599999999860302,1663894.320000000065193,1595603.820000000065193,1778845.199999999953434,10314886.429999999701977
20131030,1769521.140000000130385,1703844.280000000027940,1781557.279999999795109,1663547.860000000102445,1583701.780000000260770,1779846.799999999813735,10282023.140000000596046
20131031,1772622.300000000279397,1712986.480000000214204,1779375.799999999813735,1672036.130000000121072,1578450.880000000121072,1773336.399999999674037,10288811.990000000223517
20131101,1783476.360000000335276,1690435.720000000204891,1769195.559999999590218,1684508.690000000176951,1583351.719999999972060,1779346.000000000000000,10290318.050000000745058
20131104,1778307.760000000242144,1666666.000000000000000,1764105.439999999944121,1685721.300000000279397,1600504.660000000149012,1799878.799999999813735,10295187.960000000894070
20131105,1779341.479999999981374,1680379.300000000279397,1747380.759999999776483,1687453.600000000093132,1587902.500000000000000,1834934.799999999813735,10317396.440000001341105
20131106,1783217.930000000167638,1703844.280000000027940,1763378.279999999795109,1695941.870000000344589,1608906.100000000093132,1912057.999999999767169,10467350.460000000894070
20131107,1735408.380000000353903,1678246.120000000111759,1749562.239999999757856,1683815.770000000251457,1604005.260000000009313,1878003.599999999860302,10329045.370000001043081
20131108,1772363.870000000111759,1721519.200000000186265,1751743.719999999739230,1680524.400000000139698,1638311.139999999897555,1892026.000000000000000,10456492.330000000074506
20131111,1766161.550000000279397,1721214.460000000195578,1757561.000000000000000,1681910.240000000223517,1645312.340000000083819,1882510.800000000046566,10454674.390000002458692
20131112,1751431.040000000037253,1707196.420000000158325,1776467.159999999683350,1691784.350000000093132,1665965.880000000121072,1870992.399999999906868,10463841.250000000000000
20131113,1782442.640000000130385,1718471.800000000279397,1788828.879999999888241,1699579.700000000186265,1657214.380000000121072,1911056.399999999674037,10557597.800000000745058
20131114,1809577.790000000037253,1740413.080000000074506,1773558.519999999785796,1690052.050000000279397,1674017.260000000009313,1904045.199999999953434,10591667.899999998509884
20131115,1809060.930000000167638,1745898.400000000139698,1783011.599999999860302,1678965.330000000074506,1682768.760000000009313,1895030.800000000046566,10594739.820000000298023
20131118,1796139.430000000167638,1730356.660000000149012,1788828.879999999888241,1691611.120000000344589,1680668.399999999906868,1862979.600000000093132,10550588.089999999850988
20131119,1786319.090000000316650,1723042.900000000139698,1796100.479999999748543,1697327.710000000195578,1682768.760000000009313,1839942.800000000046566,10525505.740000000223517
20131120,1789161.820000000298023,1703844.280000000027940,1785920.239999999757856,1689705.590000000316650,1684869.120000000111759,1856969.999999999767169,10510475.050000000745058
20131121,1807510.350000000093132,1719995.500000000000000,1834639.959999999729916,1692477.270000000251457,1702022.060000000055879,1872995.599999999860302,10629644.740000000223517
20131122,1814229.530000000260770,1721214.460000000195578,1735746.199999999953434,1702351.380000000121072,1713223.979999999981374,1881509.199999999953434,10568278.750000000000000
20131125,1802341.750000000000000,1692873.640000000130385,1727020.279999999795109,1713611.330000000074506,1738428.300000000046566,1885014.799999999813735,10559294.100000001490116
20131126,1839555.670000000391155,1683426.700000000186265,1719748.679999999701977,1701138.770000000251457,1735627.820000000065193,1870491.599999999860302,10549993.240000000223517
20131127,1828960.040000000037253,1696835.260000000242144,1737927.679999999701977,1681390.550000000279397,1744379.320000000065193,1883011.599999999860302,10572508.450000001117587
20131129,1823016.150000000372529,1695311.560000000288710,1733564.719999999739230,1686760.680000000167638,1744379.320000000065193,1909554.000000000000000,10592590.430000001564622
20131202,1832578.060000000055879,1735232.500000000000000,1723384.479999999748543,1671862.900000000139698,1756631.420000000158325,1925579.600000000093132,10645272.960000000894070
20131203,1806476.630000000353903,1680379.300000000279397,1712477.079999999841675,1669610.910000000149012,1741928.899999999906868,1918568.399999999906868,10529445.220000000670552
20131204,1808285.640000000130385,1687693.060000000288710,1726293.119999999646097,1658004.500000000000000,1726176.200000000186265,1950118.799999999813735,10556575.320000000298023
20131205,1815004.820000000298023,1675503.460000000195578,1764105.439999999944121,1653154.060000000288710,1708673.200000000186265,1903043.599999999860302,10519488.580000000074506
20131206,1846791.709999999962747,1704149.020000000251457,1804826.399999999906868,1676886.570000000065193,1728976.680000000167638,1921072.399999999906868,10682706.780000001192093
20131209,1837746.660000000149012,1770582.340000000316650,1812825.159999999683350,1658177.730000000214204,1734927.700000000186265,1938600.399999999906868,10752863.990000000223517
20131210,1849634.439999999944121,1813245.940000000176951,1804826.399999999906868,1653154.060000000288710,1730376.920000000158325,1908552.399999999906868,10759794.160000000149012
20131211,1822499.290000000037253,1781552.980000000214204,1775740.000000000000000,1650209.150000000139698,1713574.040000000270084,1883512.399999999906868,10627091.860000001266599
20131212,1799499.020000000018626,1769058.640000000130385,1779375.799999999813735,1630114.469999999972060,1691520.260000000009313,1863981.199999999720603,10533553.389999998733401
20131213,1799240.590000000316650,1801970.560000000288710,1766286.919999999692664,1636004.290000000037253,1693620.620000000111759,1837438.799999999813735,10534565.780000001192093
20131216,1822240.860000000335276,1805322.700000000186265,1777921.479999999748543,1653500.520000000251457,1683468.880000000121072,1846954.000000000000000,10589412.440000001341105
20131217,1826117.310000000055879,1831530.340000000316650,1793191.839999999850988,1634964.910000000149012,1676817.739999999990687,1828925.199999999953434,10591551.339999999850988
20131218,1865915.530000000260770,1888211.980000000214204,1828822.679999999701977,1661815.560000000288710,1711823.739999999990687,1831929.999999999767169,10788523.490000000223517
20131219,1885814.640000000130385,1905277.420000000158325,1828095.519999999785796,1648130.390000000130385,1707973.080000000074506,1815403.599999999860302,10790698.650000000372529
20131220,1871084.130000000353903,1900096.840000000316650,1822278.239999999757856,1671862.900000000139698,1726526.260000000009313,1842947.599999999627471,10834799.970000000670552
20131223,1893825.970000000204891,1904363.200000000186265,1841184.399999999906868,1668225.070000000065193,1727926.500000000000000,1833933.199999999720603,10869462.339999999850988
20131224,1908556.479999999981374,1927828.180000000167638,1849183.159999999683350,1672382.590000000316650,1729676.800000000046566,1856969.999999999767169,10944601.210000000894070
20131226,1928455.590000000316650,1946722.060000000288710,1868816.479999999748543,1677579.490000000223517,1740528.660000000149012,1874998.799999999813735,11037105.080000001937151
20131227,1921477.979999999981374,1935446.680000000167638,1861544.879999999888241,1678792.100000000093132,1742979.080000000074506,1867486.799999999813735,11007731.519999999552965
20131230,1970062.820000000298023,1935446.680000000167638,1879723.879999999888241,1680524.400000000139698,1748229.979999999981374,1867486.799999999813735,11081478.560000002384186
20131231,1974456.130000000353903,1926913.960000000195578,1887722.639999999897555,1680870.860000000102445,1752080.639999999897555,1873496.399999999674037,11095544.630000000819564
20140102,1971096.540000000037253,1903753.720000000204891,1875360.919999999692664,1670130.600000000093132,1732477.280000000260770,1860976.399999999674037,11013799.459999999031425
20140103,1966961.660000000149012,1895221.000000000000000,1874633.759999999776483,1672382.590000000316650,1740878.719999999972060,1848456.399999999674037,10998538.130000000819564
20140106,1959467.189999999944121,1891868.860000000102445,1851364.639999999897555,1660429.719999999972060,1741228.780000000260770,1809394.000000000000000,10913757.189999999478459
20140107,1972905.550000000279397,1870841.800000000279397,1860817.719999999739230,1669610.910000000149012,1754181.000000000000000,1823416.399999999674037,10951777.380000000819564
20140108,1943961.390000000130385,1872974.980000000214204,1849183.159999999683350,1652807.600000000093132,1742979.080000000074506,1790864.399999999674037,10852774.609999999403954
20140109,1935691.630000000353903,1848900.520000000251457,1840457.239999999757856,1653673.750000000000000,1733527.460000000195578,1779346.000000000000000,10791600.600000001490116
20140110,1948354.700000000186265,1853471.620000000111759,1856454.759999999776483,1659563.570000000065193,1746129.620000000111759,1804886.799999999813735,10868865.070000000298023
20140113,1893567.540000000037253,1818121.780000000027940,1854273.279999999795109,1642760.260000000242144,1859549.060000000055879,1751801.999999999767169,10820077.919999999925494
20140114,1924062.280000000260770,1851033.700000000186265,1927716.439999999944121,1649516.230000000214204,1855348.340000000083819,1791866.000000000000000,10999546.990000000223517
20140115,1919668.970000000204891,1868403.880000000353903,1939351.000000000000000,1653673.750000000000000,1838545.460000000195578,1840944.399999999674037,11060591.460000000894070
20140116,1917859.959999999962747,1869927.580000000074506,1929897.919999999692664,1664067.550000000279397,1837845.340000000083819,1847454.799999999813735,11067057.149999998509884
20140117,1911916.070000000298023,1869318.100000000325963,1879723.879999999888241,1644492.560000000288710,1818592.040000000270084,1821914.000000000000000,10945960.650000002235174
20140121,1917601.530000000260770,1993347.280000000027940,1860817.719999999739230,1647091.010000000242144,1814391.320000000065193,1811397.199999999953434,11044650.060000000521541
20140122,1946287.260000000242144,1982376.640000000130385,1840457.239999999757856,1643626.410000000149012,1797588.440000000176951,1799377.999999999767169,11009717.990000000223517
20140123,1932848.900000000372529,1940932.000000000000000,1827368.359999999636784,1651248.530000000027940,1806339.940000000176951,1805888.399999999906868,10964630.130000000819564
20140124,1879353.890000000130385,1883945.620000000111759,1804099.239999999757856,1635831.060000000288710,1819642.219999999972060,1843448.399999999906868,10866324.430000001564622
20140127,1867207.680000000167638,1870537.060000000288710,1797554.799999999813735,1629594.780000000027940,1838895.520000000018626,1804386.000000000000000,10808179.839999999850988
20140128,1883488.770000000018626,1868708.620000000111759,1810643.679999999701977,1631500.310000000288710,1850797.560000000055879,1816405.199999999953434,10861548.140000000596046
20140129,1843432.120000000111759,1941236.740000000223517,1794646.159999999683350,1613657.620000000344589,1827693.600000000093132,1835936.399999999674037,10856606.640000000596046
20140130,1892275.390000000130385,1966530.160000000149012,1799009.119999999646097,1624917.570000000065193,1873201.399999999906868,1845952.399999999906868,11001890.040000000968575
20140131,1876511.160000000149012,1975062.880000000353903,1784465.919999999692664,1631327.080000000074506,1854298.160000000149012,1895030.800000000046566,11016700.000000000000000
20140203,1808802.500000000000000,1939408.300000000279397,1741563.479999999748543,1611405.630000000121072,1823142.820000000065193,1826921.999999999767169,10751248.730000000447035
20140204,1836196.080000000074506,1951293.160000000149012,1732110.399999999906868,1612618.240000000223517,1873201.399999999906868,1820411.599999999860302,10825834.880000000819564
20140205,1854544.610000000335276,1946417.320000000065193,1710295.599999999860302,1621106.510000000242144,1873901.520000000018626,1793869.199999999953434,10800138.759999999776483
20140206,1952748.010000000242144,1978415.020000000251457,1744472.119999999646097,1644665.790000000037253,1882302.960000000195578,1811897.999999999767169,11014505.900000000372529
20140207,1955590.740000000223517,1979024.500000000000000,1760469.639999999897555,1661642.330000000074506,1917308.960000000195578,1830928.399999999906868,11104968.570000000298023
20140210,1991512.510000000242144,1989385.660000000149012,1766286.919999999692664,1643279.950000000186265,1921509.680000000167638,1842947.599999999627471,11154926.320000000298023
20140211,2010377.900000000372529,2032658.740000000223517,1779375.799999999813735,1651594.990000000223517,1949864.540000000270084,1861477.199999999953434,11285353.169999999925494
20140212,2013479.060000000055879,2012545.900000000372529,1785193.079999999841675,1643799.640000000130385,1925360.340000000083819,1876501.199999999720603,11256883.219999998807907
20140213,2013220.630000000353903,2009498.500000000000000,1796100.479999999748543,1653673.750000000000000,1928860.940000000176951,1883512.399999999906868,11284870.700000001117587
20140214,2047591.820000000298023,2027173.420000000158325,1800463.439999999944121,1659217.110000000102445,1940762.979999999981374,1884013.199999999720603,11359225.969999998807907
20140218,2056636.870000000111759,2030220.820000000298023,1800463.439999999944121,1663374.630000000121072,1949514.479999999981374,1873997.199999999953434,11374211.439999999478459
20140219,2038288.340000000316650,2015288.560000000055879,1781557.279999999795109,1655232.820000000065193,1926760.580000000074506,1878504.399999999674037,11295635.980000000447035
20140220,2046558.100000000093132,2045762.560000000055879,1799009.119999999646097,1658697.420000000158325,1953715.200000000186265,1890523.599999999860302,11394269.999999998137355
20140221,2070850.520000000018626,2038144.060000000055879,1775740.000000000000000,1670823.520000000251457,1961416.520000000018626,1902041.999999999767169,11419020.620000001043081
20140224,2086356.320000000298023,2037534.580000000074506,1791010.359999999636784,1671689.670000000158325,1966667.420000000158325,1887518.799999999813735,11440781.149999998509884
20140225,2072917.959999999962747,2049419.440000000176951,1790283.199999999953434,1673768.430000000167638,1957215.800000000046566,1880006.799999999813735,11423615.630000002682209
20140226,2069558.370000000111759,2075627.080000000074506,1803372.079999999841675,1661122.640000000130385,1969817.960000000195578,1876501.199999999720603,11456003.330000000074506
20140227,2079895.570000000298023,2105186.860000000335276,1800463.439999999944121,1647091.010000000242144,1983470.300000000046566,1896032.399999999906868,11512143.580000001937151
20140228,2088423.760000000242144,2114024.320000000298023,1800463.439999999944121,1648303.620000000344589,1995022.280000000260770,1918568.399999999906868,11564809.820000000298023
20140303,2053535.709999999962747,2102139.459999999962747,1781557.279999999795109,1633925.530000000027940,1975068.860000000102445,1892026.000000000000000,11438256.839999999850988
20140304,2111682.459999999962747,2146631.500000000000000,1789556.039999999804422,1645358.710000000195578,1997472.700000000186265,1923576.399999999674037,11614281.810000000521541
20140305,2136750.170000000391155,2166134.860000000335276,1781557.279999999795109,1646051.630000000121072,1991171.620000000111759,1908552.399999999906868,11630221.960000000894070
20140306,2153806.550000000279397,2160344.799999999813735,1791010.359999999636784,1655752.510000000242144,2004473.899999999906868,1910555.599999999860302,11675947.719999998807907
20140307,2124603.959999999962747,2148764.680000000633299,1791737.519999999785796,1654366.670000000158325,2011825.160000000149012,1898035.599999999860302,11629337.589999999850988
20140310,2118401.640000000130385,2162477.980000000447035,1806280.719999999739230,1649169.770000000251457,2006574.260000000009313,1894029.199999999953434,11636937.570000000298023
20140311,2094626.080000000074506,2137794.040000000037253,1798281.959999999729916,1711186.110000000102445,1984520.479999999981374,1904045.199999999953434,11630457.869999999180436
20140312,2103154.270000000018626,2127737.620000000111759,1800463.439999999944121,1709973.500000000000000,1988721.200000000186265,1916565.199999999953434,11646619.230000000447035
20140313,2065681.920000000391155,2115243.280000000260770,1786647.399999999906868,1686760.680000000167638,1953015.080000000074506,1897534.799999999813735,11504887.160000000149012
20140314,2069299.939999999944121,2111281.660000000149012,1781557.279999999795109,1690398.510000000242144,1949864.540000000270084,1888019.600000000093132,11490425.530000001192093
20140317,2103412.700000000186265,2126518.660000000149012,1796100.479999999748543,1690744.969999999972060,1969467.899999999906868,1905547.599999999627471,11591796.309999998658895
20140318,2118918.500000000000000,2155468.959999999962747,1804826.399999999906868,1685721.300000000279397,1972968.500000000000000,1980667.599999999627471,11718575.259999999776483
20140319,2080929.290000000037253,2153031.040000000037253,1819369.599999999860302,1664760.469999999972060,1960016.280000000260770,1966645.199999999953434,11644755.879999998956919
20140320,2088423.760000000242144,2180457.639999999664724,1849183.159999999683350,1673421.969999999972060,1946013.880000000121072,2019729.999999999767169,11757234.410000000149012
20140321,2076535.979999999981374,2178933.940000000409782,1830277.000000000000000,1653846.980000000214204,1913458.300000000046566,2011216.399999999674037,11664272.600000001490116
20140324,2054311.000000000000000,2176800.760000000707805,1826641.199999999953434,1666146.310000000288710,1882653.020000000018626,2028243.599999999860302,11634799.890000000596046
20140325,2055861.580000000074506,2197827.820000000298023,1851364.639999999897555,1661469.100000000093132,1932011.479999999981374,2020230.800000000046566,11718769.420000001788139
20140326,2031827.590000000316650,2145107.799999999813735,1845547.359999999636784,1660256.490000000223517,1961066.460000000195578,1992686.799999999813735,11636496.500000000000000
20140327,2028209.570000000298023,2082636.100000000325963,1840457.239999999757856,1665799.850000000093132,1950914.719999999972060,1971152.399999999906868,11539173.880000000819564
20140328,2041389.500000000000000,2091778.300000000279397,1862999.199999999953434,1684508.690000000176951,1959666.219999999972060,2018227.599999999627471,11658573.509999999776483
20140331,2069299.939999999944121,2108843.740000000223517,1876815.239999999757856,1698193.860000000102445,1987320.960000000195578,2052782.800000000046566,11793260.540000000968575
20140401,2108064.439999999944121,2157297.400000000372529,1889904.119999999646097,1695941.870000000344589,1973318.560000000055879,2074317.199999999953434,11898847.589999997988343
20140402,2110648.740000000223517,2165525.379999999888241,1882632.519999999785796,1690571.740000000223517,1976469.100000000093132,2070811.599999999860302,11896663.080000000074506
20140403,2111165.600000000093132,2150897.860000000335276,1920444.839999999850988,1691784.350000000093132,1967717.600000000093132,2053784.399999999674037,11895798.650000000372529
20140404,2078603.420000000391155,2113110.100000000558794,1902265.839999999850988,1695422.180000000167638,1964567.060000000055879,1996693.199999999720603,11750665.800000000745058
20140407,2045007.520000000018626,2080198.180000000400469,1926262.119999999646097,1680524.400000000139698,1932011.479999999981374,1993187.599999999627471,11657195.300000000745058
20140408,2056378.439999999944121,2086292.979999999981374,1956802.839999999850988,1699060.010000000242144,1926760.580000000074506,1994189.199999999953434,11719488.049999998882413
20140409,2079637.140000000130385,2125299.700000000186265,1961892.959999999729916,1703737.219999999972060,1998872.940000000176951,2026741.199999999720603,11896185.159999998286366
20140410,2003141.860000000335276,2070141.760000000474975,1921899.159999999683350,1722446.060000000288710,1955115.440000000176951,1971152.399999999906868,11643900.680000001564622
20140411,1990220.360000000335276,2037534.580000000074506,1903720.159999999683350,1720020.840000000316650,1957565.860000000102445,1963640.399999999906868,11572706.199999999254942
20140414,2005984.590000000316650,2061304.300000000279397,1931352.239999999757856,1734225.700000000186265,1945313.760000000009313,1962137.999999999767169,11640322.590000001713634
20140415,2007018.310000000055879,2064351.699999999953434,1946622.599999999860302,1746698.260000000242144,1962116.639999999897555,1990683.599999999860302,11717495.109999999403954
20140416,2040355.780000000260770,2104882.120000000111759,1958257.159999999683350,1746698.260000000242144,1969467.899999999906868,2023235.599999999860302,11842900.820000000298023
20140417,2067232.500000000000000,2114329.059999999590218,1966255.919999999692664,1736650.920000000158325,1976819.160000000149012,2003704.399999999674037,11864995.959999999031425
20140421,2044490.660000000149012,2115548.020000000484288,1959711.479999999748543,1726603.580000000074506,2004123.840000000083819,2000198.799999999813735,11850680.379999998956919
20140422,2053277.280000000260770,2124080.740000000223517,1951712.719999999739230,1720540.530000000027940,2022326.960000000195578,2002702.800000000046566,11874645.030000001192093
20140423,2055086.290000000037253,2142669.879999999888241,1945168.279999999795109,1717249.160000000149012,2012875.340000000083819,1987678.799999999813735,11860731.750000000000000
20140424,2056895.300000000279397,2136879.820000000298023,1945168.279999999795109,1729548.490000000223517,2013925.520000000018626,1996192.399999999906868,11878613.810000000521541
20140425,2021748.820000000298023,2104882.120000000111759,1909537.439999999944121,1744965.960000000195578,2003773.780000000260770,1998696.399999999674037,11783608.520000001415610
20140428,2010119.470000000204891,2052466.840000000083819,1914627.559999999590218,1737690.300000000279397,1984170.420000000158325,2046773.199999999720603,11745851.789999999105930
20140429,2032344.450000000186265,2113414.839999999850988,1925534.959999999729916,1758304.670000000158325,2055582.660000000149012,2028744.399999999674037,11913929.980000000447035
20140430,2050434.550000000279397,2165525.379999999888241,1940805.319999999832362,1756225.910000000149012,2049981.700000000186265,2023235.599999999860302,11986212.459999999031425
20140501,2056120.010000000242144,2114024.320000000298023,1923353.479999999748543,1748950.250000000000000,2087088.060000000055879,2003203.599999999860302,11932743.720000000670552
20140502,2075502.260000000242144,2113110.100000000558794,1920444.839999999850988,1757092.060000000288710,2038079.660000000149012,1987678.799999999813735,11891911.720000002533197
20140505,2099019.390000000130385,2142060.400000000372529,1902993.000000000000000,1752068.390000000130385,2052432.120000000111759,1974657.999999999767169,11923235.300000000745058
20140506,2094109.220000000204891,2131394.500000000000000,1905174.479999999748543,1748777.020000000251457,1999223.000000000000000,1956128.399999999906868,11834810.620000001043081
20140507,2074985.400000000372529,2149069.419999999925494,1917536.199999999953434,1766273.250000000000000,1954765.380000000121072,1974157.199999999953434,11836790.849999999627471
20140508,2108839.729999999981374,2135660.860000000335276,1915354.719999999739230,1766100.020000000251457,1919409.320000000065193,1985174.799999999813735,11830543.449999999254942
20140509,2117884.780000000260770,2138403.520000000484288,1912446.079999999841675,1783076.560000000288710,1932711.600000000093132,1980166.799999999813735,11864693.339999999850988
20140512,2130030.990000000223517,2175277.059999999590218,1917536.199999999953434,1781863.950000000186265,1935512.080000000074506,2001701.199999999720603,11941925.480000000447035
20140513,2121244.370000000111759,2172229.660000000149012,1923353.479999999748543,1793470.360000000102445,1951614.840000000083819,2024237.199999999953434,11986153.910000000149012
20140514,2091266.490000000223517,2178629.200000000186265,1914627.559999999590218,1784808.860000000102445,1973318.560000000055879,2015222.800000000046566,11957877.470000000670552
20140515,2071367.380000000353903,2109757.959999999962747,1891358.439999999944121,1775627.670000000158325,1956515.680000000167638,1983171.599999999860302,11787802.730000000447035
20140516,2077569.700000000186265,2125604.440000000409782,1877542.399999999906868,1786714.390000000130385,1955815.560000000055879,1994689.999999999767169,11817940.490000002086163
20140519,2094626.080000000074506,2141146.180000000633299,1893539.919999999692664,1768525.240000000223517,1972618.440000000176951,1990683.599999999860302,11861143.460000000894070
20140520,2095659.800000000279397,2158516.360000000335276,1893539.919999999692664,1758824.360000000102445,1960366.340000000083819,1987177.999999999767169,11854088.780000001192093
20140521,2124087.100000000093132,2167353.820000000298023,1905174.479999999748543,1776667.050000000279397,1980669.820000000065193,2020731.599999999860302,11974687.869999999180436
20140522,2128221.979999999981374,2160344.799999999813735,1901538.679999999701977,1774761.520000000251457,1977519.280000000260770,2008211.599999999860302,11950601.859999999403954
20140523,2153289.689999999944121,2199351.520000000484288,1911718.919999999692664,1766966.170000000158325,1988721.200000000186265,2009213.199999999720603,12029264.699999999254942
20140527,2164143.750000000000000,2210322.160000000149012,1942259.639999999897555,1773202.450000000186265,1984520.479999999981374,2012718.799999999813735,12087171.280000001192093
20140528,2160525.729999999981374,2246890.959999999962747,1954621.359999999636784,1754840.070000000065193,1974368.739999999990687,2003704.399999999674037,12094955.259999999776483
20140529,2171638.220000000204891,2277060.219999999739230,1960438.639999999897555,1755532.990000000223517,2019876.540000000270084,2020230.800000000046566,12204781.410000000149012
20140530,2171121.360000000335276,2261823.219999999739230,1986616.399999999906868,1757092.060000000288710,2025477.500000000000000,2050278.799999999813735,12252413.339999999850988
20140602,2177840.540000000037253,2278888.660000000149012,1982253.439999999944121,1767485.860000000102445,2027927.920000000158325,2042766.799999999813735,12277167.220000002533197
20140603,2167761.770000000018626,2283155.020000000484288,2011339.839999999850988,1757438.520000000251457,2027227.800000000046566,2017726.799999999813735,12264653.750000000000000
20140604,2177065.250000000000000,2277669.700000000186265,2006976.879999999888241,1774588.290000000037253,2027927.920000000158325,2019229.199999999953434,12283461.240000000223517
20140605,2191020.470000000204891,2283764.500000000000000,2011339.839999999850988,1774761.520000000251457,2033878.940000000176951,2063800.399999999906868,12358569.670000001788139
20140606,2186627.160000000149012,2305705.780000000260770,2048425.000000000000000,1766273.250000000000000,2025127.440000000176951,2077321.999999999767169,12409484.630000000819564
20140609,2209110.570000000298023,2299610.980000000447035,2029518.839999999850988,1756225.910000000149012,2028277.979999999981374,2066805.199999999953434,12389553.480000000447035
20140610,2190245.180000000167638,2306620.000000000000000,2053515.119999999646097,1747564.410000000149012,2047531.280000000260770,2058792.399999999906868,12404272.389999998733401
20140611,2178874.260000000242144,2294125.660000000149012,2030973.159999999683350,1739595.830000000074506,2058733.200000000186265,2046272.399999999906868,12348578.509999999776483
20140612,2139851.330000000074506,2256642.639999999664724,2033154.639999999897555,1728162.650000000139698,2040880.139999999897555,2032249.999999999767169,12230945.400000000372529
20140613,2139851.330000000074506,2274012.820000000298023,2172042.199999999720603,1740808.440000000176951,2038779.780000000260770,2064801.999999999767169,12430300.570000000298023
20140616,2152772.830000000074506,2269746.459999999962747,2182222.439999999944121,1751375.469999999972060,2032828.760000000009313,2078323.599999999860302,12467273.560000000521541
20140617,2149154.810000000055879,2256642.639999999664724,2177859.479999999515712,1754320.380000000121072,2032478.700000000186265,2087337.999999999767169,12457798.009999997913837
