代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13765232.529999999329448
真實報酬,3765232.529999999329448

夏普值報酬,0.367823253000000
夏普值風險,0.105276604388226
夏普值,3.493874590061687

預期報酬,17725.801347158932913
風險,227972.588888460770249
趨勢值,0.077754090671978
找到最佳解世代,1597
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),DIS[6](5),HD[9](4),INTC[11](11),NKE[19](3),UNH[23](2),
20140519,1707589.900000000139698,1702586.260000000009313,1603573.389999999897555,1626076.750000000000000,1701388.120000000344589,1714639.599999999860302,10055858.019999999552965
20140520,1707985.300000000046566,1703426.500000000000000,1634176.449999999720603,1626076.750000000000000,1673519.050000000279397,1702646.199999999720603,10047834.250000000000000
20140521,1712532.400000000139698,1726533.099999999860302,1636691.769999999785796,1636067.949999999953434,1694991.940000000176951,1726188.799999999813735,10133009.960000000894070
20140522,1715102.500000000000000,1729894.059999999823049,1651364.469999999972060,1632945.699999999953434,1710525.520000000018626,1739959.000000000000000,10179795.250000000000000
20140523,1734477.100000000093132,1750269.879999999888241,1659748.870000000111759,1641688.000000000000000,1732455.280000000260770,1749509.299999999813735,10268152.429999999701977
20140527,1767097.599999999860302,1759092.399999999906868,1670438.979999999748543,1667914.899999999906868,1750273.210000000428408,1757060.699999999953434,10371881.789999999105930
20140528,1762352.800000000046566,1756151.559999999823049,1670229.370000000111759,1678530.549999999813735,1742506.420000000158325,1745289.399999999906868,10355064.100000001490116
20140529,1794577.899999999906868,1765184.139999999897555,1674840.790000000037253,1683526.149999999906868,1744790.770000000018626,1762835.300000000046566,10425759.050000000745058
20140530,1787856.100000000093132,1764764.020000000018626,1681757.919999999925494,1706006.349999999860302,1757126.260000000242144,1768609.899999999674037,10466124.550000000745058
20140602,1775598.699999999953434,1770225.579999999841675,1694544.129999999888241,1702259.650000000139698,1752557.560000000288710,1765056.299999999813735,10460245.920000001788139
20140603,1800706.599999999860302,1762033.239999999757856,1690980.760000000009313,1727237.649999999906868,1726059.100000000325963,1774162.399999999674037,10481183.750000000000000
20140604,1821267.400000000139698,1769595.399999999906868,1688255.830000000074506,1723490.949999999953434,1739308.330000000307336,1788154.699999999953434,10530076.609999999403954
20140605,1828384.600000000093132,1780938.639999999897555,1684902.069999999832362,1727237.649999999906868,1733369.020000000018626,1772385.599999999860302,10527221.580000000074506
20140606,1823244.399999999906868,1777367.619999999878928,1690351.929999999934807,1759084.600000000093132,1741592.680000000167638,1775272.899999999906868,10566918.129999998956919
20140609,1852504.000000000000000,1795642.840000000083819,1689723.099999999860302,1742848.899999999906868,1751643.820000000298023,1771497.199999999953434,10603863.859999999403954
20140610,1863377.500000000000000,1780308.459999999962747,1692448.029999999795109,1763455.749999999767169,1743420.160000000149012,1772607.699999999953434,10615621.599999999627471
20140611,1855667.199999999953434,1771065.820000000065193,1672954.300000000046566,1744097.800000000046566,1716464.830000000307336,1780603.299999999813735,10540857.250000000000000
20140612,1824628.300000000046566,1739346.760000000009313,1644028.120000000111759,1745971.149999999906868,1708241.170000000158325,1764389.999999999767169,10426609.500000000000000
20140613,1804660.600000000093132,1739346.760000000009313,1636482.159999999683350,1865241.100000000093132,1704586.210000000428408,1758615.399999999906868,10508936.230000000447035
20140616,1822849.000000000000000,1749849.760000000009313,1653879.790000000037253,1873983.400000000139698,1703215.600000000325963,1732407.599999999860302,10536189.150000000372529
20140617,1820476.599999999860302,1746908.919999999925494,1677356.109999999869615,1870236.699999999953434,1715551.090000000083819,1736183.299999999813735,10566716.719999998807907
20140618,1822453.600000000093132,1755731.439999999944121,1691819.199999999720603,1868987.800000000046566,1740678.940000000176951,1759281.699999999720603,10638956.679999999701977
20140619,1816127.199999999953434,1759722.579999999841675,1686159.729999999748543,1878979.000000000000000,1727886.580000000307336,1788154.699999999953434,10657033.789999999105930
20140620,1797345.699999999953434,1739766.879999999888241,1680500.260000000009313,1885847.949999999953434,1715551.090000000083819,1808143.699999999720603,10627159.580000000074506
20140623,1795764.099999999860302,1738506.520000000018626,1690351.929999999934807,1887721.300000000046566,1723774.750000000000000,1809920.499999999767169,10646043.099999999627471
20140624,1784890.600000000093132,1736826.040000000037253,1685950.120000000111759,1904581.449999999953434,1712809.870000000344589,1815472.999999999767169,10640535.080000000074506
20140625,1786472.199999999953434,1762453.360000000102445,1688046.219999999972060,1928310.549999999813735,1747075.120000000344589,1828799.000000000000000,10741160.450000001117587
20140626,1797148.000000000000000,1774006.659999999916181,1692657.639999999897555,1922066.050000000046566,1755755.650000000139698,1827688.500000000000000,10769326.500000000000000
20140627,1818499.600000000093132,1791861.760000000009313,1700622.819999999832362,1931432.800000000046566,1774487.320000000298023,1821247.599999999860302,10838155.900000000372529
20140630,1837281.100000000093132,1801104.399999999906868,1697059.449999999720603,1929559.449999999953434,1771746.100000000325963,1815695.099999999860302,10852449.599999999627471
20140701,1848945.399999999906868,1816438.780000000027940,1715085.909999999683350,1934555.050000000046566,1781797.240000000223517,1818804.499999999767169,10915630.879999998956919
20140702,1848154.600000000093132,1815808.599999999860302,1718439.669999999925494,1934555.050000000046566,1777228.540000000270084,1832130.499999999767169,10926320.960000000894070
20140703,1859028.100000000093132,1824211.000000000000000,1719906.939999999944121,1944546.250000000000000,1792305.250000000000000,1851231.099999999627471,10991232.639999998733401
20140707,1897381.899999999906868,1818959.500000000000000,1706701.510000000009313,1937677.300000000046566,1796873.950000000186265,1826133.799999999813735,10983731.960000000894070
20140708,1885124.500000000000000,1803625.119999999878928,1692867.250000000000000,1922690.500000000000000,1774487.320000000298023,1819692.899999999906868,10898491.590000001713634
20140709,1885915.300000000046566,1832193.280000000027940,1692238.419999999925494,1928935.000000000000000,1797787.690000000176951,1837682.999999999767169,10974756.689999999478459
20140710,1878995.800000000046566,1824631.119999999878928,1664360.290000000037253,1952039.650000000139698,1770375.490000000223517,1823024.399999999906868,10913430.750000001862645
20140711,1882554.399999999906868,1825261.300000000046566,1668762.099999999860302,1951415.199999999953434,1765806.790000000270084,1840570.300000000046566,10934374.090000001713634
20140714,1906871.500000000000000,1822530.520000000018626,1665617.949999999720603,1966401.999999999767169,1780883.500000000000000,1871664.299999999813735,11013973.769999999552965
20140715,1884531.399999999906868,1809716.860000000102445,1674002.349999999860302,1980139.899999999906868,1782710.980000000447035,1863446.600000000093132,10994552.089999999850988
20140716,1873855.600000000093132,1792912.059999999823049,1669810.149999999906868,2163728.200000000186265,1757126.260000000242144,1860337.199999999953434,11117773.470000000670552
20140717,1840444.300000000046566,1786190.139999999897555,1667504.439999999944121,2104405.450000000186265,1748445.730000000447035,1890320.699999999953434,11037314.759999999776483
20140718,1866936.100000000093132,1802574.820000000065193,1678613.769999999785796,2104405.450000000186265,1770832.360000000102445,1899426.799999999813735,11122793.300000000745058
20140721,1857248.800000000046566,1801104.399999999906868,1670858.199999999720603,2126885.650000000372529,1754841.910000000149012,1889210.199999999953434,11100153.160000000149012
20140722,1872669.399999999906868,1810977.219999999739230,1688255.830000000074506,2172470.500000000000000,1759867.480000000447035,1911198.099999999860302,11215442.529999999329448
20140723,1921501.300000000046566,1807406.200000000186265,1698317.109999999869615,2154361.450000000186265,1767634.270000000018626,1908754.999999999767169,11257979.330000000074506
20140724,1918338.100000000093132,1823370.760000000009313,1702090.089999999850988,2138750.200000000186265,1795503.340000000083819,1902980.399999999906868,11281036.890000000596046
20140725,1930990.900000000139698,1811397.340000000083819,1698526.719999999972060,2138750.200000000186265,1775401.060000000288710,1880770.399999999906868,11235840.620000001043081
20140728,1957680.399999999906868,1830722.860000000102445,1699365.159999999683350,2137501.299999999813735,1790934.640000000363216,1904535.099999999860302,11320743.459999999031425
20140729,1945027.599999999860302,1810767.159999999916181,1697478.669999999925494,2135003.500000000000000,1784081.590000000083819,1871664.299999999813735,11244026.820000000298023
20140730,1940480.500000000000000,1831983.219999999739230,1713828.250000000000000,2144994.700000000186265,1818803.710000000428408,1842347.099999999860302,11292441.480000000447035
20140731,1890067.000000000000000,1804045.239999999757856,1694753.739999999757856,2116270.000000000000000,1762151.830000000307336,1800148.099999999860302,11067439.910000000149012
20140801,1900545.099999999860302,1793542.239999999757856,1671696.639999999897555,2106903.250000000000000,1753928.170000000158325,1809920.499999999767169,11036539.900000000372529
20140804,1889869.300000000046566,1832613.399999999906868,1677565.719999999972060,2126261.200000000186265,1762608.700000000186265,1827244.299999999813735,11116166.620000001043081
20140805,1880577.400000000139698,1822320.459999999962747,1677565.719999999972060,2049453.849999999860302,1757126.260000000242144,1798815.499999999767169,10985863.189999999478459
20140806,1877414.199999999953434,1818959.500000000000000,1687836.609999999869615,2051327.199999999953434,1762151.830000000307336,1810142.599999999860302,11007835.940000001341105
20140807,1867924.600000000093132,1796273.020000000018626,1686788.559999999823049,2040711.550000000046566,1743877.030000000260770,1760392.199999999953434,10895970.959999999031425
20140808,1873064.799999999813735,1824421.059999999823049,1727872.120000000111759,2035715.949999999953434,1760324.350000000325963,1779492.800000000046566,11000895.080000000074506
20140811,1897777.299999999813735,1838074.959999999962747,1737304.569999999832362,2061942.850000000093132,1760324.350000000325963,1773940.300000000046566,11069368.330000000074506
20140812,1897381.899999999906868,1831983.219999999739230,1738143.010000000009313,2068811.800000000046566,1753014.430000000167638,1781713.799999999813735,11071052.160000000149012
20140813,1922489.799999999813735,1840175.559999999823049,1742335.209999999962747,2129383.450000000186265,1764893.050000000279397,1810364.699999999953434,11209645.769999999552965
20140814,1927630.000000000000000,1861391.619999999878928,1757846.349999999860302,2119392.250000000000000,1765806.790000000270084,1817249.799999999813735,11249320.809999998658895
20140815,1937119.600000000093132,1875465.639999999897555,1754282.979999999748543,2133754.599999999627471,1762151.830000000307336,1809476.299999999813735,11272254.949999999254942
20140818,1960448.199999999953434,1889959.780000000027940,1752186.879999999888241,2148741.399999999441206,1794589.600000000325963,1828799.000000000000000,11374728.859999999403954
20140819,1987533.100000000093132,1892480.500000000000000,1849445.919999999925494,2144370.250000000000000,1793675.860000000102445,1853896.299999999813735,11521405.929999999701977
20140820,1988323.899999999906868,1887229.000000000000000,1902267.639999999897555,2154361.450000000186265,1802813.260000000242144,1853007.899999999906868,11588007.150000000372529
20140821,1988521.599999999860302,1898572.239999999757856,1910652.040000000037253,2194950.700000000186265,1803270.130000000121072,1860559.299999999813735,11656530.010000001639128
20140822,2003151.399999999906868,1900882.899999999906868,1908136.719999999972060,2181837.250000000000000,1811493.790000000270084,1860781.399999999906868,11666287.460000000894070
20140825,2007500.800000000046566,1898572.239999999757856,1911700.089999999850988,2173719.400000000372529,1827941.110000000102445,1870997.999999999767169,11690435.640000000596046
20140826,1994650.300000000046566,1891010.079999999841675,1920713.319999999832362,2173094.950000000186265,1815605.620000000344589,1890542.800000000046566,11685621.070000000298023
20140827,2019165.099999999860302,1898362.180000000167638,1925743.959999999962747,2172470.500000000000000,1821088.060000000288710,1918527.399999999674037,11755361.200000001117587
20140828,2021537.500000000000000,1895421.340000000083819,1939159.000000000000000,2163728.200000000186265,1800528.910000000149012,1917639.000000000000000,11738017.949999999254942
20140829,2026480.000000000000000,1888069.239999999757856,1959910.389999999897555,2180588.349999999627471,1794589.600000000325963,1925190.399999999906868,11774831.980000000447035
20140902,2042296.000000000000000,1907394.760000000009313,1910652.040000000037253,2158732.599999999627471,1811036.920000000158325,1918749.499999999767169,11748865.820000000298023
20140903,1956098.800000000046566,1910335.599999999860302,1865585.889999999897555,2158732.599999999627471,1800528.910000000149012,1927633.500000000000000,11618919.300000000745058
20140904,1939887.400000000139698,1893530.800000000046566,1885079.620000000111759,2179963.899999999441206,1825656.760000000242144,1933630.199999999953434,11657752.679999999701977
20140905,1956691.899999999906868,1910335.599999999860302,1920294.099999999860302,2185583.950000000186265,1874084.980000000447035,1948955.099999999860302,11795949.630000000819564
20140908,1944632.199999999953434,1902353.320000000065193,1903734.909999999683350,2206190.799999999813735,1882308.640000000363216,1952508.699999999720603,11791732.569999998435378
20140909,1937317.299999999813735,1882187.559999999823049,1864118.620000000111759,2179963.899999999441206,1869516.280000000260770,1966945.199999999953434,11700052.859999999403954
20140910,1996825.000000000000000,1880507.079999999841675,1870826.139999999897555,2186832.850000000558794,1884136.120000000344589,1937850.099999999860302,11756981.290000000968575
20140911,2005326.100000000093132,1889959.780000000027940,1870197.309999999823049,2186832.850000000558794,1869059.410000000149012,1934074.399999999906868,11755453.849999999627471
20140912,2009873.199999999953434,1883657.979999999981374,1862232.129999999888241,2161854.849999999627471,1869516.280000000260770,1914085.399999999906868,11701223.839999999850988
20140915,2009280.099999999860302,1892270.439999999944121,1873551.069999999832362,2156859.250000000000000,1864490.710000000428408,1910753.899999999906868,11707209.470000000670552
20140916,1994057.199999999953434,1896261.579999999841675,1892206.359999999869615,2181212.799999999813735,1854896.440000000176951,1935851.199999999720603,11754489.579999998211861
20140917,2008291.599999999860302,1897521.939999999944121,1912119.309999999823049,2184335.049999999813735,1862206.360000000102445,1932075.499999999767169,11796553.759999999776483
20140918,2012443.300000000046566,1897732.000000000000000,1930355.379999999888241,2196199.599999999627471,1872714.370000000344589,1946289.899999999674037,11855738.550000000745058
20140919,1996034.199999999953434,1900882.899999999906868,1935595.629999999888241,2174343.849999999627471,1869059.410000000149012,1950065.599999999860302,11825985.589999997988343
20140922,1998011.199999999953434,1875675.700000000186265,1926163.179999999934807,2167474.900000000372529,1843474.690000000176951,1949399.299999999813735,11760202.969999998807907
20140923,2029247.800000000046566,1855089.820000000065193,1917778.779999999795109,2149365.849999999627471,1830225.460000000428408,1923191.500000000000000,11704903.210000000894070
20140924,2011652.500000000000000,1879036.659999999916181,1949849.109999999869615,2169972.700000000186265,1846672.780000000260770,1959171.699999999720603,11816359.449999999254942
20140925,1934944.900000000139698,1850048.379999999888241,1926372.790000000037253,2131881.250000000000000,1822001.800000000279397,1914085.399999999906868,11579338.520000001415610
20140926,1991882.500000000000000,1864122.399999999906868,1946076.129999999888241,2139374.649999999441206,2044497.490000000223517,1923413.599999999627471,11909370.769999997690320
20140929,1979229.699999999953434,1866012.939999999944121,1946914.569999999832362,2179339.450000000186265,2035816.960000000428408,1921414.699999999953434,11928732.319999998435378
20140930,1991882.500000000000000,1870214.139999999897555,1923019.029999999795109,2174343.849999999627471,2037644.440000000176951,1915640.099999999860302,11912748.059999998658895
20141001,1960843.600000000093132,1837864.899999999906868,1907927.109999999869615,2122514.500000000000000,2003379.190000000176951,1885212.399999999674037,11717745.699999999254942
20141002,1975078.000000000000000,1823160.700000000186265,1933499.529999999795109,2093165.350000000093132,2039928.790000000270084,1885656.600000000093132,11750492.970000000670552
20141003,1969542.400000000139698,1858030.659999999916181,1960748.830000000074506,2125012.299999999813735,2062772.290000000270084,1910531.799999999813735,11886642.280000001192093
20141006,1969542.400000000139698,1860341.320000000065193,1954879.750000000000000,2130007.900000000372529,2038101.310000000288710,1889876.500000000000000,11842753.180000001564622
20141007,1952342.500000000000000,1829882.619999999878928,1938320.559999999823049,2090043.099999999860302,2012059.720000000204891,1869887.499999999767169,11692540.000000000000000
20141008,1992871.000000000000000,1850888.619999999878928,1972277.379999999888241,2139999.100000000558794,2029420.780000000260770,1923857.800000000046566,11909318.680000001564622
20141009,1997220.399999999906868,1800474.219999999739230,1950897.159999999683350,2099409.849999999627471,1992871.180000000167638,1886544.999999999767169,11727421.809999998658895
20141010,1991487.100000000093132,1812237.579999999841675,1939997.439999999944121,1992628.899999999906868,1991957.440000000176951,1896539.499999999767169,11624851.959999999031425
20141013,1973298.699999999953434,1762663.419999999925494,1899123.489999999757856,1965153.099999999860302,1950839.140000000363216,1864557.099999999860302,11415638.949999999254942
20141014,1952342.500000000000000,1767494.800000000046566,1888642.989999999757856,2006991.250000000000000,1943986.090000000083819,1839459.799999999813735,11398921.429999999701977
20141015,1928420.800000000046566,1724222.439999999944121,1841480.739999999757856,1953288.550000000046566,1945813.570000000298023,1824801.199999999720603,11218031.300000000745058
20141016,1903115.200000000186265,1717080.399999999906868,1863070.569999999832362,1926437.199999999953434,1988302.480000000447035,1896539.499999999767169,11294549.350000001490116
20141017,1930990.900000000139698,1760982.939999999944121,1891577.529999999795109,1959533.049999999813735,1991500.570000000298023,1958505.399999999906868,11493094.389999998733401
20141020,1972310.200000000186265,1796483.079999999841675,1925324.739999999757856,1972022.049999999813735,2030791.390000000363216,1966501.000000000000000,11663436.459999999031425
20141021,2025886.899999999906868,1838915.200000000186265,1974583.089999999850988,2036340.399999999906868,2070539.080000000307336,2020027.099999999860302,11966295.769999999552965
20141022,2036167.299999999813735,1829672.559999999823049,1956556.629999999888241,2015109.100000000093132,2052721.150000000139698,1993819.299999999813735,11884050.039999999105930
20141023,2072544.099999999860302,1848367.899999999906868,1987159.689999999944121,2041335.999999999767169,2064599.770000000018626,2013586.199999999720603,12027597.659999998286366
20141024,2080254.399999999906868,1861391.619999999878928,1991142.279999999795109,2071934.050000000046566,2076478.390000000363216,2035351.999999999767169,12116556.739999998360872
20141027,2078079.699999999953434,1858030.659999999916181,2001203.559999999823049,2073182.950000000186265,2093382.580000000307336,2046234.899999999674037,12150118.350000001490116
20141028,2110304.799999999813735,1889119.540000000037253,2024679.879999999888241,2106903.250000000000000,2112114.250000000000000,2057561.999999999767169,12300687.719999998807907
20141029,2122166.800000000279397,1880717.139999999897555,2021116.510000000009313,2118143.349999999627471,2100692.500000000000000,2064669.199999999720603,12307509.500000000000000
20141030,2115049.600000000093132,1895211.280000000027940,2044173.609999999869615,2034467.049999999813735,2124449.740000000223517,2085102.399999999674037,12298457.680000001564622
20141031,2135215.000000000000000,1919578.239999999757856,2044173.609999999869615,2123763.399999999441206,2123992.870000000111759,2110199.700000000186265,12456926.820000000298023
20141103,2162893.000000000000000,1926510.219999999739230,2014199.379999999888241,2142496.900000000372529,2134957.750000000000000,2106868.200000000186265,12487929.449999999254942
20141104,2147077.000000000000000,1897942.059999999823049,2011474.449999999720603,2156859.250000000000000,2146379.500000000000000,2109533.400000000372529,12469269.660000000149012
20141105,2152217.200000000186265,1911595.959999999962747,2007701.469999999972060,2108152.149999999441206,2162826.820000000298023,2127745.599999999627471,12470243.199999999254942
20141106,2149054.000000000000000,1932601.959999999962747,2039352.580000000074506,2111898.849999999627471,2160999.340000000316650,2136851.700000000186265,12530762.429999999701977
20141107,2155182.700000000186265,1890589.959999999962747,2046898.540000000037253,2096912.049999999813735,2142267.670000000391155,2079105.699999999953434,12410960.619999999180436
20141110,2151624.100000000093132,1885968.639999999897555,2057588.649999999906868,2076929.649999999906868,2169223.000000000000000,2104425.099999999627471,12445763.140000000596046
20141111,2168824.000000000000000,1890169.840000000083819,2057169.429999999934807,2080051.900000000139698,2167395.520000000018626,2125302.500000000000000,12488917.189999999478459
20141112,2199467.500000000000000,1888489.360000000102445,2064505.779999999795109,2084423.050000000046566,2188868.410000000149012,2125080.400000000372529,12550838.500000001862645
20141113,2230506.399999999906868,1900882.899999999906868,2075195.889999999897555,2103156.549999999813735,2195721.460000000428408,2129966.599999999627471,12635433.799999998882413
20141114,2257393.600000000093132,1907394.760000000009313,2059265.529999999795109,2120016.700000000186265,2181558.490000000223517,2112420.700000000186265,12638053.780000001192093
20141117,2253637.299999999813735,1899202.419999999925494,2054863.719999999972060,2138125.750000000000000,2194350.850000000093132,2142626.299999999813735,12682810.339999999850988
20141118,2282896.899999999906868,1896471.639999999897555,2011893.669999999925494,2167474.900000000372529,2203945.120000000111759,2180827.500000000000000,12743513.730000000447035
20141119,2267080.899999999906868,1886808.879999999888241,2026985.589999999850988,2144994.700000000186265,2214910.000000000000000,2151288.200000000186265,12692072.269999999552965
20141120,2299503.700000000186265,1867483.360000000102445,2045221.659999999683350,2244906.700000000186265,2222676.790000000037253,2151066.099999999627471,12830862.310000000521541
20141121,2302666.899999999906868,1868743.719999999739230,2060103.969999999972060,2222426.500000000000000,2225418.010000000242144,2147956.700000000186265,12827319.800000000745058
20141124,2345370.100000000093132,1902773.439999999944121,2062619.290000000037253,2263640.200000000186265,2237753.500000000000000,2152176.599999999627471,12964337.130000000819564
20141125,2325007.000000000000000,1925249.860000000102445,2033483.500000000000000,2268011.349999999627471,2222676.790000000037253,2174386.599999999627471,12948819.099999999627471
20141126,2352685.000000000000000,1930921.479999999981374,2047946.589999999850988,2304229.450000000186265,2234098.540000000037253,2179050.700000000186265,13048935.759999997913837
20141128,2351301.100000000093132,1943315.020000000018626,2083580.290000000037253,2326085.200000000186265,2268363.790000000037253,2190599.899999999441206,13163249.299999997019768
20141201,2274988.899999999906868,1947306.159999999916181,2072680.569999999832362,2321089.599999999627471,2231814.190000000409782,2200150.200000000186265,13048033.619999997317791
20141202,2266290.100000000093132,1963480.780000000027940,2057588.649999999906868,2347940.950000000186265,2239580.980000000447035,2217251.899999999441206,13092137.359999999403954
20141203,2291991.100000000093132,1955918.619999999878928,2066601.879999999888241,2337325.299999999813735,2250088.990000000223517,2238795.599999999627471,13140725.489999998360872
20141204,2283292.299999999813735,1958439.340000000083819,2074147.839999999850988,2339198.650000000372529,2262881.350000000093132,2213698.299999999813735,13131661.779999997466803
20141205,2273605.000000000000000,1969572.520000000018626,2088610.929999999934807,2352312.099999999627471,2269277.530000000260770,2228356.899999999441206,13181738.979999996721745
20141208,2222203.000000000000000,1970412.760000000009313,2105170.120000000111759,2322962.950000000186265,2232271.060000000055879,2219250.799999999813735,13072274.690000001341105
20141209,2256207.399999999906868,1952347.599999999860302,2088610.929999999934807,2303605.000000000000000,2216737.480000000447035,2243681.799999999813735,13061194.210000000894070
20141210,2213306.500000000000000,1924829.739999999757856,2073938.229999999748543,2274255.849999999627471,2230900.450000000186265,2200816.500000000000000,12918051.269999999552965
20141211,2206782.399999999906868,1927350.459999999962747,2101816.359999999403954,2291740.450000000186265,2214453.130000000353903,2215030.900000000372529,12957177.699999999254942
20141212,2169417.100000000093132,1921888.899999999906868,2091545.469999999972060,2262391.299999999813735,2197092.070000000298023,2193487.200000000186265,12835826.039999999105930
20141215,2139762.100000000093132,1909495.360000000102445,2097204.939999999944121,2243033.349999999627471,2180187.880000000353903,2182604.299999999813735,12752291.929999999701977
20141216,2110502.500000000000000,1894160.979999999981374,2034531.550000000046566,2220553.150000000372529,2129475.310000000055879,2128856.099999999627471,12518083.589999999850988
20141217,2163090.699999999720603,1919578.239999999757856,2073938.229999999748543,2263015.750000000000000,2158714.990000000223517,2201927.000000000000000,12780268.909999998286366
20141218,2227145.500000000000000,1945415.619999999878928,2110200.759999999776483,2311722.850000000558794,2217651.220000000204891,2270778.000000000000000,13082917.950000001117587
20141219,2209945.600000000093132,1951297.300000000046566,2136611.620000000111759,2271133.599999999627471,2166481.780000000260770,2276330.500000000000000,13011804.400000002235174
20141222,2232878.799999999813735,1978815.159999999916181,2169520.389999999664724,2323587.400000000372529,2191609.630000000353903,2288546.000000000000000,13184961.380000000819564
20141223,2224970.800000000279397,1989108.099999999860302,2174970.250000000000000,2337325.299999999813735,2192523.370000000111759,2284326.099999999627471,13203227.919999999925494
20141224,2214492.700000000186265,1983436.479999999981374,2170778.049999999813735,2337949.750000000000000,2199833.290000000037253,2280550.400000000372529,13187044.669999999925494
20141226,2253637.299999999813735,1996250.139999999897555,2174760.639999999664724,2344818.700000000186265,2212168.780000000260770,2277663.099999999627471,13259302.659999998286366
20141229,2252055.699999999720603,2006122.959999999962747,2191110.219999999739230,2321714.049999999813735,2222676.790000000037253,2272776.899999999441206,13266460.619999997317791
20141230,2224575.399999999906868,1989318.159999999916181,2185660.359999999403954,2295487.149999999441206,2213082.520000000018626,2284326.099999999627471,13192453.689999997615814
20141231,2182267.600000000093132,1978605.099999999860302,2200333.059999999590218,2266138.000000000000000,2196635.200000000186265,2245236.500000000000000,13069219.460000000894070
20150102,2161509.100000000093132,1969362.459999999962747,2168053.120000000111759,2270509.150000000372529,2171050.480000000447035,2238351.399999999441206,12978839.710000000894070
20150105,2100617.500000000000000,1940584.239999999757856,2122567.750000000000000,2244906.700000000186265,2135871.490000000223517,2201482.799999999813735,12746034.480000000447035
20150106,2100815.200000000186265,1930291.300000000046566,2116069.839999999850988,2203068.549999999813735,2123536.000000000000000,2197040.799999999813735,12670825.690000001341105
20150107,2130272.500000000000000,1950036.939999999944121,2188594.899999999441206,2249277.850000000558794,2167395.520000000018626,2219472.900000000372529,12905054.610000001266599
20150108,2212120.299999999813735,1970202.700000000186265,2237014.809999999590218,2291116.000000000000000,2217194.350000000093132,2325414.599999999627471,13253066.759999997913837
20150109,2214492.700000000186265,1979865.459999999962747,2198656.179999999701977,2295487.149999999441206,2192980.240000000223517,2303648.799999999813735,13185134.529999997466803
20150112,2159927.500000000000000,1984276.719999999739230,2188804.509999999776483,2285495.950000000186265,2189782.150000000372529,2277663.099999999627471,13085953.929999999701977
20150113,2179104.399999999906868,1999611.099999999860302,2174341.419999999925494,2279251.450000000186265,2170593.610000000335276,2289212.299999999813735,13092118.280000001192093
20150114,2170801.000000000000000,1979445.340000000083819,2151493.929999999701977,2269884.700000000186265,2140897.060000000055879,2294986.899999999441206,13007512.929999999701977
