代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14186926.010000001639128
真實報酬,4186926.010000001639128

夏普值報酬,0.409992601000000
夏普值風險,0.096879395370043
夏普值,4.231989675761090

預期報酬,15859.486809413863739
風險,111655.551470103804604
趨勢值,0.142039393479332
找到最佳解世代,3866
找到最佳解實驗#,2
找到最佳解次數,24

stock[index](rank)
投資組合檔數,6
BA[2](4),HD[9](12),JNJ[12](7),KO[14](6),MCD[15](2),V[25](1),
20170322,1959108.979999999748543,1897972.840000000083819,1890677.040000000037253,1750515.150000000139698,1804020.589999999850988,1908082.000000000000000,11210380.599999999627471
20170323,1962208.299999999813735,1906086.610000000102445,1885286.400000000139698,1741841.100000000093132,1802623.290000000037253,1915410.700000000186265,11213460.399999998509884
20170324,1946268.939999999711290,1902480.489999999990687,1878997.320000000065193,1739775.849999999860302,1807374.110000000102445,1922523.850000000093132,11197424.559999998658895
20170327,1949368.259999999776483,1891662.129999999888241,1883789.000000000000000,1748036.850000000093132,1809470.060000000055879,1917350.650000000139698,11199680.950000001117587
20170328,1963315.199999999953434,1895912.199999999720603,1881692.639999999897555,1752580.399999999906868,1808911.139999999897555,1921015.000000000232831,11223430.580000000074506
20170329,1966303.829999999841675,1893851.559999999823049,1870611.880000000121072,1752167.350000000093132,1800387.610000000102445,1922308.300000000279397,11205634.529999999329448
20170330,1970177.979999999748543,1892692.449999999720603,1866718.639999999897555,1759602.250000000000000,1807094.649999999906868,1918643.950000000186265,11214933.919999998062849
20170331,1957780.699999999953434,1891146.969999999972060,1865071.500000000000000,1752993.449999999953434,1811146.820000000298023,1915626.250000000232831,11193769.690000001341105
20170403,1955456.209999999962747,1888442.379999999888241,1867167.860000000102445,1751754.299999999813735,1811146.820000000298023,1926188.200000000186265,11200159.769999999552965
20170404,1978147.659999999683350,1884836.260000000009313,1867018.120000000111759,1762906.649999999906868,1806675.459999999962747,1913686.300000000279397,11213274.449999999254942
20170405,1960215.880000000121072,1888699.959999999729916,1868815.000000000000000,1758363.100000000093132,1822325.219999999972060,1919075.050000000279397,11217498.210000000894070
20170406,1963425.889999999897555,1896427.360000000102445,1872558.500000000000000,1762493.600000000093132,1818692.240000000223517,1920368.350000000325963,11233969.939999999478459
20170407,1979808.009999999776483,1895010.669999999925494,1870611.880000000121072,1760015.300000000046566,1816037.370000000111759,1912824.100000000093132,11234311.330000000074506
20170410,1965529.000000000000000,1908919.989999999990687,1861926.960000000195578,1763319.699999999953434,1816316.829999999841675,1915410.700000000186265,11231427.179999999701977
20170411,1976708.689999999711290,1908791.199999999720603,1860130.080000000074506,1762080.549999999813735,1833363.889999999897555,1915195.149999999906868,11256273.560000000521541
20170412,1948814.810000000055879,1887412.059999999823049,1877799.400000000139698,1773645.949999999953434,1834202.270000000018626,1911530.800000000279397,11233409.290000000968575
20170413,1944055.139999999897555,1879298.289999999804422,1871660.060000000055879,1767450.199999999953434,1827215.770000000018626,1915626.250000000232831,11205309.710000000894070
20170417,1981689.739999999990687,1897328.889999999897555,1882591.080000000074506,1779015.600000000093132,1835459.839999999850988,1935887.950000000186265,11311977.100000001490116
20170418,1968739.009999999776483,1903124.439999999711290,1824192.479999999981374,1795950.649999999906868,1848734.190000000176951,1934163.550000000279397,11274908.320000000298023
20170419,1974826.959999999962747,1896169.779999999795109,1817454.180000000167638,1785624.399999999906868,1853485.009999999776483,1934594.650000000139698,11262158.980000000447035
20170420,1984789.060000000055879,1915488.279999999795109,1824941.180000000167638,1779841.700000000186265,1862288.000000000232831,1964771.650000000372529,11332123.870000001043081
20170421,1996743.579999999841675,1931973.399999999906868,1823294.040000000037253,1779015.600000000093132,1864244.219999999972060,1964771.650000000372529,11360046.490000000223517
20170424,2015339.500000000000000,1956314.709999999729916,1840214.660000000149012,1787689.650000000139698,1875702.079999999841675,1979860.149999999906868,11455124.750000000000000
20170425,2031389.549999999813735,1970996.770000000018626,1848300.620000000111759,1780667.800000000046566,1980080.389999999897555,1985464.450000000186265,11596903.579999998211861
20170426,2011465.349999999860302,1986322.779999999795109,1849498.540000000037253,1786037.450000000186265,1968063.610000000102445,1979213.500000000000000,11580605.230000000447035
20170427,2028179.539999999804422,2010792.879999999888241,1852942.560000000055879,1776537.299999999813735,1968482.800000000046566,1974471.399999999906868,11611410.480000000447035
20170428,2046000.630000000121072,2010535.299999999813735,1848899.580000000074506,1782320.000000000000000,1955348.180000000167638,1966280.500000000000000,11609388.189999999478459
20170501,2018992.269999999785796,1986193.989999999990687,1846952.960000000195578,1785211.349999999860302,1972395.240000000223517,1967142.700000000186265,11576892.509999997913837
20170502,2030614.719999999739230,1995724.449999999720603,1852343.600000000093132,1792233.199999999953434,1973513.079999999841675,1994733.100000000325963,11639166.149999998509884
20170503,2030061.269999999785796,1996368.399999999906868,1846803.219999999972060,1789341.850000000093132,1992935.550000000046566,1992577.600000000093132,11648091.890000000596046
20170504,2026519.189999999711290,1994565.340000000083819,1856087.100000000093132,1803385.549999999813735,2004533.139999999897555,1996457.500000000232831,11681551.820000000298023
20170505,2047993.049999999813735,2005770.069999999832362,1849498.540000000037253,1804624.699999999953434,2011659.370000000111759,1985033.350000000325963,11704583.080000000074506
20170508,2059172.739999999990687,2020709.709999999729916,1845605.300000000046566,1812885.699999999953434,2015571.810000000055879,1981369.000000000232831,11735318.259999999776483
20170509,2069024.149999999906868,2030884.119999999878928,1845006.339999999850988,1797189.799999999813735,2017248.570000000298023,1983093.400000000139698,11742450.380000000819564
20170510,2027736.780000000027940,2036679.669999999925494,1839016.739999999990687,1799668.100000000093132,2019484.250000000232831,1988482.150000000139698,11711071.690000001341105
20170511,2036149.219999999739230,2011823.199999999720603,1844856.600000000093132,1803798.600000000093132,2015152.620000000111759,1985248.899999999906868,11697033.139999998733401
20170512,2028511.609999999869615,2021096.079999999841675,1851445.160000000149012,1800494.200000000186265,2031221.570000000298023,1998828.550000000279397,11731601.170000001788139
20170515,2018992.269999999785796,2026376.469999999972060,1901608.060000000055879,1806276.899999999906868,2044076.729999999981374,2009606.050000000279397,11806940.480000000447035
20170516,2022423.659999999683350,2038353.939999999711290,1913287.780000000027940,1811233.500000000000000,2058189.459999999962747,2007881.650000000372529,11851373.990000000223517
20170517,1979033.179999999934807,2010406.510000000009313,1896816.380000000121072,1814537.899999999906868,2045893.219999999972060,1977920.200000000186265,11724611.390000000596046
20170518,1963757.959999999962747,2005383.699999999720603,1901308.580000000074506,1809168.249999999767169,2054277.020000000018626,1976842.449999999953434,11710741.959999999031425
20170519,2000949.799999999813735,2013111.100000000093132,1901757.800000000046566,1813298.750000000000000,2070206.240000000223517,1993439.800000000279397,11792767.490000002086163
20170522,2033160.589999999618158,2008732.239999999990687,1905651.040000000037253,1824864.149999999906868,2070765.159999999916181,2011330.450000000186265,11854507.629999998956919
20170523,2031168.169999999925494,1994178.969999999972060,1909544.280000000027940,1833538.199999999953434,2065595.149999999906868,2023185.700000000186265,11857214.469999998807907
20170524,2050649.609999999869615,1996368.399999999906868,1909394.540000000037253,1859973.400000000139698,2089069.790000000037253,2043662.950000000186265,11949122.690000001341105
20170525,2070795.189999999711290,2015171.739999999990687,1909694.020000000018626,1875669.299999999813735,2092982.229999999981374,2048620.600000000325963,12012937.079999998211861
20170526,2065482.069999999832362,1995080.500000000000000,1900559.880000000121072,1874843.199999999953434,2094100.070000000298023,2040645.250000000232831,11970714.970000000670552
20170530,2068692.079999999841675,1981943.919999999925494,1903404.939999999944121,1876495.399999999906868,2095078.180000000167638,2041723.000000000000000,11967341.519999999552965
20170531,2076993.829999999841675,1977178.689999999711290,1920475.300000000046566,1878147.599999999860302,2108492.259999999776483,2052716.050000000279397,12014007.730000000447035
20170601,2073562.439999999711290,1998300.250000000000000,1928411.520000000018626,1891365.199999999953434,2129451.759999999776483,2056380.400000000372529,12077475.569999998435378
20170602,2105773.229999999981374,2000876.049999999813735,1947877.720000000204891,1895495.699999999953434,2148315.310000000055879,2072546.650000000372529,12170888.660000000149012
20170605,2091604.909999999683350,1993663.809999999823049,1952070.440000000176951,1899626.200000000186265,2135040.959999999962747,2081168.650000000139698,12153178.970000000670552
20170606,2067253.109999999869615,1986065.199999999720603,1959108.220000000204891,1899213.149999999906868,2113243.080000000074506,2064786.850000000325963,12089673.609999999403954
20170607,2082196.259999999776483,1995853.239999999990687,1957910.300000000046566,1879799.799999999813735,2123163.910000000149012,2071253.350000000325963,12110180.859999999403954
20170608,2102452.529999999795109,1977049.899999999906868,1954915.500000000232831,1864103.900000000139698,2116037.680000000167638,2071253.350000000325963,12085816.859999999403954
20170609,2103559.429999999701977,1970095.239999999990687,1969590.020000000018626,1871951.850000000093132,2116736.330000000074506,2038274.200000000186265,12070211.070000000298023
20170612,2103227.359999999869615,1960049.619999999878928,1973932.479999999981374,1872364.899999999906868,2074677.600000000093132,2015425.900000000139698,11999681.859999999403954
20170613,2115292.569999999832362,1983360.610000000102445,1976927.280000000260770,1859973.400000000139698,2093541.149999999906868,2049482.800000000046566,12078581.810000000521541
20170614,2129571.579999999608845,2019035.439999999711290,1988157.780000000260770,1871125.749999999767169,2105557.930000000167638,2054656.000000000000000,12168108.480000000447035
20170615,2163553.409999999683350,2019164.229999999981374,1992200.760000000009313,1869060.500000000000000,2112404.699999999720603,2029867.750000000232831,12186255.349999999627471
20170616,2174511.719999999739230,2017489.959999999729916,2011816.699999999953434,1871538.800000000046566,2123862.560000000055879,2029867.750000000232831,12229091.490000000223517
20170619,2203733.879999999888241,2045437.389999999897555,2007623.979999999981374,1874430.150000000139698,2139931.509999999776483,2043231.850000000325963,12314392.759999999776483
20170620,2195432.129999999888241,2030755.329999999841675,2009870.080000000074506,1883930.300000000046566,2152926.399999999906868,2034394.300000000046566,12307312.540000000968575
20170621,2204730.089999999850988,2016846.010000000009313,2020202.139999999897555,1867821.349999999860302,2148175.580000000074506,2037843.100000000325963,12295622.269999997690320
20170622,2207718.719999999739230,2002550.319999999832362,2037272.500000000232831,1861625.600000000093132,2163126.690000000409782,2025125.650000000139698,12297423.479999998584390
20170623,2238601.229999999981374,1948844.889999999897555,2042962.620000000111759,1869060.500000000000000,2160891.009999999776483,2060260.300000000046566,12320624.550000000745058
20170626,2213695.979999999981374,1950261.579999999841675,2041614.960000000195578,1876495.399999999906868,2151389.370000000111759,2052500.500000000000000,12285961.789999999105930
20170627,2201630.769999999552965,1960822.360000000102445,2021699.539999999804422,1860799.499999999767169,2148035.850000000093132,2045602.900000000372529,12238594.919999999925494
20170628,2209711.140000000130385,1973572.569999999832362,2003880.479999999981374,1871951.850000000093132,2156140.190000000409782,2074271.050000000279397,12289531.280000001192093
20170629,2185802.100000000093132,1959792.039999999804422,1986211.159999999916181,1851712.399999999906868,2139791.779999999795109,2035256.500000000232831,12158569.979999998584390
20170630,2189012.109999999869615,1975762.000000000000000,1980970.260000000009313,1852538.500000000000000,2140210.970000000204891,2021461.300000000279397,12159959.140000000596046
20170703,2198310.069999999832362,1983618.189999999711290,1990104.400000000139698,1848821.049999999813735,2130988.790000000037253,2012192.649999999906868,12164039.150000000372529
20170705,2233952.250000000000000,1966617.909999999916181,2001185.159999999916181,1851299.350000000093132,2138953.399999999906868,2026418.950000000186265,12218431.019999999552965
20170706,2230299.479999999981374,1958375.350000000093132,1984414.280000000260770,1833951.250000000000000,2139232.859999999869615,2010037.150000000139698,12156314.370000001043081
20170707,2240150.890000000130385,1960693.569999999832362,1984713.760000000009313,1833538.199999999953434,2183667.000000000000000,2024479.000000000232831,12227246.419999999925494
20170710,2257750.600000000093132,1947170.619999999878928,1969889.500000000232831,1833125.150000000139698,2173187.250000000000000,2049698.350000000325963,12230825.470000000670552
20170711,2283319.989999999757856,1939700.799999999813735,1965097.819999999832362,1831059.899999999906868,2164663.720000000204891,2056595.949999999953434,12240442.179999999701977
20170712,2285201.719999999739230,1965330.010000000009313,1980071.819999999832362,1838494.799999999813735,2187998.630000000353903,2073193.300000000279397,12330294.279999999329448
20170713,2282877.229999999981374,1974345.309999999823049,1974531.440000000176951,1835190.399999999906868,2166480.209999999962747,2068020.100000000093132,12301448.689999999478459
20170714,2308114.549999999813735,1969064.919999999925494,1985612.199999999953434,1845516.649999999906868,2169833.729999999981374,2089359.550000000279397,12367505.600000001490116
20170717,2313538.359999999869615,1982072.709999999729916,1978873.900000000139698,1847581.899999999906868,2169554.270000000018626,2087204.050000000046566,12378829.189999999478459
20170718,2305125.919999999925494,1959920.829999999841675,2013463.840000000083819,1845103.600000000093132,2151389.370000000111759,2103370.299999999813735,12378377.859999999403954
20170719,2334348.079999999608845,1974474.100000000093132,2024694.340000000083819,1851712.399999999906868,2150411.259999999776483,2117812.150000000372529,12453456.330000000074506
20170720,2327706.679999999701977,1893722.770000000018626,2045058.979999999981374,1851299.350000000093132,2154882.620000000111759,2114794.450000000186265,12387468.849999997764826
20170721,2348295.019999999552965,1888828.750000000000000,2026191.739999999990687,1859973.400000000139698,2150830.449999999720603,2146911.400000000372529,12421034.759999999776483
20170724,2348737.779999999795109,1862169.219999999972060,1991751.539999999804422,1852125.450000000186265,2121906.339999999850988,2163508.750000000000000,12340203.080000000074506
20170725,2351837.100000000093132,1892950.029999999795109,1974830.919999999925494,1868647.450000000186265,2222791.399999999906868,2155317.849999999627471,12466378.750000000000000
20170726,2584175.409999999683350,1889343.909999999916181,1960905.099999999860302,1889299.950000000186265,2187020.520000000018626,2173855.150000000372529,12684604.039999999105930
20170727,2667746.359999999869615,1902738.069999999832362,1959108.220000000204891,1904995.849999999860302,2193168.639999999664724,2146264.750000000000000,12774025.890000000596046
20170728,2670734.989999999757856,1907245.719999999972060,1974381.699999999953434,1900452.299999999813735,2177798.339999999850988,2137211.650000000372529,12767828.700000001117587
20170731,2683907.100000000093132,1926821.799999999813735,1987409.080000000074506,1893430.450000000186265,2167877.509999999776483,2146049.200000000186265,12805499.140000000596046
20170801,2650478.719999999739230,1930041.549999999813735,1984264.539999999804422,1887647.750000000232831,2152507.209999999962747,2174286.250000000000000,12779230.019999999552965
20170802,2633985.909999999683350,1938412.899999999906868,1979023.639999999897555,1883104.200000000186265,2188138.359999999869615,2183123.799999999813735,12805792.809999998658895
20170803,2637306.609999999869615,1942147.809999999823049,1996842.699999999953434,1886408.600000000093132,2162008.850000000093132,2168250.850000000558794,12792969.420000001788139
20170804,2631329.350000000093132,1967390.649999999906868,1994297.120000000111759,1879386.750000000000000,2149433.149999999906868,2174717.350000000558794,12796558.370000001043081
20170807,2659223.229999999981374,1975118.049999999813735,1989505.440000000176951,1885169.449999999953434,2165502.100000000093132,2187650.349999999627471,12862172.619999999180436
20170808,2651142.859999999869615,1975118.049999999813735,1980670.780000000260770,1883517.250000000000000,2164803.449999999720603,2183123.799999999813735,12838380.190000001341105
20170809,2593694.750000000000000,1999716.939999999711290,1995045.819999999832362,1883104.200000000186265,2164803.449999999720603,2176441.750000000000000,12812810.910000000149012
20170810,2577866.079999999608845,1981943.919999999925494,1992949.460000000195578,1889299.950000000186265,2188557.550000000279397,2144540.349999999627471,12775161.310000000521541
20170811,2600004.079999999608845,1994822.919999999925494,1993099.199999999953434,1883104.200000000186265,2198059.190000000409782,2157473.350000000558794,12826566.940000001341105
20170814,2625130.709999999962747,1986837.939999999711290,1998789.319999999832362,1891778.249999999767169,2197500.270000000018626,2195841.250000000000000,12895881.739999998360872
20170815,2647490.089999999850988,1934162.829999999841675,1997291.919999999925494,1907887.199999999953434,2202530.550000000279397,2212223.049999999813735,12901589.640000000596046
20170816,2630001.069999999832362,1960951.149999999906868,2009121.379999999888241,1908300.250000000232831,2220415.990000000223517,2227096.000000000000000,12955889.839999999850988
20170817,2607863.069999999832362,1927723.329999999841675,1992200.760000000009313,1894256.550000000046566,2206303.259999999776483,2202092.200000000186265,12830443.169999998062849
