代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14629208.540000002831221
真實報酬,4629208.540000002831221

夏普值報酬,0.454220854000000
夏普值風險,0.107139640241613
夏普值,4.239521926484687

預期報酬,18390.974765518170898
風險,221599.329144337389152
趨勢值,0.082992014626269
找到最佳解世代,2266
找到最佳解實驗#,1
找到最佳解次數,31

stock[index](rank)
投資組合檔數,3
DIS[6](3),NKE[19](2),UNH[23](1),
20141001,3395821.929999999701977,3789641.160000000149012,3490845.580000000074506,10676309.669999999925494
20141002,3368652.830000000074506,3858778.759999999776483,3491668.100000000558794,10719100.690000001341105
20141003,3433082.410000000149012,3901989.759999999776483,3537729.220000000204891,10872802.390000000596046
20141006,3437351.840000000316650,3855321.879999999888241,3499482.040000000502914,10792156.760000001639128
20141007,3381072.990000000223517,3806061.339999999850988,3462468.640000000130385,10649603.970000000670552
20141008,3419885.990000000223517,3838901.700000000186265,3562404.820000000298023,10821193.510000001639128
20141009,3326734.790000000037253,3769764.099999999627471,3493313.140000000130385,10589813.029999999329448
20141010,3348470.069999999832362,3768035.660000000149012,3511819.840000000316650,10628326.570000000298023
20141013,3256871.390000000130385,3690255.860000000335276,3452598.400000000372529,10399726.650000000372529
20141014,3265798.379999999888241,3677292.559999999590218,3406126.020000000018626,10349217.959999999031425
20141015,3185843.600000000093132,3680749.440000000409782,3378982.859999999869615,10245576.900000000372529
20141016,3172647.179999999701977,3761121.900000000372529,3511819.840000000316650,10445589.919999999925494
20141017,3253766.350000000093132,3767171.440000000409782,3626561.380000000353903,10647500.170000001788139
20141020,3319360.319999999832362,3841494.360000000335276,3641366.740000000223517,10802222.419999999925494
20141021,3397762.580000000074506,3916681.500000000000000,3740480.400000000372529,11054925.480000000447035
20141022,3380684.859999999869615,3882976.919999999925494,3691951.720000000204891,10955614.500000000000000
20141023,3415228.429999999701977,3905446.639999999664724,3728553.859999999869615,11049229.929999999701977
20141024,3439292.490000000223517,3927916.360000000335276,3768857.340000000316650,11136067.190000001341105
20141027,3433082.410000000149012,3959892.500000000000000,3789009.080000000074506,11181984.990000000223517
20141028,3490525.650000000372529,3995325.519999999552965,3809983.340000000316650,11295835.509999999776483
20141029,3475000.450000000186265,3973720.019999999552965,3823143.660000000149012,11271865.129999998956919
20141030,3501781.419999999925494,4018659.459999999962747,3860979.580000000074506,11381421.460000000894070
20141031,3546804.500000000000000,4017795.240000000223517,3907451.960000000428408,11472052.700000001117587
20141103,3559612.790000000037253,4038536.519999999552965,3901283.060000000055879,11499433.369999999180436
20141104,3506827.109999999869615,4060142.019999999552965,3906218.180000000167638,11473188.309999998658895
20141105,3532055.560000000055879,4091253.940000000409782,3939941.500000000000000,11563252.000000000000000
20141106,3570868.560000000055879,4087797.059999999590218,3956803.160000000149012,11615469.779999999329448
20141107,3493242.560000000055879,4052364.040000000037253,3849875.560000000055879,11395483.160000000149012
20141110,3484703.700000000186265,4103353.019999999552965,3896759.200000000186265,11484816.919999999925494
20141111,3492466.300000000279397,4099896.139999999664724,3935417.640000000130385,11527781.080000000074506
20141112,3489361.260000000242144,4140514.479999999515712,3935006.380000000353903,11564883.120000001043081
20141113,3512260.929999999701977,4153477.780000000260770,3944054.100000000558794,11609793.810000000521541
20141114,3524292.959999999962747,4126686.959999999962747,3911564.560000000055879,11562545.480000000447035
20141117,3509155.890000000130385,4150885.120000000111759,3967495.919999999925494,11627537.929999999701977
20141118,3504110.200000000186265,4169033.740000000223517,4038232.640000000130385,11711377.580000000074506
20141119,3486256.219999999739230,4189775.019999999552965,3983535.060000000055879,11659567.299999998882413
20141120,3450548.260000000242144,4204466.759999999776483,3983123.799999999813735,11638139.820000000298023
20141121,3452877.040000000037253,4209652.080000000074506,3977366.160000000149012,11639896.280000001192093
20141124,3515754.100000000093132,4232986.019999999552965,3985180.100000000558794,11733921.219999998807907
20141125,3557284.010000000242144,4204466.759999999776483,4026306.100000000558794,11788057.870000001043081
20141126,3567763.520000000018626,4226072.259999999776483,4034942.560000000055879,11828779.339999999850988
20141128,3590663.190000000409782,4290888.759999999776483,4056328.080000000074506,11937881.030000001192093
20141201,3598037.660000000149012,4221751.160000000149012,4074012.260000000242144,11893802.080000000074506
20141202,3627923.669999999925494,4236442.900000000372529,4105679.280000000260770,11970046.850000001490116
20141203,3613950.990000000223517,4256319.959999999962747,4145571.500000000000000,12015843.449999999254942
20141204,3618608.550000000279397,4280518.120000000111759,4099099.120000000111759,11998226.789999999105930
20141205,3639179.440000000409782,4292617.200000000186265,4126242.280000000260770,12058039.920000001788139
20141208,3640731.959999999962747,4222615.379999999888241,4109380.620000000111759,11972728.960000000894070
20141209,3607352.779999999795109,4193231.900000000372529,4154619.220000000204891,11955204.900000000372529
20141210,3556507.750000000000000,4220022.719999999739230,4075246.040000000502914,11851777.509999999776483
20141211,3561165.310000000055879,4188910.799999999813735,4101566.680000000167638,11851643.789999999105930
20141212,3551073.929999999701977,4156070.440000000409782,4061674.460000000428408,11768819.830000000074506
20141215,3528174.260000000242144,4124094.299999999813735,4041522.720000000204891,11693792.280000001192093
20141216,3499840.770000000018626,4028165.879999999888241,3941997.799999999813735,11470005.449999999254942
20141217,3546804.500000000000000,4083475.959999999962747,4077302.340000000316650,11707583.800000000745058
20141218,3594544.490000000223517,4194960.339999999850988,4204792.940000000409782,11994298.769999999552965
20141219,3605412.129999999888241,4098167.700000000186265,4215074.440000000409782,11918655.269999999552965
20141222,3656257.160000000149012,4145699.799999999813735,4237693.740000000223517,12039651.699999999254942
20141223,3675275.529999999795109,4147428.240000000223517,4229879.799999999813735,12052584.570000000298023
20141224,3664796.020000000018626,4161255.759999999776483,4222888.380000000819564,12048941.160000000149012
20141226,3688471.950000000186265,4184589.700000000186265,4217542.000000000000000,12090604.650000000372529
20141229,3706714.060000000055879,4204466.759999999776483,4208494.280000000260770,12119676.100000001490116
20141230,3675663.660000000149012,4186318.139999999664724,4229879.799999999813735,12091862.599999999627471
20141231,3655869.029999999795109,4155206.219999999739230,4157498.040000000502914,11968574.290000000968575
20150102,3638791.310000000055879,4106809.900000000372529,4144748.980000000447035,11890351.190000001341105
20150105,3585617.500000000000000,4040264.959999999962747,4076479.820000000298023,11702363.280000001192093
20150106,3566599.129999999888241,4016931.019999999552965,4068254.620000000111759,11651785.769999999552965
20150107,3603083.350000000093132,4099896.139999999664724,4109791.880000000353903,11812772.370000001043081
20150108,3640343.830000000074506,4194096.120000000111759,4305962.900000000372529,12140403.850000001490116
20150109,3658197.810000000055879,4148292.459999999962747,4265659.419999999925494,12072150.689999999478459
20150112,3666348.540000000037253,4142242.919999999925494,4217542.000000000000000,12026134.460000000894070
20150113,3694682.029999999795109,4105945.679999999701977,4238927.519999999552965,12039556.229999998584390
20150114,3657421.550000000279397,4049771.379999999888241,4249620.280000000260770,11956814.210000000894070
20150115,3662079.109999999869615,4010881.479999999515712,4296092.660000000149012,11969054.250000000000000
20150116,3694293.900000000372529,4018659.459999999962747,4349967.719999999739230,12062922.080000000074506
20150120,3677216.179999999701977,4045450.280000000260770,4343798.820000000298023,12066466.280000001192093
20150121,3655092.770000000018626,4041129.179999999701977,4495965.019999999552965,12192187.969999998807907
20150122,3693129.510000000242144,4142242.919999999925494,4682265.799999999813735,12517639.230000000447035
20150123,3676439.919999999925494,4155206.219999999739230,4606182.700000000186265,12437829.839999999850988
20150126,3686143.169999999925494,4163848.419999999925494,4590143.560000000521541,12440136.150000000372529
20150127,3647330.169999999925494,4083475.959999999962747,4524341.959999999962747,12255149.089999999850988
20150128,3596873.270000000018626,4032486.979999999515712,4460596.660000000149012,12089957.910000000149012
20150129,3618220.419999999925494,4099896.139999999664724,4498843.839999999850988,12216961.399999998509884
20150130,3530503.040000000037253,3986683.320000000298023,4369708.200000000186265,11886895.560000000521541
20150202,3568151.650000000372529,3971991.580000000074506,4412479.240000000223517,11952623.470000000670552
20150203,3652375.859999999869615,4034215.419999999925494,4433864.760000000707805,12120457.039999999105930
20150204,3931053.200000000186265,3998782.400000000372529,4438388.620000000111759,12368225.220000000670552
20150205,3983838.879999999888241,4033351.200000000186265,4475402.019999999552965,12492593.099999999627471
20150206,3959774.819999999832362,3966806.259999999776483,4425228.299999999813735,12351810.379999998956919
20150209,3948519.050000000279397,3940015.440000000409782,4379578.440000000409782,12268113.929999999701977
20150210,3955893.520000000018626,4008288.820000000298023,4481570.919999999925494,12445754.259999999776483
20150211,3953952.870000000111759,3946064.979999999515712,4517761.799999999813735,12417780.649999998509884
20150212,4020323.100000000093132,3975448.459999999962747,4517350.540000000037253,12513123.100000001490116
20150213,4043222.770000000018626,3977176.900000000372529,4500900.139999999664724,12521300.809999998658895
20150217,4041282.120000000111759,3969398.919999999925494,4514060.459999999962747,12524742.500000000000000
20150218,4031190.740000000223517,4045450.280000000260770,4514471.719999999739230,12591113.740000000223517
20150219,4032355.129999999888241,4048907.160000000149012,4525164.480000000447035,12606427.769999999552965
20150220,4057971.709999999962747,4102488.799999999813735,4631680.820000000298023,12792142.330000000074506
20150223,4075049.429999999701977,4105945.679999999701977,4787137.100000000558794,12968133.210000000894070
20150224,4062629.270000000018626,4123230.080000000074506,4747244.880000000819564,12933105.230000000447035
20150225,4097560.969999999739230,4183725.479999999515712,4690491.000000000000000,12971778.449999999254942
20150226,4058359.840000000316650,4191503.459999999962747,4674451.860000000335276,12924316.160000000149012
20150227,4039729.600000000093132,4196688.780000000260770,4673218.080000000074506,12909637.460000000894070
20150302,4109981.129999999888241,4267554.820000000298023,4704885.100000000558794,13082422.050000000745058
20150303,4127835.109999999869615,4233850.240000000223517,4641551.060000000521541,13003237.410000000149012
20150304,4097560.969999999739230,4213973.179999999701977,4681032.019999999552965,12992567.169999998062849
20150305,4076601.950000000186265,4254591.519999999552965,4720924.240000000223517,13052118.710000000894070
20150306,4029638.219999999739230,4188046.580000000074506,4642373.580000000074506,12860059.379999998956919
20150309,4085528.940000000409782,4210516.299999999813735,4725448.100000000558794,13021494.339999999850988
20150310,4001304.729999999981374,4170762.179999999701977,4625100.660000000149012,12797168.570000000298023
20150311,3993542.129999999888241,4119773.200000000186265,4635793.419999999925494,12749109.750000000000000
20150312,4159661.770000000018626,4193231.900000000372529,4724625.580000000074506,13077520.250000000000000
20150313,4131328.279999999795109,4140514.479999999515712,4739842.200000000186265,13011685.960000000894070
20150316,4167424.370000000111759,4167305.299999999813735,4874324.219999999739230,13209054.890000000596046
20150317,4151511.040000000037253,4171626.400000000372529,4836488.299999999813735,13159626.740000000223517
20150318,4190712.169999999925494,4213973.179999999701977,4933545.660000000149012,13338232.009999999776483
20150319,4167424.370000000111759,4248541.979999999515712,4966446.459999999962747,13382413.809999998658895
20150320,4208566.150000000372529,4406694.240000000223517,4899822.339999999850988,13515083.730000000447035
20150323,4200415.419999999925494,4384224.519999999552965,4895709.740000000223517,13480350.679999999701977
20150324,4157332.990000000223517,4349655.719999999739230,4857873.820000000298023,13364863.530000001192093
20150325,4075437.560000000055879,4277925.459999999962747,4792894.740000000223517,13146258.759999999776483
20150326,4084752.679999999701977,4292617.200000000186265,4780968.200000000186265,13158339.080000000074506
20150327,4094067.800000000279397,4315951.139999999664724,4853349.959999999962747,13263369.899999998509884
20150330,4118908.120000000111759,4360026.360000000335276,4976316.700000000186265,13455252.179999999701977
20150331,4071168.129999999888241,4335828.200000000186265,4864865.240000000223517,13271862.570000000298023
20150401,4092515.279999999795109,4302123.620000000111759,4830319.400000000372529,13224959.300000000745058
20150402,4114250.560000000055879,4306444.719999999739230,4826618.060000000521541,13247314.339999999850988
20150406,4099889.750000000000000,4309901.599999999627471,4840600.900000000372529,13250393.250000000000000
20150407,4092127.150000000372529,4304716.280000000260770,4826206.799999999813735,13223051.230000000447035
20150408,4128223.240000000223517,4357433.700000000186265,4860752.639999999664724,13346410.580000001937151
20150409,4144136.569999999832362,4352248.379999999888241,4875558.000000000000000,13371943.949999999254942
20150410,4151122.910000000149012,4320272.240000000223517,4894064.700000000186265,13365460.850000001490116
20150413,4134045.190000000409782,4290024.540000000037253,4909281.320000000298023,13333352.050000000745058
20150414,4139867.140000000130385,4301259.400000000372529,4931900.620000000111759,13373028.160000000149012
20150415,4152287.300000000279397,4314222.700000000186265,4824973.019999999552965,13291484.019999999552965
20150416,4195757.859999999403954,4316815.360000000335276,5000992.299999999813735,13513566.519999999552965
20150417,4141031.529999999795109,4258912.620000000111759,4882138.160000000149012,13282083.310000000521541
20150420,4200415.419999999925494,4321136.459999999962747,4876791.780000000260770,13398344.660000000149012
20150421,4179456.400000000372529,4334099.759999999776483,4905579.980000000447035,13419137.140000000596046
20150422,4189547.779999999795109,4328050.219999999739230,4845124.760000000707805,13362723.760000001639128
20150423,4230689.560000000521541,4369532.780000000260770,4863631.459999999962747,13463854.800000000745058
20150424,4251260.449999999254942,4362619.019999999552965,4881315.639999999664724,13495196.109999999403954
20150427,4275712.640000000596046,4361754.799999999813735,4780556.940000000409782,13418025.380000002682209
20150428,4266397.519999999552965,4315086.919999999925494,4836077.040000000037253,13417562.480000000447035
20150429,4262128.089999999850988,4328914.440000000409782,4672395.560000000521541,13263439.090000001713634
20150430,4219821.919999999925494,4271011.700000000186265,4581507.100000000558794,13072341.720000002533197
20150501,4289685.320000000298023,4354841.040000000037253,4655533.900000000372529,13300061.259999999776483
20150504,4309479.949999999254942,4357433.700000000186265,4711465.260000000707805,13378379.910000000149012
20150505,4300941.089999999850988,4339285.080000000074506,4662525.320000000298023,13302752.490000000223517
20150506,4258634.919999999925494,4330642.879999999888241,4667460.440000000409782,13256739.240000002086163
20150507,4240780.939999999478459,4384224.519999999552965,4719690.459999999962747,13344696.919999998062849
20150508,4273771.990000000223517,4426571.299999999813735,4757526.380000000819564,13457870.669999999925494
20150511,4215164.359999999403954,4442127.259999999776483,4720101.719999999739230,13377394.339999999850988
20150512,4240004.679999999701977,4423978.639999999664724,4714755.339999999850988,13378739.660000000149012
20150513,4238064.029999999329448,4414472.219999999739230,4764929.060000000521541,13417466.310000000521541
20150514,4266785.650000000372529,4469782.299999999813735,4874735.480000000447035,13611304.429999999701977
20150515,4281146.459999999031425,4536327.240000000223517,4907636.280000000260770,13725110.980000000447035
20150518,4282310.849999999627471,4526820.820000000298023,4926965.500000000000000,13736098.169999999925494
20150519,4291237.839999999850988,4521635.500000000000000,4957810.000000000000000,13770684.339999999850988
20150520,4277265.160000000149012,4520771.280000000260770,4986186.940000000409782,13784224.380000002682209
20150521,4284639.630000000819564,4511264.860000000335276,4954108.660000000149012,13750014.150000002235174
20150522,4279593.939999999478459,4512993.299999999813735,4918329.040000000037253,13710917.279999997466803
20150526,4247767.279999999329448,4468918.080000000074506,4862808.940000000409782,13579495.300000000745058
20150527,4283863.370000001043081,4443855.700000000186265,4912571.400000000372529,13640291.470000000670552
20150528,4290073.449999999254942,4420521.759999999776483,4919562.820000000298023,13630159.029999999329448
20150529,4283863.370000001043081,4393730.940000000409782,4943827.160000000149012,13621422.470000002533197
20150601,4306763.039999999105930,4397187.820000000298023,4929433.060000000521541,13633384.919999999925494
20150602,4298612.310000000521541,4412743.780000000260770,4842657.200000000186265,13554014.289999999105930
20150603,4314913.769999999552965,4430028.179999999701977,4867332.799999999813735,13612275.750000000000000
20150604,4281146.459999999031425,4405830.019999999552965,4797418.600000000558794,13484396.079999998211861
20150605,4281146.459999999031425,4409286.900000000372529,4792483.480000000447035,13482917.839999999850988
20150608,4241945.330000000074506,4383360.299999999813735,4808111.360000000335276,13433417.989999998360872
20150609,4212059.320000000298023,4379903.419999999925494,4811401.440000000409782,13403365.179999999701977
20150610,4269502.560000000521541,4465461.200000000186265,4875558.000000000000000,13610522.760000001639128
20150611,4293566.620000001043081,4488795.139999999664724,4907225.019999999552965,13689587.780000001192093
20150612,4267561.910000000149012,4484474.040000000037253,4838544.600000000558794,13590581.550000000745058
20150615,4276488.900000000372529,4466325.419999999925494,4893242.180000000633299,13636057.500000000000000
20150616,4310644.339999999850988,4518178.620000000111759,4998936.000000000000000,13827759.960000000894070
20150617,4327333.929999999701977,4526820.820000000298023,4924497.940000000409782,13778653.690000001341105
20150618,4394480.419999999925494,4580402.459999999962747,4971792.839999999850988,13946676.719999998807907
20150619,4371192.620000001043081,4603736.400000000372529,4948762.280000000260770,13923692.300000000745058
20150622,4406512.449999999254942,4614971.259999999776483,4945472.200000000186265,13966956.910000000149012
20150623,4440667.890000000596046,4632255.660000000149012,5047875.940000000409782,14120800.490000002086163
20150624,4415827.570000000298023,4589908.879999999888241,4901056.120000000111759,13906793.570000000298023
20150625,4442220.410000000149012,4546697.879999999888241,5031014.280000000260770,14019933.570000000298023
20150626,4463179.429999999701977,4741147.379999999888241,5068850.200000000186265,14273178.009999997913837
20150629,4387882.209999999031425,4652996.940000000409782,4984130.639999999664724,14025010.789999999105930
20150630,4430188.380000000819564,4667688.679999999701977,5017442.700000000186265,14115320.760000001639128
20150701,4468613.250000000000000,4729048.299999999813735,5074196.580000000074506,14271859.130000000819564
20150702,4462403.169999999925494,4748061.139999999664724,5009628.760000000707805,14220094.070000000298023
20150706,4490736.660000000149012,4746332.700000000186265,5024022.860000000335276,14261093.219999998807907
20150707,4545074.859999999403954,4809420.759999999776483,4963978.900000000372529,14318475.519999999552965
20150708,4470942.029999999329448,4722134.540000000037253,4885016.980000000447035,14078094.550000000745058
20150709,4486855.359999999403954,4729048.299999999813735,4908047.540000000037253,14123952.199999999254942
20150710,4519458.279999999329448,4775716.179999999701977,5023611.600000000558794,14318787.059999998658895
20150713,4581947.209999999031425,4857817.080000000074506,5035949.400000000372529,14475714.689999999478459
20150714,4574184.609999999403954,4854360.200000000186265,5140820.700000000186265,14569366.509999997913837
20150715,4591650.459999999031425,4835347.360000000335276,5176189.060000000521541,14603187.880000000819564
20150716,4621536.470000000670552,4854360.200000000186265,5137941.880000000819564,14613839.550000002607703
20150717,4613385.740000000223517,4874237.259999999776483,5093525.799999999813735,14581149.800000000745058
20150720,4641331.099999999627471,4888929.000000000000000,5044174.600000000558794,14574435.699999999254942
20150721,4630851.589999999850988,4882879.459999999962747,4970559.060000000521541,14484291.110000001266599
20150722,4631627.849999999627471,4930411.559999999590218,4960277.560000000521541,14522317.970000000670552
20150723,4611056.959999999031425,4926090.459999999962747,4907636.280000000260770,14444784.699999999254942
20150724,4615326.390000000596046,4882879.459999999962747,4850471.139999999664724,14348677.990000002086163
20150727,4589709.810000000521541,4828433.599999999627471,4848003.580000000074506,14266147.990000000223517
20150728,4597860.539999999105930,4903620.740000000223517,4997702.219999999739230,14499184.500000000000000
20150729,4651422.480000000447035,4965844.580000000074506,4997702.219999999739230,14614970.280000001192093
20150730,4658796.949999999254942,4970165.679999999701977,4958221.260000000707805,14587184.890000000596046
20150731,4657632.560000000521541,4978807.879999999888241,4992767.100000000558794,14629208.540000002831221
