代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13575511.740000002086163
真實報酬,3575511.740000002086163

夏普值報酬,0.348851174000000
夏普值風險,0.104188773756190
夏普值,3.348260675534390

預期報酬,16966.477524989135418
風險,282615.071044877578970
趨勢值,0.060033873856271
找到最佳解世代,1676
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),HD[9](3),MCD[15](27),MMM[16](6),PG[21](8),UNH[23](25),
20090623,1644329.400000000372529,1646516.359999999869615,1603661.810000000055879,1665498.479999999981374,1622063.679999999934807,1537594.639999999897555,9719668.370000001043081
20090624,1671820.600000000325963,1632123.760000000009313,1590665.429999999934807,1677757.439999999944121,1622063.679999999934807,1554511.759999999776483,9748946.669999999925494
20090625,1716493.800000000279397,1696170.829999999841675,1623438.910000000149012,1719204.399999999906868,1658323.120000000111759,1565789.839999999850988,9979424.899999998509884
20090626,1748280.500000000465661,1699049.349999999860302,1610442.530000000027940,1729712.079999999841675,1660569.280000000027940,1552005.519999999785796,10000063.259999999776483
20090629,1742266.800000000279397,1717759.729999999981374,1616940.719999999972060,1750143.679999999934807,1675971.520000000018626,1573935.119999999878928,10077021.569999998435378
20090630,1748280.500000000465661,1700488.609999999869615,1624286.500000000000000,1754230.000000000000000,1639712.080000000074506,1565163.280000000027940,10032164.970000000670552
20090701,1752576.000000000000000,1706245.649999999906868,1644911.189999999944121,1772910.320000000065193,1668591.280000000027940,1576441.359999999869615,10121679.799999998882413
20090702,1718212.000000000232831,1641478.949999999720603,1623156.380000000121072,1758608.199999999953434,1640032.959999999962747,1498121.359999999869615,9879613.849999999627471
20090706,1701030.000000000232831,1646516.359999999869615,1638413.000000000000000,1770867.159999999916181,1674046.239999999990687,1509399.439999999944121,9940276.199999999254942
20090707,1661511.400000000139698,1611974.119999999878928,1604791.929999999934807,1715118.079999999841675,1665703.359999999869615,1577067.919999999925494,9836170.810000000521541
20090708,1683848.000000000465661,1630684.500000000000000,1611572.649999999906868,1722706.959999999962747,1689127.600000000093132,1545739.919999999925494,9883683.630000000819564
20090709,1673538.800000000279397,1632123.760000000009313,1603944.340000000083819,1724750.120000000111759,1681747.359999999869615,1562657.040000000037253,9878765.420000001788139
20090710,1700170.900000000139698,1620609.679999999934807,1611855.179999999934807,1745181.719999999972060,1675650.639999999897555,1545739.919999999925494,9899212.039999999105930
20090713,1746562.300000000046566,1663067.849999999860302,1618070.840000000083819,1765613.320000000065193,1700037.520000000018626,1567042.959999999962747,10060398.789999999105930
20090714,1745703.200000000186265,1704086.760000000009313,1623438.910000000149012,1769699.640000000130385,1718006.800000000046566,1552005.519999999785796,10112944.830000000074506
20090715,1802403.800000000279397,1732871.959999999729916,1612702.770000000018626,1809687.199999999953434,1753624.479999999981374,1560777.359999999869615,10272071.569999998435378
20090716,1810135.700000000186265,1755900.119999999878928,1616658.189999999944121,1850550.399999999906868,1771593.760000000009313,1582080.399999999906868,10386922.570000000298023
20090717,1862540.800000000279397,1775330.130000000121072,1634175.050000000046566,1836540.159999999916181,1794376.239999999990687,1572055.439999999944121,10475021.820000000298023
20090720,1876286.400000000139698,1784685.320000000065193,1646606.370000000111759,1863393.120000000111759,1782824.560000000055879,1556391.439999999944121,10510191.209999999031425
20090721,1859104.400000000372529,1760217.899999999906868,1656494.920000000158325,1873900.800000000046566,1780578.400000000139698,1603383.439999999944121,10533683.859999999403954
20090722,1923536.900000000372529,1782526.429999999934807,1661862.989999999990687,1887619.159999999916181,1760683.839999999850988,1629072.399999999906868,10645305.720000000670552
20090723,1937282.500000000232831,1819227.560000000055879,1584732.300000000046566,2026554.040000000037253,1769989.359999999869615,1694861.199999999953434,10832650.959999999031425
20090724,1963914.600000000093132,1822106.079999999841675,1584449.770000000018626,2026262.159999999916181,1791809.200000000186265,1711778.319999999832362,10900324.129999998956919
20090727,1964773.700000000419095,1810592.000000000000000,1581341.939999999944121,2040564.279999999795109,1789883.920000000158325,1730575.119999999878928,10917734.959999999031425
20090728,1963914.600000000093132,1827143.489999999990687,1595468.439999999944121,2039688.639999999897555,1787637.760000000009313,1822052.879999999888241,11035909.809999998658895
20090729,1963914.600000000093132,1827143.489999999990687,1593773.260000000009313,2005830.559999999823049,1800793.839999999850988,1780073.359999999869615,10971533.109999999403954
20090730,1998278.600000000325963,1860246.469999999972060,1570605.800000000046566,2040272.400000000139698,1804323.520000000018626,1760650.000000000000000,11034380.790000000968575
20090731,2005151.400000000139698,1866723.140000000130385,1555631.710000000195578,2058368.959999999729916,1781220.159999999916181,1758143.759999999776483,11025243.129999998956919
20090803,2042951.800000000279397,1894069.079999999841675,1557609.420000000158325,2105653.519999999552965,1784428.959999999962747,1714284.559999999823049,11099001.339999999850988
20090804,2031783.500000000000000,1891910.189999999944121,1554219.060000000055879,2102442.839999999850988,1779615.760000000009313,1687342.479999999981374,11047317.830000000074506
20090805,2026628.900000000139698,1894788.709999999729916,1556479.300000000046566,2096605.239999999990687,1729879.359999999869615,1640350.479999999981374,10944735.990000000223517
20090806,2012024.200000000419095,1909900.939999999944121,1549416.050000000046566,2113242.400000000372529,1651263.760000000009313,1627819.280000000027940,10863670.630000000819564
20090807,2030924.400000000372529,1961714.300000000046566,1559587.130000000121072,2127836.400000000372529,1669553.920000000158325,1661026.959999999962747,11010647.109999999403954
20090810,2021474.300000000279397,1950200.219999999972060,1589817.840000000083819,2069752.279999999795109,1674046.239999999990687,1696114.319999999832362,11001409.200000001117587
20090811,1998278.600000000325963,1935087.989999999990687,1582754.590000000083819,2082303.120000000111759,1666345.120000000111759,1743106.319999999832362,11007879.740000002086163
20090812,2029206.200000000419095,1957396.519999999785796,1589535.310000000055879,2111199.240000000223517,1671158.320000000065193,1741226.639999999897555,11099726.230000000447035
20090813,2067006.600000000093132,1991938.760000000009313,1575973.870000000111759,2119080.000000000000000,1678217.679999999934807,1777567.119999999878928,11209788.029999999329448
20090814,2047247.300000000046566,1953078.739999999990687,1561564.840000000083819,2081719.359999999869615,1680463.839999999850988,1758143.759999999776483,11082221.839999999850988
20090817,1958760.000000000232831,1878956.849999999860302,1539810.030000000027940,2045526.239999999990687,1675329.760000000009313,1784459.280000000027940,10882846.160000000149012
20090818,2012883.300000000279397,1937966.510000000009313,1561282.310000000055879,2053406.999999999767169,1683030.880000000121072,1765662.479999999981374,11014236.480000002309680
20090819,2019756.100000000325963,1925013.169999999925494,1572300.979999999981374,2066249.720000000204891,1694261.679999999934807,1765662.479999999981374,11043248.130000000819564
20090820,2041233.600000000325963,1919975.760000000009313,1586144.949999999953434,2079092.440000000176951,1701321.040000000037253,1778820.239999999990687,11106592.030000001192093
20090821,2076456.700000000419095,1978985.419999999925494,1589817.840000000083819,2120247.519999999552965,1719290.320000000065193,1812027.919999999925494,11296829.719999998807907
20090824,2074738.500000000000000,1945162.810000000055879,1579646.760000000009313,2117912.480000000447035,1711589.200000000186265,1860273.040000000037253,11289326.789999999105930
20090825,2079034.000000000232831,1966032.079999999841675,1594903.380000000121072,2121415.040000000037253,1713514.479999999981374,1874683.919999999925494,11349586.900000000372529
20090826,2054979.200000000419095,1984022.829999999841675,1610442.530000000027940,2084638.159999999916181,1712230.959999999962747,1812654.479999999981374,11258972.160000000149012
20090827,2079893.100000000325963,1982583.570000000065193,1614963.010000000009313,2090767.639999999897555,1702604.560000000055879,1813281.040000000037253,11284096.920000001788139
20090828,2086765.900000000139698,1992658.390000000130385,1584167.239999999990687,2099232.160000000149012,1706776.000000000000000,1765662.479999999981374,11235266.170000001788139
20090831,2064429.300000000279397,1963873.189999999944121,1588970.250000000000000,2104486.000000000000000,1736296.959999999962747,1754384.399999999906868,11212444.099999999627471
20090901,2028347.100000000093132,1924293.539999999804422,1572018.449999999953434,2046693.760000000009313,1701321.040000000037253,1712404.879999999888241,10985082.769999999552965
20090902,2027488.000000000465661,1909181.310000000055879,1564390.139999999897555,2060120.239999999990687,1694261.679999999934807,1795737.359999999869615,11051182.730000000447035
20090903,2043810.900000000139698,1935807.619999999878928,1570040.739999999990687,2072962.959999999729916,1696507.839999999850988,1808895.119999999878928,11128029.179999997839332
20090904,2090202.300000000046566,1945162.810000000055879,1586144.949999999953434,2082594.999999999767169,1696186.959999999962747,1809521.679999999934807,11209817.699999999254942
20090908,2121989.000000000000000,1977546.159999999916181,1588405.189999999944121,2092518.919999999925494,1739184.880000000121072,1744359.439999999944121,11264007.589999999850988
20090909,2100511.500000000000000,1970349.859999999869615,1556479.300000000046566,2136009.040000000037253,1725066.159999999916181,1779446.799999999813735,11267866.660000000149012
20090910,2117693.500000000000000,1981144.310000000055879,1549698.580000000074506,2171326.519999999552965,1798226.800000000046566,1823932.559999999823049,11442026.270000001415610
20090911,2112538.900000000372529,1967471.339999999850988,1536702.199999999953434,2159943.200000000186265,1785391.600000000093132,1821426.319999999832362,11383477.560000000521541
20090914,2132298.200000000186265,1979705.050000000046566,1532181.719999999972060,2176288.480000000447035,1774481.679999999934807,1802002.959999999962747,11396962.089999999850988
20090915,2149480.200000000186265,1972508.750000000000000,1553371.469999999972060,2179791.040000000037253,1765817.920000000158325,1735587.599999999860302,11356560.980000000447035
20090916,2231953.799999999813735,2019284.699999999720603,1595468.439999999944121,2200222.639999999664724,1774802.560000000055879,1835210.639999999897555,11656946.779999999329448
20090917,2264599.600000000558794,2009209.880000000121072,1595185.910000000149012,2185920.519999999552965,1781861.920000000158325,1838343.439999999944121,11675125.269999999552965
20090918,2270613.299999999813735,2031518.409999999916181,1610442.530000000027940,2178039.759999999776483,1839299.439999999944121,1790724.879999999888241,11720642.320000000298023
20090921,2258585.900000000372529,2025041.739999999990687,1586144.949999999953434,2175704.719999999739230,1832240.080000000074506,1791351.439999999944121,11669072.830000000074506
20090922,2263740.500000000000000,1987620.979999999981374,1576821.460000000195578,2188255.559999999590218,1836732.400000000139698,1728068.879999999888241,11581243.780000001192093
20090923,2276627.000000000000000,1968190.969999999972060,1569193.149999999906868,2172202.160000000149012,1837053.280000000027940,1671678.479999999981374,11494949.039999999105930
20090924,2256008.600000000558794,1945882.439999999944121,1585579.889999999897555,2162862.000000000000000,1855985.200000000186265,1630952.080000000074506,11437274.210000000894070
20090925,2237967.500000000000000,1932209.469999999972060,1609029.880000000121072,2154105.599999999627471,1861440.159999999916181,1587719.439999999944121,11382476.049999998882413
20090928,2284358.900000000372529,1961714.300000000046566,1615245.540000000037253,2189423.080000000074506,1866253.359999999869615,1616541.199999999953434,11533540.379999998956919
20090929,2274908.799999999813735,1930770.209999999729916,1615245.540000000037253,2158191.919999999925494,1858231.359999999869615,1609022.479999999981374,11446374.310000000521541
20090930,2274908.799999999813735,1917097.239999999990687,1612420.239999999990687,2154105.599999999627471,1858552.239999999990687,1568922.639999999897555,11386010.759999999776483
20091001,2219926.400000000372529,1894069.079999999841675,1603096.750000000000000,2117620.599999999627471,1816837.839999999850988,1553258.639999999897555,11204813.310000000521541
20091002,2268895.100000000558794,1873199.810000000055879,1602249.160000000149012,2099524.040000000037253,1821009.280000000027940,1521304.080000000074506,11186185.470000000670552
20091005,2282640.700000000186265,1881835.369999999878928,1599423.860000000102445,2131338.959999999962747,1818763.120000000111759,1506266.639999999897555,11220272.650000002235174
20091006,2331609.400000000372529,1891910.189999999944121,1622873.849999999860302,2157900.040000000037253,1829993.920000000158325,1527569.679999999934807,11361861.080000000074506
20091007,2335045.799999999813735,1881115.739999999990687,1614397.949999999953434,2134841.519999999552965,1827426.880000000121072,1569549.199999999953434,11362381.089999999850988
20091008,2323018.400000000372529,1935087.989999999990687,1606769.639999999897555,2175412.839999999850988,1849888.479999999981374,1513785.359999999869615,11403966.709999999031425
20091009,2337623.100000000558794,1940125.399999999906868,1601966.630000000121072,2181250.440000000409782,1847000.560000000055879,1545739.919999999925494,11453710.050000000745058
20091012,2341918.600000000558794,1945882.439999999944121,1601401.570000000065193,2185628.639999999664724,1845075.280000000027940,1580827.280000000027940,11500737.810000000521541
20091013,2332468.500000000000000,1981144.310000000055879,1611855.179999999934807,2178915.400000000372529,1837374.159999999916181,1521930.639999999897555,11463692.190000001341105
20091014,2347932.299999999813735,1970349.859999999869615,1624569.030000000027940,2234956.359999999403954,1838978.560000000055879,1558271.119999999878928,11575061.229999998584390
20091015,2338482.200000000186265,1964592.820000000065193,1644346.130000000121072,2240793.959999999962747,1836732.400000000139698,1538221.199999999953434,11563172.709999999031425
20091016,2307554.600000000558794,1961714.300000000046566,1660732.870000000111759,2218902.959999999962747,1843150.000000000000000,1531955.599999999860302,11524014.330000000074506
20091019,2329891.200000000186265,1988340.609999999869615,1674859.370000000111759,2227659.359999999403954,1854380.800000000046566,1561403.919999999925494,11636539.259999999776483
20091020,2438996.900000000372529,1940845.029999999795109,1664688.290000000037253,2216859.799999999813735,1865290.720000000204891,1626566.159999999916181,11753250.900000000372529
20091021,2514597.700000000186265,1894069.079999999841675,1648019.020000000018626,2227951.240000000223517,1844754.400000000139698,1573935.119999999878928,11703330.560000000521541
20091022,2518034.100000000558794,1922854.279999999795109,1681075.030000000027940,2299753.719999999739230,1865290.720000000204891,1610902.159999999916181,11897914.010000001639128
20091023,2502570.299999999813735,1890470.929999999934807,1679097.320000000065193,2271441.359999999403954,1849567.600000000093132,1619674.000000000000000,11812825.509999999776483
20091026,2485388.299999999813735,1878237.219999999972060,1672599.130000000121072,2242253.359999999403954,1825822.479999999981374,1585839.759999999776483,11690144.249999998137355
20091027,2422674.000000000000000,1871040.919999999925494,1667513.590000000083819,2218319.200000000186265,1834807.120000000111759,1660400.399999999906868,11674759.230000000447035
20091028,2361677.900000000372529,1814190.149999999906868,1656777.449999999953434,2173369.679999999701977,1836411.520000000018626,1621553.679999999934807,11463984.379999998956919
20091029,2409787.500000000000000,1864564.250000000000000,1670903.949999999953434,2203141.440000000409782,1910534.800000000046566,1658520.719999999739230,11717456.660000000149012
20091030,2313568.299999999813735,1805554.589999999850988,1655929.860000000102445,2147392.359999999403954,1861119.280000000027940,1625939.599999999860302,11409507.989999998360872
20091102,2323018.400000000372529,1803395.699999999720603,1671469.010000000009313,2168115.839999999850988,1891602.880000000121072,1655387.919999999925494,11512993.750000000000000
20091103,2316145.600000000558794,1799077.919999999925494,1673729.250000000000000,2161694.480000000447035,1879730.320000000065193,1686089.359999999869615,11516470.929999999701977
20091104,2341918.600000000558794,1796199.399999999906868,1703394.899999999906868,2161986.359999999403954,1894169.920000000158325,1746239.119999999878928,11643912.299999998882413
20091105,2381437.200000000186265,1844414.609999999869615,1737015.969999999972060,2202557.679999999701977,1940376.639999999897555,1767542.159999999916181,11873348.259999999776483
20091106,2384873.600000000558794,1876797.959999999729916,1743796.689999999944121,2201098.280000000260770,1958666.800000000046566,1796363.919999999925494,11961601.250000000000000
20091109,2472501.800000000745058,1929330.949999999720603,1769789.449999999953434,2253344.799999999813735,1984658.080000000074506,1825185.679999999934807,12234814.759999999776483
20091110,2491402.000000000000000,1930050.579999999841675,1759618.370000000111759,2276403.319999999366701,1984978.959999999962747,1815160.719999999739230,12257617.949999999254942
20091111,2494838.400000000372529,1965312.449999999720603,1775157.520000000018626,2275527.679999999701977,1996851.520000000018626,1840223.119999999878928,12347914.689999997615814
20091112,2479374.600000000558794,1960275.039999999804422,1756510.540000000037253,2253636.679999999701977,1967009.679999999934807,1802002.959999999962747,12218813.500000000000000
20091113,2509443.100000000558794,1967471.339999999850988,1796347.270000000018626,2256847.359999999403954,1976956.959999999962747,1822052.879999999888241,12329122.910000000149012
20091116,2536075.200000000186265,1989779.869999999878928,1823187.620000000111759,2277278.959999999962747,1998135.040000000037253,1826438.799999999813735,12450899.490000002086163
20091117,2540370.700000000186265,1942284.289999999804422,1796064.739999999990687,2299461.839999999850988,1999418.560000000055879,1815160.719999999739230,12392764.850000001490116
20091118,2527484.200000000186265,1963873.189999999944121,1807648.469999999972060,2270857.599999999627471,2002627.359999999869615,1808895.119999999878928,12381389.939999999478459
20091119,2460474.400000000372529,1950919.849999999860302,1791544.260000000009313,2254804.200000000186265,1994284.479999999981374,1793857.679999999934807,12245888.870000001043081
20091120,2453601.600000000558794,1955957.260000000009313,1807365.939999999944121,2236999.519999999552965,1983053.679999999934807,1789471.759999999776483,12226453.759999999776483
20091123,2526625.100000000558794,1979705.050000000046566,1807931.000000000000000,2268814.440000000409782,2012895.520000000018626,1822052.879999999888241,12418027.989999998360872
20091124,2509443.100000000558794,1983303.199999999720603,1814429.189999999944121,2265311.879999999888241,2015141.679999999934807,1852127.759999999776483,12439760.810000000521541
20091125,2506006.700000000186265,2004172.469999999972060,1820927.380000000121072,2274068.280000000260770,2017387.839999999850988,1850874.639999999897555,12473441.310000000521541
20091127,2462192.600000000558794,1986901.349999999860302,1796912.330000000074506,2240210.200000000186265,2004873.520000000018626,1844609.040000000037253,12335703.039999999105930
20091130,2453601.600000000558794,1968910.599999999860302,1787023.780000000027940,2260349.919999999925494,2000702.080000000074506,1796363.919999999925494,12266955.900000000372529
20091201,2417519.400000000372529,2014966.919999999925494,1795217.149999999906868,2295083.639999999664724,2018671.359999999869615,1798243.599999999860302,12339706.069999998435378
20091202,2408069.300000000745058,2038714.709999999729916,1765834.030000000027940,2288662.280000000260770,2027656.000000000000000,1772554.639999999897555,12301494.960000000894070
20091203,2411505.700000000186265,2009929.510000000009313,1750859.939999999944121,2251885.400000000372529,2007440.560000000055879,1712404.879999999888241,12144029.990000002086163
20091204,2372846.200000000186265,2020723.959999999729916,1740123.800000000046566,2283700.319999999366701,2008724.080000000074506,1720550.159999999916181,12146672.519999999552965
20091207,2318722.900000000372529,2030798.779999999795109,1749729.820000000065193,2274068.280000000260770,2004552.639999999897555,1773181.199999999953434,12151057.619999999180436
20091208,2329891.200000000186265,1991219.130000000121072,1712435.860000000102445,2250717.879999999888241,1985299.839999999850988,1783206.159999999916181,12052774.070000000298023
20091209,2427828.600000000558794,1982583.570000000065193,1712153.330000000074506,2327482.319999999366701,1997172.400000000139698,1785712.399999999906868,12232936.620000001043081
20091210,2410646.600000000558794,2014247.289999999804422,1724867.179999999934807,2354919.040000000037253,1997172.400000000139698,1899119.759999999776483,12400976.269999999552965
20091211,2389169.100000000558794,2050228.789999999804422,1742101.510000000009313,2386150.200000000186265,2000381.200000000186265,1909771.280000000027940,12477806.080000000074506
20091214,2417519.400000000372529,2077574.729999999981374,1755662.949999999953434,2390820.280000000260770,2021880.159999999916181,1939219.599999999860302,12602681.120000001043081
20091215,2383155.400000000372529,2088369.179999999934807,1751707.530000000027940,2413878.799999999813735,1993321.839999999850988,1962402.319999999832362,12592839.070000000298023
20091216,2393464.600000000558794,2084051.399999999906868,1763573.790000000037253,2385274.559999999590218,1994605.359999999869615,2017539.600000000093132,12638513.309999998658895
20091217,2354805.100000000558794,2072537.320000000065193,1749447.290000000037253,2348789.559999999590218,1976315.200000000186265,1993730.319999999832362,12495628.789999999105930
20091218,2398619.200000000186265,2061742.869999999878928,1756510.540000000037253,2363383.559999999590218,1975031.679999999934807,1976186.639999999897555,12531478.490000000223517
20091221,2432983.200000000186265,2084051.399999999906868,1770354.510000000009313,2376810.040000000037253,1967009.679999999934807,2015659.919999999925494,12646872.749999998137355
20091222,2458756.200000000186265,2107799.189999999944121,1779112.939999999944121,2392279.679999999701977,1967009.679999999934807,2025058.319999999832362,12730020.009999999776483
20091223,2480233.700000000186265,2086929.919999999925494,1790131.610000000102445,2398992.919999999925494,1967330.560000000055879,1981199.119999999878928,12704821.830000000074506
20091224,2565284.600000000558794,2099163.629999999888241,1791826.790000000037253,2409500.599999999627471,1966367.920000000158325,1984958.479999999981374,12817106.020000001415610
20091228,2597071.299999999813735,2099883.259999999776483,1797194.860000000102445,2435769.799999999813735,1965405.280000000027940,1966788.239999999990687,12862116.739999998360872
20091229,2566143.700000000186265,2106359.929999999701977,1796629.800000000046566,2455617.639999999664724,1975994.320000000065193,1932954.000000000000000,12833703.390000000596046
20091230,2597071.299999999813735,2096285.109999999869615,1776852.699999999953434,2448904.400000000372529,1969255.839999999850988,1942978.959999999962747,12831352.310000002384186
20091231,2585903.000000000000000,2081892.510000000009313,1764138.849999999860302,2413003.160000000149012,1945510.720000000204891,1909771.280000000027940,12700223.519999999552965
20100104,2626280.700000000186265,2063182.130000000121072,1773744.870000000111759,2423218.959999999962747,1961233.839999999850988,1975560.080000000074506,12823224.580000000074506
20100105,2631435.299999999813735,2078294.359999999869615,1760183.429999999934807,2408041.200000000186265,1961875.600000000093132,1972427.280000000027940,12812261.169999998062849
20100106,2589339.400000000372529,2071098.060000000055879,1736168.380000000121072,2442191.160000000149012,1952570.080000000074506,1991850.639999999897555,12783221.720000000670552
20100107,2584184.799999999813735,2095565.479999999981374,1748882.229999999981374,2443942.440000000409782,1941981.040000000037253,2068290.959999999729916,12882850.949999997392297
20100108,2601366.800000000745058,2085490.659999999916181,1747187.050000000046566,2461163.359999999403954,1939414.000000000000000,2048867.600000000093132,12883493.470000000670552
20100111,2579030.200000000186265,2026481.000000000000000,1760748.489999999990687,2451239.440000000409782,1931712.880000000121072,2062651.919999999925494,12811867.930000001564622
20100112,2548961.700000000186265,2013527.659999999916181,1770354.510000000009313,2453282.599999999627471,1953853.600000000093132,2008141.199999999720603,12748125.269999997690320
20100113,2585043.900000000372529,2024322.109999999869615,1768376.800000000046566,2445401.839999999850988,1974069.040000000037253,2038842.639999999897555,12836060.329999998211861
20100114,2570439.200000000186265,2036555.820000000065193,1770071.979999999981374,2437229.200000000186265,1975994.320000000065193,2087714.319999999832362,12878008.839999999850988
20100115,2527484.200000000186265,2055985.829999999841675,1759618.370000000111759,2433434.759999999776483,1951607.439999999944121,2114656.399999999906868,12842791.000000000000000
20100119,2639167.200000000186265,2078294.359999999869615,1793521.969999999972060,2484513.759999999776483,1980486.639999999897555,2201121.680000000167638,13177109.609999999403954
20100120,2598789.500000000000000,2062462.500000000000000,1780243.060000000055879,2472838.559999999590218,1939734.880000000121072,2164781.199999999720603,13018853.700000001117587
20100121,2553257.200000000186265,2049509.159999999916181,1785611.130000000121072,2413878.799999999813735,1920161.200000000186265,2073930.000000000000000,12796351.489999998360872
20100122,2426969.500000000000000,1994817.279999999795109,1790979.199999999953434,2378269.440000000409782,1935242.560000000055879,2077689.359999999636784,12603971.339999999850988
20100125,2492261.100000000558794,1987620.979999999981374,1782503.300000000046566,2388485.240000000223517,1945510.720000000204891,2067664.399999999906868,12664049.740000002086163
20100126,2527484.200000000186265,1995536.909999999916181,1802845.460000000195578,2382647.639999999664724,1947436.000000000000000,2032577.039999999804422,12688531.250000000000000
20100127,2551539.000000000000000,2003452.839999999850988,1800585.219999999972060,2402203.599999999627471,1951286.560000000055879,2082701.840000000083819,12791773.060000000521541
20100128,2445869.700000000186265,1967471.339999999850988,1775157.520000000018626,2356962.200000000186265,1979203.120000000111759,2094606.479999999981374,12619274.360000003129244
20100129,2357382.400000000372529,2015686.550000000046566,1763856.320000000065193,2349373.319999999366701,1975031.679999999934807,2067664.399999999906868,12528998.669999999925494
20100201,2390028.200000000186265,2043032.489999999990687,1805105.699999999953434,2347913.919999999925494,1989150.400000000139698,2075809.680000000167638,12651044.390000000596046
20100202,2403773.799999999813735,2089088.810000000055879,1809061.120000000111759,2347622.040000000037253,2018350.479999999981374,2133453.199999999720603,12801353.449999999254942
20100203,2445010.600000000558794,2048789.529999999795109,1842399.659999999916181,2378853.200000000186265,2010328.479999999981374,2087714.319999999832362,12813099.790000002831221
20100204,2357382.400000000372529,2009929.510000000009313,1809908.710000000195578,2312012.679999999701977,1970218.479999999981374,2033830.159999999916181,12493285.940000001341105
20100205,2398619.200000000186265,2013527.659999999916181,1790414.139999999897555,2292456.719999999739230,1967009.679999999934807,2038842.639999999897555,12500874.039999999105930
20100208,2382296.299999999813735,2057425.089999999850988,1777700.290000000037253,2262976.839999999850988,1957704.159999999916181,2030697.359999999636784,12468804.039999999105930
20100209,2408069.300000000745058,2077574.729999999981374,1796064.739999999990687,2297710.559999999590218,1981770.159999999916181,2067664.399999999906868,12628857.890000002458692
20100210,2394323.700000000186265,2061742.869999999878928,1787023.780000000027940,2294791.759999999776483,1978882.239999999990687,2049494.159999999916181,12566262.509999999776483
20100211,2438137.799999999813735,2086210.289999999804422,1802280.399999999906868,2342951.959999999962747,1988187.760000000009313,2075183.119999999646097,12732955.329999998211861
20100212,2459615.299999999813735,2086929.919999999925494,1796629.800000000046566,2311137.040000000037253,1981770.159999999916181,2016286.479999999981374,12652372.699999999254942
