代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13361121.640000000596046
真實報酬,3361121.640000000596046

夏普值報酬,0.327412164000000
夏普值風險,0.082100679697970
夏普值,3.987934877086007

預期報酬,13355.550920877805765
風險,110173.315674880825100
趨勢值,0.121223100521816
找到最佳解世代,2707
找到最佳解實驗#,1
找到最佳解次數,42

stock[index](rank)
投資組合檔數,4
AXP[1](7),KO[14](11),MCD[15](2),V[25](1),
Stock#,AXP[1](7),KO[14](11),MCD[15](2),V[25](1),
張數,32731,60139,20396,30226,
20180116,3284234.760000000242144,2798289.439999999944121,3542439.560000000521541,3638915.680000000167638,13263879.440000001341105
20180117,3297981.780000000260770,2815729.750000000000000,3568954.359999999869615,3686975.020000000018626,13369640.910000000149012
20180118,3268523.880000000353903,2819338.090000000316650,3560592.000000000000000,3721130.399999999906868,13369584.370000001043081
20180119,3208626.150000000372529,2836177.009999999776483,3592205.800000000279397,3708737.740000000223517,13345746.700000001117587
20180122,3218118.140000000130385,2849407.590000000316650,3594041.440000000409782,3758006.120000000111759,13419573.290000002831221
20180123,3206989.600000000558794,2853617.320000000298023,3606279.040000000502914,3767678.440000000409782,13434564.400000002235174
20180124,3250194.520000000018626,2876470.140000000130385,3592205.800000000279397,3764655.839999999850988,13483526.300000000745058
20180125,3262959.610000000335276,2877071.530000000260770,3582823.640000000130385,3784907.259999999776483,13507762.040000000968575
20180126,3260995.750000000000000,2918567.439999999944121,3637892.840000000316650,3818155.859999999869615,13635611.889999998733401
20180129,3253794.930000000167638,2868652.070000000298023,3625859.200000000651926,3773421.380000000353903,13521727.580000001937151
20180130,3230883.229999999981374,2851211.759999999776483,3517964.359999999869615,3734429.839999999850988,13334489.189999999478459
20180131,3253467.620000000577420,2862036.780000000260770,3490633.720000000204891,3754983.520000000018626,13361121.640000000596046
