代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15081479.579999998211861
真實報酬,5081479.579999998211861

夏普值報酬,0.499447958000000
夏普值風險,0.115690224069831
夏普值,4.317114622394814

預期報酬,20277.210647139811044
風險,193222.374270689237164
趨勢值,0.104942353201462
找到最佳解世代,1742
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](2),JPM[13](3),PFE[20](4),V[25](1),
20120831,2875449.879999999888241,2800901.859999999869615,2727478.889999999664724,2782984.300000000279397,11186814.929999999701977
20120904,2877476.599999999627471,2791098.039999999571592,2718334.009999999776483,2789060.650000000372529,11175969.299999998882413
20120905,2864809.599999999627471,2798639.439999999944121,2734337.549999999813735,2769095.500000000000000,11166882.089999999850988
20120906,2921051.079999999608845,2917793.559999999590218,2782348.169999999459833,2810761.900000000372529,11431954.709999999031425
20120907,2901290.559999999590218,2963796.099999999627471,2770917.069999999366701,2815102.149999999906868,11451105.879999998956919
20120910,2903317.279999999795109,2923072.539999999571592,2754913.529999999795109,2792532.850000000093132,11373836.199999999254942
20120911,2873929.839999999850988,2986420.299999999813735,2762915.299999999813735,2853296.349999999627471,11476561.789999999105930
20120912,2890650.279999999795109,3010552.780000000260770,2751484.199999999720603,2896698.849999999627471,11549386.109999999403954
20120913,2953985.279999999795109,3122165.500000000000000,2772060.179999999701977,2928816.700000000186265,11777027.660000000149012
20120914,3012760.160000000149012,3134985.879999999888241,2720620.229999999981374,2913191.800000000279397,11781558.070000000298023
20120917,2984892.759999999776483,3106328.559999999590218,2745768.649999999441206,2905379.350000000093132,11742369.319999998435378
20120918,2982359.359999999869615,3111607.539999999571592,2744625.540000000037253,2901039.100000000093132,11739631.539999999105930
20120919,3013266.839999999850988,3117640.660000000149012,2761772.189999999944121,2925344.500000000465661,11818024.189999999478459
20120920,3003639.919999999925494,3110853.399999999906868,2790349.939999999944121,2921004.250000000000000,11825847.509999999776483
20120921,3010733.439999999944121,3082950.220000000204891,2802924.149999999441206,2929684.750000000000000,11826292.559999998658895
20120924,3009213.399999999906868,3109345.119999999646097,2829215.679999999701977,2902775.199999999720603,11850549.399999998509884
20120925,3025933.839999999850988,3058063.599999999627471,2839503.669999999459833,2920136.200000000186265,11843637.309999998658895
20120926,2998066.439999999944121,3034685.260000000242144,2838360.559999999590218,2875865.650000000372529,11746977.910000000149012
20120927,3034040.720000000204891,3067867.419999999925494,2853220.989999999757856,2906247.399999999906868,11861376.530000001192093
20120928,3058868.039999999571592,3052784.619999999646097,2840646.779999999795109,2914059.850000000093132,11866359.289999999105930
20121001,3069001.640000000130385,3089737.479999999981374,2862365.869999999646097,2967010.899999999906868,11988115.890000000596046
20121002,3056841.319999999832362,3085966.780000000260770,2871510.750000000000000,2951386.000000000000000,11965704.849999999627471
20121003,3129803.240000000223517,3081441.939999999944121,2894372.949999999720603,3006073.150000000372529,12111691.279999999329448
20121004,3128283.200000000186265,3153839.379999999888241,2897802.279999999795109,3031246.600000000093132,12211171.459999999031425
20121005,3202258.479999999981374,3145543.839999999850988,2917235.149999999441206,3044267.350000000093132,12309304.819999998435378
20121008,3135376.720000000204891,3141773.139999999664724,2903517.829999999608845,3010413.399999999906868,12191081.089999999850988
20121009,3088255.479999999981374,3120657.220000000204891,2893229.839999999385327,2967878.949999999720603,12070021.489999998360872
20121010,3026947.200000000186265,3150068.680000000167638,2876083.189999999944121,2981767.750000000000000,12034866.820000000298023
20121011,2989959.559999999590218,3174955.299999999813735,2871510.750000000000000,3017357.799999999813735,12053783.410000000149012
20121012,3017826.959999999962747,3138756.579999999608845,2871510.750000000000000,3019093.899999999906868,12047188.189999999478459
20121015,3073055.079999999608845,3196071.220000000204891,2922950.699999999720603,3035586.850000000093132,12227663.849999999627471
20121016,3083695.359999999869615,3230007.519999999552965,2949242.229999999981374,3063364.449999999720603,12326309.559999998658895
20121017,3110549.399999999906868,3266960.379999999888241,2953814.669999999459833,3093746.200000000186265,12425070.649999998509884
20121018,3131323.279999999795109,3243582.039999999571592,2976676.869999999646097,3078989.350000000093132,12430571.539999999105930
20121019,3135883.399999999906868,3191546.379999999888241,2944669.790000000037253,3037322.950000000186265,12309422.519999999552965
20121022,3143483.599999999627471,3174201.160000000149012,2926380.029999999795109,3016489.750000000000000,12260554.539999999105930
20121023,3128789.879999999888241,3116886.519999999552965,2879512.520000000018626,2965274.799999999813735,12090463.719999998807907
20121024,3104975.919999999925494,3145543.839999999850988,2893229.839999999385327,2961802.599999999627471,12105552.199999999254942
20121025,3064441.519999999552965,3142527.280000000260770,2927523.139999999664724,2985239.950000000186265,12119731.890000000596046
20121026,3042147.599999999627471,3104066.139999999664724,2906947.159999999683350,3001732.899999999906868,12054893.799999998882413
20121031,3110042.720000000204891,3143281.419999999925494,2842933.000000000000000,3011281.449999999720603,12107538.589999999850988
20121101,3154630.559999999590218,3230761.660000000149012,2806353.479999999981374,3122391.850000000093132,12314137.549999998882413
20121102,3142470.240000000223517,3199087.780000000260770,2806353.479999999981374,3111975.250000000000000,12259886.750000000000000
20121105,3160710.720000000204891,3187775.680000000167638,2809782.809999999590218,3071176.900000000372529,12229446.110000001266599
20121106,3172871.039999999571592,3233778.220000000204891,2824643.239999999757856,3122391.850000000093132,12353684.349999999627471
20121107,3140950.200000000186265,3052784.619999999646097,2762915.299999999813735,3093746.200000000186265,12050396.320000000298023
20121108,3083695.359999999869615,3046751.500000000000000,2761772.189999999944121,3083329.600000000093132,11975548.649999998509884
20121109,3088762.160000000149012,3063342.579999999608845,2762915.299999999813735,3101558.649999999906868,12016578.689999999478459
20121112,3098895.759999999776483,3060326.019999999552965,2756056.639999999664724,3108503.050000000279397,12023781.469999998807907
20121113,3211378.720000000204891,3019602.459999999962747,2749197.979999999981374,3091142.049999999813735,12071321.210000000894070
20121114,3114602.839999999850988,2963041.959999999962747,2721763.339999999385327,3037322.950000000186265,11836731.089999999850988
20121115,3103455.879999999888241,2970583.359999999869615,2704616.689999999944121,3038191.000000000000000,11816846.929999999701977
20121116,3147537.039999999571592,2981141.319999999832362,2727478.889999999664724,3097218.399999999906868,11953375.650000000372529
20121119,3208845.319999999832362,3061080.160000000149012,2759485.969999999739230,3160586.049999999813735,12189997.500000000000000
20121120,3233672.640000000130385,3069375.700000000186265,2775489.509999999776483,3176210.950000000186265,12254748.800000000745058
20121121,3247353.000000000000000,3071638.119999999646097,2783491.279999999795109,3183155.350000000093132,12285637.749999998137355
20121123,3284340.639999999664724,3098787.160000000149012,2804067.259999999776483,3214405.149999999906868,12401600.209999999031425
20121126,3276740.439999999944121,3082950.220000000204891,2799494.819999999366701,3195308.050000000279397,12354493.530000001192093
20121127,3250899.759999999776483,3073146.399999999906868,2772060.179999999701977,3185759.500000000465661,12281865.839999999850988
20121128,3284847.319999999832362,3079179.519999999552965,2820070.799999999813735,3196176.100000000093132,12380273.740000000223517
20121129,3254953.199999999720603,3108590.979999999981374,2840646.779999999795109,3216141.249999999534339,12420332.209999999031425
20121130,3297007.639999999664724,3098033.019999999552965,2860079.649999999441206,3249127.149999999906868,12504247.459999999031425
20121203,3292447.520000000018626,3077671.240000000223517,2868081.419999999459833,3225689.799999999813735,12463889.980000000447035
20121204,3254953.199999999720603,3059571.879999999888241,2877226.299999999813735,3203120.500000000000000,12394871.879999998956919
20121205,3243806.239999999757856,3107082.700000000186265,2930952.469999999739230,3213537.100000000093132,12495378.509999999776483
20121206,3260020.000000000000000,3127444.479999999981374,2927523.139999999664724,3222217.599999999627471,12537205.220000000670552
20121207,3265593.479999999981374,3209645.740000000223517,2921807.589999999385327,3223953.700000000186265,12621000.510000001639128
20121210,3194151.599999999627471,3190792.240000000223517,2904660.939999999944121,3226557.850000000093132,12516162.629999998956919
20121211,3186551.399999999906868,3215678.859999999869615,2930952.469999999739230,3231766.149999999906868,12564948.880000000819564
20121212,3188578.119999999646097,3225482.680000000167638,2916092.040000000037253,3209196.850000000093132,12539349.689999999478459
20121213,3162230.759999999776483,3226236.819999999832362,2895516.059999999590218,3194439.999999999534339,12478423.640000000596046
20121214,3144496.959999999962747,3228499.240000000223517,2878369.409999999683350,3186627.550000000279397,12437993.160000000149012
20121217,3207831.959999999962747,3279026.619999999646097,2898945.389999999664724,3236106.399999999906868,12621910.369999999180436
20121218,3192124.879999999888241,3308438.079999999608845,2930952.469999999739230,3270828.399999999906868,12702343.830000000074506
20121219,3129803.240000000223517,3282797.319999999832362,2897802.279999999795109,3236974.449999999720603,12547377.289999999105930
20121220,3139936.839999999850988,3358211.319999999832362,2906947.159999999683350,3309022.599999999627471,12714117.919999999925494
20121221,3107002.640000000130385,3318241.899999999906868,2866938.309999999590218,3271696.449999999720603,12563879.299999998882413
20121224,3119669.640000000130385,3312208.780000000260770,2866938.309999999590218,3281244.999999999534339,12580061.730000000447035
20121226,3097882.399999999906868,3315225.339999999850988,2885228.069999999366701,3249995.199999999720603,12548331.009999997913837
20121227,3094335.640000000130385,3290338.720000000204891,2873796.969999999739230,3242182.750000000000000,12500654.080000000074506
20121228,3073055.079999999608845,3260927.260000000242144,2845219.219999999739230,3225689.799999999813735,12404891.359999999403954
20121231,3133856.680000000167638,3315979.479999999981374,2866938.309999999590218,3289925.500000000000000,12606699.969999998807907
20130102,3216445.519999999552965,3368015.139999999664724,2961816.439999999944121,3372390.250000000000000,12918667.349999999627471
20130103,3207325.279999999795109,3361227.879999999888241,2954957.779999999795109,3374994.400000000372529,12898505.339999999850988
20130104,3201245.119999999646097,3420804.939999999944121,2967531.989999999757856,3401903.949999999720603,12991485.999999998137355
20130107,3184018.000000000000000,3424575.639999999664724,2969818.209999999962747,3426209.350000000093132,13004621.199999999254942
20130108,3203271.839999999850988,3431362.899999999906868,2974390.649999999441206,3458327.200000000186265,13067352.589999999850988
20130109,3200738.439999999944121,3429100.479999999981374,3025830.599999999627471,3511278.250000000465661,13166947.769999999552965
20130110,3223539.039999999571592,3480382.000000000000000,3058980.790000000037253,3483500.650000000372529,13246402.479999998584390
20130111,3227592.479999999981374,3479627.859999999869615,3031546.149999999441206,3497389.449999999720603,13236155.939999997615814
20130114,3216445.519999999552965,3460020.220000000204891,3056694.569999999366701,3486104.799999999813735,13219265.109999999403954
20130115,3240259.479999999981374,3495464.799999999813735,3042977.250000000000000,3481764.549999999813735,13260466.079999998211861
20130116,3235699.359999999869615,3530909.379999999888241,3041834.139999999664724,3476556.249999999534339,13284999.129999998956919
20130117,3295994.279999999795109,3502252.059999999590218,3066982.559999999590218,3469611.850000000093132,13334840.749999998137355
20130118,3317274.839999999850988,3503760.339999999850988,3033832.369999999646097,3434889.850000000093132,13289757.399999998509884
20130122,3331461.879999999888241,3509793.459999999962747,3049835.909999999683350,3451382.799999999813735,13342474.050000000745058
20130123,3367436.159999999683350,3486415.119999999646097,3046406.579999999608845,3451382.799999999813735,13351640.660000000149012
20130124,3412530.679999999701977,3496973.079999999608845,3069268.779999999795109,3462667.450000000186265,13441439.989999998360872
20130125,3436344.639999999664724,3556550.139999999664724,3086415.429999999701977,3468743.800000000279397,13548054.009999999776483
20130128,3424184.319999999832362,3517334.859999999869615,3068125.669999999459833,3393223.450000000186265,13402868.300000000745058
20130129,3404930.479999999981374,3553533.579999999608845,3166433.129999999422580,3400167.850000000093132,13525065.039999999105930
20130130,3406957.199999999720603,3554287.720000000204891,3144714.040000000037253,3363709.750000000000000,13469668.710000000894070
20130131,3390743.439999999944121,3548254.599999999627471,3118422.509999999776483,3427077.399999999906868,13484497.949999999254942
20130201,3409997.279999999795109,3608585.799999999813735,3158431.359999999403954,3440966.200000000186265,13617980.640000000596046
20130204,3362369.359999999869615,3595765.419999999925494,3105848.299999999813735,3399299.799999999813735,13463282.879999998956919
20130205,3363889.399999999906868,3679474.959999999962747,3144714.040000000037253,3461799.400000000372529,13649877.799999998882413
20130206,3378076.439999999944121,3665900.439999999944121,3122994.949999999720603,3490445.050000000279397,13657416.880000000819564
20130207,3359835.959999999962747,3637243.119999999646097,3081842.989999999757856,3408848.350000000093132,13487770.419999999925494
20130208,3395303.560000000055879,3667408.720000000204891,3072698.109999999403954,3424473.250000000465661,13559883.640000000596046
20130211,3363382.719999999739230,3669671.139999999664724,3102418.969999999739230,3392355.399999999906868,13527828.229999998584390
20130212,3411010.639999999664724,3705869.859999999869615,3085272.319999999366701,3402772.000000000465661,13604924.820000000298023
20130213,3417597.479999999981374,3671179.419999999925494,3086415.429999999701977,3358501.449999999720603,13533693.779999999329448
20130214,3412024.000000000000000,3711902.979999999981374,3093274.089999999385327,3384542.950000000186265,13601744.019999999552965
20130215,3421144.239999999757856,3686262.220000000204891,3119565.619999999646097,3428813.500000000000000,13655785.580000000074506
20130219,3422664.279999999795109,3729248.200000000186265,3167576.239999999757856,3420133.000000000000000,13739621.720000000670552
20130220,3366422.799999999813735,3665900.439999999944121,3151572.699999999720603,3372390.250000000000000,13556286.189999999478459
20130221,3262046.719999999739230,3638751.399999999906868,3133282.939999999944121,3416660.799999999813735,13450741.859999999403954
20130222,3322848.319999999832362,3688524.639999999664724,3129853.609999999403954,3460063.299999999813735,13601289.869999997317791
20130225,3238739.439999999944121,3597273.700000000186265,3068125.669999999459833,3382806.850000000093132,13286945.660000000149012
20130226,3423170.959999999962747,3589732.299999999813735,3089844.759999999776483,3425341.300000000279397,13528089.320000000298023
20130227,3448504.959999999962747,3716427.819999999832362,3133282.939999999944121,3469611.850000000093132,13767827.569999998435378
20130228,3470798.879999999888241,3689278.780000000260770,3128710.500000000000000,3442702.299999999813735,13731490.460000000894070
20130301,3497652.919999999925494,3688524.639999999664724,3130996.719999999739230,3430549.600000000093132,13747723.879999998956919
20130304,3561494.600000000093132,3702853.299999999813735,3165290.020000000018626,3461799.400000000372529,13891437.320000000298023
20130305,3570614.839999999850988,3732264.760000000242144,3208728.199999999720603,3478292.350000000093132,13989900.149999998509884
20130306,3571121.520000000018626,3772988.319999999832362,3214443.750000000000000,3495653.350000000093132,14054206.939999999478459
20130307,3559467.879999999888241,3818236.720000000204891,3231590.399999999441206,3483500.650000000372529,14092795.650000000372529
20130308,3616216.040000000037253,3785808.700000000186265,3222445.520000000018626,3486972.850000000093132,14111443.109999999403954
20130311,3613682.639999999664724,3806924.619999999646097,3229304.179999999701977,3498257.499999999534339,14148168.939999999478459
20130312,3584801.879999999888241,3791841.819999999832362,3193867.770000000018626,3467875.750000000465661,14038387.219999998807907
20130313,3585308.560000000055879,3782792.139999999664724,3203012.649999999441206,3458327.200000000186265,14029440.549999997019768
20130314,3558961.199999999720603,3846139.899999999906868,3213300.639999999664724,3486972.850000000093132,14105374.589999997988343
20130315,3498666.279999999795109,3772234.180000000167638,3203012.649999999441206,3440966.200000000186265,13914879.309999998658895
20130318,3513866.679999999701977,3733773.039999999571592,3205298.869999999646097,3430549.600000000093132,13883488.189999997615814
20130319,3485492.600000000093132,3710394.700000000186265,3199583.319999999366701,3385411.000000000000000,13780881.620000001043081
20130320,3490052.719999999739230,3704361.579999999608845,3233876.619999999646097,3457459.149999999906868,13885750.069999998435378
20130321,3493599.479999999981374,3646292.799999999813735,3213300.639999999664724,3424473.250000000465661,13777666.169999998062849
20130322,3524506.959999999962747,3678720.819999999832362,3244164.609999999403954,3473952.100000000093132,13921344.489999998360872
20130325,3519946.839999999850988,3659113.180000000167638,3219016.189999999944121,3559021.000000000000000,13957097.209999999031425
20130326,3549334.279999999795109,3668162.859999999869615,3269313.029999999795109,3634541.349999999627471,14121351.519999999552965
20130327,3529067.080000000074506,3602552.680000000167638,3273885.469999999739230,3660582.850000000093132,14066088.080000000074506
20130328,3535653.919999999925494,3579174.339999999850988,3299033.889999999664724,3685756.300000000279397,14099618.449999999254942
20130401,3530080.439999999944121,3607077.519999999552965,3296747.669999999459833,3631937.200000000186265,14065842.829999998211861
20130402,3598482.239999999757856,3641013.819999999832362,3341328.959999999962747,3644957.950000000186265,14225782.969999998807907
20130403,3565041.359999999869615,3533171.799999999813735,3318466.759999999776483,3575513.949999999720603,13992193.869999999180436
20130404,3581761.799999999813735,3581436.760000000242144,3333327.189999999944121,3612840.099999999627471,14109365.849999999627471
20130405,3549840.959999999962747,3613110.639999999664724,3326468.529999999795109,3584194.449999999720603,14073614.579999998211861
20130408,3608615.839999999850988,3663638.019999999552965,3333327.189999999944121,3608499.850000000093132,14214080.899999998509884
20130409,3607602.479999999981374,3671179.419999999925494,3327611.639999999664724,3575513.949999999720603,14181907.489999998360872
20130410,3632429.799999999813735,3714165.399999999906868,3420203.549999999813735,3624124.750000000000000,14390923.500000000000000
20130411,3643070.080000000074506,3718690.240000000223517,3502507.469999999739230,3638013.549999999813735,14502281.339999999850988
20130412,3730219.040000000037253,3696066.039999999571592,3505936.799999999813735,3597215.199999999720603,14529437.079999998211861
20130415,3659790.520000000018626,3614618.919999999925494,3480788.379999999422580,3499993.600000000093132,14255191.419999998062849
20130416,3671444.159999999683350,3656850.760000000242144,3536800.770000000018626,3574645.899999999906868,14439741.589999999850988
20130417,3688671.279999999795109,3528646.959999999962747,3528799.000000000000000,3520826.800000000279397,14266944.040000000968575
20130418,3672457.520000000018626,3517334.859999999869615,3496791.919999999459833,3502597.750000000000000,14189182.049999998882413
20130419,3749472.879999999888241,3561829.119999999646097,3550518.089999999385327,3558152.950000000186265,14419973.039999999105930
20130422,3742379.359999999869615,3570878.799999999813735,3535657.659999999683350,3548604.400000000372529,14397520.220000000670552
20130423,3718058.719999999739230,3632718.280000000260770,3552804.309999999590218,3595479.100000000093132,14499060.409999998286366
20130424,3712991.919999999925494,3674195.979999999981374,3497935.029999999795109,3625860.850000000093132,14510983.779999999329448
20130425,3717552.040000000037253,3695311.899999999906868,3459069.290000000037253,3662318.949999999720603,14534252.179999999701977
20130426,3716538.679999999701977,3686262.220000000204891,3439636.419999999459833,3629333.050000000279397,14471770.370000001043081
20130429,3732752.439999999944121,3689278.780000000260770,3478502.159999999683350,3644089.899999999906868,14544623.280000001192093
20130430,3716538.679999999701977,3696066.039999999571592,3323039.199999999720603,3656242.599999999627471,14391886.519999997690320
20130501,3686644.560000000055879,3620652.039999999571592,3303606.329999999608845,3603291.549999999813735,14214194.480000000447035
20130502,3715525.319999999832362,3625931.019999999552965,3345901.399999999441206,3806415.250000000000000,14493772.989999998360872
20130503,3747446.159999999683350,3587469.879999999888241,3310464.989999999757856,3896692.450000000186265,14542073.480000000447035
20130506,3813314.560000000055879,3633472.419999999925494,3283030.349999999627471,3881935.600000000093132,14611752.929999999701977
20130507,3803687.639999999664724,3705869.859999999869615,3318466.759999999776483,3901900.750000000465661,14729925.009999999776483
20130508,3821421.439999999944121,3752626.539999999571592,3284173.459999999962747,3890616.100000000093132,14748837.539999999105930
20130509,3844222.040000000037253,3698328.459999999962747,3269313.029999999795109,3875859.250000000000000,14687722.779999999329448
20130510,3851315.560000000055879,3692295.339999999850988,3283030.349999999627471,3879331.449999999720603,14705972.699999999254942
20130513,3884756.439999999944121,3745839.280000000260770,3357332.500000000000000,3882803.649999999906868,14870731.870000001043081
20130514,3917690.639999999664724,3788071.119999999646097,3360761.829999999608845,3913185.399999999906868,14979708.990000000223517
20130515,3946064.719999999739230,3852927.160000000149012,3379051.589999999385327,3944435.199999999720603,15122478.669999998062849
20130516,3888809.879999999888241,3843877.479999999981374,3343615.179999999701977,3901900.750000000465661,14978203.289999999105930
20130517,3894383.359999999869615,3944178.099999999627471,3310464.989999999757856,4005198.700000000186265,15154225.149999998509884
20130520,3889316.560000000055879,3943423.959999999962747,3280744.129999999422580,3940963.000000000000000,15054447.649999998509884
20130521,3988119.159999999683350,3998476.180000000167638,3289889.009999999776483,3940094.950000000186265,15216579.300000000745058
20130522,4037773.799999999813735,4044478.720000000204891,3349330.729999999981374,3909713.199999999720603,15341296.449999999254942
20130523,3998252.759999999776483,4023362.799999999813735,3327611.639999999664724,3865442.649999999906868,15214669.849999999627471
20130524,4002306.199999999720603,4046741.139999999664724,3319609.869999999646097,3915789.549999999813735,15284446.759999997913837
20130528,4044360.639999999664724,4117630.299999999813735,3316180.540000000037253,3907109.049999999813735,15385280.530000001192093
