代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13865576.820000000298023
真實報酬,3865576.820000000298023

夏普值報酬,0.377857682000000
夏普值風險,0.091935250667782
夏普值,4.110041352532219

預期報酬,15017.410317319930982
風險,213491.486354503722396
趨勢值,0.070341963390444
找到最佳解世代,1836
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
INTC[11](7),MRK[17](28),MSFT[18](1),NKE[19](3),V[25](2),
20171220,2712279.720000000204891,1757285.500000000000000,2287541.000000000000000,2408249.379999999888241,2166143.400000000372529,11331499.000000001862645
20171221,2666657.319999999832362,1772631.320000000065193,2287006.040000000037253,2452937.160000000149012,2171745.910000000149012,11350977.750000000000000
20171222,2663235.640000000130385,1765115.000000000000000,2287273.520000000018626,2396888.080000000074506,2177155.229999999981374,11289667.470000000670552
20171226,2627878.279999999795109,1764488.640000000130385,2284331.240000000223517,2410521.639999999664724,2182950.930000000167638,11270170.730000000447035
20171227,2629589.120000000111759,1764488.640000000130385,2292623.119999999646097,2384011.940000000409782,2202849.500000000000000,11273562.320000000298023
20171228,2635862.200000000186265,1772631.320000000065193,2292890.600000000093132,2384011.940000000409782,2209224.770000000018626,11294620.830000001937151
20171229,2632440.520000000018626,1762296.380000000121072,2288075.960000000428408,2368863.540000000037253,2202849.500000000000000,11254525.900000002235174
20180102,2671789.840000000316650,1760730.479999999981374,2299042.640000000130385,2404462.280000000260770,2212315.810000000055879,11348341.050000002607703
20180103,2581115.319999999832362,1758225.040000000037253,2309741.839999999850988,2404083.570000000298023,2234339.470000000204891,11287505.240000000223517
20180104,2533782.080000000074506,1786724.419999999925494,2330070.319999999832362,2402568.729999999515712,2242646.640000000130385,11295792.190000001341105
20180105,2551460.760000000242144,1784845.340000000083819,2358958.160000000149012,2423019.070000000298023,2296353.459999999962747,11414636.790000002831221
20180108,2551460.760000000242144,1774510.399999999906868,2361365.479999999981374,2444605.540000000037253,2305626.580000000074506,11437568.759999999776483
20180109,2487589.399999999906868,1778894.919999999925494,2359760.600000000093132,2427184.879999999888241,2301183.209999999962747,11354613.010000001639128
20180110,2423718.040000000037253,1794553.919999999925494,2349061.399999999906868,2432108.110000000335276,2298671.740000000223517,11298113.209999999031425
20180111,2475613.520000000018626,1803949.320000000065193,2356015.879999999888241,2434759.080000000074506,2315286.080000000074506,11385623.880000000819564
20180112,2465918.760000000242144,1837146.399999999906868,2396672.839999999850988,2449150.059999999590218,2320115.830000000074506,11469003.889999998733401
20180116,2460215.959999999962747,1943940.780000000027940,2363237.839999999850988,2401811.309999999590218,2325911.530000000260770,11495117.420000001788139
20180117,2531500.959999999962747,1942688.060000000055879,2411116.760000000242144,2416581.000000000000000,2356628.740000000223517,11658515.519999999552965
20180118,2536633.479999999981374,1914501.860000000102445,2410046.839999999850988,2427942.299999999813735,2378459.209999999962747,11667583.690000001341105
20180119,2556023.000000000000000,1919199.560000000055879,2407372.040000000037253,2545342.399999999441206,2370538.420000000391155,11798475.419999999925494
20180122,2609059.040000000037253,1918260.020000000018626,2450436.319999999832362,2514288.179999999701977,2402028.390000000130385,11894071.950000001117587
20180123,2626737.720000000204891,1932353.120000000111759,2458193.240000000223517,2542691.429999999701977,2408210.470000000204891,11968185.980000000447035
20180124,2595372.319999999832362,1916067.760000000009313,2456053.399999999906868,2575260.490000000223517,2406278.569999999832362,11949032.540000000968575
20180125,2583396.439999999944121,1919825.919999999925494,2469694.879999999888241,2564277.899999999441206,2419222.300000000279397,11956417.439999999478459
20180126,2855990.279999999795109,1943001.239999999990687,2515968.919999999925494,2576775.330000000074506,2440473.200000000186265,12332208.969999998807907
20180129,2850287.479999999981374,1930160.860000000102445,2512224.200000000186265,2559354.669999999925494,2411881.080000000074506,12263908.290000000968575
20180130,2782424.160000000149012,1899469.219999999972060,2480661.560000000055879,2549886.919999999925494,2386959.569999999832362,12099401.429999999701977
20180131,2745355.959999999962747,1855624.020000000018626,2541379.520000000018626,2583592.110000000335276,2400096.490000000223517,12126048.099999999627471
20180201,2717412.239999999757856,1874728.000000000000000,2521318.520000000018626,2562005.640000000596046,2428881.800000000279397,12104346.200000001117587
20180202,2631870.239999999757856,1834014.600000000093132,2454983.479999999981374,2545721.110000000335276,2335957.410000000149012,11802546.839999999850988
20180205,2538914.600000000093132,1766367.719999999972060,2353876.040000000037253,2438546.179999999701977,2246317.250000000000000,11344021.789999999105930
20180206,2561155.520000000018626,1736928.800000000046566,2442946.879999999888241,2469979.110000000335276,2317797.550000000279397,11528807.860000001266599
20180207,2577693.640000000130385,1750082.360000000102445,2396940.319999999832362,2485506.219999999739230,2311615.470000000204891,11521838.009999999776483
20180208,2437975.040000000037253,1714066.659999999916181,2273899.520000000018626,2366591.280000000260770,2199758.459999999962747,10992290.960000000894070
20180209,2506408.640000000130385,1718451.179999999934807,2358690.680000000167638,2480204.280000000260770,2247283.200000000186265,11311037.980000000447035
20180212,2556593.279999999795109,1735989.260000000009313,2384101.279999999795109,2498761.070000000298023,2288819.050000000279397,11464263.940000001341105
20180213,2535492.919999999925494,1719390.719999999972060,2402824.879999999888241,2494595.259999999776483,2286500.770000000018626,11438804.549999998882413
20180214,2587958.680000000167638,1719390.719999999972060,2429037.919999999925494,2573745.649999999441206,2334411.890000000130385,11644544.859999999403954
20180215,2618753.800000000279397,1753527.340000000083819,2478521.719999999739230,2586243.080000000074506,2362424.439999999944121,11799470.380000000819564
20180216,2598223.720000000204891,1762922.739999999990687,2460868.040000000037253,2586621.790000000037253,2354117.270000000018626,11762753.559999998658895
20180220,2641565.000000000000000,1721896.159999999916181,2480126.600000000093132,2555946.280000000260770,2357208.310000000055879,11756742.349999999627471
20180221,2619894.359999999869615,1708429.419999999925494,2447226.560000000055879,2539283.040000000037253,2326684.290000000037253,11641517.669999998062849
20180222,2611910.439999999944121,1709055.780000000027940,2453646.080000000074506,2542312.719999999739230,2325718.339999999850988,11642643.359999999403954
20180223,2721974.479999999981374,1718451.179999999934807,2515968.919999999925494,2581319.849999999627471,2374981.790000000037253,11912696.219999998807907
20180226,2800673.120000000111759,1755719.600000000093132,2552346.200000000186265,2637747.640000000596046,2407051.330000000074506,12153537.890000002458692
20180227,2846295.520000000018626,1713753.479999999981374,2519713.640000000130385,2576396.620000000111759,2383482.150000000372529,12039641.410000002011657
20180228,2810938.160000000149012,1698094.479999999981374,2508212.000000000000000,2538525.620000000111759,2375174.979999999981374,11930945.240000002086163
20180301,2728247.560000000055879,1681809.120000000111759,2483603.839999999850988,2511637.209999999962747,2326104.720000000204891,11731402.450000001117587
20180302,2793259.479999999981374,1702479.000000000000000,2488953.439999999944121,2495352.679999999701977,2333252.750000000000000,11813297.349999999627471
20180305,2837171.040000000037253,1703731.719999999972060,2504734.760000000242144,2463541.040000000037253,2354696.839999999850988,11863875.399999998509884
20180306,2891917.919999999925494,1700599.919999999925494,2496175.399999999906868,2470736.530000000260770,2338855.260000000242144,11898285.029999999329448
20180307,2926705.000000000000000,1705923.979999999981374,2510619.319999999832362,2430214.559999999590218,2354117.270000000018626,11927580.129999998956919
20180308,2893628.760000000242144,1715006.199999999953434,2525865.680000000167638,2465813.299999999813735,2361265.300000000279397,11961579.240000002086163
20180309,2976319.359999999869615,1726907.040000000037253,2582303.960000000428408,2510879.790000000037253,2405505.810000000055879,12201915.960000002756715
20180312,2938110.600000000093132,1733797.000000000000000,2588456.000000000000000,2530572.709999999962747,2400289.680000000167638,12191225.989999998360872
20180313,2952937.879999999888241,1734110.179999999934807,2525330.719999999739230,2505956.559999999590218,2380197.920000000391155,12098533.259999999776483
20180314,2957500.120000000111759,1716258.919999999925494,2510351.839999999850988,2507092.690000000409782,2368220.140000000130385,12059423.710000000894070
20180315,2901612.680000000167638,1730352.020000000018626,2519178.680000000167638,2514288.179999999701977,2384254.910000000149012,12049686.470000000670552
20180316,2918150.800000000279397,1743505.580000000074506,2530412.839999999850988,2496110.099999999627471,2405892.189999999944121,12094071.509999999776483
20180319,2898761.279999999795109,1710934.860000000102445,2484673.760000000242144,2488535.899999999441206,2380391.109999999869615,11963296.910000000149012
20180320,2939821.439999999944121,1711248.040000000037253,2491093.279999999795109,2529815.290000000037253,2413233.410000000149012,12085211.460000000894070
20180321,2940391.720000000204891,1712813.939999999944121,2473707.080000000074506,2512773.339999999850988,2380584.300000000279397,12020270.380000000819564
20180322,2898761.279999999795109,1694962.679999999934807,2401754.960000000428408,2439682.309999999590218,2318183.930000000167638,11753345.160000000149012
20180323,2814930.120000000111759,1672726.899999999906868,2331942.680000000167638,2447635.219999999739230,2260420.120000000111759,11527655.039999999105930
20180326,2992857.479999999981374,1692457.239999999990687,2508479.479999999981374,2495731.390000000596046,2330741.280000000260770,12020266.870000001043081
20180327,2919291.359999999869615,1683375.020000000018626,2393195.600000000093132,2505956.559999999590218,2268147.720000000204891,11769966.259999999776483
20180328,2828616.840000000316650,1725341.140000000130385,2391055.760000000242144,2478310.729999999515712,2260226.930000000167638,11683551.399999998509884
20180329,2970046.279999999795109,1705923.979999999981374,2441342.000000000000000,2516181.729999999515712,2311035.900000000372529,11944529.889999998733401
20180402,2789837.800000000279397,1668342.380000000121072,2367785.000000000000000,2428321.009999999776483,2287273.530000000260770,11541559.720000002533197
20180403,2837171.040000000037253,1694023.140000000130385,2399615.119999999646097,2526028.190000000409782,2302921.920000000391155,11759759.409999998286366
20180404,2850857.760000000242144,1708116.239999999990687,2469694.879999999888241,2591166.309999999590218,2314706.510000000242144,11934541.699999999254942
20180405,2873098.680000000167638,1707803.060000000055879,2471032.279999999795109,2635475.379999999888241,2341366.729999999981374,12028776.129999998956919
20180406,2782424.160000000149012,1671161.000000000000000,2413524.080000000074506,2558218.540000000037253,2273943.420000000391155,11699271.200000001117587
20180409,2825765.439999999944121,1758851.399999999906868,2427968.000000000000000,2544206.270000000484288,2295001.130000000353903,11851792.240000000223517
20180410,2923853.600000000093132,1769186.340000000083819,2484406.279999999795109,2537389.490000000223517,2332286.800000000279397,12047122.510000001639128
20180411,2914158.840000000316650,1760104.120000000111759,2457123.319999999832362,2530951.419999999925494,2314126.939999999944121,11976464.640000000596046
20180412,3006544.200000000186265,1777015.840000000083819,2503129.879999999888241,2566550.160000000149012,2339048.450000000186265,12192288.530000001192093
20180413,2957500.120000000111759,1790482.580000000074506,2489755.879999999888241,2546857.240000000223517,2332866.370000000111759,12117462.190000001341105
20180416,2988295.239999999757856,1836833.219999999972060,2518911.200000000186265,2539661.750000000000000,2354696.839999999850988,12238398.250000000000000
20180417,3053307.160000000149012,1856250.380000000121072,2569732.399999999906868,2556703.700000000186265,2391789.319999999832362,12427782.960000000894070
20180418,3057299.120000000111759,1845289.080000000074506,2579629.160000000149012,2507092.690000000409782,2391789.319999999832362,12381099.370000001043081
20180419,2978030.200000000186265,1836520.040000000037253,2570802.319999999832362,2489293.320000000298023,2394880.359999999869615,12269526.240000000223517
20180420,2938680.879999999888241,1842470.459999999962747,2541112.040000000037253,2502926.879999999888241,2399516.920000000391155,12224707.179999999701977
20180423,2914158.840000000316650,1886942.020000000018626,2550473.839999999850988,2532844.969999999739230,2404539.859999999869615,12288959.529999999329448
20180424,2934118.640000000130385,1881931.140000000130385,2490825.800000000279397,2536253.360000000335276,2342912.250000000000000,12186041.190000001341105
20180425,2930126.680000000167638,1867524.860000000102445,2469159.919999999925494,2524892.059999999590218,2341753.109999999869615,12133456.629999998956919
20180426,3025363.439999999944121,1860634.899999999906868,2521318.520000000018626,2577154.040000000037253,2455155.640000000130385,12439626.539999999105930
20180427,3007114.479999999981374,1862513.979999999981374,2563045.399999999906868,2634339.250000000000000,2434484.310000000055879,12501497.419999999925494
20180430,2943813.399999999906868,1843723.179999999934807,2501525.000000000000000,2590030.179999999701977,2451291.839999999850988,12330383.599999999627471
20180501,3041331.279999999795109,1815850.159999999916181,2541112.040000000037253,2579047.589999999850988,2463462.810000000055879,12440803.880000000819564
20180502,2983162.720000000204891,1794553.919999999925494,2501257.520000000018626,2585106.950000000186265,2441632.339999999850988,12305713.449999999254942
20180503,2981451.879999999888241,1801757.060000000055879,2516236.399999999906868,2533602.390000000596046,2457087.540000000037253,12290135.269999999552965
20180504,3009965.879999999888241,1808647.020000000018626,2545391.719999999739230,2579047.589999999850988,2476020.160000000149012,12419072.370000001043081
20180507,3041331.279999999795109,1797059.360000000102445,2573744.600000000093132,2626007.629999999888241,2497271.060000000055879,12535413.930000001564622
20180508,3058439.680000000167638,1777642.199999999953434,2562777.919999999925494,2592681.149999999441206,2509635.220000000204891,12501176.169999999925494
20180509,3098929.560000000055879,1814910.620000000111759,2593003.160000000149012,2573366.940000000409782,2527795.080000000074506,12608005.360000001266599
20180510,3135427.479999999981374,1818355.600000000093132,2618948.719999999739230,2572230.809999999590218,2527795.080000000074506,12672757.689999999478459
20180511,3117748.800000000279397,1869403.939999999944121,2613331.640000000130385,2591545.020000000484288,2546727.700000000186265,12738757.100000001490116
20180514,3130865.239999999757856,1869090.760000000009313,2622158.479999999981374,2607072.129999999888241,2534943.110000000335276,12764129.719999998807907
20180515,3074977.800000000279397,1854058.120000000111759,2603167.399999999906868,2632066.990000000223517,2532818.020000000018626,12697088.330000000074506
20180516,3116037.959999999962747,1871283.020000000018626,2598620.240000000223517,2701749.629999999888241,2528761.029999999795109,12816451.880000000819564
20180517,3125732.720000000204891,1849986.780000000027940,2572674.680000000167638,2686601.229999999515712,2510214.790000000037253,12745210.199999999254942
20180518,3125732.720000000204891,1852179.040000000037253,2577489.319999999832362,2700992.209999999962747,2510214.790000000037253,12766608.079999998211861
20180521,3097789.000000000000000,1834327.780000000027940,2610656.839999999850988,2703264.469999999739230,2524317.660000000149012,12770355.750000000000000
20180522,3105202.640000000130385,1830569.620000000111759,2607982.040000000037253,2700613.500000000000000,2525283.610000000335276,12769651.410000000149012
20180523,3148543.919999999925494,1853118.580000000074506,2639009.719999999739230,2701749.629999999888241,2547886.839999999850988,12890308.689999999478459
20180524,3122311.040000000037253,1851865.860000000102445,2629647.919999999925494,2733561.270000000484288,2548080.029999999795109,12885466.119999999180436
20180525,3161660.359999999869615,1850613.140000000130385,2630985.319999999832362,2736212.240000000223517,2536295.439999999944121,12915766.500000000000000
20180529,3154817.000000000000000,1829003.719999999972060,2621623.520000000018626,2685843.809999999590218,2505578.229999999981374,12796866.280000001192093
20180530,3175347.080000000074506,1870343.479999999981374,2646766.640000000130385,2735454.820000000298023,2523931.279999999795109,12951843.300000000745058
20180531,3147973.640000000130385,1864393.060000000055879,2643824.360000000335276,2719170.290000000037253,2525476.800000000279397,12900838.150000002235174
20180601,3255186.279999999795109,1896650.600000000093132,2695982.960000000428408,2755526.450000000186265,2527988.270000000018626,13131334.559999998658895
20180604,3240929.279999999795109,1942374.880000000121072,2719521.200000000186265,2796048.419999999925494,2570876.450000000186265,13269750.230000000447035
20180605,3223820.879999999888241,1922644.540000000037253,2733430.160000000149012,2804380.040000000037253,2580342.760000000242144,13264618.380000000819564
20180606,3252334.879999999888241,1939556.260000000009313,2741454.560000000055879,2830889.740000000223517,2632890.439999999944121,13397125.879999998956919
20180607,3186752.680000000167638,1941435.340000000083819,2698390.279999999795109,2831268.450000000186265,2585752.080000000074506,13243598.830000000074506
20180608,3139419.439999999944121,1959912.959999999962747,2718451.279999999795109,2836570.390000000596046,2603139.180000000167638,13257493.250000000000000
20180611,3109194.600000000093132,1952083.459999999962747,2702937.439999999944121,2824830.379999999888241,2587104.410000000149012,13176150.289999999105930
20180612,3126303.000000000000000,1955528.439999999944121,2709891.919999999925494,2813469.080000000074506,2605457.460000000428408,13210649.900000000372529
20180613,3138278.879999999888241,1960226.140000000130385,2697587.839999999850988,2806652.299999999813735,2596570.720000000204891,13199315.880000000819564
20180614,3167363.160000000149012,1927968.600000000093132,2712834.200000000186265,2828996.190000000409782,2608162.120000000111759,13245324.269999999552965
20180615,3142841.120000000111759,1942688.060000000055879,2678329.279999999795109,2872169.129999999888241,2610094.020000000018626,13246121.609999999403954
20180618,3035058.200000000186265,1910117.340000000083819,2697855.319999999832362,2863458.799999999813735,2631344.919999999925494,13137834.580000000074506
20180619,3018520.080000000074506,1911370.060000000055879,2697855.319999999832362,2812332.950000000186265,2610287.210000000428408,13050365.620000001043081
20180620,3018520.080000000074506,1919199.560000000055879,2724870.800000000279397,2829753.610000000335276,2617821.620000000111759,13110165.670000001788139
20180621,2976319.359999999869615,1916067.760000000009313,2705344.760000000242144,2800214.229999999515712,2599082.189999999944121,12997028.299999998882413
20180622,2993998.040000000037253,1925149.979999999981374,2685818.719999999739230,2780900.020000000484288,2614537.390000000130385,13000404.150000000372529
20180625,2891917.919999999925494,1912935.959999999962747,2631787.760000000242144,2739999.339999999850988,2529533.790000000037253,12706174.769999999552965
20180626,2832608.800000000279397,1901661.479999999981374,2650243.879999999888241,2747952.250000000000000,2560830.570000000298023,12693296.980000000447035
20180627,2780713.319999999832362,1875354.360000000102445,2609051.960000000428408,2702128.339999999850988,2531272.500000000465661,12498520.480000000447035
20180628,2808657.040000000037253,1888507.919999999925494,2638207.279999999795109,2715383.190000000409782,2564501.180000000167638,12615256.609999999403954
20180629,2834889.919999999925494,1901035.120000000111759,2637672.319999999832362,3017593.770000000484288,2558898.669999999925494,12950089.799999998882413
