代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13834549.820000000298023
真實報酬,3834549.820000000298023

夏普值報酬,0.374754982000000
夏普值風險,0.102257516846018
夏普值,3.664815981834513

預期報酬,17203.310755504924600
風險,174010.027888606564375
趨勢值,0.098863904363705
找到最佳解世代,2185
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](1),HD[9](2),KO[14](10),WMT[28](8),
20120309,3027520.640000000130385,3358933.600000000558794,2543911.000000000000000,2648095.360000000335276,11578460.600000001490116
20120312,3034688.040000000037253,3393151.280000000726432,2567330.200000000186265,2674540.960000000428408,11669710.480000000447035
20120313,3154383.619999999646097,3431558.880000000353903,2570989.450000000651926,2688645.280000000260770,11845577.230000000447035
20120314,3116396.399999999441206,3454603.440000000409782,2569525.750000000465661,2692171.360000000335276,11832696.949999999254942
20120315,3115679.659999999683350,3435748.800000000745058,2573916.850000000558794,2698782.760000000242144,11824128.070000002160668
20120316,3095610.939999999944121,3425274.000000000000000,2567330.200000000186265,2681593.120000000577420,11769808.260000001639128
20120319,3113529.439999999944121,3409910.960000000428408,2576112.400000000372529,2677185.520000000484288,11776738.320000000298023
20120320,3099194.640000000130385,3448318.560000000521541,2583430.900000000372529,2671014.880000000353903,11801958.980000002309680
20120321,3101344.860000000335276,3476949.680000000167638,2602459.000000000465661,2669251.840000000316650,11850005.380000000819564
20120322,3102778.339999999850988,3469268.160000000149012,2613436.750000000465661,2673218.680000000167638,11858701.929999999701977
20120323,3128580.979999999981374,3459491.680000000167638,2615632.300000000745058,2677626.280000000260770,11881331.240000002086163
20120326,3180903.000000000000000,3500692.560000000521541,2631001.150000000372529,2697460.480000000447035,12010057.190000001341105
20120327,3164417.979999999981374,3494407.680000000167638,2630269.300000000279397,2692612.120000000577420,11981707.080000001937151
20120328,3118546.619999999646097,3485329.520000000018626,2658811.450000000186265,2697019.720000000204891,11959707.310000000521541
20120329,3082709.619999999646097,3485329.520000000018626,2701258.750000000000000,2680711.600000000093132,11950009.490000000223517
20120330,3137898.600000000093132,3513262.320000000763685,2708577.250000000000000,2697460.480000000447035,12057198.650000002235174
20120402,3142199.040000000037253,3490916.080000000540167,2712968.350000000558794,2704512.640000000130385,12050596.110000003129244
20120403,3102778.339999999850988,3491614.400000000372529,2699063.200000000651926,2673218.680000000167638,11966674.620000001043081
20120404,3076975.699999999720603,3481139.600000000558794,2688085.450000000186265,2656029.040000000037253,11902229.789999999105930
20120405,3087726.799999999813735,3534910.240000000223517,2688817.300000000745058,2674100.200000000186265,11985554.539999999105930
20120409,3018203.020000000018626,3532116.960000000428408,2666861.800000000279397,2650299.160000000149012,11867480.940000001341105
20120410,2937928.140000000130385,3446921.920000000391155,2635392.250000000000000,2641483.960000000428408,11661726.270000001415610
20120411,2965164.259999999776483,3474156.400000000372529,2639051.500000000465661,2635754.080000000074506,11714126.240000000223517
20120412,3021069.979999999981374,3535608.560000000521541,2642710.750000000465661,2650739.920000000391155,11850129.210000000894070
20120413,2999567.779999999795109,3558653.120000000577420,2632464.850000000093132,2634431.800000000279397,11825117.550000000745058
20120416,2985949.719999999739230,3609630.479999999981374,2650761.100000000093132,2670133.360000000335276,11916474.660000000149012
20120417,3059057.199999999720603,3633373.360000000335276,2706381.700000000186265,2726991.400000000372529,12125803.660000002011657
20120418,3045439.140000000130385,3618010.320000000763685,2714432.050000000745058,2735365.840000000316650,12113247.350000001490116
20120419,3016052.799999999813735,3600552.320000000763685,2701258.750000000000000,2721702.280000000260770,12039566.150000002235174
20120420,3035404.779999999795109,3593569.120000000577420,2712968.350000000558794,2752555.480000000447035,12094497.730000000447035
20120423,3011035.619999999646097,3568429.600000000558794,2696867.650000000372529,2624294.320000000298023,11900627.190000001341105
20120424,3023220.199999999720603,3577507.760000000242144,2712236.500000000465661,2546279.800000000279397,11859244.260000001639128
20120425,3060490.680000000167638,3624993.520000000018626,2742242.350000000093132,2528208.640000000130385,11955935.190000001341105
20120426,3107795.520000000018626,3622200.240000000223517,2770052.650000000372529,2598289.480000000447035,12098337.890000000596046
20120427,3107078.779999999795109,3627786.800000000745058,2804449.600000000558794,2601815.560000000521541,12141130.740000000223517
20120430,3089877.020000000018626,3616613.680000000167638,2792740.000000000000000,2596526.439999999944121,12095757.139999998733401
20120501,3138615.339999999850988,3653624.640000000596046,2815427.350000000093132,2603578.600000000093132,12211245.929999999701977
20120502,3120696.839999999850988,3680859.120000000577420,2823477.700000000186265,2600934.040000000037253,12225967.699999999254942
20120503,3140048.819999999832362,3664099.440000000409782,2833723.600000000093132,2600052.520000000484288,12237924.379999998956919
20120504,3076975.699999999720603,3628485.120000000577420,2817622.900000000372529,2587270.480000000447035,12110354.200000001117587
20120507,3140765.560000000055879,3588680.880000000353903,2827868.800000000279397,2608867.720000000204891,12166182.960000000894070
20120508,3175169.079999999608845,3534910.240000000223517,2822745.850000000558794,2602697.080000000074506,12135522.250000001862645
20120509,3226774.360000000335276,3499295.920000000391155,2809572.550000000279397,2601815.560000000521541,12137458.390000002458692
20120510,3245409.600000000093132,3534910.240000000223517,2832991.750000000465661,2608867.720000000204891,12222179.310000000521541
20120511,3265478.319999999832362,3515357.280000000726432,2835187.300000000745058,2619005.200000000186265,12235028.100000001490116
20120514,3237525.459999999962747,3483234.560000000521541,2813231.800000000279397,2603578.600000000093132,12137570.419999999925494
20120515,3226057.619999999646097,3398737.840000000316650,2801522.200000000651926,2615919.880000000353903,12042237.540000000968575
20120516,3231074.799999999813735,3405721.040000000502914,2793471.850000000558794,2608867.720000000204891,12039135.410000002011657
20120517,3177319.299999999813735,3283515.040000000502914,2748829.000000000465661,2718616.960000000428408,11928280.300000000745058
20120518,3140048.819999999832362,3285610.000000000000000,2710040.950000000651926,2751673.960000000428408,11887373.730000002309680
20120521,3181619.739999999757856,3324715.920000000391155,2726873.500000000000000,2778560.320000000298023,12011769.480000000447035
20120522,3181619.739999999757856,3370106.720000000204891,2715163.900000000372529,2808972.760000000242144,12075863.119999999180436
20120523,3181619.739999999757856,3370106.720000000204891,2715163.900000000372529,2808972.760000000242144,12075863.119999999180436
20120524,3185203.439999999944121,3471363.120000000577420,2764929.700000000651926,2868034.600000000093132,12289530.860000001266599
20120525,3189503.879999999888241,3452508.479999999981374,2753220.100000000093132,2878612.840000000316650,12273845.299999998882413
20120529,3259744.399999999441206,3476251.360000000335276,2761270.450000000186265,2894920.960000000428408,12392187.170000001788139
20120530,3239675.680000000167638,3471363.120000000577420,2746633.450000000651926,2884342.720000000204891,12342014.970000002533197
20120531,3276229.419999999925494,3445525.280000000726432,2734923.850000000093132,2901091.600000000093132,12357770.150000000372529
20120601,3182336.479999999981374,3349157.120000000577420,2674912.150000000372529,2889191.080000000074506,12095596.830000000074506
20120604,3183053.219999999739230,3405022.720000000204891,2694672.100000000558794,2908584.520000000018626,12191332.559999998658895
20120605,3213873.040000000037253,3416195.840000000316650,2680035.100000000093132,2886987.280000000260770,12197091.260000001639128
20120606,3263328.100000000093132,3533513.600000000558794,2730532.750000000465661,2905939.960000000428408,12433314.410000002011657
20120607,3270495.500000000000000,3578206.080000000540167,2718091.300000000279397,2903295.400000000372529,12470088.280000001192093
20120608,3314216.640000000130385,3655719.600000000558794,2753220.100000000093132,3006874.000000000000000,12730030.339999999850988
20120611,3282680.079999999608845,3585887.600000000558794,2731996.450000000186265,2976461.560000000521541,12577025.689999999478459
20120612,3324251.000000000000000,3648038.080000000540167,2751756.400000000372529,2984836.000000000000000,12708881.480000000447035
20120613,3313499.899999999441206,3559351.440000000409782,2733460.150000000372529,2956186.600000000093132,12562498.089999999850988
20120614,3381590.199999999720603,3642451.520000000018626,2771516.350000000093132,2980869.160000000149012,12776427.230000000447035
20120615,3375139.540000000037253,3622200.240000000223517,2784689.650000000372529,2986158.280000000260770,12768187.710000000894070
20120618,3375856.279999999795109,3653624.640000000596046,2780298.550000000745058,3002466.400000000372529,12812245.870000001043081
20120619,3405242.619999999646097,3699015.440000000409782,2771516.350000000093132,2988802.840000000316650,12864577.250000000000000
20120620,3421010.899999999441206,3689238.960000000428408,2764929.700000000651926,3020096.800000000279397,12895276.360000001266599
20120621,3397358.479999999981374,3579602.720000000204891,2732728.300000000745058,2983954.480000000447035,12693643.980000000447035
20120622,3402375.659999999683350,3632675.040000000502914,2742242.350000000093132,2966324.080000000074506,12743617.130000000819564
20120625,3347186.680000000167638,3597759.040000000502914,2736387.550000000279397,3005110.960000000428408,12686444.230000002309680
20120626,3390191.079999999608845,3622898.560000000521541,2747365.300000000279397,3022741.360000000335276,12783196.300000000745058
20120627,3431045.259999999776483,3599854.000000000000000,2793471.850000000558794,3023182.120000000577420,12847553.230000000447035
20120628,3427461.560000000055879,3609630.479999999981374,2801522.200000000651926,3010400.080000000074506,12849014.320000000298023
20120629,3476199.879999999888241,3700412.080000000540167,2861533.900000000372529,3072988.000000000000000,13111133.860000001266599
20120702,3491968.159999999683350,3701808.720000000204891,2887880.500000000465661,3056679.879999999888241,13138337.260000001639128
20120703,3482650.540000000037253,3606837.200000000186265,2896662.700000000186265,3118386.280000000260770,13104536.720000002533197
20120705,3448247.020000000018626,3638959.920000000391155,2871047.950000000186265,3132931.360000000335276,13091186.250000000000000
20120706,3443229.839999999850988,3641753.200000000186265,2860070.200000000186265,3145272.640000000130385,13090325.880000000819564
20120709,3440362.879999999888241,3639658.240000000223517,2853483.550000000745058,3162903.040000000502914,13096407.710000002756715
20120710,3394491.520000000018626,3646641.440000000409782,2853483.550000000745058,3178329.640000000130385,13072946.150000002235174
20120711,3388040.860000000335276,3608233.840000000316650,2834455.450000000186265,3184941.040000000502914,13015671.190000003203750
20120712,3398075.219999999739230,3599854.000000000000000,2804449.600000000558794,3187144.840000000316650,12989523.660000000149012
20120713,3453980.939999999944121,3637563.280000000726432,2827868.800000000279397,3225490.960000000428408,13144903.980000002309680
20120716,3430328.520000000018626,3592870.800000000745058,2798594.800000000745058,3216675.760000000242144,13038469.880000000819564
20120717,3537122.779999999795109,3541893.440000000409782,2843237.650000000372529,3221964.879999999888241,13144218.750000000000000
20120718,3537122.779999999795109,3555161.520000000018626,2833723.600000000093132,3210945.879999999888241,13136953.780000001192093
20120719,3511320.140000000130385,3558653.120000000577420,2838114.700000000651926,3152765.560000000521541,13060853.520000001415610
20120720,3482650.540000000037253,3540496.800000000745058,2819086.600000000558794,3184500.280000000260770,13026734.220000002533197
20120723,3438929.399999999441206,3558653.120000000577420,2813231.800000000279397,3166869.879999999888241,12977684.199999999254942
20120724,3451830.719999999739230,3573317.840000000316650,2805181.450000000186265,3179651.920000000391155,13009981.930000001564622
20120725,3461865.079999999608845,3566334.640000000596046,2818354.750000000000000,3177007.360000000335276,13023561.830000001937151
20120726,3562925.419999999925494,3694825.520000000018626,2884953.100000000558794,3247088.200000000186265,13389792.239999998360872
20120727,3579410.439999999944121,3750691.120000000577420,2928132.250000000000000,3284552.800000000279397,13542786.610000001266599
20120730,3569376.079999999608845,3718568.400000000372529,2968384.000000000465661,3304827.760000000242144,13561156.240000000223517
20120731,3522071.239999999757856,3643848.160000000149012,2956674.400000000372529,3280585.960000000428408,13403179.760000001639128
20120801,3522071.239999999757856,3608932.160000000149012,2964724.750000000000000,3244884.400000000372529,13340612.550000000745058
20120802,3510603.399999999441206,3588680.880000000353903,2918618.200000000651926,3263837.080000000074506,13281739.560000000521541
20120803,3567225.860000000335276,3651529.680000000167638,2958138.100000000558794,3285875.080000000074506,13462768.720000000670552
20120806,3558624.979999999981374,3631278.400000000372529,2950819.600000000558794,3273974.560000000521541,13414697.540000000968575
20120807,3570092.819999999832362,3659211.200000000186265,2919350.050000000279397,3261192.520000000018626,13409846.589999999850988
20120808,3618831.140000000130385,3686445.680000000167638,2911299.700000000651926,3275296.840000000316650,13491873.360000001266599
20120809,3580843.919999999925494,3711585.200000000186265,2899590.100000000093132,3255021.879999999888241,13447041.100000001490116
20120810,3558624.979999999981374,3705300.320000000763685,2883489.400000000372529,3247528.960000000428408,13394943.660000002011657
20120813,3573676.520000000018626,3688540.640000000596046,2876170.900000000372529,3235187.680000000633299,13373575.740000002086163
20120814,3561491.939999999944121,3820523.120000000577420,2882025.700000000651926,3262074.040000000502914,13526114.800000002607703
20120815,3575826.739999999757856,3840774.400000000372529,2879830.150000000372529,3281467.480000000447035,13577898.770000001415610
20120816,3601629.379999999888241,3932254.320000000763685,2894467.150000000372529,3180092.680000000633299,13608443.530000001192093
20120817,3616680.919999999925494,3961583.760000000242144,2893003.450000000651926,3173040.520000000018626,13644308.650000000372529
20120820,3615964.180000000167638,3950410.640000000596046,2888612.350000000093132,3186704.080000000074506,13641691.250000000000000
20120821,3557908.239999999757856,3932952.640000000596046,2873243.500000000000000,3148357.960000000428408,13512462.340000001713634
20120822,3559341.719999999739230,3955298.880000000353903,2837382.850000000558794,3163343.800000000279397,13515367.250000000000000
20120823,3524221.459999999962747,3949014.000000000000000,2789080.750000000465661,3154087.840000000316650,13416404.050000000745058
20120824,3552174.319999999832362,3977645.120000000577420,2815427.350000000093132,3178329.640000000130385,13523576.430000001564622
20120827,3557191.500000000000000,3957393.840000000316650,2793471.850000000558794,3195519.280000000260770,13503576.470000002533197
20120828,3557191.500000000000000,3947617.360000000335276,2781030.400000000372529,3191552.439999999944121,13477391.700000001117587
20120829,3586577.839999999850988,3969265.280000000726432,2741510.500000000465661,3207419.800000000279397,13504773.420000001788139
20120830,3542139.959999999962747,3953902.240000000223517,2718091.300000000279397,3184500.280000000260770,13398633.780000001192093
20120831,3545723.659999999683350,3962980.400000000372529,2737119.400000000372529,3199926.879999999888241,13445750.339999999850988
20120904,3559341.719999999739230,3965773.680000000167638,2728337.200000000651926,3240036.040000000502914,13493488.640000002458692
20120905,3640333.339999999850988,3948315.680000000167638,2745169.750000000000000,3241799.080000000074506,13575617.849999999627471
20120906,3717024.520000000018626,4025829.200000000186265,2792008.150000000372529,3297334.840000000316650,13832196.710000000894070
20120907,3708423.640000000130385,3998594.720000000204891,2773711.900000000372529,3253699.600000000093132,13734429.860000001266599
20120910,3692655.360000000335276,4001388.000000000000000,2756147.500000000000000,3240036.040000000502914,13690226.900000000372529
20120911,3695522.319999999832362,3960885.440000000409782,2764197.850000000558794,3264277.840000000316650,13684883.449999999254942
20120912,3705556.680000000167638,3983930.000000000000000,2748097.150000000372529,3264718.600000000093132,13702302.429999999701977
20120913,3770063.279999999795109,4071220.000000000000000,2806645.150000000372529,3311879.920000000391155,13959808.349999999627471
20120914,3752144.779999999795109,4152225.120000000577420,2789812.600000000093132,3283671.280000000260770,13977853.780000001192093
20120917,3737809.979999999981374,4113817.520000000018626,2806645.150000000372529,3261192.520000000018626,13919465.169999999925494
20120918,3719891.479999999981374,4110325.920000000391155,2826405.100000000093132,3259429.480000000447035,13916051.980000000447035
20120919,3777230.680000000167638,4152923.440000000409782,2819086.600000000558794,3277941.400000000372529,14027182.120000002905726
20120920,3774363.719999999739230,4139655.360000000335276,2827868.800000000279397,3294690.280000000260770,14036578.160000000149012
20120921,3780097.640000000130385,4149431.840000000316650,2783225.950000000651926,3281467.480000000447035,13994222.910000002011657
20120924,3792998.959999999962747,4147336.880000000353903,2789812.600000000093132,3294249.520000000018626,14024397.959999999031425
20120925,3765762.839999999850988,4170381.440000000409782,2757611.200000000186265,3273093.040000000502914,13966848.520000001415610
20120926,3722758.439999999944121,4131973.840000000316650,2763466.000000000000000,3270007.720000000204891,13888206.000000001862645
20120927,3768629.799999999813735,4181554.560000000521541,2803717.750000000465661,3260751.760000000242144,14014653.870000001043081
20120928,3747127.600000000093132,4215772.240000000223517,2775907.450000000186265,3252818.080000000074506,13991625.369999999180436
20121001,3732076.060000000055879,4229738.640000000596046,2808840.700000000651926,3263837.080000000074506,14034492.480000002309680
20121002,3701256.239999999757856,4212978.959999999962747,2805913.300000000745058,3250614.280000000260770,13970762.780000001192093
20121003,3760745.659999999683350,4313537.040000000968575,2798594.800000000745058,3270448.480000000447035,14143325.980000002309680
20121004,3772213.500000000000000,4311442.080000000074506,2805181.450000000186265,3293368.000000000000000,14182205.030000001192093
20121005,3796582.659999999683350,4413396.800000000745058,2823477.700000000186265,3311439.160000000149012,14344896.320000000298023
20121008,3750711.299999999813735,4321218.560000000521541,2823477.700000000186265,3316728.280000000260770,14212135.839999999850988
20121009,3691938.619999999646097,4256274.800000000745058,2822014.000000000465661,3267803.920000000391155,14038031.339999999850988
20121010,3670436.419999999925494,4171778.080000000540167,2787617.050000000745058,3324221.200000000186265,13954052.750000000000000
20121011,3608080.040000000037253,4120800.720000000204891,2789080.750000000465661,3306150.040000000502914,13824111.550000000745058
20121012,3625998.540000000037253,4159208.320000000763685,2797862.950000000186265,3341410.840000000316650,13924480.650000002235174
20121015,3640333.339999999850988,4235325.200000000186265,2790544.450000000651926,3400472.680000000633299,14066675.670000001788139
20121016,3672586.640000000130385,4249989.919999999925494,2773711.900000000372529,3389894.439999999944121,14086182.900000000372529
20121017,3747844.339999999850988,4287000.880000000819564,2762002.300000000745058,3395183.560000000521541,14192031.080000001937151
20121018,3757161.959999999962747,4315632.000000000000000,2769320.800000000745058,3374467.840000000316650,14216582.600000001490116
20121019,3719891.479999999981374,4321916.880000000819564,2737119.400000000372529,3333036.400000000372529,14111964.160000002011657
20121022,3712007.339999999850988,4332391.680000000633299,2724677.950000000186265,3334358.680000000633299,14103435.650000002235174
20121023,3638183.119999999646097,4312140.400000000372529,2679303.250000000465661,3295131.040000000502914,13924757.810000000521541
