代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11857764.980000000447035
真實報酬,1857764.980000000447035

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16755.457563513406058
風險,118969.251930110665853
起點值,0.140838555271042
找到最佳解世代,3712
找到最佳解實驗#,2
找到最佳解次數,31

stock[index](rank)
投資組合檔數,10
AXP[1](3),BA[2](12),JNJ[12](1),JPM[13](11),MCD[15](14),MMM[16](5),MRK[17](8),PG[21](15),UNH[23](18),V[25](9),
FS( 40 ),1057871.399999999906868,997794.250000000232831,1074391.319999999832362,1095385.660000000149012,1064134.880000000121072,1097271.000000000000000,1033622.709999999846332,1097850.690000000176951,980014.849999999976717,1020849.399999999906868,10519186.160000000149012
FS( 41 ),1061616.020000000018626,1002724.750000000116415,1082719.759999999776483,1095161.750000000000000,1061693.760000000009313,1094844.500000000000000,1031203.809999999939464,1102318.099999999860302,981298.300000000046566,1017245.800000000046566,10530826.550000000745058
FS( 42 ),1070466.939999999944121,1000259.500000000116415,1089777.759999999776483,1099416.040000000037253,1054925.199999999953434,1089675.000000000000000,1048378.000000000000000,1105056.190000000176951,977631.299999999930151,1026512.200000000069849,10562098.130000000819564
FS( 43 ),1091402.770000000018626,1020630.250000000116415,1096271.120000000111759,1108148.530000000260770,1063136.239999999990687,1102018.500000000000000,1046200.989999999874271,1110388.260000000009313,980931.599999999976717,1031402.800000000046566,10650531.060000000521541
FS( 44 ),1100423.900000000139698,1026079.750000000116415,1092459.799999999813735,1120239.669999999925494,1074232.239999999990687,1104234.000000000000000,1056602.259999999776483,1112549.909999999916181,982948.449999999953434,1036550.800000000046566,10706320.779999999329448
FS( 45 ),1098892.010000000009313,1051640.500000000000000,1097541.560000000055879,1133674.270000000018626,1077339.120000000111759,1102968.000000000000000,1046684.769999999902211,1108226.610000000102445,986432.099999999976717,1032947.200000000069849,10736346.139999998733401
FS( 46 ),1101274.949999999953434,1053976.000000000000000,1103752.600000000093132,1124046.140000000130385,1095314.639999999897555,1115311.500000000000000,1039428.069999999832362,1112261.690000000176951,986615.450000000069849,1033976.800000000046566,10765957.839999999850988
FS( 47 ),1114891.750000000000000,1076163.250000000000000,1107281.600000000093132,1130315.620000000111759,1097311.919999999925494,1116366.500000000000000,1056118.479999999981374,1114711.559999999823049,993949.449999999953434,1037322.999999999883585,10844433.130000000819564
FS( 48 ),1111317.340000000083819,1091992.750000000000000,1108975.520000000018626,1125837.419999999925494,1095869.439999999944121,1109192.500000000000000,1089499.299999999813735,1112117.580000000074506,1005317.149999999906868,1028314.000000000116415,10878432.999999998137355
FS( 49 ),1111487.550000000046566,1099648.000000000000000,1108834.359999999869615,1123150.500000000000000,1102748.959999999962747,1108770.500000000000000,1078614.250000000000000,1106785.510000000009313,998899.899999999906868,1025482.600000000093132,10864422.130000000819564
FS( 50 ),1112849.229999999981374,1097961.250000000000000,1116598.159999999683350,1141958.939999999944121,1101972.239999999990687,1118582.000000000000000,1070873.770000000018626,1115288.000000000000000,1003483.649999999906868,1033976.800000000046566,10913544.040000000968575
FS( 51 ),1124934.140000000130385,1121446.000000000000000,1117868.600000000093132,1120015.760000000242144,1105966.800000000046566,1122591.000000000000000,1066519.750000000000000,1100156.449999999953434,1003483.649999999906868,1020334.599999999976717,10903316.750000000000000
FS( 52 ),1119657.630000000121072,1105227.250000000000000,1112504.520000000018626,1108596.350000000093132,1093761.199999999953434,1112146.500000000000000,1055392.810000000055879,1097562.469999999972060,1008434.099999999976717,1017245.800000000046566,10830528.630000000819564
FS( 53 ),1108593.979999999981374,1109509.000000000000000,1113210.319999999832362,1101655.140000000130385,1091874.880000000121072,1109720.000000000000000,1057086.040000000037253,1111252.919999999925494,1011551.050000000046566,1003861.000000000000000,10818314.330000000074506
FS( 54 ),1123402.250000000000000,1107692.500000000000000,1121538.759999999776483,1099863.859999999869615,1095980.399999999906868,1114784.000000000000000,1067245.419999999925494,1118026.089999999850988,1006233.900000000023283,1025225.199999999953434,10879992.379999998956919
FS( 55 ),1113359.859999999869615,1094198.500000000000000,1115327.720000000204891,1082622.790000000037253,1093317.360000000102445,1107188.000000000000000,1059263.049999999813735,1112694.019999999785796,1009534.200000000069849,1015444.000000000116415,10802949.500000000000000
FS( 56 ),1127146.869999999878928,1100556.250000000000000,1125632.399999999906868,1092250.919999999925494,1101528.399999999906868,1122802.000000000000000,1061923.839999999850988,1113558.679999999934807,998533.199999999953434,1030115.800000000046566,10874048.359999999403954
FS( 57 ),1125104.349999999860302,1100945.500000000000000,1124785.439999999944121,1086429.260000000242144,1090099.520000000018626,1109614.500000000000000,1056844.149999999906868,1105056.190000000176951,1005867.199999999953434,1055341.000000000000000,10860087.109999999403954
FS( 58 ),1143316.820000000065193,1123911.250000000000000,1141301.159999999683350,1089116.180000000167638,1092984.479999999981374,1119109.500000000000000,1073776.449999999720603,1115432.110000000102445,1020351.849999999976717,1077734.800000000046566,10997034.599999999627471
FS( 59 ),1142976.400000000139698,1118461.750000000000000,1147229.879999999888241,1069636.010000000242144,1097422.880000000121072,1110880.500000000000000,1066761.640000000130385,1110532.370000000111759,1038136.799999999930151,1085456.800000000046566,10987495.030000001192093
FS( 60 ),1148252.909999999916181,1113920.500000000000000,1150900.040000000037253,1062694.800000000279397,1106188.719999999972060,1121641.500000000000000,1069180.540000000037253,1110532.370000000111759,1048954.450000000186265,1092921.399999999906868,11025187.229999998584390
FS( 61 ),1144848.710000000195578,1106135.500000000000000,1156546.439999999944121,1070979.470000000204891,1099087.280000000027940,1114678.500000000000000,1072808.890000000130385,1119755.409999999916181,1081224.049999999813735,1076962.600000000093132,11043026.849999999627471
FS( 62 ),1151316.689999999944121,1091084.500000000000000,1167274.600000000093132,1081055.419999999925494,1112513.439999999944121,1123857.000000000000000,1086354.729999999981374,1137913.269999999785796,1132012.000000000000000,1080823.600000000093132,11164205.250000000000000
FS( 63 ),1127657.500000000000000,1094587.750000000000000,1158522.679999999701977,1049036.290000000037253,1101306.479999999981374,1114995.000000000000000,1097239.779999999795109,1125808.030000000027940,1130728.549999999813735,1060231.599999999860302,11060113.659999998286366
FS( 64 ),1135827.580000000074506,1102243.000000000000000,1163322.120000000111759,1063366.530000000260770,1116618.959999999962747,1116472.000000000000000,1096272.219999999739230,1131860.650000000139698,1137329.149999999906868,1071299.800000000046566,11134612.010000001639128
FS( 65 ),1111487.550000000046566,1118072.500000000000000,1158099.200000000186265,1072770.750000000000000,1125384.800000000046566,1116050.000000000000000,1091676.310000000055879,1127393.239999999990687,1138612.600000000093132,1062805.600000000093132,11122352.549999998882413
FS( 66 ),1116593.849999999860302,1125598.000000000000000,1144971.319999999832362,1087772.720000000204891,1126272.479999999981374,1115733.500000000000000,1100142.459999999962747,1135463.400000000139698,1134762.250000000000000,1070012.800000000046566,11157322.779999999329448
FS( 67 ),1110125.869999999878928,1131566.500000000000000,1150758.879999999888241,1090011.819999999832362,1121390.239999999990687,1117843.500000000000000,1100868.129999999888241,1127825.570000000065193,1140079.399999999906868,1060231.599999999860302,11150701.509999999776483
FS( 68 ),1113189.650000000139698,1139481.250000000000000,1157816.879999999888241,1102774.689999999944121,1126161.520000000018626,1136200.500000000000000,1133039.500000000000000,1141948.349999999860302,1144296.449999999720603,1074646.000000000000000,11269554.789999999105930
FS( 69 ),1118976.789999999804422,1148693.500000000000000,1162051.679999999701977,1104118.149999999906868,1131709.520000000018626,1142108.500000000000000,1141989.429999999701977,1148145.080000000074506,1154747.399999999906868,1078764.399999999906868,11331304.449999999254942
FS( 70 ),1117955.530000000027940,1153364.500000000000000,1167980.399999999906868,1097400.850000000093132,1149463.120000000111759,1136095.000000000000000,1139570.529999999795109,1154053.589999999850988,1155664.149999999906868,1066666.599999999860302,11338214.269999999552965
FS( 71 ),1091062.349999999860302,1125857.500000000000000,1153440.919999999925494,1073218.569999999832362,1133484.880000000121072,1115839.000000000000000,1123847.679999999701977,1147856.860000000102445,1129261.750000000000000,1037837.800000000046566,11131707.310000000521541
FS( 72 ),1099402.640000000130385,1127414.500000000000000,1177861.600000000093132,1085757.530000000260770,1143360.320000000065193,1119953.500000000000000,1135942.179999999701977,1154341.809999999823049,1151630.450000000186265,1059974.199999999953434,11255638.730000000447035
FS( 73 ),1091572.979999999981374,1124819.500000000000000,1184354.959999999962747,1047692.830000000074506,1137812.320000000065193,1112885.000000000000000,1131104.379999999888241,1139354.370000000111759,1137329.149999999906868,1044015.400000000023283,11150940.890000000596046
FS( 74 ),1107062.090000000083819,1117423.750000000000000,1174191.439999999944121,1044334.180000000051223,1130821.839999999850988,1107610.000000000000000,1126266.580000000074506,1151027.280000000027940,1094425.250000000000000,1038610.000000000000000,11091772.410000000149012
FS( 75 ),1144508.289999999804422,1141297.750000000000000,1192683.399999999906868,1057544.870000000111759,1108740.800000000046566,1115311.500000000000000,1148762.350000000093132,1173508.440000000176951,1100842.500000000000000,1055083.600000000093132,11238283.500000000000000
FS( 76 ),1134636.109999999869615,1128063.250000000000000,1197482.839999999850988,1060231.790000000037253,1102083.199999999953434,1116261.000000000000000,1159163.620000000111759,1173076.110000000102445,1085807.799999999813735,1052252.199999999953434,11209057.919999998062849
FS( 77 ),1148082.699999999953434,1144152.250000000000000,1206234.759999999776483,1078592.410000000149012,1106965.439999999944121,1133035.500000000000000,1176337.810000000055879,1189504.650000000139698,1073340.000000000000000,1066151.800000000046566,11322397.320000002160668
FS( 78 ),1147572.070000000065193,1178536.000000000000000,1191271.799999999813735,1090907.459999999962747,1120946.399999999906868,1138099.500000000000000,1159889.290000000037253,1111397.030000000027940,1077923.750000000000000,1075160.800000000046566,11291704.100000001490116
FS( 79 ),1159656.979999999981374,1189435.000000000000000,1202988.080000000074506,1097176.939999999944121,1120058.719999999972060,1106555.000000000000000,1145375.890000000130385,1103615.089999999850988,1088008.000000000000000,1085971.599999999860302,11298841.299999998882413
FS( 80 ),1153189.000000000000000,1204745.500000000000000,1201576.479999999981374,1094490.020000000018626,1119503.919999999925494,1095055.500000000000000,1157954.169999999925494,1111108.809999999823049,1090574.899999999906868,1076190.400000000139698,11304388.700000001117587
FS( 81 ),1151146.479999999981374,1192419.250000000000000,1208069.839999999850988,1095385.660000000149012,1133817.760000000009313,1095477.500000000000000,1156744.719999999739230,1119467.190000000176951,1100292.449999999720603,1080566.199999999953434,11333387.049999998882413
FS( 82 ),1164422.859999999869615,1186061.500000000000000,1203129.240000000223517,1097400.850000000093132,1133373.919999999925494,1104761.500000000000000,1136909.739999999757856,1106353.179999999934807,1098825.649999999906868,1084169.800000000046566,11315408.240000000223517
FS( 83 ),1162210.130000000121072,1183077.250000000000000,1189013.240000000223517,1075009.850000000093132,1124940.959999999962747,1103073.500000000000000,1105222.149999999906868,1109523.599999999860302,1094975.299999999813735,1068468.399999999906868,11215514.380000000819564
FS( 84 ),1180933.229999999981374,1196441.500000000000000,1202141.120000000111759,1076577.220000000204891,1132486.239999999990687,1118793.000000000000000,1106189.709999999962747,1120620.070000000065193,1090574.899999999906868,1128700.000000000000000,11353456.990000000223517
FS( 85 ),1195401.080000000074506,1216293.250000000000000,1210469.560000000055879,1065157.810000000055879,1142028.800000000046566,1137677.500000000000000,1104738.370000000111759,1126816.799999999813735,1080307.299999999813735,1155469.600000000093132,11434360.069999998435378
FS( 86 ),1192507.510000000009313,1222132.000000000000000,1195365.439999999944121,1078816.319999999832362,1132597.199999999953434,1137783.000000000000000,1088047.959999999962747,1120475.959999999962747,1103776.100000000093132,1151093.800000000046566,11422595.290000000968575
FS( 87 ),1195571.289999999804422,1229917.000000000000000,1207364.040000000037253,1100311.680000000167638,1135038.320000000065193,1139576.500000000000000,1095062.770000000018626,1123214.049999999813735,1109276.600000000093132,1157014.000000000000000,11492346.249999998137355
FS( 88 ),1196762.760000000009313,1220185.750000000000000,1206375.919999999925494,1114194.100000000093132,1120169.679999999934807,1141581.000000000000000,1088289.850000000093132,1130419.549999999813735,1146129.949999999720603,1153667.800000000046566,11517776.359999999403954
FS( 89 ),1195060.659999999916181,1227581.500000000000000,1201999.959999999962747,1098072.580000000074506,1106188.719999999972060,1159727.000000000000000,1100384.350000000093132,1127105.019999999785796,1136962.449999999720603,1149292.000000000000000,11502374.239999998360872
FS( 90 ),1192847.929999999934807,1222780.750000000000000,1210610.720000000204891,1096281.300000000279397,1111847.679999999934807,1165635.000000000000000,1111511.290000000037253,1135031.070000000065193,1153463.949999999720603,1150321.599999999860302,11550331.289999999105930
FS( 91 ),1187911.840000000083819,1229527.750000000000000,1211881.159999999683350,1112178.910000000149012,1113844.959999999962747,1165846.000000000000000,1116832.870000000111759,1132581.199999999953434,1143929.750000000000000,1151351.199999999953434,11565885.639999998733401
FS( 92 ),1217187.960000000195578,1247044.000000000000000,1227691.080000000074506,1124717.870000000111759,1122943.679999999934807,1166795.500000000000000,1128443.589999999850988,1145262.879999999888241,1131828.649999999906868,1160360.199999999953434,11672275.409999998286366
FS( 93 ),1238804.630000000121072,1258851.250000000000000,1237148.799999999813735,1143974.130000000353903,1131265.679999999934807,1176396.000000000000000,1130378.709999999962747,1162700.190000000176951,1129628.450000000186265,1169626.599999999860302,11778774.439999999478459
FS( 94 ),1229443.080000000074506,1253142.250000000000000,1234466.759999999776483,1141287.209999999962747,1122056.000000000000000,1171859.500000000000000,1121670.669999999925494,1155782.909999999916181,1139346.000000000000000,1157014.000000000000000,11726068.379999998956919
FS( 95 ),1247995.969999999972060,1283503.750000000000000,1243501.000000000000000,1171067.240000000223517,1126716.320000000065193,1175235.500000000000000,1112478.850000000093132,1153188.929999999934807,1152180.500000000000000,1187644.600000000093132,11853512.660000000149012
FS( 96 ),1266378.650000000139698,1280908.750000000000000,1242371.720000000204891,1170843.330000000074506,1126716.320000000065193,1178717.000000000000000,1093611.429999999701977,1139786.699999999953434,1147046.700000000186265,1168597.000000000000000,11814977.600000001490116
FS( 97 ),1278463.560000000055879,1281298.000000000000000,1250559.000000000000000,1187188.760000000242144,1133373.919999999925494,1181776.500000000000000,1144892.109999999869615,1135607.510000000009313,1152730.549999999813735,1168339.600000000093132,11914229.509999999776483
FS( 98 ),1267059.489999999990687,1270658.500000000000000,1248723.919999999925494,1200847.270000000018626,1128935.520000000018626,1168905.500000000000000,1129894.929999999701977,1135895.729999999748543,1141912.899999999906868,1159330.600000000093132,11852164.359999999403954
FS( 99 ),1271314.739999999990687,1294273.000000000000000,1231078.919999999925494,1194577.790000000037253,1121057.360000000102445,1164896.500000000000000,1144892.109999999869615,1134166.409999999916181,1143379.700000000186265,1146203.199999999953434,11845839.730000000447035
FS( 100 ),1281186.919999999925494,1297516.750000000000000,1225573.679999999701977,1201519.000000000000000,1112846.320000000065193,1163419.500000000000000,1140779.979999999981374,1179993.389999999897555,1137879.200000000186265,1161132.399999999906868,11901847.140000002458692
FS( 101 ),1296335.609999999869615,1298944.000000000000000,1236725.319999999832362,1222566.540000000037253,1123387.520000000018626,1177345.500000000000000,1151906.919999999925494,1165294.169999999925494,1161348.000000000000000,1158558.399999999906868,11992411.980000000447035
FS( 102 ),1290718.679999999934807,1285709.500000000000000,1209057.959999999962747,1224133.910000000149012,1099087.280000000027940,1172492.500000000000000,1133765.169999999925494,1137048.610000000102445,1161531.350000000093132,1146460.600000000093132,11860005.559999998658895
FS( 103 ),1295995.189999999944121,1304523.250000000000000,1213857.399999999906868,1245405.359999999869615,1077117.199999999953434,1175552.000000000000000,1138602.969999999739230,1139786.699999999953434,1185550.199999999720603,1164993.399999999906868,11941383.669999998062849
FS( 104 ),1288676.159999999916181,1284801.250000000000000,1188307.439999999944121,1222342.630000000353903,1071569.199999999953434,1163419.500000000000000,1129653.040000000037253,1106209.070000000065193,1148330.149999999906868,1146460.600000000093132,11749769.040000000968575
FS( 105 ),1301612.119999999878928,1307118.250000000000000,1195788.919999999925494,1220103.530000000260770,1086992.639999999897555,1167006.500000000000000,1171983.790000000037253,1119178.969999999972060,1151447.100000000093132,1159588.000000000000000,11880819.820000000298023
FS( 106 ),1294633.510000000009313,1292456.500000000000000,1187178.159999999683350,1210027.580000000074506,1091542.000000000000000,1160782.000000000000000,1195930.899999999906868,1114999.780000000027940,1143379.700000000186265,1159588.000000000000000,11850518.129999998956919
FS( 107 ),1272506.210000000195578,1277924.500000000000000,1181249.439999999944121,1187412.669999999925494,1069904.800000000046566,1145695.500000000000000,1178756.709999999962747,1104767.969999999972060,1132195.350000000093132,1140540.400000000139698,11690953.550000000745058
FS( 108 ),1297697.289999999804422,1294402.750000000000000,1192259.919999999925494,1197936.439999999944121,1072789.760000000009313,1146539.500000000000000,1175612.140000000130385,1107073.729999999748543,1135312.299999999813735,1154182.600000000093132,11773806.430000001564622
FS( 109 ),1328335.090000000083819,1329824.500000000000000,1198612.120000000111759,1215177.510000000242144,1090543.360000000102445,1172281.500000000000000,1165694.649999999906868,1120475.959999999962747,1147230.049999999813735,1158043.600000000093132,11926218.340000001713634
FS( 110 ),1332420.130000000121072,1326580.750000000000000,1201858.799999999813735,1217192.700000000186265,1104413.360000000102445,1169116.500000000000000,1172225.679999999701977,1125087.479999999748543,1167581.899999999906868,1173230.199999999953434,11989707.500000000000000
FS( 111 ),1302463.169999999925494,1320223.000000000000000,1195506.600000000093132,1197712.530000000260770,1089988.560000000055879,1162892.000000000000000,1150455.580000000074506,1125808.030000000027940,1172165.649999999906868,1156241.800000000046566,11873456.920000001788139
