天數,二次加權,一次
Day 250,17163352.509999997913837,19069368.780000001192093
Day 251,17259128.829999998211861,19249460.940000001341105
Day 252,17127364.179999999701977,19103737.590000003576279
result_train_2010(2010 Q1).csv,252
Day 1,10000000.000000000000000,10000000.000000000000000
Day 2,9880785.460000000894070,9923542.719999998807907
Day 3,9877279.150000002235174,9788149.620000001043081
Day 4,9852734.980000000447035,9859828.320000000298023
Day 5,9670406.859999999403954,9850271.160000000149012
Day 6,9866760.220000000670552,9926728.439999999478459
Day 7,9971949.520000001415610,9980885.679999999701977
Day 8,10000000.000000000000000,9969735.660000000149012
Day 9,10017531.550000000745058,9979292.820000000298023
Day 10,9870266.530000001192093,9920357.000000000000000
Day 11,9891304.390000000596046,10111500.199999999254942
Day 12,9730014.130000000819564,10036635.779999999329448
Day 13,9533660.770000001415610,10066900.120000001043081
Day 14,9509116.600000001490116,10097164.460000000894070
Day 15,9530154.460000000894070,10049378.660000000149012
Day 16,9491585.050000000745058,10164064.580000000074506
Day 17,9558204.940000001341105,10151321.699999999254942
Day 18,9498597.669999999925494,10007964.299999998882413
Day 19,9512622.910000000149012,9944249.900000000372529
Day 20,9533660.770000001415610,10176807.460000000894070
Day 21,9652875.310000000521541,10199107.500000000000000
Day 22,9621318.520000001415610,10387064.979999998584390
Day 23,9368864.200000001117587,10203886.080000000074506
Day 24,9309256.930000001564622,10093978.740000000223517
Day 25,9232118.109999999403954,10022300.040000000968575
Day 26,9470547.190000001341105,10125835.939999999478459
Day 27,9431977.780000001192093,10074864.419999999925494
Day 28,9505610.290000000968575,10160878.859999999403954
Day 29,9463534.570000000298023,10129021.660000000149012
Day 30,9610799.590000001713634,10195921.780000001192093
Day 31,9701963.650000002235174,10235743.280000001192093
Day 32,9803646.640000000596046,10270786.200000001117587
Day 33,9768583.540000000968575,10312200.559999998658895
Day 34,9708976.270000001415610,10316979.139999998733401
Day 35,9614305.900000002235174,10332907.740000000223517
Day 36,9670406.859999999403954,10395029.280000001192093
Day 37,9312763.240000000223517,10254857.599999999627471
Day 38,9242637.040000000968575,10170436.019999999552965
Day 39,9340813.720000000670552,10191143.199999999254942
Day 40,9344320.030000001192093,10205478.939999999478459
Day 41,9456521.950000001117587,10135393.099999999627471
Day 42,9551192.320000000298023,10103535.900000000372529
Day 43,9589761.730000000447035,10141764.540000000968575
Day 44,9547686.010000001639128,10372729.240000000223517
Day 45,9498597.669999999925494,10369543.519999999552965
Day 46,9502103.980000000447035,10344057.759999999776483
Day 47,9396914.680000001564622,10387064.979999998584390
Day 48,9354838.960000000894070,10438036.500000000000000
Day 49,9407433.609999999403954,10501750.900000000372529
Day 50,9414446.230000000447035,10524050.939999999478459
Day 51,9438990.400000002235174,10573429.599999999627471
Day 52,9460028.260000001639128,10621215.400000000372529
Day 53,9600280.660000000149012,10597322.500000000000000
Day 54,9561711.250000000000000,10673779.780000001192093
Day 55,9694951.030000001192093,10727937.019999999552965
Day 56,9575736.490000000223517,10640329.719999998807907
Day 57,9607293.280000001192093,10656258.320000000298023
Day 58,9582749.109999999403954,10713601.280000001192093
Day 59,9603786.970000000670552,10683336.939999999478459
Day 60,9621318.520000001415610,10710415.559999998658895
Day 61,9642356.380000000819564,10627586.839999999850988
Day 62,9694951.030000001192093,10764572.799999998882413
Day 63,9617812.210000000894070,10836251.500000000000000
Day 64,9519635.530000001192093,10801208.580000000074506
Day 65,9435484.090000001713634,10783687.120000001043081
Day 66,9424965.160000000149012,10952530.280000001192093
Day 67,9572230.180000001564622,10939787.400000000372529
Day 68,9600280.660000000149012,10915894.500000000000000
Day 69,9645862.690000001341105,10978016.040000000968575
Day 70,9635343.760000001639128,11057659.040000000968575
Day 71,9512622.910000000149012,11016244.679999999701977
Day 72,9638850.070000000298023,10995537.500000000000000
Day 73,9698457.340000001713634,11137302.040000000968575
Day 74,9551192.320000000298023,11204202.160000000149012
Day 75,9502103.980000000447035,11207387.879999998956919
Day 76,9523141.840000001713634,11314109.500000000000000
Day 77,9446003.020000001415610,11333223.820000000298023
Day 78,9421458.850000001490116,11312516.639999998733401
Day 79,9270687.520000001415610,11234466.500000000000000
Day 80,9354838.960000000894070,11204202.160000000149012
Day 81,9421458.850000001490116,11392159.639999998733401
Day 82,9372370.510000001639128,11244023.660000000149012
Day 83,9424965.160000000149012,11376231.040000000968575
Day 84,9323282.169999999925494,11251987.960000000894070
Day 85,9407433.609999999403954,11255173.679999999701977
Day 86,9169004.530000001192093,11057659.040000000968575
Day 87,9235624.419999999925494,10833065.780000001192093
Day 88,9474053.500000000000000,11242430.799999998882413
Day 89,9400420.990000000223517,11226502.200000001117587
Day 90,9470547.190000001341105,11256766.540000000968575
Day 91,9379383.130000000819564,11229687.919999999925494
Day 92,9351332.650000002235174,11084737.660000000149012
Day 93,9365357.890000000596046,11172344.960000000894070
Day 94,9309256.930000001564622,11153230.639999998733401
Day 95,9312763.240000000223517,11054473.320000000298023
Day 96,9035764.750000000000000,10777315.679999999701977
Day 97,9046283.680000001564622,10809172.879999998956919
Day 98,9021739.510000001639128,10777315.679999999701977
Day 99,8874474.490000000223517,10805987.160000000149012
Day 100,8779804.120000001043081,10514493.780000001192093
Day 101,8983170.100000001490116,10704044.120000001043081
Day 102,9011220.580000000074506,10651479.740000000223517
Day 103,8993689.030000001192093,10570243.879999998956919
Day 104,9190042.390000000596046,10794837.139999998733401
Day 105,9249649.660000000149012,10807580.019999999552965
Day 106,8990182.720000000670552,10624401.120000001043081
Day 107,8906031.280000001192093,10632365.419999999925494
Day 108,9039271.060000000521541,10892001.599999999627471
Day 109,9004207.960000000894070,10872887.280000001192093
Day 110,9197055.010000001639128,11049694.740000000223517
Day 111,9056802.609999999403954,11076773.360000001266599
Day 112,9032258.440000001341105,11038544.719999998807907
Day 113,9147966.669999999925494,11213759.320000000298023
Day 114,9186536.080000000074506,11196237.860000001266599
Day 115,9179523.460000000894070,11158009.219999998807907
Day 116,9172510.840000001713634,11130930.599999999627471
Day 117,9200561.320000000298023,11137302.040000000968575
Day 118,9197055.010000001639128,10933415.960000000894070
Day 119,9158485.600000001490116,10931823.099999999627471
Day 120,9081346.780000001192093,10788465.700000001117587
Day 121,8811360.910000000149012,10739087.040000000968575
Day 122,8955119.620000001043081,10724751.299999998882413
Day 123,8825386.150000002235174,10586172.479999998584390
Day 124,8786816.740000000223517,10492193.740000000223517
Day 125,8772791.500000000000000,10625993.979999998584390
Day 126,8776297.810000000521541,10535200.960000000894070
Day 127,8842917.700000001117587,10530422.379999998956919
Day 128,9025245.820000000298023,10721565.580000000074506
Day 129,9190042.390000000596046,10993944.639999998733401
Day 130,9186536.080000000074506,11025801.839999999850988
Day 131,9197055.010000001639128,11140487.759999999776483
Day 132,9242637.040000000968575,11283845.160000000149012
Day 133,9260168.590000001713634,11293402.320000000298023
Day 134,9267181.210000000894070,11361895.299999998882413
Day 135,9183029.770000001415610,11140487.759999999776483
Day 136,9165498.220000000670552,11135709.179999999701977
Day 137,9333801.100000001490116,11288623.740000000223517
Day 138,9481066.120000001043081,11167566.379999998956919
Day 139,9512622.910000000149012,11373045.320000000298023
Day 140,9600280.660000000149012,11134116.320000000298023
Day 141,9631837.450000001117587,11288623.740000000223517
Day 142,9652875.310000000521541,11213759.320000000298023
Day 143,9621318.520000001415610,11113409.139999998733401
Day 144,9642356.380000000819564,11051287.599999999627471
Day 145,9663394.240000000223517,11107037.700000001117587
Day 146,9891304.390000000596046,11189866.419999999925494
Day 147,9884291.770000001415610,11221723.620000001043081
Day 148,9915848.560000000521541,11259952.259999999776483
Day 149,9884291.770000001415610,11221723.620000001043081
Day 150,9950911.660000000149012,11427202.559999998658895
Day 151,10014025.240000000223517,11615160.040000000968575
Day 152,9989481.070000000298023,11602417.160000000149012
Day 153,9824684.500000000000000,11400123.939999999478459
Day 154,9765077.230000000447035,11478174.080000000074506
Day 155,9772089.850000001490116,11451095.460000000894070
Day 156,9796634.020000001415610,11435166.860000001266599
Day 157,9838709.740000000223517,11662945.839999999850988
Day 158,9789621.400000002235174,11667724.419999999925494
Day 159,9691444.720000000670552,11623124.339999999850988
Day 160,9694951.030000001192093,11640645.799999998882413
Day 161,9747545.680000001564622,11682060.160000000149012
Day 162,9758064.609999999403954,11583302.839999999850988
Day 163,9712482.580000000074506,11658167.259999999776483
Day 164,9670406.859999999403954,11653388.679999999701977
Day 165,9845722.359999999403954,11785596.059999998658895
Day 166,9740533.060000000521541,11586488.559999998658895
Day 167,9796634.020000001415610,11637460.080000000074506
Day 168,10049088.340000001713634,11873203.360000001266599
Day 169,10059607.270000001415610,11949660.639999998733401
Day 170,10091164.060000000521541,11960810.660000000149012
Day 171,10105189.300000000745058,12073903.719999998807907
Day 172,10140252.400000002235174,12118503.799999998882413
Day 173,10220897.530000001192093,11846124.740000000223517
Day 174,10259466.940000001341105,11948067.780000001192093
Day 175,10175315.500000000000000,11877981.939999999478459
Day 176,10098176.680000001564622,11777631.759999999776483
Day 177,10066619.890000000596046,11900281.979999998584390
Day 178,10084151.440000001341105,11914617.719999998807907
Day 179,10091164.060000000521541,11838160.439999999478459
Day 180,10164796.570000000298023,11963996.379999998956919
Day 181,10189340.740000000223517,12027710.780000001192093
Day 182,10210378.600000001490116,11967182.099999999627471
Day 183,10147265.020000001415610,11889131.960000000894070
Day 184,10276998.490000000223517,11962403.519999999552965
Day 185,10273492.180000001564622,11908246.280000001192093
Day 186,10361149.930000001564622,11887539.099999999627471
Day 187,10301542.660000000149012,11858867.620000001043081
Day 188,10259466.940000001341105,11868424.780000001192093
Day 189,10364656.240000000223517,11933732.040000000968575
Day 190,10322580.520000001415610,11938510.620000001043081
Day 191,10459326.609999999403954,12077089.439999999478459
Day 192,10476858.160000000149012,12010189.320000000298023
Day 193,10420757.200000001117587,12083460.879999998956919
Day 194,10417250.890000000596046,12121689.519999999552965
Day 195,10441795.060000000521541,12040453.660000000149012
Day 196,10448807.680000001564622,12038860.799999998882413
Day 197,10508414.950000001117587,12065939.419999999925494
Day 198,10504908.640000000596046,12271418.360000001266599
Day 199,10508414.950000001117587,12341504.200000001117587
Day 200,10518933.880000000819564,12316018.439999999478459
Day 201,10578541.150000002235174,12263454.059999998658895
Day 202,10722299.859999999403954,12330354.179999999701977
Day 203,10778400.820000000298023,12494418.759999999776483
Day 204,10802944.990000000223517,12511940.219999998807907
Day 205,10697755.690000001341105,12535833.120000001043081
Day 206,10736325.100000001490116,12545390.280000001192093
Day 207,10729312.480000000447035,12341504.200000001117587
Day 208,10732818.790000000968575,12341504.200000001117587
Day 209,10750350.340000001713634,12387697.139999998733401
Day 210,10820476.540000000968575,12405218.599999999627471
Day 211,10845020.710000000894070,12488047.320000000298023
Day 212,10862552.260000001639128,12503975.919999999925494
Day 213,10950210.010000001639128,12612290.400000000372529
Day 214,10971247.870000001043081,12631404.719999998807907
Day 215,10950210.010000001639128,12632997.580000000074506
Day 216,10981766.800000000745058,12599547.519999999552965
Day 217,10967741.560000000521541,12663261.919999999925494
Day 218,11009817.280000001192093,12695119.120000001043081
Day 219,11030855.140000000596046,12559726.019999999552965
Day 220,11037867.760000001639128,12594768.939999999478459
Day 221,10883590.120000001043081,12331947.040000000968575
Day 222,10960728.940000001341105,12483268.740000000223517
Day 223,11192145.400000002235174,12586804.639999998733401
Day 224,11276296.839999999850988,12685561.960000000894070
Day 225,11269284.220000000670552,12666447.639999998733401
Day 226,11153575.990000000223517,12585211.780000001192093
Day 227,11328891.490000002086163,12660076.200000001117587
Day 228,11241233.740000002086163,12510347.360000001266599
Day 229,11115006.580000000074506,12465747.280000001192093
Day 230,11076437.169999999925494,12472118.719999998807907
Day 231,11342916.730000000447035,12629811.860000001266599
Day 232,11377979.830000001937151,12644147.599999999627471
Day 233,11307853.630000000819564,12704676.280000001192093
Day 234,11220195.880000000819564,12676004.799999998882413
Day 235,11244740.050000000745058,12797062.160000000149012
Day 236,11290322.080000001937151,12542204.559999998658895
Day 237,11367460.900000002235174,12362211.379999998956919
Day 238,11335904.109999999403954,12354247.080000000074506
Day 239,11367460.900000002235174,12282568.379999998956919
Day 240,11202664.330000000074506,12282568.379999998956919
Day 241,11349929.349999999627471,12261861.200000001117587
Day 242,11455118.650000002235174,12218853.979999998584390
Day 243,11518232.230000000447035,12234782.580000000074506
Day 244,11451612.339999999850988,12252304.040000000968575
Day 245,11479662.820000002160668,12242746.879999998956919
Day 246,11500700.679999999701977,12266639.780000001192093
Day 247,11497194.370000001043081,12258675.479999998584390
Day 248,11406030.310000000521541,12174253.900000000372529
Day 249,11458624.960000000894070,12174253.900000000372529
Day 250,11476156.509999999776483,12263454.059999998658895
Day 251,11483169.130000000819564,12226818.280000001192093
Day 252,11532257.470000000670552,12226818.280000001192093
result_train_2011(2011 Q1).csv,252
Day 1,10000000.000000000000000,10000000.000000000000000
Day 2,9701045.080000001937151,9855946.859999999403954
Day 3,9746736.880000000819564,9858790.580000001937151
Day 4,9687990.280000001192093,9883999.500000000000000
Day 5,9708877.960000000894070,9869694.880000000819564
Day 6,9603134.080000001937151,9806991.359999999403954
Day 7,9647520.400000002235174,9816979.800000000745058
Day 8,9608356.000000000000000,9859099.240000000223517
Day 9,9486946.360000001266599,9788901.859999999403954
Day 10,9668408.080000001937151,9919637.080000001937151
Day 11,9749347.840000001713634,9982143.260000001639128
Day 12,9836815.000000000000000,10196742.919999999925494
Day 13,9812010.880000000819564,10188070.080000001937151
Day 14,9792428.680000001564622,10168108.380000000819564
Day 15,9840731.440000001341105,10332275.019999999552965
Day 16,9853786.240000002086163,10400165.040000000968575
Day 17,9813316.360000001266599,10366369.300000000745058
Day 18,9706267.000000000000000,10313861.679999999701977
Day 19,9566580.640000000596046,10180960.780000001192093
Day 20,9617494.360000001266599,10301004.220000000670552
Day 21,9591384.760000001639128,10340836.540000000968575
Day 22,9613577.920000001788139,10343118.600000001490116
Day 23,9638382.040000000968575,10363318.120000001043081
Day 24,9667102.600000001490116,10393612.339999999850988
Day 25,9588773.800000000745058,10382247.580000000074506
Day 26,9838120.480000000447035,10548620.380000000819564
Day 27,9912532.840000001713634,10538363.760000001639128
Day 28,9890339.680000001564622,10508282.060000000521541
Day 29,9939947.920000001788139,10524949.700000001117587
Day 30,9953002.720000000670552,10510118.839999999850988
Day 31,9941253.400000002235174,10491361.420000001788139
Day 32,9924282.160000000149012,10501860.919999999925494
Day 33,9919060.240000002086163,10527727.640000000596046
Day 34,9938642.440000001341105,10557859.940000001341105
Day 35,9882506.800000000745058,10431815.339999999850988
Day 36,9815927.320000000298023,10338519.060000000521541
Day 37,9818538.280000001192093,10359826.720000000670552
Day 38,9718016.320000000298023,10360757.759999999776483
Day 39,9879895.840000001713634,10428136.720000000670552
Day 40,9776762.920000001788139,10311817.440000001341105
Day 41,9750653.320000000298023,10305204.019999999552965
Day 42,9953002.720000000670552,10518933.359999999403954
Day 43,9925587.640000000596046,10449287.519999999552965
Day 44,9959530.120000001043081,10401844.960000000894070
Day 45,9861619.120000001043081,10432559.160000000149012
Day 46,9892950.640000000596046,10569594.080000001937151
Day 47,10010443.840000001713634,10498157.000000000000000
Day 48,10016971.240000002086163,10515320.520000001415610
Day 49,9878590.360000001266599,10410872.000000000000000
Day 50,9806788.960000000894070,10294623.560000000521541
Day 51,9579635.440000001341105,9976956.760000001639128
Day 52,9582246.400000002235174,10018266.600000001490116
