代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15101108.080000000074506
真實報酬,5101108.080000000074506

夏普值報酬,0.501410808000000
夏普值風險,0.130045713421946
夏普值,3.855650407892534

二次趨勢線,-36.324174548980537 x^2 + 32519.002110301797074 x + 10000000.000000000000000
二次平均預期報酬,23365.310123958704935
風險,327610.243875071464572
二次平均趨勢值,0.071320450324101
一次趨勢線,25667.381766647326003 x + 10000000.000000000000000
一次預期報酬,25667.381766647326003
一次風險,416466.079654904082417
一次趨勢值,0.061631386133334
找到最佳解世代,1840
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](4),INTC[11](3),MSFT[18](1),V[25](2),
FS( 10 ),2631041.080000000074506,2575463.160000000149012,2689966.139999999664724,2593194.399999999906868,10489664.779999999329448
FS( 11 ),2621474.200000000186265,2579946.120000000111759,2688132.489999999757856,2613279.399999999906868,10502832.210000000894070
FS( 12 ),2654706.520000000018626,2582187.600000000093132,2708669.369999999646097,2631222.000000000000000,10576785.490000000223517
FS( 13 ),2647153.720000000204891,2596383.640000000130385,2721871.649999999906868,2627472.799999999813735,10592881.809999998658895
FS( 14 ),2670567.399999999906868,2594889.319999999832362,2706102.260000000242144,2667375.000000000000000,10638933.980000000447035
FS( 15 ),2671070.920000000391155,2577704.640000000130385,2699134.389999999664724,2687995.600000000093132,10635905.550000000745058
FS( 16 ),2674595.560000000055879,2590406.360000000335276,2720771.459999999962747,2677819.199999999720603,10663592.580000000074506
FS( 17 ),2938817.679999999701977,2596383.640000000130385,2715637.239999999757856,2700850.000000000000000,10951688.560000000521541
FS( 18 ),3033857.080000000074506,2612821.160000000149012,2682998.269999999552965,2666571.599999999627471,10996248.109999999403954
FS( 19 ),3037255.840000000316650,2638224.600000000093132,2678597.510000000242144,2655324.000000000000000,11009401.950000001117587
FS( 20 ),3052235.560000000055879,2650179.160000000149012,2666128.689999999944121,2666303.800000000279397,11034847.210000000894070
FS( 21 ),3014219.799999999813735,2715929.240000000223517,2661727.929999999701977,2701385.600000000093132,11093262.569999998435378
FS( 22 ),2995463.679999999701977,2737596.880000000353903,2649992.569999999832362,2712365.399999999906868,11095418.530000001192093
FS( 23 ),2999240.080000000074506,2726389.480000000447035,2645958.540000000037253,2693887.200000000186265,11065475.300000000745058
FS( 24 ),2992442.560000000055879,2712193.439999999944121,2665395.229999999981374,2701921.200000000186265,11071952.429999999701977
FS( 25 ),3024164.319999999832362,2721906.520000000018626,2655126.790000000037253,2717989.199999999720603,11119186.829999998211861
FS( 26 ),3014975.080000000074506,2720412.199999999720603,2669429.260000000242144,2712365.399999999906868,11117181.939999999478459
FS( 27 ),2949643.360000000335276,2733861.080000000540167,2657693.899999999906868,2704063.600000000093132,11045261.940000001341105
FS( 28 ),2931642.520000000018626,2700238.880000000353903,2618820.519999999552965,2664429.199999999720603,10915131.119999999180436
FS( 29 ),2956818.520000000018626,2680065.560000000055879,2658794.089999999850988,2680497.200000000186265,10976175.370000001043081
FS( 30 ),2985393.280000000260770,2715182.080000000540167,2698767.660000000149012,2728165.600000000093132,11127508.620000001043081
FS( 31 ),3010821.040000000037253,2689778.640000000130385,2685198.649999999906868,2748518.399999999906868,11134316.730000000447035
FS( 32 ),2990932.000000000000000,2675582.600000000093132,2700968.040000000037253,2766996.599999999627471,11134479.239999998360872
FS( 33 ),2965756.000000000000000,2627764.360000000335276,2655126.790000000037253,2735931.799999999813735,10984578.949999999254942
FS( 34 ),2968021.840000000316650,2615809.799999999813735,2658427.359999999869615,2745304.800000000279397,10987563.800000000745058
FS( 35 ),2966888.920000000391155,2609085.360000000335276,2645958.540000000037253,2764318.600000000093132,10986251.420000001788139
FS( 36 ),3018122.080000000074506,2588912.040000000037253,2682998.269999999552965,2787081.599999999627471,11077113.989999998360872
FS( 37 ),2997226.000000000000000,2589659.199999999720603,2666862.149999999906868,2763247.400000000372529,11016994.750000000000000
FS( 38 ),3005408.200000000186265,2593395.000000000000000,2665761.959999999962747,2764318.600000000093132,11028883.759999999776483
FS( 39 ),2969532.399999999906868,2590406.360000000335276,2670529.449999999720603,2767800.000000000000000,10998268.209999999031425
FS( 40 ),2985770.920000000391155,2588912.040000000037253,2670896.179999999701977,2779315.399999999906868,11024894.540000000968575
FS( 41 ),3027437.200000000186265,2594889.319999999832362,2678964.239999999757856,2779047.600000000093132,11080338.359999999403954
FS( 42 ),3027059.560000000055879,2606843.880000000353903,2714170.319999999832362,2777976.399999999906868,11126050.160000000149012
FS( 43 ),3016989.160000000149012,2620292.760000000242144,2742041.799999999813735,2772352.600000000093132,11151676.320000000298023
FS( 44 ),3025423.120000000111759,2621787.080000000540167,2711603.209999999962747,2782529.000000000000000,11141342.410000000149012
FS( 45 ),2983505.080000000074506,2616556.960000000428408,2699501.119999999646097,2758694.800000000279397,11058257.960000000894070
FS( 46 ),2953545.640000000130385,2671846.799999999813735,2691799.790000000037253,2763247.400000000372529,11080439.629999998956919
FS( 47 ),2974819.360000000335276,2655409.280000000260770,2726272.410000000149012,2800203.800000000279397,11156704.850000001490116
FS( 48 ),3005911.720000000204891,2629258.680000000167638,2713070.129999999888241,2796722.400000000372529,11144962.929999999701977
FS( 49 ),3028696.000000000000000,2672593.960000000428408,2741675.069999999832362,2842784.000000000000000,11285749.030000001192093
FS( 50 ),3028570.120000000111759,2696503.080000000540167,2738741.229999999981374,2844390.799999999813735,11308205.230000000447035
FS( 51 ),3045563.920000000391155,2714434.919999999925494,2758177.919999999459833,2834214.399999999906868,11352391.160000000149012
FS( 52 ),3087104.319999999832362,2725642.319999999832362,2742041.799999999813735,2840909.399999999906868,11395697.839999999850988
FS( 53 ),3134561.080000000074506,2764494.640000000130385,2761845.219999999739230,2820021.000000000000000,11480921.940000001341105
FS( 54 ),3185920.120000000111759,2764494.640000000130385,2756344.269999999552965,2807434.399999999906868,11514193.429999999701977
FS( 55 ),3178115.560000000055879,2781679.319999999832362,2766612.709999999962747,2822966.799999999813735,11549374.390000000596046
FS( 56 ),3215879.560000000055879,2769724.760000000242144,2748276.209999999962747,2822966.799999999813735,11556847.330000001937151
FS( 57 ),3223180.600000000558794,2779437.840000000316650,2721504.919999999459833,2820288.800000000279397,11544412.160000002011657
FS( 58 ),3228341.679999999701977,2777943.520000000018626,2728839.519999999552965,2826983.800000000279397,11562108.519999999552965
FS( 59 ),3201529.239999999757856,2776449.199999999720603,2686665.569999999832362,2758962.600000000093132,11423606.609999999403954
FS( 60 ),3193724.679999999701977,2799611.160000000149012,2686665.569999999832362,2756820.199999999720603,11436821.609999999403954
FS( 61 ),3213613.720000000204891,2804841.280000000260770,2708302.639999999664724,2782261.200000000186265,11509018.839999999850988
FS( 62 ),3200899.840000000316650,2826508.919999999925494,2709036.100000000093132,2800739.399999999906868,11537184.259999999776483
FS( 63 ),3200144.560000000055879,2845187.919999999925494,2731773.359999999869615,2800739.399999999906868,11577845.240000000223517
FS( 64 ),3222551.200000000186265,2916915.280000000260770,2736174.119999999646097,2823770.199999999720603,11699410.799999998882413
FS( 65 ),3215879.560000000055879,2942318.720000000204891,2723338.569999999832362,2827787.200000000186265,11709324.050000000745058
FS( 66 ),3219655.959999999962747,2939330.080000000540167,2739107.959999999962747,2820288.800000000279397,11718382.800000000745058
FS( 67 ),3259056.399999999906868,2953526.120000000111759,2786049.399999999906868,2845194.199999999720603,11843826.119999999180436
FS( 68 ),3255154.119999999646097,2960997.720000000204891,2787149.589999999850988,2858316.399999999906868,11861617.830000000074506
FS( 69 ),3252762.399999999906868,2978182.399999999906868,2797784.760000000242144,2865814.800000000279397,11894544.360000001266599
FS( 70 ),3284735.920000000391155,2962492.040000000037253,2797784.760000000242144,2873848.800000000279397,11918861.520000001415610
FS( 71 ),3291155.799999999813735,2936341.439999999944121,2802552.250000000000000,2904110.199999999720603,11934159.689999999478459
FS( 72 ),3297072.160000000614673,2928122.680000000167638,2828223.350000000093132,2895272.799999999813735,11948690.990000002086163
FS( 73 ),3282344.200000000186265,2963986.360000000335276,2841792.359999999869615,2910001.799999999813735,11998124.719999998807907
FS( 74 ),3269882.080000000074506,2970710.799999999813735,2847660.040000000037253,2900361.000000000000000,11988613.919999999925494
FS( 75 ),3255657.640000000130385,2972952.280000000260770,2845459.660000000149012,2880008.200000000186265,11954077.780000001192093
FS( 76 ),3273532.600000000558794,3007321.640000000130385,2846193.119999999646097,2886971.000000000000000,12014018.359999999403954
FS( 77 ),3260944.600000000558794,2995367.080000000540167,2857195.019999999552965,2866082.600000000093132,11979589.300000000745058
FS( 78 ),3332822.080000000074506,3020770.520000000018626,2890200.719999999739230,2880276.000000000000000,12124069.320000000298023
FS( 79 ),3302233.239999999757856,3050656.919999999925494,2890934.179999999701977,2879740.399999999906868,12123564.740000000223517
FS( 80 ),3348557.080000000074506,3059622.840000000316650,2892034.369999999646097,2903306.799999999813735,12203521.089999999850988
FS( 81 ),3253140.040000000502914,3046921.120000000111759,2883599.579999999608845,2932229.199999999720603,12115889.939999999478459
FS( 82 ),3263839.839999999850988,3089509.240000000223517,2888367.069999999832362,2940531.000000000000000,12182247.150000000372529
FS( 83 ),3228467.559999999590218,3317393.040000000037253,3073565.719999999739230,2938120.799999999813735,12557547.120000001043081
FS( 84 ),3263588.080000000074506,3315151.560000000055879,3076499.560000000055879,2946958.200000000186265,12602197.400000002235174
FS( 85 ),3247601.320000000298023,3398833.480000000447035,3050461.729999999981374,2945351.399999999906868,12642247.930000001564622
FS( 86 ),3254147.080000000074506,3489987.000000000000000,3050461.729999999981374,2974541.599999999627471,12769137.410000000149012
FS( 87 ),3306135.520000000018626,3519126.240000000223517,3082367.239999999757856,2972131.399999999906868,12879760.400000000372529
FS( 88 ),3295058.080000000074506,3462342.080000000540167,3085667.810000000055879,2982307.799999999813735,12825375.769999999552965
FS( 89 ),3324262.239999999757856,3489239.840000000316650,3097769.899999999906868,2997304.600000000093132,12908576.580000000074506
FS( 90 ),3350193.520000000018626,3495217.120000000111759,3090435.299999999813735,3001857.200000000186265,12937703.140000000596046
FS( 91 ),3343144.239999999757856,3489239.840000000316650,3101070.469999999739230,3012033.600000000093132,12945488.150000000372529
FS( 92 ),3307016.679999999701977,3459353.439999999944121,3083834.160000000149012,3003196.200000000186265,12853400.480000000447035
FS( 93 ),3283728.880000000353903,3405557.919999999925494,3075766.100000000093132,2996233.399999999906868,12761286.300000000745058
FS( 94 ),3303492.040000000502914,3418259.640000000130385,3077966.479999999981374,2983379.000000000000000,12783097.160000000149012
FS( 95 ),3295183.959999999962747,3426478.399999999906868,3082367.239999999757856,2998911.399999999906868,12802941.000000000000000
FS( 96 ),3309030.760000000242144,3396592.000000000000000,3043127.129999999888241,2952582.000000000000000,12701331.890000000596046
FS( 97 ),3319604.679999999701977,3410788.040000000037253,3051195.189999999944121,2973202.600000000093132,12754790.509999999776483
FS( 98 ),3301477.959999999962747,3334577.720000000204891,3021856.790000000037253,2941066.599999999627471,12598979.069999998435378
FS( 99 ),3331311.520000000018626,3333830.560000000055879,3026624.279999999795109,2944548.000000000000000,12636314.359999999403954
FS( 100 ),3361019.200000000186265,3357739.680000000167638,3070265.149999999906868,2984718.000000000000000,12773742.030000001192093
FS( 101 ),3337857.279999999795109,3336072.040000000037253,3047894.619999999646097,2967846.599999999627471,12689670.539999999105930
FS( 102 ),3347046.520000000018626,3343543.640000000130385,3053395.569999999832362,2998643.600000000093132,12742629.330000000074506
FS( 103 ),3343270.119999999646097,3324117.480000000447035,3075766.100000000093132,3009623.399999999906868,12752777.099999999627471
FS( 104 ),3373607.200000000186265,3342049.319999999832362,3112805.829999999608845,3035867.799999999813735,12864330.149999998509884
FS( 105 ),3390097.480000000447035,3283770.840000000316650,3056329.410000000149012,2942137.799999999813735,12672335.530000001192093
FS( 106 ),3484507.480000000447035,3350268.080000000540167,3086768.000000000000000,3015247.200000000186265,12936790.760000001639128
FS( 107 ),3416280.520000000018626,3338313.520000000018626,3090068.569999999832362,2965436.399999999906868,12810099.009999999776483
FS( 108 ),3499235.440000000409782,3324117.480000000447035,2973448.429999999701977,2877062.400000000372529,12673863.750000001862645
FS( 109 ),3468646.600000000558794,3245665.680000000167638,2992151.660000000149012,2907859.399999999906868,12614323.340000001713634
FS( 110 ),3503011.839999999850988,3246412.840000000316650,3035792.529999999795109,2938924.199999999720603,12724141.409999998286366
FS( 111 ),3549587.440000000409782,3218767.919999999925494,3025157.359999999869615,2983379.000000000000000,12776891.720000000670552
FS( 112 ),3599058.279999999795109,3238941.240000000223517,3086401.269999999552965,3015515.000000000000000,12939915.789999999105930
FS( 113 ),3564567.160000000614673,3262103.199999999720603,3125641.379999999888241,3009355.600000000093132,12961667.339999999850988
FS( 114 ),3649913.799999999813735,3237446.919999999925494,3138476.929999999701977,3038545.799999999813735,13064383.449999999254942
FS( 115 ),3673830.999999999534339,3238194.080000000540167,3130042.139999999664724,3034528.800000000279397,13076596.019999999552965
FS( 116 ),3699510.520000000018626,3232216.799999999813735,3105837.959999999962747,3024084.600000000093132,13061649.880000000819564
FS( 117 ),3700265.799999999813735,3329347.600000000093132,3185051.639999999664724,3048186.599999999627471,13262851.639999998733401
FS( 118 ),3727959.399999999906868,3456364.799999999813735,3167815.329999999608845,3040956.000000000000000,13393095.529999999329448
FS( 119 ),3741932.080000000074506,3514643.280000000260770,3147645.179999999701977,3003196.200000000186265,13407416.739999998360872
FS( 120 ),3750114.279999999795109,3553495.600000000093132,3136276.549999999813735,3002660.600000000093132,13442547.029999999329448
FS( 121 ),3713986.719999999739230,3493722.799999999813735,3135543.089999999850988,3010426.799999999813735,13353679.410000000149012
FS( 122 ),3714867.880000000353903,3489239.840000000316650,3135909.819999999832362,3017925.199999999720603,13357942.740000000223517
FS( 123 ),3718140.760000000242144,3442915.919999999925494,3131875.790000000037253,3025959.199999999720603,13318891.669999998062849
FS( 124 ),3721413.640000000130385,3445157.399999999906868,3143244.419999999459833,3053542.600000000093132,13363358.059999998658895
FS( 125 ),3730602.880000000353903,3453376.160000000149012,3143611.149999999906868,3062380.000000000000000,13389970.190000001341105
FS( 126 ),3712476.160000000614673,3448893.199999999720603,3137010.010000000242144,3053542.600000000093132,13351921.970000000670552
FS( 127 ),3736770.999999999534339,3500447.240000000223517,3152045.939999999944121,3066664.800000000279397,13455928.980000000447035
FS( 128 ),3748855.480000000447035,3381648.799999999813735,3166715.139999999664724,3097194.000000000000000,13394413.419999999925494
FS( 129 ),3734631.040000000502914,3319634.520000000018626,3194586.619999999646097,3108709.399999999906868,13357561.580000000074506
FS( 130 ),3887826.999999999534339,3342796.480000000447035,3234193.459999999962747,3183157.799999999813735,13647974.740000002086163
FS( 131 ),3904317.279999999795109,3342796.480000000447035,3237494.029999999795109,3196012.200000000186265,13680619.989999998360872
FS( 132 ),4008545.920000000391155,3259114.560000000055879,3235293.649999999906868,3189852.799999999813735,13692806.929999999701977
FS( 133 ),4031581.959999999962747,3175432.640000000130385,3220624.449999999720603,3186371.399999999906868,13614010.449999999254942
FS( 134 ),4130523.640000000130385,3243424.199999999720603,3230159.429999999701977,3209402.200000000186265,13813509.469999998807907
FS( 135 ),4232360.559999999590218,3230722.480000000447035,3285902.389999999664724,3216097.200000000186265,13965082.629999998956919
FS( 136 ),4219143.160000000149012,3223250.880000000353903,3240061.139999999664724,3224131.200000000186265,13906586.379999998956919
FS( 137 ),4418662.959999999962747,3316645.880000000353903,3305705.810000000055879,3266711.399999999906868,14307726.050000000745058
FS( 138 ),4282083.160000000149012,3323370.319999999832362,3304238.889999999664724,3296972.799999999813735,14206665.170000001788139
FS( 139 ),4251494.320000000298023,3348773.760000000242144,3300571.589999999850988,3285993.000000000000000,14186832.669999999925494
FS( 140 ),4254893.080000000074506,3418259.640000000130385,3359615.119999999646097,3329644.399999999906868,14362412.240000000223517
FS( 141 ),4224556.000000000000000,3441421.600000000093132,3370250.290000000037253,3338214.000000000000000,14374441.890000000596046
FS( 142 ),4213226.799999999813735,3400327.799999999813735,3367316.449999999720603,3335536.000000000000000,14316407.049999998882413
FS( 143 ),4319217.760000000707805,3384637.439999999944121,3386019.679999999701977,3353478.600000000093132,14443353.480000000447035
FS( 144 ),4320602.440000000409782,3741779.919999999925494,3449463.969999999739230,3382936.599999999627471,14894782.929999999701977
FS( 145 ),4290391.240000000223517,3734308.319999999832362,3444329.750000000000000,3343302.200000000186265,14812331.510000001639128
FS( 146 ),4251242.559999999590218,3645396.280000000260770,3401055.609999999869615,3308756.000000000000000,14606450.449999999254942
FS( 147 ),4460958.640000000596046,3596830.880000000353903,3484303.319999999832362,3326966.399999999906868,14869059.240000002086163
FS( 148 ),4493309.799999999813735,3560220.040000000037253,3456798.569999999832362,3366868.600000000093132,14877197.009999999776483
FS( 149 ),4392228.160000000149012,3448146.040000000037253,3365849.529999999795109,3238056.799999999813735,14444280.530000001192093
FS( 150 ),4140090.520000000018626,3326358.960000000428408,3227225.589999999850988,3113797.600000000093132,13807472.669999999925494
FS( 151 ),4291524.160000000149012,3355498.199999999720603,3349346.679999999701977,3212883.600000000093132,14209252.639999998733401
FS( 152 ),4382283.640000000596046,3377165.840000000316650,3286269.119999999646097,3204314.000000000000000,14250032.599999999627471
FS( 153 ),4149909.160000000614673,3194111.640000000130385,3117573.319999999832362,3049257.799999999813735,13510851.920000001788139
FS( 154 ),4189813.119999999646097,3283770.840000000316650,3233826.729999999981374,3115136.599999999627471,13822547.289999999105930
FS( 155 ),4327903.480000000447035,3349520.919999999925494,3268666.079999999608845,3172713.600000000093132,14118804.080000000074506
FS( 156 ),4319847.160000000149012,3321876.000000000000000,3294337.179999999701977,3169500.000000000000000,14105560.339999999850988
FS( 157 ),4341120.880000000819564,3390614.720000000204891,3330276.719999999739230,3235914.399999999906868,14297926.720000000670552
FS( 158 ),4487267.559999999590218,3430961.360000000335276,3398121.769999999552965,3274745.399999999906868,14591096.089999999850988
FS( 159 ),4469392.600000000558794,3404063.600000000093132,3373917.589999999850988,3263230.000000000000000,14510603.790000000968575
FS( 160 ),4448118.880000000819564,3460847.760000000242144,3400322.149999999906868,3267514.800000000279397,14576803.590000001713634
FS( 161 ),4435782.640000000596046,3432455.680000000167638,3355214.359999999869615,3225202.400000000372529,14448655.080000000074506
FS( 162 ),4480470.040000000037253,3421995.439999999944121,3364015.879999999888241,3223863.399999999906868,14490344.759999999776483
FS( 163 ),4489785.160000000149012,3566197.319999999832362,3449463.969999999739230,3292152.400000000372529,14797598.849999999627471
FS( 164 ),4575635.320000000298023,3669305.399999999906868,3499339.250000000000000,3336607.200000000186265,15080887.170000001788139
FS( 165 ),4590237.399999999441206,3729078.199999999720603,3454598.189999999944121,3303935.600000000093132,15077849.389999998733401
FS( 166 ),4559648.559999999590218,3682754.280000000260770,3438828.799999999813735,3292420.199999999720603,14973651.839999999850988
FS( 167 ),4402046.799999999813735,3574416.080000000540167,3405089.639999999664724,3224399.000000000000000,14605951.519999999552965
FS( 168 ),4338855.040000000037253,3659592.319999999832362,3412424.239999999757856,3234307.600000000093132,14645179.199999999254942
FS( 169 ),4440566.080000000074506,3717123.640000000130385,3434061.310000000055879,3264033.399999999906868,14855784.430000001564622
FS( 170 ),4392354.040000000037253,3788851.000000000000000,3422325.949999999720603,3242073.800000000279397,14845604.790000000968575
FS( 171 ),4368688.600000000558794,3834427.760000000242144,3442129.369999999646097,3263230.000000000000000,14908475.730000000447035
FS( 172 ),4389962.320000000298023,3791092.480000000447035,3463032.979999999981374,3273138.600000000093132,14917226.380000000819564
FS( 173 ),4462846.839999999850988,3899430.680000000167638,3540413.010000000242144,3334464.800000000279397,15237155.330000000074506
FS( 174 ),4332812.799999999813735,3849370.960000000428408,3548847.799999999813735,3327234.199999999720603,15058265.759999997913837
FS( 175 ),4263327.040000000037253,3868797.120000000111759,3462299.519999999552965,3299383.000000000000000,14893806.679999999701977
FS( 176 ),4157461.959999999962747,3874774.399999999906868,3441762.639999999664724,3282779.399999999906868,14756778.400000000372529
FS( 177 ),4153937.320000000298023,3801552.720000000204891,3453864.729999999981374,3305006.799999999813735,14714361.570000000298023
FS( 178 ),4160105.440000000409782,3823220.360000000335276,3469267.389999999664724,3335000.399999999906868,14787593.590000001713634
FS( 179 ),4176343.959999999962747,3797816.919999999925494,3406556.560000000055879,3299650.799999999813735,14680368.239999998360872
FS( 180 ),4250235.519999999552965,3851612.439999999944121,3415358.079999999608845,3345176.799999999813735,14862382.839999999850988
FS( 181 ),4243563.880000000819564,3852359.600000000093132,3391520.629999999888241,3299918.600000000093132,14787362.709999999031425
FS( 182 ),4023399.760000000242144,3797816.919999999925494,3292870.260000000242144,3213419.199999999720603,14327506.139999998733401
FS( 183 ),4040897.080000000074506,3687984.399999999906868,3197153.729999999981374,3133347.000000000000000,14059382.210000000894070
FS( 184 ),4141223.440000000409782,3921098.319999999832362,3439195.529999999795109,3230826.200000000186265,14732343.489999998360872
FS( 185 ),4042407.640000000130385,3824714.680000000167638,3281134.899999999906868,3144059.000000000000000,14292316.220000000670552
FS( 186 ),4028560.839999999850988,3705916.240000000223517,3278201.060000000055879,3133079.199999999720603,14145757.339999999850988
FS( 187 ),4127502.520000000018626,3891211.919999999925494,3347146.299999999813735,3203510.600000000093132,14569371.339999997988343
FS( 188 ),4059023.799999999813735,3655109.360000000335276,3246295.549999999813735,3170571.200000000186265,14130999.910000000149012
FS( 189 ),4164511.239999999757856,3717123.640000000130385,3289936.419999999459833,3192263.000000000000000,14363834.299999998882413
FS( 190 ),4121963.799999999813735,3735055.480000000447035,3386019.679999999701977,3208598.800000000279397,14451637.760000001639128
FS( 191 ),4234752.279999999329448,3764194.720000000204891,3387853.329999999608845,3245555.199999999720603,14632355.529999999329448
FS( 192 ),4105347.640000000130385,3645396.280000000260770,3309006.379999999888241,3152093.000000000000000,14211843.300000000745058
FS( 193 ),4059527.320000000298023,3702180.439999999944121,3328809.799999999813735,3181283.200000000186265,14271800.759999997913837
FS( 194 ),4214989.120000000111759,3830691.960000000428408,3406189.829999999608845,3232968.600000000093132,14684839.509999999776483
FS( 195 ),4120956.760000000242144,3817990.240000000223517,3368783.369999999646097,3207795.399999999906868,14515525.769999999552965
FS( 196 ),4248347.320000000298023,3939030.160000000149012,3431860.929999999701977,3242341.599999999627471,14861580.009999999776483
FS( 197 ),4145125.719999999739230,3874774.399999999906868,3413524.429999999701977,3233772.000000000000000,14667196.549999998882413
FS( 198 ),4176469.839999999850988,3915121.040000000037253,3453498.000000000000000,3264033.399999999906868,14809122.279999999329448
FS( 199 ),4238780.440000000409782,4000297.280000000260770,3523176.699999999720603,3315451.000000000000000,15077705.419999999925494
FS( 200 ),4292657.080000000074506,4005527.399999999906868,3536745.709999999962747,3315451.000000000000000,15150381.190000001341105
FS( 201 ),4288125.399999999441206,3901672.160000000149012,3524643.619999999646097,3319735.799999999813735,15034176.980000000447035
FS( 202 ),4263327.040000000037253,3850118.120000000111759,3483936.589999999850988,3326163.000000000000000,14923544.750000000000000
FS( 203 ),4265467.000000000000000,3817990.240000000223517,3496772.139999999664724,3333125.799999999813735,14913355.179999999701977
FS( 204 ),4142356.360000000335276,3844140.840000000316650,3414991.350000000093132,3247697.600000000093132,14649186.150000000372529
FS( 205 ),4316070.760000000707805,3838910.720000000204891,3385286.219999999739230,3246090.799999999813735,14786358.500000000000000
FS( 206 ),4315189.600000000558794,3963686.439999999944121,3456798.569999999832362,3403289.399999999906868,15138964.010000001639128
FS( 207 ),4291146.519999999552965,3939777.319999999832362,3514008.449999999720603,3374634.800000000279397,15119567.089999999850988
FS( 208 ),4199002.360000000335276,3856842.560000000055879,3429660.549999999813735,3397933.399999999906868,14883438.869999999180436
FS( 209 ),4148398.600000000558794,3984606.919999999925494,3483936.589999999850988,3414804.800000000279397,15031746.910000000149012
FS( 210 ),4081052.799999999813735,3908396.600000000093132,3429293.819999999832362,3384543.399999999906868,14803286.620000001043081
FS( 211 ),4162874.799999999813735,3906155.120000000111759,3449830.699999999720603,3405967.400000000372529,14924828.019999999552965
FS( 212 ),4209953.919999999925494,3943513.120000000111759,3489804.269999999552965,3432211.799999999813735,15075483.109999999403954
FS( 213 ),4285481.919999999925494,3984606.919999999925494,3528677.649999999906868,3461669.799999999813735,15260436.289999999105930
FS( 214 ),4259550.640000000596046,4007021.720000000204891,3513641.719999999739230,3478809.000000000000000,15259023.080000001937151
FS( 215 ),4336715.080000000074506,4060070.080000000540167,3555082.209999999962747,3503982.200000000186265,15455849.570000000298023
FS( 216 ),4331302.240000000223517,4107888.319999999832362,3590655.019999999552965,3503982.200000000186265,15533827.780000001192093
FS( 217 ),4311035.559999999590218,4084726.360000000335276,3582953.689999999944121,3530226.599999999627471,15508942.209999999031425
FS( 218 ),4337848.000000000000000,4101911.040000000037253,3595055.779999999795109,3513890.800000000279397,15548705.619999999180436
FS( 219 ),4306755.640000000596046,4028689.360000000335276,3569017.949999999720603,3510945.000000000000000,15415407.950000001117587
FS( 220 ),4292279.440000000409782,4082484.880000000353903,3562783.540000000037253,3505321.199999999720603,15442869.059999998658895
FS( 221 ),4332183.399999999441206,4095186.600000000093132,3527210.729999999981374,3479612.400000000372529,15434193.130000000819564
FS( 222 ),4421432.320000000298023,4095186.600000000093132,3533811.869999999646097,3479612.400000000372529,15530043.189999999478459
FS( 223 ),4581174.040000000037253,4058575.760000000242144,3579286.389999999664724,3499161.799999999813735,15718197.990000002086163
FS( 224 ),4469140.839999999850988,4068288.840000000316650,3575619.089999999850988,3500500.800000000279397,15613549.570000000298023
FS( 225 ),4521884.559999999590218,4125073.000000000000000,3618159.769999999552965,3531833.399999999906868,15796950.729999998584390
