代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12109848.669999999925494
真實報酬,2109848.669999999925494

夏普值報酬,0.202284867000000
夏普值風險,0.069873364531456
夏普值,2.895021133681543

二次趨勢線,35.926088525701083 x^2 + 11.716471207720815 x + 10000000.000000000000000
二次平均預期報酬,9136.942956735796542
風險,248692.517332182847895
二次平均趨勢值,0.036739919056477
一次趨勢線,6842.137479605952649 x + 10000000.000000000000000
一次預期報酬,6842.137479605952649
一次風險,358612.838924941897858
一次趨勢值,0.019079454879857
找到最佳解世代,2420
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](1),MCD[15](2),UNH[23](4),
FS( 40 ),3219593.640000000130385,3312099.509999999776483,3065334.279999999795109,9597028.429999999701977
FS( 41 ),3257168.250000000000000,3387983.129999999422580,3181773.239999999757856,9826925.619999999180436
FS( 42 ),3221624.700000000186265,3350389.409999999683350,3168535.399999999906868,9740550.509999999776483
FS( 43 ),3181342.010000000242144,3307574.339999999385327,3125850.120000000111759,9614767.469999998807907
FS( 44 ),3117363.620000000577420,3253620.389999999664724,3042911.000000000000000,9413896.009999999776483
FS( 45 ),3160015.879999999888241,3343079.520000000018626,3086136.600000000093132,9589233.000000000000000
FS( 46 ),3135981.670000000391155,3342035.250000000000000,3079652.759999999776483,9557670.679999999701977
FS( 47 ),3090959.840000000316650,3301656.809999999590218,3035616.679999999701977,9428234.330000000074506
FS( 48 ),3179987.970000000204891,3368838.179999999701977,3136386.359999999869615,9685213.509999999776483
FS( 49 ),3121764.250000000000000,3321846.029999999795109,3109100.199999999720603,9552711.479999998584390
FS( 50 ),3138689.750000000000000,3315580.409999999683350,3154757.239999999757856,9609028.400000000372529
FS( 51 ),3145798.460000000428408,3390767.849999999627471,3206898.120000000111759,9743465.429999999701977
FS( 52 ),3159000.350000000093132,3375451.889999999664724,3182583.719999999739230,9717036.960000000894070
FS( 53 ),3195559.430000000633299,3417918.869999999646097,3242829.399999999906868,9856308.700000001117587
FS( 54 ),3202668.140000000130385,3435323.369999999646097,3273087.320000000298023,9911079.830000000074506
FS( 55 ),3210453.870000000577420,3405735.719999999739230,3330091.080000000074506,9946281.669999999925494
FS( 56 ),3161369.920000000391155,3378236.609999999403954,3308748.439999999944121,9848355.969999998807907
FS( 57 ),3152568.660000000149012,3407824.259999999776483,3348461.959999999962747,9908855.879999998956919
FS( 58 ),3156292.270000000018626,3383457.959999999962747,3321175.800000000279397,9860927.030000001192093
FS( 59 ),3147829.520000000018626,3389723.579999999608845,3330631.399999999906868,9868185.500000000000000
FS( 60 ),3130565.510000000242144,3386590.770000000018626,3271466.359999999869615,9788623.640000000596046
FS( 61 ),3080466.030000000260770,3397033.469999999739230,3143950.839999999850988,9621451.339999999850988
FS( 62 ),3092990.900000000372529,3340294.799999999348074,3044802.120000000111759,9478088.820000000298023
FS( 63 ),3149522.070000000298023,3393204.479999999981374,3085866.439999999944121,9628593.990000000223517
FS( 64 ),3160015.879999999888241,3429753.929999999701977,3134225.080000000074506,9723995.890000000596046
FS( 65 ),3153922.700000000186265,3438456.179999999701977,3150434.679999999701977,9742814.559999998658895
FS( 66 ),3179649.460000000428408,3473613.270000000018626,3210410.199999999720603,9863673.929999999701977
FS( 67 ),3207745.790000000502914,3521649.689999999944121,3232563.320000000298023,9961959.800000000745058
FS( 68 ),3162385.450000000186265,3547060.259999999776483,3135305.719999999739230,9844752.429999999701977
FS( 69 ),3215193.010000000242144,3542535.089999999385327,3145571.800000000279397,9903300.900000000372529
FS( 70 ),3218578.110000000335276,3583609.709999999962747,3136116.199999999720603,9938305.019999999552965
FS( 71 ),3228394.900000000372529,3576996.000000000000000,3222297.239999999757856,10027689.140000000596046
FS( 72 ),3249382.520000000018626,3593704.319999999366701,3309829.080000000074506,10152916.919999999925494
FS( 73 ),3231102.980000000447035,3598577.579999999608845,3349812.759999999776483,10179494.320000000298023
FS( 74 ),3199960.060000000521541,3579084.539999999571592,3297942.039999999571592,10076987.639999998733401
FS( 75 ),3288649.680000000633299,3608324.099999999627471,3246611.640000000130385,10143586.419999999925494
FS( 76 ),3325547.270000000018626,3648702.539999999571592,3241478.600000000093132,10215729.410000000149012
FS( 77 ),3315391.970000000204891,3637215.569999999366701,3261740.600000000093132,10214349.139999998733401
FS( 78 ),3303544.120000000577420,3614589.719999999739230,3253365.640000000130385,10171500.480000000447035
FS( 79 ),3304898.160000000149012,3569338.020000000018626,3190958.679999999701977,10065195.859999999403954
FS( 80 ),3369215.060000000521541,3859296.989999999757856,3074789.879999999888241,10303302.929999999701977
FS( 81 ),3395618.840000000316650,3919168.469999999739230,3131793.640000000130385,10446581.950000001117587
FS( 82 ),3383093.970000000204891,3904896.779999999795109,3148273.399999999906868,10436265.150000000372529
FS( 83 ),3391556.720000000204891,3886099.919999999925494,3224998.839999999850988,10502656.480000000447035
FS( 84 ),3401373.510000000242144,3931351.619999999646097,3236075.399999999906868,10568801.529999999329448
FS( 85 ),3431500.900000000372529,3920212.739999999757856,3234184.279999999795109,10585898.919999999925494
FS( 86 ),3419991.560000000521541,3907333.409999999683350,3182043.399999999906868,10509369.370000001043081
FS( 87 ),3458581.700000000186265,3902460.149999999441206,3206627.959999999962747,10567670.809999998658895
FS( 88 ),3451472.990000000223517,3901415.879999999422580,3178801.479999999981374,10531691.349999999627471
FS( 89 ),3450795.970000000204891,3912554.759999999776483,3097213.160000000149012,10460564.890000000596046
FS( 90 ),3463997.860000000335276,3928218.809999999590218,3140168.600000000093132,10532386.269999999552965
FS( 91 ),3450118.950000000186265,3944230.949999999720603,3101805.879999999888241,10496156.780000001192093
FS( 92 ),3413559.870000000577420,3931003.529999999795109,3086947.080000000074506,10431511.480000000447035
FS( 93 ),3434208.980000000447035,3941098.139999999664724,3130983.160000000149012,10506291.280000001192093
FS( 94 ),3448087.890000000130385,3963027.809999999590218,3094511.560000000055879,10505628.259999999776483
FS( 95 ),3394264.800000000279397,3902460.149999999441206,3048044.039999999571592,10344769.989999998360872
FS( 96 ),3381062.910000000149012,3827968.889999999664724,3009951.479999999981374,10218984.279999999329448
FS( 97 ),3426423.250000000000000,3865910.699999999720603,3075060.039999999571592,10367394.989999998360872
FS( 98 ),3435901.530000000260770,3861733.619999999646097,3090459.160000000149012,10388095.310000000521541
FS( 99 ),3475507.200000000186265,3917079.929999999701977,3167724.919999999925494,10560313.050000000745058
FS( 100 ),3469414.020000000018626,3943882.859999999403954,2988879.000000000000000,10402176.879999998956919
FS( 101 ),3469075.510000000242144,3965116.349999999627471,3052096.439999999944121,10486289.299999998882413
FS( 102 ),3478892.300000000279397,3984609.389999999664724,3030213.479999999981374,10493716.169999999925494
FS( 103 ),3454181.070000000298023,3977995.679999999701977,3058039.959999999962747,10490217.710000000894070
FS( 104 ),3451472.990000000223517,3982172.759999999776483,3090999.479999999981374,10524646.230000000447035
FS( 105 ),3465351.900000000372529,3976255.229999999981374,3089108.359999999869615,10530716.490000000223517
FS( 106 ),3427100.270000000018626,3973818.599999999627471,3045072.279999999795109,10445992.149999998509884
FS( 107 ),3465013.390000000130385,3983913.209999999962747,3140979.080000000074506,10589906.679999999701977
FS( 108 ),3454519.580000000074506,3958502.639999999664724,3178261.160000000149012,10591284.379999998956919
FS( 109 ),3411867.320000000298023,3947015.669999999925494,3106938.919999999925494,10465822.910000000149012
FS( 110 ),3484985.480000000447035,4044828.959999999962747,3180962.759999999776483,10710778.199999999254942
FS( 111 ),3497510.350000000093132,4052486.939999999944121,3131523.479999999981374,10681521.769999999552965
FS( 112 ),3467044.450000000186265,4056315.929999999701977,3130713.000000000000000,10654074.379999998956919
FS( 113 ),3457904.680000000633299,4058056.379999999422580,3108289.719999999739230,10624251.780000001192093
FS( 114 ),3474491.670000000391155,4079637.959999999962747,3139628.279999999795109,10693758.910000000149012
FS( 115 ),3441994.710000000428408,4040651.879999999422580,3133414.600000000093132,10616062.189999999478459
FS( 116 ),3457904.680000000633299,4046917.500000000000000,3129902.519999999552965,10634725.699999999254942
FS( 117 ),3524929.660000000149012,4070239.529999999795109,3177450.679999999701977,10772620.869999999180436
FS( 118 ),3562842.780000000260770,4101915.719999999739230,3210410.199999999720603,10875169.699999999254942
FS( 119 ),3508342.670000000391155,4090080.659999999683350,3220946.439999999944121,10819370.769999999552965
FS( 120 ),3451134.480000000447035,4060841.099999999627471,3129092.039999999571592,10641068.619999999180436
FS( 121 ),3438609.610000000335276,4096694.369999999646097,3172047.479999999981374,10707352.460000000894070
FS( 122 ),3476861.240000000223517,4097738.639999999664724,3172857.959999999962747,10747458.839999999850988
FS( 123 ),3503265.020000000018626,4135332.359999999403954,3206627.959999999962747,10845226.339999999850988
FS( 124 ),3511050.750000000000000,4127326.289999999571592,3197172.359999999869615,10835550.399999998509884
FS( 125 ),3494125.250000000000000,4133591.909999999683350,3196902.199999999720603,10824620.359999999403954
FS( 126 ),3521544.560000000521541,4179539.789999999571592,3237156.039999999571592,10938241.389999998733401
FS( 127 ),3513081.810000000521541,4157262.029999999795109,3212841.640000000130385,10883186.480000000447035
FS( 128 ),3477199.750000000000000,4112358.419999999925494,3178261.160000000149012,10767820.330000000074506
FS( 129 ),3401373.510000000242144,4092865.379999999422580,3146382.279999999795109,10640622.169999999925494
FS( 130 ),3415590.930000000633299,4149255.959999999962747,3152325.800000000279397,10717173.690000001341105
FS( 131 ),3398326.920000000391155,4121408.759999999776483,3120176.759999999776483,10639913.439999999478459
FS( 132 ),3358721.250000000000000,4026032.099999999627471,3028322.359999999869615,10413076.709999999031425
FS( 133 ),3322839.189999999944121,4019766.479999999981374,2976181.479999999981374,10318788.150000000372529
FS( 134 ),3302867.100000000093132,4061885.369999999646097,2960512.199999999720603,10325265.669999999925494
FS( 135 ),3325547.270000000018626,4087992.119999999646097,3032915.080000000074506,10446455.469999998807907
FS( 136 ),3284249.050000000279397,4007235.239999999757856,2951056.600000000093132,10242541.890000000596046
FS( 137 ),3347550.420000000391155,4059448.739999999757856,2992391.080000000074506,10399391.240000000223517
FS( 138 ),3283572.030000000260770,4009323.779999999795109,2952137.239999999757856,10245034.050000000745058
FS( 139 ),3300497.530000000260770,4090080.659999999683350,3041560.199999999720603,10432139.389999998733401
FS( 140 ),3241258.280000000260770,4030209.179999999701977,3101265.560000000055879,10372734.019999999552965
FS( 141 ),3247689.970000000204891,4101915.719999999739230,3066414.919999999925494,10416021.609999999403954
FS( 142 ),3275109.280000000260770,4121408.759999999776483,3088838.199999999720603,10485357.240000000223517
FS( 143 ),3263261.430000000633299,4149255.959999999962747,3063173.000000000000000,10475691.390000000596046
FS( 144 ),3425069.210000000428408,4192071.029999999795109,3078842.279999999795109,10695983.519999999552965
FS( 145 ),3458243.189999999944121,4207386.990000000223517,3034806.199999999720603,10700437.379999998956919
FS( 146 ),3461966.800000000279397,4259948.580000000074506,3009141.000000000000000,10731057.380000000819564
FS( 147 ),3535423.470000000204891,4308681.179999999701977,3111261.479999999981374,10955367.130000000819564
FS( 148 ),3533053.900000000372529,4337572.650000000372529,3130983.160000000149012,11001610.710000000894070
FS( 149 ),3500556.939999999944121,4314598.709999999031425,3076681.000000000000000,10891837.649999998509884
FS( 150 ),3525268.170000000391155,4228272.389999998733401,3046152.919999999925494,10799694.479999998584390
FS( 151 ),3517143.930000000633299,4200077.099999999627471,3085326.120000000111759,10802548.150000000372529
FS( 152 ),3403404.570000000298023,4016981.759999999776483,3018326.439999999944121,10438713.769999999552965
FS( 153 ),3452827.030000000260770,4039607.609999999403954,2972399.239999999757856,10464834.879999998956919
FS( 154 ),3451811.500000000000000,4073024.250000000000000,3003197.479999999981374,10528034.230000000447035
FS( 155 ),3443687.260000000242144,4091473.020000000018626,3045882.759999999776483,10581044.039999999105930
FS( 156 ),3442671.730000000447035,4063277.729999999981374,2988608.839999999850988,10494559.300000000745058
FS( 157 ),3446733.850000000093132,4105048.529999999795109,3021028.039999999571592,10572811.419999999925494
FS( 158 ),3463659.350000000093132,4148559.779999999795109,3110991.320000000298023,10723211.449999999254942
FS( 159 ),3469752.530000000260770,4129762.919999999925494,3196091.719999999739230,10795608.169999999925494
FS( 160 ),3528653.270000000018626,4078593.689999999944121,3173128.120000000111759,10780376.080000000074506
FS( 161 ),3525945.189999999944121,4056315.929999999701977,3179341.800000000279397,10761603.919999999925494
FS( 162 ),3545917.280000000260770,4095998.189999999944121,3276329.239999999757856,10918245.710000000894070
FS( 163 ),3523237.110000000335276,4069195.259999999776483,3273087.320000000298023,10865520.690000001341105
FS( 164 ),3553025.990000000223517,4074764.699999999720603,3247422.120000000111759,10875213.809999998658895
FS( 165 ),3601094.410000000149012,4120364.489999999757856,3274438.120000000111759,10995898.019999999552965
FS( 166 ),3580783.810000000521541,4074764.699999999720603,3277950.199999999720603,10933499.709999999031425
FS( 167 ),3561488.740000000223517,4079289.869999999646097,3217704.519999999552965,10858484.129999998956919
FS( 168 ),3629529.250000000000000,4137072.809999999590218,3287135.640000000130385,11053738.699999999254942
FS( 169 ),3623436.070000000298023,4124193.479999999981374,3276329.239999999757856,11023959.790000000968575
FS( 170 ),3610234.180000000633299,4061885.369999999646097,3291188.039999999571592,10963308.589999999850988
FS( 171 ),3605156.530000000260770,4078941.779999999795109,3290647.719999999739230,10974747.030000001192093
FS( 172 ),3613280.770000000018626,4077897.509999999776483,3289567.080000000074506,10980746.359999999403954
FS( 173 ),3595678.250000000000000,4122104.939999999944121,3286865.479999999981374,11004649.669999999925494
FS( 174 ),3616665.870000000577420,4164571.919999999925494,3271736.519999999552965,11052975.310000000521541
FS( 175 ),3626821.170000000391155,4176406.979999999981374,3298482.359999999869615,11101711.509999999776483
FS( 176 ),3646116.240000000223517,4231057.109999999403954,3379800.519999999552965,11256974.869999999180436
FS( 177 ),3644423.689999999944121,4278049.259999999776483,3383042.439999999944121,11305516.389999998733401
FS( 178 ),3647808.790000000502914,4296498.029999999329448,3373046.519999999552965,11317354.339999999850988
FS( 179 ),3635960.939999999944121,4299630.839999999850988,3374397.320000000298023,11309990.099999999627471
FS( 180 ),3613280.770000000018626,4287099.599999999627471,3364401.399999999906868,11264782.769999999552965
FS( 181 ),3639007.530000000260770,4319123.879999998956919,3423566.439999999944121,11381698.849999999627471
FS( 182 ),3631560.310000000521541,4309725.449999999254942,3424106.759999999776483,11365393.519999999552965
FS( 183 ),3634945.410000000149012,4310073.539999999105930,3458687.240000000223517,11403707.189999999478459
FS( 184 ),3672858.530000000260770,4322952.869999999180436,3506505.559999999590218,11502317.959999999031425
FS( 185 ),3666426.840000000316650,4291624.769999999552965,3474086.359999999869615,11432138.969999998807907
FS( 186 ),3663718.760000000242144,4287447.689999999478459,3483001.639999999664724,11434169.089999999850988
FS( 187 ),3694523.170000000391155,4315294.889999998733401,3507586.200000000186265,11517405.259999997913837
FS( 188 ),3689107.010000000242144,4380039.629999998956919,3503533.800000000279397,11572681.439999999478459
FS( 189 ),3662703.230000000447035,4374818.279999999329448,3482461.320000000298023,11519983.830000000074506
FS( 190 ),3696215.720000000204891,4421462.339999999850988,3510017.639999999664724,11627696.699999999254942
FS( 191 ),3675905.120000000577420,4440607.289999999105930,3498400.760000000242144,11614914.169999999925494
FS( 192 ),3688091.480000000447035,4433993.580000000074506,3432211.560000000055879,11554297.620000001043081
FS( 193 ),3704001.450000000186265,4438866.839999999850988,3458957.399999999906868,11601826.689999999478459
FS( 194 ),3698923.800000000279397,4460448.419999999925494,3427618.839999999850988,11586992.060000000521541
FS( 195 ),3693169.129999999888241,4454182.799999998882413,3395469.800000000279397,11542822.729999998584390
FS( 196 ),3688768.500000000000000,4440259.199999999254942,3413030.199999999720603,11542058.899999998509884
FS( 197 ),3710094.629999999888241,4441999.650000000372529,3425727.719999999739230,11577823.000000000000000
FS( 198 ),3719234.400000000372529,4416937.169999999925494,3451663.080000000074506,11587835.650000000372529
FS( 199 ),3718218.870000000577420,4438518.750000000000000,3457606.600000000093132,11614345.220000000670552
FS( 200 ),3729728.210000000428408,4447917.179999999701977,3440046.199999999720603,11617692.589999999850988
FS( 201 ),3755116.460000000428408,4485162.809999998658895,3453013.879999999888241,11693294.149999998509884
FS( 202 ),3814355.710000000428408,4485510.900000000372529,3525686.919999999925494,11825554.530000001192093
FS( 203 ),3844821.610000000335276,4474720.109999999403954,3618351.800000000279397,11937894.519999999552965
FS( 204 ),3844483.100000000093132,4378647.269999999552965,3592146.280000000260770,11815277.649999998509884
FS( 205 ),3836020.350000000093132,4368552.660000000149012,3623755.000000000000000,11828329.009999999776483
FS( 206 ),3842452.040000000502914,4436778.299999998882413,3614299.399999999906868,11893530.740000000223517
FS( 207 ),3822141.439999999944121,4445480.549999998882413,3626726.760000000242144,11894349.749999998137355
FS( 208 ),3817402.300000000279397,4466017.859999999403954,3587823.720000000204891,11871244.880000000819564
FS( 209 ),3807585.510000000242144,4452790.439999999478459,3568102.039999999571592,11828478.989999998360872
FS( 210 ),3794045.110000000335276,4403013.570000000298023,3557565.800000000279397,11754625.480000000447035
FS( 211 ),3816725.280000000260770,4462536.959999999031425,3568912.519999999552965,11848175.759999997913837
FS( 212 ),3814694.220000000204891,4469498.759999999776483,3578638.280000000260770,11862832.260000001639128
FS( 213 ),3798784.250000000000000,4501871.130000000819564,3567021.399999999906868,11867677.780000001192093
FS( 214 ),3821125.910000000149012,4500130.679999999701977,3574585.879999999888241,11895843.469999998807907
FS( 215 ),3816386.770000000018626,4545382.380000000819564,3567291.559999999590218,11929061.710000000894070
FS( 216 ),3849560.750000000000000,4554084.630000000819564,3584311.639999999664724,11987958.019999999552965
FS( 217 ),3881719.200000000186265,4580887.559999998658895,3608626.039999999571592,12071233.799999997019768
FS( 218 ),3871563.900000000372529,4495257.419999999925494,3530819.959999999962747,11897642.280000001192093
FS( 219 ),3866824.760000000242144,4529370.240000000223517,3505154.760000000242144,11901350.759999999776483
FS( 220 ),3844144.590000000316650,4484466.630000000819564,3485162.919999999925494,11813775.140000000596046
FS( 221 ),3873933.470000000204891,4512661.919999999925494,3529469.159999999683350,11916065.550000000745058
FS( 222 ),3853284.360000000335276,4444784.369999999180436,3500291.879999999888241,11798361.609999999403954
FS( 223 ),3845160.120000000577420,4393267.049999998882413,3525957.079999999608845,11764385.250000000000000
FS( 224 ),3820110.379999999888241,4361242.769999999552965,3512178.919999999925494,11693533.070000000298023
FS( 225 ),3813001.670000000391155,4266214.199999999254942,3537573.959999999962747,11616790.829999998211861
FS( 226 ),3796753.189999999944121,4274916.449999999254942,3523525.639999999664724,11595196.279999997466803
FS( 227 ),3814694.220000000204891,4314598.709999999031425,3582150.359999999869615,11711444.289999999105930
FS( 228 ),3837035.879999999888241,4290580.500000000000000,3604573.639999999664724,11732191.019999999552965
FS( 229 ),3821802.930000000633299,4309029.269999999552965,3592686.599999999627471,11723519.800000000745058
FS( 230 ),3827219.090000000316650,4290232.410000000149012,3620242.919999999925494,11737695.419999999925494
FS( 231 ),3814694.220000000204891,4248809.699999999254942,3611327.639999999664724,11674832.559999998658895
FS( 232 ),3817740.810000000521541,4245676.889999998733401,3634561.399999999906868,11697980.099999999627471
FS( 233 ),3875626.020000000018626,4217829.689999999478459,3675355.559999999590218,11768812.269999999552965
FS( 234 ),3884765.790000000502914,4224095.309999998658895,3696968.359999999869615,11805830.459999999031425
FS( 235 ),3918955.300000000279397,4246721.160000000149012,3732359.320000000298023,11898036.780000001192093
FS( 236 ),3917601.260000000242144,4243240.259999999776483,3699669.959999999962747,11860512.480000000447035
FS( 237 ),3919970.830000000074506,4250550.150000000372529,3793145.320000000298023,11963667.300000000745058
FS( 238 ),3960592.030000000260770,4274220.269999999552965,3800709.800000000279397,12035523.099999999627471
FS( 239 ),3960930.540000000502914,4259252.400000000372529,3761806.760000000242144,11981990.700000001117587
FS( 240 ),3953483.320000000298023,4281182.070000000298023,3730738.359999999869615,11965404.750000000000000
FS( 241 ),3964654.150000000372529,4264473.750000000000000,3724794.839999999850988,11953923.740000000223517
FS( 242 ),3940619.939999999944121,4255423.410000000149012,3708315.079999999608845,11904359.429999999701977
FS( 243 ),3948405.670000000391155,4263081.389999998733401,3746137.479999999981374,11957625.539999999105930
FS( 244 ),3909138.510000000242144,4256119.589999999850988,3719931.959999999962747,11885191.059999998658895
FS( 245 ),3945020.570000000298023,4296149.939999999478459,3742355.240000000223517,11983526.750000000000000
FS( 246 ),3932834.210000000428408,4268650.830000000074506,3733439.959999999962747,11934926.000000000000000
FS( 247 ),3942312.490000000223517,4198684.740000000223517,3725605.320000000298023,11866603.550000000745058
FS( 248 ),3973455.410000000149012,4219222.049999998882413,3760455.959999999962747,11953134.419999998062849
FS( 249 ),3914216.160000000149012,4157610.119999999646097,3709125.559999999590218,11780952.839999999850988
FS( 250 ),3945359.080000000074506,4048309.859999999403954,3704262.680000000167638,11697932.619999999180436
FS( 251 ),4002228.760000000242144,4124889.659999999683350,3747488.280000000260770,11874607.699999999254942
FS( 252 ),4039464.860000000335276,4159350.569999999366701,3796387.240000000223517,11995203.669999999925494
FS( 253 ),4106151.330000000074506,4188938.219999999739230,3814758.119999999646097,12109848.669999999925494
