代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12099547.519999999552965
真實報酬,2099547.519999999552965

夏普值報酬,0.201254752000000
夏普值風險,0.064089335414411
夏普值,3.140222171109389

二次趨勢線,5.128068998310582 x^2 + 7156.823922925798797 x + 10000000.000000000000000
二次平均預期報酬,8454.225379498375332
風險,212618.880720768327592
二次平均趨勢值,0.039762345426892
一次趨勢線,8127.948181508839298 x + 10000000.000000000000000
一次預期報酬,8127.948181508839298
一次風險,215744.224923905159812
一次趨勢值,0.037674001166778
找到最佳解世代,1976
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
JPM[13](3),MRK[17](8),PG[21](13),UNH[23](2),WMT[28](9),
FS( 25 ),1777433.120000000111759,1860902.150000000139698,2108455.750000000000000,1889405.880000000121072,2177023.040000000037253,9813219.940000001341105
FS( 26 ),1766744.880000000353903,1873478.120000000111759,2108966.129999999888241,1908983.100000000093132,2141553.349999999627471,9799725.580000000074506
FS( 27 ),1745368.400000000372529,1887578.450000000186265,2082936.750000000000000,1936116.440000000176951,2140902.530000000260770,9792902.570000000298023
FS( 28 ),1668350.200000000186265,1861664.330000000307336,2039044.070000000065193,1899709.680000000167638,2125608.259999999776483,9594376.540000000968575
FS( 29 ),1807297.320000000298023,1868523.950000000186265,2066859.779999999795109,1920317.280000000027940,2153593.520000000484288,9816591.850000001490116
FS( 30 ),1834332.280000000260770,1897105.700000000186265,2079108.899999999906868,1977503.370000000344589,2144482.040000000037253,9932532.290000000968575
FS( 31 ),1847535.400000000372529,1928355.080000000307336,2104117.520000000484288,2031598.320000000065193,2151315.649999999441206,10062921.970000000670552
FS( 32 ),1817356.840000000316650,1917684.560000000288710,2092123.590000000083819,2017001.270000000251457,2086559.060000000055879,9930725.320000000298023
FS( 33 ),1817671.200000000186265,1910062.760000000009313,2087274.980000000214204,2020951.060000000288710,2104131.200000000186265,9940091.200000001117587
FS( 34 ),1841248.200000000186265,1934833.610000000335276,2095951.439999999944121,2082602.130000000121072,2135695.969999999739230,10090331.349999999627471
FS( 35 ),1764230.000000000000000,1926068.540000000037253,2087785.360000000102445,2080541.370000000344589,2163355.820000000298023,10021981.089999999850988
FS( 36 ),1764858.720000000204891,1926830.720000000204891,2081405.610000000102445,2064227.020000000251457,2184182.059999999590218,10021504.130000000819564
FS( 37 ),1792208.040000000037253,1943598.680000000167638,2101310.429999999701977,2081400.020000000251457,2214119.780000000260770,10132636.950000001117587
FS( 38 ),1808869.120000000111759,1929879.440000000176951,2069666.869999999878928,2083632.510000000242144,2164332.049999999813735,10056379.990000002086163
FS( 39 ),1769888.479999999981374,1913492.570000000298023,2048996.480000000214204,2045336.719999999972060,2158800.080000000074506,9936514.330000000074506
FS( 40 ),1861052.880000000353903,1972180.430000000167638,2072984.340000000083819,2089471.330000000074506,2162705.000000000000000,10158393.980000000447035
FS( 41 ),1878657.040000000037253,1991997.110000000335276,2106669.419999999925494,2082602.130000000121072,2154569.750000000000000,10214495.449999999254942
FS( 42 ),1884944.240000000223517,1985518.580000000307336,2114069.929999999701977,2092047.280000000027940,2152291.879999999888241,10228871.910000000149012
FS( 43 ),1887773.479999999981374,1984756.400000000139698,2130657.280000000260770,2091703.820000000065193,2173118.120000000111759,10268009.100000001490116
FS( 44 ),1884315.520000000018626,2006097.440000000176951,2120704.870000000111759,2091016.900000000139698,2209238.629999999888241,10311373.359999999403954
FS( 45 ),1847849.760000000242144,1998856.730000000214204,2119684.110000000335276,2089299.600000000093132,2214119.780000000260770,10269809.980000000447035
FS( 46 ),1858538.000000000000000,1995426.920000000158325,2117132.209999999962747,2079682.719999999972060,2197523.870000000111759,10248303.719999998807907
FS( 47 ),1842505.640000000130385,2021341.040000000037253,2099779.290000000037253,2096683.990000000223517,2193618.950000000186265,10253928.910000000149012
FS( 48 ),1865453.920000000391155,2027438.480000000214204,2086254.219999999972060,2148374.719999999739230,2185809.110000000335276,10313330.449999999254942
FS( 49 ),1858538.000000000000000,2022865.400000000139698,2071453.199999999953434,2150435.480000000447035,2191991.899999999441206,10295283.980000000447035
FS( 50 ),1861052.880000000353903,1997713.460000000195578,2075025.860000000102445,2144081.469999999739230,2215746.830000000074506,10293620.500000000000000
FS( 51 ),1852250.800000000279397,1979421.140000000130385,2075791.430000000167638,2144940.120000000111759,2212492.729999999515712,10264896.220000000670552
FS( 52 ),1846906.680000000167638,1963796.450000000186265,2111773.219999999739230,2138586.110000000335276,2194920.589999999850988,10255983.050000000745058
FS( 53 ),1901290.959999999962747,1991234.930000000167638,2121980.820000000298023,2176194.980000000447035,2178650.089999999850988,10369351.780000001192093
FS( 54 ),1900662.240000000223517,2012194.880000000121072,2126319.049999999813735,2176538.440000000409782,2211841.910000000149012,10427556.519999999552965
FS( 55 ),1893746.320000000298023,2020959.950000000186265,2111518.030000000260770,2198519.879999999888241,2208587.809999999590218,10433331.990000000223517
FS( 56 ),1884315.520000000018626,2022865.400000000139698,2113559.549999999813735,2228916.089999999850988,2195246.000000000000000,10444902.559999998658895
FS( 57 ),1869854.959999999962747,2022484.310000000288710,2115345.879999999888241,2208308.490000000223517,2212818.139999999664724,10428811.780000001192093
FS( 58 ),1867340.080000000074506,2013338.150000000139698,2108455.750000000000000,2213975.580000000074506,2216723.059999999590218,10419832.620000001043081
FS( 59 ),1855708.760000000242144,2032011.560000000288710,2113049.169999999925494,2229603.010000000707805,2213794.370000000111759,10444166.870000001043081
FS( 60 ),1877085.240000000223517,2028200.660000000149012,2109986.890000000596046,2227027.060000000521541,2238850.939999999478459,10481150.790000000968575
FS( 61 ),1861681.600000000093132,2016386.870000000111759,2100544.860000000335276,2213632.120000000111759,2228763.229999999515712,10421008.679999999701977
FS( 62 ),1882115.000000000000000,2046492.980000000214204,2131678.040000000037253,2231148.580000000074506,2247311.599999999627471,10538746.199999999254942
FS( 63 ),1861052.880000000353903,2073169.280000000027940,2123511.959999999962747,2223764.190000000409782,2248613.239999999292195,10530111.550000000745058
FS( 64 ),1834646.640000000130385,2067071.840000000316650,2122236.009999999776483,2181690.339999999850988,2233644.379999999888241,10439289.210000000894070
FS( 65 ),1848792.840000000316650,2120043.350000000093132,2138823.360000000335276,2198691.610000000335276,2246660.780000000260770,10553011.940000001341105
FS( 66 ),1801953.200000000186265,2112040.460000000428408,2124277.530000000260770,2178770.930000000633299,2219977.160000000149012,10437019.280000001192093
FS( 67 ),1815156.320000000298023,2109753.919999999925494,2123256.770000000484288,2158335.060000000521541,2214770.599999999627471,10421272.670000001788139
FS( 68 ),1829616.880000000353903,2097940.129999999888241,2111262.839999999850988,2169497.509999999776483,2193293.540000000037253,10401610.899999998509884
FS( 69 ),1863567.760000000242144,2108991.740000000223517,2113814.740000000223517,2177568.820000000298023,2238850.939999999478459,10502794.000000000000000
FS( 70 ),1942472.120000000111759,2132619.320000000298023,2104372.709999999962747,2194054.900000000372529,2250240.290000000037253,10623759.339999999850988
FS( 71 ),1967620.920000000391155,2151292.730000000447035,2092889.160000000149012,2197832.959999999962747,2238850.939999999478459,10648486.709999999031425
FS( 72 ),1944987.000000000000000,2139478.940000000409782,2100289.669999999925494,2186670.509999999776483,2247311.599999999627471,10618737.719999998807907
FS( 73 ),1957561.400000000372529,2153579.270000000018626,2113814.740000000223517,2194913.549999999813735,2273344.399999999441206,10693213.359999999403954
FS( 74 ),1990569.200000000186265,2166917.419999999925494,2125298.290000000037253,2241108.919999999925494,2270415.709999999962747,10794309.539999999105930
FS( 75 ),2019490.320000000065193,2156246.899999999906868,2081150.419999999925494,2300012.310000000521541,2252192.750000000000000,10809092.699999999254942
FS( 76 ),1999371.280000000260770,2157009.080000000074506,2062011.169999999925494,2283354.500000000000000,2228112.410000000149012,10729858.440000001341105
FS( 77 ),2011002.600000000093132,2162344.340000000316650,2065839.020000000018626,2303446.910000000149012,2236247.660000000149012,10778880.530000001192093
FS( 78 ),1999371.280000000260770,2142527.660000000149012,2077577.759999999776483,2297436.360000000335276,2260653.410000000149012,10777566.470000000670552
FS( 79 ),2009745.160000000149012,2135668.040000000037253,2030112.419999999925494,2305335.940000000409782,2255121.439999999478459,10735983.000000000000000
FS( 80 ),2015403.640000000130385,2145957.470000000204891,2038788.879999999888241,2280606.820000000298023,2259026.360000000335276,10739783.170000001788139
FS( 81 ),1999371.280000000260770,2124235.340000000316650,2035471.410000000149012,2268070.530000000260770,2242430.450000000186265,10669579.010000001639128
FS( 82 ),1986796.880000000353903,2089937.240000000223517,2044658.250000000000000,2261373.060000000521541,2176046.809999999590218,10558812.240000002086163
FS( 83 ),2005344.120000000111759,2107467.379999999888241,2066349.399999999906868,2268585.719999999739230,2199476.330000000074506,10647222.950000001117587
FS( 84 ),1966677.840000000316650,2099083.399999999906868,2069666.869999999878928,2274768.000000000000000,2180277.139999999664724,10590473.250000000000000
FS( 85 ),1966677.840000000316650,2088793.970000000204891,2082426.369999999878928,2267383.610000000335276,2186459.929999999701977,10591741.720000000670552
FS( 86 ),1925182.320000000298023,2061355.490000000223517,2074770.669999999925494,2272192.049999999813735,2187110.750000000000000,10520611.280000001192093
FS( 87 ),1936499.280000000260770,2042682.080000000307336,2095951.439999999944121,2267555.339999999850988,2220953.389999999664724,10563641.530000001192093
FS( 88 ),1924239.240000000223517,2061736.580000000307336,2095696.250000000000000,2278374.330000000074506,2243732.089999999850988,10603778.490000000223517
FS( 89 ),1950331.120000000111759,2083839.800000000046566,2104883.089999999850988,2293830.030000000260770,2238525.530000000260770,10671409.570000000298023
FS( 90 ),1943100.840000000316650,2069739.470000000204891,2096461.820000000065193,2244371.790000000037253,2161077.950000000186265,10514751.870000001043081
FS( 91 ),1941843.400000000372529,2062498.760000000009313,2103096.759999999776483,2228057.440000000409782,2175395.989999999292195,10510892.349999999627471
FS( 92 ),1923924.880000000353903,2053352.600000000325963,2072984.340000000083819,2215349.419999999925494,2113242.679999999701977,10378853.919999999925494
FS( 93 ),1938385.439999999944121,2082696.530000000027940,2083191.939999999944121,2243513.139999999664724,2148386.959999999962747,10496174.009999999776483
FS( 94 ),1938385.439999999944121,2070120.560000000288710,2057417.750000000000000,2224966.299999999813735,2118449.239999999292195,10409339.289999999105930
FS( 95 ),2013203.120000000344589,2083458.710000000195578,2037768.119999999878928,2241280.650000000372529,2054994.289999999804422,10430704.890000000596046
FS( 96 ),1992769.720000000204891,2080028.900000000139698,2046444.579999999841675,2232522.419999999925494,2251867.339999999850988,10603632.960000000894070
FS( 97 ),1996542.040000000037253,2100226.669999999925494,2042106.349999999860302,2248665.040000000037253,2273344.399999999441206,10660884.500000000000000
FS( 98 ),1994970.240000000223517,2092985.960000000195578,2046699.770000000018626,2239735.080000000074506,2261629.639999999664724,10636020.690000001341105
FS( 99 ),2028921.120000000344589,2118900.080000000074506,2066349.399999999906868,2277000.490000000223517,2285709.979999999515712,10776881.070000000298023
FS( 100 ),2059728.400000000139698,2155865.810000000055879,2079364.090000000083819,2291254.080000000074506,2293519.820000000298023,10879732.199999999254942
FS( 101 ),2044324.760000000242144,2149006.190000000409782,2072729.149999999906868,2283697.959999999962747,2305559.989999999292195,10855318.050000000745058
FS( 102 ),2056899.160000000381842,2152436.000000000000000,2078088.140000000130385,2301214.419999999925494,2302305.889999999664724,10890943.609999999403954
FS( 103 ),2051869.400000000139698,2144052.020000000018626,2068135.730000000214204,2295547.330000000074506,2303282.120000000111759,10862886.600000001490116
FS( 104 ),2065072.520000000018626,2146719.649999999906868,2087274.980000000214204,2310316.110000000335276,2294170.639999999664724,10903553.900000002235174
FS( 105 ),2068844.840000000316650,2165393.060000000055879,2091358.020000000018626,2336247.339999999850988,2308814.089999999850988,10970657.349999999627471
FS( 106 ),2032064.720000000204891,2158533.440000000409782,2104627.900000000372529,2349985.740000000223517,2306210.809999999590218,10951422.609999999403954
FS( 107 ),2052183.760000000242144,2178731.210000000428408,2112283.599999999627471,2372482.370000000111759,2312068.189999999478459,11027749.130000000819564
FS( 108 ),2045267.840000000316650,2172252.680000000167638,2100800.049999999813735,2351703.040000000037253,2311417.370000000111759,10981440.980000000447035
FS( 109 ),2051240.680000000167638,2195880.260000000242144,2109221.320000000298023,2411121.620000000111759,2319552.620000000111759,11087016.500000000000000
FS( 110 ),2035522.680000000167638,2179112.300000000279397,2122491.200000000186265,2415930.060000000521541,2313369.830000000074506,11066426.070000002160668
FS( 111 ),2006915.920000000391155,2165011.970000000204891,2123256.770000000484288,2391200.940000000409782,2314996.879999999888241,11001382.480000000447035
FS( 112 ),1988997.400000000372529,2138335.669999999925494,2107179.799999999813735,2371451.990000000223517,2295146.870000000111759,10901111.730000000447035
FS( 113 ),1951588.560000000055879,2143670.930000000167638,2127084.620000000111759,2367673.930000000633299,2308814.089999999850988,10898832.130000000819564
FS( 114 ),1948130.600000000093132,2137573.490000000223517,2116877.020000000484288,2357198.400000000372529,2314346.059999999590218,10874125.570000000298023
FS( 115 ),1955989.600000000093132,2191307.180000000167638,2128615.759999999776483,2381240.600000000558794,2320203.439999999478459,10977356.580000000074506
FS( 116 ),1957875.760000000242144,2129951.690000000409782,2121470.439999999478459,2364582.790000000037253,2308814.089999999850988,10882694.769999999552965
FS( 117 ),1960705.000000000000000,2139478.940000000409782,2119173.730000000447035,2378836.379999999888241,2313695.239999999292195,10911889.289999999105930
FS( 118 ),1978937.880000000353903,2143670.930000000167638,2128615.759999999776483,2373169.290000000037253,2325410.000000000000000,10949803.859999999403954
FS( 119 ),1971393.240000000223517,2173777.040000000037253,2132698.799999999813735,2368189.120000000111759,2334846.889999999664724,10980905.089999999850988
FS( 120 ),2013517.479999999981374,2198166.800000000279397,2149030.959999999962747,2390342.290000000037253,2346236.239999999292195,11097293.769999999552965
FS( 121 ),1873627.280000000260770,2129570.600000000093132,2099268.910000000149012,2357713.589999999850988,2341680.500000000000000,10801860.880000000819564
FS( 122 ),1811069.640000000130385,2107848.470000000204891,2072984.340000000083819,2354622.450000000186265,2326711.639999999664724,10673236.539999999105930
FS( 123 ),1871112.400000000372529,2118137.899999999906868,2104372.709999999962747,2382099.250000000000000,2327037.049999999813735,10802759.309999998658895
FS( 124 ),1923924.880000000353903,2174158.129999999888241,2141375.259999999776483,2413182.379999999888241,2357951.000000000000000,11010591.649999998509884
FS( 125 ),1953474.720000000204891,2195499.169999999925494,2160769.700000000186265,2424860.019999999552965,2376173.959999999962747,11110777.570000000298023
FS( 126 ),1925811.040000000037253,2208075.140000000130385,2163576.790000000037253,2419021.200000000186265,2369340.349999999627471,11085824.520000001415610
FS( 127 ),1872055.479999999981374,2210361.680000000167638,2180419.330000000074506,2431042.299999999813735,2380078.879999999888241,11073957.669999998062849
FS( 128 ),1892174.520000000018626,2254568.120000000111759,2169956.540000000037253,2445124.160000000149012,2402206.759999999776483,11164030.099999999627471
FS( 129 ),1892174.520000000018626,2240086.700000000186265,2164852.740000000223517,2417990.820000000298023,2392769.870000000111759,11107874.650000002235174
FS( 130 ),1943729.560000000055879,2261808.830000000074506,2188840.599999999627471,2426062.129999999888241,2402857.580000000074506,11223298.700000001117587
FS( 131 ),1957561.400000000372529,2261427.740000000223517,2188330.219999999739230,2409747.780000000260770,2410016.599999999627471,11227083.740000000223517
FS( 132 ),1986796.880000000353903,2271336.080000000074506,2188330.219999999739230,2401848.200000000186265,2384309.209999999962747,11232620.589999999850988
FS( 133 ),1985539.439999999944121,2269430.629999999888241,2191902.879999999888241,2429668.459999999962747,2395698.559999999590218,11272239.969999998807907
FS( 134 ),2015718.000000000232831,2273241.530000000260770,2191392.500000000000000,2418677.740000000223517,2398301.839999999850988,11297331.609999999403954
FS( 135 ),2017604.160000000381842,2272479.350000000093132,2194965.160000000149012,2427092.510000000707805,2397325.610000000335276,11309466.790000002831221
FS( 136 ),2010688.240000000223517,2249232.860000000335276,2192923.640000000596046,2417132.169999999925494,2402857.580000000074506,11272834.490000000223517
FS( 137 ),2007544.640000000130385,2235513.620000000111759,2199048.200000000186265,2448730.490000000223517,2397000.200000000186265,11287837.149999998509884
FS( 138 ),2009745.160000000149012,2240467.790000000037253,2177357.049999999813735,2456114.879999999888241,2401230.530000000260770,11284915.410000000149012
FS( 139 ),2002200.520000000018626,2240467.790000000037253,2175825.910000000149012,2453538.930000000633299,2392444.459999999962747,11264477.610000003129244
FS( 140 ),2013203.120000000344589,2241611.060000000055879,2187564.650000000372529,2467620.790000000037253,2393420.689999999478459,11303420.310000000521541
FS( 141 ),2007859.000000000000000,2231702.720000000204891,2189606.169999999925494,2433961.709999999962747,2399928.889999999664724,11263058.490000002086163
FS( 142 ),2016032.360000000102445,2224080.919999999925494,2176081.099999999627471,2433446.519999999552965,2399278.070000000298023,11248918.969999998807907
FS( 143 ),2022319.560000000055879,2233227.080000000074506,2155410.709999999962747,2433103.060000000521541,2385936.259999999776483,11229996.669999999925494
FS( 144 ),2015089.280000000027940,2226748.550000000279397,2164342.360000000335276,2451649.900000000372529,2383332.979999999515712,11241163.070000000298023
FS( 145 ),2011002.600000000093132,2235513.620000000111759,2184247.179999999701977,2459206.019999999552965,2374546.910000000149012,11264516.330000000074506
FS( 146 ),2005658.479999999981374,2235513.620000000111759,2205172.759999999776483,2464529.650000000372529,2400905.120000000111759,11311779.629999998956919
FS( 147 ),2000943.080000000074506,2222937.649999999906868,2214104.410000000149012,2458690.830000000074506,2379753.469999999739230,11276429.440000001341105
FS( 148 ),2032693.439999999944121,2197023.530000000260770,2193944.400000000372529,2453710.660000000149012,2373570.679999999701977,11250942.710000000894070
FS( 149 ),2029549.840000000316650,2204264.240000000223517,2195985.919999999925494,2450791.250000000000000,2385285.439999999478459,11265876.689999999478459
FS( 150 ),2084248.479999999981374,2433680.419999999925494,2189095.790000000037253,2455599.690000000409782,2400254.299999999813735,11562878.679999999701977
FS( 151 ),2077961.280000000027940,2395571.419999999925494,2188585.410000000149012,2440830.910000000149012,2386587.080000000074506,11489536.099999999627471
FS( 152 ),2070731.000000000232831,2381471.090000000316650,2194454.780000000260770,2435507.280000000260770,2393095.280000000260770,11475259.430000003427267
FS( 153 ),2052183.760000000242144,2387187.440000000409782,2202620.860000000335276,2441861.290000000037253,2406437.089999999850988,11490290.440000001341105
FS( 154 ),2057842.239999999990687,2424915.350000000093132,2213338.839999999850988,2449417.410000000149012,2401555.939999999478459,11547069.779999999329448
FS( 155 ),2053441.199999999953434,2414244.830000000074506,2221249.730000000447035,2453710.660000000149012,2404484.629999999888241,11547131.050000000745058
FS( 156 ),2066015.600000000093132,2413101.560000000055879,2220739.349999999627471,2432072.680000000633299,2385936.259999999776483,11517865.450000001117587
FS( 157 ),2065701.239999999990687,2402431.040000000037253,2209510.990000000223517,2422799.260000000707805,2371943.629999999888241,11472386.160000000149012
FS( 158 ),2071359.720000000204891,2411958.290000000037253,2219208.209999999962747,2433618.250000000000000,2373245.270000000484288,11509389.739999998360872
FS( 159 ),2073245.880000000353903,2424915.350000000093132,2231457.330000000074506,2441517.830000000074506,2417826.439999999478459,11588962.830000000074506
FS( 160 ),2070416.640000000130385,2414625.919999999925494,2228139.860000000335276,2439285.339999999850988,2369340.349999999627471,11521808.110000001266599
FS( 161 ),2068530.479999999981374,2421866.629999999888241,2216401.120000000111759,2440143.990000000223517,2365760.839999999850988,11512703.059999998658895
FS( 162 ),2067587.400000000139698,2423009.899999999906868,2230436.570000000298023,2438770.150000000372529,2342005.910000000149012,11501809.929999999701977
FS( 163 ),2073245.880000000353903,2390617.250000000000000,2228139.860000000335276,2402019.930000000633299,2350466.570000000298023,11444489.490000002086163
FS( 164 ),2077018.199999999953434,2374992.560000000055879,2243196.070000000298023,2357885.320000000298023,2317600.160000000149012,11370692.310000000521541
FS( 165 ),2081733.600000000093132,2395190.330000000074506,2235029.990000000223517,2346207.680000000633299,2314996.879999999888241,11373158.480000000447035
FS( 166 ),2104681.880000000353903,2401287.770000000018626,2253403.669999999925494,2357370.129999999888241,2323457.540000000037253,11440200.989999998360872
FS( 167 ),2121971.680000000167638,2389855.070000000298023,2234009.230000000447035,2350500.930000000633299,2320528.849999999627471,11416865.759999999776483
FS( 168 ),2121971.680000000167638,2392903.790000000037253,2228139.860000000335276,2336419.070000000298023,2324759.179999999701977,11404193.580000001937151
FS( 169 ),2112855.239999999757856,2397095.780000000260770,2253658.860000000335276,2331095.440000000409782,2370316.580000000074506,11465021.900000000372529
FS( 170 ),2121657.319999999832362,2400144.500000000000000,2250851.770000000484288,2346035.950000000186265,2359252.639999999664724,11477942.179999999701977
FS( 171 ),2120085.520000000018626,2410052.840000000316650,2262080.129999999888241,2335045.230000000447035,2375523.139999999664724,11502786.859999999403954
FS( 172 ),2111283.439999999944121,2395952.510000000242144,2244472.020000000484288,2318215.690000000409782,2344934.599999999627471,11414858.259999999776483
FS( 173 ),2114112.680000000167638,2410052.840000000316650,2240133.790000000037253,2325943.540000000037253,2337450.169999999925494,11427693.020000001415610
FS( 174 ),2095251.080000000307336,2381471.090000000316650,2200834.530000000260770,2294688.680000000633299,2287662.439999999478459,11259907.820000002160668
FS( 175 ),2108139.840000000316650,2408147.390000000130385,2252127.719999999739230,2327489.110000000335276,2341029.679999999701977,11436933.740000000223517
FS( 176 ),2091478.760000000242144,2355556.970000000204891,2221504.919999999925494,2300355.769999999552965,2325410.000000000000000,11294306.419999999925494
FS( 177 ),2087392.080000000307336,2338026.830000000074506,2220484.160000000149012,2295890.790000000037253,2327362.459999999962747,11269156.320000000298023
FS( 178 ),2094936.720000000204891,2377279.100000000093132,2247279.110000000335276,2328862.950000000186265,2355998.540000000037253,11404356.420000001788139
FS( 179 ),2069159.199999999953434,2373468.200000000186265,2247023.919999999925494,2377977.730000000447035,2371292.809999999590218,11438921.859999999403954
FS( 180 ),2080790.520000000018626,2337264.649999999906868,2255190.000000000000000,2364411.060000000521541,2345910.830000000074506,11383567.060000000521541
FS( 181 ),2089278.239999999990687,2360511.140000000130385,2260548.990000000223517,2360804.730000000447035,2342005.910000000149012,11413149.010000001639128
FS( 182 ),2101223.920000000391155,2389473.980000000447035,2240644.169999999925494,2402706.850000000558794,2349164.929999999701977,11483213.850000001490116
FS( 183 ),2118513.720000000204891,2401668.860000000335276,2271011.780000000260770,2422112.339999999850988,2351768.209999999962747,11565074.910000000149012
FS( 184 ),2114112.680000000167638,2399382.320000000298023,2239623.410000000149012,2413010.650000000372529,2354371.489999999292195,11520500.550000000745058
FS( 185 ),2067901.760000000242144,2368514.030000000260770,2241920.120000000111759,2399443.980000000447035,2330616.559999999590218,11408396.449999999254942
FS( 186 ),2086134.640000000130385,2384519.810000000055879,2254934.809999999590218,2417819.089999999850988,2353720.669999999925494,11497129.019999999552965
FS( 187 ),2097137.239999999990687,2412339.379999999888241,2283005.709999999962747,2411293.350000000558794,2336148.530000000260770,11539924.210000000894070
FS( 188 ),2063815.080000000307336,2359367.870000000111759,2251617.339999999850988,2375401.780000000260770,2301655.070000000298023,11351857.140000000596046
FS( 189 ),2093364.920000000391155,2378422.370000000111759,2290406.219999999739230,2404252.419999999925494,2346887.059999999590218,11513332.989999998360872
FS( 190 ),2090850.040000000270084,2382614.360000000335276,2262590.509999999776483,2378321.190000000409782,2343307.549999999813735,11457683.650000002235174
FS( 191 ),2093679.280000000027940,2380327.820000000298023,2254679.620000000111759,2372654.100000000558794,2334846.889999999664724,11436187.710000000894070
FS( 192 ),2127944.520000000018626,2393284.879999999888241,2267439.120000000111759,2363037.219999999739230,2332243.610000000335276,11483949.350000001490116
