代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12278543.480000000447035
真實報酬,2278543.480000000447035

夏普值報酬,0.219154348000000
夏普值風險,0.068063697216929
夏普值,3.219841956300490

預期報酬,9853.617303227840239
風險,259212.852523077104706
趨勢值,0.038013613936641
找到最佳解世代,2319
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](2),PG[21](9),UNH[23](1),WMT[28](7),
20160908,3073125.880000000819564,2763504.339999999850988,2878267.799999999813735,2929444.990000000223517,11644343.009999999776483
20160909,2971964.380000000819564,2715022.059999999590218,2839590.979999999981374,2867047.000000000000000,11393624.419999999925494
20160912,3013532.560000000521541,2778300.879999999888241,2880180.389999999664724,2933931.120000000111759,11605944.949999999254942
20160913,2951364.220000000670552,2740522.479999999981374,2846603.809999999590218,2914355.279999999795109,11452845.790000000968575
20160914,2980425.160000000149012,2739263.200000000186265,2841078.549999999813735,2916802.259999999776483,11477569.169999999925494
20160915,3017579.020000000484288,2772319.299999999813735,2881880.470000000204891,2952691.300000000279397,11624470.090000001713634
20160916,3018314.740000000223517,2772004.479999999981374,2942658.330000000074506,2971859.310000000055879,11704836.860000001266599
20160919,3012061.120000000111759,2782078.720000000204891,2925870.040000000037253,2940048.570000000298023,11660058.449999999254942
20160920,3005439.640000000596046,2788689.939999999944121,2921407.330000000074506,2935154.609999999869615,11650691.519999999552965
20160921,3070550.860000000335276,2764133.979999999981374,2973259.770000000018626,2944126.870000000111759,11752071.480000000447035
20160922,3071654.440000000409782,2801597.559999999590218,2997273.399999999906868,2947389.509999999776483,11817914.910000000149012
20160923,3032661.280000000260770,2762874.700000000186265,2986010.369999999646097,2950652.149999999906868,11732198.500000000000000
20160926,3030086.260000000707805,2765708.079999999608845,2969222.080000000074506,2920880.560000000055879,11685896.980000000447035
20160927,3048847.120000000111759,2781763.899999999906868,2991960.649999999906868,2949836.490000000223517,11772408.160000000149012
20160928,3185323.180000000633299,2816394.099999999627471,2983885.270000000018626,2927813.670000000391155,11913416.220000000670552
20160929,3217694.860000000335276,2777671.240000000223517,2939470.679999999701977,2884583.690000000409782,11819420.470000002533197
20160930,3265516.660000000149012,2825523.879999999888241,2975172.359999999869615,2941272.060000000055879,12007484.960000000894070
20161003,3247491.520000000484288,2791208.500000000000000,2943083.350000000093132,2936785.930000000167638,11918569.300000000745058
20161004,3219166.300000000745058,2781449.079999999608845,2936070.520000000018626,2926182.350000000093132,11862868.250000000000000
20161005,3289427.560000000521541,2797190.079999999608845,2924169.959999999962747,2922919.709999999962747,11933707.310000002384186
20161006,3284645.380000000819564,2808838.419999999925494,2900156.330000000074506,2828710.979999999981374,11822351.110000001266599
20161007,3254480.860000000335276,2833394.379999999888241,2904194.020000000018626,2801794.200000000186265,11793863.460000000894070
20161010,3245284.360000000335276,2803801.299999999813735,2934370.439999999944121,2772430.440000000409782,11755886.539999999105930
20161011,3217694.860000000335276,2787430.660000000149012,2863604.609999999869615,2748368.470000000204891,11617098.600000001490116
20161012,3221741.320000000298023,2788375.119999999646097,2871042.459999999962747,2751223.279999999795109,11632382.179999997839332
20161013,3199301.860000000335276,2777986.059999999590218,2851704.049999999813735,2782626.190000000409782,11611618.160000000149012
20161014,3225052.060000000521541,2783967.640000000130385,2845966.279999999795109,2791598.450000000186265,11646584.429999999701977
20161017,3211073.380000000819564,2765078.439999999944121,2850428.989999999757856,2782218.359999999869615,11608799.169999999925494
20161018,3208498.360000000335276,2753115.279999999795109,3047213.249999999534339,2808727.310000000055879,11817554.200000001117587
20161019,3237191.440000000409782,2692984.660000000149012,3068039.229999999981374,2809542.970000000204891,11807758.300000000745058
20161020,3186794.620000000111759,2673780.640000000130385,3082914.929999999701977,2803017.690000000409782,11746507.879999998956919
20161021,3175758.820000000298023,2654891.439999999944121,3089290.229999999981374,2787112.320000000298023,11707052.810000000521541
20161024,3163251.580000000074506,2647650.579999999608845,3074839.549999999813735,2821777.870000000111759,11707519.580000001937151
20161025,3107704.720000000670552,2738003.919999999925494,3055501.139999999664724,2828710.979999999981374,11729920.760000001639128
20161026,3094829.620000000111759,2751541.180000000167638,3022562.089999999850988,2838091.070000000298023,11707023.960000000894070
20161027,3053629.300000000745058,2725725.939999999944121,3016399.299999999813735,2847878.990000000223517,11643633.529999999329448
20161028,3085633.120000000111759,2733911.259999999776483,2982610.209999999962747,2854404.270000000018626,11656558.859999999403954
20161031,3070183.000000000000000,2732651.979999999981374,3003436.189999999944121,2855627.759999999776483,11661898.929999999701977
20161101,3025304.080000000074506,2734226.079999999608845,2963059.290000000037253,2826264.000000000000000,11548853.449999999254942
20161102,2983735.900000000372529,2730763.059999999590218,2953496.339999999850988,2832381.450000000186265,11500376.750000000000000
20161103,2989621.660000000149012,2726355.579999999608845,2929057.689999999944121,2839722.390000000130385,11484757.320000000298023
20161104,3027879.100000000558794,2678502.939999999944121,2926507.569999999832362,2820554.379999999888241,11453443.990000002086163
20161107,3080850.940000000409782,2725096.299999999813735,3016186.790000000037253,2845839.840000000316650,11667973.870000001043081
20161108,3115061.920000000856817,2753430.099999999627471,3036800.259999999776483,2846247.670000000391155,11751539.950000001117587
20161109,3354906.640000000596046,2705262.640000000130385,3015549.259999999776483,2899673.399999999906868,11975391.940000001341105
20161110,3437675.140000000596046,2611761.099999999627471,3105440.989999999757856,2911500.470000000204891,12066377.700000001117587
20161111,3421489.300000000745058,2631279.939999999944121,3111603.779999999795109,2904975.190000000409782,12069348.210000000894070
20161114,3464161.060000000521541,2613020.379999999888241,3236134.639999999664724,2874795.770000000018626,12188111.849999999627471
20161115,3474093.280000000260770,2632539.220000000204891,3235072.089999999850988,2912723.959999999962747,12254428.550000000745058
20161116,3433996.540000000037253,2619001.959999999962747,3219558.859999999869615,2911500.470000000204891,12184057.830000000074506
20161117,3413028.520000000484288,2615224.119999999646097,3204045.629999999888241,2821777.870000000111759,12054076.140000000596046
20161118,3396842.680000000633299,2581538.379999999888241,3175994.309999999590218,2795268.920000000391155,11949644.290000000968575
20161121,3417442.840000000782311,2601686.859999999869615,3196395.270000000018626,2829118.810000000055879,12044643.780000001192093
20161122,3443928.760000000707805,2605464.700000000186265,3235709.619999999646097,2859706.060000000055879,12144809.140000000596046
20161123,3538100.920000000856817,2602946.140000000130385,3262910.899999999906868,2888661.990000000223517,12292619.950000001117587
20161125,3524490.100000000558794,2627502.099999999627471,3247397.669999999925494,2904975.190000000409782,12304365.060000002384186
20161128,3491014.840000000782311,2615224.119999999646097,3232521.970000000204891,2903343.870000000111759,12242104.800000000745058
20161129,3459378.880000000819564,2609557.359999999869615,3348977.449999999720603,2910684.810000000055879,12328598.500000000000000
20161130,3515293.600000000558794,2596020.099999999627471,3364490.679999999701977,2872348.790000000502914,12348153.169999999925494
20161201,3540308.080000000074506,2577130.899999999906868,3420168.299999999813735,2882136.709999999962747,12419743.990000002086163
20161202,3499843.480000000447035,2594131.180000000167638,3415705.589999999850988,2890701.140000000130385,12400381.390000000596046
20161205,3474461.140000000596046,2612705.559999999590218,3349827.489999999757856,2852365.120000000111759,12289359.309999998658895
20161206,3502786.360000000335276,2610187.000000000000000,3343239.679999999701977,2869493.979999999981374,12325707.019999999552965
20161207,3580404.820000000298023,2650169.140000000130385,3387441.759999999776483,2879281.899999999906868,12497297.620000001043081
20161208,3541411.660000000149012,2628761.379999999888241,3385741.679999999701977,2868678.320000000298023,12424593.039999999105930
20161209,3514190.020000000484288,2656150.720000000204891,3402742.479999999981374,2858074.740000000223517,12431157.960000000894070
20161212,3497636.320000000298023,2680077.039999999571592,3389354.350000000093132,2922919.709999999962747,12489987.419999998062849
20161213,3532215.160000000149012,2681651.140000000130385,3411667.899999999906868,2928221.500000000000000,12553755.700000001117587
20161214,3448343.080000000074506,2656150.720000000204891,3397217.220000000204891,2909461.320000000298023,12411172.340000001713634
20161215,3477404.020000000484288,2665910.140000000130385,3413367.979999999981374,2898857.740000000223517,12455539.880000000819564
20161216,3405671.320000000298023,2665910.140000000130385,3483921.299999999813735,2894779.440000000409782,12450282.200000002980232
20161219,3410453.500000000000000,2666854.599999999627471,3432918.899999999906868,2919249.240000000223517,12429476.240000000223517
20161220,3470414.680000000633299,2662447.119999999646097,3433981.449999999720603,2929037.159999999683350,12495880.410000000149012
20161221,3451285.959999999962747,2653317.339999999850988,3428456.189999999944121,2905383.020000000018626,12438442.509999999776483
20161222,3462321.760000000707805,2659298.919999999925494,3433768.939999999944121,2838091.070000000298023,12393480.690000001341105
