代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12186738.140000002458692
真實報酬,2186738.140000002458692

夏普值報酬,0.209973814000000
夏普值風險,0.066577679187815
夏普值,3.153816963304864

預期報酬,9472.059314142592484
風險,214442.528090207633795
趨勢值,0.044170619505838
找到最佳解世代,2134
找到最佳解實驗#,1
找到最佳解次數,31

stock[index](rank)
投資組合檔數,5
DIS[6](2),JNJ[12](3),MRK[17](6),MSFT[18](1),UNH[23](7),
20140129,1867277.539999999804422,1941261.160000000149012,2086313.600000000093132,1959904.250000000000000,1892697.600000000093132,9747454.150000000372529
20140130,1916753.959999999729916,1954362.760000000009313,2138261.600000000093132,1970596.450000000186265,1933600.000000000000000,9913574.769999999552965
20140131,1900785.379999999888241,1931871.679999999934807,2116683.200000000186265,2022988.230000000447035,1919788.800000000046566,9892117.290000000968575
20140203,1832199.019999999785796,1894968.840000000083819,2081118.800000000046566,1950281.270000000018626,1878886.399999999906868,9637454.330000000074506
20140204,1859947.699999999720603,1891475.080000000074506,2138261.600000000093132,1943331.340000000316650,1872777.600000000093132,9705793.320000000298023
20140205,1878534.079999999841675,1905886.840000000083819,2139060.799999999813735,1914997.010000000242144,1881011.199999999720603,9719489.929999999701977
20140206,1978010.479999999981374,1937985.760000000009313,2148651.200000000186265,1934242.970000000204891,1882339.200000000186265,9881229.609999999403954
20140207,1980890.059999999823049,1966154.200000000186265,2188611.200000000186265,1954558.150000000372529,1895353.600000000093132,9985567.210000000894070
20140210,2017277.479999999981374,1988645.279999999795109,2193406.399999999906868,1967388.790000000037253,1852326.399999999906868,10019044.349999999627471
20140211,2036387.419999999925494,2030133.679999999934807,2225774.000000000000000,1987169.360000000335276,1875699.200000000186265,10155163.660000000149012
20140212,2039528.779999999795109,2018123.880000000121072,2197802.000000000000000,2003207.660000000149012,1865606.399999999906868,10124268.720000000670552
20140213,2039267.000000000000000,2021180.920000000158325,2201798.000000000000000,2010692.200000000186265,1891369.599999999860302,10164307.720000000670552
20140214,2074083.739999999990687,2025548.120000000111759,2215384.399999999906868,2011226.810000000055879,1952723.199999999953434,10278966.269999999552965
20140218,2083246.039999999804422,2012664.880000000121072,2225374.399999999906868,2000534.610000000335276,1960956.800000000046566,10282776.730000000447035
20140219,2064659.659999999916181,2001091.800000000046566,2199400.399999999906868,2005346.100000000093132,1953520.000000000000000,10224017.959999999031425
20140220,2073036.619999999646097,2017250.439999999944121,2230169.600000000093132,2018176.740000000223517,1951660.800000000046566,10290294.200000001117587
20140221,2097643.939999999478459,1998471.479999999981374,2238960.799999999813735,2030472.770000000018626,1960425.600000000093132,10325974.589999997988343
20140224,2113350.739999999757856,1989518.719999999972060,2244954.799999999813735,2014969.080000000074506,2018857.600000000093132,10381650.939999999478459
20140225,2099738.179999999701977,1989518.719999999972060,2234165.600000000093132,2006949.930000000167638,2000531.199999999720603,10330903.629999998956919
20140226,2096335.039999999804422,1989518.719999999972060,2248551.200000000186265,2003207.660000000149012,2020185.600000000093132,10357798.220000000670552
20140227,2106806.239999999757856,1994977.719999999972060,2264135.600000000093132,2024057.450000000186265,2019123.199999999953434,10409100.210000000894070
20140228,2115444.979999999981374,2011573.080000000074506,2277322.399999999906868,2048114.900000000372529,2052323.199999999953434,10504778.559999998658895
20140303,2080104.679999999701977,1999344.920000000158325,2254545.200000000186265,2019780.570000000298023,2047807.999999999767169,10401583.369999999180436
20140304,2139005.179999999701977,2038213.000000000000000,2280119.600000000093132,2053461.000000000000000,2075164.799999999813735,10585963.579999998211861
20140305,2164397.839999999850988,2021836.000000000000000,2272926.800000000279397,2037422.700000000186265,2071446.399999999906868,10568029.740000000223517
20140306,2181675.319999999832362,2028386.800000000046566,2288111.600000000093132,2039561.140000000130385,2062150.399999999906868,10599885.260000001639128
20140307,2152094.179999999701977,2037776.279999999795109,2296503.200000000186265,2026195.890000000130385,2055776.000000000232831,10568345.550000000745058
20140310,2145811.459999999962747,2040614.959999999962747,2290509.200000000186265,2021919.010000000242144,2068524.799999999813735,10567379.429999999701977
20140311,2121727.699999999720603,2041488.399999999906868,2265334.399999999906868,2032611.210000000428408,2065868.800000000046566,10527030.510000001639128
20140312,2130366.439999999478459,2043890.359999999869615,2270129.600000000093132,2045976.460000000428408,2061087.999999999767169,10551450.859999999403954
20140313,2092408.340000000083819,2030788.760000000009313,2229370.399999999906868,2025661.280000000260770,2045417.600000000093132,10423646.380000000819564
20140314,2096073.259999999543652,2026639.920000000158325,2225774.000000000000000,2015503.690000000409782,2010624.000000000000000,10374614.870000001043081
20140317,2130628.219999999739230,2051096.240000000223517,2248151.600000000093132,2034215.040000000037253,2038777.600000000093132,10502868.700000001117587
20140318,2146335.019999999552965,2051314.599999999860302,2252147.600000000093132,2114406.540000000037253,2071712.000000000000000,10635915.759999997913837
20140319,2107853.359999999869615,2043672.000000000000000,2237362.399999999906868,2099437.460000000428408,2123769.599999999627471,10612094.820000000298023
20140320,2115444.979999999981374,2055245.080000000074506,2221378.399999999906868,2156106.120000000111759,2165468.799999999813735,10713643.379999998956919
20140321,2103403.099999999627471,2094768.240000000223517,2184215.600000000093132,2147017.750000000000000,2160422.399999999906868,10689827.089999999850988
20140324,2080890.019999999785796,2078827.959999999962747,2149050.799999999813735,2165194.490000000223517,2158828.799999999813735,10632792.070000000298023
20140325,2082460.699999999720603,2126430.439999999478459,2205394.399999999906868,2156640.730000000447035,2154048.000000000000000,10724974.269999999552965
20140326,2058115.159999999916181,2119224.559999999590218,2238561.200000000186265,2127237.180000000167638,2165734.400000000372529,10708872.500000000000000
20140327,2054450.239999999990687,2124246.839999999850988,2226972.799999999813735,2104248.950000000186265,2151923.199999999720603,10661842.029999999329448
20140328,2067801.019999999785796,2127740.599999999627471,2236962.799999999813735,2154502.290000000037253,2167859.200000000186265,10754865.910000000149012
20140331,2096073.259999999543652,2144991.040000000037253,2268531.200000000186265,2191390.380000000353903,2177686.399999999906868,10878672.280000001192093
20140401,2135340.259999999776483,2138658.599999999627471,2252547.199999999720603,2214378.610000000335276,2173702.399999999906868,10914627.069999998435378
20140402,2137958.060000000055879,2144991.040000000037253,2256143.600000000093132,2210636.340000000316650,2167593.600000000093132,10917322.639999998733401
20140403,2138481.619999999646097,2145646.120000000111759,2246153.600000000093132,2192459.600000000093132,2184592.000000000000000,10907332.939999999478459
20140404,2105497.339999999850988,2149139.879999999888241,2242557.199999999720603,2131514.060000000055879,2165468.799999999813735,10794177.280000001192093
20140407,2071465.939999999711290,2137566.799999999813735,2205394.399999999906868,2127771.790000000037253,2153516.799999999813735,10695715.730000000447035
20140408,2082984.259999999543652,2141278.919999999925494,2199400.399999999906868,2128841.010000000242144,2142361.600000000093132,10694866.189999999478459
20140409,2106544.459999999962747,2160712.959999999962747,2281718.000000000000000,2163590.660000000149012,2161750.399999999906868,10874316.480000000447035
20140410,2029057.579999999841675,2108088.200000000186265,2231768.000000000000000,2104248.950000000186265,2124566.399999999906868,10597729.130000000819564
20140411,2015968.579999999841675,2115294.080000000074506,2234565.200000000186265,2096229.800000000279397,2096944.000000000000000,10559001.660000000149012
20140414,2031937.159999999916181,2121189.799999999813735,2220579.200000000186265,2094625.970000000204891,2103052.800000000279397,10571384.930000001564622
20140415,2032984.279999999795109,2166171.959999999962747,2239760.000000000000000,2125098.740000000223517,2111817.600000000093132,10675832.580000000074506
20140416,2066753.899999999906868,2156345.759999999776483,2248151.600000000093132,2159848.390000000130385,2076758.399999999906868,10707858.050000000745058
20140417,2093979.019999999785796,2160931.320000000298023,2256543.200000000186265,2138998.600000000093132,2012748.800000000046566,10663200.940000001341105
20140421,2070942.379999999888241,2183640.759999999776483,2287712.000000000000000,2135256.330000000074506,1990704.000000000000000,10668255.469999998807907
20140422,2079842.899999999906868,2187571.240000000223517,2308491.200000000186265,2137929.380000000353903,2012217.600000000093132,10726052.320000000298023
20140423,2081675.359999999636784,2188444.679999999701977,2297702.000000000000000,2121891.080000000074506,2000796.800000000046566,10690509.919999999925494
20140424,2083507.819999999832362,2182767.320000000298023,2298900.799999999813735,2130979.450000000186265,2034262.400000000139698,10730417.790000000968575
20140425,2047905.739999999990687,2179055.200000000186265,2287312.399999999906868,2133652.500000000000000,2009561.599999999860302,10657487.439999999478459
20140428,2036125.639999999897555,2212901.000000000000000,2264934.799999999813735,2184975.060000000055879,2011686.399999999906868,10710622.900000000372529
20140429,2058638.719999999739230,2206131.839999999850988,2346453.200000000186265,2165729.100000000093132,1997344.000000000000000,10774296.859999999403954
20140430,2076963.319999999832362,2211809.200000000186265,2340059.600000000093132,2159848.390000000130385,1993094.400000000139698,10781774.910000000149012
20140501,2082722.479999999981374,2195213.839999999850988,2382417.199999999720603,2138463.990000000223517,1990704.000000000000000,10789521.509999999776483
20140502,2102355.979999999981374,2168573.919999999925494,2326473.200000000186265,2121891.080000000074506,1992828.800000000046566,10712122.980000000447035
20140505,2126177.959999999962747,2183640.759999999776483,2342856.800000000279397,2107991.220000000204891,1998140.800000000046566,10758807.540000000968575
20140506,2121204.139999999664724,2172941.120000000111759,2282117.600000000093132,2088210.650000000372529,1998937.600000000093132,10663411.109999999403954
20140507,2101832.419999999925494,2203511.519999999552965,2231368.399999999906868,2107456.610000000335276,2069321.599999999860302,10713490.549999998882413
20140508,2136125.599999999627471,2194558.759999999776483,2191008.799999999813735,2119218.030000000260770,2042230.399999999906868,10683141.589999999850988
20140509,2145287.899999999906868,2203511.519999999552965,2206193.600000000093132,2113871.930000000167638,2043824.000000000000000,10712688.949999999254942
20140512,2157591.560000000055879,2194995.479999999515712,2209390.399999999906868,2136860.160000000149012,2064806.399999999906868,10763644.000000000000000
20140513,2148691.039999999571592,2205913.479999999515712,2227772.000000000000000,2160917.610000000335276,2072774.400000000139698,10816068.529999999329448
20140514,2118324.560000000055879,2202638.080000000074506,2252547.199999999720603,2151294.630000000353903,2049667.199999999953434,10774471.669999999925494
20140515,2098167.500000000000000,2198707.599999999627471,2233366.399999999906868,2117079.590000000316650,2031340.800000000046566,10678661.890000000596046
20140516,2104450.219999999739230,2196305.639999999664724,2232567.199999999720603,2129375.620000000111759,2035856.000000000232831,10698554.679999999701977
20140519,2121727.699999999720603,2197615.799999999813735,2251748.000000000000000,2125098.740000000223517,2050464.000000000000000,10746654.240000000223517
20140520,2122774.819999999832362,2189099.759999999776483,2237762.000000000000000,2121356.470000000204891,2036121.599999999860302,10707114.650000000372529
20140521,2151570.619999999646097,2208533.799999999813735,2260938.799999999813735,2157175.340000000316650,2064275.199999999953434,10842493.759999999776483
20140522,2155759.099999999627471,2204603.320000000298023,2257342.399999999906868,2143810.090000000316650,2080742.400000000139698,10842257.310000000521541
20140523,2181151.759999999776483,2205040.040000000037253,2270129.600000000093132,2144879.310000000055879,2092163.199999999953434,10893363.910000000149012
20140527,2192146.519999999552965,2201327.919999999925494,2265334.399999999906868,2148621.580000000074506,2101193.600000000093132,10908624.019999999552965
20140528,2188481.599999999627471,2190191.559999999590218,2253746.000000000000000,2138998.600000000093132,2087116.800000000046566,10858534.560000000521541
20140529,2199738.139999999664724,2200236.120000000111759,2305694.000000000000000,2156640.730000000447035,2108099.200000000186265,10970408.190000001341105
20140530,2199214.580000000074506,2215521.320000000298023,2312087.600000000093132,2188717.330000000074506,2115004.799999999813735,11030545.629999998956919
20140602,2206020.859999999869615,2231024.879999999888241,2314884.799999999813735,2180698.180000000167638,2110755.200000000186265,11043383.920000001788139
20140603,2195811.439999999478459,2237357.320000000298023,2314085.600000000093132,2153967.680000000167638,2121644.799999999813735,11022866.839999999850988
20140604,2205235.519999999552965,2242161.240000000223517,2314884.799999999813735,2155571.510000000242144,2138377.600000000093132,11056230.669999999925494
20140605,2219371.639999999664724,2253952.679999999701977,2321678.000000000000000,2203151.800000000279397,2119520.000000000000000,11117674.119999999180436
20140606,2214921.379999999888241,2253079.240000000223517,2311688.000000000000000,2217586.270000000018626,2122972.800000000279397,11120247.690000001341105
20140609,2237696.239999999757856,2253952.679999999701977,2315284.399999999906868,2206359.460000000428408,2118457.600000000093132,11131750.380000000819564
20140610,2218586.299999999813735,2273168.360000000335276,2337262.399999999906868,2197805.700000000186265,2119785.600000000093132,11146608.360000001266599
20140611,2207067.979999999981374,2256136.280000000260770,2350049.600000000093132,2184440.450000000186265,2129347.200000000186265,11127041.509999997913837
20140612,2167539.199999999720603,2238885.839999999850988,2329670.000000000000000,2169471.370000000111759,2109958.399999999906868,11015524.810000000521541
20140613,2167539.199999999720603,2238885.839999999850988,2327272.399999999906868,2204221.020000000018626,2103052.800000000279397,11040971.259999999776483
20140616,2180628.199999999720603,2237138.959999999962747,2320479.200000000186265,2218655.490000000223517,2071712.000000000000000,11028613.850000001490116
20140617,2176963.279999999795109,2225784.240000000223517,2320079.600000000093132,2228278.470000000204891,2076227.199999999953434,11027332.789999999105930
20140618,2187958.039999999571592,2244999.919999999925494,2334065.600000000093132,2226674.640000000130385,2103849.599999999627471,11097547.799999998882413
20140619,2192931.859999999869615,2266835.919999999925494,2329670.000000000000000,2219190.100000000093132,2138377.600000000093132,11147005.479999998584390
20140620,2168062.759999999776483,2298716.479999999515712,2354445.200000000186265,2228278.470000000204891,2162281.600000000093132,11211784.509999999776483
20140623,2166492.080000000074506,2287361.759999999776483,2337662.000000000000000,2244851.380000000353903,2164406.399999999906868,11200773.620000001043081
20140624,2164397.839999999850988,2283868.000000000000000,2314485.200000000186265,2232020.740000000223517,2171046.399999999906868,11165818.180000001564622
20140625,2196335.000000000000000,2309416.120000000111759,2352047.600000000093132,2246989.820000000298023,2186982.399999999906868,11291770.940000001341105
20140626,2210732.899999999906868,2307014.160000000149012,2338860.799999999813735,2230416.910000000149012,2185654.400000000372529,11272679.169999999925494
20140627,2232984.199999999720603,2292602.399999999441206,2298900.799999999813735,2258751.240000000223517,2177952.000000000000000,11261190.640000000596046
20140630,2244502.519999999552965,2284523.080000000074506,2311688.000000000000000,2229347.690000000409782,2171312.000000000000000,11241373.289999999105930
20140701,2263612.459999999962747,2311818.080000000074506,2338061.600000000093132,2238436.060000000055879,2175030.399999999906868,11326958.600000001490116
20140702,2262827.119999999646097,2311599.719999999739230,2359640.000000000000000,2240039.890000000130385,2190966.399999999906868,11365073.130000000819564
20140703,2273298.319999999832362,2301991.879999999888241,2365634.000000000000000,2234693.790000000037253,2213808.000000000000000,11389425.989999998360872
20140707,2266753.819999999832362,2324919.679999999701977,2338461.200000000186265,2244851.380000000353903,2183795.200000000186265,11358781.280000001192093
20140708,2247643.879999999888241,2308542.679999999701977,2324475.200000000186265,2233624.570000000298023,2176092.800000000279397,11290379.130000000819564
20140709,2283245.959999999962747,2315530.200000000186265,2339660.000000000000000,2227743.860000000335276,2197606.399999999906868,11363786.419999999925494
20140710,2273821.879999999888241,2310289.559999999590218,2340858.799999999813735,2228813.080000000074506,2180076.799999999813735,11333860.120000001043081
20140711,2274607.219999999739230,2295004.360000000335276,2335264.399999999906868,2250197.480000000447035,2201059.200000000186265,11356132.660000000149012
20140714,2271204.080000000074506,2301118.439999999478459,2324874.799999999813735,2252870.530000000260770,2238243.199999999720603,11388311.049999998882413
20140715,2255235.500000000000000,2255262.839999999850988,2314085.600000000093132,2269443.440000000409782,2228416.000000000000000,11322443.379999998956919
20140716,2234293.099999999627471,2232116.679999999701977,2323676.000000000000000,2356584.870000000111759,2224697.600000000093132,11371368.249999998137355
20140717,2225916.139999999664724,2191720.080000000074506,2301698.000000000000000,2380642.320000000298023,2260553.600000000093132,11360530.139999998733401
20140718,2246334.979999999981374,2222945.559999999590218,2331268.399999999906868,2389196.080000000074506,2271443.199999999720603,11461188.219999998807907
20140721,2244502.519999999552965,2211372.479999999515712,2317682.000000000000000,2397215.230000000447035,2259225.600000000093132,11429997.830000000074506
20140722,2256806.179999999701977,2237575.679999999701977,2334864.799999999813735,2396680.620000000111759,2285520.000000000000000,11511447.279999999329448
20140723,2252355.919999999925494,2231461.599999999627471,2322077.600000000093132,2398819.060000000055879,2282598.399999999906868,11487312.580000000074506
20140724,2272251.199999999720603,2231679.959999999962747,2326073.600000000093132,2373692.390000000130385,2275692.800000000279397,11479389.950000001117587
20140725,2257329.739999999757856,2229714.719999999739230,2323676.000000000000000,2379038.490000000223517,2249132.800000000279397,11438891.750000000000000
20140728,2281413.500000000000000,2229714.719999999739230,2316483.200000000186265,2350704.160000000149012,2277552.000000000000000,11455867.580000000074506
20140729,2256544.399999999906868,2226439.320000000298023,2340858.799999999813735,2346427.280000000260770,2238243.199999999720603,11408513.000000000000000
20140730,2282984.179999999701977,2233863.559999999590218,2320878.799999999813735,2329854.370000000111759,2203184.000000000000000,11370764.910000000149012
20140731,2248167.439999999478459,2185606.000000000000000,2267332.399999999906868,2307400.750000000000000,2152720.000000000000000,11161226.589999999850988
20140801,2235078.439999999478459,2181457.160000000149012,2269730.000000000000000,2291362.450000000186265,2164406.399999999906868,11142034.450000001117587
20140804,2283769.519999999552965,2187134.519999999552965,2280119.600000000093132,2318627.560000000055879,2185123.199999999720603,11254774.399999998509884
20140805,2270942.299999999813735,2179710.280000000260770,2238960.799999999813735,2303123.870000000111759,2151126.399999999906868,11143863.650000000372529
20140806,2266753.819999999832362,2199144.320000000298023,2234964.799999999813735,2284947.130000000353903,2164672.000000000000000,11150482.070000000298023
20140807,2238481.580000000074506,2182112.240000000223517,2223376.399999999906868,2311143.020000000018626,2105177.600000000093132,11060290.839999999850988
20140808,2273560.099999999627471,2207223.639999999664724,2259740.000000000000000,2309539.190000000409782,2128019.200000000186265,11178082.129999998956919
20140811,2290575.799999999813735,2208970.519999999552965,2264135.600000000093132,2309539.190000000409782,2121379.200000000186265,11194600.309999998658895
20140812,2282984.179999999701977,2197397.439999999478459,2278920.799999999813735,2326646.710000000428408,2130675.200000000186265,11216624.329999998211861
20140813,2293193.599999999627471,2221635.399999999441206,2311688.000000000000000,2356584.870000000111759,2164937.600000000093132,11348039.469999998807907
20140814,2319633.379999999888241,2227749.479999999515712,2348850.799999999813735,2366742.460000000428408,2173171.199999999720603,11436147.319999998435378
20140815,2337172.639999999664724,2209188.879999999888241,2342057.600000000093132,2394542.180000000167638,2163875.200000000186265,11446836.500000000000000
20140818,2355235.459999999962747,2242597.959999999962747,2334465.200000000186265,2411649.700000000186265,2186982.399999999906868,11530930.720000000670552
20140819,2358376.819999999832362,2248275.320000000298023,2354045.600000000093132,2423411.120000000111759,2216995.200000000186265,11601104.059999998658895
20140820,2351832.319999999832362,2253734.320000000298023,2376822.799999999813735,2403095.940000000409782,2215932.800000000279397,11601418.180000001564622
20140821,2365968.439999999478459,2275133.599999999627471,2351648.000000000000000,2417530.410000000149012,2224963.199999999720603,11635243.649999998509884
20140822,2368848.019999999552965,2251332.360000000335276,2364435.200000000186265,2413788.140000000130385,2225228.799999999813735,11623632.519999999552965
20140825,2365968.439999999478459,2254171.040000000037253,2386812.799999999813735,2414857.360000000335276,2237446.399999999906868,11659256.040000000968575
20140826,2356544.359999999869615,2258756.599999999627471,2405594.000000000000000,2406303.600000000093132,2260819.200000000186265,11688017.759999997913837
20140827,2365706.660000000149012,2253952.679999999701977,2408790.799999999813735,2398819.060000000055879,2294284.799999999813735,11721554.000000000000000
20140828,2362041.739999999757856,2248056.959999999962747,2397602.000000000000000,2399353.670000000391155,2293222.399999999906868,11700276.769999999552965
20140829,2352879.439999999478459,2265089.040000000037253,2401997.600000000093132,2428757.220000000204891,2302252.800000000279397,11750976.100000001490116
20140902,2376963.199999999720603,2257009.719999999739230,2389210.399999999906868,2410580.480000000447035,2294550.399999999906868,11728314.200000001117587
20140903,2380628.119999999646097,2265744.120000000111759,2416782.799999999813735,2403630.550000000279397,2305174.400000000372529,11771959.990000000223517
20140904,2359685.719999999739230,2267491.000000000000000,2400798.799999999813735,2419668.850000000093132,2312345.600000000093132,11759989.969999998807907
20140905,2380628.119999999646097,2280155.879999999888241,2444754.799999999813735,2454418.500000000000000,2330672.000000000000000,11890629.300000000745058
20140908,2370680.479999999981374,2272076.559999999590218,2439560.000000000000000,2484356.660000000149012,2334921.600000000093132,11901595.299999998882413
20140909,2345549.599999999627471,2266617.559999999590218,2419979.600000000093132,2499860.350000000093132,2352185.600000000093132,11884192.709999999031425
20140910,2343455.359999999869615,2292602.399999999441206,2427971.600000000093132,2504137.230000000447035,2317392.000000000000000,11885558.589999999850988
20140911,2355235.459999999962747,2282994.559999999590218,2401598.000000000000000,2512690.990000000223517,2312876.799999999813735,11865395.809999998658895
20140912,2347382.060000000055879,2283649.639999999664724,2379620.000000000000000,2496652.690000000409782,2288972.800000000279397,11796277.190000001341105
20140915,2358115.039999999571592,2286706.679999999701977,2378421.200000000186265,2472060.630000000353903,2284988.799999999813735,11780292.349999997764826
20140916,2363088.859999999869615,2312036.439999999478459,2397202.399999999906868,2499860.350000000093132,2315001.600000000093132,11887189.649999998509884
20140917,2364659.539999999571592,2318805.599999999627471,2392806.800000000279397,2487029.710000000428408,2310486.399999999906868,11873788.050000000745058
20140918,2364921.319999999832362,2344135.360000000335276,2409989.600000000093132,2495583.470000000204891,2327484.799999999813735,11942114.550000000745058
20140919,2368848.019999999552965,2358110.399999999441206,2417182.399999999906868,2540490.710000000428408,2332000.000000000000000,12016631.529999999329448
20140922,2337434.419999999925494,2355708.439999999478459,2420778.799999999813735,2515898.650000000372529,2331203.199999999720603,11961023.509999997913837
20140923,2311779.979999999981374,2346537.320000000298023,2408790.799999999813735,2489168.150000000372529,2299862.399999999906868,11856138.650000000372529
20140924,2341622.899999999906868,2372303.799999999813735,2411987.600000000093132,2516967.870000000111759,2342889.599999999627471,11985771.769999997690320
20140925,2305497.259999999776483,2338676.360000000335276,2383216.399999999906868,2461368.430000000167638,2288972.800000000279397,11777731.250000000000000
20140926,2323036.519999999552965,2338676.360000000335276,2373226.399999999906868,2481149.000000000000000,2300128.000000000000000,11816216.279999999329448
20140929,2325392.539999999571592,2326448.200000000186265,2374025.600000000093132,2482752.830000000074506,2297737.600000000093132,11806356.769999999552965
20140930,2330628.139999999664724,2327540.000000000000000,2368830.799999999813735,2478475.950000000186265,2290832.000000000000000,11796306.890000000596046
20141001,2290314.019999999552965,2277535.559999999590218,2346053.600000000093132,2453883.890000000130385,2254444.799999999813735,11622231.870000001043081
20141002,2271989.419999999925494,2267709.360000000335276,2351648.000000000000000,2446399.350000000093132,2254976.000000000000000,11592722.130000000819564
20141003,2315444.899999999906868,2295659.439999999478459,2393606.000000000000000,2464041.480000000447035,2284723.199999999720603,11753475.019999999552965
20141006,2318324.479999999981374,2289763.719999999739230,2380818.799999999813735,2464041.480000000447035,2260022.399999999906868,11712970.880000000819564
20141007,2280366.379999999888241,2235828.799999999813735,2336063.600000000093132,2434103.320000000298023,2236118.399999999906868,11522480.500000000000000
20141008,2306544.379999999888241,2290855.519999999552965,2404794.799999999813735,2500929.570000000298023,2300659.200000000186265,11803783.469999998807907
20141009,2243717.179999999701977,2229059.639999999664724,2366033.600000000093132,2451210.840000000316650,2256038.399999999906868,11546059.660000000149012
20141010,2258376.859999999869615,2210499.040000000037253,2344055.600000000093132,2353911.820000000298023,2267990.399999999906868,11434833.720000000670552
20141013,2196596.779999999795109,2164425.080000000074506,2243356.399999999906868,2333596.640000000130385,2229744.000000000000000,11167718.900000000372529
20141014,2202617.719999999739230,2118351.120000000111759,2250948.799999999813735,2337873.520000000018626,2199731.199999999720603,11109522.359999999403954
20141015,2148691.039999999571592,2144554.320000000298023,2187012.799999999813735,2310608.410000000149012,2182201.600000000093132,10973068.169999999925494
20141016,2139790.519999999552965,2113328.839999999850988,2135064.799999999813735,2284947.130000000353903,2267990.399999999906868,10941121.689999999478459
20141017,2194502.539999999571592,2155253.959999999962747,2158641.200000000186265,2332527.420000000391155,2342092.800000000279397,11183017.920000001788139
20141020,2238743.359999999869615,2166171.959999999962747,2159840.000000000000000,2356584.870000000111759,2351654.400000000372529,11272994.590000001713634
20141021,2291622.919999999925494,2191501.719999999739230,2202996.800000000279397,2399353.670000000391155,2415664.000000000000000,11501139.109999999403954
20141022,2280104.599999999627471,2210280.679999999701977,2218181.600000000093132,2372623.170000000391155,2384323.199999999720603,11465513.249999998137355
20141023,2303403.019999999552965,2241069.439999999478459,2262936.800000000279397,2406838.210000000428408,2407961.600000000093132,11622209.070000000298023
20141024,2319633.379999999888241,2251987.439999999478459,2302097.600000000093132,2466179.920000000391155,2433990.399999999906868,11773888.740000000223517
20141027,2315444.899999999906868,2272513.280000000260770,2255744.000000000000000,2454418.500000000000000,2447004.799999999813735,11745125.480000000447035
