代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10774536.719999998807907
真實報酬,774536.719999998807907

夏普值報酬,0.068753672000000
夏普值風險,0.028956820731413
夏普值,2.374351543552411

二次趨勢線,48.861767340043464 x^2 + 12693.646476818850715 x + 10000000.000000000000000
二次加權預期報酬,16830.609444942532718
風險,69341.060712380392943
二次加權趨勢值,0.242722122679291
一次趨勢線,15020.543869516304767 x + 10000000.000000000000000
一次預期報酬,15020.543869516304767
一次風險,72780.533716438236297
一次趨勢值,0.206381337186096
找到最佳解世代,2553
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
TRV[22](1),UNH[23](10),WMT[28](9),
FS( 39 ),3603258.209999999962747,3658137.090000000316650,3362310.279999999795109,10623706.580000000074506
FS( 40 ),3566426.310000000055879,3630798.870000000111759,3359140.889999999664724,10556367.070000000298023
FS( 41 ),3599575.019999999552965,3660740.730000000447035,3349632.719999999739230,10609949.469999998807907
FS( 42 ),3591682.470000000204891,3606715.199999999720603,3341482.859999999869615,10539881.529999999329448
FS( 43 ),3634302.239999999292195,3675060.750000000000000,3352802.109999999869615,10662166.099999999627471
FS( 44 ),3614833.950000000186265,3697191.689999999944121,3339219.009999999776483,10651245.650000000372529
FS( 45 ),3631145.220000000204891,3701097.149999999906868,3359593.659999999683350,10691837.029999999329448
FS( 46 ),3645351.810000000055879,3773348.160000000149012,3383137.699999999720603,10801838.669999999925494
FS( 47 ),3660084.569999999832362,3718671.720000000204891,3401701.269999999552965,10780458.559999998658895
FS( 48 ),3659032.229999999981374,3749264.490000000223517,3407134.509999999776483,10815432.230000000447035
FS( 49 ),3647456.489999999292195,3740802.660000000149012,3356877.039999999571592,10745137.189999999478459
FS( 50 ),3651665.850000000093132,3717369.899999999906868,3414831.599999999627471,10783868.349999999627471
FS( 51 ),3639037.769999999552965,3753169.949999999720603,3396268.029999999795109,10788476.749999998137355
FS( 52 ),3615886.289999999571592,3714766.260000000242144,3432489.629999999888241,10763143.179999999701977
FS( 53 ),3672186.479999999981374,3742104.480000000447035,3493160.810000000055879,10907452.770000001415610
FS( 54 ),3709018.379999999422580,3702398.970000000204891,3482294.329999999608845,10893712.679999999701977
FS( 55 ),3755847.509999999776483,3644467.980000000447035,3487727.569999999832362,10888044.060000000521541
FS( 56 ),3890547.029999999795109,3645769.799999999813735,3466447.379999999888241,11002765.210000000894070
FS( 57 ),3867921.720000000204891,3622987.949999999720603,3423887.000000000000000,10914797.669999999925494
FS( 58 ),3893177.879999999422580,3680268.030000000260770,3425245.310000000055879,10998692.220000000670552
FS( 59 ),3861081.509999999776483,3656835.270000000018626,3384948.779999999795109,10902866.559999998658895
FS( 60 ),3850558.110000000335276,3639911.610000000335276,3387665.399999999441206,10878136.120000001043081
FS( 61 ),3794784.089999999850988,3658788.000000000000000,3410303.899999999441206,10863876.989999998360872
FS( 62 ),3765318.569999999832362,3630798.870000000111759,3400795.729999999981374,10796914.169999999925494
FS( 63 ),3732696.029999999795109,3645118.890000000130385,3396720.799999999813735,10774536.719999998807907
