代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11794474.040000000968575
真實報酬,1794474.040000000968575

夏普值報酬,0.170747404000000
夏普值風險,0.047163681146184
夏普值,3.620315459914313

預期報酬,14527.420114862452465
風險,108277.933729927826789
趨勢值,0.134167873493943
找到最佳解世代,2247
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,6
CAT[3](5),DD[7](3),MRK[17](9),MSFT[18](7),PG[21](22),V[25](4),
20131011,1710830.639999999897555,1782467.200000000186265,1655464.080000000074506,1709234.000000000000000,1730384.719999999972060,1676084.139999999897555,10264468.780000001192093
20131014,1723420.559999999823049,1771496.560000000288710,1636560.840000000083819,1725259.600000000093132,1736117.199999999720603,1686897.560000000055879,10279756.320000000298023
20131015,1713628.399999999906868,1754735.860000000102445,1630259.760000000009313,1727262.800000000046566,1710982.479999999748543,1668758.920000000158325,10205632.219999998807907
20131016,1724020.079999999841675,1784905.120000000111759,1651263.360000000102445,1734774.799999999813735,1727298.000000000000000,1706082.659999999916181,10328348.019999999552965
20131017,1715626.799999999813735,1796180.500000000000000,1649163.000000000000000,1748797.199999999953434,1751109.840000000083819,1729104.780000000027940,10389986.119999999180436
20131018,1745402.959999999962747,1792828.360000000102445,1631660.000000000000000,1750800.399999999906868,1750889.359999999869615,1747941.060000000055879,10419526.140000000596046
20131021,1752597.199999999953434,1794961.540000000037253,1628159.399999999906868,1752302.800000000046566,1741188.239999999990687,1744452.859999999869615,10413666.039999999105930
20131022,1781973.679999999934807,1803189.520000000251457,1626759.160000000149012,1731769.999999999767169,1772275.919999999925494,1744104.040000000037253,10460076.320000000298023
20131023,1673860.239999999990687,1780943.500000000000000,1629909.700000000186265,1690704.399999999674037,1783961.359999999869615,1734337.080000000074506,10293720.279999999329448
20131024,1689247.919999999925494,1762963.840000000316650,1618007.660000000149012,1688701.199999999720603,1777346.959999999962747,1769567.899999999906868,10305839.479999998584390
20131025,1694044.079999999841675,1715119.660000000149012,1629209.580000000074506,1789361.999999999767169,1763897.679999999934807,1770963.180000000167638,10362600.179999999701977
20131028,1684251.919999999925494,1697444.740000000223517,1587552.440000000176951,1781349.199999999953434,1792560.079999999841675,1770963.180000000167638,10314125.560000000521541
20131029,1680055.279999999795109,1712377.000000000000000,1595603.820000000065193,1778845.199999999953434,1818135.759999999776483,1781078.960000000195578,10366100.019999999552965
20131030,1668464.559999999823049,1703844.280000000027940,1583701.780000000260770,1779846.799999999813735,1797410.639999999897555,1777590.760000000009313,10310862.820000000298023
20131031,1665866.639999999897555,1712986.480000000214204,1578450.880000000121072,1773336.399999999674037,1780433.679999999934807,1715151.979999999981374,10226230.060000000521541
20131101,1670462.959999999962747,1690435.720000000204891,1583351.719999999972060,1779346.000000000000000,1789252.880000000121072,1736778.820000000065193,10249632.100000001490116
20131104,1676458.159999999916181,1666666.000000000000000,1600504.660000000149012,1799878.799999999813735,1793221.519999999785796,1713059.060000000055879,10249792.200000001117587
20131105,1679655.599999999860302,1680379.300000000279397,1587902.500000000000000,1834934.799999999813735,1795426.320000000065193,1721081.920000000158325,10299384.439999999478459
20131106,1683052.879999999888241,1703844.280000000027940,1608906.100000000093132,1912057.999999999767169,1825852.560000000055879,1735732.359999999869615,10469450.179999999701977
20131107,1671662.000000000000000,1678246.120000000111759,1604005.260000000009313,1878003.599999999860302,1815049.039999999804422,1710268.500000000000000,10357238.519999999552965
20131108,1683452.559999999823049,1721519.200000000186265,1638311.139999999897555,1892026.000000000000000,1819238.160000000149012,1729104.780000000027940,10483655.839999997988343
20131111,1681654.000000000000000,1721214.460000000195578,1645312.340000000083819,1882510.800000000046566,1813726.160000000149012,1737825.280000000027940,10482247.039999999105930
20131112,1675658.799999999813735,1707196.420000000158325,1665965.880000000121072,1870992.399999999906868,1825632.079999999841675,1729104.780000000027940,10474554.359999999403954
20131113,1682653.199999999953434,1718471.800000000279397,1657214.380000000121072,1911056.399999999674037,1841065.679999999934807,1742359.940000000176951,10552825.399999998509884
20131114,1673860.239999999990687,1740413.080000000074506,1674017.260000000009313,1904045.199999999953434,1859145.039999999804422,1745499.320000000065193,10596984.140000000596046
20131115,1673460.559999999823049,1745898.400000000139698,1682768.760000000009313,1895030.800000000046566,1870610.000000000000000,1761545.040000000037253,10629317.559999998658895
20131118,1679455.760000000009313,1730356.660000000149012,1680668.399999999906868,1862979.600000000093132,1864657.039999999804422,1743406.399999999906868,10561527.859999999403954
20131119,1672061.679999999934807,1723042.900000000139698,1682768.760000000009313,1839942.800000000046566,1859586.000000000000000,1721430.739999999990687,10498836.880000000819564
20131120,1652277.520000000018626,1703844.280000000027940,1684869.120000000111759,1856969.999999999767169,1867302.799999999813735,1727709.500000000000000,10492977.219999998807907
20131121,1641086.479999999981374,1719995.500000000000000,1702022.060000000055879,1872995.599999999860302,1866861.840000000083819,1758056.840000000083819,10561022.320000000298023
20131122,1656274.319999999832362,1721214.460000000195578,1713223.979999999981374,1881509.199999999953434,1873035.280000000027940,1762591.500000000000000,10607852.740000000223517
20131125,1686650.000000000000000,1692873.640000000130385,1738428.300000000046566,1885014.799999999813735,1883177.359999999869615,1760847.399999999906868,10646995.500000000000000
20131126,1685850.639999999897555,1683426.700000000186265,1735627.820000000065193,1870491.599999999860302,1866200.399999999906868,1774800.200000000186265,10616401.359999999403954
20131127,1692045.679999999934807,1696835.260000000242144,1744379.320000000065193,1883011.599999999860302,1858263.119999999878928,1778986.040000000037253,10653525.019999999552965
20131129,1690646.799999999813735,1695311.560000000288710,1744379.320000000065193,1909554.000000000000000,1856940.239999999990687,1774451.379999999888241,10671287.300000000745058
20131202,1683652.399999999906868,1735232.500000000000000,1756631.420000000158325,1925579.600000000093132,1837538.000000000000000,1788753.000000000000000,10727390.919999999925494
20131203,1676058.479999999981374,1680379.300000000279397,1741928.899999999906868,1918568.399999999906868,1848341.519999999785796,1759452.119999999878928,10624732.719999998807907
20131204,1678056.879999999888241,1687693.060000000288710,1726176.200000000186265,1950118.799999999813735,1837758.479999999748543,1768172.619999999878928,10647980.039999999105930
20131205,1686849.839999999850988,1675503.460000000195578,1708673.200000000186265,1903043.599999999860302,1823206.799999999813735,1759103.300000000046566,10556384.199999999254942
20131206,1708632.399999999906868,1704149.020000000251457,1728976.680000000167638,1921072.399999999906868,1863554.639999999897555,1760498.580000000074506,10686887.720000000670552
20131209,1720422.959999999962747,1770582.340000000316650,1734927.700000000186265,1938600.399999999906868,1869287.119999999878928,1758056.840000000083819,10791881.359999999403954
20131210,1727017.679999999934807,1813245.940000000176951,1730376.920000000158325,1908552.399999999906868,1844372.880000000121072,1739220.560000000055879,10762790.380000000819564
20131211,1704235.919999999925494,1781552.980000000214204,1713574.040000000270084,1883512.399999999906868,1852530.639999999897555,1793636.479999999981374,10729046.460000000894070
20131212,1710031.279999999795109,1769058.640000000130385,1691520.260000000009313,1863981.199999999720603,1814608.079999999841675,1774102.560000000055879,10623306.019999999552965
20131213,1719623.599999999860302,1801970.560000000288710,1693620.620000000111759,1837438.799999999813735,1816151.439999999944121,1808286.920000000158325,10677095.939999999478459
20131216,1746202.319999999832362,1805322.700000000186265,1683468.880000000121072,1846954.000000000000000,1801158.799999999813735,1811775.119999999878928,10694885.819999998435378
20131217,1737009.679999999934807,1831530.340000000316650,1676817.739999999990687,1828925.199999999953434,1783961.359999999869615,1859563.460000000195578,10717811.780000001192093
20131218,1761989.679999999934807,1888211.980000000214204,1711823.739999999990687,1831929.999999999767169,1816371.919999999925494,1878050.920000000158325,10888382.240000000223517
20131219,1749399.760000000009313,1905277.420000000158325,1707973.080000000074506,1815403.599999999860302,1805788.880000000121072,1884329.680000000167638,10868176.419999999925494
20131220,1777177.520000000018626,1900096.840000000316650,1726526.260000000009313,1842947.599999999627471,1804466.000000000000000,1883283.220000000204891,10934501.439999999478459
20131223,1797761.039999999804422,1904363.200000000186265,1727926.500000000000000,1833933.199999999720603,1792780.560000000055879,1901421.859999999869615,10958190.359999999403954
20131224,1816745.839999999850988,1927828.180000000167638,1729676.800000000046566,1856969.999999999767169,1792780.560000000055879,1907351.800000000046566,11031357.180000001564622
20131226,1821542.000000000000000,1946722.060000000288710,1740528.660000000149012,1874998.799999999813735,1802702.160000000149012,1920258.139999999897555,11106755.820000000298023
20131227,1815946.479999999981374,1935446.680000000167638,1742979.080000000074506,1867486.799999999813735,1808214.160000000149012,1915723.479999999981374,11085800.679999999701977
20131230,1815946.479999999981374,1935446.680000000167638,1748229.979999999981374,1867486.799999999813735,1807993.679999999934807,1926536.899999999906868,11101644.520000001415610
20131231,1814747.439999999944121,1926913.960000000195578,1752080.639999999897555,1873496.399999999674037,1794985.359999999869615,1941884.979999999981374,11104112.779999999329448
20140102,1795962.479999999981374,1903753.720000000204891,1732477.280000000260770,1860976.399999999674037,1775803.600000000093132,1927234.540000000037253,10996212.019999999552965
20140103,1794963.279999999795109,1895221.000000000000000,1740878.719999999972060,1848456.399999999674037,1773819.280000000027940,1928629.820000000065193,10981972.500000000000000
20140106,1771382.159999999916181,1891868.860000000102445,1741228.780000000260770,1809394.000000000000000,1778008.399999999906868,1917118.760000000009313,10909004.960000000894070
20140107,1777177.520000000018626,1870841.800000000279397,1754181.000000000000000,1823416.399999999674037,1795205.840000000083819,1931769.200000000186265,10952595.760000001639128
20140108,1781374.159999999916181,1872974.980000000214204,1742979.080000000074506,1790864.399999999674037,1769189.199999999720603,1938047.960000000195578,10895433.780000001192093
20140109,1792765.039999999804422,1848900.520000000251457,1733527.460000000195578,1779346.000000000000000,1773157.840000000083819,1935257.399999999906868,10862958.260000001639128
20140110,1808752.239999999990687,1853471.620000000111759,1746129.620000000111759,1804886.799999999813735,1770512.079999999841675,1928281.000000000000000,10912037.359999999403954
20140113,1796362.159999999916181,1818121.780000000027940,1859549.060000000055879,1751801.999999999767169,1764118.160000000149012,1909095.899999999906868,10899053.060000000521541
20140114,1809751.439999999944121,1851033.700000000186265,1855348.340000000083819,1791866.000000000000000,1783079.439999999944121,1941536.159999999916181,11032619.080000000074506
20140115,1846721.839999999850988,1868403.880000000353903,1838545.460000000195578,1840944.399999999674037,1781315.600000000093132,1951303.119999999878928,11127238.299999998882413
20140116,1838728.239999999990687,1869927.580000000074506,1837845.340000000083819,1847454.799999999813735,1776244.560000000055879,1933862.119999999878928,11104066.639999998733401
20140117,1827337.359999999869615,1869318.100000000325963,1818592.040000000270084,1821914.000000000000000,1761251.919999999925494,2024904.139999999897555,11123321.560000000521541
20140121,1810550.799999999813735,1993347.280000000027940,1814391.320000000065193,1811397.199999999953434,1767866.320000000065193,2022462.399999999906868,11220019.320000000298023
20140122,1791366.159999999916181,1982376.640000000130385,1797588.440000000176951,1799377.999999999767169,1746920.719999999972060,2031880.540000000037253,11149514.500000000000000
20140123,1768184.719999999972060,1940932.000000000000000,1806339.940000000176951,1805888.399999999906868,1725093.199999999720603,1990370.960000000195578,11036813.220000000670552
20140124,1722021.679999999934807,1883945.620000000111759,1819642.219999999972060,1843448.399999999906868,1745818.320000000065193,1929327.460000000195578,10944207.700000001117587
20140127,1824339.760000000009313,1870537.060000000288710,1838895.520000000018626,1804386.000000000000000,1730164.239999999990687,1885724.960000000195578,10954051.540000000968575
20140128,1847920.879999999888241,1868708.620000000111759,1850797.560000000055879,1816405.199999999953434,1744274.959999999962747,1926885.720000000204891,11054996.940000001341105
20140129,1810950.479999999981374,1941236.740000000223517,1827693.600000000093132,1835936.399999999674037,1711864.399999999906868,1893399.000000000000000,11021084.619999999180436
20140130,1862509.199999999953434,1966530.160000000149012,1873201.399999999906868,1845952.399999999906868,1694887.439999999944121,1926188.080000000074506,11169272.679999999701977
20140131,1876697.839999999850988,1975062.880000000353903,1854298.160000000149012,1895030.800000000046566,1689375.439999999944121,1878748.560000000055879,11169217.680000001564622
20140203,1846921.679999999934807,1939408.300000000279397,1823142.820000000065193,1826921.999999999767169,1669091.280000000027940,1861656.379999999888241,10967146.460000000894070
20140204,1848520.399999999906868,1951293.160000000149012,1873201.399999999906868,1820411.599999999860302,1677690.000000000000000,1871074.520000000018626,11042195.079999998211861
20140205,1837729.039999999804422,1946417.320000000065193,1873901.520000000018626,1793869.199999999953434,1685627.280000000027940,1880143.840000000083819,11017692.199999999254942
20140206,1875099.119999999878928,1978415.020000000251457,1882302.960000000195578,1811897.999999999767169,1695548.880000000121072,1909793.540000000037253,11153061.519999999552965
20140207,1895882.479999999981374,1979024.500000000000000,1917308.960000000195578,1830928.399999999906868,1704588.560000000055879,1934210.940000000176951,11261947.839999999850988
20140210,1888488.399999999906868,1989385.660000000149012,1921509.680000000167638,1842947.599999999627471,1720463.119999999878928,1923397.520000000018626,11286195.979999998584390
20140211,1897681.039999999804422,2032658.740000000223517,1949864.540000000270084,1861477.199999999953434,1738322.000000000000000,1938745.600000000093132,11418753.119999999180436
20140212,1921861.679999999934807,2012545.900000000372529,1925360.340000000083819,1876501.199999999720603,1708557.199999999720603,1954791.320000000065193,11399621.639999998733401
20140213,1920662.639999999897555,2009498.500000000000000,1928860.940000000176951,1883512.399999999906868,1715392.079999999841675,1953744.859999999869615,11411675.419999999925494
20140214,1929455.599999999860302,2027173.420000000158325,1940762.979999999981374,1884013.199999999720603,1750668.880000000121072,1970837.040000000037253,11502915.120000001043081
20140218,1929655.439999999944121,2030220.820000000298023,1949514.479999999981374,1873997.199999999953434,1719140.239999999990687,1971534.680000000167638,11474066.859999999403954
20140219,1922661.039999999804422,2015288.560000000055879,1926760.580000000074506,1878504.399999999674037,1722888.399999999906868,1952349.580000000074506,11418456.559999998658895
20140220,1936849.679999999934807,2045762.560000000055879,1953715.200000000186265,1890523.599999999860302,1718037.840000000083819,1948861.379999999888241,11493754.260000001639128
20140221,1948440.399999999906868,2038144.060000000055879,1961416.520000000018626,1902041.999999999767169,1719140.239999999990687,1947814.920000000158325,11517002.140000000596046
20140224,1944843.279999999795109,2037534.580000000074506,1966667.420000000158325,1887518.799999999813735,1716714.959999999962747,1972581.139999999897555,11525864.179999999701977
20140225,1926657.839999999850988,2049419.440000000176951,1957215.800000000046566,1880006.799999999813735,1722447.439999999944121,1980604.000000000000000,11516355.320000000298023
20140226,1942445.199999999953434,2075627.080000000074506,1969817.960000000195578,1876501.199999999720603,1716714.959999999962747,1971883.500000000000000,11552993.899999998509884
20140227,1932453.199999999953434,2105186.860000000335276,1983470.300000000046566,1896032.399999999906868,1723990.799999999813735,1973278.780000000027940,11614416.339999997988343
20140228,1937848.879999999888241,2114024.320000000298023,1995022.280000000260770,1918568.399999999906868,1734353.359999999869615,1970488.220000000204891,11670309.460000000894070
20140303,1924659.439999999944121,2102139.459999999962747,1975068.860000000102445,1892026.000000000000000,1708336.719999999972060,1931071.560000000055879,11533306.040000000968575
20140304,1938848.079999999841675,2146631.500000000000000,1997472.700000000186265,1923576.399999999674037,1729723.280000000027940,1966651.200000000186265,11702907.160000000149012
20140305,1925858.479999999981374,2166134.860000000335276,1991171.620000000111759,1908552.399999999906868,1715833.039999999804422,1942931.440000000176951,11650485.839999999850988
20140306,1950438.799999999813735,2160344.799999999813735,2004473.899999999906868,1910555.599999999860302,1721124.560000000055879,1952349.580000000074506,11699291.240000000223517
20140307,1939447.599999999860302,2148764.680000000633299,2011825.160000000149012,1898035.599999999860302,1728179.919999999925494,1967000.020000000018626,11693256.980000000447035
20140310,1933452.399999999906868,2162477.980000000447035,2006574.260000000009313,1894029.199999999953434,1731487.119999999878928,1966651.200000000186265,11694676.160000000149012
20140311,1935250.959999999962747,2137794.040000000037253,1984520.479999999981374,1904045.199999999953434,1740747.280000000027940,1981301.639999999897555,11683663.600000001490116
20140312,1934851.279999999795109,2127737.620000000111759,1988721.200000000186265,1916565.199999999953434,1747141.199999999720603,1971883.500000000000000,11686904.000000000000000
20140313,1910670.639999999897555,2115243.280000000260770,1953015.080000000074506,1897534.799999999813735,1746038.799999999813735,1925490.440000000176951,11547997.039999999105930
20140314,1906274.159999999916181,2111281.660000000149012,1949864.540000000270084,1888019.600000000093132,1741408.719999999972060,1925141.619999999878928,11521994.300000000745058
20140317,1911869.679999999934807,2126518.660000000149012,1969467.899999999906868,1905547.599999999627471,1760370.000000000000000,1951651.940000000176951,11625429.779999999329448
20140318,1926657.839999999850988,2155468.959999999962747,1972968.500000000000000,1980667.599999999627471,1758826.639999999897555,1974325.239999999990687,11768918.779999999329448
20140319,1919263.760000000009313,2153031.040000000037253,1960016.280000000260770,1966645.199999999953434,1736999.119999999878928,1952000.760000000009313,11687960.160000000149012
20140320,1922661.039999999804422,2180457.639999999664724,1946013.880000000121072,2019729.999999999767169,1726857.039999999804422,1934559.760000000009313,11730283.359999999403954
20140321,1946242.159999999916181,2178933.940000000409782,1913458.300000000046566,2011216.399999999674037,1717155.919999999925494,1947814.920000000158325,11714825.639999998733401
20140324,1935450.799999999813735,2176800.760000000707805,1882653.020000000018626,2028243.599999999860302,1748464.079999999841675,1925141.619999999878928,11696757.879999998956919
20140325,1970222.959999999962747,2197827.820000000298023,1932011.479999999981374,2020230.800000000046566,1759708.560000000055879,1904561.239999999990687,11784566.859999999403954
20140326,1954435.599999999860302,2145107.799999999813735,1961066.460000000195578,1992686.799999999813735,1752873.679999999934807,1880841.479999999981374,11687015.820000000298023
20140327,1967425.199999999953434,2082636.100000000325963,1950914.719999999972060,1971152.399999999906868,1756180.880000000121072,1881539.119999999878928,11609852.419999999925494
20140328,1986210.159999999916181,2091778.300000000279397,1959666.219999999972060,2018227.599999999627471,1758606.160000000149012,1849447.680000000167638,11663940.119999999180436
20140331,1985810.479999999981374,2108843.740000000223517,1987320.960000000195578,2052782.800000000046566,1777126.479999999748543,1882585.580000000074506,11794474.040000000968575
