代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12145863.470000000670552
真實報酬,2145863.470000000670552

夏普值報酬,0.205886347000000
夏普值風險,0.057907156208901
夏普值,3.555456017512973

預期報酬,17498.344313606048672
風險,85480.240007233718643
趨勢值,0.204706307704860
找到最佳解世代,1653
找到最佳解實驗#,1
找到最佳解次數,33

stock[index](rank)
投資組合檔數,7
BA[2](5),CAT[3](1),MCD[15](6),MMM[16](9),PFE[20](22),UNH[23](2),V[25](3),
20170418,1436567.229999999748543,1453673.000000000000000,1458220.179999999934807,1420283.739999999990687,1413120.540000000270084,1468462.800000000279397,1442394.639999999897555,10092725.130000000819564
20170419,1441009.579999999841675,1439505.000000000000000,1461967.659999999683350,1417372.000000000000000,1403516.199999999953434,1474211.400000000139698,1442716.119999999878928,10080300.959999999031425
20170420,1448278.879999999888241,1457831.000000000000000,1468911.520000000018626,1427301.780000000027940,1408944.740000000223517,1494157.300000000046566,1465219.719999999972060,10170647.940000001341105
20170421,1457002.039999999804422,1452595.000000000000000,1470454.599999999860302,1429840.219999999972060,1404768.940000000176951,1490847.500000000000000,1465219.719999999972060,10170731.020000001415610
20170424,1470571.399999999906868,1490941.000000000000000,1479492.639999999664724,1450222.399999999906868,1408944.740000000223517,1501038.200000000186265,1476471.519999999785796,10277684.899999998509884
20170425,1482283.049999999813735,1608135.000000000000000,1561826.979999999748543,1456941.800000000046566,1409779.899999999906868,1515932.300000000046566,1480650.759999999776483,10515552.789999999105930
20170426,1467744.449999999953434,1611831.000000000000000,1552348.059999999823049,1455971.219999999972060,1413538.120000000111759,1518893.700000000186265,1475989.299999999813735,10496318.850000001490116
20170427,1479940.719999999739230,1581339.000000000000000,1552678.719999999972060,1464258.479999999981374,1413955.699999999953434,1521071.200000000186265,1472453.019999999785796,10485699.839999999850988
20170428,1492944.689999999944121,1574871.000000000000000,1542318.039999999804422,1462168.000000000000000,1416461.180000000167638,1523248.700000000186265,1466344.899999999906868,10478359.509999999776483
20170501,1473236.809999999590218,1570867.000000000000000,1555764.879999999888241,1454552.679999999934807,1410615.060000000055879,1520722.800000000279397,1466987.859999999869615,10452750.089999999850988
20170502,1481717.659999999683350,1563321.000000000000000,1556646.639999999664724,1467394.199999999953434,1403516.199999999953434,1516803.300000000046566,1487562.580000000074506,10476964.580000000074506
20170503,1481313.809999999590218,1563783.000000000000000,1571967.219999999972060,1475606.800000000046566,1397670.080000000074506,1502867.300000000046566,1485955.179999999934807,10479166.389999998733401
20170504,1478729.169999999692664,1530673.000000000000000,1581115.479999999748543,1489642.879999999888241,1396834.920000000158325,1515758.100000000325963,1488848.500000000000000,10481605.049999998882413
20170505,1494398.549999999813735,1534523.000000000000000,1586736.699999999953434,1488821.620000000111759,1398087.659999999916181,1516629.100000000093132,1480329.280000000027940,10499528.910000000149012
20170508,1502556.319999999832362,1530365.000000000000000,1589822.859999999869615,1483222.120000000111759,1396834.920000000158325,1519416.300000000046566,1477596.699999999953434,10499817.219999998807907
20170509,1509744.849999999860302,1529133.000000000000000,1591145.500000000000000,1478070.580000000074506,1393911.860000000102445,1508964.300000000279397,1478882.619999999878928,10489855.709999999031425
20170510,1479617.639999999897555,1545611.000000000000000,1592909.020000000018626,1468215.459999999962747,1379296.560000000055879,1510270.800000000046566,1482901.119999999878928,10458824.599999999627471
20170511,1485756.159999999683350,1555313.000000000000000,1589492.199999999953434,1469036.719999999972060,1379714.140000000130385,1509661.100000000093132,1480490.019999999785796,10469466.339999997988343
20170512,1480183.029999999795109,1551001.000000000000000,1602167.500000000000000,1467692.839999999850988,1378461.399999999906868,1496509.000000000232831,1490616.639999999897555,10466634.410000000149012
20170515,1473236.809999999590218,1577335.000000000000000,1612307.739999999757856,1475606.800000000046566,1383054.780000000027940,1494070.200000000186265,1498653.639999999897555,10514267.969999998807907
20170516,1475740.679999999701977,1576103.000000000000000,1623439.959999999729916,1477697.280000000027940,1361340.620000000111759,1464369.100000000093132,1497367.719999999972060,10476061.360000001266599
20170517,1444078.839999999850988,1542223.000000000000000,1613740.599999999860302,1454776.659999999916181,1345890.159999999916181,1470814.500000000232831,1475024.859999999869615,10346551.619999999180436
20170518,1432932.579999999841675,1543455.000000000000000,1620353.799999999813735,1457763.060000000055879,1345472.580000000074506,1493373.400000000139698,1474221.159999999683350,10367574.580000000074506
20170519,1460071.299999999813735,1577489.000000000000000,1632918.879999999888241,1461944.020000000018626,1355494.500000000000000,1503302.800000000279397,1486598.139999999897555,10477821.640000000596046
20170522,1483575.369999999646097,1575333.000000000000000,1633359.759999999776483,1482176.879999999888241,1341296.780000000027940,1521680.900000000139698,1499939.559999999823049,10537365.250000000000000
20170523,1482121.509999999776483,1595969.000000000000000,1629281.619999999878928,1476353.399999999906868,1342131.940000000176951,1526210.100000000093132,1508780.259999999776483,10560850.830000000074506
20170524,1496337.029999999795109,1600897.000000000000000,1647798.579999999841675,1474561.560000000055879,1338373.719999999972060,1529432.800000000279397,1524050.559999999823049,10611454.250000000000000
20170525,1511037.169999999692664,1617375.000000000000000,1650884.739999999757856,1489866.859999999869615,1342967.099999999860302,1550859.400000000139698,1527747.580000000074506,10690740.849999999627471
20170526,1507160.209999999729916,1627231.000000000000000,1651766.500000000000000,1498303.439999999944121,1342131.940000000176951,1546068.900000000139698,1521800.199999999953434,10694465.189999999478459
20170530,1509502.539999999804422,1624305.000000000000000,1652538.039999999804422,1511518.260000000009313,1341714.360000000102445,1538142.800000000279397,1522603.899999999906868,10700327.900000000372529
20170531,1515560.289999999804422,1623689.000000000000000,1663119.159999999683350,1526674.239999999990687,1363428.520000000018626,1525861.700000000186265,1530801.639999999897555,10749137.550000000745058
20170601,1513056.419999999692664,1627077.000000000000000,1679652.159999999683350,1525778.319999999832362,1365934.000000000000000,1564185.700000000186265,1533534.219999999972060,10809220.820000002160668
20170602,1536560.489999999757856,1631697.000000000000000,1694531.859999999869615,1543323.419999999925494,1358835.140000000130385,1562530.800000000046566,1545589.719999999972060,10873071.430000001564622
20170605,1526221.929999999701977,1620147.000000000000000,1684060.959999999729916,1539739.739999999990687,1350901.120000000111759,1562356.600000000093132,1552019.319999999832362,10835449.669999999925494
20170606,1508452.529999999795109,1610137.000000000000000,1666866.639999999664724,1533692.280000000027940,1339208.880000000121072,1574986.100000000093132,1539803.080000000074506,10773149.509999999776483
20170607,1519356.479999999748543,1594121.000000000000000,1674692.259999999776483,1530705.879999999888241,1336285.820000000065193,1595803.000000000232831,1544625.280000000027940,10795592.719999998807907
20170608,1534137.389999999897555,1617221.000000000000000,1669071.039999999804422,1537649.260000000009313,1325846.320000000065193,1582563.800000000046566,1544625.280000000027940,10811117.089999999850988
20170609,1534945.089999999850988,1631235.000000000000000,1669622.139999999664724,1545040.600000000093132,1368439.480000000214204,1580560.500000000232831,1520032.059999999823049,10849877.870000001043081
20170612,1534702.779999999795109,1633545.000000000000000,1636445.919999999925494,1548474.959999999962747,1365516.420000000158325,1561311.400000000139698,1502993.619999999878928,10782993.099999997764826
20170613,1543506.709999999729916,1628617.000000000000000,1651325.619999999878928,1561316.479999999981374,1360505.459999999962747,1576989.400000000139698,1528390.539999999804422,10850654.209999999031425
20170614,1553926.039999999804422,1612601.000000000000000,1660804.539999999804422,1568035.879999999888241,1365098.840000000083819,1588399.500000000232831,1532248.299999999813735,10881117.100000001490116
20170615,1578722.429999999701977,1638627.000000000000000,1666205.319999999599531,1577592.359999999869615,1370109.800000000046566,1571153.700000000186265,1513763.199999999953434,10916176.809999998658895
20170616,1586718.659999999683350,1657107.000000000000000,1675243.359999999869615,1592151.060000000055879,1376791.080000000074506,1582041.200000000186265,1513763.199999999953434,10983818.559999998658895
20170619,1608041.939999999944121,1655413.000000000000000,1687918.659999999683350,1593046.979999999981374,1387230.580000000074506,1594148.100000000325963,1523729.080000000074506,11049531.339999999850988
20170620,1601984.189999999944121,1648483.000000000000000,1698169.119999999878928,1593046.979999999981374,1401428.300000000046566,1596325.600000000325963,1517138.739999999757856,11056578.929999999701977
20170621,1608768.869999999646097,1593505.000000000000000,1694421.639999999664724,1589313.979999999981374,1414790.860000000102445,1610697.100000000093132,1519710.580000000074506,11031211.030000001192093
20170622,1610949.659999999683350,1599203.000000000000000,1706215.179999999934807,1584535.739999999990687,1422307.300000000046566,1624458.900000000139698,1510226.919999999925494,11057899.699999999254942
20170623,1633484.489999999757856,1603361.000000000000000,1704451.659999999683350,1589612.620000000111759,1426900.680000000167638,1613571.400000000139698,1536427.539999999804422,11107812.389999998733401
20170626,1615311.239999999757856,1605517.000000000000000,1696956.699999999953434,1587447.479999999981374,1421472.140000000130385,1612439.100000000093132,1530640.899999999906868,11069787.560000000521541
20170627,1606507.309999999590218,1600589.000000000000000,1694311.419999999925494,1566318.699999999953434,1410197.480000000214204,1607909.900000000139698,1525497.219999999972060,11011334.030000001192093
20170628,1612403.519999999785796,1639397.000000000000000,1700704.179999999934807,1572590.139999999897555,1409362.320000000065193,1617490.900000000139698,1546875.639999999897555,11098826.699999999254942
20170629,1594957.199999999953434,1626923.000000000000000,1687808.439999999711290,1551909.319999999832362,1404351.360000000102445,1613745.600000000325963,1517781.699999999953434,10997479.619999999180436
20170630,1597299.529999999795109,1654951.000000000000000,1688139.099999999860302,1554447.760000000009313,1402681.040000000270084,1615052.100000000093132,1507494.339999999850988,11020067.869999999180436
20170703,1604084.209999999729916,1647405.000000000000000,1680864.579999999841675,1566692.000000000000000,1412285.380000000121072,1625765.400000000139698,1500582.519999999785796,11037682.089999999850988
20170705,1630092.149999999906868,1655413.000000000000000,1687147.119999999878928,1566169.379999999888241,1404768.940000000176951,1639701.400000000139698,1511191.359999999869615,11094486.349999999627471
20170706,1627426.739999999757856,1640321.000000000000000,1687367.559999999823049,1553178.540000000037253,1387230.580000000074506,1628291.300000000046566,1498975.119999999878928,11022793.839999999850988
20170707,1634615.269999999785796,1646635.000000000000000,1722417.520000000018626,1564900.159999999916181,1392659.120000000111759,1637175.500000000232831,1509744.699999999953434,11108150.269999999552965
20170710,1647457.699999999953434,1660803.000000000000000,1714151.020000000018626,1571619.560000000055879,1395164.599999999860302,1628378.400000000139698,1528551.280000000027940,11146128.560000000521541
20170711,1666115.569999999832362,1666963.000000000000000,1707427.599999999860302,1565422.780000000027940,1385142.680000000167638,1619668.400000000139698,1533694.959999999729916,11144437.990000000223517
20170712,1667488.659999999683350,1678051.000000000000000,1725834.340000000083819,1577667.020000000018626,1387230.580000000074506,1626113.800000000046566,1546071.939999999944121,11208460.339999999850988
20170713,1665792.489999999757856,1670505.000000000000000,1708860.459999999729916,1576099.159999999916181,1389736.060000000055879,1615574.699999999953434,1542214.179999999934807,11168785.049999998882413
20170714,1684208.049999999813735,1675125.000000000000000,1711505.739999999757856,1581176.040000000037253,1395999.760000000009313,1627942.900000000139698,1558127.439999999944121,11234087.929999997839332
20170717,1688165.779999999795109,1676203.000000000000000,1711285.299999999813735,1580504.100000000093132,1388483.320000000065193,1623152.400000000139698,1556520.039999999804422,11224316.939999999478459
20170718,1682027.259999999776483,1648945.000000000000000,1696956.699999999953434,1577741.679999999934807,1393076.699999999953434,1627507.400000000139698,1568575.539999999804422,11194833.279999999329448
20170719,1703350.539999999804422,1660957.000000000000000,1696185.159999999683350,1583639.819999999832362,1403933.780000000027940,1647888.800000000046566,1579345.119999999878928,11275303.219999998807907
20170720,1698504.339999999850988,1652795.000000000000000,1699712.199999999953434,1586252.919999999925494,1400593.140000000130385,1668008.900000000139698,1577094.759999999776483,11282964.259999999776483
20170721,1713527.559999999590218,1641553.000000000000000,1696515.819999999599531,1576621.780000000027940,1398087.659999999916181,1670447.700000000186265,1601045.019999999785796,11297801.539999999105930
20170724,1713850.639999999897555,1666039.000000000000000,1673700.279999999795109,1567961.219999999972060,1391406.380000000121072,1662695.800000000046566,1613422.000000000000000,11289078.320000000298023
20170725,1716112.199999999953434,1763983.000000000000000,1753279.119999999878928,1488746.959999999962747,1382219.620000000111759,1658427.900000000139698,1607313.879999999888241,11370085.679999999701977
20170726,1885648.429999999701977,1748275.000000000000000,1725062.799999999813735,1486059.199999999953434,1373450.440000000176951,1661476.400000000139698,1621137.519999999785796,11501112.789999999105930
20170727,1946629.779999999795109,1761365.000000000000000,1729912.479999999748543,1493674.520000000018626,1378043.820000000065193,1645624.200000000186265,1600562.799999999813735,11555815.600000001490116
20170728,1948810.569999999832362,1757207.000000000000000,1717788.279999999795109,1491210.739999999990687,1384307.520000000018626,1664960.400000000139698,1593811.719999999972060,11558099.230000000447035
20170731,1958422.199999999953434,1754897.000000000000000,1709962.659999999683350,1502036.439999999944121,1384725.099999999860302,1670709.000000000232831,1600402.059999999823049,11581157.459999999031425
20170801,1934029.659999999683350,1741807.000000000000000,1697838.459999999729916,1517043.100000000093132,1381384.459999999962747,1674367.199999999953434,1621459.000000000000000,11567931.879999998956919
20170802,1921994.929999999701977,1741653.000000000000000,1725944.559999999823049,1533692.280000000027940,1374703.180000000167638,1681073.900000000139698,1628049.339999999850988,11607114.189999999478459
20170803,1924418.029999999795109,1748891.000000000000000,1705333.419999999925494,1550192.139999999897555,1395999.760000000009313,1696490.600000000325963,1616958.280000000027940,11638286.229999998584390
20170804,1920056.449999999953434,1761057.000000000000000,1695413.619999999878928,1550416.120000000111759,1404768.940000000176951,1697448.700000000186265,1621780.479999999981374,11650944.310000002384186
20170807,1940410.489999999757856,1766601.000000000000000,1708088.919999999925494,1548848.260000000009313,1390988.800000000046566,1696577.700000000186265,1631424.879999999888241,11682943.050000000745058
20170808,1934514.279999999795109,1761981.000000000000000,1707537.819999999599531,1541307.600000000093132,1389736.060000000055879,1697622.900000000139698,1628049.339999999850988,11660752.000000000000000
20170809,1892594.649999999906868,1760903.000000000000000,1707537.819999999599531,1541680.899999999906868,1396834.920000000158325,1697013.200000000186265,1623066.399999999906868,11619633.889999998733401
20170810,1881044.539999999804422,1742577.000000000000000,1726275.219999999972060,1539814.399999999906868,1395582.180000000167638,1677328.600000000093132,1599276.879999999888241,11561901.820000000298023
20170811,1897198.539999999804422,1737957.000000000000000,1733770.179999999934807,1537947.899999999906868,1388483.320000000065193,1681248.100000000325963,1608921.280000000027940,11585529.319999998435378
20170814,1915533.329999999841675,1751201.000000000000000,1733329.299999999813735,1548325.639999999897555,1390988.800000000046566,1687258.000000000232831,1637533.000000000000000,11664172.070000000298023
20170815,1931848.869999999646097,1750277.000000000000000,1737297.219999999972060,1546907.100000000093132,1393911.860000000102445,1694138.900000000139698,1649749.239999999757856,11704133.189999999478459
20170816,1919087.209999999729916,1757515.000000000000000,1751405.379999999888241,1552431.939999999944121,1393076.699999999953434,1687780.600000000325963,1660840.299999999813735,11722140.129999998956919
20170817,1902933.209999999729916,1742423.000000000000000,1740273.159999999683350,1533244.319999999832362,1375955.920000000158325,1678460.900000000139698,1642194.459999999729916,11615487.969999998807907
20170818,1904387.069999999832362,1754435.000000000000000,1738840.299999999813735,1519656.199999999953434,1364263.680000000167638,1662086.100000000093132,1647820.359999999869615,11591491.709999999031425
20170821,1903660.139999999897555,1749507.000000000000000,1745453.500000000000000,1527271.520000000018626,1368021.899999999906868,1672625.200000000186265,1659232.899999999906868,11625775.160000002011657
20170822,1936533.529999999795109,1783695.000000000000000,1759561.659999999683350,1534065.580000000074506,1384307.520000000018626,1696664.800000000046566,1672895.799999999813735,11767726.890000000596046
20170823,1923125.709999999729916,1767217.000000000000000,1750413.399999999906868,1513235.439999999944121,1388065.740000000223517,1691874.300000000279397,1658589.939999999944121,11692524.529999999329448
20170824,1928375.759999999776483,1767679.000000000000000,1746004.599999999860302,1509129.139999999897555,1387648.159999999916181,1696316.400000000139698,1659232.899999999906868,11694388.959999999031425
20170825,1905356.309999999590218,1776457.000000000000000,1750523.619999999878928,1509203.800000000046566,1394329.440000000176951,1692919.500000000232831,1661322.519999999785796,11690115.189999999478459
20170828,1915775.639999999897555,1772145.000000000000000,1759892.319999999599531,1511667.580000000074506,1397670.080000000074506,1699277.800000000279397,1668234.339999999850988,11724665.759999999776483
20170829,1942510.509999999776483,1786621.000000000000000,1756695.939999999711290,1515101.939999999944121,1398922.820000000065193,1713562.199999999953434,1668073.599999999860302,11781491.009999997913837
20170830,1942268.199999999953434,1810337.000000000000000,1758349.239999999757856,1520850.760000000009313,1396834.920000000158325,1706158.700000000186265,1667430.639999999897555,11802232.460000000894070
20170831,1935806.599999999860302,1809413.000000000000000,1763198.919999999925494,1525554.339999999850988,1416461.180000000167638,1732462.900000000139698,1664055.099999999860302,11846955.039999999105930
20170901,1941218.189999999944121,1821579.000000000000000,1761435.399999999906868,1519880.179999999934807,1418131.500000000000000,1739866.400000000139698,1670163.219999999972060,11872276.890000000596046
20170905,1914321.779999999795109,1821887.000000000000000,1753609.779999999795109,1500617.899999999906868,1411450.219999999972060,1736034.000000000232831,1655857.359999999869615,11793781.039999999105930
20170906,1895098.519999999785796,1801559.000000000000000,1743910.419999999925494,1508606.520000000018626,1419384.240000000223517,1727933.700000000186265,1658589.939999999944121,11755085.339999997988343
20170907,1908748.649999999906868,1813725.000000000000000,1762427.379999999888241,1526599.580000000074506,1419384.240000000223517,1726104.600000000093132,1680772.059999999823049,11837764.509999999776483
20170908,1928698.839999999850988,1814495.000000000000000,1760333.199999999953434,1535782.760000000009313,1423977.620000000111759,1722446.400000000139698,1678682.439999999944121,11864419.259999999776483
20170911,1943318.209999999729916,1830665.000000000000000,1780393.239999999757856,1564676.179999999934807,1433164.380000000121072,1738385.700000000186265,1706329.719999999972060,11996935.430000001564622
20170912,1943237.439999999944121,1862543.000000000000000,1723078.840000000083819,1565273.459999999962747,1477010.280000000027940,1720007.600000000093132,1707294.159999999683350,11998447.779999999329448
20170913,1954141.389999999897555,1842369.000000000000000,1730463.579999999841675,1564153.560000000055879,1464065.300000000046566,1727498.200000000186265,1701186.039999999804422,11983880.070000000298023
20170914,1980795.489999999757856,1855459.000000000000000,1730463.579999999841675,1578637.600000000093132,1492043.159999999916181,1722272.199999999953434,1705204.539999999804422,12064878.569999998435378
20170915,2011245.779999999795109,1869165.000000000000000,1729581.819999999599531,1592972.319999999832362,1476592.699999999953434,1726191.700000000186265,1692666.819999999832362,12098419.140000000596046
20170918,2044199.939999999944121,1907049.000000000000000,1726936.539999999804422,1596033.379999999888241,1484526.719999999972060,1726278.800000000046566,1685112.039999999804422,12170139.419999999925494
20170919,2039192.199999999953434,1921063.000000000000000,1735203.039999999804422,1594540.179999999934807,1480350.920000000158325,1695445.400000000139698,1694434.959999999729916,12160232.699999999254942
20170920,2063423.199999999953434,1922757.000000000000000,1762206.939999999711290,1571768.879999999888241,1502900.240000000223517,1705026.400000000139698,1694434.959999999729916,12222520.619999999180436
20170921,2068107.859999999869615,1921833.000000000000000,1752838.239999999757856,1571246.260000000009313,1502065.080000000074506,1700323.000000000232831,1692827.559999999823049,12209244.000000000000000
20170922,2071419.429999999701977,1916289.000000000000000,1751515.599999999860302,1573635.379999999888241,1501647.500000000000000,1681335.200000000186265,1696846.059999999823049,12192691.169999999925494
20170925,2054215.419999999692664,1914595.000000000000000,1722307.299999999813735,1573411.399999999906868,1482856.399999999906868,1670186.400000000139698,1656018.099999999860302,12073593.019999999552965
20170926,2049207.679999999701977,1917521.000000000000000,1690233.279999999795109,1575651.199999999953434,1474087.219999999972060,1678460.900000000139698,1654732.179999999934807,12039896.459999999031425
20170927,2061969.339999999850988,1917675.000000000000000,1697948.679999999934807,1564078.899999999906868,1480350.920000000158325,1694051.800000000279397,1670002.479999999981374,12086080.120000001043081
20170928,2053811.569999999832362,1928609.000000000000000,1735864.359999999869615,1564601.520000000018626,1486614.620000000111759,1708074.900000000139698,1681093.539999999804422,12158672.509999999776483
20170929,2053326.949999999953434,1920601.000000000000000,1726936.539999999804422,1567214.620000000111759,1490790.420000000158325,1705897.400000000139698,1681093.539999999804422,12145863.470000000670552
