代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11794605.940000001341105
真實報酬,1794605.940000001341105

夏普值報酬,0.170760594000000
夏普值風險,0.054589010337095
夏普值,3.128113020286118

預期報酬,14963.774295940283992
風險,134071.704387739009690
趨勢值,0.111610233973491
找到最佳解世代,2448
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
TRV[22](4),WMT[28](3),
20120523,5305741.580000000074506,5206698.469999999739230,10512440.050000000745058
20120524,5336991.410000000149012,5316175.129999999888241,10653166.539999999105930
20120525,5287160.600000000558794,5335782.890000000596046,10622943.490000002086163
20120529,5310809.120000000111759,5366011.520000000484288,10676820.640000000596046
20120530,5227194.709999999962747,5346403.759999999776483,10573598.469999998807907
20120531,5277870.110000000335276,5377449.379999999888241,10655319.490000000223517
20120601,5116553.419999999925494,5355390.650000000372529,10471944.070000000298023
20120604,5099661.620000000111759,5391338.209999999962747,10490999.830000000074506
20120605,5135134.400000000372529,5351305.700000000186265,10486440.100000001490116
20120606,5206079.959999999962747,5386436.270000000484288,10592516.230000000447035
20120607,5228883.889999999664724,5381534.330000001005828,10610418.220000000670552
20120608,5248309.459999999962747,5573526.980000000447035,10821836.440000001341105
20120611,5199323.240000000223517,5517154.669999999925494,10716477.910000000149012
20120612,5231417.660000000149012,5532677.480000000447035,10764095.140000000596046
20120613,5206924.549999999813735,5479573.129999999888241,10686497.679999999701977
20120614,5331079.280000000260770,5525324.569999999366701,10856403.849999999627471
20120615,5355572.389999999664724,5535128.450000000186265,10890700.839999999850988
20120618,5326856.330000000074506,5565357.080000001005828,10892213.410000000149012
20120619,5358950.750000000000000,5540030.390000000596046,10898981.140000000596046
20120620,5392734.350000000558794,5598036.679999999701977,10990771.030000001192093
20120621,5285471.419999999925494,5531043.500000000000000,10816514.919999999925494
20120622,5350504.850000000558794,5498363.900000000372529,10848868.750000000000000
20120625,5249154.049999999813735,5570259.020000000484288,10819413.070000000298023
20120626,5249154.049999999813735,5602938.620000000111759,10852092.669999999925494
20120627,5306586.169999999925494,5603755.610000000335276,10910341.780000001192093
20120628,5308275.350000000558794,5580062.900000000372529,10888338.250000000000000
20120629,5391889.760000000707805,5696075.480000000447035,11087965.240000002086163
20120702,5398646.480000000447035,5665846.849999999627471,11064493.330000000074506
20120703,5416382.870000000111759,5780225.450000000186265,11196608.320000000298023
20120705,5402024.839999999850988,5807186.120000000111759,11209210.960000000894070
20120706,5342903.540000000037253,5830061.839999999850988,11172965.379999998956919
20120709,5326856.330000000074506,5862741.440000000409782,11189597.769999999552965
20120710,5338680.589999999850988,5891336.089999999850988,11230016.679999999701977
20120711,5281248.470000000670552,5903590.940000000409782,11184839.410000000149012
20120712,5256755.360000000335276,5907675.890000000596046,11164431.250000000000000
20120713,5331923.870000000111759,5978754.020000000484288,11310677.890000000596046
20120716,5282937.650000000372529,5962414.220000000670552,11245351.870000001043081
20120717,5347126.490000000223517,5972218.099999999627471,11319344.589999999850988
20120718,5405403.200000000186265,5951793.349999999627471,11357196.550000000745058
20120719,5379220.910000000149012,5843950.669999999925494,11223171.580000000074506
20120720,5296451.089999999850988,5902773.950000000186265,11199225.039999999105930
20120723,5214525.860000000335276,5870094.349999999627471,11084620.210000000894070
20120724,5142735.709999999962747,5893787.060000000521541,11036522.769999999552965
20120725,5150337.019999999552965,5888885.120000000111759,11039222.140000000596046
20120726,5203546.190000000409782,6018786.530000000260770,11222332.720000000670552
20120727,5297295.679999999701977,6088230.679999999701977,11385526.359999999403954
20120730,5338680.589999999850988,6125812.220000000670552,11464492.810000000521541
20120731,5291383.549999999813735,6080877.770000000484288,11372261.320000000298023
20120801,5350504.850000000558794,6014701.580000001005828,11365206.430000001564622
20120802,5309964.530000000260770,6049832.150000000372529,11359796.679999999701977
20120803,5380910.089999999850988,6090681.650000000372529,11471591.740000000223517
20120806,5364862.880000000819564,6068622.919999999925494,11433485.800000000745058
20120807,5352194.030000000260770,6044930.209999999962747,11397124.240000000223517
20120808,5389355.990000000223517,6071073.890000000596046,11460429.880000000819564
20120809,5396112.709999999962747,6033492.349999999627471,11429605.059999998658895
20120810,5403714.019999999552965,6019603.520000000484288,11423317.539999999105930
20120813,5382599.269999999552965,5996727.800000000745058,11379327.070000000298023
20120814,5366552.060000000521541,6046564.190000000409782,11413116.250000000000000
20120815,5384288.450000000186265,6082511.750000000000000,11466800.199999999254942
20120816,5407936.970000000670552,5894604.050000000745058,11302541.020000001415610
20120817,5500841.870000000111759,5881532.209999999962747,11382374.080000000074506
20120820,5543915.959999999962747,5906858.900000000372529,11450774.859999999403954
20120821,5509287.770000000484288,5835780.770000000484288,11345068.540000000968575
20120822,5527868.750000000000000,5863558.429999999701977,11391427.179999999701977
20120823,5472970.400000000372529,5846401.640000000596046,11319372.040000000968575
20120824,5523645.800000000745058,5891336.089999999850988,11414981.890000000596046
20120827,5505064.820000000298023,5923198.700000000186265,11428263.519999999552965
20120828,5476348.760000000707805,5915845.790000000037253,11392194.550000000745058
20120829,5472970.400000000372529,5945257.429999999701977,11418227.830000000074506
20120830,5446788.109999999403954,5902773.950000000186265,11349562.059999998658895
20120831,5467902.859999999403954,5931368.599999999627471,11399271.459999999031425
20120904,5459456.959999999962747,6005714.690000000409782,11465171.650000000372529
20120905,5450166.470000000670552,6008982.650000000372529,11459149.120000001043081
20120906,5518578.260000000707805,6111923.390000000596046,11630501.650000002235174
20120907,5507598.589999999850988,6031041.379999999888241,11538639.969999998807907
20120910,5516044.490000000223517,6005714.690000000409782,11521759.179999999701977
20120911,5654557.250000000000000,6050649.140000000596046,11705206.390000000596046
20120912,5704388.060000000521541,6051466.129999999888241,11755854.190000001341105
20120913,5781245.750000000000000,6138884.060000000521541,11920129.810000000521541
20120914,5792225.419999999925494,6086596.700000000186265,11878822.120000001043081
20120917,5783779.520000000484288,6044930.209999999962747,11828709.730000000447035
20120918,5782090.339999999850988,6041662.250000000000000,11823752.589999999850988
20120919,5762664.770000000484288,6075975.830000001005828,11838640.600000001490116
20120920,5781245.750000000000000,6107021.450000000186265,11888267.199999999254942
20120921,5794759.190000000409782,6082511.750000000000000,11877270.940000001341105
20120924,5778711.980000000447035,6106204.459999999962747,11884916.440000001341105
20120925,5783779.520000000484288,6066988.940000000409782,11850768.460000000894070
20120926,5724658.220000000670552,6061270.009999999776483,11785928.230000000447035
20120927,5777867.389999999664724,6044113.220000000670552,11821980.609999999403954
20120928,5765198.540000000968575,6029407.400000000372529,11794605.940000001341105
