代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12158482.359999999403954
真實報酬,2158482.359999999403954

夏普值報酬,0.207148236000000
夏普值風險,0.055615666888076
夏普值,3.724638174650965

預期報酬,16729.541334052231832
風險,88953.570996266571456
趨勢值,0.188070486060131
找到最佳解世代,1811
找到最佳解實驗#,1
找到最佳解次數,34

stock[index](rank)
投資組合檔數,9
AAPL[0](5),DIS[6](9),HD[9](7),NKE[19](3),PFE[20](11),UNH[23](6),V[25](1),VZ[26](10),XOM[29](12),
20180502,1169318.380000000121072,1102040.159999999916181,1158918.109999999869615,1141546.860000000102445,1092326.799999999813735,1212147.320000000065193,1173897.879999999888241,1109484.550000000046566,1143724.479999999981374,10303405.540000000968575
20180503,1171437.419999999925494,1092526.840000000083819,1141964.349999999860302,1118803.580000000307336,1088256.889999999664724,1215729.800000000046566,1181328.280000000027940,1111575.700000000186265,1139852.560000000288710,10261476.419999999925494
20180504,1217394.100000000093132,1118965.020000000018626,1153433.069999999832362,1138871.179999999934807,1090761.449999999953434,1224815.800000000046566,1190430.520000000018626,1119707.949999999953434,1145213.680000000167638,10399593.769999999552965
20180507,1226201.360000000102445,1133677.479999999981374,1144270.559999999823049,1159607.700000000186265,1093579.079999999841675,1213808.760000000009313,1200647.319999999832362,1109019.849999999860302,1157722.959999999962747,10438536.070000000298023
20180508,1232094.940000000176951,1126044.699999999953434,1153495.399999999906868,1144891.459999999962747,1095144.429999999701977,1204722.760000000009313,1206591.639999999897555,1092523.000000000232831,1162935.160000000149012,10418444.490000000223517
20180509,1240769.760000000242144,1105911.859999999869615,1161722.959999999962747,1136362.730000000214204,1101092.759999999776483,1190081.320000000065193,1215322.359999999869615,1077652.600000000093132,1190336.440000000176951,10419253.789999999105930
20180510,1258516.719999999972060,1124827.880000000121072,1166709.359999999869615,1135861.040000000037253,1097022.849999999860302,1213445.320000000065193,1215322.359999999869615,1096705.300000000046566,1216993.120000000111759,10525404.949999999254942
20180511,1248914.820000000065193,1129142.059999999823049,1186343.309999999823049,1144389.770000000251457,1111424.069999999832362,1237172.760000000009313,1224424.599999999860302,1129699.000000000000000,1210440.640000000130385,10621952.029999999329448
20180514,1246001.140000000130385,1133235.000000000000000,1191142.719999999972060,1151246.200000000186265,1122694.589999999850988,1261159.800000000046566,1218758.919999999925494,1126678.450000000186265,1218631.239999999990687,10669549.060000000521541
20180515,1234677.520000000018626,1138544.760000000009313,1171820.419999999692664,1162283.380000000121072,1117372.399999999674037,1243507.000000000000000,1217737.239999999990687,1110413.949999999953434,1218035.560000000288710,10614393.230000000447035
20180516,1246199.800000000046566,1161996.199999999953434,1161847.619999999878928,1193053.700000000186265,1117059.329999999841675,1255033.239999999990687,1215786.759999999776483,1112040.400000000139698,1221460.719999999972060,10684478.770000001415610
20180517,1238319.620000000111759,1154252.800000000046566,1155302.969999999972060,1186364.500000000000000,1117998.539999999804422,1261471.320000000065193,1206870.280000000027940,1111808.050000000046566,1219375.840000000083819,10651764.919999999925494
20180518,1233816.660000000149012,1149717.380000000121072,1168329.939999999711290,1192719.239999999990687,1115807.049999999813735,1270193.879999999888241,1206870.280000000027940,1109252.200000000186265,1210738.479999999981374,10657446.109999999403954
20180521,1242557.699999999953434,1151155.439999999944121,1183102.149999999906868,1193722.620000000111759,1120816.169999999692664,1287119.800000000046566,1213650.520000000018626,1125284.350000000093132,1225332.640000000130385,10742742.390000000596046
20180522,1239445.360000000102445,1151266.059999999823049,1164901.789999999804422,1192552.010000000242144,1118311.609999999869615,1272997.560000000055879,1214114.919999999925494,1134113.650000000139698,1215801.760000000242144,10703505.720000000670552
20180523,1247391.760000000242144,1138212.899999999906868,1163655.189999999711290,1193053.700000000186265,1126138.359999999869615,1268220.919999999925494,1224981.879999999888241,1129001.950000000186265,1223396.680000000167638,10714054.339999999850988
20180524,1246001.140000000130385,1129584.540000000037253,1166647.029999999795109,1207101.020000000251457,1123633.799999999813735,1260277.159999999916181,1225074.759999999776483,1130163.699999999953434,1195399.719999999972060,10683883.870000001043081
20180525,1248848.600000000093132,1130580.120000000111759,1164777.129999999888241,1208271.630000000121072,1117059.329999999841675,1271803.399999999906868,1219409.079999999841675,1127375.500000000232831,1172168.199999999953434,10660293.990000000223517
20180529,1244345.640000000130385,1102814.500000000000000,1153246.079999999841675,1186030.040000000037253,1117685.469999999972060,1257369.639999999897555,1204641.159999999916181,1119940.300000000046566,1167849.520000000251457,10553923.349999999627471
20180530,1241696.840000000083819,1106022.479999999981374,1166273.049999999813735,1207937.170000000158325,1128642.919999999692664,1271751.479999999981374,1213464.759999999776483,1129234.300000000046566,1213716.880000000121072,10678740.880000000819564
20180531,1237524.980000000214204,1100380.859999999869615,1162907.229999999981374,1200746.280000000027940,1124886.079999999841675,1253942.919999999925494,1214207.800000000046566,1107625.750000000000000,1209844.959999999962747,10612067.859999999403954
20180601,1259841.120000000111759,1099164.040000000037253,1167893.629999999888241,1216800.360000000102445,1134904.319999999832362,1263496.199999999953434,1215415.239999999990687,1110878.650000000139698,1218631.239999999990687,10687025.800000000745058
20180604,1270370.100000000093132,1108898.599999999860302,1192887.959999999962747,1234693.970000000204891,1141165.719999999972060,1270141.959999999962747,1236034.599999999860302,1111111.000000000000000,1205824.120000000111759,10771129.030000001192093
20180605,1280170.660000000149012,1105580.000000000000000,1196503.099999999860302,1238373.030000000027940,1140852.649999999674037,1269103.560000000055879,1240585.719999999972060,1114596.250000000000000,1201505.440000000176951,10787271.410000000149012
20180606,1284607.399999999906868,1127372.139999999897555,1206787.549999999813735,1250079.130000000121072,1138974.229999999981374,1291013.800000000046566,1265849.079999999841675,1124819.649999999906868,1222056.400000000139698,10911560.379999998956919
20180607,1281163.960000000195578,1133566.859999999869615,1222868.689999999711290,1250246.360000000102445,1142418.000000000000000,1292727.159999999916181,1243186.359999999869615,1138760.649999999906868,1234267.840000000083819,10939206.880000000819564
20180608,1269509.239999999990687,1150270.479999999981374,1236331.969999999972060,1252587.580000000307336,1148053.259999999776483,1301553.560000000055879,1251545.560000000055879,1142710.600000000093132,1244990.080000000074506,10997553.330000000074506
20180611,1266396.899999999906868,1154363.419999999925494,1244497.199999999720603,1247403.450000000186265,1136469.669999999692664,1317648.760000000009313,1243836.520000000018626,1145498.800000000046566,1237544.080000000074506,10993659.800000000745058
20180612,1273350.000000000000000,1154142.179999999934807,1254906.309999999823049,1242386.550000000279397,1136469.669999999692664,1316610.360000000102445,1252660.120000000111759,1134113.650000000139698,1227417.520000000251457,10992057.359999999403954
20180613,1262887.239999999990687,1176044.939999999944121,1248673.309999999823049,1239376.410000000149012,1133965.109999999869615,1312924.040000000037253,1248387.639999999897555,1101352.300000000046566,1213865.800000000279397,10937477.790000000968575
20180614,1263549.440000000176951,1203036.219999999972060,1244684.189999999711290,1249242.980000000214204,1132086.689999999711290,1325696.360000000102445,1253960.439999999944121,1111111.000000000000000,1219524.760000000242144,11002893.080000000074506
20180615,1250570.320000000065193,1204142.419999999925494,1250106.899999999906868,1268307.200000000186265,1138348.089999999850988,1329071.159999999916181,1254889.239999999990687,1116687.400000000139698,1201207.600000000093132,11013331.330000000074506
20180618,1249908.120000000111759,1184341.439999999944121,1251041.849999999860302,1264460.910000000149012,1132086.689999999711290,1323308.040000000037253,1265106.039999999804422,1102746.400000000139698,1203590.320000000065193,10976590.810000000521541
20180619,1229711.020000000018626,1173721.919999999925494,1241817.009999999776483,1241884.860000000102445,1133965.109999999869615,1313702.840000000083819,1254982.120000000111759,1126910.800000000046566,1201803.280000000260770,10918499.960000000894070
20180620,1235074.840000000083819,1185337.020000000018626,1241006.719999999972060,1249577.440000000176951,1141478.789999999804422,1312612.520000000018626,1258604.439999999944121,1117384.450000000186265,1198080.280000000260770,10939157.500000000000000
20180621,1228187.960000000195578,1171398.899999999906868,1248673.309999999823049,1236533.500000000000000,1136469.669999999692664,1307835.879999999888241,1249595.079999999841675,1129931.350000000093132,1186762.360000000102445,10895389.009999997913837
20180622,1224612.080000000074506,1176376.800000000046566,1230597.609999999869615,1228004.770000000251457,1143044.139999999664724,1320712.040000000037253,1257025.479999999981374,1156186.899999999906868,1211929.840000000083819,10948490.660000000149012
20180625,1206401.580000000074506,1155469.620000000111759,1224177.619999999878928,1209943.929999999934807,1138974.229999999981374,1301709.320000000065193,1216158.280000000027940,1152469.300000000046566,1187506.959999999962747,10792811.839999999850988
20180626,1221367.300000000046566,1153367.840000000083819,1224052.959999999962747,1213455.760000000242144,1138974.229999999981374,1296828.840000000083819,1231204.840000000083819,1145498.800000000046566,1200909.760000000242144,10825661.330000000074506
20180627,1219579.360000000102445,1150049.239999999990687,1215700.739999999990687,1193220.929999999934807,1133652.039999999804422,1288521.639999999897555,1216994.199999999953434,1145731.150000000139698,1216844.199999999953434,10780294.499999998137355
20180628,1228452.840000000083819,1159009.459999999962747,1216885.009999999776483,1199073.980000000214204,1138348.089999999850988,1271543.800000000046566,1232969.560000000055879,1181745.400000000139698,1220716.120000000111759,10848745.260000001639128
20180629,1225870.260000000242144,1159451.939999999944121,1216199.379999999888241,1332523.520000000251457,1135843.529999999795109,1273828.280000000027940,1230276.039999999804422,1168966.150000000139698,1232034.040000000270084,10974994.140000002458692
20180702,1239577.800000000046566,1165204.179999999934807,1209467.739999999990687,1310281.929999999934807,1137408.879999999888241,1284939.159999999916181,1230740.439999999944121,1171522.000000000000000,1217588.800000000279397,10966731.929999999701977
20180703,1217990.080000000074506,1150934.199999999953434,1206974.539999999804422,1275665.320000000065193,1138035.019999999785796,1282343.159999999916181,1220988.039999999804422,1178027.800000000046566,1224736.959999999962747,10895696.120000001043081
20180705,1227790.640000000130385,1165314.800000000046566,1211898.609999999869615,1280180.530000000027940,1154314.659999999683350,1300619.000000000000000,1238077.959999999962747,1191504.100000000093132,1225779.400000000139698,10995480.699999999254942
20180706,1244809.180000000167638,1159120.080000000074506,1212334.919999999692664,1279009.920000000158325,1161828.339999999850988,1301968.919999999925494,1245508.359999999869615,1196151.099999999860302,1226077.239999999990687,11026809.059999998658895
20180709,1262092.600000000093132,1172836.959999999962747,1222307.719999999972060,1292388.320000000065193,1163393.689999999711290,1317077.639999999897555,1258790.199999999953434,1178957.200000000186265,1234565.680000000167638,11102411.009999997913837
20180710,1260569.540000000037253,1172947.580000000074506,1231844.209999999962747,1297237.989999999990687,1171846.579999999841675,1326786.679999999934807,1269657.159999999916181,1192898.200000000186265,1245883.600000000093132,11169672.540000000968575
20180711,1244213.199999999953434,1195182.199999999953434,1227730.429999999701977,1293726.160000000149012,1164959.039999999804422,1321854.280000000027940,1283217.639999999897555,1192898.200000000186265,1229949.160000000149012,11153731.310000002384186
20180712,1265072.500000000000000,1197505.219999999972060,1233963.429999999701977,1293893.390000000130385,1174664.209999999962747,1329434.600000000093132,1299471.639999999897555,1190574.700000000186265,1231438.360000000102445,11216019.050000000745058
20180713,1267059.100000000093132,1216863.719999999972060,1238575.849999999860302,1294060.620000000111759,1174977.279999999795109,1343193.399999999906868,1295013.399999999906868,1194524.649999999906868,1240671.400000000139698,11264940.420000001788139
20180716,1264277.860000000102445,1219076.120000000111759,1239760.119999999878928,1300248.130000000121072,1170281.229999999981374,1334263.160000000149012,1286096.919999999925494,1198706.950000000186265,1228459.959999999962747,11241171.450000002980232
20180717,1267853.739999999990687,1220182.319999999832362,1253597.379999999888241,1295565.690000000176951,1178734.119999999878928,1299528.679999999934807,1297056.759999999776483,1194989.350000000093132,1225779.400000000139698,11233288.439999999478459
20180718,1260900.640000000130385,1224496.500000000000000,1252787.089999999850988,1280849.450000000186265,1179047.189999999711290,1326163.639999999897555,1308759.639999999897555,1188251.199999999953434,1224439.120000000111759,11245695.469999998807907
20180719,1270701.199999999953434,1240425.780000000027940,1263133.869999999878928,1286869.730000000214204,1169655.089999999850988,1313235.560000000055879,1301607.879999999888241,1179189.550000000046566,1221311.800000000279397,11246131.460000000894070
20180720,1267787.520000000018626,1233235.479999999981374,1262011.929999999701977,1287036.959999999962747,1168715.879999999888241,1312041.399999999906868,1309595.560000000055879,1176169.000000000000000,1212227.680000000167638,11228822.410000000149012
20180723,1267787.520000000018626,1228921.300000000046566,1260640.669999999692664,1280849.450000000186265,1164959.039999999804422,1312249.080000000074506,1300679.079999999841675,1179189.550000000046566,1212227.680000000167638,11207504.370000001043081
20180724,1278117.840000000083819,1224607.120000000111759,1259144.750000000000000,1263123.070000000065193,1180299.469999999972060,1317544.919999999925494,1300679.079999999841675,1196848.149999999906868,1236203.800000000279397,11256569.200000001117587
20180725,1290169.880000000121072,1229916.880000000121072,1252974.079999999841675,1290381.560000000055879,1189378.500000000000000,1323256.120000000111759,1324920.759999999776483,1182907.149999999906868,1244841.160000000149012,11328747.090000001713634
20180726,1286130.460000000195578,1255691.340000000083819,1243001.279999999795109,1306937.330000000307336,1194700.689999999711290,1334367.000000000000000,1323620.439999999944121,1189180.600000000093132,1254520.959999999962747,11388151.099999997764826
20180727,1264741.399999999906868,1245846.159999999916181,1228914.699999999720603,1285866.350000000093132,1202527.439999999711290,1328915.399999999906868,1306994.919999999925494,1208465.649999999906868,1219971.520000000251457,11292244.539999999105930
20180730,1257655.860000000102445,1245956.780000000027940,1229787.319999999832362,1270313.959999999962747,1208162.699999999953434,1317960.280000000027940,1267706.679999999934807,1219618.450000000186265,1217290.959999999962747,11234453.990000002086163
20180731,1260172.219999999972060,1256244.439999999944121,1231283.239999999990687,1286200.810000000055879,1250114.079999999841675,1314741.239999999990687,1270121.560000000055879,1199868.699999999953434,1213865.800000000279397,11282613.090000001713634
20180801,1334404.840000000083819,1249717.859999999869615,1223678.979999999981374,1296736.300000000279397,1260758.459999999962747,1315520.040000000037253,1284146.439999999944121,1201959.849999999860302,1197186.760000000242144,11364110.529999999329448
20180802,1373408.419999999925494,1247284.219999999972060,1219689.859999999869615,1315298.830000000307336,1241348.119999999878928,1329590.359999999869615,1290369.399999999906868,1207768.599999999860302,1190038.600000000093132,11414797.410000000149012
20180803,1377381.620000000111759,1262107.300000000046566,1219565.199999999720603,1316803.900000000139698,1269211.349999999860302,1335509.240000000223517,1298728.599999999860302,1214506.750000000232831,1194357.280000000260770,11488172.239999998360872
20180806,1384533.380000000121072,1282572.000000000000000,1219876.849999999860302,1329680.610000000102445,1284864.849999999860302,1333120.919999999925494,1297706.919999999925494,1219386.099999999860302,1194059.440000000176951,11545802.069999998435378
20180807,1371554.260000000242144,1289430.439999999944121,1228353.729999999981374,1346738.070000000065193,1278603.449999999953434,1337741.799999999813735,1303001.079999999841675,1218921.400000000139698,1210291.719999999972060,11584636.950000001117587
20180808,1372481.340000000083819,1260890.479999999981374,1234399.739999999990687,1346236.380000000121072,1296448.439999999711290,1343764.520000000018626,1306716.280000000027940,1224497.800000000046566,1202250.040000000270084,11587686.020000001415610
20180809,1383275.199999999953434,1262881.639999999897555,1234773.719999999972060,1358945.860000000102445,1283612.569999999832362,1358198.279999999795109,1300493.319999999832362,1231700.649999999906868,1196144.320000000065193,11610026.560000000521541
20180810,1374335.500000000000000,1246509.880000000121072,1223678.979999999981374,1350082.670000000158325,1281421.079999999841675,1351812.120000000111759,1297892.679999999934807,1219153.750000000000000,1182741.520000000251457,11527629.179999999701977
20180813,1383208.980000000214204,1240315.159999999916181,1210215.699999999720603,1340383.330000000307336,1277664.239999999990687,1354667.720000000204891,1302350.919999999925494,1213345.000000000000000,1169934.400000000139698,11492086.450000001117587
20180814,1389036.340000000083819,1247284.219999999972060,1203733.379999999888241,1340216.100000000093132,1274533.539999999804422,1368011.160000000149012,1307459.319999999832362,1228447.750000000000000,1166211.400000000139698,11524934.210000000894070
20180815,1392281.120000000111759,1248390.419999999925494,1209280.750000000000000,1330683.989999999990687,1288621.689999999711290,1353110.120000000111759,1299657.399999999906868,1237044.700000000186265,1145809.360000000102445,11504880.550000000745058
20180816,1412676.880000000121072,1244297.479999999981374,1218006.949999999720603,1338711.030000000027940,1296761.509999999776483,1366038.200000000186265,1306437.639999999897555,1260976.750000000232831,1161594.880000000121072,11605502.320000000298023
20180817,1440886.600000000093132,1244297.479999999981374,1219066.559999999823049,1333694.130000000121072,1317737.199999999953434,1362040.359999999869615,1312753.479999999981374,1273058.949999999953434,1165466.800000000279397,11669002.560000000521541
20180820,1426847.960000000195578,1238877.099999999860302,1233838.769999999785796,1374331.020000000251457,1325250.879999999888241,1362403.799999999813735,1309131.159999999916181,1269806.050000000046566,1173657.400000000139698,11714145.140000000596046
20180821,1424066.719999999972060,1243301.899999999906868,1248174.669999999692664,1387207.730000000214204,1319928.689999999711290,1358717.479999999981374,1300771.959999999962747,1275847.149999999906868,1173955.239999999990687,11731972.539999999105930
20180822,1424132.940000000176951,1238324.000000000000000,1240321.089999999850988,1382023.600000000093132,1317111.059999999823049,1353785.080000000074506,1310988.759999999776483,1257956.199999999953434,1190783.199999999953434,11715426.929999999701977
20180823,1427046.620000000111759,1238987.719999999972060,1247738.359999999869615,1386538.810000000055879,1321180.969999999972060,1357315.640000000130385,1319905.239999999990687,1261209.100000000093132,1177678.239999999990687,11737601.699999999254942
20180824,1431483.360000000102445,1238213.380000000121072,1254843.979999999981374,1378846.230000000214204,1327442.369999999878928,1372164.759999999776483,1339410.039999999804422,1272826.600000000093132,1185719.920000000158325,11800951.639999998733401
20180827,1443270.520000000018626,1242638.179999999934807,1259082.419999999692664,1382190.830000000307336,1301770.629999999888241,1386702.359999999869615,1350555.639999999897555,1274453.050000000046566,1197335.680000000167638,11838000.310000000521541
20180828,1454925.239999999990687,1245403.679999999934807,1259020.089999999850988,1381020.220000000204891,1299266.069999999832362,1394126.919999999925494,1348698.039999999804422,1269806.050000000046566,1195548.640000000130385,11847815.950000001117587
20180829,1476645.399999999906868,1243965.620000000111759,1257212.519999999785796,1384532.050000000279397,1299266.069999999832362,1396671.000000000000000,1365695.079999999841675,1267947.250000000000000,1204186.000000000000000,11896121.990000000223517
20180830,1490220.500000000000000,1238102.760000000009313,1242128.659999999683350,1361287.080000000307336,1299266.069999999832362,1393503.879999999888241,1363001.560000000055879,1272129.550000000046566,1198973.800000000279397,11858614.860000001266599
20180831,1507437.699999999953434,1239208.959999999962747,1251540.489999999990687,1374665.480000000214204,1299892.209999999962747,1393867.319999999832362,1364394.759999999776483,1263300.250000000000000,1193910.520000000251457,11888218.689999999478459
20180904,1512271.760000000242144,1226266.419999999925494,1278404.719999999972060,1331185.679999999934807,1295196.159999999683350,1394126.919999999925494,1372846.840000000083819,1235882.949999999953434,1195697.560000000288710,11841880.009999999776483
20180905,1502404.980000000214204,1215425.659999999916181,1272608.029999999795109,1336537.040000000037253,1310223.519999999785796,1389609.879999999888241,1325199.399999999906868,1250521.000000000000000,1211632.000000000000000,11814162.509999999776483
20180906,1477440.040000000037253,1219739.840000000083819,1283453.449999999720603,1344564.080000000307336,1308032.029999999795109,1400045.799999999813735,1342196.439999999944121,1261441.449999999953434,1198229.199999999953434,11835143.329999998211861
20180907,1465520.440000000176951,1227593.859999999869615,1285572.669999999692664,1342891.780000000027940,1321180.969999999972060,1392932.759999999776483,1330122.039999999804422,1254703.300000000046566,1218631.239999999990687,11839150.060000000521541
20180910,1445853.100000000093132,1224385.880000000121072,1313371.849999999860302,1372993.179999999934807,1316797.989999999990687,1348541.160000000149012,1338295.479999999981374,1257491.500000000000000,1216844.199999999953434,11834575.339999999850988
20180911,1482406.540000000037253,1212438.919999999925494,1333068.129999999888241,1381856.370000000111759,1324624.739999999990687,1355342.680000000167638,1351391.560000000055879,1271432.500000000000000,1233970.000000000000000,11946532.440000001341105
20180912,1463997.380000000121072,1210890.239999999990687,1321412.419999999692664,1388043.880000000121072,1327755.439999999711290,1363805.640000000130385,1361422.599999999860302,1277241.250000000000000,1237990.840000000083819,11952560.689999999478459
20180913,1499358.860000000102445,1224275.260000000009313,1305642.929999999701977,1395903.690000000176951,1341530.519999999785796,1378447.080000000074506,1371267.879999999888241,1276544.199999999953434,1225928.320000000065193,12018899.739999998360872
20180914,1482340.320000000065193,1208677.840000000083819,1303274.389999999897555,1396238.150000000139698,1344974.289999999804422,1377512.520000000018626,1373218.359999999869615,1267482.550000000046566,1234863.520000000251457,11988582.939999999478459
20180917,1442873.199999999953434,1209784.040000000037253,1299098.279999999795109,1392391.860000000102445,1346539.639999999664724,1370036.040000000037253,1357800.280000000027940,1270967.800000000046566,1242160.600000000093132,11931652.740000000223517
20180918,1445257.120000000111759,1211664.580000000074506,1315428.739999999990687,1425837.860000000102445,1362193.139999999664724,1367024.680000000167638,1371267.879999999888241,1263764.949999999953434,1245436.840000000083819,12007876.789999999105930
20180919,1446117.980000000214204,1214540.699999999953434,1319542.519999999785796,1411957.770000000251457,1354366.389999999664724,1377616.359999999869615,1369317.399999999906868,1243085.800000000046566,1260328.840000000083819,11996874.760000001639128
20180920,1457110.500000000000000,1234784.159999999916181,1315678.059999999823049,1427677.390000000130385,1369706.819999999832362,1383119.879999999888241,1386221.560000000055879,1253541.550000000046566,1263158.320000000065193,12090999.240000000223517
20180921,1441416.360000000102445,1221288.520000000018626,1323967.949999999720603,1430687.530000000027940,1379411.989999999990687,1384573.640000000130385,1393744.840000000083819,1264462.000000000000000,1268370.520000000251457,12107924.349999999627471
20180924,1462143.219999999972060,1247505.459999999962747,1296542.750000000000000,1409282.090000000083819,1375342.079999999841675,1388156.120000000111759,1385014.120000000111759,1244015.199999999953434,1289666.080000000074506,12097668.119999999180436
20180925,1471414.020000000018626,1257018.780000000027940,1293239.259999999776483,1417978.050000000279397,1370959.099999999860302,1368166.919999999925494,1389379.479999999981374,1232630.050000000046566,1288176.880000000121072,12088963.540000000968575
20180926,1459693.080000000074506,1274496.739999999990687,1293613.239999999990687,1399749.980000000214204,1367515.329999999841675,1365051.720000000204891,1386500.199999999953434,1234721.199999999953434,1277454.640000000130385,12058797.130000000819564
20180927,1489690.739999999990687,1283678.199999999953434,1289374.799999999813735,1413797.300000000279397,1374402.869999999878928,1374085.799999999813735,1393466.199999999953434,1245176.950000000186265,1277305.719999999972060,12140979.580000000074506
