代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11781984.490000000223517
真實報酬,1781984.490000000223517

夏普值報酬,0.169498449000000
夏普值風險,0.058775387470721
夏普值,2.883833800065311

二次趨勢線,213.405733662360745 x^2 + -11979.442406955198749 x + 10000000.000000000000000
二次加權預期報酬,24014.991337429648411
風險,119253.531633753722417
二次加權趨勢值,0.201377611282687
一次趨勢線,8267.110261414953129 x + 10000000.000000000000000
一次預期報酬,8267.110261414953129
一次風險,400694.694475418014918
一次趨勢值,0.020631943410776
找到最佳解世代,1687
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MRK[17](3),VZ[26](2),WMT[28](1),
FS( 55 ),3310035.239999999757856,3364197.049999999813735,3310281.990000000223517,9984515.279999999329448
FS( 56 ),3341961.799999999348074,3415343.189999999944121,3347806.890000000596046,10105112.879999998956919
FS( 57 ),3302269.319999999832362,3401233.910000000149012,3191810.520000000018626,9895314.750000000000000
FS( 58 ),3302269.319999999832362,3483244.100000000093132,3096926.130000000353903,9882440.550000000745058
FS( 59 ),3316075.399999999441206,3481480.439999999944121,3074947.260000000242144,9872504.099999999627471
FS( 60 ),3319526.919999999459833,3539681.220000000204891,3160182.390000000596046,10019391.530000001192093
FS( 61 ),3318664.039999999571592,3547617.689999999944121,3164470.950000000186265,10030753.679999999701977
FS( 62 ),3385968.679999999701977,3560845.140000000130385,3158038.109999999869615,10104852.929999999701977
FS( 63 ),3397186.119999999180436,3576718.080000000074506,3166615.230000000447035,10140520.429999999701977
FS( 64 ),3390283.079999999608845,3580245.400000000372529,3163398.810000000055879,10133928.290000000968575
FS( 65 ),3379928.519999999552965,3583772.720000000204891,3162326.670000000391155,10126028.910000000149012
FS( 66 ),3351453.479999999981374,3550263.179999999701977,3146780.640000000596046,10048498.300000000745058
FS( 67 ),3325567.079999999608845,3574072.590000000316650,3173048.070000000298023,10072688.740000000223517
FS( 68 ),3333333.000000000000000,3575836.250000000000000,3165543.089999999850988,10074713.339999999850988
FS( 69 ),3286737.479999999981374,3549381.350000000093132,3164470.950000000186265,10000590.780000001192093
FS( 70 ),3312623.879999999422580,3575836.250000000000000,3173048.070000000298023,10061509.199999999254942
FS( 71 ),3281560.199999999720603,3629627.879999999888241,3185377.680000000167638,10096566.759999999776483
FS( 72 ),3297954.919999999459833,3605818.470000000204891,3166615.230000000447035,10070389.620000001043081
FS( 73 ),3256536.679999999701977,3619927.750000000000000,3181625.190000000409782,10058090.620000001043081
FS( 74 ),3298817.799999999348074,3604936.640000000130385,3173048.070000000298023,10076803.509999999776483
FS( 75 ),3281560.199999999720603,3648146.310000000055879,3306529.500000000000000,10236237.009999999776483
FS( 76 ),3263439.719999999739230,3662255.590000000316650,3346734.750000000000000,10272431.060000000521541
FS( 77 ),3244456.359999999869615,3645500.820000000298023,3379435.020000000018626,10269393.199999999254942
FS( 78 ),3232376.039999999571592,3649909.970000000204891,3416423.850000000093132,10298710.859999999403954
FS( 79 ),3232376.039999999571592,3649909.970000000204891,3416423.850000000093132,10298710.859999999403954
FS( 80 ),3244456.359999999869615,3649909.970000000204891,3488257.229999999981374,10382624.560000000521541
FS( 81 ),3240141.959999999497086,3655200.950000000186265,3501122.910000000149012,10396466.820000000298023
FS( 82 ),3243593.479999999981374,3681655.850000000093132,3520957.500000000465661,10446207.830000000074506
FS( 83 ),3227198.759999999310821,3652555.460000000428408,3508091.820000000298023,10387847.039999999105930
FS( 84 ),3242730.599999999627471,3671955.720000000204891,3528462.479999999981374,10443149.800000000745058
FS( 85 ),3208215.399999999441206,3618164.090000000316650,3513988.589999999850988,10340369.080000000074506
FS( 86 ),3232376.039999999571592,3645500.820000000298023,3537575.669999999925494,10415453.529999999329448
FS( 87 ),3235827.559999999590218,3633155.200000000186265,3511308.240000000223517,10380292.000000000000000
FS( 88 ),3270342.759999999310821,3683419.510000000242144,3534359.250000000465661,10488122.519999999552965
FS( 89 ),3307446.599999999627471,3671955.720000000204891,3531142.830000000540167,10510546.150000000372529
FS( 90 ),3318664.039999999571592,3742502.120000000111759,3657119.280000000260770,10718286.440000001341105
FS( 91 ),3319526.919999999459833,3753084.080000000074506,3620130.450000000186265,10692742.449999999254942
FS( 92 ),3352316.359999999869615,3786593.620000000111759,3630315.780000000260770,10769226.760000001639128
FS( 93 ),3313486.759999999310821,3791002.770000000484288,3595471.229999999981374,10699961.759999999776483
FS( 94 ),3347139.079999999608845,3858021.850000000093132,3625491.149999999906868,10830653.080000000074506
FS( 95 ),3360082.279999999329448,3840385.250000000000000,3631923.990000000223517,10832392.519999999552965
FS( 96 ),3352316.359999999869615,3864194.660000000149012,3651758.580000000540167,10868270.599999999627471
FS( 97 ),3385105.799999999348074,3856258.189999999944121,3635140.410000000149012,10876505.399999998509884
FS( 98 ),3383380.039999999571592,3818339.500000000000000,3673201.379999999888241,10874921.919999998062849
FS( 99 ),3404089.159999999683350,3820984.989999999757856,3629243.640000000596046,10854318.789999999105930
FS( 100 ),3467079.399999999441206,3875658.450000000186265,3607800.839999999850988,10950539.689999999478459
FS( 101 ),3432564.199999999720603,3849203.549999999813735,3654975.000000000465661,10936743.750000000000000
FS( 102 ),3457587.719999999739230,3865958.320000000298023,3676417.800000000279397,10999964.839999999850988
FS( 103 ),3497280.199999999720603,3860667.340000000316650,3676953.870000000577420,11034902.410000000149012
FS( 104 ),3510223.399999999441206,3877422.109999999869615,3661407.839999999850988,11049054.349999999627471
FS( 105 ),3602551.559999999590218,3918868.120000000111759,3737529.780000000260770,11258950.460000000894070
FS( 106 ),3611180.359999999869615,3962077.790000000037253,3717695.189999999944121,11290954.339999999850988
FS( 107 ),3607728.839999999850988,3963841.450000000186265,3792744.990000000223517,11364316.280000001192093
FS( 108 ),3592197.000000000000000,3958550.470000000204891,3810435.300000000279397,11361183.770000001415610
FS( 109 ),3581842.439999999478459,3917104.460000000428408,3825445.260000000242144,11324393.160000000149012
FS( 110 ),3635341.000000000000000,3945323.020000000484288,3846888.060000000521541,11427553.080000001937151
FS( 111 ),3569762.119999999180436,3941795.700000000186265,3865650.510000000242144,11377209.330000000074506
FS( 112 ),3555956.039999999571592,3959432.299999999813735,3873691.560000000521541,11389080.900000000372529
FS( 113 ),3702645.639999999199063,3939150.210000000428408,3876371.910000000149012,11518168.759999999776483
FS( 114 ),3750966.919999999459833,3986769.030000000260770,3923010.000000000465661,11660746.949999999254942
FS( 115 ),3740612.359999999869615,3992060.010000000242144,3912288.600000000558794,11644961.970000000670552
FS( 116 ),3813094.279999999329448,4026451.379999999888241,3918721.439999999944121,11758268.099999999627471
FS( 117 ),3791522.279999999329448,4046733.470000000204891,3905319.689999999944121,11743576.439999999478459
FS( 118 ),3791522.279999999329448,3927686.419999999925494,3834558.450000000186265,11553768.149999998509884
FS( 119 ),3745789.639999999199063,3923277.270000000484288,3873155.490000000223517,11542223.400000000372529
FS( 120 ),3733709.319999999832362,3910931.650000000372529,3851712.689999999944121,11496354.660000000149012
FS( 121 ),3683662.279999999329448,3859785.510000000242144,3867258.720000000204891,11410707.509999999776483
FS( 122 ),3677622.119999999180436,3855376.359999999869615,3864042.300000000279397,11397041.779999999329448
FS( 123 ),3738886.599999999627471,3920631.780000000260770,3949277.430000000167638,11608796.810000000521541
FS( 124 ),3891616.359999999869615,3959432.299999999813735,3994843.379999999888241,11845893.039999999105930
FS( 125 ),3838117.799999999348074,3963841.450000000186265,4019502.600000000558794,11821462.850000001490116
FS( 126 ),3811368.519999999552965,3980596.220000000204891,3990018.750000000465661,11781984.490000000223517
