代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12142192.069999998435378
真實報酬,2142192.069999998435378

夏普值報酬,0.205519207000000
夏普值風險,0.053099746121835
夏普值,3.870436715995671

二次趨勢線,67.101607404755043 x^2 + 7988.491697461156946 x + 10000000.000000000000000
二次加權預期報酬,19127.358526650492422
風險,150618.969550555280875
二次加權趨勢值,0.126991696887359
一次趨勢線,14254.003232242512240 x + 10000000.000000000000000
一次預期報酬,14254.003232242512240
一次風險,190423.630175325699383
一次趨勢值,0.074854172347826
找到最佳解世代,3615
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,3
AXP[1](6),CAT[3](2),MRK[17](1),
FS( 12 ),3573102.409999999683350,3548659.669999999925494,3417354.139999999664724,10539117.219999998807907
FS( 13 ),3569880.939999999478459,3545023.759999999776483,3407469.299999999813735,10522375.000000000000000
FS( 14 ),3558375.689999999478459,3423826.759999999776483,3389817.799999999813735,10372021.250000000000000
FS( 15 ),3517877.209999999497086,3435138.479999999981374,3366517.819999999832362,10319534.509999999776483
FS( 16 ),3500849.439999999478459,3438370.399999999906868,3355926.919999999925494,10295147.759999999776483
FS( 17 ),3497167.759999999310821,3413727.009999999776483,3365811.759999999776483,10276707.529999999329448
FS( 18 ),3512354.689999999478459,3401607.310000000055879,3366517.819999999832362,10280480.820000000298023
FS( 19 ),3492565.659999999683350,3385447.709999999497086,3374284.479999999515712,10252298.849999997764826
FS( 20 ),3475537.889999999664724,3369288.109999999869615,3361575.399999999906868,10206402.400000000372529
FS( 21 ),3494406.500000000000000,3383831.750000000000000,3441360.179999999701977,10319599.429999999701977
FS( 22 ),3432278.149999999441206,3396355.439999999478459,3415235.959999999497086,10243870.549999998882413
FS( 23 ),3406506.389999999664724,3392315.539999999571592,3414529.899999999906868,10213352.830000000074506
FS( 24 ),3419852.479999999981374,3401607.310000000055879,3405351.119999999646097,10226811.910000000149012
FS( 25 ),3356803.709999999497086,3374539.979999999981374,3381345.079999999608845,10112689.769999999552965
FS( 26 ),3323668.589999999850988,3347068.659999999683350,3371460.239999999757856,10042198.490000000223517
FS( 27 ),3323668.589999999850988,3374135.989999999757856,3337569.359999999869615,10035374.939999999478459
FS( 28 ),3435959.829999999608845,3423018.779999999795109,3353102.679999999701977,10212082.289999999105930
FS( 29 ),3470015.370000000111759,3458569.899999999906868,3338981.479999999515712,10267567.750000000000000
FS( 30 ),3500849.439999999478459,3484021.269999999552965,3300854.239999999757856,10285725.949999999254942
FS( 31 ),3463112.219999999739230,3464225.759999999776483,3288145.159999999683350,10215484.139999998733401
FS( 32 ),3512354.689999999478459,3485233.239999999757856,3330508.759999999776483,10328097.689999999478459
FS( 33 ),3692296.799999999813735,3468265.659999999683350,3326272.399999999906868,10486835.859999999403954
FS( 34 ),3705642.889999999664724,3528460.169999999925494,3290969.399999999906868,10525073.459999999031425
FS( 35 ),3700120.370000000111759,3543003.810000000055879,3283908.799999999813735,10527033.980000000447035
FS( 36 ),3721750.239999999757856,3602390.339999999850988,3281084.559999999590218,10605226.140000000596046
FS( 37 ),3710705.199999999720603,3383831.750000000000000,3287439.100000000093132,10381977.049999998882413
FS( 38 ),3723130.870000000111759,3414938.979999999981374,3263433.059999999590218,10401503.910000000149012
FS( 39 ),3801826.779999999795109,3424634.739999999757856,3286026.979999999515712,10512489.500000000000000
FS( 40 ),3808729.930000000167638,3404839.229999999981374,3202005.839999999850988,10415576.000000000000000
FS( 41 ),3850148.829999999608845,3396355.439999999478459,3218245.219999999739230,10464750.489999998360872
FS( 42 ),3824377.069999999366701,3372924.019999999552965,3194239.179999999701977,10391541.269999999552965
FS( 43 ),3764549.769999999552965,3367672.149999999906868,3183648.279999999795109,10315871.199999999254942
FS( 44 ),3781117.329999999608845,3376963.919999999925494,3193533.119999999646097,10351615.369999999180436
FS( 45 ),3770532.500000000000000,3389083.619999999646097,3228130.059999999590218,10387747.179999999701977
FS( 46 ),3769151.870000000111759,3395547.459999999497086,3202711.899999999906868,10367412.230000000447035
FS( 47 ),3779276.489999999757856,3402415.289999999571592,3245075.500000000000000,10426768.279999999329448
FS( 48 ),3724051.290000000037253,3379387.859999999869615,3235190.659999999683350,10338630.810000000521541
FS( 49 ),3763629.349999999627471,3403223.269999999552965,3304384.539999999571592,10471238.159999998286366
FS( 50 ),3746141.370000000111759,3399587.359999999869615,3318505.739999999757856,10464235.470000000670552
FS( 51 ),3729113.599999999627471,3387467.659999999683350,3360163.279999999795109,10476745.539999999105930
FS( 52 ),3747982.209999999497086,3401607.310000000055879,3342511.779999999795109,10492102.299999998882413
FS( 53 ),3768691.659999999683350,3383831.750000000000000,3376402.659999999683350,10528927.070000000298023
FS( 54 ),3810570.769999999552965,3383023.769999999552965,3394054.159999999683350,10587649.699999999254942
FS( 55 ),3789401.109999999869615,3395143.470000000204891,3389817.799999999813735,10574363.379999998956919
FS( 56 ),3794923.629999999422580,3380195.839999999850988,3394054.159999999683350,10569174.629999998956919
FS( 57 ),3785259.219999999739230,3340200.830000000074506,3398290.520000000018626,10523751.570000000298023
FS( 58 ),3863494.919999999925494,3317577.390000000130385,3432887.459999999497086,10613960.769999999552965
FS( 59 ),3858892.819999999366701,3348280.629999999422580,3455481.379999999422580,10662655.829999998211861
FS( 60 ),3892948.359999999869615,3409687.109999999869615,3506317.699999999720603,10808954.169999999925494
FS( 61 ),3915958.859999999869615,3408071.149999999906868,3500669.219999999739230,10824700.230000000447035
FS( 62 ),3938969.359999999869615,3420594.839999999850988,3518320.719999999739230,10877885.919999998062849
FS( 63 ),3948633.769999999552965,3417766.909999999683350,3518320.719999999739230,10884722.399999998509884
FS( 64 ),3925163.060000000055879,3403627.259999999776483,3543032.819999999832362,10871824.140000000596046
FS( 65 ),3893868.779999999795109,3388275.640000000130385,3513378.299999999813735,10795523.719999998807907
FS( 66 ),3888806.469999999739230,3392315.539999999571592,3481605.600000000093132,10762728.609999999403954
FS( 67 ),3890647.310000000055879,3410091.099999999627471,3446302.600000000093132,10747042.009999999776483
FS( 68 ),3954616.500000000000000,3454126.009999999776483,3487254.079999999608845,10895997.589999999850988
FS( 69 ),3946332.719999999739230,3477961.419999999925494,3499257.100000000093132,10923552.240000000223517
FS( 70 ),3925163.060000000055879,3491293.089999999850988,3490078.319999999832362,10906535.470000000670552
FS( 71 ),3861193.870000000111759,3445238.229999999981374,3456187.439999999944121,10762620.539999999105930
FS( 72 ),3833581.269999999552965,3456953.939999999478459,3411705.659999999683350,10702241.869999999180436
FS( 73 ),3851069.250000000000000,3476345.459999999497086,3415942.020000000018626,10743357.729999998584390
FS( 74 ),3889726.889999999664724,3530076.129999999422580,3395466.279999999795109,10815270.299999998882413
FS( 75 ),3870858.279999999795109,3511492.589999999850988,3382051.139999999664724,10764403.009999997913837
FS( 76 ),3957377.759999999310821,3561991.339999999850988,3452657.139999999664724,10972027.239999998360872
FS( 77 ),3976706.579999999608845,3536539.970000000204891,3444890.479999999515712,10958138.029999999329448
FS( 78 ),4030090.939999999478459,3592694.580000000074506,3482311.659999999683350,11105098.179999999701977
FS( 79 ),4064146.479999999981374,3634305.549999999348074,3485135.899999999906868,11183588.929999999701977
FS( 80 ),4081634.459999999497086,3672684.599999999627471,3488666.199999999720603,11242986.259999997913837
FS( 81 ),4095900.969999999739230,3682380.359999999869615,3510554.059999999590218,11288836.390000000596046
FS( 82 ),4104644.959999999497086,3671068.640000000130385,3515496.479999999515712,11291211.079999998211861
FS( 83 ),4123053.359999999869615,3671068.640000000130385,3526087.379999999422580,11320210.379999998956919
FS( 84 ),4175517.299999999813735,3668644.699999999720603,3533854.039999999571592,11378017.039999999105930
FS( 85 ),4116610.419999999925494,3630669.640000000130385,3494314.679999999701977,11241595.740000000223517
FS( 86 ),4129956.509999999310821,3628649.689999999478459,3511260.119999999646097,11269867.319999998435378
FS( 87 ),4128115.669999999925494,3580978.869999999646097,3511966.179999999701977,11221061.719999998807907
FS( 88 ),4112468.529999999795109,3592694.580000000074506,3538090.399999999906868,11243254.509999999776483
FS( 89 ),4114769.579999999608845,3601178.369999999646097,3515496.479999999515712,11231445.429999999701977
FS( 90 ),4090378.449999999720603,3624205.799999999348074,3496432.859999999869615,11211018.109999999403954
FS( 91 ),4075191.519999999552965,3656525.000000000000000,3521851.020000000018626,11253568.539999999105930
FS( 92 ),4003398.759999999310821,3631477.619999999646097,3750614.459999999497086,11385491.839999997988343
FS( 93 ),4009381.489999999757856,3658544.949999999720603,3742141.739999999757856,11410069.179999999701977
FS( 94 ),4061385.219999999739230,3733283.099999999627471,3708250.859999999869615,11502920.179999999701977
FS( 95 ),4039755.349999999627471,3717123.500000000000000,3706838.739999999757856,11463718.589999999850988
FS( 96 ),4186562.339999999850988,3694096.069999999832362,3668005.439999999944121,11548664.849999999627471
FS( 97 ),4169074.359999999869615,3660160.909999999683350,3659532.719999999739230,11488768.989999998360872
FS( 98 ),4193925.699999999720603,3621377.869999999646097,3625641.839999999850988,11440946.410000000149012
FS( 99 ),4103724.540000000037253,3574515.029999999795109,3643293.339999999850988,11321533.910000000149012
FS( 100 ),4001557.919999999925494,3481193.339999999850988,3670123.619999999646097,11152875.879999998956919
FS( 101 ),3944952.089999999850988,3688036.220000000204891,3708956.919999999925494,11341946.230000000447035
FS( 102 ),3987291.409999999683350,3735707.039999999571592,3732962.959999999497086,11455962.409999998286366
FS( 103 ),3937128.519999999552965,3660968.890000000130385,3686363.000000000000000,11284461.410000000149012
FS( 104 ),3986370.989999999757856,3765198.310000000055879,3778150.799999999813735,11529721.099999999627471
FS( 105 ),3912737.389999999664724,3793881.599999999627471,3740023.559999999590218,11446643.549999998882413
FS( 106 ),3813332.029999999795109,3733687.089999999850988,3677184.219999999739230,11224204.339999999850988
FS( 107 ),3865795.969999999739230,3736919.009999999776483,3778150.799999999813735,11380866.779999999329448
FS( 108 ),3852910.089999999850988,3715103.549999999348074,3779562.919999999925494,11347577.559999998658895
FS( 109 ),3943571.459999999497086,3790649.679999999701977,3796508.359999999869615,11530730.499999998137355
FS( 110 ),4003858.969999999739230,3832664.640000000130385,3867114.359999999869615,11703638.969999998807907
FS( 111 ),4065527.109999999869615,3817717.009999999776483,3875587.079999999608845,11758832.199999999254942
FS( 112 ),4076572.149999999441206,3836300.549999999348074,3932777.939999999944121,11845651.639999998733401
FS( 113 ),4096821.389999999664724,3885183.339999999850988,3883353.739999999757856,11865359.469999998807907
FS( 114 ),4091298.870000000111759,3882759.399999999906868,3890414.339999999850988,11864473.609999999403954
FS( 115 ),4095900.969999999739230,3900534.959999999497086,3914420.379999999422580,11910857.309999998658895
FS( 116 ),4096821.389999999664724,3900938.949999999720603,3932071.879999999422580,11929833.219999998807907
FS( 117 ),4088537.609999999869615,3886799.299999999348074,3886177.979999999515712,11861515.889999998733401
FS( 118 ),4096361.180000000167638,3915482.589999999850988,3940544.600000000093132,11952389.369999999180436
FS( 119 ),4084395.719999999739230,3938914.009999999776483,3956077.919999999925494,11979388.649999998509884
FS( 120 ),4138240.290000000037253,3931642.189999999478459,3966668.819999999832362,12036552.299999998882413
FS( 121 ),4137780.079999999608845,3894879.099999999627471,3947605.199999999720603,11980265.379999998956919
FS( 122 ),4129496.299999999813735,3926794.310000000055879,3973023.359999999869615,12029314.969999998807907
FS( 123 ),4155268.060000000055879,3906594.810000000055879,4000559.699999999720603,12062423.570000000298023
FS( 124 ),4200828.849999999627471,3917502.539999999571592,4023859.679999999701977,12142192.069999998435378
