代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12026040.830000000074506
真實報酬,2026040.830000000074506

夏普值報酬,0.193904083000000
夏普值風險,0.067197002996165
夏普值,2.885606118639943

二次趨勢線,59.369326687196036 x^2 + 12531.838191287153677 x + 10000000.000000000000000
二次加權預期報酬,22466.305523611288663
風險,163269.158352551196003
二次加權趨勢值,0.137602874604763
一次趨勢線,18119.887366526290862 x + 10000000.000000000000000
一次預期報酬,18119.887366526290862
一次風險,193981.464711177599384
一次趨勢值,0.093410405955565
找到最佳解世代,1607
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
BA[2](11),MCD[15](9),MMM[16](2),MRK[17](1),MSFT[18](6),NKE[19](23),UNH[23](7),
FS( 7 ),1480767.800000000046566,1451632.679999999934807,1412729.400000000139698,1443322.969999999972060,1386607.400000000139698,1432606.479999999981374,1452588.979999999981374,10060258.710000000894070
FS( 8 ),1511759.650000000139698,1457851.559999999823049,1432333.379999999888241,1462833.639999999897555,1410586.600000000325963,1450766.140000000130385,1451022.590000000083819,10177156.560000000521541
FS( 9 ),1520894.090000000083819,1445413.800000000046566,1437679.919999999925494,1474254.520000000018626,1415981.920000000158325,1457828.229999999981374,1481306.130000000121072,10233361.610000001266599
FS( 10 ),1463803.840000000083819,1432198.679999999934807,1412333.359999999869615,1474254.520000000018626,1420178.280000000260770,1434624.220000000204891,1465120.100000000093132,10102516.000000000000000
FS( 11 ),1440641.510000000009313,1412246.439999999944121,1387778.879999999888241,1469495.820000000065193,1393801.160000000149012,1398304.899999999906868,1487049.560000000055879,9989321.270000001415610
FS( 12 ),1428244.770000000018626,1431939.559999999823049,1393125.419999999925494,1461406.030000000027940,1413584.000000000000000,1402340.380000000121072,1471385.660000000149012,10002028.820000000298023
FS( 13 ),1419762.790000000270084,1442045.239999999990687,1401838.300000000046566,1498048.020000000018626,1417780.360000000102445,1431597.610000000102445,1471385.660000000149012,10082460.980000000447035
FS( 14 ),1459562.850000000093132,1454742.119999999878928,1410551.179999999934807,1491385.840000000083819,1418979.320000000298023,1437650.830000000074506,1482350.390000000130385,10155225.530000001192093
FS( 15 ),1496426.840000000083819,1458110.679999999934807,1438472.000000000000000,1549441.980000000214204,1463340.840000000083819,1403349.250000000000000,1510023.280000000260770,10319167.870000001043081
FS( 16 ),1537531.820000000065193,1448782.359999999869615,1436887.840000000083819,1546586.760000000009313,1477128.880000000121072,1412429.080000000074506,1550227.290000000037253,10409577.029999997466803
FS( 17 ),1574069.580000000074506,1462774.840000000083819,1439264.080000000074506,1568000.910000000149012,1477128.880000000121072,1391242.810000000055879,1562236.280000000260770,10474720.379999998956919
FS( 18 ),1560041.690000000176951,1477026.439999999944121,1414313.560000000055879,1555152.419999999925494,1471733.560000000288710,1398304.899999999906868,1510545.410000000149012,10387120.980000000447035
FS( 19 ),1690533.690000000176951,1481172.359999999869615,1418471.979999999981374,1564193.949999999953434,1480126.280000000260770,1433615.350000000093132,1511067.540000000037253,10579184.149999998509884
FS( 20 ),1665087.750000000000000,1452928.280000000027940,1424214.560000000055879,1538021.100000000093132,1479526.800000000046566,1417473.430000000167638,1471385.660000000149012,10448640.580000000074506
FS( 21 ),1620394.240000000223517,1457333.320000000065193,1427778.919999999925494,1543255.669999999925494,1477728.360000000102445,1397296.030000000027940,1461987.320000000065193,10385776.860000001266599
FS( 22 ),1591033.540000000270084,1441786.119999999878928,1388570.959999999962747,1512799.989999999990687,1438762.160000000149012,1371065.410000000149012,1427004.609999999869615,10171025.789999999105930
FS( 23 ),1578963.030000000027940,1434789.879999999888241,1397679.879999999888241,1466164.729999999981374,1430369.440000000176951,1344834.790000000037253,1496447.900000000139698,10149252.650000000372529
FS( 24 ),1580920.410000000149012,1439972.280000000027940,1406392.760000000009313,1439040.139999999897555,1445356.440000000176951,1354923.489999999990687,1507412.630000000121072,10174021.150000000372529
FS( 25 ),1603430.280000000027940,1454742.119999999878928,1412927.419999999925494,1460930.159999999916181,1475929.920000000158325,1368038.800000000046566,1507934.760000000009313,10283936.460000000894070
FS( 26 ),1614848.330000000074506,1456815.079999999841675,1419660.099999999860302,1473778.649999999906868,1487919.520000000251457,1393260.550000000046566,1453633.239999999990687,10299918.470000000670552
FS( 27 ),1648450.020000000018626,1427534.520000000018626,1449165.080000000074506,1501379.110000000102445,1485521.600000000325963,1396287.160000000149012,1482872.520000000018626,10391213.010000001639128
FS( 28 ),1647145.100000000093132,1421315.639999999897555,1473125.500000000000000,1520889.780000000027940,1498710.160000000149012,1398304.899999999906868,1519943.750000000000000,10479437.830000000074506
FS( 29 ),1675200.880000000121072,1409396.119999999878928,1465402.719999999972060,1548490.239999999990687,1490317.440000000176951,1387207.330000000074506,1517855.229999999981374,10493872.960000000894070
FS( 30 ),1662804.140000000130385,1405250.199999999953434,1476491.840000000083819,1565145.689999999944121,1498710.160000000149012,1385189.590000000083819,1501669.200000000186265,10495263.820000000298023
FS( 31 ),1698689.440000000176951,1424684.199999999953434,1478868.080000000074506,1556104.160000000149012,1510699.760000000009313,1379136.370000000111759,1446323.419999999925494,10494508.430000001564622
FS( 32 ),1708150.110000000102445,1463293.079999999841675,1492729.479999999981374,1530883.050000000046566,1510699.760000000009313,1442695.180000000167638,1529342.090000000083819,10677795.750000000000000
FS( 33 ),1725114.070000000065193,1463033.959999999962747,1483026.500000000000000,1523269.129999999888241,1516694.560000000288710,1464890.320000000065193,1531952.739999999990687,10707984.280000001192093
FS( 34 ),1729681.290000000270084,1477026.439999999944121,1477679.959999999962747,1517082.820000000065193,1514296.640000000130385,1478005.630000000121072,1492270.859999999869615,10686046.640000000596046
FS( 35 ),1724461.610000000102445,1454742.119999999878928,1476095.800000000046566,1514227.600000000093132,1516694.560000000288710,1476996.760000000242144,1492792.989999999990687,10656014.440000001341105
FS( 36 ),1733596.050000000046566,1446191.159999999916181,1484610.659999999916181,1490909.969999999972060,1544870.120000000111759,1476996.760000000242144,1440057.859999999869615,10617235.580000000074506
FS( 37 ),1708476.340000000083819,1439194.919999999925494,1473719.560000000055879,1490909.969999999972060,1541273.240000000223517,1470943.540000000037253,1393066.160000000149012,10517586.730000000447035
FS( 38 ),1689555.000000000000000,1454223.879999999888241,1467382.919999999925494,1475682.130000000121072,1555061.280000000260770,1466908.060000000055879,1359127.710000000195578,10467943.980000000447035
FS( 39 ),1680746.790000000270084,1475730.840000000083819,1461442.319999999832362,1487103.010000000009313,1531681.560000000288710,1479014.500000000000000,1323100.739999999990687,10438822.759999999776483
FS( 40 ),1731312.440000000176951,1481431.479999999981374,1485402.739999999990687,1524220.870000000111759,1548467.000000000000000,1488094.330000000074506,1347118.720000000204891,10606050.580000000074506
FS( 41 ),1781878.090000000083819,1481431.479999999981374,1464214.599999999860302,1515655.209999999962747,1543671.160000000149012,1515333.820000000065193,1340853.160000000149012,10643040.519999999552965
FS( 42 ),1766545.280000000027940,1478840.280000000027940,1461442.319999999832362,1505186.070000000065193,1541872.719999999972060,1632362.739999999990687,1307436.840000000083819,10693689.250000000000000
FS( 43 ),1699994.360000000102445,1470289.320000000065193,1436689.819999999832362,1483771.919999999925494,1491516.400000000139698,1576874.890000000130385,1294383.590000000083819,10453523.300000000745058
FS( 44 ),1676832.030000000027940,1469511.959999999962747,1424412.580000000074506,1506137.810000000055879,1496312.240000000223517,1564768.449999999953434,1267754.960000000195578,10405733.030000001192093
FS( 45 ),1705540.270000000018626,1466920.760000000009313,1445996.760000000009313,1511848.250000000000000,1477128.880000000121072,1583936.979999999981374,1255223.840000000083819,10446598.740000000223517
FS( 46 ),1705866.500000000000000,1488427.719999999972060,1464016.580000000074506,1547062.629999999888241,1505304.440000000176951,1590999.070000000065193,1272976.260000000009313,10574656.199999999254942
FS( 47 ),1689555.000000000000000,1480654.119999999878928,1448373.000000000000000,1531834.789999999804422,1504704.960000000195578,1600078.899999999906868,1307958.970000000204891,10563162.740000000223517
FS( 48 ),1706192.729999999981374,1473657.879999999888241,1475897.780000000027940,1543255.669999999925494,1538875.320000000298023,1615211.950000000186265,1261489.400000000139698,10614583.730000000447035
FS( 49 ),1718915.699999999953434,1469252.840000000083819,1479858.179999999934807,1549441.980000000214204,1531681.560000000288710,1604114.380000000121072,1288118.030000000260770,10641385.670000001788139
FS( 50 ),1685314.010000000009313,1468734.599999999860302,1482828.479999999981374,1563718.080000000074506,1541872.719999999972060,1595034.550000000046566,1317357.310000000055879,10654862.750000000000000
FS( 51 ),1693143.530000000027940,1478322.039999999804422,1478274.020000000018626,1542779.800000000046566,1547268.040000000037253,1606132.120000000111759,1268277.090000000083819,10614199.640000000596046
FS( 52 ),1713043.560000000055879,1489982.439999999944121,1516293.859999999869615,1565621.560000000055879,1556260.240000000223517,1637407.090000000083819,1298560.630000000121072,10777172.380000000819564
FS( 53 ),1688576.310000000055879,1508120.840000000083819,1520254.260000000009313,1584656.359999999869615,1601221.240000000223517,1638415.959999999962747,1281852.470000000204891,10823100.439999999478459
FS( 54 ),1735227.199999999953434,1523149.800000000046566,1505402.760000000009313,1580373.530000000027940,1588632.160000000149012,1641442.570000000065193,1276631.169999999925494,10850862.189999999478459
FS( 55 ),1743709.180000000167638,1536105.800000000046566,1511343.359999999869615,1605118.769999999785796,1580239.440000000176951,1666664.320000000065193,1301171.280000000260770,10944355.149999998509884
FS( 56 ),1692817.300000000046566,1526777.479999999981374,1504016.620000000111759,1604642.899999999906868,1580838.920000000158325,1641442.570000000065193,1355472.800000000046566,10906011.590000001713634
FS( 57 ),1651712.320000000065193,1511489.399999999906868,1511541.379999999888241,1555152.419999999925494,1593428.000000000000000,1633371.610000000102445,1311613.880000000121072,10768312.009999999776483
FS( 58 ),1666066.440000000176951,1541806.439999999944121,1560254.300000000046566,1564193.949999999953434,1594027.480000000214204,1644469.180000000167638,1342419.550000000046566,10913240.340000001713634
FS( 59 ),1627571.300000000046566,1539992.599999999860302,1541046.359999999869615,1543255.669999999925494,1679753.120000000111759,1618238.560000000055879,1349729.370000000111759,10899589.980000000447035
FS( 60 ),1575374.500000000000000,1534032.840000000083819,1521244.359999999869615,1523745.000000000232831,1719318.800000000046566,1608149.860000000102445,1321534.350000000093132,10803402.709999999031425
FS( 61 ),1557758.080000000074506,1529368.679999999934807,1505006.719999999972060,1543255.669999999925494,1713923.480000000214204,1616220.820000000065193,1383667.820000000065193,10849204.269999999552965
FS( 62 ),1540467.890000000130385,1519522.119999999878928,1474511.639999999897555,1525172.609999999869615,1679753.120000000111759,1577883.760000000242144,1351295.760000000009313,10668609.900000000372529
FS( 63 ),1592338.460000000195578,1532478.119999999878928,1494709.679999999934807,1489958.229999999981374,1691742.719999999972060,1607140.989999999990687,1382101.429999999934807,10790472.629999998956919
FS( 64 ),1559389.229999999981374,1518744.760000000009313,1456887.859999999869615,1471875.169999999925494,1662368.200000000186265,1568803.930000000167638,1354950.669999999925494,10593022.820000000298023
FS( 65 ),1574722.040000000270084,1532996.359999999869615,1470947.280000000027940,1487578.880000000121072,1671360.400000000139698,1576874.890000000130385,1379490.780000000260770,10693973.630000002682209
FS( 66 ),1569176.130000000121072,1535069.320000000065193,1466590.840000000083819,1459502.550000000046566,1650378.600000000325963,1580910.370000000111759,1405075.150000000139698,10666705.960000000894070
FS( 67 ),1568197.440000000176951,1562276.919999999925494,1466788.859999999869615,1553248.939999999944121,1682151.040000000037253,1581919.239999999990687,1455199.630000000121072,10869785.070000000298023
FS( 68 ),1623656.540000000270084,1593112.199999999953434,1494313.639999999897555,1556580.030000000027940,1706729.719999999972060,1633371.610000000102445,1472952.050000000046566,11080718.790000000968575
FS( 69 ),1620720.469999999972060,1599331.079999999841675,1493323.539999999804422,1550869.590000000083819,1709727.120000000111759,1628327.260000000242144,1496970.030000000260770,11099272.089999999850988
FS( 70 ),1675200.880000000121072,1623170.119999999878928,1528769.120000000111759,1590842.669999999925494,1737902.680000000167638,1647495.789999999804422,1520988.010000000009313,11324372.269999999552965
FS( 71 ),1641599.190000000176951,1613841.800000000046566,1544412.699999999953434,1599408.330000000074506,1739101.640000000130385,1626309.520000000251457,1512633.929999999934807,11277310.109999999403954
FS( 72 ),1653343.469999999972060,1628093.399999999906868,1543818.639999999897555,1580849.399999999906868,1745695.920000000158325,1637407.090000000083819,1533519.130000000121072,11322730.050000000745058
FS( 73 ),1640294.270000000018626,1610991.479999999981374,1528967.139999999897555,1569428.519999999785796,1760083.440000000176951,1616220.820000000065193,1501669.200000000186265,11227657.870000001043081
FS( 74 ),1653343.469999999972060,1647527.399999999906868,1531145.359999999869615,1575138.959999999962747,1776269.400000000139698,1625300.649999999906868,1518377.359999999869615,11327105.599999999627471
FS( 75 ),1712064.869999999878928,1672143.800000000046566,1545006.760000000009313,1608925.730000000214204,1770874.080000000074506,1666664.320000000065193,1522032.270000000018626,11497714.830000000074506
FS( 76 ),1713696.020000000018626,1647268.280000000027940,1560056.280000000027940,1631767.489999999990687,1798450.160000000149012,1638415.959999999962747,1512633.929999999934807,11502291.120000001043081
FS( 77 ),1697058.290000000270084,1657892.199999999953434,1540650.319999999832362,1672216.439999999944121,1805044.440000000176951,1625300.649999999906868,1507412.630000000121072,11505577.970000000670552
FS( 78 ),1677810.719999999972060,1643122.359999999869615,1529759.219999999972060,1681257.969999999972060,1785261.600000000325963,1603105.510000000242144,1494881.510000000009313,11415201.890000000596046
FS( 79 ),1686618.930000000167638,1657633.079999999841675,1517680.000000000000000,1735031.280000000027940,1775669.920000000158325,1612185.340000000083819,1491226.600000000093132,11476048.150000000372529
FS( 80 ),1716958.320000000065193,1658151.320000000065193,1539264.179999999934807,1733127.800000000046566,1794853.280000000260770,1626309.520000000251457,1518377.359999999869615,11587044.779999999329448
FS( 81 ),1695427.140000000130385,1664111.079999999841675,1536887.939999999944121,1723610.399999999906868,1793054.840000000083819,1627318.389999999897555,1543439.600000000093132,11583852.390000000596046
FS( 82 ),1726745.219999999972060,1670070.840000000083819,1542828.539999999804422,1740265.850000000093132,1785861.080000000074506,1657584.489999999990687,1542395.340000000083819,11665754.359999999403954
FS( 83 ),1711086.180000000167638,1648045.639999999897555,1519858.219999999972060,1726941.489999999990687,1751690.719999999972060,1640433.700000000186265,1537174.040000000037253,11535232.989999998360872
FS( 84 ),1709781.260000000009313,1638976.439999999944121,1533521.599999999860302,1723134.530000000027940,1763080.840000000083819,1636398.219999999972060,1496970.030000000260770,11501865.920000001788139
FS( 85 ),1752517.390000000130385,1646490.919999999925494,1557085.979999999981374,1755017.820000000065193,1799049.640000000130385,1649513.530000000260770,1498536.419999999925494,11658214.700000001117587
FS( 86 ),1754474.770000000018626,1619542.439999999944121,1552729.539999999804422,1751210.859999999869615,1785261.600000000325963,1648504.660000000149012,1477129.090000000083819,11588855.959999999031425
FS( 87 ),1754148.540000000270084,1605809.079999999841675,1527779.020000000018626,1749783.250000000232831,1788259.000000000000000,1631353.870000000344589,1427004.609999999869615,11484140.370000001043081
FS( 88 ),1783835.469999999972060,1595962.520000000018626,1549363.199999999953434,1746452.160000000149012,1797251.200000000186265,1622274.039999999804422,1433792.300000000046566,11528933.890000000596046
FS( 89 ),1821025.690000000176951,1604772.599999999860302,1542828.539999999804422,1746452.160000000149012,1785861.080000000074506,1628327.260000000242144,1477651.220000000204891,11606921.550000000745058
FS( 90 ),1815806.010000000009313,1570568.760000000009313,1526986.939999999944121,1729796.709999999962747,1772672.520000000251457,1602096.640000000130385,1486005.300000000046566,11503935.880000000819564
FS( 91 ),1809607.640000000130385,1570309.639999999897555,1579066.199999999953434,1767866.310000000055879,1781065.240000000223517,1562750.710000000195578,1488093.820000000065193,11558762.560000002384186
FS( 92 ),1794601.060000000055879,1581970.039999999804422,1597680.080000000074506,1786425.239999999990687,1790656.920000000158325,1581919.239999999990687,1582599.350000000093132,11715854.929999999701977
FS( 93 ),1813848.630000000121072,1597776.359999999869615,1618868.219999999972060,1764059.350000000093132,1789457.960000000195578,1611176.470000000204891,1591475.560000000055879,11786665.550000002607703
FS( 94 ),1828528.979999999981374,1610214.119999999878928,1622036.539999999804422,1797370.250000000232831,1805044.440000000176951,1618238.560000000055879,1616015.669999999925494,11897451.560000000521541
FS( 95 ),1816132.240000000223517,1606586.439999999944121,1637680.120000000111759,1808315.260000000009313,1799649.120000000111759,1623282.910000000149012,1635334.479999999981374,11926983.570000000298023
FS( 96 ),1798515.820000000065193,1617469.479999999981374,1618274.159999999916181,1796418.510000000009313,1804444.960000000195578,1615211.950000000186265,1681281.920000000158325,11931619.799999998882413
FS( 97 ),1776984.640000000130385,1604513.479999999981374,1593521.659999999916181,1774052.620000000111759,1774470.960000000195578,1595034.550000000046566,1661440.979999999981374,11780021.890000002458692
FS( 98 ),1743382.949999999953434,1610991.479999999981374,1603422.659999999916181,1779763.060000000055879,1820031.440000000176951,1625300.649999999906868,1646821.340000000083819,11829716.580000000074506
FS( 99 ),1771438.729999999981374,1623688.359999999869615,1612531.580000000074506,1793563.289999999804422,1829623.120000000111759,1636398.219999999972060,1679715.530000000260770,11946961.830000001937151
FS( 100 ),1797537.130000000121072,1631721.079999999841675,1623026.639999999897555,1796418.510000000009313,1847607.520000000251457,1641442.570000000065193,1687547.479999999981374,12025303.929999999701977
FS( 101 ),1792969.910000000149012,1641826.760000000009313,1627581.099999999860302,1772625.010000000009313,1853602.320000000298023,1650522.399999999906868,1650998.380000000121072,11990128.880000000819564
FS( 102 ),1809933.869999999878928,1643381.479999999981374,1634709.819999999832362,1760252.390000000130385,1858398.160000000149012,1645478.050000000046566,1654131.160000000149012,12006287.930000001564622
FS( 103 ),1798842.050000000046566,1648304.760000000009313,1652531.620000000111759,1774528.489999999990687,1868589.320000000298023,1652540.139999999897555,1638989.390000000130385,12034328.770000001415610
FS( 104 ),1801125.660000000149012,1647786.520000000018626,1665996.979999999981374,1765486.959999999962747,1881777.880000000121072,1669690.930000000167638,1610794.370000000111759,12042662.300000000745058
FS( 105 ),1792969.910000000149012,1629648.119999999878928,1661442.520000000018626,1763583.480000000214204,1856000.240000000223517,1668682.060000000055879,1619148.450000000186265,11991477.780000001192093
FS( 106 ),1765892.820000000065193,1617987.719999999972060,1637086.060000000055879,1738838.239999999990687,1827225.200000000186265,1666664.320000000065193,1591475.560000000055879,11845172.919999999925494
FS( 107 ),1832769.969999999972060,1626797.800000000046566,1644016.760000000009313,1761204.129999999888241,1855400.760000000009313,1648504.660000000149012,1646299.210000000195578,12014996.290000000968575
FS( 108 ),1892796.290000000270084,1614360.039999999804422,1633719.719999999972060,1768342.179999999934807,1856000.240000000223517,1654557.879999999888241,1643688.560000000055879,12063467.909999998286366
FS( 109 ),1950212.770000000018626,1592334.840000000083819,1656888.060000000055879,1792135.679999999934807,1844610.120000000111759,1644469.180000000167638,1659874.590000000083819,12140528.239999998360872
FS( 110 ),2029160.430000000167638,1603995.239999999990687,1658076.179999999934807,1794990.899999999906868,1825426.760000000009313,1660611.100000000093132,1723574.449999999953434,12295838.059999998658895
FS( 111 ),2009586.630000000121072,1602440.520000000018626,1669759.359999999869615,1794039.160000000149012,1838015.840000000083819,1657584.489999999990687,1707388.420000000158325,12278817.419999999925494
FS( 112 ),1985771.840000000083819,1614878.280000000027940,1663026.679999999934807,1801177.209999999962747,1814636.120000000111759,1637407.090000000083819,1718875.280000000260770,12235775.500000000000000
FS( 113 ),1971417.719999999972060,1623688.359999999869615,1664412.819999999832362,1786901.109999999869615,1802646.520000000251457,1634380.479999999981374,1673449.969999999972060,12156899.980000000447035
FS( 114 ),1995232.510000000009313,1621874.520000000018626,1659066.280000000027940,1852571.169999999925494,1819431.960000000195578,1649513.530000000260770,1699034.340000000083819,12296727.310000002384186
FS( 115 ),2008281.710000000195578,1623429.239999999990687,1653521.719999999972060,1903013.390000000130385,1856000.240000000223517,1639424.830000000074506,1739760.479999999981374,12423434.610000001266599
FS( 116 ),1984140.690000000176951,1613841.800000000046566,1650947.459999999962747,1878268.149999999906868,1850005.440000000176951,1624291.780000000260770,1762212.070000000065193,12363710.390000000596046
FS( 117 ),1978594.780000000027940,1644936.199999999953434,1685600.959999999962747,1932993.199999999953434,1864392.960000000195578,1632362.739999999990687,1834266.010000000242144,12573149.849999999627471
FS( 118 ),1963914.430000000167638,1632757.559999999823049,1677680.159999999916181,1952503.870000000111759,1833819.480000000214204,1619247.430000000167638,1803982.469999999972060,12483908.400000000372529
FS( 119 ),1931291.430000000167638,1637680.840000000083819,1637680.120000000111759,1907296.219999999972060,1799049.640000000130385,1605123.250000000000000,1728273.620000000111759,12246398.120000001043081
FS( 120 ),1884640.540000000270084,1642604.119999999878928,1613521.679999999934807,1849715.949999999953434,1736104.240000000223517,1588981.330000000074506,1731406.399999999906868,12046977.260000001639128
FS( 121 ),1884966.770000000018626,1634830.520000000018626,1620452.379999999888241,1844481.379999999888241,1757685.520000000251457,1606132.120000000111759,1723052.320000000065193,12071604.010000001639128
FS( 122 ),1882683.160000000149012,1653487.159999999916181,1616491.979999999981374,1835915.719999999972060,1768476.160000000149012,1608149.860000000102445,1693813.040000000037253,12059020.079999998211861
FS( 123 ),2020352.219999999972060,1651414.199999999953434,1629759.319999999832362,1838770.939999999944121,1778667.320000000298023,1614203.080000000074506,1735583.440000000176951,12268753.519999999552965
FS( 124 ),2040904.710000000195578,1628093.399999999906868,1599066.219999999972060,1806887.649999999906868,1748093.840000000083819,1602096.640000000130385,1745503.910000000149012,12170649.370000001043081
FS( 125 ),1976963.630000000121072,1617728.599999999860302,1593917.699999999953434,1816880.919999999925494,1689344.800000000046566,1608149.860000000102445,1723052.320000000065193,12026040.830000000074506
