代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11700371.629999998956919
真實報酬,1700371.629999998956919

夏普值報酬,0.161337163000000
夏普值風險,0.052199059040566
夏普值,3.090805964042704

二次趨勢線,40.221547029492761 x^2 + 10006.082711679471686 x + 10000000.000000000000000
二次加權預期報酬,16790.116977320587466
風險,99576.187825328743202
二次加權趨勢值,0.168615783994191
一次趨勢線,13822.042369185070129 x + 10000000.000000000000000
一次預期報酬,13822.042369185070129
一次風險,122937.457509067156934
一次趨勢值,0.112431496870396
找到最佳解世代,2285
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),PFE[20](2),VZ[26](11),XOM[29](5),
FS( 10 ),2438919.849999999627471,2432880.970000000204891,2467986.850000000093132,2655325.059999999590218,9995112.730000000447035
FS( 11 ),2450896.349999999627471,2470169.319999999832362,2474389.480000000447035,2661551.169999999925494,10057006.320000000298023
FS( 12 ),2455207.889999999664724,2455253.979999999981374,2478329.560000000055879,2687110.989999999757856,10075902.419999999925494
FS( 13 ),2496886.109999999403954,2448624.939999999944121,2508865.180000000167638,2701857.040000000037253,10156233.269999999552965
FS( 14 ),2494969.869999999646097,2443653.159999999683350,2504925.100000000093132,2703495.489999999757856,10147043.619999999180436
FS( 15 ),2509102.139999999664724,2490056.439999999944121,2515267.810000000055879,2699890.899999999906868,10214317.290000000968575
FS( 16 ),2493053.629999999422580,2482598.770000000018626,2493597.370000000577420,2661878.859999999869615,10131128.629999998956919
FS( 17 ),2514132.269999999552965,2487570.549999999813735,2502955.060000000055879,2671381.869999999646097,10176039.749999998137355
FS( 18 ),2548145.529999999329448,2534802.459999999962747,2517237.850000000093132,2687438.679999999701977,10287624.519999999552965
FS( 19 ),2533773.729999999515712,2504971.780000000260770,2512805.260000000242144,2678918.739999999757856,10230469.509999999776483
FS( 20 ),2520120.519999999552965,2458568.500000000000000,2498522.470000000204891,2626488.339999999850988,10103699.830000000074506
FS( 21 ),2568266.049999999813735,2489227.810000000055879,2534475.700000000186265,2663517.309999999590218,10255486.869999999180436
FS( 22 ),2563954.509999999776483,2484256.030000000260770,2566981.359999999869615,2710049.290000000037253,10325241.190000001341105
FS( 23 ),2554612.839999999850988,2476798.359999999869615,2555653.630000000353903,2700218.589999999850988,10287283.419999999925494
FS( 24 ),2551019.889999999664724,2461883.020000000018626,2551713.550000000279397,2696614.000000000000000,10261230.460000000894070
FS( 25 ),2556768.609999999403954,2468512.060000000055879,2571413.950000000186265,2767722.729999999515712,10364417.349999999627471
FS( 26 ),2544313.049999999813735,2432880.970000000204891,2583726.700000000186265,2707755.459999999497086,10268676.179999999701977
FS( 27 ),2559163.909999999683350,2464368.909999999683350,2577816.580000000540167,2700218.589999999850988,10301567.990000000223517
FS( 28 ),2566349.809999999590218,2451939.459999999962747,2576831.560000000055879,2693009.410000000149012,10288130.240000000223517
FS( 29 ),2580003.019999999552965,2527344.790000000037253,2587174.270000000484288,2693337.099999999627471,10387859.179999999701977
FS( 30 ),2578805.369999999646097,2494199.590000000316650,2587666.780000000260770,2700546.279999999795109,10361218.019999999552965
FS( 31 ),2581200.669999999925494,2447796.310000000055879,2594069.410000000149012,2713981.569999999366701,10337047.960000000894070
FS( 32 ),2572817.119999999646097,2406364.810000000055879,2620664.950000000186265,2715620.020000000018626,10315466.900000000372529
FS( 33 ),2556768.609999999403954,2431223.709999999962747,2641350.370000000577420,2755925.889999999664724,10385268.579999998211861
FS( 34 ),2574972.889999999664724,2440338.640000000130385,2622142.480000000447035,2759202.790000000037253,10396656.800000000745058
FS( 35 ),2569703.229999999515712,2491713.700000000186265,2631992.680000000167638,2740196.770000000018626,10433606.379999998956919
FS( 36 ),2572098.529999999329448,2517401.229999999981374,2620664.950000000186265,2756581.270000000018626,10466745.980000000447035
FS( 37 ),2598925.889999999664724,2501657.260000000242144,2605889.649999999906868,2744456.739999999757856,10450929.540000000968575
FS( 38 ),2594374.819999999832362,2492542.330000000074506,2637902.800000000279397,2751993.609999999869615,10476813.560000000521541
FS( 39 ),2592458.579999999608845,2467683.430000000167638,2630022.640000000130385,2759858.169999999925494,10450022.820000000298023
FS( 40 ),2614255.809999999590218,2490056.439999999944121,2662035.790000000037253,2770016.559999999590218,10536364.599999999627471
FS( 41 ),2610423.329999999608845,2491713.700000000186265,2661543.280000000260770,2769688.869999999646097,10533369.179999999701977
FS( 42 ),2591739.989999999757856,2456082.609999999869615,2663513.320000000298023,2739213.699999999720603,10450549.619999999180436
FS( 43 ),2615453.459999999497086,2489227.810000000055879,2660065.750000000000000,2718569.229999999515712,10483316.250000000000000
FS( 44 ),2601081.659999999683350,2545574.649999999906868,2680258.660000000149012,2725123.029999999795109,10552038.000000000000000
FS( 45 ),2609704.739999999757856,2598606.970000000204891,2664005.830000000540167,2693992.479999999515712,10566310.019999999552965
FS( 46 ),2620962.649999999906868,2728701.879999999888241,2635932.760000000242144,2730038.379999999888241,10715635.669999998062849
FS( 47 ),2617369.699999999720603,2714615.169999999925494,2561071.240000000223517,2699235.520000000018626,10592291.629999998956919
FS( 48 ),2613297.689999999478459,2693070.790000000037253,2569936.420000000391155,2726761.479999999515712,10603066.379999998956919
FS( 49 ),2610183.799999999813735,2642524.359999999869615,2541863.350000000093132,2730366.069999999366701,10524937.579999998211861
FS( 50 ),2625274.189999999478459,2648324.770000000018626,2558608.690000000409782,2764118.139999999664724,10596325.789999999105930
FS( 51 ),2631741.500000000000000,2696385.310000000055879,2526103.030000000260770,2779847.259999999776483,10634077.100000001490116
FS( 52 ),2631022.909999999683350,2705500.239999999757856,2529550.600000000093132,2799508.660000000149012,10665582.410000000149012
FS( 53 ),2639166.929999999701977,2693070.790000000037253,2529058.090000000316650,2784434.919999999925494,10645730.730000000447035
FS( 54 ),2657131.679999999701977,2702185.720000000204891,2547773.470000000204891,2810977.809999999590218,10718068.679999999701977
FS( 55 ),2699049.429999999701977,2725387.359999999869615,2565011.320000000298023,2825068.479999999515712,10814516.589999999850988
FS( 56 ),2720607.129999999422580,2753560.779999999795109,2548758.490000000223517,2844402.189999999478459,10867328.589999999850988
FS( 57 ),2720367.599999999627471,2754389.410000000149012,2464046.770000000484288,2844074.500000000000000,10782878.280000001192093
FS( 58 ),2714379.349999999627471,2756875.300000000279397,2489657.290000000037253,2868323.559999999590218,10829235.500000000000000
FS( 59 ),2718930.419999999925494,2751903.520000000018626,2500000.000000000000000,2861769.759999999776483,10832603.699999999254942
FS( 60 ),2704558.619999999646097,2738645.439999999944121,2484239.680000000167638,2871600.459999999497086,10799044.199999999254942
FS( 61 ),2701205.199999999720603,2734502.290000000037253,2545803.430000000167638,2898798.729999999515712,10880309.649999998509884
FS( 62 ),2694258.829999999608845,2727044.619999999646097,2512805.260000000242144,2884708.059999999590218,10818816.769999999552965
FS( 63 ),2684677.629999999422580,2710472.020000000018626,2508865.180000000167638,2896832.589999999850988,10800847.419999999925494
FS( 64 ),2700726.139999999664724,2717929.689999999944121,2527580.560000000055879,2920753.959999999497086,10866990.349999999627471
FS( 65 ),2699288.959999999497086,2792506.390000000130385,2496059.920000000391155,2887329.579999999608845,10875184.849999999627471
FS( 66 ),2688031.049999999813735,2767647.489999999757856,2503940.080000000540167,2881758.849999999627471,10841377.469999998807907
FS( 67 ),2703840.029999999329448,2781734.200000000186265,2503940.080000000540167,2885035.750000000000000,10874550.060000000521541
FS( 68 ),2700486.609999999403954,2782562.830000000074506,2517730.359999999869615,2900437.179999999701977,10901216.979999998584390
FS( 69 ),2723960.549999999813735,2802449.950000000186265,2515760.320000000298023,2902403.319999999366701,10944574.140000000596046
FS( 70 ),2746715.899999999906868,2800792.689999999944121,2538415.780000000260770,2948935.299999999813735,11034859.669999999925494
FS( 71 ),2739530.000000000000000,2747760.369999999646097,2519207.890000000130385,2910267.879999999888241,10916766.140000000596046
FS( 72 ),2736176.579999999608845,2750246.259999999776483,2534968.209999999962747,2938449.219999999739230,10959840.269999999552965
FS( 73 ),2720128.069999999832362,2750246.259999999776483,2508865.180000000167638,2905352.529999999795109,10884592.039999999105930
FS( 74 ),2741206.709999999497086,2765990.230000000447035,2523147.970000000204891,2935172.319999999366701,10965517.230000000447035
FS( 75 ),2726595.379999999422580,2736988.180000000167638,2506895.140000000130385,2933861.559999999590218,10904340.259999997913837
FS( 76 ),2720846.659999999683350,2748589.000000000000000,2481777.130000000353903,2927963.139999999664724,10879175.929999999701977
FS( 77 ),2703121.439999999478459,2765990.230000000447035,2444346.370000000577420,2952867.579999999608845,10866325.620000001043081
FS( 78 ),2698091.309999999590218,2795820.910000000149012,2445823.899999999906868,2940743.049999999813735,10880479.169999998062849
FS( 79 ),2686593.869999999646097,2790020.500000000000000,2420213.380000000353903,2936155.389999999664724,10832983.140000000596046
FS( 80 ),2699288.959999999497086,2825651.590000000316650,2441883.820000000298023,2938449.219999999739230,10905273.589999999850988
FS( 81 ),2715097.939999999478459,2846367.340000000316650,2455181.590000000316650,2957782.929999999701977,10974429.799999998882413
FS( 82 ),2704319.089999999850988,2852996.379999999888241,2470449.399999999906868,2942709.189999999478459,10970474.059999998658895
FS( 83 ),2708151.569999999832362,2867911.720000000204891,2493104.859999999869615,2949590.679999999701977,11018758.830000000074506
FS( 84 ),2699288.959999999497086,2875369.390000000130385,2506895.140000000130385,2917149.369999999646097,10998702.859999999403954
FS( 85 ),2701444.729999999515712,2879512.540000000037253,2483747.170000000391155,2924358.549999999813735,10989062.989999998360872
FS( 86 ),2742404.359999999403954,2889456.099999999627471,2500492.510000000242144,2901092.559999999590218,11033445.529999997466803
FS( 87 ),2748871.669999999925494,2874540.759999999776483,2507880.160000000149012,2895849.520000000018626,11027142.109999999403954
FS( 88 ),2773064.199999999720603,2894427.879999999888241,2497537.450000000186265,2927635.449999999720603,11092664.980000000447035
FS( 89 ),2772106.079999999608845,2886970.210000000428408,2548758.490000000223517,2972528.979999999515712,11180363.759999999776483
FS( 90 ),2773782.789999999571592,2920944.040000000037253,2537430.760000000242144,2975150.500000000000000,11207308.089999999850988
FS( 91 ),2802526.389999999664724,2925915.820000000298023,2558608.690000000409782,2971218.219999999739230,11258269.120000001043081
FS( 92 ),2802765.919999999925494,2924258.560000000055879,2594069.410000000149012,2948607.609999999869615,11269701.500000000000000
FS( 93 ),2797496.259999999776483,2878683.910000000149012,2589144.310000000055879,2968596.699999999720603,11233921.179999999701977
FS( 94 ),2805400.750000000000000,2899399.660000000149012,2609829.730000000447035,2963353.660000000149012,11277983.800000000745058
FS( 95 ),2788394.119999999646097,2882827.060000000055879,2602442.080000000540167,2954506.029999999795109,11228169.289999999105930
FS( 96 ),2793903.309999999590218,2879512.540000000037253,2632977.700000000186265,2989241.169999999925494,11295634.719999998807907
FS( 97 ),2766117.829999999608845,2835595.149999999906868,2648738.020000000484288,2972856.669999999925494,11223307.669999999925494
FS( 98 ),2791508.009999999776483,2858796.790000000037253,2647753.000000000000000,2985964.270000000018626,11284022.070000000298023
FS( 99 ),2782884.929999999701977,2879512.540000000037253,2664498.340000000316650,2999399.559999999590218,11326295.370000001043081
FS( 100 ),2789591.769999999552965,2856310.899999999906868,2661050.770000000484288,2987602.719999999739230,11294556.160000000149012
FS( 101 ),2811628.529999999329448,2866254.460000000428408,2692571.410000000149012,3008247.189999999478459,11378701.589999999850988
FS( 102 ),2769710.779999999329448,2814879.399999999906868,2680751.170000000391155,2929273.899999999906868,11194615.250000000000000
FS( 103 ),2791747.539999999571592,2800792.689999999944121,2696018.980000000447035,2911906.329999999608845,11200465.539999999105930
FS( 104 ),2831988.579999999608845,2853825.009999999776483,2699959.060000000055879,2979082.779999999795109,11364855.429999999701977
FS( 105 ),2858336.879999999422580,2901056.919999999925494,2711779.300000000279397,3029874.729999999515712,11501047.829999998211861
FS( 106 ),2905524.289999999571592,2917629.520000000018626,2750195.080000000540167,3071819.049999999813735,11645167.940000001341105
FS( 107 ),2905284.759999999776483,2947460.200000000186265,2769402.970000000204891,3075095.949999999720603,11697243.879999998956919
FS( 108 ),2928758.699999999720603,2967347.320000000298023,2784178.270000000484288,3048225.369999999646097,11728509.659999998286366
FS( 109 ),2937621.309999999590218,2971490.470000000204891,2770880.500000000000000,3083288.199999999720603,11763280.479999998584390
FS( 110 ),2934507.419999999925494,2964032.800000000279397,2727539.620000000577420,3046259.229999999515712,11672339.070000000298023
FS( 111 ),2942651.439999999478459,2993034.849999999627471,2753150.140000000130385,3065265.250000000000000,11754101.679999999701977
FS( 112 ),2944567.679999999701977,2995520.739999999757856,2754627.670000000391155,3076734.399999999906868,11771450.490000000223517
FS( 113 ),2944328.149999999906868,3002978.410000000149012,2731972.209999999962747,3111469.540000000037253,11790748.309999998658895
FS( 114 ),2946244.389999999664724,3008778.820000000298023,2758075.240000000223517,3109175.709999999497086,11822274.159999998286366
FS( 115 ),2950555.929999999701977,3059325.250000000000000,2750195.080000000540167,3111469.540000000037253,11871545.800000000745058
FS( 116 ),2946244.389999999664724,3046895.800000000279397,2750195.080000000540167,3117040.270000000018626,11860375.539999999105930
FS( 117 ),2949597.809999999590218,3036123.609999999869615,2754627.670000000391155,3107209.569999999366701,11847558.660000000149012
FS( 118 ),3000138.639999999664724,3036123.609999999869615,2743299.940000000409782,3095740.419999999925494,11875302.610000001266599
FS( 119 ),2997503.809999999590218,3039438.129999999888241,2739359.859999999869615,3078045.160000000149012,11854346.959999999031425
FS( 120 ),2997743.339999999850988,3041924.020000000018626,2727047.109999999869615,3075423.639999999664724,11842138.109999999403954
FS( 121 ),2994868.979999999515712,3044409.910000000149012,2763000.340000000316650,3080666.679999999701977,11882945.910000000149012
FS( 122 ),2991515.559999999590218,3047724.430000000167638,2751672.609999999869615,3021354.790000000037253,11812267.390000000596046
FS( 123 ),2997743.339999999850988,3051867.580000000074506,2699466.550000000279397,2999399.559999999590218,11748477.030000001192093
FS( 124 ),2988641.199999999720603,3053524.840000000316650,2724584.560000000055879,2979082.779999999795109,11745833.379999998956919
FS( 125 ),2981215.769999999552965,3038609.500000000000000,2701929.100000000093132,2955816.790000000037253,11677571.160000000149012
FS( 126 ),2999659.579999999608845,3056839.359999999869615,2729017.149999999906868,2914855.540000000037253,11700371.629999998956919
