代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12471716.020000001415610
真實報酬,2471716.020000001415610

夏普值報酬,0.238471602000000
夏普值風險,0.067381820032353
夏普值,3.539108944897905

二次趨勢線,67.672609906308708 x^2 + 11319.846037036004418 x + 10000000.000000000000000
二次加權預期報酬,22824.189721108494268
風險,114323.369410976301879
二次加權趨勢值,0.199645880266691
一次趨勢線,17790.939840782768442 x + 10000000.000000000000000
一次預期報酬,17790.939840782768442
一次風險,168093.050746091583278
一次趨勢值,0.105839829557597
找到最佳解世代,2114
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),DIS[6](3),INTC[11](1),PG[21](20),
FS( 16 ),2554382.399999999906868,2500943.859999999869615,2563264.800000000279397,2558724.119999999646097,10177315.179999999701977
FS( 17 ),2581905.200000000186265,2502831.580000000074506,2597958.399999999906868,2575179.779999999795109,10257874.959999999031425
FS( 18 ),2557035.200000000186265,2473571.919999999925494,2589795.199999999720603,2565177.319999999832362,10185579.640000000596046
FS( 19 ),2546092.399999999906868,2469167.240000000223517,2582652.399999999906868,2570017.220000000204891,10167929.260000001639128
FS( 20 ),2543108.000000000000000,2485212.859999999869615,2614284.800000000279397,2573566.479999999981374,10216172.140000000596046
FS( 21 ),2542776.400000000372529,2519191.819999999832362,2633672.399999999906868,2600669.919999999459833,10296310.540000000968575
FS( 22 ),2565988.399999999906868,2566384.819999999832362,2652039.599999999627471,2592280.759999999776483,10376693.579999998211861
FS( 23 ),2570299.200000000186265,2569531.020000000018626,2641835.600000000093132,2585504.899999999906868,10367170.720000000670552
FS( 24 ),2552392.800000000279397,2570160.259999999776483,2694896.399999999906868,2584536.919999999459833,10401986.380000000819564
FS( 25 ),2519232.800000000279397,2530518.140000000130385,2669386.399999999906868,2573889.139999999664724,10293026.480000000447035
FS( 26 ),2479772.399999999906868,2489617.540000000037253,2703059.599999999627471,2597120.659999999683350,10269570.199999999254942
FS( 27 ),2479772.399999999906868,2503460.819999999832362,2745916.399999999906868,2624869.419999999459833,10354019.039999999105930
FS( 28 ),2512269.200000000186265,2531776.620000000111759,2753059.200000000186265,2629386.659999999683350,10426491.679999999701977
FS( 29 ),2479772.399999999906868,2438649.100000000093132,2696937.200000000186265,2616480.259999999776483,10231838.960000000894070
FS( 30 ),2461534.400000000372529,2422918.100000000093132,2671427.200000000186265,2605832.479999999981374,10161712.179999999701977
FS( 31 ),2471482.399999999906868,2442109.919999999925494,2710202.399999999906868,2607445.779999999795109,10231240.500000000000000
FS( 32 ),2453576.000000000000000,2443368.399999999906868,2731630.799999999813735,2608413.759999999776483,10236988.960000000894070
FS( 33 ),2458550.000000000000000,2483954.379999999888241,2747957.200000000186265,2634549.220000000204891,10325010.800000000745058
FS( 34 ),2486736.000000000000000,2516674.859999999869615,2759181.600000000093132,2638098.479999999981374,10400690.939999999478459
FS( 35 ),2516248.399999999906868,2488988.299999999813735,2749998.000000000000000,2631645.279999999795109,10386879.979999998584390
FS( 36 ),2518901.199999999720603,2499685.379999999888241,2738773.600000000093132,2621642.819999999832362,10379003.000000000000000
FS( 37 ),2485741.199999999720603,2501887.719999999739230,2729590.000000000000000,2592926.079999999608845,10310145.000000000000000
FS( 38 ),2689675.200000000186265,2504090.060000000055879,2729590.000000000000000,2618416.220000000204891,10541771.480000000447035
FS( 39 ),2709571.199999999720603,2461301.740000000223517,2679590.400000000372529,2626805.379999999888241,10477268.719999998807907
FS( 40 ),2814356.800000000279397,2447143.839999999850988,2686733.199999999720603,2676172.359999999869615,10624406.199999999254942
FS( 41 ),2806066.800000000279397,2474201.160000000149012,2702039.200000000186265,2660039.359999999869615,10642346.520000001415610
FS( 42 ),2795455.600000000093132,2496224.560000000055879,2723467.600000000093132,2663588.619999999646097,10678736.379999998956919
FS( 43 ),2802087.600000000093132,2503146.200000000186265,2698978.000000000000000,2656812.759999999776483,10661024.560000000521541
FS( 44 ),2807061.600000000093132,2526742.700000000186265,2694896.399999999906868,2643261.040000000037253,10671961.740000002086163
FS( 45 ),2846853.600000000093132,2555373.120000000111759,2670406.800000000279397,2636162.520000000018626,10708796.040000000968575
FS( 46 ),2816014.800000000279397,2549395.339999999850988,2673468.000000000000000,2617770.899999999906868,10656649.040000000968575
FS( 47 ),2806066.800000000279397,2526113.459999999962747,2690814.800000000279397,2648746.259999999776483,10671741.320000000298023
FS( 48 ),2785507.600000000093132,2567328.679999999701977,2687753.600000000093132,2651004.879999999888241,10691594.759999997913837
FS( 49 ),2773901.600000000093132,2578340.379999999888241,2683672.000000000000000,2658426.060000000055879,10694340.040000000968575
FS( 50 ),2808388.000000000000000,2593127.520000000018626,2690814.800000000279397,2637130.500000000000000,10729460.820000000298023
FS( 51 ),2812698.799999999813735,2582430.439999999944121,2698978.000000000000000,2633258.579999999608845,10727365.820000000298023
FS( 52 ),2813362.000000000000000,2545934.520000000018626,2686733.199999999720603,2619061.540000000037253,10665091.259999997913837
FS( 53 ),2789486.800000000279397,2521708.780000000260770,2654080.400000000372529,2598411.299999999813735,10563687.280000001192093
FS( 54 ),2830605.200000000186265,2529259.660000000149012,2634692.799999999813735,2591958.099999999627471,10586515.759999999776483
FS( 55 ),2864096.800000000279397,2550024.580000000074506,2657141.600000000093132,2579051.700000000186265,10650314.679999999701977
FS( 56 ),2864760.000000000000000,2551283.060000000055879,2657141.600000000093132,2588731.500000000000000,10661916.160000000149012
FS( 57 ),2872386.800000000279397,2585891.259999999776483,2673468.000000000000000,2597120.659999999683350,10728866.720000000670552
FS( 58 ),2876697.600000000093132,2590925.179999999701977,2668366.000000000000000,2602283.220000000204891,10738272.000000000000000
FS( 59 ),2909194.400000000372529,2621443.319999999832362,2682651.600000000093132,2598088.639999999664724,10811377.960000000894070
FS( 60 ),2963908.399999999906868,2634657.359999999869615,2725508.399999999906868,2583891.599999999627471,10907965.759999999776483
FS( 61 ),2955950.000000000000000,2630252.679999999701977,2742855.199999999720603,2584536.919999999459833,10913594.799999998882413
FS( 62 ),3010000.799999999813735,2643781.339999999850988,2751018.399999999906868,2594216.720000000204891,10999017.259999999776483
FS( 63 ),2998726.400000000372529,2643152.100000000093132,2787752.799999999813735,2606800.459999999962747,11036431.760000001639128
FS( 64 ),2978167.200000000186265,2651332.219999999739230,2781630.400000000372529,2592926.079999999608845,11004055.900000000372529
FS( 65 ),3020280.399999999906868,2639062.040000000037253,2822446.399999999906868,2579051.700000000186265,11060840.539999999105930
FS( 66 ),3054766.800000000279397,2650388.359999999869615,2816324.000000000000000,2576793.079999999608845,11098272.240000000223517
FS( 67 ),3066704.400000000372529,2667377.839999999850988,2822446.399999999906868,2584859.579999999608845,11141388.220000000670552
FS( 68 ),3058082.800000000279397,2662029.299999999813735,2874486.800000000279397,2582278.299999999813735,11176877.199999999254942
FS( 69 ),3107159.600000000093132,2689401.240000000223517,2847956.399999999906868,2584214.259999999776483,11228731.500000000000000
FS( 70 ),3125397.600000000093132,2666433.979999999981374,2881629.599999999627471,2586150.220000000204891,11259611.400000000372529
FS( 71 ),3112465.200000000186265,2652590.700000000186265,2849997.200000000186265,2583246.279999999795109,11198299.380000000819564
FS( 72 ),3060404.000000000465661,2605083.080000000074506,2853058.399999999906868,2573566.479999999981374,11092111.960000000894070
FS( 73 ),3026912.399999999906868,2605083.080000000074506,3047954.800000000279397,2569694.560000000055879,11249644.840000001713634
FS( 74 ),3057419.600000000093132,2620814.080000000074506,3062240.400000000372529,2571307.859999999869615,11311781.939999999478459
FS( 75 ),3053440.399999999906868,2616409.399999999906868,3056118.000000000000000,2567758.599999999627471,11293726.400000000372529
FS( 76 ),3056756.400000000372529,2629623.439999999944121,3054077.200000000186265,2574534.459999999962747,11314991.500000000000000
FS( 77 ),3046145.200000000186265,2635601.219999999739230,3070403.600000000093132,2589054.159999999683350,11341204.179999999701977
FS( 78 ),3014643.200000000186265,2605712.319999999832362,3081628.000000000000000,2579051.700000000186265,11281035.219999998807907
FS( 79 ),3011990.399999999906868,2603824.600000000093132,3084689.200000000186265,2565822.639999999664724,11266326.839999999850988
FS( 80 ),2993752.399999999906868,2601307.640000000130385,3112240.000000000000000,2549366.979999999981374,11256667.019999999552965
FS( 81 ),2996405.200000000186265,2639691.280000000260770,3151015.199999999720603,2559369.439999999478459,11346481.119999999180436
FS( 82 ),3014311.600000000093132,2656995.379999999888241,3140811.200000000186265,2536783.239999999757856,11348901.419999999925494
FS( 83 ),3050124.400000000372529,2683738.080000000074506,3156117.200000000186265,2549689.639999999664724,11439669.320000000298023
FS( 84 ),3081626.400000000372529,2697581.359999999869615,3153056.000000000000000,2535815.259999999776483,11468079.019999999552965
FS( 85 ),3101190.799999999813735,2720548.620000000111759,3161219.200000000186265,2558078.799999999813735,11541037.420000001788139
FS( 86 ),3099864.400000000372529,2719604.759999999776483,3161219.200000000186265,2567113.279999999795109,11547801.639999998733401
FS( 87 ),3118102.399999999906868,2732189.560000000055879,3177545.600000000093132,2580665.000000000000000,11608502.560000000521541
FS( 88 ),3182432.800000000279397,2724324.060000000055879,3166321.200000000186265,2587440.859999999869615,11660518.919999999925494
FS( 89 ),3161873.600000000093132,2701356.799999999813735,3141831.600000000093132,2599379.279999999795109,11604441.279999999329448
FS( 90 ),3163200.000000000000000,2744145.120000000111759,3152035.600000000093132,2635194.540000000037253,11694575.260000001639128
FS( 91 ),3151594.000000000465661,2732818.799999999813735,3189790.400000000372529,2633258.579999999608845,11707461.780000001192093
FS( 92 ),3157562.800000000279397,2733762.660000000149012,3188770.000000000000000,2618738.879999999888241,11698834.339999999850988
FS( 93 ),3198349.600000000093132,2729672.600000000093132,3213259.599999999627471,2623901.439999999478459,11765183.240000000223517
FS( 94 ),3160878.799999999813735,2710480.780000000260770,3235708.399999999906868,2621965.479999999981374,11729033.460000000894070
FS( 95 ),3142972.399999999906868,2685311.179999999701977,3535706.000000000000000,2611640.359999999869615,11975629.939999999478459
FS( 96 ),3086932.000000000000000,2675243.339999999850988,3438768.000000000465661,2594216.720000000204891,11795160.060000000521541
FS( 97 ),3131366.400000000372529,2699783.700000000186265,3438768.000000000465661,2599056.619999999646097,11868974.720000000670552
FS( 98 ),3115118.000000000000000,2697581.359999999869615,3475502.400000000372529,2590344.799999999813735,11878546.559999998658895
FS( 99 ),3140982.800000000279397,2712368.500000000000000,3549991.600000000093132,2584536.919999999459833,11987879.820000000298023
FS( 100 ),3222888.000000000000000,2707019.959999999962747,3520400.000000000000000,2580987.659999999683350,12031295.620000001043081
FS( 101 ),3217582.399999999906868,2730931.080000000074506,3494890.000000000000000,2589699.479999999981374,12033102.960000000894070
FS( 102 ),3238804.800000000279397,2712997.740000000223517,3494890.000000000000000,2567113.279999999795109,12013805.820000000298023
FS( 103 ),3283570.799999999813735,2741942.780000000260770,3492849.199999999720603,2557433.479999999981374,12075796.259999999776483
FS( 104 ),3262348.399999999906868,2712053.879999999888241,3488767.599999999627471,2537751.220000000204891,12000921.099999999627471
FS( 105 ),3254721.600000000093132,2743830.500000000000000,3505094.000000000000000,2521940.879999999888241,12025586.980000000447035
FS( 106 ),3170163.600000000093132,2701986.040000000037253,3458155.600000000093132,2494837.439999999478459,11825142.679999999701977
FS( 107 ),3187738.399999999906868,2686255.040000000037253,3442849.600000000093132,2570017.220000000204891,11886860.259999999776483
FS( 108 ),3169832.000000000000000,2744774.359999999869615,3474481.999999999534339,2556142.839999999850988,11945231.199999999254942
FS( 109 ),3154246.800000000279397,2729357.979999999981374,3348972.799999999813735,2562273.379999999888241,11794850.960000000894070
FS( 110 ),3148941.199999999720603,2724324.060000000055879,3352034.000000000000000,2616480.259999999776483,11841779.519999999552965
FS( 111 ),3133024.400000000372529,2690345.100000000093132,3334687.200000000186265,2585827.560000000055879,11743884.259999999776483
FS( 112 ),3141646.000000000000000,2732504.179999999701977,3326524.000000000000000,2611963.020000000018626,11812637.199999999254942
FS( 113 ),3183096.000000000000000,2752954.479999999981374,3369380.800000000279397,2629064.000000000000000,11934495.280000001192093
FS( 114 ),3182432.800000000279397,2743830.500000000000000,3380605.200000000186265,2627128.040000000037253,11933996.539999999105930
FS( 115 ),3224546.000000000000000,2756100.679999999701977,3479584.000000000000000,2629064.000000000000000,12089294.679999999701977
FS( 116 ),3233167.600000000093132,2787877.299999999813735,3463257.599999999627471,2644229.020000000018626,12128531.519999999552965
FS( 117 ),3249084.400000000372529,2808956.839999999850988,3486726.800000000279397,2638743.799999999813735,12183511.839999999850988
FS( 118 ),3288213.200000000186265,2830665.620000000111759,3511216.399999999441206,2660039.359999999869615,12290134.579999998211861
FS( 119 ),3333642.399999999906868,2834441.060000000055879,3504073.600000000558794,2668105.859999999869615,12340262.919999999925494
FS( 120 ),3334968.799999999813735,2826575.560000000055879,3520400.000000000000000,2671977.779999999795109,12353922.139999998733401
FS( 121 ),3335300.399999999906868,2843565.040000000037253,3586726.000000000000000,2687142.799999999813735,12452734.239999998360872
FS( 122 ),3359838.799999999813735,2847025.859999999869615,3565297.599999999627471,2690692.060000000055879,12462854.320000000298023
FS( 123 ),3367134.000000000465661,2843565.040000000037253,3552032.400000000372529,2695531.959999999962747,12458263.400000002235174
FS( 124 ),3345580.000000000000000,2832238.719999999739230,3551011.999999999534339,2690369.399999999906868,12419200.119999999180436
FS( 125 ),3386698.399999999906868,2843250.419999999925494,3549991.600000000093132,2688110.779999999795109,12468051.199999999254942
FS( 126 ),3390677.600000000093132,2838845.740000000223517,3535706.000000000000000,2679076.299999999813735,12444305.640000000596046
FS( 127 ),3398967.600000000093132,2827834.040000000037253,3563256.800000000279397,2681657.579999999608845,12471716.020000001415610
