代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11444520.229999998584390
真實報酬,1444520.229999998584390

夏普值報酬,0.135752023000000
夏普值風險,0.053055704980267
夏普值,2.558669667107247

二次趨勢線,93.118906498632001 x^2 + 2060.282346940541174 x + 10000000.000000000000000
二次加權預期報酬,17890.496451707982487
風險,117471.634954328430467
二次加權趨勢值,0.152296309306188
一次趨勢線,10964.640841303838897 x + 10000000.000000000000000
一次預期報酬,10964.640841303838897
一次風險,206281.836412222008221
一次趨勢值,0.053153690271560
找到最佳解世代,1796
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](2),PFE[20](3),PG[21](6),TRV[22](1),WMT[28](11),
FS( 25 ),1870031.600000000093132,1896400.719999999972060,1924493.600000000093132,1882355.800000000046566,2217706.939999999944121,9790988.660000000149012
FS( 26 ),1934251.280000000027940,1923617.479999999981374,1944314.029999999795109,1908361.360000000102445,2232265.880000000353903,9942810.029999999329448
FS( 27 ),1958715.919999999925494,1926251.360000000102445,1974516.589999999850988,1916720.290000000037253,2230234.399999999906868,10006438.560000000521541
FS( 28 ),2001146.780000000027940,1943810.559999999823049,1974201.979999999981374,1923840.860000000102445,2309800.699999999720603,10152800.880000000819564
FS( 29 ),1962920.780000000027940,1940298.719999999972060,1967595.169999999925494,1905884.640000000130385,2286438.680000000167638,10063137.990000000223517
FS( 30 ),1996941.919999999925494,1948200.360000000102445,1974516.589999999850988,1917649.060000000055879,2292871.699999999720603,10130179.629999998956919
FS( 31 ),1948394.899999999906868,1948200.360000000102445,1968539.000000000000000,1908670.949999999953434,2270863.999999999534339,10044669.209999999031425
FS( 32 ),1993883.839999999850988,1980684.879999999655411,1987730.209999999962747,1954180.679999999934807,2289824.479999999981374,10206304.089999999850988
FS( 33 ),1982798.299999999813735,1985074.679999999934807,1978291.910000000149012,1963158.790000000037253,2293887.439999999944121,10203211.119999999180436
FS( 34 ),2000000.000000000000000,1985952.639999999897555,1959729.919999999925494,1952632.730000000214204,2306414.899999999906868,10204730.189999999478459
FS( 35 ),2024846.899999999906868,1993854.280000000027940,1957213.040000000037253,1964397.150000000139698,2295918.919999999925494,10236230.289999999105930
FS( 36 ),2019495.259999999776483,1990342.439999999944121,1899954.020000000018626,1976780.750000000232831,2319958.099999999627471,10206530.570000000298023
FS( 37 ),1959480.439999999944121,1984196.719999999972060,1879818.979999999981374,1937462.820000000065193,2292194.540000000037253,10053153.500000000000000
FS( 38 ),1988532.199999999953434,1995610.199999999953434,1882335.859999999869615,1961301.250000000232831,2278651.339999999850988,10106430.849999999627471
FS( 39 ),1969419.199999999953434,1972783.239999999757856,1865976.140000000130385,1924150.449999999953434,2308446.380000000353903,10040775.410000000149012
FS( 40 ),1983180.560000000055879,1970149.360000000102445,1864717.700000000186265,1924150.449999999953434,2321989.580000000074506,10064187.650000000372529
FS( 41 ),1970565.979999999748543,1985074.679999999934807,1887055.009999999776483,1945202.570000000065193,2322328.160000000149012,10110226.400000000372529
FS( 42 ),1975917.619999999878928,1978051.000000000000000,1896807.919999999925494,1945821.750000000232831,2312509.339999999850988,10109107.629999998956919
FS( 43 ),2025611.419999999925494,2019315.119999999878928,1927010.479999999981374,1976471.160000000149012,2360587.699999999720603,10308995.879999998956919
FS( 44 ),2026375.939999999944121,2019315.119999999878928,1925122.819999999832362,1978947.880000000121072,2348060.239999999757856,10297821.999999998137355
FS( 45 ),1974388.579999999841675,2007901.639999999897555,1930471.189999999944121,1985449.270000000018626,2395461.439999999944121,10293672.119999999180436
FS( 46 ),1991972.539999999804422,1990342.439999999944121,1930156.580000000074506,1980186.240000000223517,2406634.580000000074506,10299292.379999998956919
FS( 47 ),1993501.579999999841675,1978928.959999999729916,1927954.310000000055879,1958514.939999999944121,2416114.819999999832362,10275014.609999999403954
FS( 48 ),1992354.799999999813735,1988586.519999999785796,1936448.779999999795109,1952632.730000000214204,2429658.020000000018626,10299680.849999999627471
FS( 49 ),1996177.399999999906868,1970149.360000000102445,1942111.759999999776483,1956966.990000000223517,2441508.319999999832362,10306913.830000000074506
FS( 50 ),1975153.100000000093132,1961369.759999999776483,1931729.629999999888241,1935914.870000000111759,2446587.020000000018626,10250754.380000000819564
FS( 51 ),1970565.979999999748543,1990342.439999999944121,2004089.930000000167638,1926936.760000000242144,2448279.919999999925494,10340215.029999999329448
FS( 52 ),1991208.020000000018626,2002633.879999999655411,2047820.720000000204891,1954490.270000000251457,2477736.380000000353903,10473889.269999999552965
FS( 53 ),1966743.380000000121072,2030728.599999999860302,2039011.640000000130385,1936534.050000000046566,2470964.780000000260770,10443982.449999999254942
FS( 54 ),1938838.399999999906868,2073748.639999999897555,2056000.579999999841675,1960062.890000000130385,2475027.739999999757856,10503678.250000000000000
FS( 55 ),1946101.339999999850988,2078138.439999999944121,2039326.249999999767169,1981424.600000000093132,2466563.239999999757856,10511553.869999999180436
FS( 56 ),1948012.639999999897555,2089551.919999999925494,2042472.350000000093132,1971827.310000000055879,2421870.680000000167638,10473734.900000000372529
FS( 57 ),1938073.880000000121072,2080772.319999999832362,2036494.760000000009313,1941487.490000000223517,2446248.439999999944121,10443076.890000000596046
FS( 58 ),1948012.639999999897555,2071992.719999999972060,2025798.020000000018626,1911457.260000000242144,2432705.239999999757856,10389965.880000000819564
FS( 59 ),1956040.100000000093132,2052677.599999999860302,2014157.449999999953434,1885142.110000000102445,2442524.060000000055879,10350541.320000000298023
FS( 60 ),1952217.500000000000000,2048287.799999999813735,2014157.449999999953434,1887928.419999999925494,2440492.580000000074506,10343083.750000000000000
FS( 61 ),2022553.339999999850988,2062335.159999999683350,2031146.390000000130385,1907432.590000000083819,2494326.799999999813735,10517794.279999999329448
FS( 62 ),2053134.139999999897555,2092185.799999999813735,2047820.720000000204891,1941797.080000000074506,2523106.099999999627471,10658043.839999999850988
FS( 63 ),2035550.179999999934807,2081650.280000000027940,2048135.329999999841675,1956966.990000000223517,2538680.780000000260770,10660983.560000000521541
FS( 64 ),1994648.359999999869615,2110622.959999999962747,2030517.170000000158325,1939629.949999999953434,2520058.880000000353903,10595477.320000000298023
FS( 65 ),1975535.359999999869615,2101843.360000000335276,2013842.840000000083819,1961301.250000000232831,2492633.899999999906868,10545156.710000000894070
FS( 66 ),1964449.820000000065193,2100087.440000000409782,1998112.339999999850988,1946440.929999999934807,2507192.839999999850988,10516283.370000001043081
FS( 67 ),1998853.219999999972060,2131694.000000000000000,2060719.729999999981374,1972446.490000000223517,2524121.839999999850988,10687835.279999999329448
FS( 68 ),1987767.679999999934807,2129938.080000000074506,2070472.640000000130385,1966564.280000000260770,2514980.180000000167638,10669722.860000001266599
FS( 69 ),2003058.079999999841675,2084284.159999999683350,2083371.649999999906868,1961920.429999999934807,2505161.359999999869615,10637795.679999997839332
FS( 70 ),2017966.219999999972060,2092185.799999999813735,2099102.149999999906868,1975542.390000000130385,2515995.919999999925494,10700792.480000000447035
FS( 71 ),2031727.579999999841675,2095697.639999999897555,2099416.760000000242144,1978019.110000000102445,2500421.239999999757856,10705282.330000000074506
FS( 72 ),2028287.239999999990687,2101843.360000000335276,2100675.199999999720603,1980805.419999999925494,2494665.380000000353903,10706276.600000001490116
FS( 73 ),2019113.000000000000000,2082528.239999999757856,2091551.510000000009313,1973065.669999999925494,2485185.140000000130385,10651443.560000000521541
FS( 74 ),2091360.139999999897555,2105355.200000000186265,2099416.760000000242144,1967183.459999999962747,2505838.520000000018626,10769154.080000000074506
FS( 75 ),2102445.679999999701977,2110622.959999999962747,2096585.270000000018626,1973684.850000000093132,2520736.040000000037253,10804074.800000000745058
FS( 76 ),2152521.740000000223517,2108867.040000000037253,2107911.229999999981374,1982353.370000000111759,2442862.640000000130385,10794516.019999999552965
FS( 77 ),2168576.660000000149012,2088673.959999999729916,2107911.229999999981374,2016408.270000000018626,2437445.359999999869615,10819015.479999998584390
FS( 78 ),2162460.500000000000000,2099209.479999999515712,2100045.979999999981374,2032197.360000000102445,2447941.339999999850988,10841854.659999998286366
FS( 79 ),2152904.000000000000000,2079894.360000000102445,2100675.199999999720603,2019504.170000000158325,2418484.880000000353903,10771462.610000001266599
FS( 80 ),2165136.320000000298023,2080772.319999999832362,2103192.079999999608845,2026315.150000000139698,2429996.599999999627471,10805412.470000000670552
FS( 81 ),2161695.979999999515712,2084284.159999999683350,2097843.710000000428408,2006191.800000000046566,2422886.419999999925494,10772902.070000000298023
FS( 82 ),2177368.639999999664724,2107989.080000000074506,2108540.449999999720603,2024767.200000000186265,2441508.319999999832362,10860173.690000001341105
FS( 83 ),2166283.099999999627471,2097453.559999999590218,2111371.939999999944121,2017956.220000000204891,2454712.939999999944121,10847777.759999999776483
FS( 84 ),2160931.459999999962747,2093941.719999999972060,2107596.619999999646097,2007430.160000000149012,2451665.719999999739230,10821565.679999999701977
FS( 85 ),2172781.520000000484288,2103599.280000000260770,2103821.300000000279397,2006191.800000000046566,2463854.599999999627471,10850248.500000000000000
FS( 86 ),2164371.799999999813735,2093063.759999999776483,2104135.909999999683350,1996594.510000000009313,2446248.439999999944121,10804414.419999998062849
FS( 87 ),2169341.179999999701977,2094819.679999999934807,2113888.819999999832362,2004334.260000000009313,2458098.739999999757856,10840482.679999999701977
FS( 88 ),2170870.219999999739230,2087796.000000000000000,2120495.630000000353903,2001238.360000000102445,2488909.520000000018626,10869309.730000000447035
FS( 89 ),2161313.719999999739230,2100087.440000000409782,2117034.920000000391155,1997832.870000000111759,2490263.839999999850988,10866532.789999999105930
FS( 90 ),2203744.580000000074506,2136961.759999999776483,2146922.869999999646097,2022909.660000000149012,2532924.919999999925494,11043463.789999999105930
FS( 91 ),2188836.439999999478459,2128182.160000000149012,2155731.949999999720603,2018884.989999999990687,2499405.499999999534339,10991041.039999999105930
FS( 92 ),2190365.479999999515712,2115890.719999999739230,2155417.340000000316650,2021980.890000000130385,2488909.520000000018626,10972563.949999999254942
FS( 93 ),2168194.399999999441206,2122036.440000000409782,2147552.090000000316650,2072753.650000000139698,2507531.419999999925494,11018068.000000000000000
FS( 94 ),2180808.979999999515712,2113256.839999999850988,2142518.329999999608845,2091019.460000000195578,2507869.999999999534339,11035473.609999999403954
FS( 95 ),2228591.479999999515712,2129060.120000000111759,2168001.739999999757856,2119192.150000000372529,2544098.060000000055879,11188943.550000000745058
FS( 96 ),2272933.639999999664724,2089551.919999999925494,2175866.989999999757856,2123216.819999999832362,2522428.939999999944121,11183998.309999998658895
FS( 97 ),2251909.339999999850988,2108867.040000000037253,2178698.479999999981374,2120120.920000000391155,2505161.359999999869615,11164757.139999998733401
FS( 98 ),2249998.040000000037253,2107989.080000000074506,2177754.649999999906868,2119501.739999999757856,2503807.040000000037253,11159050.550000000745058
FS( 99 ),2273315.899999999441206,2121158.479999999515712,2179013.090000000316650,2112381.170000000391155,2518027.399999999906868,11203896.039999999105930
FS( 100 ),2266052.959999999962747,2143107.479999999515712,2188451.390000000130385,2119192.150000000372529,2530893.439999999944121,11247697.419999999925494
FS( 101 ),2271404.599999999627471,2152765.040000000037253,2184046.850000000093132,2124145.589999999850988,2520736.040000000037253,11253098.120000001043081
FS( 102 ),2270257.820000000298023,2172958.120000000111759,2194743.590000000316650,2118263.380000000353903,2530554.859999999869615,11286777.770000001415610
FS( 103 ),2282872.399999999441206,2180859.759999999776483,2189395.220000000204891,2120120.920000000391155,2514303.020000000018626,11287551.319999998435378
FS( 104 ),2261848.099999999627471,2179981.799999999813735,2180271.529999999795109,2098449.620000000111759,2511932.959999999962747,11232484.010000001639128
FS( 105 ),2288988.559999999590218,2191395.280000000260770,2180271.529999999795109,2117953.790000000037253,2504822.780000000260770,11283431.940000001341105
FS( 106 ),2307719.299999999813735,2181737.719999999739230,2182159.189999999944121,2113309.940000000409782,2498728.339999999850988,11283654.489999998360872
FS( 107 ),2315364.500000000000000,2198418.959999999962747,2184990.680000000167638,2138386.729999999981374,2507192.839999999850988,11344353.710000000894070
FS( 108 ),2306190.259999999776483,2205442.639999999664724,2164226.420000000391155,2126931.900000000372529,2497035.439999999944121,11299826.660000000149012
FS( 109 ),2361235.700000000186265,2223001.839999999850988,2176181.600000000093132,2136529.190000000409782,2512271.540000000037253,11409219.870000001043081
FS( 110 ),2360088.919999999925494,2225635.719999999739230,2182788.409999999683350,2144888.120000000111759,2529877.699999999720603,11443278.869999997317791
FS( 111 ),2415898.879999999888241,2240561.040000000037253,2190653.659999999683350,2153556.640000000130385,2543759.479999999981374,11544429.700000001117587
FS( 112 ),2365440.559999999590218,2230025.519999999552965,2173979.329999999608845,2152937.460000000428408,2547822.439999999944121,11470205.309999998658895
FS( 113 ),2329890.379999999888241,2222123.879999999888241,2161394.930000000167638,2146126.479999999981374,2510240.060000000055879,11369775.730000000447035
FS( 114 ),2283636.919999999925494,2208954.479999999515712,2143776.770000000018626,2148603.200000000186265,2553578.299999999813735,11338549.670000001788139
FS( 115 ),2255731.939999999478459,2205442.639999999664724,2139372.229999999981374,2141173.040000000037253,2539696.520000000018626,11281416.369999997317791
FS( 116 ),2276756.240000000223517,2205442.639999999664724,2137484.569999999832362,2127551.080000000074506,2566782.919999999925494,11314017.449999999254942
FS( 117 ),2318422.580000000074506,2244950.839999999850988,2161709.539999999571592,2160677.210000000428408,2612152.640000000130385,11497912.810000000521541
FS( 118 ),2326450.040000000037253,2265143.919999999925494,2170833.229999999981374,2182348.509999999776483,2604026.719999999739230,11548802.419999998062849
FS( 119 ),2346709.820000000298023,2268655.759999999776483,2185619.899999999906868,2209902.020000000018626,2608089.680000000167638,11618977.179999999701977
FS( 120 ),2362382.479999999515712,2286214.959999999962747,2185619.899999999906868,2289157.060000000055879,2592176.419999999925494,11715550.820000000298023
FS( 121 ),2365822.820000000298023,2261632.080000000074506,2157304.999999999534339,2275844.690000000409782,2560349.899999999906868,11620954.490000000223517
FS( 122 ),2371556.719999999739230,2247584.719999999739230,2155102.729999999981374,2290705.009999999776483,2561365.640000000130385,11626314.820000000298023
FS( 123 ),2360471.179999999701977,2211588.360000000335276,2121754.069999999832362,2271820.020000000018626,2531232.020000000018626,11496865.649999998509884
FS( 124 ),2342504.959999999962747,2222123.879999999888241,2141889.109999999869615,2265628.220000000204891,2533263.499999999534339,11505409.669999999925494
FS( 125 ),2311924.160000000149012,2248462.679999999701977,2204496.499999999534339,2232811.680000000167638,2550192.499999999534339,11547887.519999999552965
FS( 126 ),2295104.719999999739230,2232659.399999999441206,2184676.069999999832362,2215474.640000000130385,2543082.319999999832362,11470997.150000000372529
FS( 127 ),2346327.559999999590218,2183493.639999999664724,2178383.869999999646097,2196280.060000000055879,2540035.099999999627471,11444520.229999998584390
