代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11815551.019999999552965
真實報酬,1815551.019999999552965

夏普值報酬,0.172855102000000
夏普值風險,0.056780231126518
夏普值,3.044283169873760

二次趨勢線,46.433840723285819 x^2 + 11071.633606624845925 x + 10000000.000000000000000
二次加權預期報酬,18841.562954321336292
風險,92028.491650138515979
二次加權趨勢值,0.204736192199592
一次趨勢線,15442.149491436157405 x + 10000000.000000000000000
一次預期報酬,15442.149491436157405
一次風險,123210.836233257359709
一次趨勢值,0.125331098818303
找到最佳解世代,2556
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
KO[14](8),MCD[15](1),PG[21](4),TRV[22](6),V[25](2),WMT[28](7),
FS( 24 ),1549623.339999999850988,1702503.800000000046566,1685132.919999999925494,1732546.000000000232831,1746104.560000000055879,1730410.040000000037253,10146324.660000000149012
FS( 25 ),1534565.219999999972060,1692884.179999999934807,1682739.059999999823049,1726353.280000000027940,1752288.399999999906868,1732895.880000000121072,10121730.020000001415610
FS( 26 ),1580424.039999999804422,1707785.160000000149012,1702744.889999999897555,1737552.880000000121072,1791769.839999999850988,1748698.720000000204891,10268979.529999999329448
FS( 27 ),1575975.049999999813735,1714858.410000000149012,1710781.419999999925494,1748752.479999999981374,1804375.359999999869615,1746745.560000000055879,10301492.279999999329448
FS( 28 ),1581792.959999999962747,1717027.540000000037253,1730103.290000000037253,1752441.760000000009313,1813175.439999999944121,1758464.520000000018626,10353009.509999999776483
FS( 29 ),1563997.000000000000000,1723440.620000000111759,1732497.149999999906868,1753232.320000000065193,1833748.599999999860302,1744082.160000000149012,10351001.849999999627471
FS( 30 ),1550307.799999999813735,1747866.910000000149012,1751648.030000000027940,1767989.440000000176951,1848732.520000000018626,1747633.360000000102445,10414182.060000000521541
FS( 31 ),1554072.329999999841675,1734852.129999999888241,1735745.959999999962747,1778003.199999999953434,1842786.520000000018626,1769650.800000000046566,10415114.940000001341105
FS( 32 ),1559205.780000000027940,1726930.090000000083819,1742414.570000000065193,1751519.440000000176951,1838386.479999999981374,1773024.439999999944121,10391484.800000000745058
FS( 33 ),1558179.089999999850988,1744471.750000000000000,1739336.750000000000000,1730437.840000000083819,1828397.199999999953434,1751539.680000000167638,10352366.309999998658895
FS( 34 ),1557494.629999999888241,1757675.149999999906868,1752502.979999999981374,1770492.880000000121072,1852775.800000000046566,1758997.200000000186265,10449942.640000000596046
FS( 35 ),1571868.289999999804422,1761824.790000000037253,1738310.809999999823049,1777476.160000000149012,1820310.639999999897555,1745147.520000000018626,10414942.209999999031425
FS( 36 ),1575290.589999999850988,1751545.000000000000000,1743440.509999999776483,1778134.959999999962747,1819834.959999999962747,1743194.360000000102445,10411444.379999998956919
FS( 37 ),1596166.619999999878928,1768143.559999999823049,1761565.449999999953434,1778530.239999999990687,1846829.800000000046566,1745857.760000000009313,10497097.429999999701977
FS( 38 ),1595139.929999999934807,1768426.489999999757856,1759513.570000000065193,1796581.359999999869615,1833986.439999999944121,1726148.599999999860302,10479800.389999998733401
FS( 39 ),1594113.239999999757856,1786156.769999999785796,1770627.919999999925494,1803828.160000000149012,1839337.839999999850988,1724728.120000000111759,10518796.050000000745058
FS( 40 ),1603695.679999999934807,1790966.580000000074506,1779177.419999999925494,1807253.919999999925494,1857413.679999999934807,1731830.520000000018626,10570341.799999998882413
FS( 41 ),1598904.459999999962747,1776725.769999999785796,1772166.830000000074506,1818585.280000000027940,1870138.119999999878928,1736979.760000000009313,10573504.219999998807907
FS( 42 ),1593771.010000000009313,1776348.529999999795109,1774047.719999999972060,1802642.320000000065193,1876321.959999999962747,1721354.479999999981374,10544490.019999999552965
FS( 43 ),1580424.039999999804422,1776348.529999999795109,1773021.780000000027940,1799875.359999999869615,1884408.520000000018626,1725793.479999999981374,10539875.709999999031425
FS( 44 ),1590690.939999999711290,1790683.649999999906868,1768576.040000000037253,1798821.280000000027940,1874657.079999999841675,1742129.000000000000000,10565561.990000000223517
FS( 45 ),1590348.709999999962747,1798605.689999999944121,1772337.820000000065193,1797240.160000000149012,1874776.000000000000000,1754913.320000000065193,10588225.699999999254942
FS( 46 ),1593086.549999999813735,1790495.029999999795109,1794908.500000000000000,1790388.639999999897555,1875965.199999999953434,1762015.720000000204891,10606863.640000000596046
FS( 47 ),1597193.310000000055879,1792664.160000000149012,1789607.809999999823049,1781297.199999999953434,1872873.280000000027940,1752427.479999999981374,10586067.240000000223517
FS( 48 ),1596166.619999999878928,1784553.500000000000000,1789436.820000000065193,1784854.720000000204891,1885597.719999999972060,1768585.439999999944121,10609198.820000000298023
FS( 49 ),1598562.229999999981374,1781346.959999999962747,1791146.719999999972060,1795659.040000000037253,1877273.320000000065193,1789892.640000000130385,10633884.910000000149012
FS( 50 ),1599588.919999999925494,1806999.279999999795109,1796447.409999999916181,1814632.479999999981374,1898441.079999999841675,1803387.200000000186265,10719500.370000001043081
FS( 51 ),1608486.899999999906868,1809357.029999999795109,1807903.739999999990687,1802378.799999999813735,1907954.679999999934807,1818834.920000000158325,10754920.070000000298023
FS( 52 ),1606775.750000000000000,1807942.379999999888241,1819702.050000000046566,1822801.600000000093132,1905457.359999999869615,1827712.920000000158325,10790396.059999998658895
FS( 53 ),1618069.339999999850988,1807093.590000000083819,1809955.619999999878928,1790256.880000000121072,1907954.679999999934807,1831796.800000000046566,10765130.910000000149012
FS( 54 ),1624913.939999999711290,1838215.889999999897555,1813375.419999999925494,1830575.440000000176951,1904624.919999999925494,1832151.920000000158325,10843861.529999999329448
FS( 55 ),1622176.099999999860302,1828879.199999999720603,1812691.459999999962747,1800007.120000000111759,1907479.000000000000000,1817769.560000000055879,10789006.439999999478459
FS( 56 ),1649896.729999999981374,1841516.739999999757856,1763959.309999999823049,1818453.519999999785796,1922462.919999999925494,1830198.760000000009313,10826491.979999998584390
FS( 57 ),1642025.439999999711290,1863868.209999999962747,1773021.780000000027940,1833869.440000000176951,1920441.280000000027940,1838366.520000000018626,10871596.669999999925494
FS( 58 ),1637234.219999999972060,1866697.510000000009313,1766011.189999999944121,1834001.199999999953434,1914852.040000000037253,1838188.959999999962747,10856989.120000001043081
FS( 59 ),1651607.879999999888241,1861887.699999999720603,1810126.609999999869615,1847836.000000000232831,1937565.760000000009313,1802854.520000000018626,10911882.469999998807907
FS( 60 ),1657083.560000000055879,1859058.399999999906868,1791659.689999999944121,1863910.720000000204891,1952074.000000000000000,1803387.200000000186265,10927177.570000000298023
FS( 61 ),1678986.280000000027940,1863302.349999999860302,1820727.989999999990687,1894083.760000000009313,1955403.760000000009313,1826114.880000000121072,11038623.020000001415610
FS( 62 ),1662901.469999999972060,1831236.949999999720603,1794224.540000000037253,1885255.840000000083819,1935900.879999999888241,1799836.000000000000000,10909359.679999999701977
FS( 63 ),1656056.869999999878928,1835386.590000000083819,1804996.909999999916181,1880248.959999999962747,1916041.239999999990687,1796107.240000000223517,10888841.810000000521541
FS( 64 ),1667350.459999999962747,1862830.800000000046566,1813888.389999999897555,1888813.359999999869615,1926981.879999999888241,1812620.320000000065193,10972489.210000000894070
FS( 65 ),1658794.709999999962747,1875845.580000000074506,1807048.790000000037253,1889867.440000000176951,1929835.959999999962747,1819367.599999999860302,10980764.080000000074506
FS( 66 ),1642709.899999999906868,1867734.919999999925494,1790291.770000000018626,1867204.720000000204891,1905219.520000000018626,1798770.640000000130385,10871935.470000000670552
FS( 67 ),1637576.449999999953434,1867640.609999999869615,1796618.399999999906868,1864833.040000000037253,1911760.119999999878928,1781014.640000000130385,10859447.259999999776483
FS( 68 ),1622176.099999999860302,1864811.309999999823049,1782426.229999999981374,1868785.840000000083819,1900462.719999999972060,1767520.080000000307336,10806186.279999999329448
FS( 69 ),1649212.269999999785796,1886125.370000000111759,1812691.459999999962747,1896850.720000000204891,1911165.520000000018626,1809601.800000000046566,10965651.140000000596046
FS( 70 ),1644421.049999999813735,1877071.609999999869615,1814401.359999999869615,1889603.919999999925494,1870970.560000000055879,1773734.680000000167638,10870207.179999999701977
FS( 71 ),1666323.769999999785796,1867451.989999999757856,1805680.869999999878928,1919908.720000000204891,1905219.520000000018626,1780837.080000000307336,10945425.949999999254942
FS( 72 ),1683093.039999999804422,1877448.849999999860302,1824489.770000000018626,1930581.280000000027940,1935900.879999999888241,1773557.120000000111759,11025074.940000001341105
FS( 73 ),1696782.239999999757856,1886125.370000000111759,1848599.359999999869615,1942307.919999999925494,1960636.239999999990687,1798948.200000000186265,11133403.329999998211861
FS( 74 ),1683777.500000000000000,1878863.500000000000000,1837314.020000000018626,1943362.000000000232831,1951360.479999999981374,1790958.000000000000000,11085639.500000000000000
FS( 75 ),1671799.449999999953434,1876694.370000000111759,1835262.139999999897555,1952321.679999999934807,1943987.439999999944121,1802676.959999999962747,11082746.039999999105930
FS( 76 ),1663243.699999999953434,1884710.719999999972060,1818847.100000000093132,1943098.479999999981374,1948625.320000000065193,1795574.560000000055879,11054103.880000000819564
FS( 77 ),1699177.849999999860302,1885842.439999999944121,1824831.750000000000000,1949554.720000000204891,1953144.280000000027940,1815283.720000000204891,11127838.759999999776483
FS( 78 ),1706022.449999999953434,1876505.750000000000000,1825515.709999999962747,1936115.199999999953434,1920679.119999999878928,1808714.000000000000000,11073556.230000000447035
FS( 79 ),1697808.929999999934807,1865188.550000000046566,1824318.780000000027940,1949291.199999999953434,1934117.079999999841675,1823096.360000000102445,11093824.899999998509884
FS( 80 ),1680355.199999999953434,1854814.449999999720603,1786188.009999999776483,1927419.040000000037253,1946841.520000000018626,1818657.360000000102445,11014279.579999998211861
FS( 81 ),1663585.929999999934807,1848684.300000000046566,1781571.280000000027940,1911476.079999999841675,1935187.359999999869615,1813330.560000000055879,10953839.509999999776483
FS( 82 ),1685488.649999999906868,1879052.120000000111759,1801064.139999999897555,1920172.239999999990687,1935544.119999999878928,1814573.479999999981374,11035898.750000000000000
FS( 83 ),1681381.889999999897555,1869904.050000000046566,1759684.559999999823049,1918064.079999999841675,1918538.560000000055879,1801256.479999999981374,10948833.620000001043081
FS( 84 ),1710471.439999999711290,1874713.859999999869615,1774902.669999999925494,1934138.799999999813735,1886073.399999999906868,1810489.599999999860302,10990793.769999999552965
FS( 85 ),1711155.899999999906868,1882730.209999999962747,1789949.790000000037253,1944152.560000000055879,1930430.560000000055879,1821143.200000000186265,11079566.220000002533197
FS( 86 ),1737849.839999999850988,1887445.709999999962747,1825002.739999999990687,1974457.359999999869615,1966820.079999999841675,1854169.360000000102445,11245749.089999999850988
FS( 87 ),1759068.099999999860302,1914984.229999999981374,1836117.089999999850988,1963257.760000000009313,1985014.839999999850988,1866421.000000000000000,11324867.019999999552965
FS( 88 ),1762148.169999999925494,1937901.559999999823049,1859884.699999999953434,1970241.040000000037253,2022236.800000000046566,1883289.200000000186265,11435705.469999998807907
FS( 89 ),1758383.639999999897555,1898479.979999999981374,1859029.750000000000000,1967474.079999999841675,2031393.639999999897555,1909212.959999999962747,11423978.050000000745058
FS( 90 ),1756672.489999999757856,1916964.739999999757856,1870315.089999999850988,1965761.199999999953434,2025328.719999999972060,1916670.479999999981374,11451716.720000000670552
FS( 91 ),1767281.619999999878928,1932714.510000000009313,1875444.790000000037253,1972876.239999999990687,2040550.479999999981374,1932295.760000000009313,11521167.400000000372529
FS( 92 ),1749827.889999999897555,1928564.870000000111759,1896476.559999999823049,1968659.919999999925494,2013912.399999999906868,1929277.240000000223517,11486722.879999998956919
FS( 93 ),1755988.030000000027940,1936109.669999999925494,1901435.270000000018626,1977883.120000000111759,2017598.919999999925494,1936734.760000000009313,11525753.770000001415610
FS( 94 ),1740929.909999999916181,1922151.790000000037253,1897844.479999999981374,1975379.679999999934807,2016409.719999999972060,1938332.800000000046566,11491052.380000000819564
FS( 95 ),1733058.619999999878928,1928753.489999999757856,1874076.869999999878928,1980781.840000000083819,2013079.959999999962747,1947033.240000000223517,11476788.019999999552965
FS( 96 ),1749485.659999999916181,1929130.729999999981374,1888098.050000000046566,1997515.359999999869615,2029847.679999999934807,1946500.560000000055879,11540582.039999999105930
FS( 97 ),1767966.079999999841675,1934506.399999999906868,1910668.729999999981374,2005289.199999999953434,2066118.280000000027940,1958929.760000000009313,11643482.449999999254942
FS( 98 ),1764201.549999999813735,1926395.739999999757856,1901435.270000000018626,1995934.239999999990687,2062550.679999999934807,1973312.120000000111759,11623833.600000001490116
FS( 99 ),1776864.060000000055879,1923189.199999999720603,1920757.139999999897555,2003049.280000000027940,2067426.399999999906868,1975265.280000000027940,11666555.359999999403954
FS( 100 ),1771388.379999999888241,1940070.689999999944121,1910326.750000000000000,2017674.639999999897555,2036863.959999999962747,1966032.160000000149012,11642360.580000000074506
FS( 101 ),1749485.659999999916181,1929130.729999999981374,1876299.739999999990687,1959304.959999999962747,2034247.719999999972060,1956088.800000000046566,11504561.610000001266599
FS( 102 ),1748116.739999999757856,1945352.050000000046566,1877154.689999999944121,1965892.959999999962747,2036269.359999999869615,1955023.439999999944121,11527813.240000000223517
FS( 103 ),1742641.060000000055879,1958461.139999999897555,1874931.820000000065193,1970109.280000000027940,2063858.800000000046566,1961948.280000000027940,11571954.380000000819564
FS( 104 ),1765912.699999999953434,1945634.979999999981374,1889294.979999999981374,1995143.679999999934807,2068496.679999999934807,1964256.560000000055879,11628743.580000000074506
FS( 105 ),1778917.439999999711290,1976568.660000000149012,1906222.989999999990687,2013721.840000000083819,2084431.959999999962747,1981657.439999999944121,11741524.330000000074506
FS( 106 ),1783024.199999999953434,2007030.790000000037253,1950680.389999999897555,2033090.560000000055879,2103340.240000000223517,1994441.760000000009313,11871611.939999999478459
FS( 107 ),1783366.429999999934807,1992224.120000000111759,1934778.320000000065193,2030323.600000000093132,2100842.919999999925494,1988404.720000000204891,11829944.110000001266599
FS( 108 ),1779601.899999999906868,2000900.639999999897555,1950167.419999999925494,2026502.560000000055879,2095253.679999999934807,2001544.160000000149012,11853974.359999999403954
FS( 109 ),1765570.469999999972060,2000240.469999999972060,1930674.559999999823049,2021890.959999999962747,2113567.359999999403954,2004385.120000000111759,11836332.940000001341105
FS( 110 ),1773441.760000000009313,2008822.679999999934807,1945037.719999999972060,2020309.840000000083819,2132356.719999999739230,2006160.720000000204891,11886133.439999999478459
FS( 111 ),1780970.819999999832362,2005899.069999999832362,1955810.089999999850988,2008451.440000000176951,2149362.280000000260770,2022851.360000000102445,11923349.059999998658895
FS( 112 ),1783708.659999999916181,2008728.370000000111759,1966240.479999999981374,2021100.399999999906868,2144486.560000000521541,2034925.439999999944121,11959193.910000000149012
FS( 113 ),1784050.889999999897555,2020234.189999999944121,1974618.989999999990687,2040073.840000000083819,2147340.639999999664724,2041672.720000000204891,12007995.270000001415610
FS( 114 ),1784393.119999999878928,2015613.000000000000000,1981629.580000000074506,2036911.600000000093132,2132356.719999999739230,2037766.400000000139698,11988674.419999999925494
FS( 115 ),1785762.039999999804422,2015518.689999999944121,1982484.530000000027940,2007792.639999999897555,2130454.000000000000000,2034925.439999999944121,11956941.339999997988343
FS( 116 ),1780628.589999999850988,2036266.889999999897555,1973935.030000000027940,2012140.720000000204891,2146864.959999999962747,2037056.160000000149012,11986896.350000001490116
FS( 117 ),1758725.869999999878928,2017027.649999999906868,1966582.459999999962747,1979464.239999999990687,2131524.280000000260770,2022496.240000000223517,11875824.740000000223517
FS( 118 ),1752907.959999999962747,2027684.679999999934807,1971541.169999999925494,1972612.720000000204891,2147340.639999999664724,2003319.760000000009313,11875410.929999997839332
FS( 119 ),1859341.489999999757856,2021177.290000000037253,1946747.619999999878928,1943493.760000000009313,2151265.000000000000000,1990357.880000000121072,11912387.040000000968575
FS( 120 ),1840518.839999999850988,2006747.859999999869615,1925373.869999999878928,1961281.359999999869615,2180162.560000000521541,1988759.840000000083819,11902848.330000000074506
FS( 121 ),1816220.510000000009313,2022403.319999999832362,1928280.699999999953434,1956538.000000000232831,2159470.480000000447035,1992666.160000000149012,11875583.170000001788139
FS( 122 ),1853865.810000000055879,2033154.660000000149012,1961794.739999999990687,1975511.440000000176951,2184443.679999999701977,2006870.959999999962747,12015645.289999999105930
FS( 123 ),1847705.669999999925494,2027496.059999999823049,1983510.469999999972060,1959832.000000000232831,2178735.520000000484288,1993553.959999999962747,11990837.679999999701977
FS( 124 ),1838465.459999999962747,2002598.219999999972060,2058917.059999999823049,1945074.880000000121072,2158756.959999999962747,1989825.200000000186265,11993641.779999997466803
FS( 125 ),1801162.389999999897555,1987320.000000000000000,2018392.430000000167638,1931898.880000000121072,2116778.200000000186265,1959995.120000000111759,11815551.019999999552965
