代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11072932.669999999925494
真實報酬,1072932.669999999925494

夏普值報酬,0.098593267000000
夏普值風險,0.053928439263416
夏普值,1.828224001039920

二次趨勢線,246.025214235691067 x^2 + -19570.996773837858200 x + 10000000.000000000000000
二次加權預期報酬,21269.188789286858082
風險,226738.561200614349218
二次加權趨勢值,0.093804903218329
一次趨勢線,3401.237085518847834 x + 10000000.000000000000000
一次預期報酬,3401.237085518847834
一次風險,483631.121575250814203
一次趨勢值,0.007032709298030
找到最佳解世代,1897
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
IBM[10](6),INTC[11](3),PG[21](7),
FS( 31 ),2634002.399999999906868,3347685.199999999720603,3693079.170000000391155,9674767.769999999552965
FS( 32 ),2632695.240000000223517,3400788.339999999850988,3723755.200000000186265,9757239.780000001192093
FS( 33 ),2618752.200000000186265,3379260.040000000037253,3724551.979999999981374,9722565.220000000670552
FS( 34 ),2645766.839999999850988,3452456.259999999776483,3738097.240000000223517,9836321.339999999850988
FS( 35 ),2648599.020000000018626,3504124.179999999701977,3737698.849999999627471,9890423.049999998882413
FS( 36 ),2621148.660000000149012,3444562.549999999813735,3716584.180000000167638,9782296.390000000596046
FS( 37 ),2553394.200000000186265,3400788.339999999850988,3669175.770000000018626,9623359.310000000521541
FS( 38 ),2583241.020000000018626,3374954.379999999888241,3641686.859999999869615,9599883.259999999776483
FS( 39 ),2553176.339999999850988,3339791.489999999757856,3646865.930000000167638,9539834.759999999776483
FS( 40 ),2604809.160000000149012,3405094.000000000000000,3662801.529999999795109,9672705.689999999478459
FS( 41 ),2615048.580000000074506,3449585.819999999832362,3693875.950000000186265,9758511.350000001490116
FS( 42 ),2679753.000000000000000,3506277.009999999776483,3705429.260000000242144,9891460.269999999552965
FS( 43 ),2646638.280000000260770,3423034.250000000000000,3697859.849999999627471,9767533.379999998956919
FS( 44 ),2707421.219999999739230,3538569.459999999962747,3765187.760000000242144,10011179.439999999478459
FS( 45 ),2730078.660000000149012,3597413.479999999981374,3717779.349999999627471,10045272.490000000223517
FS( 46 ),2649252.600000000093132,3426622.299999999813735,3717380.960000000428408,9793256.860000001266599
FS( 47 ),2699578.259999999776483,3471114.119999999646097,3726942.319999999832362,9897635.699999999254942
FS( 48 ),2600016.240000000223517,3318263.189999999944121,3683119.420000000391155,9601399.849999999627471
FS( 49 ),2639013.179999999701977,3387871.359999999869615,3706226.040000000037253,9733111.579999998211861
FS( 50 ),2633784.540000000037253,3400070.729999999981374,3741284.359999999869615,9775140.629999998956919
FS( 51 ),2639666.759999999776483,3432363.179999999701977,3746065.040000000037253,9818095.980000000447035
FS( 52 ),2630298.780000000260770,3465373.239999999757856,3844068.979999999981374,9939742.000000000000000
FS( 53 ),2612216.399999999906868,3434516.009999999776483,3850044.830000000074506,9896778.240000000223517
FS( 54 ),2529429.600000000093132,3378542.429999999701977,3695867.899999999906868,9603840.929999999701977
FS( 55 ),2541411.899999999906868,3425904.689999999944121,3684712.979999999981374,9652030.570000000298023
FS( 56 ),2536618.979999999981374,3270183.319999999832362,3655630.510000000242144,9462433.810000000521541
FS( 57 ),2462328.719999999739230,3268030.489999999757856,3624556.090000000316650,9354916.299999998882413
FS( 58 ),2417013.839999999850988,3217797.790000000037253,3624157.700000000186265,9258970.330000000074506
FS( 59 ),2343595.020000000018626,3128096.540000000037253,3480338.910000000149012,8952031.470000000670552
FS( 60 ),2426817.540000000037253,3314675.139999999664724,3589099.380000000353903,9330593.060000000521541
FS( 61 ),2478886.080000000074506,3326874.509999999776483,3665988.649999999906868,9471750.240000000223517
FS( 62 ),2462546.580000000074506,3354861.299999999813735,3632523.890000000596046,9449932.769999999552965
FS( 63 ),2476489.620000000111759,3367778.279999999795109,3662004.750000000000000,9506273.650000000372529
FS( 64 ),2510040.060000000055879,3378542.429999999701977,3636507.790000000037253,9525091.280000001192093
FS( 65 ),2459932.259999999776483,3192681.439999999944121,3611010.830000000074506,9263625.529999999329448
FS( 66 ),2556008.520000000018626,3388588.969999999739230,3684712.979999999981374,9629311.470000000670552
FS( 67 ),2574090.899999999906868,3404376.389999999664724,3669972.550000000279397,9648440.839999999850988
FS( 68 ),2610691.379999999888241,3425904.689999999944121,3683517.810000000055879,9720114.880000000819564
FS( 69 ),2629427.339999999850988,3445280.159999999683350,3623360.920000000391155,9698069.419999999925494
FS( 70 ),2653391.939999999944121,3484748.709999999962747,3632125.500000000000000,9770267.150000000372529
FS( 71 ),2646202.560000000055879,3511300.279999999795109,3656028.899999999906868,9813532.740000000223517
FS( 72 ),2622891.540000000037253,3469678.899999999906868,3631328.720000000204891,9723900.160000000149012
FS( 73 ),2652084.780000000260770,3487619.149999999906868,3665590.260000000242144,9805295.189999999478459
FS( 74 ),2649688.320000000298023,3453891.479999999981374,3640093.300000000279397,9743674.100000001490116
FS( 75 ),2662106.339999999850988,3478290.219999999739230,3611010.830000000074506,9751408.390000000596046
FS( 76 ),2697617.520000000018626,3529958.139999999664724,3642085.250000000000000,9869661.910000000149012
FS( 77 ),2669295.719999999739230,3463938.020000000018626,3603043.029999999795109,9736277.769999999552965
FS( 78 ),2895216.539999999571592,3440256.889999999664724,3778334.630000000353903,10113809.060000000521541
FS( 79 ),2887373.580000000074506,3570861.909999999683350,3756821.569999999832362,10215058.060000000521541
FS( 80 ),2918745.419999999925494,3375671.989999999757856,3728934.270000000018626,10023352.679999999701977
FS( 81 ),2925281.220000000204891,3351990.859999999869615,3725747.149999999906868,10003020.230000000447035
FS( 82 ),2926588.380000000353903,3339791.489999999757856,3726543.930000000167638,9992924.800000000745058
FS( 83 ),2927677.679999999701977,3411552.489999999757856,3765586.149999999906868,10104817.320000000298023
FS( 84 ),2928549.119999999646097,3381412.869999999646097,3843272.200000000186265,10153235.189999999478459
FS( 85 ),2921577.600000000093132,3496948.079999999608845,3883111.200000000186265,10301637.879999998956919
FS( 86 ),2945324.339999999850988,3532110.969999999739230,3905421.040000000037253,10382857.349999999627471
FS( 87 ),2953167.300000000279397,3588802.159999999683350,3881916.029999999795109,10423886.490000000223517
FS( 88 ),2969942.520000000018626,3580908.449999999720603,3901038.750000000000000,10451890.719999998807907
FS( 89 ),2901752.339999999850988,3532828.579999999608845,3869964.330000000074506,10304546.250000000000000
FS( 90 ),2913081.060000000055879,3504841.790000000037253,3892672.560000000055879,10310596.410000000149012
FS( 91 ),2919181.140000000130385,3499818.520000000018626,3914982.399999999906868,10333983.060000000521541
FS( 92 ),2964060.300000000279397,3588802.159999999683350,3954423.010000000242144,10507286.470000000670552
FS( 93 ),2996085.720000000204891,3621812.219999999739230,3953626.229999999981374,10571525.169999999925494
FS( 94 ),2973428.279999999795109,3646210.959999999962747,3922551.810000000055879,10542192.050000000745058
FS( 95 ),3007196.580000000074506,3707207.809999999590218,3923348.590000000316650,10637753.980000000447035
FS( 96 ),3021793.199999999720603,3688549.949999999720603,3983505.479999999981374,10693849.629999998956919
FS( 97 ),3006543.000000000000000,3687832.339999999850988,3955219.790000000037253,10649596.129999998956919
FS( 98 ),3003057.240000000223517,3689267.559999999590218,3975139.290000000037253,10667465.089999999850988
FS( 99 ),3033775.500000000000000,3766769.439999999944121,3993863.620000000111759,10794409.559999998658895
FS( 100 ),3038350.560000000055879,3810543.649999999906868,3966773.099999999627471,10815668.309999998658895
FS( 101 ),3044014.919999999925494,3819872.579999999608845,3977131.240000000223517,10841019.740000000223517
FS( 102 ),3032032.619999999646097,3820590.189999999944121,3940479.359999999869615,10793103.169999999925494
FS( 103 ),3009375.179999999701977,3800497.109999999869615,3926137.319999999832362,10736010.609999999403954
FS( 104 ),3032686.199999999720603,3824895.849999999627471,3921755.029999999795109,10779338.079999998211861
FS( 105 ),3015910.979999999981374,3870822.889999999664724,3938885.800000000279397,10825620.669999999925494
FS( 106 ),3003928.679999999701977,3852165.029999999795109,3947650.380000000353903,10803745.089999999850988
FS( 107 ),2984321.279999999795109,3799779.500000000000000,3941276.140000000596046,10725377.919999999925494
FS( 108 ),2949027.960000000428408,3774663.149999999906868,3926137.319999999832362,10649829.429999999701977
FS( 109 ),2943145.740000000223517,3766051.829999999608845,3920559.859999999869615,10629758.429999999701977
FS( 110 ),3000225.060000000055879,3828483.899999999906868,3967171.490000000223517,10795881.449999999254942
FS( 111 ),3012643.080000000074506,3844271.319999999832362,3985895.819999999832362,10842811.220000000670552
FS( 112 ),3018743.160000000149012,3901680.119999999646097,4030913.890000000596046,10951338.169999999925494
FS( 113 ),3023753.939999999944121,3834942.389999999664724,4036491.349999999627471,10895188.679999999701977
FS( 114 ),3037696.979999999981374,3898809.679999999701977,4081111.029999999795109,11017618.689999999478459
FS( 115 ),3054690.060000000055879,3882304.649999999906868,4044060.760000000242144,10981056.470000000670552
FS( 116 ),3060790.140000000130385,3887327.919999999925494,4059597.970000000204891,11007717.030000001192093
FS( 117 ),3041400.600000000093132,3862211.569999999832362,4052426.950000000186265,10956040.120000001043081
FS( 118 ),3081486.839999999850988,3921055.589999999850988,4083102.979999999981374,11085646.410000000149012
FS( 119 ),3038132.699999999720603,3822025.409999999683350,4050036.609999999869615,10910195.719999998807907
FS( 120 ),3032250.479999999981374,3787580.129999999888241,4061988.310000000055879,10881819.919999999925494
FS( 121 ),3054907.919999999925494,3834942.389999999664724,4104217.649999999906868,10994068.959999999031425
FS( 122 ),3033557.640000000130385,3814849.309999999590218,4099436.970000000204891,10947844.919999999925494
FS( 123 ),3048372.119999999646097,3811261.259999999776483,4125332.319999999832362,10984966.699999999254942
FS( 124 ),3074079.600000000093132,3853600.250000000000000,4145251.819999999832362,11072932.669999999925494
