代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11368960.910000000149012
真實報酬,1368960.910000000149012

夏普值報酬,0.128196091000000
夏普值風險,0.056178893493692
夏普值,2.281926236485852

二次趨勢線,247.979792036808419 x^2 + -20483.535035092172620 x + 10000000.000000000000000
二次加權預期報酬,22003.669333881003695
風險,214868.183325722144218
二次加權趨勢值,0.102405432918494
一次趨勢線,3415.155584237290441 x + 10000000.000000000000000
一次預期報酬,3415.155584237290441
一次風險,506500.755186861031689
一次趨勢值,0.006742646579031
找到最佳解世代,2267
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](3),INTC[11](2),MCD[15](1),
FS( 29 ),3376017.069999999832362,2867395.740000000223517,3382871.060000000521541,9626284.870000001043081
FS( 30 ),3429745.270000000018626,2922443.180000000167638,3409891.820000000298023,9762081.269999999552965
FS( 31 ),3443475.810000000055879,2914579.260000000242144,3422016.520000000484288,9780072.589999999850988
FS( 32 ),3450042.589999999850988,2918511.220000000204891,3432062.700000000186265,9800617.510000001639128
FS( 33 ),3424670.939999999944121,2939154.010000000242144,3390145.880000000353903,9753971.830000000074506
FS( 34 ),3416910.199999999720603,2896885.439999999944121,3377674.760000000242144,9691471.400000000372529
FS( 35 ),3385270.259999999776483,2860514.810000000055879,3377328.339999999850988,9623114.410000000149012
FS( 36 ),3398702.310000000055879,2823161.189999999944121,3371439.200000000186265,9593303.699999999254942
FS( 37 ),3429745.270000000018626,2812348.300000000279397,3380446.120000000111759,9622540.690000001341105
FS( 38 ),3420492.080000000074506,2811365.310000000055879,3363471.540000000502914,9595329.930000001564622
FS( 39 ),3390643.080000000074506,2758283.850000000093132,3329175.959999999962747,9478103.890000000596046
FS( 40 ),3375121.599999999627471,2786790.560000000055879,3327097.440000000409782,9489010.600000001490116
FS( 41 ),3427954.330000000074506,2846752.950000000186265,3371785.620000000111759,9646493.900000000372529
FS( 42 ),3473623.300000000279397,2851667.900000000372529,3402270.580000000074506,9727562.780000001192093
FS( 43 ),3476309.709999999962747,2841838.000000000000000,3435526.900000000372529,9753675.609999999403954
FS( 44 ),3493323.640000000130385,2845769.959999999962747,3459429.880000000353903,9798524.480000000447035
FS( 45 ),3489144.779999999795109,2855599.860000000335276,3444187.400000000372529,9788933.040000000968575
FS( 46 ),3508248.140000000130385,2863463.780000000260770,3434487.640000000130385,9806200.560000000521541
FS( 47 ),3522277.169999999925494,2862480.790000000037253,3457351.360000000335276,9842110.320000000298023
FS( 48 ),3479294.609999999869615,2851667.900000000372529,3441762.459999999962747,9772725.969999998807907
FS( 49 ),3490338.740000000223517,2838889.030000000260770,3426866.400000000372529,9756095.170000001788139
FS( 50 ),3510337.569999999832362,2913596.270000000018626,3443148.140000000130385,9867082.980000000447035
FS( 51 ),3513023.979999999981374,2847735.939999999944121,3423055.780000000260770,9783816.699999999254942
FS( 52 ),3513023.979999999981374,2895902.450000000186265,3404695.520000000484288,9813622.949999999254942
FS( 53 ),3552723.149999999906868,2837906.040000000037253,3442455.300000000279397,9833085.490000000223517
FS( 54 ),3574512.919999999925494,2852650.890000000130385,3438991.100000000093132,9866155.910000000149012
FS( 55 ),3573020.470000000204891,2858548.830000000074506,3487143.479999999981374,9918713.780000001192093
FS( 56 ),3665552.369999999646097,2841838.000000000000000,3490607.680000000633299,9997999.050000000745058
FS( 57 ),3664358.410000000149012,2787773.550000000279397,3502385.959999999962747,9954518.920000001788139
FS( 58 ),3598093.629999999888241,2706185.380000000353903,3455965.680000000633299,9760245.690000001341105
FS( 59 ),3467355.009999999776483,2610835.350000000093132,3364857.220000000204891,9443048.580000000074506
FS( 60 ),3359301.629999999888241,2580362.660000000149012,3217282.300000000279397,9156947.589999999850988
FS( 61 ),3312438.699999999720603,2543009.040000000037253,3159776.580000000074506,9015225.320000000298023
FS( 62 ),3460489.740000000223517,2683576.610000000335276,3296266.060000000521541,9440333.410000000149012
FS( 63 ),3512128.509999999776483,2724862.189999999944121,3371785.620000000111759,9608777.320000000298023
FS( 64 ),3507949.649999999906868,2793671.490000000223517,3334372.260000000242144,9635994.400000000372529
FS( 65 ),3476309.709999999962747,2805467.370000000111759,3291762.600000000093132,9573540.679999999701977
FS( 66 ),3375121.599999999627471,2734692.090000000316650,3238067.500000000000000,9347882.189999999478459
FS( 67 ),3476906.689999999944121,2811365.310000000055879,3327097.440000000409782,9615370.440000001341105
FS( 68 ),3480488.569999999832362,2858548.830000000074506,3326058.180000000633299,9665096.580000001937151
FS( 69 ),3415417.750000000000000,2803501.390000000130385,3285873.459999999962747,9504793.600000001490116
FS( 70 ),3475414.240000000223517,2899834.410000000149012,3352732.520000000484288,9727982.170000001788139
FS( 71 ),3401985.699999999720603,2874276.669999999925494,3305965.820000000298023,9582229.189999999478459
FS( 72 ),3417507.179999999701977,2877225.640000000130385,3299730.260000000242144,9594464.080000000074506
FS( 73 ),3445863.729999999981374,2896885.439999999944121,3374556.979999999981374,9717307.150000000372529
FS( 74 ),3424670.939999999944121,2889021.520000000018626,3359314.500000000000000,9673007.960000000894070
FS( 75 ),3467951.990000000223517,2922443.180000000167638,3401577.740000000223517,9791973.910000000149012
FS( 76 ),3516904.349999999627471,2926375.140000000130385,3418898.740000000223517,9862179.230000000447035
FS( 77 ),3519590.759999999776483,2920477.200000000186265,3389453.040000000502914,9829522.000000000000000
FS( 78 ),3436312.050000000279397,2852650.890000000130385,3362085.860000000335276,9651049.800000000745058
FS( 79 ),3479891.589999999850988,2866412.750000000000000,3391531.560000000521541,9737836.900000000372529
FS( 80 ),3456609.369999999646097,2818246.240000000223517,3367282.160000000149012,9642138.769999999552965
FS( 81 ),3467653.500000000000000,2825127.169999999925494,3373517.720000000204891,9666299.390000000596046
FS( 82 ),3472727.830000000074506,2799569.430000000167638,3370399.940000000409782,9642698.199999999254942
FS( 83 ),3484667.429999999701977,2832008.100000000093132,3380792.540000000502914,9697469.070000000298023
FS( 84 ),3405866.069999999832362,2827093.150000000372529,3324326.080000000074506,9557286.300000000745058
FS( 85 ),3370345.759999999776483,2874276.669999999925494,3376981.920000000391155,9621605.349999999627471
FS( 86 ),3447356.179999999701977,2962745.770000000018626,3413356.020000000484288,9823458.969999998807907
FS( 87 ),3493323.640000000130385,2948983.910000000149012,3422016.520000000484288,9864325.070000000298023
FS( 88 ),3516605.859999999869615,2999116.400000000372529,3457004.940000000409782,9972728.199999999254942
FS( 89 ),3558095.970000000204891,3067925.700000000186265,3504810.900000000372529,10130833.570000000298023
FS( 90 ),3542574.490000000223517,3120024.169999999925494,3530099.560000000521541,10192699.220000000670552
FS( 91 ),3571528.020000000018626,3177037.590000000316650,3525596.100000000093132,10274162.710000000894070
FS( 92 ),3613615.109999999869615,3196697.390000000596046,3566473.660000000149012,10376787.160000000149012
FS( 93 ),3621674.339999999850988,3159343.770000000018626,3559891.680000000633299,10340910.789999999105930
FS( 94 ),3638688.270000000018626,3166224.700000000186265,3576519.839999999850988,10381433.810000000521541
FS( 95 ),3630032.060000000055879,3149513.870000000111759,3581369.720000000204891,10360916.650000000372529
FS( 96 ),3590034.399999999906868,3224221.109999999869615,3561970.200000000186265,10376226.710000000894070
FS( 97 ),3636001.859999999869615,3219306.160000000149012,3591069.479999999981374,10446378.500000000000000
FS( 98 ),3663761.429999999701977,3247812.870000000111759,3631254.200000000186265,10542829.500000000000000
FS( 99 ),3674507.069999999832362,3301877.320000000298023,3619822.339999999850988,10596207.730000000447035
FS( 100 ),3667044.819999999832362,3287132.469999999739230,3597305.040000000502914,10551483.330000000074506
FS( 101 ),3680476.869999999646097,3280251.540000000037253,3552270.440000000409782,10512999.850000001490116
FS( 102 ),3712116.810000000055879,3381499.510000000242144,3840838.300000000279397,10934455.620000001043081
FS( 103 ),3719579.060000000055879,3430649.010000000242144,3900422.540000000502914,11050651.610000001266599
FS( 104 ),3731518.660000000149012,3400176.320000000298023,3886219.320000000298023,11017915.300000000745058
FS( 105 ),3715400.199999999720603,3388380.439999999944121,3867512.640000000130385,10971294.279999999329448
FS( 106 ),3695998.349999999627471,3411972.200000000186265,3912547.240000000223517,11020518.789999999105930
FS( 107 ),3690327.039999999571592,3345128.880000000353903,3901461.800000000279397,10936918.720000000670552
FS( 108 ),3690625.529999999795109,3328418.050000000279397,3888644.260000000242144,10907688.839999999850988
FS( 109 ),3713609.259999999776483,3352992.800000000279397,3883794.380000000353903,10950397.440000001341105
FS( 110 ),3750920.509999999776483,3372652.600000000558794,3882755.120000000111759,11006329.230000000447035
FS( 111 ),3742562.789999999571592,3356924.760000000242144,3893840.560000000521541,10993329.109999999403954
FS( 112 ),3752711.449999999720603,3342179.910000000149012,3909429.459999999962747,11004321.820000000298023
FS( 113 ),3760472.189999999944121,3326452.070000000298023,3925364.780000000260770,11012290.039999999105930
FS( 114 ),3716295.669999999925494,3278285.560000000055879,3912200.820000000298023,10906783.050000000745058
FS( 115 ),3738980.910000000149012,3264523.700000000186265,3922247.000000000000000,10925752.609999999403954
FS( 116 ),3722563.959999999962747,3230119.050000000279397,3944071.459999999962747,10896755.469999998807907
FS( 117 ),3695699.859999999869615,3184901.510000000242144,3883794.380000000353903,10764396.750000000000000
FS( 118 ),3581975.169999999925494,3156394.800000000279397,3809660.500000000000000,10548031.470000000670552
FS( 119 ),3607048.330000000074506,3155411.810000000055879,3847420.280000000260770,10609881.420000001788139
FS( 120 ),3766441.990000000223517,3208493.270000000018626,3843263.240000000223517,10818199.500000000000000
FS( 121 ),3777187.629999999888241,3259608.750000000000000,3898344.020000000484288,10935141.400000000372529
FS( 122 ),3786739.310000000055879,3371669.609999999869615,3925018.360000000335276,11083428.280000001192093
FS( 123 ),3886733.459999999962747,3407057.250000000000000,3946149.979999999981374,11239941.689999999478459
FS( 124 ),3955087.669999999925494,3389363.429999999701977,3965549.500000000000000,11310001.599999999627471
FS( 125 ),3987921.569999999832362,3377567.550000000279397,3958967.520000000484288,11324457.640000000596046
FS( 126 ),4019263.020000000018626,3386414.460000000428408,3963124.560000000521541,11368803.040000000968575
FS( 127 ),4021949.430000000167638,3387397.450000000186265,3957235.420000000391155,11366583.300000000745058
FS( 128 ),3996279.289999999571592,3417870.140000000596046,3954810.479999999981374,11368960.910000000149012
