訓練日期,20110615 - 20110915
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10383796.369999999180436
真實報酬,383796.369999999180436

夏普值報酬,0.029679637000000
夏普值風險,0.030095049035398
夏普值,0.986196665275078

預期報酬,3986.774119575079112
風險,331833.386514492507558
趨勢值,0.012014385175197
找到最佳解世代,50
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](2),BA[2](25),CVX[5](12),HD[9](16),KO[14](3),MCD[15](1),NKE[19](8),PG[21](14),V[25](4),VZ[26](9),WMT[28](11),
20110623,905835.859999999986030,867803.189999999944121,897885.359999999986030,932634.000000000000000,900223.760000000009313,918239.560000000055879,908647.840000000083819,890841.899999999906868,901905.449999999837019,921098.499999999883585,915618.780000000027940,9960744.199999999254942
20110624,892436.459999999846332,867924.979999999981374,884692.800000000046566,917722.799999999930151,899669.619999999878928,913218.460000000079162,897593.840000000083819,878629.709999999962747,878435.919999999925494,919821.000000000000000,900499.500000000000000,9850655.089999999850988
20110627,907941.479999999864958,872309.420000000041910,893728.800000000046566,920862.000000000116415,903271.530000000027940,918574.299999999930151,902457.600000000093132,881858.219999999855645,884662.529999999911524,930041.000000000000000,898437.780000000027940,9914154.660000000149012
20110628,916746.799999999930151,878033.549999999930151,906831.000000000000000,943359.600000000093132,914908.470000000088476,941225.039999999920838,993984.720000000088476,880454.519999999902211,901426.479999999981374,934384.500000000000000,902561.220000000088476,10113925.900000000372529
20110629,913492.659999999916181,885706.319999999948777,915234.479999999981374,941266.799999999930151,924051.780000000027940,943679.799999999930151,992658.239999999990687,878068.229999999864958,1036496.020000000018626,938217.000000000000000,904451.130000000004657,10273332.460000000894070
20110630,917895.319999999948777,900442.910000000032596,929330.640000000013970,947545.199999999953434,932363.879999999888241,940890.299999999930151,994869.040000000037253,892385.969999999855645,1009194.729999999981374,951247.499999999883585,913041.630000000004657,10329217.120000001043081
20110701,938760.099999999860302,904583.769999999902211,940625.640000000013970,960886.799999999930151,943446.679999999934807,955730.440000000060536,1015208.400000000023283,902211.869999999878928,1053259.969999999972060,965810.999999999883585,919398.599999999976717,10499933.269999999552965
20110705,955605.059999999939464,903122.290000000037253,949932.720000000088476,957224.400000000139698,946217.379999999888241,955618.859999999986030,1014324.080000000074506,902071.500000000000000,1057570.699999999953434,966322.000000000000000,917336.880000000004657,10525355.870000001043081
20110706,961921.919999999925494,910307.899999999906868,949571.280000000027940,956701.199999999953434,949542.220000000088476,958073.619999999995343,1020956.479999999981374,908247.779999999911524,1056133.790000000037253,959168.000000000000000,923006.609999999986030,10553640.799999998882413
20110707,976852.679999999934807,925531.649999999906868,963215.640000000013970,969257.999999999883585,952589.989999999990687,960305.219999999972060,1035547.760000000125729,911757.029999999911524,1079603.319999999832362,956102.000000000000000,936235.980000000097789,10667009.269999999552965
20110708,983743.799999999930151,914326.969999999855645,956890.440000000060536,958009.199999999953434,951481.710000000079162,955172.539999999920838,1030684.000000000000000,911476.290000000037253,1074334.649999999906868,957634.999999999883585,929191.770000000018626,10622956.369999999180436
20110711,968047.359999999986030,893379.089999999850988,943517.160000000032596,951207.599999999976717,943446.679999999934807,952383.039999999920838,1010786.800000000046566,908528.519999999902211,1052781.000000000000000,948436.999999999883585,925583.760000000009313,10498108.009999999776483
20110712,967473.099999999860302,876084.910000000032596,943336.440000000060536,944667.599999999976717,939844.770000000018626,948366.159999999916181,1008576.000000000000000,905861.489999999874271,1050386.149999999906868,947670.500000000116415,926786.430000000051223,10459063.550000000745058
20110713,979149.719999999855645,879007.869999999995343,949661.640000000013970,945190.800000000046566,942892.540000000037253,948031.419999999925494,1017419.200000000069849,907405.559999999939464,1062839.370000000111759,943838.000000000000000,928160.910000000149012,10503607.030000001192093
20110714,978384.039999999920838,867072.449999999953434,945866.520000000018626,940743.599999999976717,937628.210000000079162,957515.719999999972060,1016534.880000000004657,906844.079999999841675,1053259.969999999972060,942305.000000000116415,921460.320000000065193,10467624.790000000968575
20110715,997908.880000000004657,868168.559999999939464,959601.239999999990687,939435.599999999860302,935688.720000000088476,953833.580000000074506,1013881.920000000041910,910072.589999999850988,1062839.370000000111759,940772.000000000000000,921460.320000000065193,10503672.779999999329448
20110718,1022219.219999999855645,847098.889999999897555,959962.680000000051223,933680.399999999906868,929870.250000000000000,952940.940000000060536,1001943.600000000093132,906142.229999999864958,1054696.879999999888241,937961.500000000000000,916134.210000000079162,10462660.800000000745058
20110719,1030641.699999999953434,859034.309999999939464,971257.680000000051223,944667.599999999976717,960347.949999999837019,961978.919999999925494,1003270.080000000074506,906984.449999999837019,1068108.040000000037253,944604.500000000000000,927301.859999999986030,10578207.089999999850988
20110720,1058014.760000000009313,877789.969999999855645,967824.000000000000000,952515.599999999860302,954252.409999999916181,962648.399999999906868,1001501.439999999944121,901229.279999999911524,1061402.459999999962747,953802.500000000000000,925927.380000000004657,10616918.200000001117587
20110721,1059163.279999999795109,887776.750000000000000,988877.880000000121072,960625.199999999953434,960625.020000000018626,965661.060000000055879,1015208.400000000023283,905300.009999999776483,1054217.909999999916181,959934.500000000000000,935892.359999999986030,10693292.370000001043081
20110722,1075625.399999999906868,885097.369999999995343,984721.320000000065193,955393.200000000069849,966166.419999999925494,988200.219999999972060,1013881.920000000041910,901931.129999999888241,1071939.799999999813735,938728.000000000000000,936751.410000000149012,10718446.189999999478459
20110725,1089790.479999999981374,868533.929999999934807,976860.000000000000000,958794.000000000000000,959516.739999999990687,983290.700000000069849,1005038.720000000088476,888736.349999999976717,1066671.129999999888241,925442.000000000000000,927301.859999999986030,10649985.910000000149012
20110726,1103189.879999999888241,854528.079999999958090,972070.919999999925494,951992.400000000023283,958685.530000000027940,982174.899999999906868,998406.319999999948777,885648.209999999962747,1068108.040000000037253,926975.000000000000000,920773.080000000074506,10622562.359999999403954
20110727,1073519.779999999795109,860252.209999999846332,954541.079999999958090,932110.800000000046566,951758.780000000027940,971797.960000000079162,980719.920000000041910,873155.279999999911524,1050865.120000000111759,925186.500000000000000,914931.540000000037253,10488848.969999998807907
20110728,1071414.159999999916181,860617.579999999958090,949119.479999999981374,919554.000000000000000,953421.199999999837019,968338.979999999981374,1000174.960000000079162,869224.919999999925494,1040806.750000000000000,911133.999999999883585,910464.480000000097789,10454280.510000001639128
20110729,1067777.179999999934807,858303.569999999948777,939993.119999999995343,913798.800000000046566,942338.399999999906868,964991.580000000074506,996637.680000000051223,863189.009999999892898,1024521.770000000018626,901680.500000000000000,905653.800000000046566,10378895.410000000149012
20110801,1085004.979999999981374,856598.509999999892898,952282.079999999958090,896010.000000000000000,938459.419999999925494,963987.359999999986030,987794.479999999981374,862346.789999999920838,1025958.680000000051223,916499.499999999883585,904107.510000000009313,10389059.310000000521541
20110802,1063565.939999999944121,824567.739999999990687,934842.600000000093132,858601.199999999953434,929039.040000000037253,949147.219999999972060,940925.520000000135042,854486.069999999832362,1000573.270000000018626,906790.500000000000000,887957.369999999995343,10150506.469999998807907
20110803,1073519.779999999795109,820183.299999999930151,928607.760000000125729,862002.000000000116415,947602.729999999981374,954503.060000000055879,962591.359999999986030,852520.889999999897555,1047512.329999999958090,919054.500000000000000,881084.970000000088476,10249192.680000001564622
20110804,1031981.639999999897555,768422.549999999930151,875114.640000000013970,829302.000000000000000,911860.699999999837019,940443.979999999981374,901573.280000000027940,836378.339999999850988,1017816.189999999944121,892227.000000000000000,860811.390000000013970,9865941.710000000894070
20110805,1021644.959999999846332,764281.689999999944121,882072.359999999986030,804188.399999999906868,925160.059999999939464,949370.380000000004657,927218.559999999939464,850555.709999999962747,998657.390000000013970,895548.499999999883585,873697.140000000013970,9892405.149999998509884
20110808,965941.739999999990687,715078.529999999911524,815567.400000000023283,756838.800000000046566,902163.250000000000000,916231.119999999995343,875485.840000000083819,832307.609999999869615,948844.509999999892898,846236.999999999883585,840537.810000000055879,9415243.609999999403954
20110809,1022793.479999999864958,759288.299999999930151,844030.800000000046566,788754.000000000000000,923774.710000000079162,959189.419999999925494,912185.119999999995343,845362.019999999902211,990993.869999999995343,876130.500000000000000,873181.710000000079162,9795693.929999999701977
20110810,994654.739999999990687,699245.829999999958090,818458.919999999925494,745851.600000000093132,886093.189999999944121,938212.380000000004657,876812.319999999948777,821358.749999999883585,949323.479999999981374,860033.999999999883585,831775.500000000000000,9421830.710000000894070
20110811,1022027.799999999930151,716783.589999999967404,850084.919999999925494,786138.000000000000000,921004.010000000009313,962759.979999999981374,920144.000000000000000,848590.529999999911524,1012068.549999999930151,884561.999999999883585,854454.419999999925494,9778627.799999998882413
20110812,1031024.539999999920838,752102.689999999944121,866259.359999999986030,800002.799999999930151,930147.319999999948777,965214.739999999990687,931198.000000000000000,858276.059999999939464,1003926.059999999939464,876385.999999999883585,854798.040000000037253,9869345.609999999403954
20110815,1048443.760000000009313,763672.739999999990687,895536.000000000000000,823023.599999999976717,944832.030000000027940,968785.299999999930151,940925.520000000135042,868663.439999999944121,1028353.529999999911524,895548.499999999883585,858749.669999999925494,10036544.089999999850988
20110816,1040404.119999999995343,757948.609999999869615,886861.440000000060536,866449.199999999953434,944554.960000000079162,967111.599999999976717,920144.000000000000000,865013.819999999832362,1027874.559999999939464,891205.000000000116415,892080.810000000055879,10059658.120000001043081
20110817,1040404.119999999995343,757339.659999999916181,882704.880000000121072,874035.599999999860302,959793.809999999939464,976372.739999999990687,912627.280000000027940,865715.669999999925494,1005841.939999999944121,909856.500000000000000,885723.839999999967404,10070426.039999999105930
20110818,1000971.599999999860302,717757.909999999916181,842585.039999999920838,841335.599999999860302,938736.489999999990687,955284.119999999995343,883444.720000000088476,854345.699999999837019,961297.729999999981374,896059.500000000000000,889847.280000000027940,9781675.689999999478459
20110819,973598.539999999920838,700829.099999999976717,843036.840000000083819,834010.799999999930151,929593.179999999934807,973360.080000000074506,868853.439999999944121,855749.399999999906868,953155.239999999874271,886861.500000000000000,898609.589999999967404,9717667.710000000894070
20110822,974747.059999999939464,711059.459999999962747,843127.199999999953434,844474.800000000046566,932086.809999999939464,979273.820000000065193,875928.000000000000000,866277.149999999906868,955550.089999999967404,889672.000000000000000,896719.680000000051223,9768926.069999998435378
20110823,1021644.959999999846332,740167.270000000018626,879542.280000000027940,866187.599999999976717,956746.040000000037253,999023.479999999981374,924123.439999999944121,884665.619999999878928,1002968.119999999995343,918799.000000000000000,914244.300000000046566,10108122.110000001266599
20110824,1028727.500000000000000,751371.949999999953434,881891.640000000013970,899149.199999999953434,965335.210000000079162,1005718.279999999911524,948442.239999999990687,888736.349999999976717,1034580.140000000013970,931829.500000000000000,916993.260000000009313,10252785.269999999552965
20110825,1022027.799999999930151,744186.339999999967404,867162.959999999962747,885284.400000000139698,941784.260000000009313,989873.919999999925494,925892.080000000074506,877787.489999999874271,1007278.849999999976717,913944.500000000116415,905481.990000000107102,10080714.589999999850988
20110826,1049018.019999999785796,764890.639999999897555,875205.000000000000000,889470.000000000000000,948988.079999999958090,1003486.680000000051223,953748.160000000032596,878348.969999999855645,1027874.559999999939464,913689.000000000000000,908918.190000000060536,10213647.299999998882413
20110829,1066437.239999999990687,786812.839999999850988,892283.039999999920838,889208.400000000023283,966166.419999999925494,1013082.560000000055879,978951.280000000027940,885648.209999999962747,1036974.989999999874271,923398.000000000000000,913900.680000000051223,10352873.660000000149012
20110830,1066437.239999999990687,804228.809999999939464,889210.800000000046566,878221.199999999953434,967828.839999999967404,1012970.979999999981374,954632.479999999981374,891403.379999999888241,1052781.000000000000000,927741.500000000000000,907543.710000000079162,10353009.940000001341105
20110831,1052463.579999999841675,814337.379999999888241,893186.640000000013970,873250.800000000046566,976140.939999999827705,1008842.519999999902211,957727.600000000093132,893930.039999999920838,1052302.029999999795109,924164.500000000000000,913900.680000000051223,10360256.709999999031425
20110901,1041935.479999999864958,804472.389999999897555,890295.119999999995343,861478.800000000046566,976140.939999999827705,1005048.799999999930151,956843.280000000027940,888034.499999999883585,1050386.149999999906868,916755.000000000116415,904622.940000000060536,10296023.399999998509884
20110902,1022984.899999999906868,779870.809999999939464,871229.160000000032596,841858.800000000046566,966166.419999999925494,994113.960000000079162,928987.200000000069849,878068.229999999864958,1024521.770000000018626,908579.000000000000000,893970.720000000088476,10110360.970000000670552
20110906,1038489.919999999925494,764525.270000000018626,864000.359999999986030,838457.999999999883585,962010.369999999878928,991101.299999999930151,925892.080000000074506,875681.939999999944121,1028353.529999999911524,899892.000000000000000,887957.369999999995343,10076372.139999998733401
20110907,1049975.119999999878928,790466.540000000037253,897252.840000000083819,859909.199999999953434,980851.129999999888241,996345.560000000055879,956401.119999999995343,880454.519999999902211,1059486.580000000074506,910111.999999999883585,900671.310000000055879,10281935.919999999925494
20110908,1050549.379999999888241,765012.429999999934807,889301.160000000032596,849183.599999999976717,986115.460000000079162,988758.119999999995343,943136.319999999948777,883121.549999999813735,1047512.329999999958090,903980.000000000116415,897063.300000000046566,10203743.650000000372529
20110909,1032364.479999999864958,752589.849999999976717,860205.239999999990687,833749.200000000069849,961179.159999999916181,948812.479999999981374,912185.119999999995343,868101.959999999962747,1034101.169999999925494,900403.000000000000000,882459.450000000069849,9986161.109999999403954
20110912,1039064.179999999934807,759897.250000000000000,866711.160000000032596,846306.000000000000000,961179.159999999916181,961755.760000000009313,932524.479999999981374,867961.589999999850988,1047033.359999999869615,900658.500000000000000,890362.710000000079162,10073464.150000000372529
20110913,1051889.320000000065193,765499.589999999967404,866891.880000000121072,854415.599999999860302,957300.179999999934807,960974.700000000069849,948884.400000000023283,869505.659999999799766,1050865.120000000111759,907046.000000000000000,886411.080000000074506,10119693.529999999329448
20110914,1064523.039999999804422,767691.809999999939464,879361.560000000055879,877436.400000000023283,966720.559999999939464,968004.239999999990687,967012.960000000079162,875120.459999999962747,1072897.739999999990687,909601.000000000000000,896891.490000000107102,10245271.259999999776483
20110915,1074668.300000000046566,783402.719999999855645,896981.760000000125729,896794.800000000046566,983898.899999999906868,982732.799999999930151,973203.200000000069849,881296.739999999874271,1083914.049999999813735,924675.500000000000000,902217.599999999976717,10383796.369999999180436
