訓練日期,20151020 - 20160122
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9849207.560000000521541
真實報酬,-150792.439999999478459

夏普值報酬,-0.023779244000000
夏普值風險,0.025513875517137
夏普值,-0.932012229346642

預期報酬,6277.594023167670457
風險,346345.468716340314131
趨勢值,0.018125237920491
找到最佳解世代,14
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
CSCO[4](27),DD[7](11),HD[9](7),INTC[11](17),JPM[13](12),MCD[15](1),MRK[17](10),MSFT[18](2),NKE[19](22),PG[21](4),TRV[22](8),VZ[26](6),WMT[28](3),
20151204,748263.670000000041910,865306.710000000079162,840644.640000000130385,800144.999999999883585,839328.210000000079162,855427.310000000055879,802751.599999999976717,903138.369999999995343,764148.880000000004657,796554.780000000027940,825228.900000000023283,786610.079999999958090,779817.510000000009313,10607375.660000000149012
20151207,748535.959999999962747,844564.170000000041910,836895.840000000083819,801289.999999999883585,828325.140000000013970,857046.729999999981374,803350.199999999953434,901523.070000000065193,759876.119999999995343,802081.140000000130385,821828.450000000069849,792632.879999999888241,790797.150000000023283,10588756.849999999627471
20151208,739278.099999999976717,826215.000000000000000,836333.520000000135042,795793.999999999883585,815467.619999999878928,857856.439999999944121,800207.549999999930151,901200.010000000009313,760453.519999999902211,795736.060000000055879,813001.750000000116415,786438.000000000000000,779163.959999999962747,10507155.529999997466803
20151209,727841.920000000041910,924685.080000000074506,824212.400000000139698,797167.999999999883585,809286.119999999878928,858224.489999999990687,790480.300000000046566,888116.079999999958090,743939.880000000004657,795224.360000000102445,803379.200000000069849,780587.279999999911524,772889.880000000004657,10516044.990000000223517
20151210,728931.079999999958090,891291.870000000111759,828211.119999999995343,796252.000000000000000,811140.569999999948777,862788.310000000055879,803499.849999999976717,892800.450000000069849,742785.079999999841675,796145.420000000158325,803017.449999999953434,779898.959999999962747,778510.410000000032596,10515282.570000000298023
20151211,712321.390000000013970,866218.470000000088476,815090.320000000065193,784802.000000000000000,792101.549999999930151,854543.989999999990687,780453.750000000000000,873255.320000000065193,729273.919999999925494,796043.080000000074506,794118.400000000139698,771294.959999999962747,775896.209999999962747,10345423.359999999403954
20151214,721306.959999999962747,832483.350000000209548,824899.680000000051223,789381.999999999883585,794574.149999999906868,855868.969999999972060,781202.000000000000000,890700.560000000055879,738281.359999999986030,801262.420000000158325,803306.850000000093132,782136.000000000000000,789359.340000000083819,10404773.640000000596046
20151215,731109.400000000023283,820858.410000000032596,820401.119999999995343,805640.999999999883585,817198.439999999944121,860800.840000000083819,791677.500000000000000,891669.740000000107102,742669.599999999976717,815487.680000000167638,818862.100000000093132,783856.799999999813735,779556.090000000083819,10479798.719999998807907
20151216,741728.709999999962747,823251.780000000144355,830460.400000000139698,808388.999999999767169,834877.530000000027940,867499.349999999976717,808438.300000000046566,906692.030000000027940,756065.279999999911524,828894.219999999972060,828701.700000000069849,800376.479999999864958,788182.949999999953434,10623567.730000000447035
20151217,727569.630000000004657,815615.790000000153668,820776.000000000000000,799457.999999999767169,819423.780000000027940,864996.609999999986030,788085.899999999906868,899746.240000000107102,751908.000000000000000,821730.420000000158325,819513.250000000000000,793321.199999999953434,770929.229999999981374,10493084.050000000745058
20151218,715316.579999999958090,805586.430000000167638,814153.119999999995343,775641.999999999767169,796181.340000000083819,858813.369999999995343,772821.599999999976717,874386.030000000027940,742092.200000000069849,799624.979999999981374,796795.349999999976717,784028.879999999888241,769230.000000000000000,10304681.879999998956919
20151221,725391.310000000055879,827354.700000000069849,820526.080000000074506,784114.999999999883585,810275.160000000149012,866395.199999999953434,776263.549999999930151,885693.130000000004657,749482.920000000041910,808016.860000000102445,802655.700000000069849,789879.599999999860302,778379.699999999953434,10424438.909999998286366
20151222,732198.560000000055879,835902.450000000069849,824087.440000000060536,795335.999999999767169,812005.980000000097789,866616.030000000027940,779705.500000000000000,894092.690000000060536,761377.360000000102445,814668.959999999962747,813797.600000000093132,797451.119999999995343,791319.989999999990687,10518569.679999999701977
20151223,746085.349999999976717,852656.040000000153668,831772.480000000097789,801518.999999999883585,824987.130000000121072,874565.909999999916181,792874.699999999953434,901684.599999999976717,743247.000000000000000,817943.840000000083819,819079.150000000023283,807948.000000000000000,798509.040000000037253,10612882.239999998360872
20151224,745540.770000000018626,849009.000000000000000,830460.400000000139698,801060.999999999767169,823379.939999999944121,872872.879999999888241,790929.250000000000000,899261.650000000023283,729620.359999999986030,816613.420000000158325,819513.250000000000000,803818.079999999958090,795110.579999999958090,10577200.580000001937151
20151228,743634.739999999990687,847755.330000000074506,829085.840000000083819,799915.999999999883585,820660.079999999958090,874197.859999999986030,790779.600000000093132,903784.490000000107102,736895.599999999976717,817943.840000000083819,821032.600000000093132,804506.399999999906868,794064.900000000023283,10584267.280000001192093
20151229,756160.079999999958090,856872.930000000167638,835458.800000000046566,811594.999999999883585,829190.549999999930151,883914.379999999888241,798262.100000000093132,913476.289999999920838,742092.200000000069849,822446.800000000046566,832174.500000000000000,812422.079999999958090,805305.959999999962747,10699381.669999998062849
20151230,749625.119999999995343,838523.760000000009313,833272.000000000000000,801289.999999999883585,823256.310000000055879,879203.340000000083819,796915.250000000000000,909599.570000000065193,730428.719999999972060,819478.939999999944121,826892.950000000069849,804850.559999999939464,806220.930000000051223,10619567.449999999254942
20151231,739550.390000000013970,835560.540000000153668,826399.200000000069849,788924.000000000000000,816333.030000000027940,869707.650000000023283,790480.300000000046566,896192.579999999958090,721767.719999999972060,812724.500000000000000,816546.900000000023283,795386.159999999916181,801253.949999999953434,10510836.919999999925494
20160104,719128.640000000013970,810373.170000000041910,819026.560000000055879,778389.999999999883585,786538.199999999953434,865585.489999999990687,785392.199999999953434,885208.539999999920838,710450.680000000051223,802081.140000000130385,795637.750000000000000,789363.359999999869615,803345.310000000055879,10350531.040000000968575
20160105,715861.160000000032596,804218.790000000153668,815027.840000000083819,774725.999999999883585,787898.130000000004657,877510.310000000055879,795418.750000000000000,889246.789999999920838,720381.959999999962747,804639.640000000130385,799255.250000000000000,800204.399999999906868,822428.970000000088476,10406827.990000002086163
20160106,708237.040000000037253,786553.440000000176951,806593.040000000153668,757550.999999999883585,776524.170000000041910,871621.510000000009313,784494.300000000046566,873093.789999999920838,710104.239999999990687,796861.800000000046566,788909.200000000069849,783340.559999999939464,830663.699999999953434,10274557.789999999105930
20160107,691899.640000000013970,757035.210000000079162,783600.400000000139698,729154.999999999883585,745122.150000000023283,851452.369999999995343,777610.400000000023283,842726.150000000023283,691165.520000000018626,789902.680000000167638,770098.200000000069849,779038.559999999939464,850008.780000000027940,10058825.059999998658895
20160108,674745.369999999995343,751222.740000000107102,774228.400000000139698,721597.999999999883585,728432.100000000093132,850127.390000000013970,764441.199999999953434,845310.630000000004657,679848.479999999981374,777519.540000000037253,766842.449999999953434,771467.039999999920838,830532.989999999990687,9936326.330000000074506
20160111,688087.579999999958090,736862.520000000135042,785974.640000000130385,734192.999999999883585,727319.429999999934807,859034.199999999953434,766985.250000000000000,844826.039999999920838,687701.119999999995343,784683.340000000083819,772630.450000000069849,775941.119999999995343,839421.270000000018626,10003669.959999999031425
20160112,690265.900000000023283,727061.100000000093132,796658.720000000088476,748390.999999999883585,728926.619999999995343,864554.949999999953434,774617.400000000023283,852579.479999999981374,692204.839999999967404,783045.900000000139698,781240.100000000093132,773187.839999999850988,831578.670000000041910,10044322.519999999552965
20160113,669844.150000000023283,708142.080000000074506,758608.400000000139698,730757.999999999883585,708898.560000000055879,847477.430000000051223,758155.899999999906868,834165.060000000055879,678809.160000000032596,776291.459999999962747,767348.900000000023283,759765.599999999860302,809357.970000000088476,9807632.670000001788139
20160114,671477.890000000013970,718057.470000000088476,747486.960000000079162,749764.999999999883585,719530.740000000107102,858518.930000000051223,775216.000000000000000,857909.969999999972060,675691.199999999953434,779361.660000000149012,774005.100000000093132,772155.359999999869615,824258.910000000032596,9923445.189999999478459
20160115,643159.729999999981374,697314.930000000051223,745050.240000000107102,681522.999999999883585,705189.660000000032596,847919.090000000083819,765339.099999999976717,823665.610000000102445,664720.599999999976717,767387.880000000121072,760403.300000000046566,764583.839999999850988,809488.680000000051223,9675755.660000000149012
20160119,649422.400000000023283,682840.740000000107102,748361.680000000051223,682438.999999999883585,704818.770000000018626,864996.609999999986030,768332.100000000093132,816719.820000000065193,673497.079999999958090,785297.380000000121072,765178.400000000139698,772155.359999999869615,817723.410000000032596,9731792.750000001862645
20160120,623554.849999999976717,670645.950000000069849,727743.280000000027940,677629.999999999883585,686274.270000000018626,852335.689999999944121,756509.750000000000000,820435.010000000009313,681811.640000000013970,776086.780000000027940,749912.550000000046566,764411.759999999892898,795241.290000000037253,9582602.820000000298023
20160121,623554.849999999976717,681701.040000000153668,751235.760000000009313,679232.999999999883585,683059.890000000013970,867499.349999999976717,762046.800000000046566,815427.579999999958090,699364.599999999976717,785195.040000000037253,743039.300000000046566,789363.359999999869615,808835.130000000004657,9689565.699999999254942
20160122,636352.479999999981374,701531.820000000065193,767105.680000000051223,685415.999999999883585,704076.990000000107102,871621.510000000009313,768481.750000000000000,844664.510000000009313,703059.959999999962747,791744.800000000046566,746222.700000000069849,809496.719999999855645,819422.640000000013970,9849207.560000000521541
